Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
14, 34, 0.9454009999999999, [7; 48; 25; 20; 24; 53; 94; 90; 28; 44; 71; 47; 9; 1; 76; 80; 99; 57; 65; 21; 60; 41; 50; 56; 66; 97; 33; 40; 18; 14; 81; 70; 84; 58; 93; 12; 95; 43; 0; 49; 54; 75; 69; 85; 55; 4; 3; 92; 59; 13; 36; 52; 79; 88; 30; 22; 39; 35; 46; 68; 86; 27; 72; 61; 45; 6; 29; 15; 38; 10; 8; 82; 74; 96; 23; 31; 77; 73; 87; 51; 64; 63; 78; 16; 34; 17; 98; 91; 89; 67; 32; 5; 42; 37; 11; 2; 62; 83; 19; 26], [[7; 48]; [25; 20]; [24; 53; 94; 90]; [28; 44; 71]; [47; 9]; [1; 76; 80; 99]; [57; 65; 21]; [60; 41; 50]; [56; 66; 97; 33]; [40; 18]; [14; 81; 70; 84]; [58; 93; 12; 95]; [43; 0]; [49; 54; 75; 69]; [85; 55; 4]; [3; 92; 59]; [13; 36]; [52; 79; 88; 30]; [22; 39]; [35; 46; 68]; [86; 27; 72; 61]; [45; 6]; [29; 15]; [38; 10]; [8; 82; 74; 96]; [23; 31]; [77; 73; 87; 51; 64]; [63; 78; 16]; [34; 17]; [98; 91; 89; 67; 32]; [5; 42]; [37; 11]; [2; 62; 83]; [19; 26]], [91700; 99700; 96500; 99400; 92100; 99000; 99200; 98800; 99300; 94400; 99900; 98400; 99200; 98200; 99700; 96200; 97800; 99500; 91000; 97500; 99500; 94800; 99700; 99700; 94500; 93400; 99100; 95400; 96800; 89100; 96800; 98900; 99700; 99500], 69300, 69301, 3.9638144969940186
17, 34, 0.9454941176470586, [85; 1; 69; 45; 5; 20; 65; 88; 78; 44; 41; 73; 35; 21; 97; 47; 2; 94; 48; 50; 61; 51; 89; 6; 99; 17; 70; 95; 84; 87; 7; 52; 66; 90; 4; 16; 30; 77; 82; 9; 81; 38; 10; 24; 22; 14; 40; 32; 18; 92; 8; 59; 54; 67; 68; 64; 23; 27; 58; 39; 49; 3; 53; 63; 60; 29; 33; 15; 31; 12; 36; 11; 86; 37; 26; 76; 62; 74; 83; 57; 0; 42; 55; 79; 75; 56; 80; 71; 34; 72; 98; 93; 25; 28; 19; 43; 96; 46; 13; 91], [[85; 1; 69]; [45; 5]; [20; 65; 88; 78]; [44; 41; 73]; [35; 21; 97]; [47; 2]; [94; 48; 50; 61]; [51; 89; 6]; [99; 17; 70; 95; 84]; [87; 7; 52]; [66; 90; 4]; [16; 30]; [77; 82; 9; 81]; [38; 10]; [24; 22]; [14; 40]; [32; 18]; [92; 8; 59]; [54; 67; 68; 64]; [23; 27]; [58; 39; 49]; [3; 53]; [63; 60; 29]; [33; 15]; [31; 12]; [36; 11]; [86; 37; 26]; [76; 62; 74; 83; 57]; [0; 42]; [55; 79; 75; 56]; [80; 71; 34; 72; 98]; [93; 25; 28]; [19; 43; 96]; [46; 13; 91]], [92900; 95000; 99600; 93600; 100000; 95700; 98900; 99600; 99200; 99700; 90800; 98400; 99700; 99700; 99100; 96000; 97300; 94000; 96200; 94900; 99900; 91500; 96100; 97900; 99700; 98900; 98100; 97500; 99800; 87500; 99700; 100000; 98300; 99200], 84150, 84151, 2.6903274059295654
18, 34, 0.9454232352941174, [8; 41; 63; 31; 79; 75; 88; 60; 52; 69; 83; 34; 45; 78; 24; 22; 30; 16; 94; 76; 99; 90; 21; 86; 15; 29; 32; 17; 5; 80; 67; 87; 84; 47; 61; 72; 18; 26; 33; 66; 89; 65; 27; 28; 93; 19; 91; 97; 55; 39; 7; 51; 3; 62; 81; 4; 42; 2; 64; 36; 54; 9; 53; 20; 25; 68; 37; 49; 85; 92; 74; 48; 57; 56; 71; 73; 46; 10; 44; 23; 70; 58; 59; 0; 14; 82; 50; 13; 35; 1; 43; 12; 40; 11; 38; 77; 6; 95; 98; 96], [[8; 41]; [63; 31; 79; 75]; [88; 60; 52; 69; 83]; [34; 45; 78]; [24; 22]; [30; 16]; [94; 76; 99; 90; 21; 86]; [15; 29]; [32; 17]; [5; 80; 67]; [87; 84; 47; 61; 72]; [18; 26]; [33; 66; 89; 65]; [27; 28; 93]; [19; 91; 97; 55]; [39; 7]; [51; 3]; [62; 81; 4]; [42; 2]; [64; 36; 54]; [9; 53]; [20; 25]; [68; 37; 49]; [85; 92; 74; 48; 57]; [56; 71; 73; 46]; [10; 44]; [23; 70; 58]; [59; 0]; [14; 82; 50]; [13; 35]; [1; 43]; [12; 40]; [11; 38]; [77; 6; 95; 98; 96]], [98900; 99800; 99300; 93700; 99100; 98400; 100000; 99700; 97800; 94500; 99500; 99500; 94800; 98000; 98600; 99400; 92000; 100000; 99400; 96900; 88900; 99700; 94600; 96300; 98100; 94000; 96100; 89000; 99900; 98200; 99100; 96600; 98700; 95900], 89100, 89101, 2.913053512573242
20, 34, 0.9453619411764708, [99; 65; 93; 52; 53; 49; 11; 30; 14; 81; 5; 91; 72; 79; 89; 95; 74; 21; 19; 31; 77; 16; 62; 45; 55; 59; 35; 23; 94; 17; 57; 96; 20; 29; 13; 71; 63; 24; 27; 44; 4; 1; 67; 84; 8; 41; 58; 70; 86; 33; 2; 51; 98; 32; 25; 90; 46; 88; 56; 61; 64; 83; 6; 38; 36; 76; 75; 73; 28; 92; 82; 85; 22; 42; 9; 66; 80; 10; 39; 60; 40; 50; 37; 12; 7; 97; 54; 15; 34; 0; 43; 78; 68; 3; 18; 48; 87; 69; 47; 26], [[99; 65; 93; 52; 53]; [49; 11]; [30; 14]; [81; 5; 91; 72]; [79; 89; 95; 74; 21]; [19; 31]; [77; 16; 62]; [45; 55; 59]; [35; 23; 94]; [17; 57; 96]; [20; 29]; [13; 71; 63]; [24; 27]; [44; 4]; [1; 67; 84]; [8; 41]; [58; 70; 86; 33]; [2; 51; 98]; [32; 25; 90]; [46; 88; 56; 61]; [64; 83; 6]; [38; 36; 76]; [75; 73; 28; 92; 82]; [85; 22; 42]; [9; 66; 80]; [10; 39]; [60; 40; 50]; [37; 12]; [7; 97; 54]; [15; 34]; [0; 43]; [78; 68; 3]; [18; 48; 87]; [69; 47; 26]], [97800; 89000; 99300; 99200; 98000; 97500; 96400; 91400; 99800; 89100; 96900; 99500; 94000; 96300; 94300; 98900; 99300; 99700; 99700; 99000; 95700; 99600; 99300; 98800; 94100; 98700; 98900; 98100; 95800; 97800; 99200; 96600; 97100; 99600], 99000, 99001, 3.176689863204956
22, 34, 0.9468421176470587, [85; 73; 88; 4; 44; 66; 59; 78; 0; 47; 31; 94; 69; 57; 52; 82; 96; 24; 18; 29; 16; 36; 33; 14; 76; 48; 99; 32; 41; 81; 63; 68; 40; 9; 15; 37; 2; 54; 8; 49; 91; 43; 1; 80; 6; 30; 26; 89; 11; 35; 25; 20; 53; 21; 75; 60; 70; 38; 84; 3; 90; 62; 65; 34; 45; 58; 12; 77; 74; 10; 79; 19; 95; 42; 23; 22; 64; 72; 13; 7; 98; 46; 61; 28; 71; 87; 51; 5; 93; 97; 83; 55; 27; 92; 39; 67; 56; 50; 17; 86], [[85; 73; 88; 4]; [44; 66; 59; 78]; [0; 47]; [31; 94; 69; 57]; [52; 82; 96; 24]; [18; 29]; [16; 36]; [33; 14]; [76; 48; 99; 32]; [41; 81; 63; 68]; [40; 9]; [15; 37]; [2; 54]; [8; 49; 91]; [43; 1]; [80; 6]; [30; 26; 89]; [11; 35]; [25; 20]; [53; 21; 75]; [60; 70; 38; 84]; [3; 90; 62]; [65; 34; 45]; [58; 12; 77]; [74; 10; 79]; [19; 95; 42]; [23; 22]; [64; 72; 13]; [7; 98; 46]; [61; 28; 71; 87]; [51; 5; 93]; [97; 83; 55; 27]; [92; 39; 67; 56]; [50; 17; 86]], [98300; 99800; 96100; 98600; 99600; 98200; 96600; 98000; 98900; 99900; 98600; 97400; 91600; 99400; 99100; 73500; 98800; 99300; 99700; 97300; 99000; 96100; 99800; 98700; 88800; 99000; 100000; 98500; 99900; 99600; 98300; 92800; 98300; 96900], 108900, 108901, 3.375882863998413
17, 34, 0.9452009999999998, [81; 92; 86; 4; 19; 36; 69; 53; 61; 91; 99; 48; 49; 93; 59; 8; 55; 96; 14; 29; 44; 9; 15; 30; 32; 37; 80; 18; 39; 23; 34; 97; 79; 64; 26; 94; 21; 42; 83; 41; 16; 27; 31; 88; 0; 66; 74; 84; 47; 82; 43; 87; 1; 60; 72; 71; 5; 56; 46; 76; 65; 95; 54; 98; 17; 12; 35; 73; 50; 28; 25; 22; 38; 10; 13; 33; 75; 70; 3; 7; 63; 77; 45; 2; 51; 62; 78; 58; 52; 85; 11; 90; 6; 57; 20; 40; 24; 67; 68; 89], [[81; 92; 86; 4]; [19; 36]; [69; 53; 61; 91; 99]; [48; 49; 93; 59]; [8; 55; 96]; [14; 29]; [44; 9]; [15; 30]; [32; 37; 80]; [18; 39]; [23; 34; 97]; [79; 64; 26; 94]; [21; 42; 83]; [41; 16]; [27; 31; 88]; [0; 66; 74]; [84; 47; 82; 43]; [87; 1; 60]; [72; 71; 5]; [56; 46; 76; 65]; [95; 54; 98; 17]; [12; 35]; [73; 50; 28]; [25; 22]; [38; 10]; [13; 33]; [75; 70; 3]; [7; 63; 77]; [45; 2]; [51; 62; 78; 58]; [52; 85; 11]; [90; 6; 57]; [20; 40]; [24; 67; 68; 89]], [92900; 95900; 92400; 100000; 94400; 99800; 94200; 99200; 100000; 94700; 99500; 92800; 99800; 95000; 98800; 99800; 95000; 98500; 95100; 100000; 98400; 98500; 94100; 97300; 99700; 98300; 96200; 99600; 97600; 99900; 98800; 95500; 93100; 99600], 84150, 84151, 2.6595630645751953
18, 34, 0.9453121176470587, [0; 74; 72; 80; 87; 60; 26; 16; 28; 73; 68; 4; 57; 61; 78; 54; 53; 33; 89; 79; 85; 76; 59; 40; 30; 14; 23; 90; 77; 65; 43; 3; 10; 67; 71; 36; 86; 25; 18; 70; 64; 94; 24; 32; 17; 27; 29; 15; 56; 34; 69; 93; 19; 39; 95; 8; 47; 52; 9; 12; 99; 44; 46; 42; 58; 97; 41; 62; 81; 92; 84; 45; 20; 48; 6; 31; 13; 5; 49; 35; 88; 83; 50; 22; 98; 51; 96; 38; 11; 21; 37; 7; 82; 55; 66; 2; 75; 1; 91; 63], [[0; 74; 72]; [80; 87; 60; 26]; [16; 28]; [73; 68; 4]; [57; 61; 78; 54]; [53; 33; 89; 79]; [85; 76; 59; 40]; [30; 14]; [23; 90; 77; 65]; [43; 3]; [10; 67; 71]; [36; 86; 25]; [18; 70; 64]; [94; 24; 32]; [17; 27]; [29; 15]; [56; 34; 69; 93]; [19; 39]; [95; 8; 47]; [52; 9]; [12; 99; 44]; [46; 42; 58]; [97; 41; 62; 81; 92]; [84; 45; 20]; [48; 6]; [31; 13]; [5; 49]; [35; 88; 83; 50]; [22; 98; 51; 96]; [38; 11]; [21; 37]; [7; 82; 55]; [66; 2; 75]; [1; 91; 63]], [96100; 96700; 99600; 97800; 98900; 97300; 94100; 99300; 96100; 97800; 97000; 99600; 98200; 99900; 99500; 99700; 98400; 94700; 99900; 89100; 98800; 99300; 96100; 100000; 92000; 99400; 91200; 96300; 95500; 98700; 92300; 99600; 99300; 96200], 89100, 89101, 2.992764472961426
13, 34, 0.9462865294117648, [7; 49; 92; 4; 47; 11; 34; 10; 41; 54; 84; 8; 15; 37; 95; 30; 75; 51; 31; 13; 57; 60; 29; 17; 63; 73; 2; 52; 99; 5; 39; 3; 42; 36; 69; 65; 77; 48; 27; 21; 81; 96; 59; 6; 40; 82; 53; 88; 44; 56; 1; 50; 64; 33; 89; 74; 23; 85; 83; 43; 0; 62; 9; 79; 19; 28; 35; 20; 24; 78; 46; 67; 45; 68; 66; 94; 80; 87; 25; 91; 93; 22; 97; 38; 61; 16; 72; 70; 71; 14; 12; 32; 26; 58; 86; 98; 90; 76; 18; 55], [[7; 49; 92]; [4; 47]; [11; 34]; [10; 41]; [54; 84; 8]; [15; 37]; [95; 30; 75; 51]; [31; 13]; [57; 60; 29]; [17; 63; 73]; [2; 52; 99]; [5; 39]; [3; 42]; [36; 69; 65; 77]; [48; 27]; [21; 81; 96; 59]; [6; 40]; [82; 53; 88; 44]; [56; 1]; [50; 64; 33]; [89; 74; 23; 85; 83]; [43; 0]; [62; 9; 79]; [19; 28]; [35; 20]; [24; 78; 46]; [67; 45; 68; 66]; [94; 80; 87; 25; 91; 93]; [22; 97; 38]; [61; 16; 72]; [70; 71; 14]; [12; 32]; [26; 58; 86; 98; 90]; [76; 18; 55]], [99300; 94200; 99300; 98300; 99900; 97400; 98700; 99400; 98100; 96900; 99300; 99900; 98400; 99100; 78200; 98100; 99400; 89400; 90100; 99500; 98200; 99200; 98900; 98900; 95000; 98900; 98600; 96100; 99300; 98500; 93100; 99500; 99000; 98300], 64350, 64351, 2.2052531242370605
23, 34, 0.9501764705882354, [24; 49; 91; 90; 15; 97; 45; 63; 77; 37; 75; 40; 11; 57; 58; 31; 76; 7; 83; 81; 17; 26; 28; 60; 99; 68; 21; 80; 88; 64; 71; 34; 42; 56; 59; 18; 70; 62; 41; 8; 87; 73; 82; 9; 36; 14; 38; 22; 94; 3; 96; 52; 53; 85; 12; 13; 30; 72; 23; 50; 61; 2; 84; 20; 89; 93; 54; 47; 32; 65; 74; 16; 55; 86; 48; 25; 92; 19; 27; 33; 43; 69; 1; 79; 66; 29; 95; 35; 67; 10; 78; 98; 51; 4; 39; 5; 46; 0; 6; 44], [[24; 49; 91; 90]; [15; 97; 45]; [63; 77; 37; 75]; [40; 11]; [57; 58; 31]; [76; 7; 83; 81]; [17; 26]; [28; 60; 99; 68]; [21; 80; 88; 64]; [71; 34; 42]; [56; 59]; [18; 70; 62]; [41; 8]; [87; 73; 82; 9]; [36; 14]; [38; 22; 94]; [3; 96; 52]; [53; 85; 12]; [13; 30]; [72; 23; 50]; [61; 2; 84]; [20; 89; 93; 54]; [47; 32; 65]; [74; 16; 55]; [86; 48; 25; 92]; [19; 27]; [33; 43; 69]; [1; 79; 66]; [29; 95; 35]; [67; 10; 78]; [98; 51; 4]; [39; 5]; [46; 0]; [6; 44]], [99000; 98600; 99200; 97400; 98000; 99800; 100000; 98500; 100000; 98400; 55000; 99400; 98900; 97700; 97500; 99600; 99000; 97800; 99600; 99500; 99400; 99800; 98900; 99500; 99300; 99000; 99600; 98000; 94100; 94100; 98200; 99900; 96700; 95000], 113850, 113851, 3.665239095687866
15, 34, 0.9454799411764704, [41; 6; 81; 60; 34; 84; 8; 40; 50; 89; 15; 11; 57; 90; 0; 52; 73; 58; 19; 18; 38; 78; 5; 63; 33; 13; 54; 47; 94; 96; 67; 45; 12; 65; 75; 39; 79; 99; 9; 44; 53; 98; 4; 21; 76; 71; 80; 66; 49; 30; 14; 68; 72; 10; 36; 92; 7; 62; 97; 16; 43; 32; 87; 27; 29; 35; 46; 20; 93; 61; 83; 1; 2; 42; 51; 56; 64; 77; 88; 3; 55; 25; 23; 17; 48; 82; 26; 86; 31; 24; 22; 59; 28; 91; 74; 69; 37; 95; 85; 70], [[41; 6]; [81; 60; 34; 84]; [8; 40]; [50; 89; 15]; [11; 57; 90]; [0; 52]; [73; 58; 19]; [18; 38]; [78; 5; 63]; [33; 13]; [54; 47; 94; 96; 67]; [45; 12]; [65; 75; 39; 79; 99]; [9; 44]; [53; 98; 4]; [21; 76; 71; 80]; [66; 49; 30]; [14; 68; 72]; [10; 36]; [92; 7; 62]; [97; 16; 43]; [32; 87; 27]; [29; 35]; [46; 20; 93]; [61; 83; 1]; [2; 42]; [51; 56; 64; 77]; [88; 3; 55]; [25; 23]; [17; 48; 82]; [26; 86; 31]; [24; 22]; [59; 28; 91; 74]; [69; 37; 95; 85; 70]], [99300; 93900; 99000; 96800; 93500; 93100; 98000; 95700; 99900; 98300; 99600; 92000; 99700; 94200; 97700; 99000; 97300; 93700; 99900; 93400; 99000; 98600; 86700; 95100; 100000; 99400; 100000; 99400; 96900; 99900; 99700; 99100; 97000; 99600], 74250, 74251, 2.259103536605835
