Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
10, 21, 0.9271769523809522, [50; 85; 1; 17; 15; 6; 70; 62; 66; 22; 38; 25; 21; 78; 74; 43; 35; 73; 27; 5; 47; 20; 30; 48; 33; 86; 36; 84; 59; 96; 98; 69; 23; 32; 76; 55; 65; 45; 7; 56; 89; 4; 80; 54; 13; 94; 97; 83; 72; 0; 63; 37; 10; 3; 60; 68; 26; 91; 12; 57; 16; 75; 95; 9; 53; 31; 41; 58; 18; 29; 39; 52; 42; 77; 19; 88; 28; 82; 61; 92; 40; 99; 71; 46; 11; 24; 8; 44; 64; 87; 79; 2; 14; 67; 49; 34; 81; 51; 93; 90], [[50; 85; 1; 17]; [15; 6; 70; 62]; [66; 22; 38; 25]; [21; 78; 74; 43; 35]; [73; 27; 5; 47]; [20; 30; 48]; [33; 86; 36; 84; 59; 96; 98; 69]; [23; 32; 76; 55; 65]; [45; 7; 56; 89]; [4; 80; 54; 13; 94]; [97; 83; 72; 0; 63; 37]; [10; 3; 60]; [68; 26; 91; 12; 57]; [16; 75; 95; 9; 53]; [31; 41; 58; 18]; [29; 39; 52; 42]; [77; 19; 88; 28; 82; 61]; [92; 40; 99; 71; 46; 11]; [24; 8; 44]; [64; 87; 79; 2; 14]; [67; 49; 34; 81; 51; 93; 90]], [97000; 98300; 98300; 98200; 96800; 79400; 100000; 99900; 82900; 99400; 99200; 88200; 99400; 100000; 99800; 95300; 99800; 99900; 87400; 99700; 99300], 49500, 49501, 2.7788286209106445
4, 21, 0.9256488571428572, [94; 52; 20; 90; 84; 11; 81; 13; 4; 55; 12; 73; 76; 0; 98; 66; 86; 88; 14; 49; 56; 45; 89; 36; 37; 58; 82; 16; 30; 19; 96; 17; 41; 79; 64; 43; 61; 68; 70; 26; 47; 25; 80; 31; 93; 1; 91; 53; 6; 3; 28; 29; 77; 57; 24; 10; 74; 95; 2; 22; 83; 99; 51; 67; 78; 54; 5; 50; 34; 85; 32; 18; 40; 75; 71; 46; 21; 23; 69; 63; 87; 8; 33; 62; 9; 48; 44; 39; 65; 59; 60; 27; 72; 35; 97; 92; 38; 15; 7; 42], [[94; 52; 20; 90; 84; 11]; [81; 13; 4; 55]; [12; 73; 76; 0; 98]; [66; 86; 88; 14; 49; 56]; [45; 89; 36; 37; 58]; [82; 16; 30; 19]; [96; 17; 41; 79; 64]; [43; 61; 68; 70; 26]; [47; 25; 80; 31; 93]; [1; 91; 53; 6]; [3; 28; 29; 77]; [57; 24; 10; 74; 95]; [2; 22; 83; 99; 51]; [67; 78; 54; 5; 50]; [34; 85; 32; 18]; [40; 75; 71; 46; 21]; [23; 69; 63; 87; 8]; [33; 62; 9; 48]; [44; 39; 65; 59; 60]; [27; 72; 35; 97; 92; 38]; [15; 7; 42]], [99600; 96800; 95200; 99900; 96800; 99300; 82300; 96100; 88400; 99300; 100000; 95000; 95700; 99500; 89700; 99600; 100000; 98400; 98100; 97100; 91400], 19800, 19801, 0.5292196273803711
15, 21, 0.9317877142857143, [59; 49; 65; 36; 77; 80; 39; 28; 19; 62; 96; 12; 22; 2; 4; 34; 82; 27; 31; 6; 60; 26; 37; 92; 46; 97; 52; 15; 43; 41; 51; 1; 0; 14; 63; 44; 29; 24; 61; 16; 53; 85; 69; 18; 3; 73; 98; 67; 50; 88; 58; 64; 79; 71; 30; 7; 99; 8; 35; 55; 54; 21; 89; 5; 84; 33; 23; 45; 40; 20; 70; 78; 9; 94; 25; 11; 13; 42; 66; 10; 17; 56; 87; 81; 57; 95; 90; 47; 32; 38; 75; 91; 83; 48; 93; 86; 68; 72; 74; 76], [[59; 49; 65; 36; 77; 80]; [39; 28; 19; 62]; [96; 12; 22]; [2; 4; 34]; [82; 27; 31; 6]; [60; 26; 37; 92; 46; 97]; [52; 15; 43; 41]; [51; 1; 0]; [14; 63; 44; 29]; [24; 61; 16; 53]; [85; 69; 18; 3; 73]; [98; 67; 50; 88; 58; 64; 79; 71]; [30; 7; 99; 8]; [35; 55; 54; 21; 89]; [5; 84; 33; 23]; [45; 40; 20; 70; 78]; [9; 94; 25; 11]; [13; 42; 66]; [10; 17; 56; 87; 81]; [57; 95; 90; 47; 32; 38]; [75; 91; 83; 48; 93; 86; 68; 72; 74; 76]], [98400; 99300; 65500; 98600; 98400; 99700; 99800; 96500; 98600; 99300; 100000; 99300; 99600; 99600; 97400; 99900; 99500; 71500; 99500; 98800; 99000], 74250, 74251, 1.9819538593292236
6, 21, 0.9268560952380951, [36; 51; 28; 17; 91; 65; 33; 55; 5; 19; 20; 31; 72; 95; 59; 0; 93; 1; 77; 98; 43; 87; 52; 78; 66; 29; 99; 63; 23; 15; 62; 48; 45; 13; 49; 69; 34; 88; 74; 58; 9; 70; 46; 14; 50; 71; 90; 39; 11; 32; 82; 81; 89; 68; 8; 80; 41; 94; 47; 96; 4; 92; 30; 27; 24; 12; 85; 84; 42; 18; 83; 57; 37; 60; 86; 26; 25; 16; 40; 7; 10; 56; 38; 54; 2; 3; 97; 75; 67; 6; 61; 73; 22; 35; 64; 53; 21; 44; 76; 79], [[36; 51; 28]; [17; 91; 65; 33; 55]; [5; 19; 20]; [31; 72; 95; 59; 0; 93]; [1; 77; 98; 43; 87; 52]; [78; 66; 29; 99; 63; 23]; [15; 62; 48; 45]; [13; 49; 69; 34; 88]; [74; 58; 9; 70; 46]; [14; 50; 71; 90; 39]; [11; 32; 82; 81; 89; 68]; [8; 80; 41; 94; 47; 96]; [4; 92; 30; 27]; [24; 12; 85; 84; 42]; [18; 83; 57; 37; 60]; [86; 26; 25; 16]; [40; 7; 10]; [56; 38; 54; 2]; [3; 97; 75; 67; 6]; [61; 73; 22; 35; 64]; [53; 21; 44; 76; 79]], [72900; 97500; 98600; 99500; 99400; 98300; 93300; 99200; 99200; 96400; 96700; 93900; 95700; 98700; 98800; 95200; 93400; 99400; 100000; 99700; 92400], 29700, 29701, 0.8054561614990234
6, 21, 0.9249691428571425, [9; 42; 20; 79; 14; 21; 18; 97; 7; 57; 19; 53; 33; 29; 55; 6; 76; 69; 37; 66; 8; 72; 93; 51; 65; 84; 88; 63; 78; 5; 11; 94; 23; 25; 35; 68; 44; 71; 56; 67; 22; 3; 49; 16; 2; 62; 0; 15; 96; 4; 43; 87; 95; 41; 81; 46; 70; 89; 50; 40; 58; 36; 90; 39; 28; 30; 26; 82; 91; 10; 31; 17; 61; 1; 60; 64; 75; 12; 74; 38; 45; 86; 34; 32; 77; 92; 52; 85; 83; 59; 80; 99; 73; 48; 13; 54; 27; 24; 98; 47], [[9; 42; 20; 79]; [14; 21; 18; 97]; [7; 57; 19]; [53; 33; 29; 55]; [6; 76; 69; 37; 66]; [8; 72; 93; 51; 65; 84; 88]; [63; 78; 5; 11; 94]; [23; 25; 35; 68]; [44; 71; 56; 67; 22]; [3; 49; 16]; [2; 62; 0]; [15; 96; 4; 43; 87]; [95; 41; 81; 46; 70; 89; 50]; [40; 58; 36; 90; 39]; [28; 30; 26; 82; 91]; [10; 31; 17]; [61; 1; 60; 64; 75]; [12; 74; 38; 45; 86]; [34; 32; 77; 92; 52; 85; 83]; [59; 80; 99; 73; 48; 13]; [54; 27; 24; 98; 47]], [97700; 97200; 85800; 92100; 99500; 98100; 96700; 97800; 99500; 90200; 91000; 100000; 97000; 96900; 95200; 92700; 98500; 97500; 100000; 94900; 99900], 29700, 29701, 0.7946586608886719
5, 21, 0.925314857142857, [5; 99; 51; 44; 73; 8; 42; 47; 97; 31; 50; 87; 49; 36; 4; 89; 6; 48; 41; 32; 81; 96; 79; 26; 39; 30; 0; 17; 67; 64; 2; 72; 82; 75; 40; 78; 91; 27; 70; 60; 14; 94; 15; 1; 98; 12; 90; 57; 10; 56; 46; 43; 65; 13; 59; 35; 58; 95; 54; 25; 77; 61; 69; 93; 34; 18; 85; 55; 11; 20; 24; 74; 21; 9; 53; 88; 19; 33; 7; 3; 84; 45; 23; 38; 86; 80; 63; 83; 66; 52; 29; 71; 28; 16; 62; 22; 37; 68; 76; 92], [[5; 99; 51; 44; 73]; [8; 42; 47; 97]; [31; 50; 87; 49; 36]; [4; 89; 6; 48]; [41; 32; 81; 96; 79; 26]; [39; 30; 0]; [17; 67; 64; 2]; [72; 82; 75; 40; 78; 91; 27]; [70; 60; 14; 94; 15]; [1; 98; 12; 90; 57]; [10; 56; 46; 43]; [65; 13; 59; 35]; [58; 95; 54; 25; 77; 61]; [69; 93; 34; 18; 85; 55]; [11; 20; 24]; [74; 21; 9; 53]; [88; 19; 33; 7]; [3; 84; 45; 23]; [38; 86; 80; 63; 83; 66; 52]; [29; 71; 28; 16]; [62; 22; 37; 68; 76; 92]], [93300; 82600; 99500; 99400; 97300; 89000; 99400; 96000; 98800; 97500; 98700; 91800; 95600; 99300; 94000; 95700; 98800; 95100; 97600; 99000; 99800], 24750, 24751, 0.6599242687225342
6, 21, 0.925575619047619, [75; 66; 45; 52; 24; 87; 67; 37; 16; 65; 51; 57; 96; 58; 14; 32; 23; 36; 35; 13; 83; 18; 4; 74; 31; 48; 9; 11; 50; 44; 26; 92; 63; 71; 72; 64; 22; 8; 54; 91; 29; 15; 7; 88; 60; 6; 98; 84; 68; 61; 19; 28; 27; 69; 33; 43; 89; 30; 76; 80; 40; 12; 49; 55; 5; 42; 2; 56; 90; 86; 99; 17; 20; 38; 53; 47; 25; 3; 39; 0; 59; 73; 62; 21; 81; 77; 79; 95; 10; 78; 70; 41; 82; 34; 97; 1; 46; 93; 85; 94], [[75; 66; 45; 52; 24]; [87; 67; 37; 16; 65]; [51; 57; 96; 58; 14]; [32; 23; 36]; [35; 13; 83; 18]; [4; 74; 31; 48]; [9; 11; 50]; [44; 26; 92; 63; 71; 72]; [64; 22; 8; 54]; [91; 29; 15; 7]; [88; 60; 6; 98; 84; 68; 61]; [19; 28; 27; 69]; [33; 43; 89; 30; 76; 80]; [40; 12; 49; 55]; [5; 42; 2]; [56; 90; 86; 99; 17; 20]; [38; 53; 47; 25]; [3; 39; 0]; [59; 73; 62; 21; 81; 77]; [79; 95; 10; 78; 70; 41; 82]; [34; 97; 1; 46; 93; 85; 94]], [98200; 93200; 92800; 80900; 96600; 94800; 89000; 96800; 99600; 100000; 98700; 100000; 100000; 97300; 95900; 95500; 95600; 98900; 94700; 99800; 99900], 29700, 29701, 0.8069491386413574
6, 21, 0.9247239047619045, [47; 93; 87; 92; 56; 97; 6; 25; 23; 71; 48; 83; 70; 89; 24; 36; 50; 90; 94; 68; 26; 11; 52; 86; 51; 62; 59; 2; 10; 73; 19; 58; 17; 35; 22; 75; 41; 57; 5; 85; 80; 84; 28; 31; 1; 27; 15; 4; 46; 13; 8; 53; 33; 81; 49; 43; 18; 38; 55; 88; 67; 44; 16; 69; 45; 42; 0; 21; 7; 9; 30; 29; 91; 78; 98; 34; 39; 37; 64; 60; 32; 63; 66; 82; 20; 95; 65; 54; 12; 77; 40; 14; 79; 99; 3; 72; 96; 76; 74; 61], [[47; 93; 87; 92; 56; 97; 6]; [25; 23; 71; 48; 83]; [70; 89; 24; 36; 50; 90]; [94; 68; 26; 11; 52]; [86; 51; 62; 59; 2]; [10; 73; 19; 58]; [17; 35; 22; 75]; [41; 57; 5; 85; 80; 84]; [28; 31; 1]; [27; 15; 4]; [46; 13; 8]; [53; 33; 81; 49; 43]; [18; 38; 55; 88; 67]; [44; 16; 69; 45]; [42; 0; 21]; [7; 9; 30]; [29; 91; 78; 98; 34; 39]; [37; 64; 60; 32; 63]; [66; 82; 20; 95; 65; 54]; [12; 77; 40; 14]; [79; 99; 3; 72; 96; 76; 74; 61]], [92300; 99300; 100000; 99000; 97800; 95800; 97400; 99100; 91100; 96500; 90500; 99200; 96100; 92000; 91600; 96700; 93000; 99700; 91700; 99800; 99600], 29700, 29701, 0.8014106750488281
6, 21, 0.9273663809523809, [26; 30; 54; 37; 88; 83; 45; 47; 57; 93; 50; 52; 10; 81; 46; 28; 32; 75; 15; 41; 91; 77; 70; 73; 4; 31; 74; 84; 72; 33; 42; 2; 66; 48; 34; 1; 11; 23; 87; 79; 92; 56; 22; 96; 76; 19; 27; 21; 80; 82; 97; 0; 62; 78; 99; 71; 90; 14; 6; 53; 60; 12; 55; 64; 68; 9; 24; 5; 20; 17; 49; 67; 43; 8; 69; 36; 95; 3; 40; 58; 38; 63; 85; 7; 65; 13; 89; 18; 25; 39; 44; 61; 94; 16; 29; 98; 59; 51; 35; 86], [[26; 30; 54; 37]; [88; 83; 45; 47; 57; 93; 50]; [52; 10; 81; 46]; [28; 32; 75; 15]; [41; 91; 77; 70; 73; 4]; [31; 74; 84; 72; 33]; [42; 2; 66; 48]; [34; 1; 11]; [23; 87; 79; 92; 56; 22; 96]; [76; 19; 27; 21]; [80; 82; 97; 0; 62; 78; 99; 71]; [90; 14; 6; 53]; [60; 12; 55; 64; 68]; [9; 24; 5]; [20; 17; 49; 67]; [43; 8; 69; 36; 95]; [3; 40; 58]; [38; 63; 85; 7; 65]; [13; 89; 18; 25]; [39; 44; 61; 94; 16]; [29; 98; 59; 51; 35; 86]], [98500; 99000; 86000; 95700; 100000; 81000; 96900; 97200; 99700; 99700; 97700; 94400; 99600; 99500; 99300; 99900; 78400; 97800; 99100; 99600; 99200], 29700, 29701, 0.7602362632751465
6, 21, 0.9281871428571427, [83; 37; 26; 6; 95; 18; 21; 0; 79; 20; 62; 78; 36; 16; 30; 11; 99; 66; 34; 29; 74; 48; 19; 3; 13; 10; 97; 24; 38; 54; 65; 5; 17; 41; 87; 1; 27; 7; 84; 22; 64; 80; 71; 49; 45; 61; 76; 25; 57; 8; 88; 47; 50; 69; 68; 31; 98; 39; 46; 90; 23; 58; 2; 70; 42; 81; 75; 89; 9; 51; 82; 4; 59; 85; 63; 12; 55; 40; 53; 14; 44; 35; 96; 67; 52; 43; 86; 77; 56; 60; 32; 93; 72; 73; 33; 91; 28; 92; 94; 15], [[83; 37; 26; 6; 95]; [18; 21; 0]; [79; 20; 62; 78; 36]; [16; 30; 11; 99]; [66; 34; 29; 74; 48]; [19; 3]; [13; 10; 97; 24]; [38; 54; 65; 5]; [17; 41; 87; 1]; [27; 7; 84; 22]; [64; 80; 71; 49; 45; 61]; [76; 25; 57; 8; 88]; [47; 50; 69; 68; 31; 98]; [39; 46; 90; 23; 58]; [2; 70; 42; 81; 75; 89]; [9; 51; 82; 4]; [59; 85; 63; 12; 55]; [40; 53; 14; 44]; [35; 96; 67; 52; 43; 86]; [77; 56; 60; 32; 93; 72; 73]; [33; 91; 28; 92; 94; 15]], [97400; 99900; 90400; 95000; 99700; 68300; 98700; 95000; 99100; 99100; 98600; 98300; 99000; 99700; 98300; 100000; 92700; 99900; 92700; 98500; 97900], 29700, 29701, 0.790168285369873
