Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
44, 22, 0.9478984545454545, [91; 67; 40; 59; 8; 9; 11; 43; 87; 44; 39; 36; 50; 27; 58; 62; 17; 48; 75; 14; 20; 3; 38; 2; 31; 18; 25; 86; 1; 34; 15; 24; 42; 66; 80; 51; 85; 84; 68; 22; 57; 47; 23; 7; 46; 76; 89; 88; 26; 64; 30; 73; 0; 29; 49; 70; 5; 16; 32; 10; 63; 60; 28; 19; 53; 13; 72; 69; 78; 6; 65; 41; 35; 74; 21; 37; 95; 4; 52; 71; 55; 77; 61; 12; 81; 83; 97; 33; 45; 54; 79; 94; 82; 56; 90; 96; 98; 92; 99; 93], [[91; 67; 40; 59; 8]; [9; 11; 43]; [87; 44; 39; 36; 50]; [27; 58; 62; 17]; [48; 75; 14; 20]; [3; 38; 2]; [31; 18; 25; 86]; [1; 34; 15]; [24; 42; 66; 80; 51]; [85; 84; 68; 22; 57; 47]; [23; 7; 46; 76]; [89; 88; 26; 64; 30; 73]; [0; 29; 49; 70]; [5; 16; 32]; [10; 63; 60; 28]; [19; 53; 13; 72]; [69; 78; 6; 65; 41]; [35; 74; 21; 37; 95]; [4; 52; 71; 55; 77]; [61; 12; 81; 83; 97; 33]; [45; 54; 79; 94; 82; 56; 90; 96; 98; 92]; [99; 93]], [98200; 95500; 100000; 100000; 99100; 100000; 99900; 99900; 99900; 99800; 100000; 100000; 100000; 100000; 100000; 100000; 100000; 100000; 100000; 100000; 100000; 7300], 222750, 222751, 7.405592203140259
50, 22, 0.9521215454545455, [19; 18; 83; 97; 44; 25; 81; 46; 37; 69; 70; 88; 87; 86; 50; 74; 9; 30; 58; 66; 63; 49; 55; 51; 76; 5; 75; 59; 77; 64; 0; 79; 89; 60; 94; 20; 42; 41; 53; 32; 78; 33; 73; 47; 27; 84; 80; 28; 1; 6; 35; 11; 96; 40; 4; 29; 14; 15; 24; 56; 68; 7; 17; 13; 26; 71; 23; 52; 62; 48; 10; 39; 57; 91; 67; 3; 2; 38; 12; 54; 45; 43; 16; 21; 34; 92; 65; 8; 22; 61; 99; 36; 90; 93; 72; 31; 82; 85; 95; 98], [[19; 18; 83; 97; 44]; [25; 81; 46; 37; 69]; [70; 88; 87; 86; 50; 74; 9]; [30; 58; 66; 63; 49]; [55; 51; 76; 5; 75]; [59; 77; 64; 0; 79; 89]; [60; 94; 20; 42; 41]; [53; 32; 78; 33; 73]; [47; 27; 84; 80; 28]; [1; 6; 35]; [11; 96; 40; 4]; [29; 14; 15]; [24; 56; 68; 7]; [17; 13; 26]; [71; 23; 52; 62; 48]; [10; 39; 57; 91; 67]; [3; 2; 38]; [12; 54; 45; 43]; [16; 21; 34; 92]; [65; 8; 22; 61]; [99; 36; 90; 93; 72; 31; 82; 85; 95]; [98]], [99900; 99800; 100000; 99700; 99800; 100000; 99700; 100000; 100000; 100000; 100000; 99900; 100000; 100000; 100000; 99400; 100000; 100000; 99100; 100000; 100000; 2300], 252450, 252451, 6.696249008178711
40, 22, 0.9235475454545455, [5; 32; 16; 9; 1; 37; 70; 41; 68; 67; 7; 45; 76; 23; 12; 30; 13; 44; 52; 73; 71; 99; 53; 79; 46; 10; 66; 81; 59; 49; 69; 92; 74; 27; 56; 17; 28; 0; 8; 89; 47; 65; 39; 21; 33; 22; 6; 29; 97; 54; 60; 31; 18; 40; 80; 4; 77; 61; 78; 93; 57; 11; 20; 50; 34; 48; 95; 42; 91; 38; 43; 58; 24; 98; 75; 19; 94; 72; 90; 35; 14; 25; 83; 96; 26; 84; 63; 85; 86; 82; 55; 2; 51; 3; 88; 36; 64; 62; 15; 87], [[5; 32; 16]; [9; 1; 37]; [70; 41; 68; 67; 7]; [45; 76; 23]; [12; 30; 13]; [44; 52; 73; 71; 99; 53; 79]; [46; 10; 66; 81; 59]; [49; 69; 92; 74; 27; 56]; [17; 28]; [0; 8; 89; 47]; [65; 39; 21; 33]; [22; 6; 29; 97]; [54; 60; 31; 18]; [40; 80; 4; 77; 61]; [78; 93; 57; 11]; [20; 50; 34; 48]; [95; 42; 91; 38; 43; 58]; [24; 98; 75; 19; 94; 72; 90]; [35; 14; 25; 83]; [96; 26; 84; 63; 85; 86; 82; 55]; [2; 51; 3; 88]; [36; 64; 62; 15; 87]], [100000; 99800; 100000; 64900; 99700; 100000; 100000; 100000; 64900; 100000; 99900; 99900; 99000; 99900; 71800; 100000; 100000; 100000; 100000; 100000; 100000; 99800], 202950, 202951, 5.273470640182495
43, 22, 0.949728, [72; 4; 78; 2; 99; 1; 49; 90; 31; 84; 47; 46; 10; 58; 53; 37; 54; 76; 43; 25; 42; 30; 65; 18; 77; 59; 8; 9; 74; 70; 62; 45; 15; 27; 17; 51; 79; 13; 95; 28; 34; 82; 68; 97; 19; 66; 3; 73; 0; 71; 32; 40; 23; 63; 11; 85; 75; 26; 67; 55; 61; 35; 60; 48; 20; 44; 88; 83; 21; 52; 6; 93; 98; 7; 96; 22; 16; 64; 81; 91; 57; 5; 33; 86; 94; 89; 39; 69; 24; 87; 38; 80; 14; 56; 12; 36; 41; 50; 29; 92], [[72; 4; 78; 2; 99]; [1; 49; 90; 31; 84]; [47; 46; 10; 58]; [53; 37; 54; 76; 43]; [25; 42; 30; 65]; [18; 77; 59; 8]; [9; 74; 70; 62; 45]; [15; 27; 17]; [51; 79; 13; 95; 28]; [34; 82; 68; 97; 19; 66]; [3; 73; 0; 71]; [32; 40; 23; 63]; [11; 85; 75; 26; 67]; [55; 61; 35; 60; 48]; [20; 44; 88; 83; 21]; [52; 6; 93; 98; 7]; [96; 22; 16; 64; 81; 91]; [57; 5; 33; 86; 94; 89]; [39; 69; 24; 87; 38]; [80; 14; 56; 12]; [36; 41; 50; 29]; [92]], [100000; 100000; 96400; 100000; 99300; 99900; 100000; 99900; 100000; 100000; 99200; 100000; 100000; 100000; 100000; 100000; 100000; 100000; 100000; 100000; 99800; 5100], 217800, 217801, 5.654511451721191
46, 22, 0.9238348181818182, [35; 7; 46; 64; 42; 82; 22; 77; 86; 58; 12; 34; 3; 57; 85; 11; 0; 47; 80; 39; 27; 68; 15; 70; 45; 67; 63; 83; 71; 33; 79; 89; 13; 73; 26; 61; 38; 75; 97; 1; 48; 8; 92; 29; 18; 95; 19; 59; 24; 41; 16; 98; 52; 25; 69; 30; 17; 4; 2; 37; 87; 21; 9; 36; 90; 20; 31; 32; 93; 44; 28; 65; 23; 66; 60; 53; 96; 81; 6; 74; 76; 56; 49; 5; 84; 62; 54; 55; 14; 94; 91; 72; 43; 50; 40; 10; 78; 99; 88; 51], [[35; 7; 46; 64]; [42; 82; 22; 77; 86; 58]; [12; 34; 3]; [57; 85; 11; 0]; [47; 80; 39; 27; 68]; [15; 70; 45; 67; 63]; [83; 71; 33; 79; 89; 13]; [73; 26; 61; 38; 75; 97]; [1; 48; 8; 92]; [29; 18; 95; 19]; [59; 24; 41]; [16; 98; 52; 25; 69]; [30; 17]; [4; 2; 37]; [87; 21; 9; 36]; [90; 20; 31; 32; 93]; [44; 28; 65; 23]; [66; 60; 53; 96; 81]; [6; 74; 76; 56; 49]; [5; 84; 62; 54; 55]; [14; 94; 91; 72; 43; 50]; [40; 10; 78; 99; 88; 51]], [99800; 99800; 100000; 99900; 100000; 100000; 100000; 100000; 99200; 100000; 72700; 100000; 64000; 100000; 100000; 100000; 100000; 64200; 100000; 100000; 100000; 100000], 232650, 232651, 6.10355019569397
47, 22, 0.9497821818181819, [64; 36; 57; 82; 88; 56; 91; 84; 54; 7; 23; 43; 19; 49; 42; 55; 33; 28; 45; 52; 75; 67; 48; 98; 20; 25; 65; 99; 51; 21; 11; 70; 62; 16; 37; 5; 0; 30; 17; 31; 86; 24; 2; 78; 83; 73; 66; 53; 26; 13; 77; 27; 14; 44; 4; 69; 47; 29; 94; 32; 22; 9; 12; 3; 34; 87; 68; 38; 61; 50; 90; 72; 46; 39; 59; 74; 41; 15; 40; 85; 18; 79; 63; 10; 8; 6; 71; 1; 80; 96; 89; 95; 58; 35; 93; 60; 81; 76; 97; 92], [[64; 36; 57; 82; 88; 56; 91]; [84; 54; 7; 23]; [43; 19; 49; 42]; [55; 33; 28; 45]; [52; 75; 67; 48; 98; 20]; [25; 65; 99; 51; 21]; [11; 70; 62; 16]; [37; 5; 0]; [30; 17; 31; 86]; [24; 2; 78; 83; 73]; [66; 53; 26; 13]; [77; 27; 14; 44]; [4; 69; 47; 29]; [94; 32; 22; 9]; [12; 3; 34]; [87; 68; 38; 61; 50; 90; 72]; [46; 39; 59; 74; 41]; [15; 40; 85; 18]; [79; 63; 10; 8]; [6; 71; 1; 80; 96]; [89; 95; 58; 35; 93; 60; 81; 76; 97]; [92]], [100000; 94900; 100000; 100000; 99900; 100000; 99900; 100000; 100000; 100000; 100000; 100000; 100000; 100000; 100000; 100000; 99800; 100000; 100000; 100000; 100000; 5100], 237600, 237601, 6.220946788787842
42, 22, 0.9237182727272727, [77; 78; 76; 92; 33; 19; 84; 61; 57; 43; 79; 11; 80; 28; 75; 70; 30; 59; 51; 53; 32; 13; 9; 37; 3; 6; 67; 55; 81; 45; 16; 71; 49; 26; 4; 48; 24; 58; 27; 74; 95; 60; 5; 66; 29; 46; 69; 91; 63; 39; 68; 25; 22; 97; 12; 42; 44; 65; 85; 56; 93; 62; 72; 18; 90; 98; 15; 38; 2; 87; 10; 47; 14; 52; 82; 1; 36; 7; 20; 89; 86; 17; 23; 34; 73; 21; 8; 54; 50; 35; 83; 31; 64; 40; 41; 99; 0; 96; 88; 94], [[77; 78; 76; 92; 33]; [19; 84; 61; 57; 43]; [79; 11; 80; 28; 75]; [70; 30; 59; 51; 53]; [32; 13; 9]; [37; 3; 6]; [67; 55; 81; 45; 16]; [71; 49; 26; 4]; [48; 24; 58]; [27; 74; 95; 60; 5]; [66; 29; 46; 69; 91; 63]; [39; 68; 25; 22]; [97; 12; 42; 44; 65]; [85; 56; 93; 62; 72; 18; 90]; [98; 15; 38]; [2; 87; 10; 47]; [14; 52; 82; 1]; [36; 7; 20; 89]; [86; 17; 23; 34]; [73; 21; 8; 54]; [50; 35; 83; 31; 64]; [40; 41; 99; 0; 96; 88; 94]], [68000; 100000; 99900; 100000; 100000; 99800; 99900; 100000; 69800; 100000; 100000; 99900; 99800; 99500; 63100; 100000; 100000; 100000; 100000; 99900; 100000; 100000], 212850, 212851, 5.627262353897095
61, 22, 0.9497652727272726, [18; 57; 56; 85; 46; 91; 8; 99; 53; 7; 31; 10; 17; 78; 26; 34; 29; 48; 51; 22; 32; 24; 62; 6; 64; 55; 74; 80; 16; 60; 88; 2; 23; 21; 25; 52; 41; 35; 43; 95; 63; 13; 61; 93; 49; 44; 50; 5; 58; 94; 37; 84; 77; 47; 79; 30; 20; 68; 59; 86; 12; 0; 54; 83; 11; 36; 19; 1; 71; 67; 9; 3; 76; 82; 28; 70; 4; 66; 73; 42; 72; 45; 33; 40; 38; 15; 81; 98; 14; 97; 65; 87; 75; 27; 39; 69; 90; 89; 96; 92], [[18; 57; 56; 85; 46]; [91; 8; 99; 53; 7]; [31; 10; 17]; [78; 26; 34; 29]; [48; 51; 22; 32]; [24; 62; 6; 64]; [55; 74; 80; 16; 60; 88]; [2; 23; 21]; [25; 52; 41; 35]; [43; 95; 63; 13; 61; 93]; [49; 44; 50; 5]; [58; 94; 37; 84; 77; 47; 79]; [30; 20; 68; 59; 86]; [12; 0; 54; 83]; [11; 36; 19]; [1; 71; 67; 9]; [3; 76; 82; 28; 70]; [4; 66; 73; 42; 72]; [45; 33; 40; 38]; [15; 81; 98; 14; 97; 65]; [87; 75; 27; 39; 69; 90; 89; 96]; [92]], [100000; 100000; 100000; 99700; 100000; 100000; 100000; 99600; 100000; 100000; 100000; 100000; 99900; 100000; 95300; 100000; 100000; 100000; 100000; 100000; 100000; 5100], 306900, 306901, 8.029609203338623
41, 22, 0.9239811818181818, [11; 26; 63; 61; 20; 71; 30; 35; 56; 0; 70; 22; 12; 32; 9; 24; 92; 34; 52; 99; 46; 18; 40; 38; 17; 21; 84; 98; 42; 41; 4; 67; 19; 25; 10; 80; 57; 53; 44; 33; 76; 87; 89; 49; 51; 5; 60; 2; 94; 91; 7; 88; 16; 97; 48; 83; 72; 45; 47; 6; 86; 3; 93; 39; 37; 77; 14; 36; 96; 82; 65; 8; 85; 31; 29; 13; 15; 27; 43; 73; 55; 95; 79; 58; 62; 59; 66; 54; 75; 1; 23; 50; 78; 64; 28; 81; 74; 68; 90; 69], [[11; 26; 63; 61]; [20; 71; 30; 35]; [56; 0; 70; 22]; [12; 32]; [9; 24; 92; 34]; [52; 99; 46; 18; 40]; [38; 17; 21; 84]; [98; 42; 41; 4; 67]; [19; 25; 10]; [80; 57; 53; 44; 33]; [76; 87; 89; 49; 51]; [5; 60; 2; 94; 91]; [7; 88; 16; 97; 48]; [83; 72; 45; 47; 6]; [86; 3; 93; 39; 37]; [77; 14; 36; 96; 82; 65]; [8; 85; 31]; [29; 13; 15]; [27; 43; 73; 55; 95; 79]; [58; 62; 59; 66; 54; 75]; [1; 23; 50; 78]; [64; 28; 81; 74; 68; 90; 69]], [99600; 100000; 100000; 63800; 100000; 100000; 99700; 99900; 100000; 100000; 63500; 100000; 100000; 99900; 100000; 100000; 73300; 99900; 100000; 100000; 100000; 100000], 207900, 207901, 5.404371500015259
46, 22, 0.9237136363636363, [59; 53; 99; 78; 97; 77; 36; 84; 2; 67; 75; 3; 60; 94; 9; 91; 33; 63; 0; 93; 68; 18; 13; 20; 29; 41; 83; 80; 50; 85; 30; 11; 17; 16; 8; 32; 37; 27; 22; 72; 7; 35; 1; 31; 45; 24; 64; 25; 12; 96; 23; 51; 40; 74; 56; 88; 58; 39; 92; 14; 15; 19; 26; 6; 55; 54; 10; 44; 69; 34; 5; 28; 70; 48; 76; 79; 42; 21; 87; 62; 4; 66; 81; 82; 89; 52; 90; 46; 49; 73; 38; 47; 71; 61; 86; 95; 43; 57; 65; 98], [[59; 53; 99; 78; 97; 77; 36; 84]; [2; 67; 75]; [3; 60; 94; 9; 91]; [33; 63; 0; 93; 68]; [18; 13; 20]; [29; 41; 83; 80; 50; 85]; [30; 11; 17]; [16; 8; 32]; [37; 27; 22; 72]; [7; 35; 1]; [31; 45; 24; 64]; [25; 12; 96; 23]; [51; 40; 74; 56; 88; 58]; [39; 92; 14; 15]; [19; 26]; [6; 55; 54]; [10; 44; 69; 34]; [5; 28; 70; 48]; [76; 79; 42; 21; 87; 62]; [4; 66; 81; 82; 89; 52; 90]; [46; 49; 73; 38; 47]; [71; 61; 86; 95; 43; 57; 65; 98]], [100000; 63000; 99800; 100000; 100000; 99900; 100000; 99900; 100000; 100000; 98400; 100000; 100000; 99900; 63600; 75500; 99600; 100000; 100000; 100000; 100000; 100000], 232650, 232651, 6.110135555267334
