Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
2, 13, 0.9237758461538461, [40; 95; 35; 77; 91; 70; 87; 10; 12; 62; 2; 76; 9; 83; 69; 57; 39; 85; 67; 94; 29; 64; 31; 63; 34; 24; 7; 16; 61; 5; 15; 73; 84; 81; 22; 6; 48; 59; 14; 79; 21; 4; 23; 49; 52; 46; 0; 66; 3; 42; 80; 25; 90; 13; 41; 72; 33; 56; 93; 1; 74; 68; 44; 96; 75; 20; 19; 47; 26; 71; 53; 36; 99; 38; 88; 58; 54; 18; 86; 98; 82; 92; 27; 17; 11; 43; 55; 65; 30; 78; 51; 50; 45; 37; 60; 89; 8; 28; 32; 97], [[40; 95; 35; 77; 91; 70; 87; 10; 12]; [62; 2; 76; 9; 83; 69; 57]; [39; 85; 67; 94; 29; 64; 31; 63; 34]; [24; 7; 16; 61; 5]; [15; 73; 84; 81; 22; 6; 48]; [59; 14; 79; 21; 4; 23]; [49; 52; 46; 0; 66; 3]; [42; 80; 25; 90; 13; 41; 72; 33]; [56; 93; 1; 74; 68; 44; 96; 75; 20]; [19; 47; 26; 71; 53; 36; 99; 38]; [88; 58; 54; 18; 86; 98; 82; 92; 27; 17]; [11; 43; 55; 65; 30; 78; 51; 50]; [45; 37; 60; 89; 8; 28; 32; 97]], [98900; 86900; 93600; 96800; 92800; 98800; 94200; 99900; 93400; 97200; 97300; 99900; 98900], 9900, 9901, 0.250105619430542
2, 13, 0.9260360000000001, [17; 13; 93; 27; 52; 55; 54; 67; 15; 50; 44; 16; 24; 91; 89; 7; 51; 26; 62; 46; 4; 19; 79; 63; 38; 36; 92; 0; 65; 71; 86; 70; 3; 49; 30; 80; 5; 64; 95; 98; 42; 45; 6; 58; 72; 18; 11; 21; 69; 31; 10; 20; 99; 59; 83; 25; 61; 43; 60; 84; 73; 37; 9; 74; 56; 32; 85; 39; 78; 76; 47; 35; 57; 34; 77; 41; 33; 1; 88; 66; 40; 2; 96; 14; 48; 23; 68; 97; 12; 87; 82; 75; 53; 90; 94; 28; 8; 29; 81; 22], [[17; 13; 93; 27; 52; 55; 54]; [67; 15; 50; 44; 16; 24; 91; 89]; [7; 51; 26; 62; 46; 4]; [19; 79; 63; 38; 36; 92; 0; 65]; [71; 86; 70; 3; 49; 30; 80]; [5; 64; 95; 98; 42; 45; 6; 58]; [72; 18; 11; 21; 69; 31]; [10; 20; 99; 59; 83; 25; 61; 43]; [60; 84; 73; 37; 9; 74; 56; 32; 85]; [39; 78; 76; 47; 35; 57; 34; 77; 41]; [33; 1; 88; 66; 40; 2; 96]; [14; 48; 23; 68; 97; 12; 87; 82; 75]; [53; 90; 94; 28; 8; 29; 81; 22]], [96100; 100000; 99700; 99700; 77000; 97100; 92000; 98600; 96300; 98500; 94600; 99900; 99100], 9900, 9901, 0.23334217071533203
2, 13, 0.9235421538461538, [63; 8; 85; 34; 43; 96; 10; 48; 57; 28; 18; 67; 84; 53; 39; 56; 38; 20; 36; 98; 55; 3; 6; 81; 21; 0; 11; 65; 80; 91; 30; 24; 40; 15; 75; 90; 26; 92; 25; 93; 94; 35; 73; 76; 7; 37; 1; 61; 70; 45; 29; 88; 62; 72; 78; 54; 4; 14; 71; 19; 66; 31; 27; 2; 5; 64; 69; 32; 60; 46; 33; 97; 79; 86; 52; 41; 82; 87; 13; 83; 99; 51; 17; 23; 42; 49; 50; 16; 77; 44; 74; 59; 12; 22; 58; 47; 9; 89; 68; 95], [[63; 8; 85; 34; 43; 96; 10]; [48; 57; 28; 18; 67; 84; 53; 39]; [56; 38; 20; 36; 98; 55; 3]; [6; 81; 21; 0; 11]; [65; 80; 91; 30; 24; 40; 15; 75; 90]; [26; 92; 25; 93; 94; 35; 73; 76; 7]; [37; 1; 61; 70; 45; 29; 88; 62]; [72; 78; 54; 4; 14; 71; 19]; [66; 31; 27; 2; 5; 64]; [69; 32; 60; 46; 33; 97; 79; 86; 52; 41]; [82; 87; 13; 83; 99; 51; 17; 23]; [42; 49; 50; 16; 77; 44; 74; 59]; [12; 22; 58; 47; 9; 89; 68; 95]], [91000; 95100; 94700; 97700; 97300; 97400; 99200; 96800; 100000; 97600; 89200; 92600; 100000], 9900, 9901, 0.23129868507385254
3, 13, 0.9238086153846153, [61; 2; 8; 58; 72; 6; 14; 76; 1; 63; 33; 15; 36; 29; 80; 43; 93; 37; 31; 81; 3; 32; 53; 26; 4; 23; 97; 16; 46; 56; 44; 24; 77; 83; 28; 19; 64; 18; 59; 62; 12; 55; 0; 73; 54; 65; 38; 78; 82; 60; 35; 90; 70; 86; 57; 66; 48; 21; 41; 87; 98; 42; 74; 40; 67; 99; 5; 45; 51; 39; 11; 96; 68; 13; 52; 17; 95; 22; 10; 71; 25; 94; 9; 84; 50; 85; 34; 49; 7; 89; 27; 69; 30; 75; 88; 20; 79; 92; 47; 91], [[61; 2; 8; 58; 72; 6]; [14; 76; 1; 63; 33; 15]; [36; 29; 80; 43; 93; 37; 31; 81]; [3; 32; 53; 26; 4]; [23; 97; 16; 46; 56; 44; 24]; [77; 83; 28; 19; 64; 18; 59; 62]; [12; 55; 0; 73; 54; 65; 38]; [78; 82; 60; 35; 90; 70; 86; 57; 66; 48; 21]; [41; 87; 98; 42; 74; 40; 67; 99; 5; 45]; [51; 39; 11; 96; 68; 13; 52]; [17; 95; 22; 10; 71; 25; 94]; [9; 84; 50; 85; 34; 49; 7; 89]; [27; 69; 30; 75; 88; 20; 79; 92; 47; 91]], [99900; 99400; 89500; 94800; 93700; 94400; 98200; 99800; 100000; 91400; 91400; 100000; 96100], 14850, 14851, 0.3578944206237793
2, 13, 0.9245176923076921, [6; 31; 65; 5; 17; 28; 76; 39; 51; 30; 37; 16; 60; 35; 71; 86; 8; 19; 20; 32; 13; 58; 2; 11; 3; 90; 80; 96; 25; 43; 88; 33; 68; 99; 63; 45; 40; 49; 48; 73; 24; 22; 74; 18; 67; 77; 69; 1; 70; 62; 10; 78; 4; 42; 12; 50; 34; 46; 94; 83; 59; 7; 47; 9; 57; 21; 41; 82; 55; 81; 54; 0; 91; 92; 15; 36; 72; 64; 85; 98; 84; 52; 93; 26; 29; 75; 14; 89; 27; 66; 87; 23; 38; 97; 79; 95; 44; 56; 53; 61], [[6; 31; 65; 5; 17]; [28; 76; 39; 51; 30; 37; 16]; [60; 35; 71; 86; 8; 19; 20]; [32; 13; 58; 2; 11]; [3; 90; 80; 96; 25; 43; 88; 33; 68; 99]; [63; 45; 40; 49; 48; 73; 24]; [22; 74; 18; 67; 77; 69; 1; 70]; [62; 10; 78; 4; 42; 12]; [50; 34; 46; 94; 83; 59; 7; 47]; [9; 57; 21; 41; 82; 55; 81; 54]; [0; 91; 92; 15; 36; 72; 64; 85; 98; 84]; [52; 93; 26; 29; 75; 14; 89; 27]; [66; 87; 23; 38; 97; 79; 95; 44; 56; 53; 61]], [94100; 99200; 97800; 97400; 97200; 82100; 99000; 100000; 92400; 96700; 96500; 99300; 96900], 9900, 9901, 0.23720169067382812
2, 13, 0.9233641538461538, [10; 45; 77; 17; 53; 54; 55; 4; 24; 34; 33; 36; 89; 68; 60; 92; 99; 22; 79; 16; 15; 48; 35; 12; 91; 69; 73; 76; 52; 63; 27; 2; 88; 56; 50; 37; 32; 29; 31; 80; 87; 86; 30; 71; 57; 13; 40; 0; 90; 41; 85; 39; 23; 82; 75; 93; 9; 44; 81; 70; 97; 65; 96; 49; 14; 58; 11; 42; 59; 67; 7; 62; 72; 94; 25; 21; 3; 1; 78; 38; 61; 26; 98; 8; 19; 20; 46; 5; 6; 64; 95; 18; 43; 74; 47; 84; 51; 28; 66; 83], [[10; 45; 77; 17; 53; 54; 55]; [4; 24; 34; 33; 36; 89]; [68; 60; 92; 99; 22; 79; 16; 15; 48]; [35; 12; 91; 69; 73; 76; 52; 63; 27]; [2; 88; 56; 50; 37; 32; 29]; [31; 80; 87; 86; 30; 71; 57; 13; 40]; [0; 90; 41; 85; 39; 23; 82; 75; 93]; [9; 44; 81; 70; 97; 65; 96; 49; 14]; [58; 11; 42; 59; 67; 7; 62]; [72; 94; 25; 21; 3; 1]; [78; 38; 61; 26; 98; 8; 19]; [20; 46; 5; 6; 64; 95]; [18; 43; 74; 47; 84; 51; 28; 66; 83]], [94300; 93300; 99900; 99800; 98400; 99700; 95200; 94200; 97200; 96700; 91800; 90600; 97500], 9900, 9901, 0.2520596981048584
1, 13, 0.9235215384615384, [21; 75; 38; 98; 13; 72; 55; 46; 52; 87; 77; 94; 66; 62; 25; 82; 93; 48; 23; 4; 18; 67; 61; 80; 99; 7; 20; 47; 53; 34; 83; 71; 91; 12; 74; 16; 27; 42; 85; 41; 29; 70; 84; 33; 40; 63; 14; 37; 86; 90; 88; 51; 35; 30; 44; 89; 22; 95; 26; 69; 3; 32; 9; 28; 56; 57; 64; 2; 45; 15; 54; 1; 6; 50; 49; 8; 19; 31; 59; 0; 17; 73; 81; 11; 10; 76; 96; 78; 68; 39; 60; 92; 65; 58; 5; 97; 36; 79; 43; 24], [[21; 75; 38; 98; 13; 72; 55; 46]; [52; 87; 77; 94; 66; 62; 25; 82; 93; 48; 23]; [4; 18; 67; 61; 80; 99; 7]; [20; 47; 53; 34; 83; 71; 91; 12]; [74; 16; 27; 42; 85; 41; 29]; [70; 84; 33; 40; 63; 14; 37; 86; 90; 88]; [51; 35; 30; 44; 89; 22; 95; 26]; [69; 3; 32; 9; 28; 56]; [57; 64; 2; 45; 15; 54]; [1; 6; 50; 49; 8]; [19; 31; 59; 0; 17; 73]; [81; 11; 10; 76; 96; 78; 68; 39; 60]; [92; 65; 58; 5; 97; 36; 79; 43; 24]], [93300; 97400; 93000; 96200; 93400; 98400; 97800; 99100; 87800; 96900; 98500; 96800; 100000], 4950, 4951, 0.12383866310119629
2, 13, 0.9233492307692307, [47; 33; 85; 72; 29; 37; 18; 66; 23; 52; 90; 0; 93; 67; 34; 63; 26; 16; 58; 83; 61; 32; 42; 49; 81; 78; 60; 8; 24; 36; 21; 30; 28; 94; 35; 88; 96; 71; 77; 62; 56; 55; 57; 38; 12; 22; 51; 98; 69; 19; 73; 91; 92; 53; 86; 40; 14; 87; 1; 70; 25; 9; 44; 48; 5; 27; 17; 75; 64; 89; 41; 10; 59; 2; 20; 15; 80; 31; 95; 84; 82; 7; 6; 43; 4; 11; 46; 13; 50; 79; 97; 3; 39; 76; 45; 68; 99; 65; 74; 54], [[47; 33; 85; 72; 29; 37; 18; 66]; [23; 52; 90; 0; 93; 67; 34; 63]; [26; 16; 58; 83; 61; 32; 42]; [49; 81; 78; 60; 8; 24; 36]; [21; 30; 28; 94; 35; 88; 96; 71; 77; 62]; [56; 55; 57; 38; 12; 22; 51; 98]; [69; 19; 73; 91; 92; 53; 86; 40; 14; 87]; [1; 70; 25; 9; 44; 48]; [5; 27; 17; 75; 64; 89; 41]; [10; 59; 2; 20; 15]; [80; 31; 95; 84; 82; 7; 6; 43]; [4; 11; 46; 13; 50]; [79; 97; 3; 39; 76; 45; 68; 99; 65; 74; 54]], [98000; 94400; 91700; 89100; 98400; 98300; 96200; 98400; 95300; 98300; 95900; 94700; 99900], 9900, 9901, 0.24430632591247559
3, 13, 0.9257116923076923, [41; 30; 31; 60; 40; 21; 48; 18; 14; 79; 38; 3; 63; 72; 62; 39; 15; 78; 95; 45; 80; 51; 61; 94; 99; 24; 53; 13; 87; 36; 11; 23; 34; 75; 22; 20; 1; 12; 69; 29; 98; 6; 5; 46; 86; 35; 8; 70; 58; 68; 49; 19; 83; 59; 92; 16; 32; 2; 96; 7; 26; 85; 82; 37; 91; 0; 10; 42; 76; 27; 54; 57; 84; 93; 55; 67; 90; 44; 43; 56; 9; 33; 25; 52; 74; 50; 97; 66; 4; 65; 77; 73; 47; 88; 64; 81; 28; 17; 71; 89], [[41; 30; 31; 60; 40; 21; 48]; [18; 14; 79; 38; 3; 63]; [72; 62; 39; 15; 78; 95; 45; 80; 51; 61]; [94; 99; 24; 53; 13; 87; 36; 11]; [23; 34; 75; 22; 20]; [1; 12; 69; 29; 98; 6]; [5; 46; 86; 35; 8; 70; 58]; [68; 49; 19; 83; 59; 92; 16; 32]; [2; 96; 7; 26; 85; 82; 37; 91]; [0; 10; 42; 76; 27; 54]; [57; 84; 93; 55; 67; 90; 44; 43; 56; 9]; [33; 25; 52; 74; 50; 97; 66; 4]; [65; 77; 73; 47; 88; 64; 81; 28; 17; 71; 89]], [99100; 94400; 97800; 98300; 77500; 99200; 97300; 93000; 97600; 97200; 99800; 97600; 99800], 14850, 14851, 0.3513181209564209
2, 13, 0.9273064615384615, [41; 97; 8; 72; 5; 0; 1; 83; 29; 61; 80; 47; 6; 69; 19; 84; 52; 82; 60; 13; 18; 88; 92; 70; 49; 55; 42; 27; 57; 91; 34; 77; 44; 58; 31; 76; 56; 64; 98; 62; 89; 96; 95; 54; 25; 16; 40; 7; 46; 99; 74; 14; 86; 38; 94; 87; 17; 9; 35; 24; 67; 2; 33; 26; 11; 48; 30; 81; 12; 23; 22; 28; 43; 79; 10; 15; 66; 4; 21; 75; 73; 51; 36; 63; 85; 39; 53; 93; 3; 37; 59; 78; 50; 90; 20; 68; 45; 32; 71; 65], [[41; 97; 8; 72; 5; 0]; [1; 83; 29; 61; 80; 47; 6]; [69; 19; 84; 52; 82; 60; 13; 18]; [88; 92; 70; 49; 55; 42; 27; 57; 91; 34]; [77; 44; 58; 31; 76; 56; 64; 98; 62; 89; 96; 95]; [54; 25; 16; 40; 7; 46]; [99; 74; 14; 86; 38; 94; 87; 17; 9]; [35; 24; 67; 2; 33; 26]; [11; 48; 30; 81; 12; 23]; [22; 28; 43; 79; 10; 15]; [66; 4; 21; 75; 73; 51; 36; 63]; [85; 39; 53; 93; 3; 37; 59; 78; 50]; [90; 20; 68; 45; 32; 71; 65]], [96900; 98700; 100000; 97400; 89600; 98900; 98900; 99600; 97300; 99100; 99500; 99000; 73700], 9900, 9901, 0.22613215446472168
