Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
4, 14, 0.95218, [80; 5; 70; 6; 2; 0; 72; 20; 49; 36; 86; 92; 68; 63; 53; 71; 90; 51; 27; 15; 57; 58; 28; 85; 38; 12; 44; 14; 97; 78; 29; 7; 4; 3; 9; 33; 10; 96; 83; 94; 19; 11; 84; 31; 91; 1; 42; 32; 24; 95; 23; 40; 77; 45; 41; 87; 98; 16; 61; 75; 93; 82; 81; 76; 46; 99; 13; 52; 18; 50; 54; 56; 37; 74; 25; 47; 73; 62; 88; 17; 26; 39; 67; 69; 8; 43; 34; 30; 79; 22; 66; 59; 35; 55; 65; 48; 21; 89; 64; 60], [[80; 5; 70; 6; 2]; [0; 72; 20; 49; 36; 86; 92]; [68; 63; 53; 71; 90; 51; 27; 15]; [57; 58; 28; 85; 38; 12; 44]; [14; 97; 78; 29; 7; 4]; [3; 9; 33; 10; 96; 83]; [94; 19; 11; 84; 31; 91; 1]; [42; 32; 24; 95; 23; 40; 77]; [45; 41; 87; 98; 16; 61; 75; 93; 82; 81; 76]; [46; 99; 13; 52; 18; 50; 54]; [56; 37; 74; 25; 47; 73; 62; 88]; [17; 26; 39; 67; 69; 8]; [43; 34; 30; 79; 22; 66; 59]; [35; 55; 65; 48; 21; 89; 64; 60]], [91000; 93900; 98400; 99300; 99300; 98200; 99700; 99200; 99900; 96700; 93400; 99700; 98700; 98200], 19800, 19801, 0.484250545501709
4, 14, 0.9519735714285712, [15; 60; 10; 34; 49; 50; 28; 27; 46; 82; 23; 32; 9; 65; 18; 33; 3; 4; 8; 79; 20; 90; 43; 94; 21; 80; 40; 55; 71; 0; 87; 47; 1; 75; 29; 66; 91; 69; 93; 73; 72; 78; 41; 54; 51; 2; 35; 36; 44; 42; 81; 52; 48; 31; 56; 5; 13; 45; 68; 76; 67; 99; 96; 59; 57; 37; 16; 11; 53; 85; 7; 14; 12; 62; 58; 92; 19; 30; 86; 63; 24; 95; 74; 89; 98; 77; 97; 39; 38; 61; 17; 70; 88; 64; 6; 26; 22; 25; 84; 83], [[15; 60; 10; 34; 49; 50]; [28; 27; 46; 82; 23; 32]; [9; 65; 18; 33; 3]; [4; 8; 79; 20; 90; 43; 94]; [21; 80; 40; 55; 71; 0; 87]; [47; 1; 75; 29; 66; 91; 69; 93; 73]; [72; 78; 41; 54; 51; 2; 35]; [36; 44; 42; 81; 52; 48; 31]; [56; 5; 13; 45; 68; 76; 67]; [99; 96; 59; 57; 37; 16; 11; 53]; [85; 7; 14; 12; 62; 58; 92]; [19; 30; 86; 63; 24; 95; 74; 89; 98]; [77; 97; 39; 38; 61; 17; 70; 88; 64]; [6; 26; 22; 25; 84; 83]], [99800; 96100; 97900; 98000; 94700; 99800; 98800; 95600; 100000; 99800; 98900; 92100; 98200; 95900], 19800, 19801, 0.4874143600463867
4, 14, 0.9523962857142855, [32; 40; 28; 8; 23; 57; 92; 45; 79; 12; 81; 26; 50; 20; 82; 58; 13; 94; 36; 78; 56; 75; 2; 62; 43; 34; 73; 52; 53; 25; 89; 27; 80; 18; 55; 64; 22; 35; 69; 37; 14; 30; 16; 10; 9; 51; 72; 24; 63; 97; 4; 67; 7; 31; 84; 68; 86; 59; 6; 1; 5; 65; 11; 76; 29; 42; 17; 98; 99; 70; 85; 3; 47; 19; 88; 93; 77; 71; 60; 41; 74; 33; 54; 15; 0; 91; 48; 66; 95; 87; 90; 49; 39; 44; 38; 61; 96; 21; 46; 83], [[32; 40; 28; 8; 23]; [57; 92; 45; 79; 12; 81; 26; 50]; [20; 82; 58; 13; 94; 36; 78; 56]; [75; 2; 62; 43; 34; 73; 52]; [53; 25; 89; 27; 80; 18; 55]; [64; 22; 35; 69; 37; 14]; [30; 16; 10; 9; 51]; [72; 24; 63; 97; 4; 67; 7]; [31; 84; 68; 86; 59; 6; 1]; [5; 65; 11; 76; 29; 42]; [17; 98; 99; 70; 85; 3; 47; 19]; [88; 93; 77; 71; 60; 41; 74; 33; 54]; [15; 0; 91; 48; 66; 95; 87; 90; 49]; [39; 44; 38; 61; 96; 21; 46; 83]], [96100; 97200; 99600; 97600; 95700; 95400; 99100; 99400; 99200; 99100; 99800; 88000; 99600; 99800], 19800, 19801, 0.4885237216949463
4, 14, 0.952145857142857, [4; 50; 51; 30; 64; 23; 62; 45; 40; 18; 76; 46; 58; 82; 92; 41; 66; 12; 28; 7; 90; 33; 77; 54; 63; 16; 91; 97; 26; 2; 13; 84; 99; 70; 83; 79; 75; 49; 29; 88; 38; 94; 17; 1; 67; 32; 60; 59; 89; 56; 39; 81; 47; 96; 19; 55; 21; 22; 35; 24; 80; 61; 6; 34; 36; 57; 52; 27; 11; 86; 53; 37; 20; 48; 74; 43; 31; 44; 85; 0; 71; 5; 98; 95; 14; 87; 73; 72; 10; 15; 25; 8; 93; 68; 9; 69; 3; 42; 78; 65], [[4; 50; 51; 30; 64; 23]; [62; 45; 40; 18; 76; 46; 58]; [82; 92; 41; 66; 12; 28; 7]; [90; 33; 77; 54; 63; 16; 91; 97; 26]; [2; 13; 84; 99; 70; 83; 79; 75; 49]; [29; 88; 38; 94; 17; 1; 67]; [32; 60; 59; 89; 56; 39; 81; 47; 96]; [19; 55; 21; 22; 35]; [24; 80; 61; 6; 34; 36]; [57; 52; 27; 11; 86; 53; 37]; [20; 48; 74; 43; 31; 44; 85]; [0; 71; 5; 98; 95; 14; 87; 73]; [72; 10; 15; 25; 8; 93]; [68; 9; 69; 3; 42; 78; 65]], [99000; 94500; 99100; 99100; 99500; 99300; 94600; 91600; 96300; 99300; 94300; 99600; 99900; 99500], 19800, 19801, 0.48662233352661133
4, 14, 0.9524284285714285, [79; 76; 14; 10; 40; 85; 48; 31; 95; 6; 35; 28; 46; 92; 13; 98; 5; 83; 11; 18; 38; 37; 56; 50; 33; 57; 67; 16; 77; 34; 15; 71; 41; 17; 24; 7; 86; 30; 3; 63; 8; 55; 1; 45; 27; 2; 25; 49; 74; 36; 87; 82; 0; 9; 75; 42; 97; 58; 39; 12; 43; 52; 19; 66; 72; 51; 80; 20; 26; 60; 64; 94; 73; 93; 61; 22; 91; 99; 53; 54; 59; 44; 29; 62; 90; 70; 23; 32; 84; 47; 69; 89; 68; 65; 88; 21; 4; 78; 81; 96], [[79; 76; 14; 10; 40; 85; 48]; [31; 95; 6; 35; 28; 46; 92]; [13; 98; 5; 83; 11; 18]; [38; 37; 56; 50; 33; 57; 67]; [16; 77; 34; 15; 71; 41]; [17; 24; 7; 86; 30]; [3; 63; 8; 55; 1]; [45; 27; 2; 25; 49; 74]; [36; 87; 82; 0; 9; 75; 42]; [97; 58; 39; 12; 43; 52; 19]; [66; 72; 51; 80; 20; 26; 60; 64]; [94; 73; 93; 61; 22; 91; 99; 53; 54; 59; 44]; [29; 62; 90; 70; 23; 32; 84; 47]; [69; 89; 68; 65; 88; 21; 4; 78; 81; 96]], [95200; 97900; 99300; 95700; 93500; 88900; 97400; 99700; 99900; 99900; 99200; 99300; 100000; 99700], 19800, 19801, 0.4710681438446045
5, 14, 0.9521828571428571, [46; 48; 26; 38; 56; 47; 76; 5; 74; 94; 87; 16; 65; 72; 30; 49; 15; 60; 62; 36; 45; 52; 84; 51; 22; 32; 4; 34; 28; 9; 54; 20; 31; 75; 0; 2; 42; 98; 11; 97; 10; 44; 89; 29; 14; 78; 64; 73; 58; 6; 13; 27; 68; 61; 3; 23; 69; 70; 93; 57; 83; 66; 40; 81; 43; 19; 1; 25; 7; 85; 55; 37; 39; 82; 50; 53; 21; 77; 35; 8; 18; 71; 86; 91; 80; 33; 63; 59; 67; 96; 95; 17; 12; 24; 79; 92; 41; 88; 99; 90], [[46; 48; 26; 38; 56; 47; 76]; [5; 74; 94; 87; 16; 65; 72; 30]; [49; 15; 60; 62; 36; 45; 52]; [84; 51; 22; 32; 4; 34]; [28; 9; 54; 20; 31]; [75; 0; 2; 42; 98; 11]; [97; 10; 44; 89; 29; 14; 78]; [64; 73; 58; 6; 13; 27]; [68; 61; 3; 23; 69; 70; 93; 57]; [83; 66; 40; 81; 43; 19; 1]; [25; 7; 85; 55; 37; 39; 82]; [50; 53; 21; 77; 35; 8]; [18; 71; 86; 91; 80; 33; 63; 59; 67; 96; 95]; [17; 12; 24; 79; 92; 41; 88; 99; 90]], [96200; 99500; 99900; 99400; 93100; 99000; 91900; 95300; 98200; 99300; 99700; 94500; 99600; 100000], 24750, 24751, 0.5780165195465088
6, 14, 0.9521465714285713, [39; 24; 59; 61; 32; 16; 30; 72; 44; 90; 54; 35; 89; 21; 33; 62; 87; 81; 55; 34; 56; 38; 47; 48; 63; 74; 12; 18; 64; 80; 42; 23; 77; 82; 29; 13; 4; 70; 92; 71; 58; 28; 7; 40; 69; 43; 41; 14; 27; 26; 31; 37; 75; 78; 0; 2; 50; 1; 97; 93; 20; 11; 65; 67; 19; 68; 3; 79; 76; 46; 6; 22; 99; 73; 53; 17; 5; 15; 25; 57; 36; 86; 60; 10; 98; 8; 94; 95; 49; 9; 91; 83; 66; 51; 52; 45; 88; 84; 96; 85], [[39; 24; 59; 61; 32; 16]; [30; 72; 44; 90; 54; 35; 89; 21]; [33; 62; 87; 81; 55; 34; 56; 38]; [47; 48; 63; 74; 12; 18; 64]; [80; 42; 23; 77; 82; 29; 13]; [4; 70; 92; 71; 58; 28; 7]; [40; 69; 43; 41; 14; 27]; [26; 31; 37; 75; 78; 0]; [2; 50; 1; 97; 93; 20]; [11; 65; 67; 19; 68; 3]; [79; 76; 46; 6; 22; 99; 73; 53]; [17; 5; 15; 25; 57]; [36; 86; 60; 10; 98; 8; 94; 95; 49]; [9; 91; 83; 66; 51; 52; 45; 88; 84; 96; 85]], [97600; 99400; 96900; 99600; 97700; 99700; 94700; 96100; 89900; 98500; 96700; 100000; 99200; 99600], 29700, 29701, 0.7527008056640625
7, 14, 0.9539334285714285, [11; 82; 29; 2; 3; 28; 25; 4; 31; 16; 55; 74; 57; 9; 12; 22; 20; 90; 71; 53; 40; 70; 38; 45; 65; 34; 39; 97; 49; 68; 7; 59; 19; 21; 10; 86; 64; 69; 0; 17; 93; 58; 92; 63; 67; 79; 76; 27; 36; 60; 15; 83; 72; 44; 87; 5; 88; 24; 91; 94; 35; 51; 61; 18; 8; 30; 52; 84; 66; 98; 81; 85; 42; 47; 14; 23; 99; 41; 95; 54; 13; 50; 1; 78; 56; 6; 77; 62; 37; 48; 43; 75; 96; 32; 89; 46; 26; 33; 80; 73], [[11; 82; 29; 2; 3]; [28; 25; 4; 31]; [16; 55; 74; 57; 9; 12]; [22; 20; 90; 71; 53; 40; 70]; [38; 45; 65; 34; 39; 97; 49; 68]; [7; 59; 19; 21; 10]; [86; 64; 69; 0; 17; 93; 58; 92; 63]; [67; 79; 76; 27; 36; 60; 15; 83]; [72; 44; 87; 5; 88; 24; 91; 94; 35]; [51; 61; 18; 8; 30; 52]; [84; 66; 98; 81; 85; 42; 47; 14; 23]; [99; 41; 95; 54; 13; 50; 1; 78]; [56; 6; 77; 62; 37; 48; 43]; [75; 96; 32; 89; 46; 26; 33; 80; 73]], [99000; 81500; 99500; 91000; 98000; 99500; 99600; 99800; 99900; 99200; 99800; 100000; 99000; 99800], 34650, 34651, 0.8642115592956543
7, 14, 0.9520787142857142, [79; 38; 73; 70; 27; 29; 37; 88; 3; 46; 9; 82; 41; 50; 92; 96; 16; 26; 94; 69; 17; 61; 58; 43; 7; 20; 39; 5; 66; 25; 54; 10; 34; 56; 48; 78; 8; 62; 80; 22; 42; 1; 55; 2; 95; 35; 65; 6; 14; 36; 11; 75; 57; 98; 49; 30; 40; 19; 33; 44; 0; 63; 85; 24; 71; 99; 59; 31; 21; 76; 15; 45; 91; 53; 68; 60; 64; 13; 81; 74; 28; 47; 97; 52; 84; 4; 77; 87; 18; 23; 12; 51; 32; 72; 86; 93; 67; 89; 83; 90], [[79; 38; 73; 70; 27; 29; 37; 88]; [3; 46; 9; 82; 41; 50; 92]; [96; 16; 26; 94; 69; 17; 61; 58]; [43; 7; 20; 39; 5]; [66; 25; 54; 10; 34; 56]; [48; 78; 8; 62; 80; 22; 42]; [1; 55; 2; 95; 35; 65]; [6; 14; 36; 11; 75]; [57; 98; 49; 30; 40; 19; 33]; [44; 0; 63; 85; 24; 71; 99; 59]; [31; 21; 76; 15; 45; 91; 53]; [68; 60; 64; 13; 81; 74; 28; 47]; [97; 52; 84; 4; 77; 87; 18; 23]; [12; 51; 32; 72; 86; 93; 67; 89; 83; 90]], [99400; 99800; 99500; 99900; 93800; 97500; 93200; 94300; 99000; 97100; 98400; 99600; 100000; 94100], 34650, 34651, 0.8604946136474609
3, 14, 0.9522945714285713, [7; 59; 82; 76; 26; 25; 2; 79; 27; 52; 48; 17; 78; 20; 55; 30; 1; 66; 89; 9; 69; 85; 50; 72; 11; 80; 73; 70; 57; 29; 12; 94; 18; 47; 35; 87; 63; 19; 39; 45; 92; 67; 77; 3; 91; 41; 34; 24; 74; 81; 16; 43; 22; 84; 5; 86; 44; 36; 61; 21; 13; 64; 10; 65; 83; 60; 49; 53; 96; 23; 31; 51; 28; 37; 38; 46; 90; 8; 56; 4; 62; 14; 93; 95; 58; 32; 15; 68; 54; 99; 6; 42; 33; 88; 71; 0; 75; 97; 98; 40], [[7; 59; 82; 76; 26; 25]; [2; 79; 27; 52; 48; 17]; [78; 20; 55; 30; 1; 66; 89]; [9; 69; 85; 50; 72; 11; 80; 73]; [70; 57; 29; 12; 94; 18; 47]; [35; 87; 63; 19; 39; 45; 92; 67]; [77; 3; 91; 41; 34; 24; 74]; [81; 16; 43; 22; 84; 5; 86]; [44; 36; 61; 21; 13; 64]; [10; 65; 83; 60; 49; 53; 96; 23]; [31; 51; 28; 37; 38; 46; 90]; [8; 56; 4; 62; 14; 93; 95]; [58; 32; 15; 68; 54; 99; 6]; [42; 33; 88; 71; 0; 75; 97; 98; 40]], [88500; 99600; 99000; 97800; 99200; 96400; 97900; 99000; 94000; 98400; 99800; 98500; 98700; 98800], 14850, 14851, 0.34853053092956543
