Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
5, 15, 0.9318878, [36; 79; 9; 13; 1; 32; 99; 90; 25; 88; 63; 62; 46; 40; 87; 3; 16; 52; 10; 33; 15; 64; 27; 75; 21; 85; 26; 61; 91; 11; 73; 56; 24; 45; 38; 28; 47; 84; 22; 66; 53; 34; 81; 70; 35; 49; 48; 4; 6; 8; 71; 20; 19; 31; 7; 55; 67; 97; 37; 65; 51; 44; 80; 57; 50; 78; 72; 60; 5; 17; 69; 98; 41; 39; 82; 18; 12; 86; 0; 42; 23; 43; 14; 96; 2; 68; 93; 77; 58; 30; 54; 89; 76; 59; 95; 29; 74; 92; 94; 83], [[36; 79; 9; 13]; [1; 32; 99; 90; 25; 88; 63; 62]; [46; 40; 87; 3; 16; 52]; [10; 33; 15; 64; 27]; [75; 21; 85; 26; 61; 91; 11]; [73; 56; 24; 45; 38; 28]; [47; 84; 22; 66; 53; 34; 81; 70]; [35; 49; 48; 4; 6]; [8; 71; 20; 19; 31]; [7; 55; 67; 97; 37; 65; 51]; [44; 80; 57; 50; 78; 72; 60; 5]; [17; 69; 98; 41; 39; 82; 18]; [12; 86; 0; 42; 23]; [43; 14; 96; 2; 68; 93; 77; 58]; [30; 54; 89; 76; 59; 95; 29; 74; 92; 94; 83]], [73900; 99300; 98700; 99300; 97500; 97800; 99200; 98000; 100000; 89400; 99600; 98400; 94800; 98800; 100000], 24750, 24751, 0.6219499111175537
6, 15, 0.9293128666666667, [31; 22; 36; 14; 70; 20; 28; 50; 38; 72; 43; 40; 97; 7; 25; 51; 95; 19; 83; 56; 66; 23; 16; 65; 67; 37; 17; 76; 2; 48; 9; 1; 21; 62; 60; 49; 57; 24; 45; 10; 32; 13; 88; 79; 84; 94; 68; 82; 74; 54; 6; 69; 63; 64; 4; 58; 29; 39; 42; 47; 85; 78; 75; 71; 27; 44; 90; 87; 8; 12; 81; 35; 11; 15; 98; 26; 91; 59; 73; 3; 93; 34; 0; 30; 77; 5; 86; 41; 52; 55; 18; 46; 33; 96; 53; 61; 99; 89; 80; 92], [[31; 22; 36; 14; 70]; [20; 28; 50; 38; 72]; [43; 40; 97; 7; 25; 51; 95]; [19; 83; 56; 66; 23; 16]; [65; 67; 37; 17; 76; 2]; [48; 9; 1; 21; 62]; [60; 49; 57; 24; 45; 10]; [32; 13; 88; 79; 84; 94; 68; 82; 74; 54]; [6; 69; 63; 64; 4; 58]; [29; 39; 42; 47; 85; 78; 75; 71]; [27; 44; 90; 87; 8; 12]; [81; 35; 11; 15; 98; 26]; [91; 59; 73; 3; 93; 34; 0]; [30; 77; 5; 86; 41; 52; 55]; [18; 46; 33; 96; 53; 61; 99; 89; 80; 92]], [93700; 84500; 98100; 97600; 94300; 99100; 99900; 99100; 90400; 97800; 94900; 97200; 98400; 99700; 100000], 29700, 29701, 0.7229094505310059
2, 15, 0.9289100666666665, [8; 57; 1; 33; 50; 43; 75; 24; 70; 22; 49; 87; 95; 51; 96; 58; 55; 99; 79; 81; 61; 38; 59; 67; 47; 7; 2; 31; 39; 21; 15; 76; 6; 63; 40; 14; 97; 23; 16; 66; 3; 11; 98; 64; 32; 83; 9; 68; 41; 34; 35; 60; 44; 25; 29; 26; 65; 0; 13; 52; 48; 89; 69; 74; 28; 92; 73; 82; 56; 17; 12; 42; 18; 78; 20; 4; 19; 93; 94; 85; 71; 77; 53; 90; 62; 27; 54; 37; 46; 88; 10; 36; 84; 5; 86; 80; 45; 30; 72; 91], [[8; 57; 1; 33; 50]; [43; 75; 24; 70; 22; 49; 87; 95]; [51; 96; 58; 55; 99; 79; 81; 61; 38; 59]; [67; 47; 7; 2; 31]; [39; 21; 15; 76; 6]; [63; 40; 14; 97; 23; 16]; [66; 3; 11; 98; 64; 32; 83]; [9; 68; 41; 34; 35; 60]; [44; 25; 29; 26; 65]; [0; 13; 52; 48; 89; 69; 74]; [28; 92; 73; 82; 56; 17; 12]; [42; 18; 78; 20; 4]; [19; 93; 94; 85; 71; 77; 53; 90; 62; 27]; [54; 37; 46; 88; 10; 36; 84]; [5; 86; 80; 45; 30; 72; 91]], [96700; 98300; 95000; 95100; 96400; 99400; 97500; 98900; 90900; 97500; 98800; 96400; 98600; 99600; 85600], 9900, 9901, 0.24579906463623047
3, 15, 0.9292555333333333, [94; 75; 90; 92; 65; 57; 67; 14; 34; 46; 76; 10; 72; 33; 5; 32; 56; 54; 18; 1; 53; 68; 37; 35; 48; 95; 50; 9; 21; 13; 99; 49; 73; 88; 66; 91; 51; 64; 61; 36; 78; 74; 38; 44; 59; 62; 20; 97; 23; 71; 63; 19; 8; 25; 77; 58; 15; 3; 29; 45; 84; 79; 69; 87; 43; 52; 24; 42; 41; 0; 11; 86; 27; 80; 96; 55; 28; 81; 16; 6; 60; 2; 30; 7; 17; 47; 12; 70; 39; 4; 85; 89; 22; 26; 31; 40; 82; 83; 93; 98], [[94; 75; 90; 92; 65; 57; 67; 14; 34]; [46; 76; 10; 72; 33; 5]; [32; 56; 54; 18; 1]; [53; 68; 37; 35; 48; 95; 50]; [9; 21; 13; 99; 49; 73; 88]; [66; 91; 51; 64; 61; 36; 78; 74; 38]; [44; 59; 62; 20; 97; 23; 71]; [63; 19; 8; 25; 77; 58]; [15; 3; 29; 45; 84; 79]; [69; 87; 43; 52; 24; 42; 41]; [0; 11; 86; 27; 80; 96; 55]; [28; 81; 16; 6; 60]; [2; 30; 7; 17]; [47; 12; 70; 39; 4; 85; 89]; [22; 26; 31; 40; 82; 83; 93; 98]], [91600; 99500; 94500; 88600; 99600; 98500; 94500; 99000; 100000; 97700; 98100; 87500; 95700; 100000; 99900], 14850, 14851, 0.3610701560974121
3, 15, 0.9295378, [33; 17; 56; 89; 84; 5; 78; 71; 59; 19; 9; 20; 51; 76; 4; 13; 45; 49; 70; 10; 93; 26; 66; 36; 11; 86; 24; 41; 98; 6; 60; 1; 94; 12; 79; 57; 50; 81; 16; 2; 83; 73; 65; 48; 55; 85; 75; 31; 28; 25; 42; 3; 69; 8; 14; 30; 62; 74; 46; 43; 0; 54; 47; 82; 34; 61; 64; 90; 91; 37; 39; 23; 44; 80; 15; 58; 21; 38; 88; 35; 22; 53; 7; 40; 18; 29; 99; 95; 67; 72; 92; 68; 27; 97; 96; 32; 77; 52; 87; 63], [[33; 17; 56; 89; 84; 5; 78]; [71; 59; 19; 9; 20]; [51; 76; 4; 13; 45; 49]; [70; 10; 93; 26; 66; 36]; [11; 86; 24; 41; 98; 6]; [60; 1; 94; 12; 79; 57; 50]; [81; 16; 2; 83; 73; 65; 48]; [55; 85; 75; 31; 28; 25]; [42; 3; 69; 8; 14]; [30; 62; 74; 46; 43; 0]; [54; 47; 82; 34; 61; 64; 90; 91; 37]; [39; 23; 44; 80; 15; 58]; [21; 38; 88; 35; 22; 53]; [7; 40; 18; 29; 99; 95; 67]; [72; 92; 68; 27; 97; 96; 32; 77; 52; 87; 63]], [98700; 91000; 99700; 85300; 95500; 96400; 94700; 89200; 99900; 96800; 100000; 98200; 100000; 99900; 99400], 14850, 14851, 0.3771541118621826
5, 15, 0.9297019333333332, [12; 35; 84; 26; 81; 74; 59; 2; 17; 89; 71; 50; 20; 36; 18; 92; 25; 43; 93; 67; 45; 80; 70; 75; 62; 79; 49; 0; 60; 96; 13; 23; 78; 86; 87; 24; 30; 46; 16; 7; 39; 22; 11; 57; 27; 72; 21; 82; 31; 4; 47; 6; 63; 52; 94; 14; 5; 33; 32; 88; 8; 19; 99; 90; 98; 55; 68; 91; 9; 29; 73; 34; 77; 3; 41; 51; 95; 28; 10; 44; 37; 83; 42; 58; 61; 1; 15; 40; 64; 56; 53; 48; 38; 76; 54; 65; 66; 69; 85; 97], [[12; 35; 84; 26; 81; 74; 59]; [2; 17; 89; 71; 50; 20]; [36; 18; 92; 25; 43; 93; 67]; [45; 80; 70; 75; 62; 79; 49; 0]; [60; 96; 13; 23; 78; 86; 87; 24]; [30; 46; 16; 7]; [39; 22; 11; 57; 27]; [72; 21; 82; 31; 4; 47]; [6; 63; 52; 94; 14; 5]; [33; 32; 88; 8; 19; 99; 90]; [98; 55; 68; 91; 9; 29; 73; 34]; [77; 3; 41; 51; 95; 28]; [10; 44; 37; 83; 42; 58]; [61; 1; 15; 40; 64; 56]; [53; 48; 38; 76; 54; 65; 66; 69; 85; 97]], [97100; 99200; 96800; 96200; 98700; 84300; 97300; 98200; 99300; 98500; 99100; 86600; 93700; 99900; 99800], 24750, 24751, 0.6193170547485352
5, 15, 0.9297867333333334, [41; 80; 78; 95; 97; 15; 31; 30; 58; 32; 67; 84; 7; 4; 0; 74; 37; 18; 24; 69; 87; 22; 93; 90; 68; 12; 19; 50; 16; 11; 77; 38; 48; 14; 42; 44; 29; 61; 1; 25; 17; 45; 53; 47; 23; 81; 21; 99; 70; 62; 2; 8; 71; 75; 88; 10; 86; 59; 40; 52; 49; 35; 28; 27; 20; 33; 54; 66; 46; 5; 34; 79; 63; 73; 72; 9; 3; 6; 76; 39; 91; 65; 96; 98; 64; 55; 83; 51; 92; 56; 89; 94; 60; 82; 57; 36; 13; 26; 43; 85], [[41; 80; 78; 95; 97; 15; 31; 30]; [58; 32; 67; 84; 7; 4]; [0; 74; 37; 18; 24]; [69; 87; 22; 93; 90; 68; 12; 19]; [50; 16; 11; 77; 38]; [48; 14; 42; 44; 29]; [61; 1; 25; 17; 45]; [53; 47; 23; 81; 21; 99; 70; 62]; [2; 8; 71; 75; 88; 10; 86]; [59; 40; 52; 49; 35; 28]; [27; 20; 33; 54; 66]; [46; 5; 34; 79; 63; 73; 72]; [9; 3; 6; 76; 39]; [91; 65; 96; 98; 64; 55; 83; 51; 92; 56; 89; 94; 60; 82]; [57; 36; 13; 26; 43; 85]], [99900; 97700; 99300; 98700; 86800; 91900; 98900; 100000; 100000; 95200; 86300; 91800; 99900; 99300; 99000], 24750, 24751, 0.5956931114196777
2, 15, 0.9307956666666666, [85; 18; 21; 60; 88; 14; 84; 59; 68; 51; 35; 44; 13; 86; 47; 0; 94; 62; 54; 48; 37; 74; 77; 38; 30; 79; 64; 56; 61; 99; 42; 1; 58; 53; 92; 28; 26; 87; 16; 11; 33; 95; 70; 15; 6; 73; 83; 75; 50; 98; 9; 36; 90; 23; 76; 19; 41; 89; 97; 81; 4; 82; 49; 45; 20; 31; 55; 8; 96; 3; 80; 39; 27; 93; 29; 91; 63; 40; 24; 78; 34; 22; 69; 12; 7; 67; 66; 17; 71; 65; 10; 43; 46; 2; 32; 57; 72; 5; 52; 25], [[85; 18; 21; 60; 88; 14; 84]; [59; 68; 51; 35; 44; 13; 86]; [47; 0; 94; 62; 54; 48; 37]; [74; 77; 38; 30; 79; 64; 56; 61; 99]; [42; 1; 58; 53; 92; 28]; [26; 87; 16; 11; 33; 95]; [70; 15; 6; 73; 83; 75; 50; 98]; [9; 36; 90; 23; 76]; [19; 41; 89; 97; 81; 4; 82; 49]; [45; 20; 31; 55; 8; 96]; [3; 80; 39; 27; 93; 29; 91]; [63; 40; 24; 78; 34; 22]; [69; 12; 7; 67; 66; 17]; [71; 65; 10; 43; 46; 2]; [32; 57; 72; 5; 52; 25]], [98800; 96800; 99700; 94900; 92000; 96600; 94000; 77100; 99800; 98700; 99600; 98500; 99100; 99200; 99900], 9900, 9901, 0.23504376411437988
3, 15, 0.9295259333333333, [53; 86; 11; 55; 40; 32; 88; 89; 36; 16; 22; 30; 20; 38; 52; 45; 62; 65; 72; 61; 3; 18; 91; 51; 33; 44; 93; 25; 73; 8; 76; 56; 75; 27; 47; 49; 43; 81; 90; 77; 68; 41; 82; 48; 92; 63; 23; 42; 7; 10; 9; 58; 50; 96; 98; 5; 79; 14; 97; 13; 59; 29; 67; 1; 4; 80; 64; 12; 60; 2; 95; 19; 87; 70; 28; 39; 57; 21; 83; 46; 94; 24; 34; 17; 26; 37; 0; 71; 74; 69; 78; 15; 6; 84; 99; 85; 35; 66; 31; 54], [[53; 86; 11; 55; 40; 32; 88; 89]; [36; 16; 22; 30]; [20; 38; 52; 45; 62; 65; 72]; [61; 3; 18; 91; 51; 33]; [44; 93; 25; 73; 8; 76; 56]; [75; 27; 47; 49; 43; 81; 90; 77]; [68; 41; 82; 48; 92; 63; 23; 42]; [7; 10; 9; 58; 50]; [96; 98; 5; 79; 14; 97; 13; 59]; [29; 67; 1; 4; 80; 64]; [12; 60; 2; 95; 19; 87; 70]; [28; 39; 57; 21; 83; 46; 94]; [24; 34; 17; 26]; [37; 0; 71; 74; 69; 78; 15]; [6; 84; 99; 85; 35; 66; 31; 54]], [99100; 86100; 98200; 97500; 92900; 91700; 99100; 98900; 98100; 98700; 99900; 97300; 87700; 99900; 99600], 14850, 14851, 0.3441500663757324
5, 15, 0.9290153999999998, [31; 9; 25; 13; 80; 3; 19; 67; 27; 44; 36; 35; 68; 7; 5; 49; 40; 24; 33; 32; 4; 52; 0; 37; 72; 14; 17; 75; 79; 21; 46; 6; 22; 53; 81; 96; 54; 63; 42; 11; 28; 88; 47; 45; 39; 65; 62; 10; 60; 76; 95; 85; 69; 77; 43; 15; 29; 71; 59; 8; 16; 70; 61; 89; 66; 34; 1; 20; 82; 18; 74; 84; 92; 93; 41; 58; 38; 30; 55; 64; 78; 73; 12; 26; 57; 98; 91; 97; 2; 94; 48; 90; 23; 50; 56; 87; 83; 51; 86; 99], [[31; 9; 25; 13; 80]; [3; 19; 67; 27; 44]; [36; 35; 68; 7; 5]; [49; 40; 24; 33; 32]; [4; 52; 0; 37; 72]; [14; 17; 75; 79; 21; 46]; [6; 22; 53; 81; 96; 54; 63]; [42; 11; 28; 88; 47; 45]; [39; 65; 62; 10; 60; 76; 95; 85; 69]; [77; 43; 15; 29; 71; 59]; [8; 16; 70; 61; 89; 66; 34]; [1; 20; 82; 18; 74; 84; 92]; [93; 41; 58; 38; 30; 55; 64; 78]; [73; 12; 26; 57; 98; 91; 97; 2]; [94; 48; 90; 23; 50; 56; 87; 83; 51; 86; 99]], [97400; 96400; 96600; 93900; 91100; 99900; 90900; 96600; 96800; 87500; 100000; 98100; 99800; 100000; 99700], 24750, 24751, 0.6328539848327637
