Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
14, 10, 0.9954097, [29; 34; 37; 20; 45; 39; 50; 46; 79; 97; 55; 69; 6; 28; 56; 5; 8; 80; 77; 12; 52; 3; 58; 70; 21; 64; 32; 11; 57; 71; 54; 15; 14; 1; 89; 33; 65; 24; 78; 60; 7; 25; 73; 53; 63; 81; 18; 96; 36; 9; 27; 83; 22; 87; 47; 43; 2; 66; 93; 16; 42; 82; 68; 91; 10; 94; 62; 90; 44; 48; 51; 84; 72; 59; 49; 74; 17; 85; 31; 61; 88; 13; 40; 19; 41; 23; 30; 76; 35; 38; 26; 67; 75; 86; 4; 99; 0; 92; 95; 98], [[29; 34; 37; 20; 45; 39; 50; 46; 79]; [97; 55; 69; 6; 28; 56; 5; 8; 80]; [77; 12; 52; 3; 58; 70; 21; 64; 32]; [11; 57; 71; 54; 15; 14; 1; 89]; [33; 65; 24; 78; 60; 7; 25; 73; 53; 63]; [81; 18; 96; 36; 9; 27; 83; 22; 87; 47]; [43; 2; 66; 93; 16; 42; 82; 68; 91; 10; 94]; [62; 90; 44; 48; 51; 84; 72; 59; 49; 74; 17; 85; 31]; [61; 88; 13; 40; 19; 41; 23; 30; 76]; [35; 38; 26; 67; 75; 86; 4; 99; 0; 92; 95; 98]], [99900; 99900; 99800; 99600; 100000; 99600; 99900; 100000; 99700; 99300], 69300, 69301, 1.6751956939697266
14, 10, 0.9954101, [51; 44; 96; 84; 52; 81; 65; 2; 82; 67; 87; 74; 9; 55; 25; 88; 85; 28; 68; 4; 86; 90; 39; 20; 36; 95; 12; 16; 15; 47; 10; 89; 13; 69; 21; 5; 48; 40; 18; 91; 57; 72; 56; 75; 29; 45; 43; 38; 54; 1; 33; 60; 71; 17; 73; 63; 70; 62; 30; 66; 22; 46; 58; 27; 32; 49; 19; 7; 50; 14; 78; 3; 53; 94; 23; 6; 42; 59; 35; 76; 8; 26; 64; 0; 34; 92; 61; 93; 83; 37; 41; 79; 31; 11; 77; 24; 80; 97; 98; 99], [[51; 44; 96; 84; 52; 81; 65; 2; 82; 67; 87; 74; 9]; [55; 25; 88; 85; 28; 68; 4; 86; 90; 39; 20]; [36; 95; 12; 16; 15; 47; 10; 89]; [13; 69; 21; 5; 48; 40; 18; 91]; [57; 72; 56; 75; 29; 45; 43; 38; 54; 1]; [33; 60; 71; 17; 73; 63; 70; 62; 30; 66; 22]; [46; 58; 27; 32; 49; 19; 7; 50]; [14; 78; 3; 53; 94; 23; 6; 42]; [59; 35; 76; 8; 26; 64; 0; 34; 92]; [61; 93; 83; 37; 41; 79; 31; 11; 77; 24; 80; 97; 98; 99]], [99400; 99500; 100000; 99900; 100000; 99500; 99700; 100000; 99900; 99800], 69300, 69301, 1.6387991905212402
11, 10, 0.9954103000000002, [86; 46; 9; 74; 91; 23; 62; 34; 70; 22; 77; 88; 38; 63; 47; 31; 82; 56; 12; 48; 73; 35; 0; 52; 66; 20; 76; 89; 30; 6; 55; 42; 5; 39; 44; 58; 4; 11; 80; 85; 68; 17; 41; 72; 57; 26; 50; 2; 98; 95; 14; 32; 84; 90; 43; 28; 97; 19; 10; 94; 24; 75; 29; 3; 64; 36; 27; 81; 53; 15; 79; 65; 40; 37; 96; 45; 54; 49; 92; 59; 60; 87; 67; 16; 7; 8; 1; 21; 13; 25; 61; 18; 33; 51; 69; 83; 78; 71; 93; 99], [[86; 46; 9; 74; 91; 23; 62; 34; 70; 22; 77]; [88; 38; 63; 47; 31; 82; 56; 12; 48; 73; 35]; [0; 52; 66; 20; 76; 89; 30; 6; 55]; [42; 5; 39; 44; 58; 4; 11]; [80; 85; 68; 17; 41; 72; 57; 26; 50; 2; 98; 95]; [14; 32; 84; 90; 43; 28; 97; 19; 10; 94]; [24; 75; 29; 3; 64; 36; 27; 81; 53]; [15; 79; 65; 40; 37; 96; 45; 54; 49; 92; 59; 60; 87]; [67; 16; 7; 8; 1; 21]; [13; 25; 61; 18; 33; 51; 69; 83; 78; 71; 93; 99]], [99700; 100000; 99500; 99600; 100000; 99900; 99400; 99600; 100000; 100000], 54450, 54451, 1.2854931354522705
10, 10, 0.9954131, [14; 90; 61; 77; 42; 68; 15; 65; 29; 78; 89; 56; 57; 23; 30; 87; 97; 76; 72; 36; 58; 39; 10; 21; 20; 18; 55; 53; 37; 52; 25; 0; 34; 46; 91; 79; 27; 63; 88; 59; 9; 38; 81; 4; 67; 98; 13; 50; 93; 95; 8; 70; 82; 16; 69; 84; 73; 12; 41; 64; 43; 74; 31; 5; 51; 35; 3; 75; 94; 62; 80; 2; 44; 22; 26; 32; 40; 85; 48; 96; 99; 7; 86; 11; 1; 83; 71; 33; 6; 19; 60; 47; 54; 45; 17; 66; 28; 49; 24; 92], [[14; 90; 61; 77; 42; 68; 15; 65; 29; 78; 89; 56]; [57; 23; 30; 87; 97; 76; 72; 36; 58; 39; 10]; [21; 20; 18; 55; 53; 37; 52; 25]; [0; 34; 46; 91; 79; 27; 63; 88; 59; 9]; [38; 81; 4; 67; 98; 13; 50; 93; 95; 8; 70]; [82; 16; 69; 84; 73; 12; 41; 64; 43; 74; 31]; [5; 51; 35; 3; 75; 94; 62; 80; 2]; [44; 22; 26; 32; 40; 85; 48; 96; 99; 7]; [86; 11; 1; 83; 71; 33; 6; 19]; [60; 47; 54; 45; 17; 66; 28; 49; 24; 92]], [100000; 99800; 99400; 100000; 100000; 99200; 99500; 99900; 99900; 100000], 49500, 49501, 1.1322743892669678
8, 10, 0.9954093, [32; 13; 27; 8; 82; 35; 81; 65; 54; 64; 56; 20; 55; 17; 7; 38; 78; 46; 12; 30; 43; 59; 24; 47; 98; 45; 33; 69; 50; 61; 85; 88; 53; 28; 86; 87; 60; 68; 19; 74; 34; 23; 91; 4; 44; 5; 93; 58; 79; 76; 92; 40; 16; 42; 63; 57; 97; 84; 77; 80; 73; 36; 11; 52; 31; 1; 6; 25; 49; 94; 10; 0; 90; 22; 71; 41; 83; 96; 70; 29; 2; 18; 37; 66; 3; 62; 14; 9; 48; 75; 72; 39; 89; 67; 15; 95; 21; 26; 51; 99], [[32; 13; 27; 8; 82; 35; 81; 65; 54]; [64; 56; 20; 55; 17; 7; 38; 78; 46]; [12; 30; 43; 59; 24; 47; 98; 45; 33]; [69; 50; 61; 85; 88; 53; 28; 86; 87; 60; 68; 19; 74; 34]; [23; 91; 4; 44; 5; 93; 58; 79; 76; 92; 40]; [16; 42; 63; 57; 97; 84; 77; 80; 73; 36; 11; 52]; [31; 1; 6; 25; 49; 94; 10]; [0; 90; 22; 71; 41; 83; 96; 70; 29; 2]; [18; 37; 66; 3; 62; 14; 9]; [48; 75; 72; 39; 89; 67; 15; 95; 21; 26; 51; 99]], [99900; 99800; 99700; 100000; 100000; 99900; 99500; 99600; 99400; 99900], 39600, 39601, 0.9237680435180664
11, 10, 0.9954124999999999, [81; 63; 23; 13; 59; 32; 28; 62; 24; 86; 20; 10; 9; 77; 39; 79; 16; 82; 36; 38; 56; 4; 8; 41; 92; 89; 93; 40; 45; 5; 58; 37; 15; 57; 31; 35; 54; 52; 72; 3; 19; 88; 61; 50; 60; 21; 25; 42; 12; 66; 51; 48; 18; 30; 1; 76; 46; 29; 27; 75; 55; 98; 44; 87; 49; 11; 65; 22; 17; 33; 71; 80; 6; 2; 53; 0; 83; 26; 70; 67; 84; 14; 47; 73; 69; 7; 78; 96; 68; 99; 85; 34; 94; 95; 97; 64; 43; 74; 91; 90], [[81; 63; 23; 13; 59; 32; 28; 62; 24]; [86; 20; 10; 9; 77; 39; 79; 16; 82]; [36; 38; 56; 4; 8; 41; 92; 89; 93; 40]; [45; 5; 58; 37; 15; 57; 31; 35]; [54; 52; 72; 3; 19; 88; 61; 50; 60; 21]; [25; 42; 12; 66; 51; 48; 18; 30]; [1; 76; 46; 29; 27; 75; 55; 98; 44; 87; 49]; [11; 65; 22; 17; 33; 71; 80; 6]; [2; 53; 0; 83; 26; 70; 67; 84; 14]; [47; 73; 69; 7; 78; 96; 68; 99; 85; 34; 94; 95; 97; 64; 43; 74; 91; 90]], [99800; 99100; 100000; 100000; 99800; 99600; 100000; 99600; 100000; 99800], 54450, 54451, 1.2783148288726807
11, 10, 0.9954122999999999, [83; 3; 60; 73; 84; 88; 25; 15; 27; 48; 89; 26; 37; 61; 42; 62; 40; 2; 14; 7; 18; 54; 9; 44; 78; 8; 41; 52; 32; 80; 77; 13; 29; 72; 45; 47; 35; 5; 55; 4; 74; 66; 6; 96; 56; 87; 59; 21; 95; 43; 16; 12; 22; 85; 63; 97; 17; 76; 86; 50; 58; 57; 46; 65; 49; 94; 10; 93; 91; 34; 79; 24; 36; 75; 81; 39; 53; 30; 38; 92; 82; 70; 33; 67; 64; 31; 90; 19; 20; 11; 0; 51; 69; 68; 28; 71; 23; 1; 99; 98], [[83; 3; 60; 73; 84; 88; 25; 15; 27; 48; 89]; [26; 37; 61; 42; 62; 40; 2; 14]; [7; 18; 54; 9; 44; 78; 8]; [41; 52; 32; 80; 77; 13; 29; 72; 45; 47]; [35; 5; 55; 4; 74; 66; 6; 96; 56]; [87; 59; 21; 95; 43; 16; 12; 22; 85; 63; 97]; [17; 76; 86; 50; 58; 57; 46; 65; 49; 94; 10; 93; 91]; [34; 79; 24; 36; 75; 81; 39; 53; 30; 38; 92]; [82; 70; 33; 67; 64; 31; 90; 19; 20; 11]; [0; 51; 69; 68; 28; 71; 23; 1; 99; 98]], [100000; 100000; 99800; 99700; 100000; 100000; 99200; 99700; 99900; 99400], 54450, 54451, 1.2929551601409912
11, 10, 0.9954135000000001, [12; 21; 87; 43; 89; 34; 37; 14; 55; 20; 8; 10; 46; 32; 80; 78; 94; 79; 62; 58; 90; 24; 27; 13; 74; 59; 47; 5; 76; 25; 29; 84; 15; 2; 57; 64; 66; 73; 86; 68; 48; 23; 44; 65; 35; 72; 31; 11; 60; 69; 61; 88; 19; 70; 91; 52; 95; 42; 9; 26; 81; 18; 36; 63; 16; 40; 38; 1; 7; 83; 22; 4; 93; 67; 49; 54; 82; 41; 51; 6; 30; 50; 85; 45; 17; 53; 92; 56; 39; 97; 77; 98; 0; 33; 28; 75; 3; 71; 96; 99], [[12; 21; 87; 43; 89; 34; 37; 14; 55]; [20; 8; 10; 46; 32; 80; 78; 94; 79; 62]; [58; 90; 24; 27; 13; 74; 59; 47; 5]; [76; 25; 29; 84; 15; 2; 57; 64; 66; 73]; [86; 68; 48; 23; 44; 65; 35; 72; 31; 11]; [60; 69; 61; 88; 19; 70; 91; 52; 95; 42; 9; 26]; [81; 18; 36; 63; 16; 40; 38; 1]; [7; 83; 22; 4; 93; 67; 49; 54; 82; 41]; [51; 6; 30; 50; 85; 45; 17; 53; 92; 56]; [39; 97; 77; 98; 0; 33; 28; 75; 3; 71; 96; 99]], [99900; 99400; 100000; 99100; 99800; 100000; 99800; 99700; 100000; 100000], 54450, 54451, 1.3237133026123047
8, 10, 0.9954081, [44; 96; 99; 2; 28; 39; 35; 72; 80; 12; 22; 21; 1; 9; 29; 38; 88; 91; 34; 23; 87; 15; 45; 98; 61; 7; 42; 69; 11; 58; 16; 76; 68; 0; 10; 54; 85; 64; 70; 51; 84; 43; 65; 71; 14; 94; 30; 50; 26; 24; 57; 25; 63; 17; 73; 67; 97; 33; 82; 37; 13; 32; 49; 46; 55; 40; 27; 78; 53; 62; 31; 4; 75; 19; 81; 47; 48; 86; 52; 79; 5; 60; 6; 83; 20; 3; 18; 74; 92; 66; 95; 89; 36; 8; 56; 41; 77; 59; 90; 93], [[44; 96; 99; 2; 28; 39; 35; 72; 80; 12]; [22; 21; 1; 9; 29; 38; 88]; [91; 34; 23; 87; 15; 45; 98; 61; 7; 42]; [69; 11; 58; 16; 76; 68; 0; 10]; [54; 85; 64; 70; 51; 84; 43; 65; 71; 14; 94; 30; 50]; [26; 24; 57; 25; 63; 17; 73; 67; 97; 33]; [82; 37; 13; 32; 49; 46; 55; 40; 27]; [78; 53; 62; 31; 4; 75; 19; 81; 47; 48; 86]; [52; 79; 5; 60; 6; 83; 20; 3]; [18; 74; 92; 66; 95; 89; 36; 8; 56; 41; 77; 59; 90; 93]], [99800; 99700; 99500; 99900; 99800; 99800; 99500; 100000; 99700; 100000], 39600, 39601, 0.9498257637023926
13, 10, 0.9954119, [72; 74; 15; 81; 46; 10; 1; 16; 79; 34; 75; 41; 59; 24; 78; 92; 76; 31; 3; 12; 5; 19; 65; 42; 69; 43; 37; 80; 51; 17; 61; 33; 53; 8; 95; 30; 55; 22; 36; 18; 29; 64; 70; 21; 26; 39; 54; 52; 20; 86; 14; 32; 94; 9; 38; 11; 60; 28; 25; 35; 77; 71; 44; 56; 83; 98; 57; 4; 97; 96; 58; 85; 73; 63; 50; 2; 62; 87; 23; 6; 82; 67; 7; 0; 40; 66; 27; 47; 49; 88; 68; 48; 89; 13; 91; 45; 90; 84; 93; 99], [[72; 74; 15; 81; 46; 10; 1; 16]; [79; 34; 75; 41; 59; 24; 78; 92; 76; 31; 3]; [12; 5; 19; 65; 42; 69; 43; 37]; [80; 51; 17; 61; 33; 53; 8; 95; 30; 55]; [22; 36; 18; 29; 64; 70; 21; 26]; [39; 54; 52; 20; 86; 14; 32; 94; 9]; [38; 11; 60; 28; 25; 35; 77; 71; 44]; [56; 83; 98; 57; 4; 97; 96; 58; 85; 73; 63; 50; 2; 62]; [87; 23; 6; 82; 67; 7; 0; 40]; [66; 27; 47; 49; 88; 68; 48; 89; 13; 91; 45; 90; 84; 93; 99]], [100000; 99900; 99800; 99900; 100000; 100000; 99400; 99800; 99200; 99700], 64350, 64351, 1.47871732711792
