Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
1, 11, 0.9320772727272728, [15; 16; 84; 54; 29; 92; 42; 34; 79; 85; 2; 62; 69; 43; 38; 75; 50; 40; 33; 5; 63; 83; 0; 48; 31; 97; 4; 91; 19; 78; 25; 65; 36; 96; 68; 17; 71; 70; 7; 51; 32; 93; 77; 24; 87; 99; 6; 21; 67; 45; 47; 13; 37; 81; 74; 49; 22; 90; 60; 11; 89; 98; 88; 8; 3; 12; 86; 14; 76; 82; 44; 52; 26; 80; 1; 41; 53; 73; 18; 20; 28; 30; 35; 55; 10; 66; 9; 58; 56; 23; 72; 46; 64; 61; 57; 27; 59; 39; 94; 95], [[15; 16; 84; 54; 29; 92; 42; 34; 79; 85]; [2; 62; 69; 43; 38; 75; 50; 40; 33]; [5; 63; 83; 0; 48; 31; 97; 4]; [91; 19; 78; 25; 65; 36; 96; 68; 17; 71]; [70; 7; 51; 32; 93; 77; 24; 87; 99; 6]; [21; 67; 45; 47; 13; 37; 81; 74; 49]; [22; 90; 60; 11; 89; 98; 88; 8; 3]; [12; 86; 14; 76; 82; 44; 52; 26; 80]; [1; 41; 53; 73; 18; 20; 28]; [30; 35; 55; 10; 66; 9; 58; 56]; [23; 72; 46; 64; 61; 57; 27; 59; 39; 94; 95]], [99900; 99800; 98100; 93700; 97400; 97300; 92200; 92000; 96900; 97600; 96700], 4950, 4951, 0.12450218200683594
2, 11, 0.9330538181818183, [37; 90; 98; 3; 2; 84; 53; 10; 50; 5; 62; 8; 19; 97; 81; 86; 55; 56; 60; 82; 15; 1; 96; 40; 58; 45; 92; 93; 68; 95; 36; 46; 33; 28; 75; 0; 25; 74; 26; 18; 29; 80; 39; 7; 91; 99; 31; 83; 88; 52; 61; 87; 69; 13; 32; 34; 24; 21; 4; 30; 89; 27; 78; 54; 42; 38; 59; 76; 85; 79; 57; 63; 77; 51; 11; 94; 22; 48; 12; 44; 66; 23; 20; 35; 16; 43; 17; 67; 73; 70; 72; 41; 71; 14; 49; 64; 9; 47; 6; 65], [[37; 90; 98; 3; 2; 84; 53; 10; 50]; [5; 62; 8; 19; 97; 81; 86; 55; 56; 60]; [82; 15; 1; 96; 40; 58; 45; 92; 93; 68; 95]; [36; 46; 33; 28; 75; 0; 25; 74]; [26; 18; 29; 80; 39; 7; 91; 99]; [31; 83; 88; 52; 61; 87; 69; 13; 32; 34]; [24; 21; 4; 30; 89; 27; 78; 54]; [42; 38; 59; 76; 85; 79; 57; 63; 77; 51; 11; 94]; [22; 48; 12; 44; 66; 23; 20]; [35; 16; 43; 17; 67; 73; 70; 72; 41]; [71; 14; 49; 64; 9; 47; 6; 65]], [99300; 98800; 89000; 99800; 88600; 92900; 99900; 99000; 98400; 97400; 98500], 9900, 9901, 0.2431344985961914
1, 11, 0.9327467272727273, [31; 55; 49; 42; 83; 43; 19; 3; 85; 73; 96; 95; 75; 7; 12; 51; 26; 86; 32; 40; 9; 2; 0; 22; 76; 23; 68; 53; 91; 8; 20; 59; 64; 34; 17; 84; 57; 71; 93; 67; 50; 98; 82; 6; 66; 70; 44; 99; 74; 24; 69; 21; 48; 88; 80; 65; 62; 36; 41; 10; 81; 15; 47; 27; 60; 33; 79; 14; 25; 11; 16; 89; 18; 54; 97; 58; 87; 72; 35; 13; 5; 1; 30; 52; 94; 39; 38; 56; 63; 37; 45; 29; 4; 46; 61; 28; 92; 77; 90; 78], [[31; 55; 49; 42; 83; 43; 19; 3]; [85; 73; 96; 95; 75; 7; 12; 51; 26; 86; 32]; [40; 9; 2; 0; 22; 76]; [23; 68; 53; 91; 8; 20; 59; 64]; [34; 17; 84; 57; 71; 93; 67; 50; 98; 82; 6]; [66; 70; 44; 99; 74; 24; 69; 21; 48; 88; 80; 65]; [62; 36; 41; 10; 81; 15; 47; 27]; [60; 33; 79; 14; 25; 11; 16]; [89; 18; 54; 97; 58; 87; 72; 35; 13; 5]; [1; 30; 52; 94; 39; 38; 56; 63; 37]; [45; 29; 4; 46; 61; 28; 92; 77; 90; 78]], [97600; 99600; 95100; 86900; 94600; 97300; 99900; 97700; 99500; 99600; 93800], 4950, 4951, 0.11469817161560059
1, 11, 0.9321723636363636, [98; 8; 26; 1; 68; 13; 59; 3; 91; 9; 44; 29; 69; 25; 76; 45; 79; 14; 12; 22; 24; 54; 15; 89; 70; 18; 40; 21; 34; 38; 64; 75; 19; 16; 56; 10; 5; 46; 55; 60; 61; 37; 4; 31; 33; 66; 49; 83; 58; 85; 73; 39; 52; 35; 0; 51; 23; 53; 28; 84; 7; 30; 99; 48; 50; 32; 87; 93; 11; 77; 97; 67; 20; 71; 78; 57; 36; 17; 86; 65; 74; 2; 43; 6; 47; 94; 82; 42; 27; 63; 88; 41; 72; 62; 92; 90; 80; 81; 96; 95], [[98; 8; 26; 1; 68; 13; 59]; [3; 91; 9; 44; 29; 69; 25; 76]; [45; 79; 14; 12; 22; 24; 54]; [15; 89; 70; 18; 40; 21; 34; 38]; [64; 75; 19; 16; 56; 10; 5]; [46; 55; 60; 61; 37; 4; 31; 33]; [66; 49; 83; 58; 85; 73; 39; 52; 35; 0]; [51; 23; 53; 28; 84; 7; 30; 99; 48]; [50; 32; 87; 93; 11; 77; 97; 67; 20; 71; 78; 57]; [36; 17; 86; 65; 74; 2; 43; 6]; [47; 94; 82; 42; 27; 63; 88; 41; 72; 62; 92; 90; 80; 81; 96; 95]], [90200; 95200; 95100; 99400; 95500; 94700; 95200; 99800; 98900; 98800; 98800], 4950, 4951, 0.11716294288635254
3, 11, 0.9331636363636363, [21; 50; 14; 73; 6; 94; 59; 41; 95; 24; 28; 97; 70; 92; 99; 64; 22; 66; 15; 13; 57; 36; 55; 7; 90; 80; 46; 16; 30; 40; 85; 65; 79; 49; 89; 67; 8; 72; 31; 19; 60; 27; 52; 53; 3; 12; 18; 42; 74; 51; 63; 45; 69; 44; 76; 87; 33; 77; 86; 47; 71; 83; 23; 4; 48; 5; 11; 68; 34; 54; 17; 37; 62; 43; 35; 32; 20; 96; 26; 61; 39; 58; 9; 38; 0; 56; 75; 82; 29; 2; 81; 91; 1; 93; 10; 25; 98; 88; 78; 84], [[21; 50; 14; 73; 6; 94; 59; 41; 95]; [24; 28; 97; 70; 92; 99; 64; 22; 66; 15]; [13; 57; 36; 55; 7; 90; 80; 46]; [16; 30; 40; 85; 65; 79; 49; 89; 67; 8]; [72; 31; 19; 60; 27; 52; 53; 3]; [12; 18; 42; 74; 51; 63; 45; 69; 44]; [76; 87; 33; 77; 86; 47; 71; 83; 23; 4; 48]; [5; 11; 68; 34; 54; 17; 37]; [62; 43; 35; 32; 20; 96; 26; 61; 39]; [58; 9; 38; 0; 56; 75; 82; 29]; [2; 81; 91; 1; 93; 10; 25; 98; 88; 78; 84]], [95300; 91200; 86500; 99500; 99000; 99400; 99600; 98200; 99700; 93600; 99600], 14850, 14851, 0.35478830337524414
3, 11, 0.9343567272727273, [60; 13; 43; 16; 26; 71; 86; 4; 18; 5; 32; 56; 39; 61; 49; 83; 76; 51; 47; 78; 97; 1; 65; 11; 98; 58; 79; 20; 8; 3; 63; 37; 74; 81; 31; 87; 75; 25; 10; 19; 93; 22; 91; 96; 23; 34; 36; 41; 82; 84; 88; 17; 42; 54; 21; 28; 68; 2; 29; 95; 89; 45; 12; 52; 77; 24; 72; 57; 0; 69; 92; 9; 30; 70; 44; 48; 50; 73; 27; 64; 67; 66; 94; 14; 35; 99; 33; 38; 7; 80; 15; 62; 90; 40; 46; 85; 6; 59; 55; 53], [[60; 13; 43; 16; 26; 71; 86]; [4; 18; 5; 32; 56; 39; 61]; [49; 83; 76; 51; 47; 78; 97; 1; 65; 11; 98]; [58; 79; 20; 8; 3; 63; 37; 74]; [81; 31; 87; 75; 25; 10; 19; 93; 22]; [91; 96; 23; 34; 36; 41; 82; 84; 88; 17; 42]; [54; 21; 28; 68; 2; 29; 95; 89; 45]; [12; 52; 77; 24; 72; 57; 0; 69; 92]; [9; 30; 70; 44; 48; 50; 73; 27; 64]; [67; 66; 94; 14; 35; 99; 33; 38; 7; 80]; [15; 62; 90; 40; 46; 85; 6; 59; 55; 53]], [80500; 99500; 95500; 96500; 98700; 99800; 97300; 93900; 100000; 100000; 99900], 14850, 14851, 0.35434579849243164
2, 11, 0.933902909090909, [19; 23; 84; 21; 54; 9; 24; 75; 53; 95; 81; 25; 26; 48; 82; 59; 31; 96; 63; 18; 72; 56; 80; 51; 93; 3; 50; 85; 0; 47; 60; 39; 42; 46; 86; 94; 1; 71; 91; 79; 97; 88; 58; 74; 41; 2; 76; 4; 28; 68; 70; 34; 83; 78; 87; 7; 38; 45; 11; 49; 69; 35; 64; 57; 14; 55; 61; 62; 52; 98; 77; 37; 92; 16; 90; 22; 13; 8; 27; 30; 29; 17; 15; 36; 12; 44; 99; 65; 40; 20; 5; 32; 66; 89; 43; 33; 73; 67; 6; 10], [[19; 23; 84; 21; 54; 9; 24]; [75; 53; 95; 81; 25; 26; 48; 82; 59; 31; 96; 63]; [18; 72; 56; 80; 51; 93; 3; 50; 85]; [0; 47; 60; 39; 42; 46; 86; 94; 1]; [71; 91; 79; 97; 88; 58; 74; 41; 2; 76; 4]; [28; 68; 70; 34; 83; 78; 87; 7; 38; 45]; [11; 49; 69; 35; 64; 57; 14; 55; 61]; [62; 52; 98; 77; 37; 92; 16; 90; 22; 13]; [8; 27; 30; 29; 17; 15]; [36; 12; 44; 99; 65; 40; 20; 5]; [32; 66; 89; 43; 33; 73; 67; 6; 10]], [99700; 98700; 83200; 99800; 90700; 96900; 98800; 94800; 99200; 100000; 99800], 9900, 9901, 0.23940730094909668
2, 11, 0.9328245454545453, [28; 29; 6; 54; 60; 21; 19; 81; 38; 7; 9; 16; 78; 20; 41; 57; 67; 90; 24; 26; 5; 91; 95; 52; 31; 33; 98; 77; 65; 97; 30; 17; 75; 43; 50; 39; 64; 59; 8; 47; 44; 69; 45; 18; 27; 37; 86; 42; 23; 58; 32; 0; 34; 74; 49; 13; 4; 48; 76; 72; 88; 62; 93; 73; 66; 3; 84; 70; 10; 87; 68; 56; 46; 83; 92; 96; 14; 53; 80; 36; 63; 99; 71; 12; 1; 35; 15; 55; 2; 11; 22; 94; 79; 82; 85; 25; 40; 61; 51; 89], [[28; 29; 6; 54; 60; 21; 19]; [81; 38; 7; 9; 16; 78; 20]; [41; 57; 67; 90; 24; 26; 5; 91; 95; 52]; [31; 33; 98; 77; 65; 97; 30; 17; 75; 43]; [50; 39; 64; 59; 8; 47; 44; 69; 45]; [18; 27; 37; 86; 42; 23; 58; 32]; [0; 34; 74; 49; 13; 4; 48]; [76; 72; 88; 62; 93; 73; 66; 3; 84; 70; 10; 87; 68]; [56; 46; 83; 92; 96; 14; 53; 80; 36; 63; 99; 71]; [12; 1; 35; 15; 55; 2]; [11; 22; 94; 79; 82; 85; 25; 40; 61; 51; 89]], [99800; 97100; 94600; 91600; 95800; 99300; 99300; 97300; 87500; 99900; 99400], 9900, 9901, 0.23151588439941406
2, 11, 0.9333670909090909, [97; 25; 18; 73; 83; 48; 84; 14; 94; 10; 41; 45; 87; 23; 1; 85; 21; 15; 19; 67; 89; 55; 32; 35; 75; 69; 70; 3; 81; 51; 58; 71; 5; 20; 99; 38; 0; 44; 6; 77; 40; 29; 27; 88; 66; 63; 52; 4; 8; 64; 7; 12; 47; 43; 22; 56; 59; 62; 68; 54; 78; 93; 92; 37; 74; 17; 60; 42; 28; 16; 13; 91; 80; 98; 82; 65; 26; 39; 96; 9; 53; 50; 90; 86; 24; 72; 46; 2; 34; 95; 36; 30; 33; 79; 61; 11; 57; 49; 31; 76], [[97; 25; 18; 73; 83; 48; 84; 14; 94; 10]; [41; 45; 87; 23; 1; 85; 21]; [15; 19; 67; 89; 55; 32; 35; 75; 69; 70]; [3; 81; 51; 58; 71; 5; 20; 99; 38]; [0; 44; 6; 77; 40; 29; 27]; [88; 66; 63; 52; 4; 8; 64; 7]; [12; 47; 43; 22; 56; 59; 62; 68; 54]; [78; 93; 92; 37; 74; 17; 60; 42; 28; 16]; [13; 91; 80; 98; 82; 65; 26; 39; 96; 9; 53]; [50; 90; 86; 24; 72; 46; 2; 34; 95; 36]; [30; 33; 79; 61; 11; 57; 49; 31; 76]], [99500; 83600; 99200; 99900; 99200; 93400; 97000; 98300; 96700; 97300; 97500], 9900, 9901, 0.2382516860961914
2, 11, 0.9325121818181817, [97; 16; 84; 44; 11; 98; 51; 77; 33; 80; 14; 27; 93; 20; 69; 19; 88; 8; 83; 18; 1; 17; 32; 10; 5; 45; 0; 13; 76; 59; 31; 22; 48; 41; 91; 96; 23; 72; 79; 99; 12; 95; 87; 81; 64; 9; 6; 26; 94; 7; 78; 54; 36; 53; 29; 30; 28; 34; 35; 82; 61; 55; 89; 2; 60; 62; 70; 90; 73; 21; 56; 50; 67; 40; 3; 68; 86; 47; 39; 37; 66; 15; 74; 46; 57; 71; 38; 85; 63; 4; 92; 58; 43; 49; 52; 75; 42; 24; 25; 65], [[97; 16; 84; 44; 11; 98; 51; 77; 33; 80]; [14; 27; 93; 20; 69; 19; 88; 8]; [83; 18; 1; 17; 32; 10]; [5; 45; 0; 13; 76; 59; 31]; [22; 48; 41; 91; 96; 23; 72; 79; 99; 12; 95; 87]; [81; 64; 9; 6; 26; 94; 7; 78]; [54; 36; 53; 29; 30; 28; 34; 35]; [82; 61; 55; 89; 2; 60; 62; 70; 90; 73; 21; 56]; [50; 67; 40; 3; 68; 86; 47; 39; 37]; [66; 15; 74; 46; 57; 71; 38; 85; 63; 4]; [92; 58; 43; 49; 52; 75; 42; 24; 25; 65]], [88900; 99300; 93200; 97300; 96900; 94200; 99900; 99800; 94400; 99800; 97900], 9900, 9901, 0.23940658569335938
