Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
59, 19, 0.856584894736842, [28; 15; 19; 22; 24; 54; 60; 68; 56; 76; 81; 63; 90; 64; 87; 7; 32; 45; 37; 35; 8; 1; 16; 9; 13; 71; 84; 57; 94; 61; 25; 47; 42; 50; 34; 23; 27; 48; 30; 36; 77; 33; 62; 88; 38; 91; 3; 0; 5; 12; 2; 18; 20; 26; 14; 4; 52; 74; 85; 67; 44; 73; 98; 41; 21; 89; 66; 75; 39; 79; 65; 78; 49; 86; 46; 40; 72; 69; 59; 17; 29; 10; 6; 11; 53; 96; 58; 43; 70; 83; 51; 31; 80; 82; 55; 92; 95; 97; 99; 93], [[28; 15; 19; 22; 24]; [54; 60; 68; 56; 76]; [81; 63; 90; 64; 87]; [7; 32; 45; 37; 35]; [8; 1; 16; 9; 13]; [71; 84; 57; 94; 61]; [25; 47; 42; 50; 34]; [23; 27; 48; 30; 36]; [77; 33; 62; 88; 38; 91]; [3; 0; 5; 12; 2]; [18; 20; 26; 14; 4]; [52; 74; 85; 67; 44; 73]; [98; 41; 21; 89; 66; 75]; [39; 79; 65; 78; 49; 86]; [46; 40; 72; 69; 59]; [17; 29; 10; 6; 11]; [53; 96; 58; 43; 70; 83]; [51; 31; 80; 82; 55; 92]; [95; 97; 99; 93]], [93600; 84100; 80800; 91600; 98400; 81700; 89400; 90800; 100000; 99500; 95600; 100000; 100000; 100000; 85200; 97100; 99900; 100000; 60800], 6000, 6001, 0.16416215896606445
69, 19, 0.8711573157894736, [55; 83; 67; 34; 99; 58; 66; 72; 61; 76; 82; 31; 86; 98; 75; 46; 45; 25; 35; 41; 37; 73; 81; 62; 53; 84; 50; 94; 97; 70; 57; 59; 19; 0; 5; 2; 4; 3; 23; 14; 8; 1; 17; 51; 80; 91; 64; 32; 71; 69; 52; 87; 49; 65; 79; 39; 78; 54; 47; 40; 22; 42; 28; 30; 29; 38; 85; 60; 24; 93; 90; 10; 9; 12; 6; 7; 20; 18; 33; 27; 21; 26; 16; 13; 15; 11; 43; 56; 68; 77; 89; 63; 74; 92; 48; 44; 36; 95; 88; 96], [[55; 83; 67; 34; 99; 58]; [66; 72; 61; 76; 82]; [31; 86; 98; 75; 46]; [45; 25; 35; 41; 37]; [73; 81; 62; 53; 84; 50]; [94; 97; 70; 57; 59; 19]; [0; 5; 2; 4; 3]; [23; 14; 8; 1; 17]; [51; 80; 91; 64; 32; 71]; [69; 52; 87; 49; 65; 79]; [39; 78; 54; 47; 40]; [22; 42; 28; 30; 29]; [38; 85; 60; 24; 93; 90]; [10; 9; 12; 6; 7]; [20; 18; 33; 27; 21]; [26; 16; 13; 15; 11]; [43; 56; 68; 77; 89; 63]; [74; 92; 48; 44; 36; 95]; [88; 96]], [100000; 82100; 82800; 89900; 99900; 100000; 99700; 97000; 100000; 99900; 86600; 91400; 99900; 99100; 92900; 96400; 100000; 100000; 30900], 7000, 7001, 0.17708539962768555
39, 19, 0.8520858421052631, [98; 57; 70; 40; 34; 93; 73; 92; 95; 53; 77; 11; 46; 25; 58; 44; 67; 86; 97; 51; 81; 8; 28; 15; 21; 22; 20; 32; 31; 42; 38; 74; 79; 62; 43; 84; 52; 55; 63; 66; 59; 39; 61; 33; 26; 48; 27; 96; 85; 99; 7; 87; 64; 56; 91; 65; 36; 83; 41; 45; 54; 50; 68; 29; 12; 19; 30; 23; 60; 78; 16; 80; 76; 90; 13; 10; 5; 1; 6; 37; 47; 49; 88; 94; 82; 9; 35; 4; 24; 18; 0; 3; 17; 2; 14; 71; 69; 89; 75; 72], [[98; 57; 70; 40; 34; 93]; [73; 92; 95; 53; 77]; [11; 46; 25; 58; 44]; [67; 86; 97; 51; 81]; [8; 28; 15; 21; 22]; [20; 32; 31; 42; 38]; [74; 79; 62; 43; 84]; [52; 55; 63; 66; 59]; [39; 61; 33; 26; 48]; [27; 96; 85; 99; 7; 87]; [64; 56; 91; 65; 36; 83]; [41; 45; 54; 50; 68]; [29; 12; 19; 30; 23]; [60; 78; 16; 80; 76; 90]; [13; 10; 5; 1; 6]; [37; 47; 49; 88; 94; 82]; [9; 35; 4; 24; 18]; [0; 3; 17; 2; 14]; [71; 69; 89; 75; 72]], [100000; 80400; 90800; 80900; 94700; 90600; 82800; 85100; 88800; 100000; 100000; 86800; 93700; 100000; 99100; 100000; 95400; 98500; 80900], 4000, 4001, 0.09366202354431152
43, 19, 0.8523957368421053, [93; 24; 43; 61; 75; 98; 70; 62; 84; 76; 86; 17; 6; 4; 14; 12; 59; 57; 65; 85; 82; 50; 88; 92; 69; 81; 16; 25; 23; 39; 19; 42; 54; 71; 45; 94; 90; 10; 15; 32; 26; 3; 2; 11; 0; 1; 8; 73; 56; 96; 58; 74; 35; 37; 52; 53; 47; 20; 31; 34; 28; 27; 99; 77; 55; 68; 72; 18; 9; 5; 13; 7; 87; 22; 91; 30; 97; 67; 66; 60; 38; 29; 36; 51; 44; 33; 41; 48; 78; 64; 49; 80; 46; 83; 21; 95; 79; 63; 40; 89], [[93; 24; 43; 61; 75; 98]; [70; 62; 84; 76; 86]; [17; 6; 4; 14; 12]; [59; 57; 65; 85; 82]; [50; 88; 92; 69; 81]; [16; 25; 23; 39; 19]; [42; 54; 71; 45; 94; 90]; [10; 15; 32; 26; 3]; [2; 11; 0; 1; 8]; [73; 56; 96; 58; 74]; [35; 37; 52; 53; 47]; [20; 31; 34; 28; 27]; [99; 77; 55; 68; 72]; [18; 9; 5; 13; 7]; [87; 22; 91; 30; 97; 67]; [66; 60; 38; 29; 36]; [51; 44; 33; 41; 48]; [78; 64; 49; 80; 46; 83]; [21; 95; 79; 63; 40; 89]], [99900; 81200; 98100; 82700; 81100; 93000; 100000; 95600; 99600; 82100; 88100; 91700; 81200; 98300; 99900; 87700; 88400; 100000; 99900], 4400, 4401, 0.10935163497924805
65, 19, 0.8818362631578947, [3; 6; 7; 13; 0; 59; 57; 80; 64; 62; 12; 10; 5; 8; 9; 41; 54; 47; 35; 49; 83; 70; 61; 68; 25; 87; 95; 63; 91; 81; 23; 33; 48; 60; 46; 58; 38; 67; 75; 44; 76; 66; 73; 96; 36; 50; 82; 77; 53; 14; 26; 20; 27; 31; 65; 69; 99; 52; 19; 93; 30; 71; 84; 78; 97; 32; 39; 45; 29; 40; 17; 22; 4; 37; 24; 28; 16; 2; 18; 1; 11; 85; 98; 15; 88; 43; 72; 55; 42; 79; 89; 90; 34; 56; 21; 51; 94; 74; 92; 86], [[3; 6; 7; 13; 0]; [59; 57; 80; 64; 62]; [12; 10; 5; 8; 9]; [41; 54; 47; 35; 49]; [83; 70; 61; 68; 25; 87]; [95; 63; 91; 81; 23; 33]; [48; 60; 46; 58; 38]; [67; 75; 44; 76; 66; 73]; [96; 36; 50; 82; 77; 53]; [14; 26; 20; 27; 31]; [65; 69; 99; 52; 19; 93]; [30; 71; 84; 78; 97; 32]; [39; 45; 29; 40; 17]; [22; 4; 37; 24; 28]; [16; 2; 18; 1; 11]; [85; 98; 15; 88; 43; 72]; [55; 42; 79; 89; 90; 34]; [56; 21; 51; 94; 74; 92]; [86]], [99200; 83900; 99000; 88300; 100000; 100000; 87100; 99900; 100000; 93100; 99800; 100000; 90900; 93300; 98300; 100000; 100000; 100000; 15700], 6600, 6601, 0.15617585182189941
38, 19, 0.8709174210526316, [41; 36; 56; 34; 48; 32; 26; 53; 38; 24; 30; 51; 57; 87; 68; 99; 29; 15; 8; 13; 45; 81; 0; 89; 46; 85; 98; 95; 94; 31; 77; 86; 17; 65; 73; 82; 25; 80; 69; 4; 1; 23; 5; 3; 54; 40; 83; 78; 67; 74; 70; 71; 63; 62; 59; 47; 39; 42; 52; 37; 60; 35; 58; 61; 76; 7; 22; 11; 6; 18; 55; 92; 75; 33; 44; 90; 21; 20; 28; 14; 19; 84; 49; 64; 88; 91; 27; 16; 12; 9; 10; 2; 50; 43; 72; 79; 66; 93; 96; 97], [[41; 36; 56; 34; 48]; [32; 26; 53; 38; 24]; [30; 51; 57; 87; 68; 99]; [29; 15; 8; 13; 45]; [81; 0; 89; 46; 85; 98]; [95; 94; 31; 77; 86; 17]; [65; 73; 82; 25; 80; 69]; [4; 1; 23; 5; 3]; [54; 40; 83; 78; 67; 74]; [70; 71; 63; 62; 59]; [47; 39; 42; 52; 37]; [60; 35; 58; 61; 76]; [7; 22; 11; 6; 18]; [55; 92; 75; 33; 44; 90]; [21; 20; 28; 14; 19]; [84; 49; 64; 88; 91; 27]; [16; 12; 9; 10; 2]; [50; 43; 72; 79; 66; 93]; [96; 97]], [88500; 90200; 100000; 94600; 100000; 99900; 100000; 98300; 100000; 83600; 88400; 85200; 97400; 100000; 93800; 99800; 98600; 99800; 30400], 3900, 3901, 0.09729838371276855
61, 19, 0.8629554210526317, [40; 34; 28; 39; 25; 85; 91; 23; 43; 75; 76; 10; 18; 11; 7; 9; 94; 74; 27; 68; 84; 44; 63; 52; 41; 47; 98; 49; 36; 51; 50; 48; 33; 54; 80; 78; 90; 56; 65; 61; 82; 71; 66; 3; 4; 2; 5; 17; 62; 92; 53; 87; 79; 0; 1; 6; 8; 14; 58; 24; 86; 93; 60; 72; 45; 97; 57; 31; 77; 89; 32; 30; 22; 38; 35; 70; 69; 73; 67; 64; 55; 16; 19; 13; 12; 15; 81; 59; 88; 46; 83; 42; 37; 26; 21; 20; 29; 99; 95; 96], [[40; 34; 28; 39; 25]; [85; 91; 23; 43; 75; 76]; [10; 18; 11; 7; 9]; [94; 74; 27; 68; 84; 44]; [63; 52; 41; 47; 98]; [49; 36; 51; 50; 48]; [33; 54; 80; 78; 90]; [56; 65; 61; 82; 71; 66]; [3; 4; 2; 5; 17]; [62; 92; 53; 87; 79]; [0; 1; 6; 8; 14]; [58; 24; 86; 93; 60; 72]; [45; 97; 57; 31; 77; 89]; [32; 30; 22; 38; 35]; [70; 69; 73; 67; 64; 55]; [16; 19; 13; 12; 15]; [81; 59; 88; 46; 83; 42]; [37; 26; 21; 20; 29]; [99; 95; 96]], [90500; 100000; 98500; 100000; 84600; 87900; 82900; 100000; 99000; 81300; 99000; 100000; 100000; 90800; 100000; 96600; 100000; 92000; 45400], 6200, 6201, 0.15616846084594727
50, 19, 0.8564502631578947, [67; 68; 96; 70; 40; 43; 47; 45; 82; 95; 85; 49; 75; 91; 81; 71; 20; 17; 31; 24; 41; 78; 14; 77; 66; 74; 94; 76; 55; 64; 56; 54; 79; 50; 63; 58; 65; 36; 29; 35; 37; 44; 9; 8; 4; 7; 10; 34; 22; 33; 32; 27; 84; 52; 89; 86; 21; 59; 48; 51; 92; 73; 69; 60; 1; 6; 3; 2; 0; 19; 15; 26; 13; 25; 11; 18; 12; 5; 16; 87; 83; 62; 57; 30; 80; 38; 28; 42; 39; 46; 61; 53; 93; 90; 72; 23; 88; 99; 97; 98], [[67; 68; 96; 70; 40]; [43; 47; 45; 82; 95; 85]; [49; 75; 91; 81; 71]; [20; 17; 31; 24; 41]; [78; 14; 77; 66; 74; 94]; [76; 55; 64; 56; 54]; [79; 50; 63; 58; 65]; [36; 29; 35; 37; 44]; [9; 8; 4; 7; 10]; [34; 22; 33; 32; 27]; [84; 52; 89; 86; 21; 59]; [48; 51; 92; 73; 69; 60]; [1; 6; 3; 2; 0]; [19; 15; 26; 13; 25]; [11; 18; 12; 5; 16]; [87; 83; 62; 57; 30; 80]; [38; 28; 42; 39; 46]; [61; 53; 93; 90; 72; 23]; [88; 99; 97; 98]], [82700; 100000; 81600; 92500; 99900; 84700; 84300; 89800; 99200; 91100; 100000; 100000; 99800; 94600; 97900; 100000; 89400; 100000; 61000], 5100, 5101, 0.14060306549072266
43, 20, 0.7965660499999999, [59; 61; 88; 73; 44; 69; 83; 93; 80; 71; 6; 11; 18; 5; 13; 63; 78; 94; 54; 65; 37; 58; 51; 67; 77; 7; 3; 10; 15; 0; 91; 95; 86; 75; 52; 1; 46; 62; 64; 66; 49; 39; 48; 24; 29; 38; 19; 12; 9; 2; 8; 60; 70; 56; 72; 76; 43; 27; 25; 17; 20; 26; 14; 22; 16; 21; 81; 85; 40; 74; 84; 28; 23; 32; 34; 36; 31; 57; 42; 41; 50; 4; 98; 33; 79; 97; 87; 90; 89; 92; 30; 45; 47; 68; 99; 35; 82; 53; 55; 96], [[59; 61; 88; 73; 44]; [69; 83; 93; 80; 71]; [6; 11; 18; 5; 13]; [63; 78; 94; 54; 65]; [37; 58; 51; 67; 77]; [7; 3; 10; 15; 0]; [91; 95; 86; 75; 52; 1]; [46; 62; 64; 66; 49]; [39; 48; 24; 29; 38]; [19; 12; 9; 2; 8]; [60; 70; 56; 72; 76]; [43; 27; 25; 17; 20]; [26; 14; 22; 16; 21]; [81; 85; 40; 74; 84]; [28; 23; 32; 34; 36]; [31; 57; 42; 41; 50]; [4; 98; 33; 79; 97; 87]; [90; 89; 92; 30; 45; 47]; [68; 99; 35; 82; 53; 55]; [96]], [83600; 80200; 98300; 82300; 85300; 98900; 99800; 85700; 90000; 98100; 83100; 92700; 94300; 81700; 91000; 88500; 99900; 100000; 99900; 15200], 4400, 4401, 0.12499427795410156
43, 19, 0.8520617368421051, [62; 41; 84; 87; 73; 51; 86; 85; 92; 40; 53; 29; 31; 95; 83; 91; 52; 97; 78; 61; 64; 48; 74; 39; 47; 45; 68; 72; 90; 76; 81; 67; 2; 8; 6; 7; 4; 42; 44; 27; 26; 66; 16; 23; 13; 18; 17; 50; 34; 56; 36; 55; 46; 63; 65; 70; 75; 54; 71; 88; 49; 77; 33; 58; 24; 38; 32; 96; 21; 57; 98; 79; 37; 9; 0; 10; 5; 1; 59; 60; 69; 30; 82; 99; 28; 25; 19; 22; 43; 14; 12; 3; 15; 20; 93; 94; 80; 35; 11; 89], [[62; 41; 84; 87; 73; 51]; [86; 85; 92; 40; 53]; [29; 31; 95; 83; 91]; [52; 97; 78; 61; 64; 48]; [74; 39; 47; 45; 68]; [72; 90; 76; 81; 67]; [2; 8; 6; 7; 4]; [42; 44; 27; 26; 66]; [16; 23; 13; 18; 17]; [50; 34; 56; 36; 55]; [46; 63; 65; 70; 75]; [54; 71; 88; 49; 77]; [33; 58; 24; 38; 32]; [96; 21; 57; 98; 79; 37]; [9; 0; 10; 5; 1]; [59; 60; 69; 30; 82; 99]; [28; 25; 19; 22; 43]; [14; 12; 3; 15; 20]; [93; 94; 80; 35; 11; 89]], [99900; 82000; 83000; 99900; 85800; 80700; 99500; 89200; 95900; 87800; 83900; 83200; 89600; 100000; 99500; 99600; 92100; 96900; 100000], 4400, 4401, 0.12505555152893066
