Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
41, 19, 0.8640534736842104, [65; 97; 84; 60; 76; 15; 11; 12; 28; 22; 93; 90; 70; 58; 7; 78; 94; 68; 91; 64; 63; 24; 55; 80; 95; 54; 79; 35; 30; 27; 34; 26; 25; 4; 17; 5; 20; 37; 42; 43; 48; 74; 21; 33; 23; 32; 6; 46; 86; 69; 66; 72; 41; 40; 39; 29; 44; 16; 71; 89; 57; 82; 92; 53; 99; 75; 98; 59; 18; 45; 49; 50; 38; 19; 9; 10; 8; 3; 73; 81; 62; 51; 47; 2; 1; 14; 0; 31; 83; 96; 88; 36; 13; 87; 52; 61; 85; 56; 67; 77], [[65; 97; 84; 60; 76]; [15; 11; 12; 28; 22]; [93; 90; 70; 58; 7; 78]; [94; 68; 91; 64; 63; 24]; [55; 80; 95; 54; 79]; [35; 30; 27; 34; 26]; [25; 4; 17; 5; 20]; [37; 42; 43; 48; 74]; [21; 33; 23; 32; 6]; [46; 86; 69; 66; 72]; [41; 40; 39; 29; 44]; [16; 71; 89; 57; 82; 92]; [53; 99; 75; 98; 59]; [18; 45; 49; 50; 38]; [19; 9; 10; 8; 3]; [73; 81; 62; 51; 47]; [2; 1; 14; 0; 31]; [83; 96; 88; 36; 13; 87]; [52; 61; 85; 56; 67; 77]], [80700; 96900; 100000; 99900; 81700; 93900; 97700; 88000; 95600; 83100; 90900; 100000; 80600; 90600; 98600; 84200; 98400; 100000; 100000], 4200, 4201, 0.14059925079345703
45, 19, 0.864273789473684, [85; 56; 91; 65; 71; 25; 3; 10; 14; 5; 28; 27; 29; 32; 35; 45; 80; 20; 74; 97; 86; 90; 60; 49; 67; 70; 38; 78; 77; 58; 99; 47; 63; 83; 98; 66; 84; 1; 16; 21; 26; 4; 68; 44; 42; 54; 64; 59; 88; 93; 34; 43; 79; 15; 37; 30; 39; 33; 57; 40; 50; 36; 52; 17; 2; 7; 13; 8; 46; 55; 53; 82; 61; 89; 95; 62; 72; 69; 18; 94; 76; 51; 75; 92; 9; 24; 31; 22; 41; 0; 6; 19; 11; 12; 73; 96; 81; 23; 48; 87], [[85; 56; 91; 65; 71]; [25; 3; 10; 14; 5]; [28; 27; 29; 32; 35]; [45; 80; 20; 74; 97; 86]; [90; 60; 49; 67; 70]; [38; 78; 77; 58; 99; 47]; [63; 83; 98; 66; 84]; [1; 16; 21; 26; 4]; [68; 44; 42; 54; 64]; [59; 88; 93; 34; 43; 79]; [15; 37; 30; 39; 33]; [57; 40; 50; 36; 52]; [17; 2; 7; 13; 8]; [46; 55; 53; 82; 61]; [89; 95; 62; 72; 69; 18]; [94; 76; 51; 75; 92]; [9; 24; 31; 22; 41]; [0; 6; 19; 11; 12]; [73; 96; 81; 23; 48; 87]], [81600; 98200; 94000; 100000; 83200; 99900; 80100; 97800; 86700; 100000; 93300; 88500; 98700; 85200; 100000; 80300; 94900; 98500; 99900], 4600, 4601, 0.13127732276916504
45, 19, 0.8641554736842105, [84; 65; 27; 85; 59; 82; 74; 61; 42; 90; 47; 76; 25; 58; 92; 55; 86; 72; 69; 89; 63; 21; 94; 44; 87; 95; 60; 33; 35; 39; 40; 10; 7; 4; 0; 1; 79; 88; 48; 52; 64; 67; 78; 31; 91; 46; 70; 83; 97; 98; 32; 75; 18; 20; 15; 2; 3; 16; 29; 12; 14; 17; 24; 26; 37; 22; 34; 49; 56; 45; 50; 36; 9; 13; 6; 5; 8; 81; 93; 51; 54; 57; 62; 96; 43; 71; 53; 77; 66; 30; 23; 11; 19; 28; 73; 41; 80; 99; 38; 68], [[84; 65; 27; 85; 59]; [82; 74; 61; 42; 90; 47]; [76; 25; 58; 92; 55]; [86; 72; 69; 89; 63]; [21; 94; 44; 87; 95]; [60; 33; 35; 39; 40]; [10; 7; 4; 0; 1]; [79; 88; 48; 52; 64; 67]; [78; 31; 91; 46; 70]; [83; 97; 98; 32; 75]; [18; 20; 15; 2; 3]; [16; 29; 12; 14; 17]; [24; 26; 37; 22; 34]; [49; 56; 45; 50; 36]; [9; 13; 6; 5; 8]; [81; 93; 51; 54; 57; 62]; [96; 43; 71; 53; 77; 66]; [30; 23; 11; 19; 28]; [73; 41; 80; 99; 38; 68]], [84300; 100000; 84800; 81000; 83200; 90100; 99400; 100000; 84400; 80700; 98200; 97100; 94200; 88500; 99000; 100000; 99900; 96000; 100000], 4600, 4601, 0.1094050407409668
49, 19, 0.8685721052631578, [54; 41; 53; 32; 56; 22; 18; 9; 10; 3; 59; 86; 43; 69; 66; 77; 92; 42; 79; 96; 60; 29; 34; 33; 28; 36; 58; 83; 45; 72; 68; 39; 65; 46; 44; 40; 73; 67; 47; 80; 55; 76; 75; 90; 64; 81; 48; 13; 7; 1; 0; 8; 38; 25; 20; 11; 31; 95; 14; 57; 71; 89; 82; 26; 37; 24; 30; 17; 63; 85; 49; 87; 61; 52; 4; 23; 15; 6; 5; 16; 2; 12; 19; 27; 50; 70; 84; 88; 94; 21; 74; 51; 62; 99; 35; 78; 93; 98; 97; 91], [[54; 41; 53; 32; 56]; [22; 18; 9; 10; 3]; [59; 86; 43; 69; 66; 77]; [92; 42; 79; 96; 60]; [29; 34; 33; 28; 36]; [58; 83; 45; 72; 68]; [39; 65; 46; 44; 40]; [73; 67; 47; 80; 55; 76]; [75; 90; 64; 81; 48]; [13; 7; 1; 0; 8]; [38; 25; 20; 11; 31]; [95; 14; 57; 71; 89; 82]; [26; 37; 24; 30; 17]; [63; 85; 49; 87; 61; 52]; [4; 23; 15; 6; 5]; [16; 2; 12; 19; 27]; [50; 70; 84; 88; 94; 21]; [74; 51; 62; 99; 35; 78]; [93; 98; 97; 91]], [88600; 98100; 100000; 81200; 93300; 83700; 88500; 100000; 82000; 99200; 94900; 100000; 94800; 100000; 98400; 97500; 100000; 100000; 60600], 5000, 5001, 0.12492227554321289
49, 19, 0.8643576842105262, [74; 89; 87; 80; 58; 6; 48; 45; 34; 46; 73; 75; 61; 93; 39; 51; 99; 62; 38; 47; 85; 69; 71; 77; 86; 13; 22; 15; 23; 8; 68; 33; 96; 90; 64; 55; 42; 36; 43; 44; 28; 56; 76; 97; 82; 81; 3; 16; 7; 20; 18; 12; 14; 4; 11; 1; 5; 0; 2; 24; 10; 29; 32; 27; 37; 25; 65; 57; 50; 52; 41; 92; 91; 35; 78; 84; 26; 40; 59; 83; 54; 98; 63; 17; 19; 30; 31; 21; 49; 53; 79; 88; 60; 67; 70; 94; 72; 9; 66; 95], [[74; 89; 87; 80; 58]; [6; 48; 45; 34; 46]; [73; 75; 61; 93; 39]; [51; 99; 62; 38; 47]; [85; 69; 71; 77; 86]; [13; 22; 15; 23; 8]; [68; 33; 96; 90; 64; 55]; [42; 36; 43; 44; 28]; [56; 76; 97; 82; 81]; [3; 16; 7; 20; 18]; [12; 14; 4; 11; 1]; [5; 0; 2; 24; 10]; [29; 32; 27; 37; 25]; [65; 57; 50; 52; 41]; [92; 91; 35; 78; 84; 26]; [40; 59; 83; 54; 98; 63]; [17; 19; 30; 31; 21]; [49; 53; 79; 88; 60; 67]; [70; 94; 72; 9; 66; 95]], [80200; 91600; 82700; 85100; 80700; 97300; 100000; 91000; 80200; 98000; 98700; 98700; 93900; 87000; 100000; 100000; 95800; 100000; 99900], 5000, 5001, 0.13775086402893066
32, 19, 0.8644680000000001, [77; 67; 71; 59; 54; 12; 42; 29; 38; 41; 63; 62; 85; 72; 49; 44; 39; 64; 22; 33; 58; 90; 24; 96; 84; 48; 32; 68; 75; 92; 88; 93; 35; 89; 52; 55; 80; 5; 25; 4; 2; 13; 3; 8; 6; 18; 0; 43; 46; 40; 53; 57; 65; 91; 69; 61; 99; 16; 7; 27; 30; 26; 11; 31; 17; 14; 10; 79; 94; 45; 56; 50; 74; 78; 83; 86; 81; 51; 28; 20; 15; 23; 19; 1; 34; 21; 37; 9; 36; 87; 70; 66; 73; 60; 47; 82; 97; 76; 98; 95], [[77; 67; 71; 59; 54]; [12; 42; 29; 38; 41]; [63; 62; 85; 72; 49]; [44; 39; 64; 22; 33]; [58; 90; 24; 96; 84]; [48; 32; 68; 75; 92; 88]; [93; 35; 89; 52; 55; 80]; [5; 25; 4; 2; 13]; [3; 8; 6; 18; 0]; [43; 46; 40; 53; 57]; [65; 91; 69; 61; 99]; [16; 7; 27; 30; 26]; [11; 31; 17; 14; 10]; [79; 94; 45; 56; 50; 74]; [78; 83; 86; 81; 51; 28]; [20; 15; 23; 19; 1]; [34; 21; 37; 9; 36]; [87; 70; 66; 73; 60; 47]; [82; 97; 76; 98; 95]], [83800; 92500; 83300; 90600; 82500; 100000; 99800; 98500; 99100; 88200; 80600; 96200; 97200; 99900; 99900; 97400; 94200; 99800; 77300], 3300, 3301, 0.09019708633422852
42, 19, 0.8741321052631579, [44; 38; 86; 75; 58; 55; 28; 95; 54; 93; 79; 70; 59; 61; 68; 39; 0; 14; 12; 33; 22; 62; 65; 64; 77; 89; 2; 5; 3; 20; 9; 80; 85; 81; 74; 67; 13; 76; 52; 57; 87; 73; 53; 66; 50; 49; 43; 47; 84; 82; 51; 29; 71; 97; 15; 7; 4; 1; 19; 23; 10; 6; 25; 17; 45; 96; 83; 46; 72; 60; 31; 37; 21; 34; 35; 8; 11; 30; 27; 18; 42; 16; 26; 36; 32; 40; 48; 99; 56; 63; 92; 41; 24; 88; 90; 69; 94; 98; 78; 91], [[44; 38; 86; 75; 58]; [55; 28; 95; 54; 93; 79]; [70; 59; 61; 68; 39]; [0; 14; 12; 33; 22]; [62; 65; 64; 77; 89]; [2; 5; 3; 20; 9]; [80; 85; 81; 74; 67; 13]; [76; 52; 57; 87; 73; 53]; [66; 50; 49; 43; 47]; [84; 82; 51; 29; 71; 97]; [15; 7; 4; 1; 19]; [23; 10; 6; 25; 17]; [45; 96; 83; 46; 72; 60]; [31; 37; 21; 34; 35]; [8; 11; 30; 27; 18]; [42; 16; 26; 36; 32]; [40; 48; 99; 56; 63; 92]; [41; 24; 88; 90; 69; 94]; [98; 78; 91]], [84900; 100000; 85300; 97000; 82000; 98900; 100000; 100000; 87500; 99800; 98600; 97400; 99800; 93400; 96700; 93400; 100000; 99800; 46300], 4300, 4301, 0.1092987060546875
68, 19, 0.8651210526315788, [5; 7; 2; 0; 8; 50; 59; 90; 82; 64; 55; 48; 36; 34; 38; 44; 72; 57; 51; 79; 85; 40; 52; 46; 84; 77; 99; 81; 60; 54; 63; 71; 70; 76; 89; 88; 62; 9; 20; 10; 6; 17; 18; 4; 1; 13; 3; 15; 12; 23; 14; 19; 25; 28; 21; 16; 22; 11; 33; 37; 29; 30; 53; 91; 73; 41; 83; 56; 75; 87; 67; 69; 78; 24; 32; 35; 31; 27; 39; 43; 42; 49; 61; 97; 26; 58; 92; 65; 66; 47; 68; 74; 80; 86; 45; 98; 96; 93; 95; 94], [[5; 7; 2; 0; 8]; [50; 59; 90; 82; 64; 55]; [48; 36; 34; 38; 44]; [72; 57; 51; 79; 85]; [40; 52; 46; 84; 77; 99]; [81; 60; 54; 63; 71]; [70; 76; 89; 88; 62]; [9; 20; 10; 6; 17]; [18; 4; 1; 13; 3]; [15; 12; 23; 14; 19]; [25; 28; 21; 16; 22]; [11; 33; 37; 29; 30]; [53; 91; 73; 41; 83; 56]; [75; 87; 67; 69; 78]; [24; 32; 35; 31; 27]; [39; 43; 42; 49; 61]; [97; 26; 58; 92; 65; 66]; [47; 68; 74; 80; 86; 45]; [98; 96; 93; 95; 94]], [99500; 100000; 90500; 82700; 100000; 83600; 80500; 98200; 98900; 97300; 96100; 94200; 100000; 81100; 94000; 88400; 100000; 100000; 75800], 6900, 6901, 0.17946290969848633
51, 19, 0.8746211578947369, [26; 22; 30; 31; 29; 57; 63; 72; 83; 85; 12; 7; 11; 18; 14; 86; 96; 68; 71; 69; 13; 24; 32; 23; 20; 19; 27; 16; 28; 15; 17; 4; 21; 8; 2; 41; 53; 33; 35; 25; 40; 88; 79; 74; 36; 78; 42; 39; 34; 44; 45; 59; 61; 81; 58; 38; 97; 5; 0; 6; 10; 1; 82; 90; 66; 89; 70; 3; 94; 9; 62; 65; 77; 93; 47; 56; 54; 50; 48; 73; 92; 52; 37; 80; 64; 76; 60; 91; 43; 75; 49; 51; 98; 84; 55; 67; 46; 87; 95; 99], [[26; 22; 30; 31; 29]; [57; 63; 72; 83; 85]; [12; 7; 11; 18; 14]; [86; 96; 68; 71; 69]; [13; 24; 32; 23; 20]; [19; 27; 16; 28; 15]; [17; 4; 21; 8; 2]; [41; 53; 33; 35; 25]; [40; 88; 79; 74; 36; 78]; [42; 39; 34; 44; 45]; [59; 61; 81; 58; 38; 97]; [5; 0; 6; 10; 1]; [82; 90; 66; 89; 70; 3]; [94; 9; 62; 65; 77; 93]; [47; 56; 54; 50; 48]; [73; 92; 52; 37; 80; 64]; [76; 60; 91; 43; 75; 49]; [51; 98; 84; 55; 67; 46]; [87; 95; 99]], [94800; 81900; 98100; 80800; 95800; 96400; 98500; 91600; 99900; 90200; 100000; 99500; 100000; 99900; 87600; 100000; 100000; 100000; 45800], 5200, 5201, 0.1309370994567871
58, 19, 0.8643825263157895, [42; 35; 31; 24; 29; 13; 17; 12; 6; 16; 87; 51; 95; 82; 19; 72; 39; 77; 76; 86; 46; 73; 69; 84; 54; 53; 98; 41; 32; 34; 30; 37; 40; 43; 59; 52; 60; 33; 38; 47; 48; 44; 85; 74; 96; 57; 80; 0; 1; 5; 7; 2; 67; 88; 92; 63; 81; 3; 11; 4; 8; 10; 70; 58; 49; 50; 61; 62; 55; 89; 75; 93; 23; 22; 15; 28; 26; 21; 25; 20; 18; 27; 79; 83; 14; 65; 64; 97; 71; 36; 45; 94; 90; 68; 9; 91; 56; 66; 99; 78], [[42; 35; 31; 24; 29]; [13; 17; 12; 6; 16]; [87; 51; 95; 82; 19; 72]; [39; 77; 76; 86; 46; 73]; [69; 84; 54; 53; 98]; [41; 32; 34; 30; 37]; [40; 43; 59; 52; 60]; [33; 38; 47; 48; 44]; [85; 74; 96; 57; 80]; [0; 1; 5; 7; 2]; [67; 88; 92; 63; 81]; [3; 11; 4; 8; 10]; [70; 58; 49; 50; 61]; [62; 55; 89; 75; 93]; [23; 22; 15; 28; 26]; [21; 25; 20; 18; 27]; [79; 83; 14; 65; 64; 97]; [71; 36; 45; 94; 90; 68]; [9; 91; 56; 66; 99; 78]], [93200; 98100; 100000; 100000; 82200; 92200; 87200; 90000; 80200; 99700; 80200; 98900; 85700; 81000; 96000; 96200; 100000; 100000; 100000], 5900, 5901, 0.14091920852661133
