Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
15, 33, 0.8122757575757575, [4; 16; 1; 9; 32; 33; 8; 35; 28; 22; 43; 13; 31; 30; 40; 23; 49; 44; 15; 7; 11; 37; 24; 46; 12; 0; 17; 20; 10; 18; 39; 29; 27; 5; 42; 21; 25; 3; 19; 41; 48; 6; 2; 47; 34; 36; 38; 26; 45; 14], [[4]; [16]; [1]; [9]; [32; 33]; [8]; [35; 28]; [22; 43]; [13]; [31; 30]; [40; 23; 49]; [44; 15]; [7]; [11]; [37; 24]; [46; 12]; [0]; [17]; [20]; [10]; [18; 39]; [29]; [27]; [5]; [42; 21]; [25]; [3]; [19; 41; 48]; [6]; [2]; [47; 34; 36]; [38; 26]; [45; 14]], [9700; 7900; 9900; 9000; 9900; 9100; 9600; 8500; 8100; 10000; 9800; 10000; 9100; 8700; 10000; 9900; 10000; 7200; 6700; 8800; 10000; 5100; 5600; 9400; 8800; 5900; 9700; 9800; 9200; 9800; 9300; 9600; 10000], 800, 801, 0.15623188018798828
19, 33, 0.8127181818181819, [25; 19; 40; 14; 11; 18; 39; 42; 17; 49; 9; 38; 27; 23; 1; 33; 29; 5; 36; 26; 15; 44; 10; 8; 37; 24; 7; 4; 0; 22; 20; 6; 45; 13; 28; 3; 43; 30; 41; 32; 34; 12; 2; 21; 35; 31; 47; 48; 46; 16], [[25]; [19; 40]; [14]; [11]; [18; 39]; [42; 17; 49]; [9]; [38; 27]; [23]; [1]; [33; 29]; [5]; [36; 26]; [15; 44]; [10]; [8]; [37; 24]; [7]; [4]; [0]; [22]; [20]; [6]; [45; 13]; [28]; [3]; [43; 30; 41]; [32; 34]; [12]; [2]; [21]; [35; 31; 47]; [48; 46; 16]], [5900; 9700; 8100; 8700; 10000; 9900; 9000; 9400; 6300; 9900; 10000; 9400; 9700; 10000; 8800; 9100; 10000; 9100; 9700; 10000; 6400; 6700; 9200; 10000; 5500; 9700; 9500; 9600; 8500; 9800; 6600; 9900; 10000], 1000, 1001, 0.03128767013549805
16, 33, 0.8160212121212123, [28; 37; 9; 5; 49; 24; 36; 42; 18; 47; 14; 10; 22; 4; 34; 30; 8; 11; 23; 3; 43; 17; 41; 21; 15; 20; 40; 32; 33; 25; 35; 1; 26; 38; 29; 7; 48; 2; 39; 19; 0; 45; 13; 6; 31; 16; 44; 12; 46; 27], [[28; 37]; [9]; [5; 49]; [24; 36]; [42; 18; 47]; [14]; [10]; [22]; [4]; [34; 30]; [8]; [11]; [23]; [3]; [43; 17]; [41; 21]; [15]; [20; 40]; [32; 33]; [25; 35]; [1]; [26; 38]; [29]; [7; 48]; [2]; [39; 19]; [0]; [45; 13]; [6]; [31]; [16; 44]; [12; 46]; [27]], [9400; 9000; 9900; 10000; 10000; 8100; 8800; 6400; 9700; 9600; 9100; 8700; 6300; 9700; 9300; 9000; 8000; 9700; 9900; 10000; 9900; 9600; 5100; 9800; 9800; 9700; 10000; 10000; 9200; 5000; 9900; 9900; 5600], 850, 851, 0.03159761428833008
23, 33, 0.8126939393939396, [3; 28; 27; 1; 4; 36; 42; 38; 35; 26; 40; 18; 19; 30; 31; 16; 29; 34; 13; 46; 5; 49; 8; 25; 7; 9; 39; 23; 43; 17; 37; 24; 45; 20; 2; 10; 44; 15; 14; 33; 32; 47; 41; 21; 0; 22; 11; 6; 48; 12], [[3]; [28]; [27]; [1]; [4]; [36; 42; 38]; [35; 26]; [40; 18]; [19]; [30; 31]; [16]; [29; 34]; [13; 46]; [5; 49]; [8]; [25]; [7]; [9]; [39; 23]; [43; 17]; [37; 24]; [45; 20]; [2]; [10]; [44; 15]; [14]; [33; 32]; [47; 41; 21]; [0]; [22]; [11]; [6; 48]; [12]], [9700; 5500; 5600; 9900; 9700; 9900; 9900; 10000; 6700; 10000; 7900; 9700; 9500; 9900; 9100; 5900; 9100; 9000; 9300; 9300; 10000; 8600; 9800; 8800; 10000; 8100; 9900; 9800; 10000; 6400; 8700; 9900; 8500], 1200, 1201, 0.03125715255737305
27, 32, 0.859334375, [10; 2; 43; 16; 9; 39; 18; 23; 6; 47; 40; 20; 13; 49; 46; 1; 8; 17; 41; 12; 27; 36; 4; 24; 38; 11; 33; 32; 14; 45; 3; 37; 25; 0; 28; 19; 48; 42; 21; 22; 7; 44; 15; 29; 34; 31; 30; 26; 35; 5], [[10]; [2]; [43; 16]; [9]; [39; 18]; [23]; [6; 47]; [40; 20]; [13; 49; 46]; [1]; [8]; [17; 41]; [12]; [27; 36]; [4]; [24; 38]; [11]; [33; 32]; [14; 45]; [3]; [37; 25]; [0]; [28]; [19; 48; 42]; [21]; [22]; [7]; [44; 15]; [29; 34]; [31; 30]; [26; 35]; [5]], [8800; 9800; 10000; 9000; 10000; 6300; 10000; 9700; 10000; 9900; 9100; 9600; 8500; 9500; 9700; 9900; 8700; 9900; 10000; 9700; 9800; 10000; 5500; 9600; 6600; 6400; 9100; 10000; 9700; 10000; 9900; 9400], 1400, 1401, 0.031244277954101562
17, 33, 0.8208030303030305, [46; 12; 30; 34; 9; 14; 26; 7; 48; 13; 6; 47; 38; 25; 31; 32; 41; 18; 16; 29; 33; 36; 27; 49; 0; 3; 19; 40; 11; 4; 5; 21; 39; 8; 1; 37; 24; 17; 42; 20; 15; 45; 22; 2; 10; 28; 35; 23; 43; 44], [[46; 12]; [30; 34]; [9]; [14]; [26]; [7; 48]; [13]; [6; 47]; [38; 25]; [31; 32]; [41; 18]; [16]; [29; 33]; [36; 27; 49]; [0]; [3]; [19; 40]; [11]; [4]; [5]; [21; 39]; [8]; [1]; [37; 24]; [17; 42]; [20]; [15; 45]; [22]; [2]; [10]; [28; 35]; [23; 43]; [44]], [9900; 9600; 9000; 8100; 5800; 9800; 8100; 10000; 9700; 10000; 9400; 7900; 10000; 10000; 10000; 9700; 9700; 8700; 9700; 9400; 9600; 9100; 9900; 10000; 9400; 6700; 9900; 6400; 9800; 8800; 9600; 8400; 2000], 900, 901, 0.015627145767211914
18, 33, 0.8110878787878788, [4; 45; 15; 0; 19; 40; 49; 7; 11; 13; 5; 3; 28; 16; 25; 37; 47; 6; 30; 32; 33; 35; 14; 9; 24; 38; 31; 20; 10; 48; 22; 44; 34; 29; 2; 41; 17; 26; 36; 18; 42; 12; 8; 23; 1; 46; 27; 39; 21; 43], [[4]; [45; 15]; [0]; [19; 40]; [49; 7]; [11]; [13]; [5]; [3]; [28]; [16]; [25; 37]; [47; 6]; [30; 32]; [33; 35]; [14]; [9]; [24; 38]; [31]; [20]; [10; 48]; [22; 44]; [34; 29]; [2]; [41; 17]; [26; 36]; [18; 42]; [12]; [8]; [23]; [1]; [46; 27; 39]; [21; 43]], [9700; 9900; 10000; 9700; 9600; 8700; 8100; 9400; 9700; 5500; 7900; 9800; 10000; 10000; 9000; 8100; 9000; 9900; 5000; 6700; 9500; 8400; 9700; 9800; 9600; 9700; 9200; 8500; 9100; 6300; 9900; 10000; 8700], 950, 951, 0.031304121017456055
20, 32, 0.8573031249999999, [24; 37; 25; 35; 15; 40; 18; 11; 47; 49; 32; 30; 41; 23; 33; 29; 48; 6; 17; 42; 12; 36; 26; 20; 34; 31; 16; 43; 9; 13; 4; 1; 5; 3; 2; 44; 21; 46; 14; 45; 22; 10; 38; 27; 8; 39; 19; 7; 28; 0], [[24; 37]; [25; 35]; [15]; [40; 18]; [11; 47; 49]; [32; 30]; [41; 23]; [33; 29]; [48; 6]; [17; 42]; [12]; [36; 26]; [20]; [34; 31]; [16; 43]; [9]; [13]; [4]; [1]; [5]; [3]; [2]; [44; 21; 46]; [14; 45]; [22]; [10]; [38; 27]; [8]; [39; 19]; [7]; [28]; [0]], [10000; 10000; 8000; 10000; 10000; 10000; 8700; 10000; 9900; 9400; 8500; 9700; 6700; 9600; 10000; 9000; 8100; 9700; 9900; 9400; 9700; 9800; 10000; 10000; 6400; 8800; 9400; 9100; 9700; 9100; 5500; 10000], 1050, 1051, 0.03151440620422363
12, 33, 0.8126999999999999, [16; 44; 1; 20; 42; 0; 2; 27; 8; 4; 28; 29; 34; 40; 18; 19; 41; 31; 5; 39; 21; 15; 23; 11; 10; 35; 30; 47; 25; 38; 12; 24; 37; 43; 22; 32; 33; 7; 17; 48; 45; 6; 13; 46; 49; 3; 9; 36; 26; 14], [[16; 44]; [1]; [20; 42]; [0]; [2]; [27]; [8]; [4]; [28]; [29; 34]; [40; 18]; [19; 41]; [31]; [5]; [39; 21]; [15]; [23]; [11]; [10]; [35; 30; 47]; [25; 38]; [12]; [24; 37]; [43; 22]; [32; 33]; [7]; [17; 48; 45]; [6]; [13; 46; 49]; [3]; [9]; [36; 26]; [14]], [9900; 9900; 8900; 10000; 9800; 5600; 9100; 9700; 5500; 9700; 10000; 9100; 5000; 9400; 9600; 8000; 6300; 8700; 8800; 9900; 9700; 8500; 10000; 8500; 9900; 9100; 9800; 9200; 10000; 9700; 9000; 9700; 8100], 650, 651, 0.01566171646118164
15, 33, 0.8104454545454546, [35; 47; 29; 6; 3; 2; 11; 18; 39; 13; 27; 26; 38; 31; 30; 19; 41; 20; 15; 44; 25; 36; 10; 14; 22; 43; 12; 4; 7; 1; 40; 21; 0; 42; 24; 37; 28; 32; 5; 23; 34; 33; 46; 16; 48; 45; 49; 17; 8; 9], [[35; 47; 29]; [6]; [3]; [2]; [11]; [18; 39]; [13]; [27]; [26; 38]; [31; 30]; [19; 41]; [20]; [15; 44]; [25; 36]; [10]; [14]; [22; 43]; [12]; [4]; [7]; [1]; [40; 21]; [0]; [42; 24]; [37; 28]; [32]; [5]; [23]; [34; 33]; [46; 16; 48]; [45; 49; 17]; [8]; [9]], [10000; 9200; 9700; 9800; 8700; 10000; 8100; 5600; 9600; 10000; 9100; 6700; 10000; 9800; 8800; 8100; 8500; 8500; 9700; 9100; 9900; 9600; 10000; 8300; 9400; 5000; 9400; 6300; 9500; 10000; 9600; 9100; 9000], 800, 801, 0.0157773494720459
