Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
22, 26, 0.8036351495726495, [34; 11; 45; 9; 35; 12; 5; 38; 44; 1; 39; 3; 19; 29; 40; 2; 28; 20; 13; 10; 16; 23; 25; 47; 37; 7; 14; 36; 46; 49; 15; 33; 8; 41; 0; 42; 4; 32; 18; 43; 26; 24; 31; 21; 22; 27; 6; 48; 17; 30], [[34; 11]; [45; 9]; [35; 12]; [5; 38]; [44; 1]; [39; 3]; [19; 29]; [40; 2]; [28; 20]; [13]; [10]; [16]; [23; 25; 47]; [37; 7]; [14; 36; 46]; [49; 15; 33]; [8; 41]; [0; 42]; [4]; [32; 18]; [43; 26; 24]; [31; 21]; [22; 27]; [6; 48]; [17]; [30]], [12000; 9500; 11700; 12000; 10900; 11700; 11900; 11500; 12000; 7800; 8700; 7700; 11500; 11800; 11800; 11800; 10800; 11500; 9500; 12000; 12000; 11600; 11800; 9700; 7500; 4800], 1150, 1151, 0.03130316734313965
22, 26, 0.7988327991452991, [24; 46; 31; 33; 15; 48; 6; 38; 47; 26; 23; 21; 28; 40; 2; 43; 45; 49; 3; 30; 19; 12; 34; 22; 4; 42; 7; 18; 25; 29; 41; 27; 20; 0; 39; 8; 9; 36; 14; 44; 5; 10; 37; 16; 1; 11; 35; 13; 17; 32], [[24; 46; 31]; [33; 15; 48]; [6; 38]; [47; 26; 23]; [21; 28]; [40; 2]; [43; 45; 49; 3]; [30; 19]; [12; 34]; [22]; [4; 42]; [7]; [18]; [25; 29; 41]; [27; 20]; [0; 39]; [8]; [9]; [36; 14]; [44; 5]; [10; 37]; [16]; [1]; [11; 35]; [13]; [17; 32]], [10800; 11800; 11900; 11500; 11900; 11500; 11900; 11800; 11800; 6800; 11100; 9000; 7500; 12000; 12000; 12000; 9000; 8800; 11100; 10800; 11500; 7700; 9600; 11900; 7800; 12000], 1150, 1151, 0.015694379806518555
25, 26, 0.7984428418803419, [18; 1; 45; 44; 25; 47; 23; 42; 43; 26; 34; 6; 38; 27; 19; 36; 12; 48; 4; 11; 35; 37; 7; 5; 3; 49; 40; 8; 46; 0; 39; 9; 31; 21; 2; 32; 17; 22; 29; 24; 41; 30; 10; 14; 15; 16; 13; 33; 28; 20], [[18]; [1; 45; 44]; [25; 47; 23]; [42; 43; 26; 34]; [6; 38]; [27; 19]; [36; 12; 48]; [4]; [11; 35]; [37; 7]; [5]; [3; 49; 40]; [8; 46]; [0; 39]; [9]; [31; 21]; [2]; [32; 17]; [22; 29]; [24; 41; 30]; [10]; [14]; [15]; [16]; [13; 33]; [28; 20]], [7500; 11600; 11500; 11800; 11900; 12000; 11900; 9500; 11900; 11800; 9500; 11800; 9700; 12000; 8800; 11600; 9600; 12000; 11700; 12000; 8700; 7700; 7700; 7700; 11600; 12000], 1300, 1301, 0.015639781951904297
18, 27, 0.7528677983539095, [26; 7; 40; 24; 25; 36; 11; 33; 12; 8; 37; 23; 31; 48; 46; 10; 38; 0; 39; 9; 41; 43; 1; 27; 19; 13; 35; 49; 4; 22; 28; 30; 18; 14; 47; 17; 32; 44; 6; 42; 5; 29; 20; 3; 34; 16; 21; 15; 2; 45], [[26]; [7; 40]; [24; 25]; [36; 11]; [33; 12]; [8; 37]; [23; 31; 48; 46]; [10; 38]; [0; 39]; [9; 41; 43]; [1]; [27; 19]; [13; 35; 49]; [4]; [22; 28]; [30]; [18]; [14; 47]; [17; 32]; [44; 6]; [42; 5]; [29; 20]; [3]; [34; 16]; [21]; [15]; [2; 45]], [5300; 10900; 10700; 11800; 12000; 11800; 11300; 11200; 12000; 11900; 9600; 12000; 11600; 9500; 11800; 4800; 7500; 8300; 12000; 10700; 11100; 11900; 9600; 11300; 6900; 7700; 10300], 950, 951, 0.017748117446899414
21, 26, 0.795178952991453, [48; 33; 15; 8; 24; 29; 16; 10; 20; 30; 31; 21; 7; 42; 43; 1; 22; 27; 13; 36; 0; 41; 49; 2; 11; 34; 46; 26; 23; 37; 18; 4; 12; 35; 47; 9; 45; 44; 39; 3; 5; 38; 14; 32; 40; 25; 28; 19; 17; 6], [[48; 33; 15]; [8]; [24; 29]; [16]; [10]; [20; 30]; [31; 21]; [7; 42; 43]; [1]; [22; 27]; [13; 36]; [0; 41; 49]; [2]; [11; 34]; [46; 26; 23]; [37; 18]; [4]; [12; 35]; [47; 9; 45; 44]; [39; 3]; [5; 38]; [14]; [32; 40; 25]; [28; 19]; [17]; [6]], [11800; 9000; 10300; 7700; 8700; 11800; 11600; 11900; 9600; 11800; 11200; 12000; 9600; 12000; 11600; 10300; 9500; 11700; 11400; 11700; 12000; 7700; 11700; 12000; 7500; 9400], 1100, 1101, 0.01569533348083496
22, 26, 0.7996554487179487, [15; 34; 32; 17; 44; 9; 40; 1; 49; 39; 27; 21; 14; 46; 36; 23; 20; 28; 35; 12; 37; 7; 5; 48; 6; 0; 41; 8; 3; 11; 45; 38; 30; 26; 16; 10; 31; 22; 2; 47; 42; 25; 24; 43; 19; 29; 33; 18; 4; 13], [[15; 34]; [32; 17]; [44; 9; 40]; [1; 49; 39]; [27; 21]; [14; 46; 36]; [23]; [20; 28]; [35; 12]; [37; 7]; [5; 48]; [6]; [0; 41]; [8]; [3]; [11; 45; 38]; [30; 26]; [16]; [10]; [31; 22]; [2; 47; 42]; [25; 24; 43]; [19; 29]; [33; 18]; [4]; [13]], [11300; 12000; 12000; 12000; 11900; 11800; 5600; 12000; 11700; 11800; 9800; 9400; 11700; 9000; 9600; 11600; 10100; 7700; 8700; 11500; 11800; 12000; 11900; 11300; 9500; 7800], 1150, 1151, 0.015603065490722656
18, 27, 0.7472968106995885, [41; 6; 47; 12; 33; 19; 29; 16; 21; 49; 31; 24; 46; 43; 32; 1; 4; 38; 30; 7; 3; 39; 0; 18; 36; 14; 35; 42; 11; 26; 45; 23; 5; 10; 20; 28; 22; 48; 44; 34; 8; 17; 2; 40; 15; 9; 37; 25; 27; 13], [[41; 6; 47]; [12; 33]; [19; 29]; [16]; [21; 49; 31]; [24; 46; 43; 32]; [1]; [4; 38]; [30]; [7]; [3; 39]; [0]; [18; 36]; [14; 35]; [42; 11]; [26; 45; 23]; [5]; [10]; [20; 28]; [22; 48; 44; 34]; [8]; [17]; [2; 40]; [15]; [9; 37]; [25; 27]; [13]], [11800; 12000; 11900; 7700; 11900; 11900; 9600; 12000; 4800; 9000; 11700; 9900; 10900; 11200; 10000; 11600; 9500; 8700; 12000; 12000; 9000; 7500; 11500; 7700; 11600; 10300; 7800], 950, 951, 0.015682220458984375
19, 26, 0.7970272435897438, [8; 13; 36; 47; 24; 23; 1; 45; 44; 48; 6; 35; 11; 12; 40; 41; 49; 37; 10; 4; 14; 31; 22; 5; 0; 42; 27; 20; 18; 30; 38; 25; 43; 26; 28; 21; 29; 19; 9; 32; 17; 7; 34; 46; 16; 2; 39; 15; 33; 3], [[8]; [13; 36; 47]; [24; 23]; [1; 45; 44; 48]; [6]; [35; 11]; [12; 40; 41]; [49; 37; 10]; [4]; [14]; [31; 22]; [5]; [0; 42]; [27; 20]; [18]; [30; 38]; [25; 43; 26]; [28; 21]; [29; 19]; [9]; [32; 17]; [7]; [34; 46; 16]; [2; 39]; [15; 33]; [3]], [9000; 11800; 11000; 11900; 9400; 11900; 11900; 11800; 9500; 7700; 11500; 9500; 11500; 12000; 7500; 7300; 11900; 11900; 11900; 8800; 12000; 9000; 12000; 11700; 11500; 9600], 1000, 1001, 0.015689611434936523
25, 26, 0.7969204059829058, [0; 17; 32; 38; 4; 16; 7; 26; 45; 25; 31; 40; 24; 11; 35; 1; 48; 10; 8; 28; 19; 23; 29; 36; 15; 27; 21; 33; 14; 49; 22; 18; 3; 39; 34; 12; 6; 44; 30; 20; 5; 37; 47; 46; 13; 42; 9; 43; 2; 41], [[0]; [17; 32]; [38; 4]; [16]; [7]; [26; 45; 25]; [31; 40; 24]; [11; 35]; [1; 48]; [10]; [8]; [28; 19]; [23; 29]; [36; 15]; [27; 21]; [33; 14; 49]; [22]; [18]; [3; 39]; [34; 12]; [6; 44]; [30; 20]; [5]; [37; 47; 46; 13]; [42; 9; 43]; [2; 41]], [9900; 12000; 12000; 7700; 9000; 11300; 12000; 11900; 9900; 8700; 9000; 12000; 10500; 11100; 11900; 11800; 6800; 7500; 11700; 11800; 10700; 11800; 9500; 11900; 11700; 11400], 1300, 1301, 0.015606403350830078
14, 26, 0.7952110042735043, [14; 3; 13; 10; 30; 21; 28; 19; 26; 24; 47; 8; 37; 0; 39; 18; 42; 38; 17; 32; 45; 1; 48; 7; 44; 43; 11; 34; 20; 31; 9; 6; 16; 49; 33; 2; 5; 40; 23; 35; 25; 29; 12; 36; 15; 22; 27; 41; 4; 46], [[14]; [3]; [13]; [10]; [30; 21]; [28; 19]; [26; 24; 47]; [8; 37]; [0; 39]; [18; 42; 38]; [17; 32]; [45; 1; 48]; [7; 44; 43]; [11; 34]; [20; 31]; [9]; [6]; [16; 49; 33]; [2]; [5; 40]; [23; 35]; [25; 29]; [12; 36]; [15]; [22; 27]; [41; 4; 46]], [7700; 9600; 7800; 8700; 11700; 12000; 11300; 11800; 12000; 11600; 12000; 10600; 11600; 12000; 11700; 8800; 9400; 11800; 9600; 11400; 9100; 10200; 11600; 7700; 11800; 12000], 750, 751, 0.015569448471069336
