Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
19, 27, 0.8256867283950617, [12; 41; 7; 6; 45; 18; 30; 20; 24; 27; 19; 48; 2; 47; 3; 34; 17; 39; 8; 11; 38; 25; 5; 44; 10; 36; 22; 40; 46; 0; 4; 42; 28; 9; 37; 21; 23; 1; 49; 32; 29; 15; 35; 16; 13; 33; 31; 26; 14; 43], [[12; 41]; [7]; [6; 45]; [18; 30]; [20; 24]; [27; 19]; [48; 2]; [47; 3]; [34; 17]; [39; 8]; [11; 38]; [25]; [5; 44]; [10; 36]; [22; 40; 46]; [0]; [4]; [42; 28]; [9; 37]; [21; 23]; [1; 49]; [32; 29]; [15; 35]; [16]; [13; 33]; [31; 26]; [14; 43]], [10700; 8400; 11600; 11900; 11900; 11900; 12000; 12000; 11500; 12000; 11500; 5400; 11700; 12000; 11800; 10000; 9800; 8200; 12000; 11700; 12000; 9900; 11400; 7100; 11800; 10400; 10300], 1000, 1001, 0.03123927116394043
18, 27, 0.8289171810699586, [10; 36; 26; 16; 33; 37; 17; 5; 46; 48; 3; 1; 32; 47; 31; 0; 39; 12; 7; 40; 28; 18; 9; 43; 2; 4; 8; 38; 11; 35; 23; 20; 45; 49; 15; 42; 25; 41; 6; 44; 14; 27; 19; 21; 30; 24; 29; 22; 13; 34], [[10; 36]; [26]; [16; 33]; [37; 17]; [5; 46]; [48; 3]; [1]; [32; 47; 31]; [0]; [39; 12]; [7; 40]; [28; 18]; [9; 43]; [2]; [4]; [8; 38]; [11; 35]; [23; 20]; [45; 49; 15]; [42; 25; 41]; [6; 44]; [14]; [27; 19]; [21; 30]; [24; 29]; [22]; [13; 34]], [12000; 5300; 11600; 10900; 11600; 12000; 10000; 12000; 10000; 11200; 11900; 11900; 11200; 9900; 9800; 12000; 12000; 12000; 11800; 11700; 11600; 7200; 11900; 11000; 10800; 5800; 11800], 950, 951, 0.03137946128845215
15, 28, 0.7859300595238095, [38; 3; 48; 49; 6; 22; 26; 1; 17; 45; 40; 9; 25; 19; 24; 21; 30; 42; 28; 20; 10; 36; 0; 14; 34; 4; 32; 16; 33; 12; 37; 13; 43; 15; 2; 8; 39; 7; 31; 27; 23; 47; 41; 29; 18; 5; 44; 35; 11; 46], [[38]; [3; 48]; [49; 6]; [22; 26]; [1]; [17; 45]; [40; 9]; [25; 19]; [24; 21]; [30; 42]; [28; 20]; [10; 36]; [0]; [14; 34]; [4]; [32; 16]; [33; 12]; [37; 13]; [43; 15]; [2]; [8; 39]; [7]; [31; 27]; [23; 47; 41]; [29; 18]; [5; 44]; [35; 11]; [46]], [3700; 12000; 11000; 11100; 10000; 9600; 11600; 12000; 11600; 8200; 11300; 12000; 10000; 11700; 9800; 11900; 12000; 11200; 10300; 9900; 12000; 8400; 10400; 11100; 11900; 11700; 12000; 2500], 800, 801, 0.01575493812561035
24, 27, 0.8268338477366254, [3; 16; 45; 25; 21; 44; 6; 17; 7; 40; 0; 2; 49; 19; 26; 41; 14; 27; 22; 29; 13; 34; 42; 38; 31; 33; 12; 46; 37; 28; 30; 18; 5; 35; 11; 47; 36; 24; 32; 15; 8; 43; 1; 23; 20; 39; 9; 48; 4; 10], [[3]; [16; 45]; [25; 21]; [44; 6]; [17]; [7; 40]; [0]; [2; 49]; [19; 26]; [41; 14]; [27; 22]; [29]; [13; 34]; [42; 38; 31]; [33; 12]; [46; 37; 28]; [30; 18]; [5]; [35; 11]; [47; 36; 24]; [32; 15]; [8; 43]; [1]; [23; 20]; [39; 9]; [48; 4]; [10]], [9900; 9700; 11300; 11600; 7000; 11900; 10000; 11900; 11900; 10400; 11100; 5100; 11800; 11900; 12000; 11500; 11900; 9100; 12000; 12000; 12000; 11400; 10000; 12000; 11800; 11900; 7800], 1250, 1251, 0.03131270408630371
12, 27, 0.8196064814814813, [24; 26; 34; 18; 49; 3; 1; 10; 46; 28; 19; 38; 16; 32; 14; 48; 4; 13; 47; 23; 29; 39; 30; 43; 0; 8; 27; 25; 41; 9; 21; 31; 5; 12; 33; 2; 17; 37; 22; 20; 44; 42; 11; 36; 6; 45; 15; 35; 7; 40], [[24; 26]; [34; 18]; [49; 3]; [1]; [10; 46]; [28; 19]; [38; 16]; [32; 14]; [48; 4]; [13; 47]; [23; 29]; [39; 30; 43]; [0]; [8]; [27; 25]; [41; 9]; [21; 31]; [5]; [12; 33]; [2]; [17; 37]; [22; 20]; [44; 42]; [11; 36]; [6; 45]; [15; 35]; [7; 40]], [11000; 11300; 11900; 10000; 10300; 11700; 10800; 12000; 11900; 9400; 10900; 11900; 10000; 8300; 10700; 11300; 11000; 9100; 12000; 9900; 10900; 12000; 5700; 12000; 11600; 11400; 11900], 650, 651, 0.015619277954101562
29, 27, 0.8249665637860082, [24; 37; 49; 12; 34; 45; 36; 31; 1; 13; 44; 48; 10; 38; 32; 15; 26; 43; 46; 4; 42; 16; 7; 41; 19; 29; 0; 47; 2; 21; 25; 28; 18; 17; 22; 27; 39; 9; 14; 33; 40; 8; 23; 20; 5; 11; 35; 3; 30; 6], [[24; 37; 49]; [12; 34]; [45; 36; 31]; [1]; [13; 44; 48]; [10; 38]; [32; 15]; [26; 43; 46]; [4]; [42; 16]; [7; 41]; [19; 29]; [0]; [47; 2]; [21; 25]; [28; 18]; [17]; [22; 27]; [39; 9]; [14; 33]; [40; 8]; [23; 20]; [5]; [11; 35]; [3]; [30]; [6]], [11600; 12000; 11900; 10000; 12000; 11500; 12000; 10900; 9800; 10200; 11600; 11700; 10000; 12000; 11300; 11900; 7000; 11100; 11800; 11700; 11800; 12000; 9100; 12000; 9900; 5100; 9000], 1500, 1501, 0.03123950958251953
23, 27, 0.8273688271604938, [13; 31; 18; 27; 30; 44; 46; 43; 41; 39; 8; 28; 4; 32; 15; 19; 26; 11; 36; 35; 12; 14; 33; 0; 9; 38; 23; 21; 25; 29; 37; 10; 5; 48; 34; 16; 7; 40; 49; 3; 6; 17; 1; 45; 42; 22; 24; 20; 47; 2], [[13]; [31; 18]; [27; 30]; [44; 46; 43; 41]; [39; 8]; [28]; [4]; [32; 15]; [19; 26]; [11; 36]; [35; 12]; [14; 33]; [0]; [9; 38]; [23; 21]; [25; 29]; [37; 10]; [5; 48]; [34; 16]; [7; 40]; [49; 3]; [6]; [17]; [1]; [45; 42; 22]; [24; 20]; [47; 2]], [7300; 11900; 10400; 11400; 12000; 5100; 9800; 12000; 11900; 12000; 11700; 11700; 10000; 11800; 11700; 10500; 11700; 11200; 11600; 11900; 11900; 9000; 7000; 10000; 11500; 11900; 12000], 1200, 1201, 0.0157167911529541
21, 27, 0.8287731481481481, [17; 21; 23; 48; 6; 43; 16; 2; 47; 15; 39; 5; 44; 12; 34; 33; 13; 25; 42; 41; 35; 0; 18; 29; 28; 26; 4; 14; 32; 7; 46; 30; 45; 10; 38; 37; 9; 36; 11; 49; 1; 31; 24; 22; 20; 19; 27; 3; 40; 8], [[17]; [21; 23]; [48; 6]; [43; 16]; [2; 47]; [15; 39]; [5; 44]; [12; 34]; [33; 13]; [25; 42; 41]; [35]; [0]; [18; 29]; [28; 26]; [4]; [14; 32]; [7; 46]; [30; 45]; [10; 38]; [37; 9]; [36; 11]; [49; 1]; [31; 24]; [22; 20]; [19; 27]; [3]; [40; 8]], [7000; 11700; 11100; 10200; 12000; 10900; 11700; 12000; 11800; 11700; 4200; 10000; 11900; 10400; 9800; 12000; 10900; 7700; 11500; 12000; 12000; 12000; 10800; 12000; 11900; 9900; 11800], 1100, 1101, 0.015562772750854492
7, 29, 0.7339008620689654, [12; 24; 36; 49; 18; 37; 33; 14; 9; 38; 25; 43; 42; 23; 30; 5; 48; 39; 11; 4; 0; 7; 19; 27; 34; 17; 46; 8; 47; 2; 31; 20; 41; 32; 35; 10; 15; 29; 1; 13; 40; 44; 6; 16; 26; 22; 28; 21; 3; 45], [[12]; [24; 36; 49]; [18; 37]; [33; 14]; [9; 38]; [25; 43; 42]; [23; 30]; [5; 48]; [39; 11]; [4]; [0]; [7]; [19; 27]; [34; 17]; [46; 8]; [47; 2]; [31; 20]; [41; 32]; [35; 10]; [15]; [29]; [1]; [13; 40]; [44; 6]; [16]; [26; 22]; [28; 21]; [3]; [45]], [7500; 11900; 10700; 11700; 11800; 11600; 10900; 11200; 11500; 9800; 10000; 8400; 11900; 11500; 10800; 12000; 11300; 8000; 12000; 7200; 5100; 10000; 10800; 11600; 7100; 11100; 11000; 9900; 2600], 400, 401, 0.01566624641418457
28, 26, 0.8773103632478632, [25; 19; 16; 28; 31; 23; 20; 29; 26; 45; 9; 32; 14; 40; 7; 49; 4; 12; 42; 27; 22; 33; 13; 38; 35; 37; 34; 17; 44; 5; 36; 10; 3; 47; 39; 8; 1; 2; 48; 30; 18; 24; 21; 41; 11; 46; 6; 43; 15; 0], [[25; 19]; [16]; [28; 31]; [23; 20]; [29; 26]; [45; 9]; [32; 14]; [40; 7]; [49; 4]; [12; 42]; [27; 22]; [33; 13]; [38; 35; 37]; [34; 17]; [44; 5]; [36; 10]; [3; 47]; [39; 8]; [1]; [2; 48]; [30; 18]; [24; 21]; [41; 11]; [46; 6]; [43; 15]; [0]], [12000; 7100; 10200; 12000; 10400; 10700; 12000; 11900; 11800; 10600; 11100; 11800; 11800; 11500; 11700; 12000; 12000; 12000; 10000; 12000; 11900; 11600; 11000; 11500; 10300; 10000], 1450, 1451, 0.031244277954101562
