Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
27, 30, 0.7578888888888888, [43; 4; 29; 27; 30; 28; 33; 16; 6; 41; 21; 14; 34; 25; 26; 31; 36; 13; 20; 37; 0; 40; 12; 38; 7; 10; 19; 8; 39; 23; 18; 15; 35; 24; 45; 49; 9; 47; 48; 1; 46; 2; 5; 42; 22; 3; 32; 17; 44; 11], [[43; 4]; [29]; [27]; [30; 28]; [33; 16]; [6; 41]; [21]; [14; 34]; [25]; [26; 31]; [36; 13]; [20; 37]; [0]; [40; 12]; [38; 7]; [10]; [19]; [8; 39]; [23]; [18]; [15; 35]; [24; 45; 49]; [9; 47]; [48; 1]; [46; 2]; [5; 42]; [22]; [3]; [32; 17]; [44; 11]], [11900; 5900; 6500; 12000; 12000; 11900; 7200; 11800; 6800; 11600; 12000; 11200; 9600; 11600; 12000; 8500; 7600; 12000; 7100; 7700; 11600; 12000; 11100; 11900; 11900; 11700; 7200; 9200; 12000; 11300], 1400, 1401, 0.03129220008850098
29, 30, 0.7624398148148148, [9; 44; 22; 26; 29; 27; 17; 33; 46; 2; 43; 4; 37; 11; 1; 47; 19; 23; 15; 35; 24; 18; 3; 45; 30; 28; 49; 8; 13; 36; 41; 5; 6; 40; 0; 48; 14; 21; 10; 39; 38; 7; 42; 12; 34; 16; 20; 32; 25; 31], [[9; 44]; [22]; [26]; [29]; [27]; [17; 33]; [46; 2]; [43; 4]; [37; 11]; [1; 47]; [19]; [23]; [15; 35]; [24]; [18]; [3; 45]; [30; 28]; [49; 8]; [13; 36]; [41; 5]; [6; 40]; [0; 48]; [14]; [21]; [10; 39]; [38; 7]; [42; 12]; [34; 16]; [20; 32]; [25; 31]], [11500; 7200; 6500; 5900; 6500; 12000; 11900; 11900; 12000; 12000; 7600; 7100; 11600; 7000; 7700; 11900; 12000; 10900; 12000; 11900; 12000; 12000; 7800; 7200; 11900; 12000; 11300; 11800; 11800; 11900], 1500, 1501, 0.03126835823059082
29, 30, 0.7596666666666665, [14; 33; 42; 12; 44; 4; 6; 40; 2; 47; 19; 5; 41; 22; 35; 28; 15; 18; 23; 21; 10; 43; 16; 32; 26; 24; 31; 25; 8; 36; 13; 38; 7; 17; 34; 46; 20; 39; 9; 30; 29; 11; 37; 1; 48; 3; 45; 27; 0; 49], [[14; 33]; [42; 12]; [44; 4]; [6; 40]; [2; 47]; [19]; [5; 41]; [22; 35]; [28]; [15]; [18]; [23]; [21]; [10; 43]; [16; 32]; [26]; [24]; [31; 25]; [8]; [36; 13]; [38; 7]; [17; 34]; [46; 20]; [39; 9]; [30; 29]; [11; 37]; [1; 48]; [3; 45]; [27]; [0; 49]], [12000; 11300; 11900; 12000; 11800; 7600; 11900; 11000; 6200; 7800; 7700; 7100; 7200; 11400; 12000; 6500; 7000; 11900; 8600; 12000; 12000; 11800; 10200; 12000; 11700; 12000; 11900; 11900; 6500; 11900], 1500, 1501, 0.03147459030151367
27, 30, 0.7592824074074074, [6; 44; 10; 49; 35; 17; 46; 23; 34; 18; 11; 43; 33; 16; 38; 8; 24; 22; 27; 3; 37; 13; 26; 21; 19; 14; 36; 9; 39; 0; 48; 2; 45; 15; 32; 12; 25; 31; 47; 1; 41; 5; 29; 4; 42; 40; 7; 28; 30; 20], [[6; 44]; [10; 49]; [35; 17]; [46; 23]; [34; 18]; [11; 43]; [33; 16]; [38; 8]; [24]; [22]; [27]; [3]; [37; 13]; [26]; [21]; [19]; [14; 36]; [9; 39]; [0; 48]; [2; 45]; [15; 32]; [12]; [25; 31]; [47; 1]; [41; 5]; [29]; [4; 42]; [40; 7]; [28; 30]; [20]], [11600; 10800; 11600; 9700; 11700; 11300; 12000; 12000; 7000; 7200; 6500; 9200; 11800; 6500; 7200; 7600; 11600; 12000; 12000; 12000; 12000; 8300; 11900; 12000; 11900; 5900; 12000; 11900; 12000; 7600], 1400, 1401, 0.03125286102294922
12, 30, 0.7529861111111109, [6; 40; 27; 0; 34; 17; 16; 21; 24; 20; 35; 28; 9; 39; 10; 45; 22; 44; 1; 47; 3; 49; 33; 19; 2; 7; 46; 43; 48; 26; 37; 15; 12; 41; 25; 31; 18; 36; 4; 14; 32; 38; 8; 30; 29; 11; 23; 13; 5; 42], [[6; 40]; [27]; [0]; [34; 17]; [16]; [21]; [24]; [20; 35]; [28]; [9; 39]; [10; 45]; [22; 44]; [1; 47]; [3; 49]; [33; 19]; [2]; [7; 46]; [43; 48; 26]; [37; 15]; [12; 41]; [25; 31]; [18; 36]; [4]; [14; 32]; [38; 8]; [30; 29]; [11]; [23]; [13]; [5; 42]], [12000; 6500; 9600; 11800; 7800; 7200; 7000; 11400; 6200; 12000; 11200; 10100; 12000; 11500; 11800; 9300; 11200; 11800; 11400; 11500; 11900; 11500; 9000; 12000; 12000; 11700; 8400; 7100; 8200; 11700], 650, 651, 0.0156097412109375
31, 30, 0.7570092592592593, [18; 38; 9; 42; 33; 15; 24; 17; 35; 49; 1; 25; 45; 47; 13; 37; 5; 41; 32; 16; 2; 46; 43; 10; 48; 0; 31; 26; 19; 20; 4; 44; 21; 6; 40; 8; 7; 39; 30; 28; 29; 11; 12; 36; 22; 27; 3; 23; 14; 34], [[18; 38]; [9; 42]; [33; 15]; [24]; [17; 35]; [49; 1]; [25; 45; 47]; [13; 37]; [5; 41]; [32; 16]; [2; 46]; [43; 10]; [48; 0]; [31; 26]; [19]; [20]; [4; 44]; [21]; [6; 40]; [8]; [7; 39]; [30; 28]; [29]; [11]; [12]; [36; 22]; [27]; [3]; [23]; [14; 34]], [11100; 11600; 12000; 7000; 11600; 11800; 12000; 11800; 11900; 12000; 11900; 11400; 12000; 11600; 7600; 7600; 11900; 7200; 12000; 8600; 12000; 12000; 5900; 8400; 8300; 11000; 6500; 9200; 7100; 11800], 1600, 1601, 0.03119969367980957
32, 30, 0.7601481481481482, [17; 22; 30; 29; 23; 24; 15; 33; 26; 5; 41; 46; 3; 49; 0; 31; 25; 2; 45; 1; 47; 12; 37; 8; 38; 32; 16; 10; 42; 34; 18; 36; 13; 35; 14; 27; 21; 19; 4; 7; 39; 43; 9; 11; 44; 28; 6; 40; 48; 20], [[17]; [22]; [30; 29]; [23]; [24]; [15; 33]; [26]; [5; 41]; [46; 3]; [49; 0]; [31; 25]; [2; 45]; [1; 47]; [12; 37]; [8; 38]; [32; 16]; [10; 42]; [34; 18]; [36; 13]; [35; 14]; [27]; [21]; [19]; [4]; [7; 39]; [43; 9]; [11; 44]; [28]; [6; 40]; [48; 20]], [7800; 7200; 11700; 7100; 7000; 12000; 6500; 11900; 11800; 11900; 11900; 12000; 12000; 11900; 12000; 12000; 11500; 11700; 12000; 11600; 6500; 7200; 7600; 9000; 12000; 11500; 11300; 6200; 12000; 10000], 1650, 1651, 0.04682660102844238
22, 30, 0.756462962962963, [25; 21; 16; 32; 27; 31; 18; 47; 5; 37; 20; 39; 8; 10; 19; 34; 22; 17; 44; 4; 42; 1; 49; 23; 3; 35; 13; 48; 0; 11; 43; 6; 40; 9; 41; 38; 7; 12; 45; 24; 14; 33; 28; 15; 36; 46; 2; 29; 30; 26], [[25]; [21]; [16; 32]; [27; 31]; [18; 47]; [5]; [37; 20]; [39; 8]; [10]; [19; 34]; [22]; [17; 44]; [4; 42]; [1; 49]; [23]; [3]; [35; 13]; [48; 0]; [11; 43]; [6; 40]; [9; 41]; [38; 7]; [12; 45]; [24]; [14; 33]; [28]; [15; 36]; [46; 2]; [29; 30]; [26]], [6800; 7200; 12000; 11600; 10200; 8700; 11200; 12000; 8500; 11600; 7200; 10700; 12000; 11800; 7100; 9200; 12000; 12000; 11300; 12000; 11800; 12000; 11000; 7000; 12000; 6200; 11600; 11900; 11700; 6500], 1150, 1151, 0.031240463256835938
27, 30, 0.7601990740740739, [7; 39; 29; 23; 25; 31; 19; 26; 3; 6; 41; 44; 4; 2; 45; 28; 30; 15; 33; 14; 18; 12; 24; 10; 38; 20; 35; 11; 37; 48; 0; 1; 49; 40; 8; 13; 36; 9; 46; 17; 34; 5; 43; 32; 16; 47; 27; 42; 22; 21], [[7; 39]; [29]; [23]; [25; 31]; [19]; [26]; [3]; [6; 41]; [44; 4]; [2; 45]; [28; 30]; [15; 33]; [14]; [18]; [12]; [24]; [10; 38]; [20; 35]; [11; 37]; [48; 0]; [1; 49]; [40; 8]; [13; 36]; [9; 46]; [17; 34]; [5; 43]; [32; 16]; [47; 27; 42]; [22]; [21]], [12000; 5900; 7100; 11900; 7600; 6500; 9200; 11900; 11900; 12000; 12000; 12000; 7800; 7700; 8300; 7000; 11900; 11400; 12000; 12000; 11800; 11900; 12000; 11200; 11800; 11600; 12000; 12000; 7200; 7200], 1400, 1401, 0.031470298767089844
31, 30, 0.7614722222222221, [15; 34; 26; 29; 11; 36; 13; 43; 4; 20; 37; 22; 27; 6; 42; 24; 21; 17; 32; 40; 5; 8; 44; 30; 28; 45; 2; 19; 0; 49; 9; 38; 14; 35; 18; 10; 39; 23; 16; 33; 48; 1; 7; 41; 47; 12; 3; 46; 31; 25], [[15; 34]; [26]; [29]; [11]; [36; 13]; [43; 4]; [20; 37]; [22]; [27]; [6; 42]; [24]; [21]; [17; 32]; [40; 5]; [8; 44]; [30; 28]; [45; 2]; [19]; [0; 49]; [9; 38]; [14; 35]; [18]; [10; 39]; [23]; [16; 33]; [48; 1]; [7; 41]; [47; 12]; [3; 46]; [31; 25]], [11800; 6500; 5900; 8400; 12000; 11900; 11200; 7200; 6500; 11700; 7000; 7200; 12000; 12000; 11500; 12000; 12000; 7600; 11900; 12000; 11600; 7700; 11900; 7100; 12000; 11900; 11800; 10800; 11800; 11900], 1600, 1601, 0.031419992446899414
