Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
19, 24, 0.8523462962962962, [42; 6; 46; 9; 22; 48; 32; 31; 15; 28; 43; 0; 39; 19; 18; 25; 16; 8; 30; 12; 24; 1; 44; 17; 45; 49; 36; 2; 35; 7; 47; 14; 38; 20; 21; 10; 29; 4; 11; 26; 23; 13; 34; 3; 37; 5; 40; 41; 27; 33], [[42; 6]; [46; 9]; [22; 48; 32]; [31; 15]; [28; 43]; [0; 39]; [19; 18]; [25; 16]; [8; 30]; [12; 24]; [1; 44]; [17; 45; 49]; [36; 2]; [35; 7]; [47; 14; 38]; [20; 21]; [10; 29]; [4]; [11; 26]; [23; 13]; [34; 3]; [37; 5]; [40; 41; 27]; [33]], [13400; 12000; 15000; 13700; 9900; 14400; 14900; 14500; 14900; 15000; 13500; 13400; 15000; 14600; 15000; 14500; 14800; 9700; 15000; 14900; 15000; 14500; 14900; 5400], 1000, 1001, 0.031242847442626953
36, 23, 0.9146260869565218, [34; 4; 3; 42; 30; 47; 46; 43; 21; 29; 19; 18; 22; 17; 6; 32; 36; 2; 44; 45; 7; 33; 37; 0; 5; 41; 9; 31; 26; 11; 1; 40; 25; 15; 38; 48; 14; 12; 24; 35; 8; 16; 39; 49; 13; 23; 27; 20; 10; 28], [[34; 4]; [3; 42]; [30; 47; 46; 43]; [21; 29]; [19; 18]; [22; 17]; [6; 32]; [36; 2]; [44; 45]; [7; 33]; [37; 0]; [5; 41]; [9; 31]; [26; 11]; [1; 40]; [25; 15]; [38; 48; 14]; [12; 24]; [35; 8]; [16; 39; 49]; [13; 23]; [27; 20]; [10; 28]], [15000; 13700; 14900; 13200; 14900; 15000; 14900; 15000; 7200; 14700; 14900; 13700; 14900; 15000; 14200; 14500; 15000; 15000; 14400; 14400; 14900; 13600; 14900], 1850, 1851, 0.046868085861206055
27, 23, 0.9101623188405795, [4; 34; 31; 8; 38; 5; 22; 20; 15; 47; 39; 17; 27; 49; 29; 23; 0; 37; 10; 33; 40; 14; 13; 28; 25; 12; 21; 19; 7; 1; 36; 11; 26; 24; 16; 48; 3; 46; 35; 44; 41; 30; 9; 6; 32; 43; 2; 45; 42; 18], [[4; 34]; [31; 8]; [38; 5]; [22; 20]; [15; 47; 39]; [17; 27]; [49; 29; 23]; [0; 37]; [10; 33]; [40; 14]; [13; 28]; [25; 12]; [21; 19]; [7]; [1; 36]; [11; 26]; [24; 16]; [48; 3; 46]; [35; 44; 41]; [30; 9]; [6; 32]; [43; 2]; [45; 42; 18]], [15000; 14900; 14100; 14400; 14800; 14200; 14900; 14900; 14200; 12400; 14100; 14800; 14600; 9300; 15000; 15000; 14700; 15000; 13200; 14900; 14900; 13600; 15000], 1400, 1401, 0.03125905990600586
16, 24, 0.8604907407407408, [37; 39; 33; 49; 6; 48; 2; 36; 35; 3; 4; 45; 42; 7; 25; 12; 31; 20; 29; 10; 13; 27; 15; 26; 8; 1; 40; 38; 0; 17; 23; 44; 21; 46; 19; 18; 5; 34; 14; 28; 24; 41; 43; 22; 16; 32; 9; 30; 11; 47], [[37; 39; 33]; [49; 6; 48]; [2; 36]; [35; 3]; [4; 45]; [42; 7]; [25; 12]; [31; 20]; [29; 10]; [13; 27]; [15; 26]; [8]; [1; 40]; [38; 0]; [17; 23]; [44; 21; 46]; [19; 18]; [5; 34]; [14; 28]; [24; 41; 43]; [22; 16]; [32; 9]; [30; 11]; [47]], [14900; 13800; 15000; 15000; 13200; 13300; 14800; 13100; 14800; 14300; 14200; 9100; 14200; 14500; 14800; 13800; 14900; 14800; 14100; 14800; 15000; 14600; 14500; 2400], 850, 851, 0.01560831069946289
26, 24, 0.8518722222222221, [16; 25; 39; 3; 36; 22; 19; 18; 13; 24; 30; 9; 4; 29; 10; 48; 1; 47; 31; 8; 5; 33; 15; 46; 43; 14; 23; 44; 49; 45; 40; 2; 41; 34; 0; 38; 21; 20; 37; 17; 12; 27; 42; 28; 7; 35; 26; 11; 6; 32], [[16; 25]; [39; 3]; [36; 22]; [19; 18]; [13; 24]; [30; 9]; [4]; [29; 10]; [48; 1; 47]; [31; 8]; [5; 33]; [15; 46; 43]; [14; 23]; [44; 49; 45; 40]; [2; 41]; [34]; [0; 38]; [21; 20]; [37; 17]; [12; 27]; [42; 28]; [7; 35]; [26; 11]; [6; 32]], [14500; 14200; 12300; 14900; 14800; 14900; 9700; 14800; 14600; 14900; 14900; 14600; 14900; 13600; 14000; 5300; 14500; 14500; 12900; 14500; 10100; 14600; 15000; 14900], 1350, 1351, 0.031233787536621094
20, 24, 0.8492462962962962, [2; 45; 33; 8; 10; 42; 49; 16; 22; 46; 0; 17; 7; 35; 5; 32; 26; 20; 36; 6; 31; 9; 18; 21; 19; 24; 12; 25; 1; 47; 29; 14; 4; 27; 41; 39; 37; 28; 43; 30; 38; 40; 23; 13; 34; 3; 48; 44; 11; 15], [[2; 45]; [33; 8]; [10; 42; 49]; [16; 22]; [46; 0]; [17]; [7; 35]; [5; 32]; [26; 20]; [36; 6]; [31; 9]; [18; 21]; [19; 24]; [12; 25]; [1; 47]; [29; 14]; [4]; [27; 41; 39]; [37; 28; 43]; [30; 38; 40]; [23; 13]; [34; 3]; [48; 44; 11]; [15]], [13300; 14500; 14800; 15000; 12800; 7900; 14600; 15000; 13600; 14600; 14900; 14700; 14200; 14800; 12200; 14000; 9700; 15000; 14900; 14800; 14900; 15000; 14800; 7900], 1050, 1051, 0.03138542175292969
28, 24, 0.8563314814814814, [35; 42; 36; 43; 17; 9; 33; 28; 8; 30; 25; 15; 31; 3; 46; 48; 13; 26; 7; 40; 4; 47; 49; 23; 14; 0; 39; 19; 20; 2; 41; 6; 32; 10; 44; 5; 38; 24; 12; 22; 16; 21; 18; 27; 11; 1; 37; 45; 29; 34], [[35; 42; 36]; [43; 17]; [9; 33]; [28]; [8; 30]; [25; 15]; [31]; [3; 46; 48]; [13; 26]; [7; 40]; [4; 47; 49]; [23; 14]; [0; 39]; [19; 20]; [2; 41]; [6; 32]; [10; 44]; [5; 38]; [24; 12]; [22; 16]; [21; 18]; [27; 11]; [1; 37]; [45; 29; 34]], [14500; 11700; 14500; 6100; 14900; 14500; 5800; 15000; 14300; 13700; 14100; 14900; 14400; 14700; 14000; 14900; 12500; 14100; 15000; 15000; 14700; 15000; 14800; 14800], 1450, 1451, 0.031246423721313477
27, 24, 0.859387037037037, [15; 22; 9; 31; 5; 32; 4; 34; 46; 39; 21; 29; 28; 10; 47; 43; 23; 13; 16; 33; 48; 26; 27; 18; 20; 11; 44; 25; 14; 19; 8; 30; 41; 7; 49; 37; 17; 36; 2; 6; 35; 24; 12; 40; 1; 3; 45; 38; 0; 42], [[15; 22]; [9; 31]; [5; 32]; [4; 34]; [46; 39; 21]; [29; 28]; [10; 47; 43]; [23; 13]; [16; 33]; [48; 26; 27]; [18; 20]; [11; 44]; [25; 14]; [19]; [8; 30]; [41; 7]; [49; 37; 17]; [36; 2]; [6; 35]; [24; 12]; [40; 1]; [3; 45]; [38; 0]; [42]], [15000; 14900; 15000; 15000; 14600; 12100; 15000; 14900; 13300; 15000; 14800; 12400; 14600; 7400; 14900; 13500; 14900; 15000; 14700; 15000; 14200; 13200; 14500; 4000], 1400, 1401, 0.031243562698364258
21, 24, 0.860087037037037, [49; 9; 43; 8; 23; 14; 10; 28; 27; 17; 12; 25; 7; 32; 24; 13; 6; 35; 26; 11; 0; 37; 38; 1; 33; 5; 2; 19; 22; 36; 3; 30; 29; 46; 47; 16; 40; 39; 4; 34; 31; 18; 21; 42; 45; 20; 41; 15; 48; 44], [[49; 9; 43]; [8]; [23; 14]; [10; 28]; [27; 17]; [12; 25]; [7; 32]; [24; 13]; [6; 35]; [26; 11]; [0; 37]; [38; 1]; [33; 5]; [2]; [19; 22]; [36; 3]; [30; 29; 46]; [47; 16; 40]; [39; 4]; [34; 31]; [18; 21]; [42; 45; 20]; [41; 15; 48]; [44]], [14900; 9100; 14900; 14900; 14200; 14800; 14800; 14800; 14700; 15000; 14900; 14400; 14900; 9800; 14500; 14900; 14700; 14700; 14200; 11100; 14700; 14800; 14500; 3700], 1100, 1101, 0.015619516372680664
16, 23, 0.9091227053140096, [21; 29; 14; 37; 18; 19; 11; 28; 34; 49; 45; 41; 17; 25; 46; 44; 42; 40; 3; 31; 10; 36; 1; 27; 16; 9; 32; 8; 30; 38; 0; 39; 4; 23; 13; 35; 7; 6; 33; 12; 24; 20; 26; 5; 43; 22; 15; 2; 48; 47], [[21; 29]; [14; 37]; [18; 19]; [11; 28]; [34; 49; 45; 41]; [17; 25]; [46; 44; 42; 40]; [3]; [31; 10]; [36; 1]; [27; 16]; [9; 32]; [8; 30]; [38; 0]; [39; 4]; [23; 13]; [35; 7]; [6; 33]; [12; 24]; [20; 26]; [5; 43]; [22; 15]; [2; 48; 47]], [13200; 13000; 14900; 14800; 15000; 14500; 15000; 9700; 14600; 15000; 14200; 14600; 14900; 14500; 14200; 14900; 14600; 14800; 15000; 13600; 13300; 15000; 14600], 850, 851, 0.015684127807617188
