Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
16, 8, 0.8463478750000001, [41; 1; 13; 47; 9; 16; 29; 23; 20; 25; 35; 8; 10; 34; 27; 17; 14; 3; 11; 45; 31; 40; 44; 43; 12; 2; 30; 4; 37; 38; 18; 22; 26; 6; 7; 33; 15; 32; 28; 49; 42; 48; 5; 36; 0; 21; 24; 19; 46; 39], [[41; 1; 13; 47; 9; 16; 29]; [23; 20; 25; 35; 8; 10; 34]; [27; 17; 14; 3; 11; 45; 31]; [40; 44; 43; 12; 2; 30; 4]; [37; 38; 18; 22; 26; 6; 7]; [33; 15; 32; 28; 49; 42; 48]; [5; 36; 0; 21; 24; 19; 46]; [39]], [99600; 100000; 100000; 98200; 99900; 89600; 99900; 12500], 850, 851, 0.03141164779663086
3, 8, 0.8472741250000001, [11; 44; 47; 38; 29; 36; 49; 7; 28; 45; 27; 6; 17; 19; 20; 30; 25; 13; 18; 24; 16; 40; 14; 8; 5; 34; 15; 39; 0; 48; 35; 41; 9; 3; 26; 46; 42; 2; 10; 32; 31; 1; 23; 22; 37; 21; 4; 12; 33; 43], [[11; 44; 47; 38; 29; 36; 49]; [7; 28; 45; 27; 6; 17; 19]; [20; 30; 25; 13; 18; 24; 16]; [40; 14; 8; 5; 34; 15; 39]; [0; 48; 35; 41; 9; 3; 26]; [46; 42; 2; 10; 32; 31; 1]; [23; 22; 37; 21; 4; 12; 33]; [43]], [89300; 99900; 99800; 100000; 99600; 99100; 99900; 12100], 200, 201, 0.0
16, 8, 0.8481728749999999, [33; 30; 48; 32; 23; 34; 45; 39; 4; 18; 7; 13; 46; 27; 12; 43; 0; 31; 25; 10; 35; 19; 38; 9; 40; 17; 21; 5; 6; 26; 44; 11; 22; 29; 20; 28; 41; 14; 16; 1; 49; 8; 15; 3; 42; 2; 37; 24; 36; 47], [[33; 30; 48; 32; 23; 34; 45]; [39; 4; 18; 7; 13; 46; 27]; [12; 43; 0; 31; 25; 10; 35]; [19; 38; 9; 40; 17; 21; 5]; [6; 26; 44; 11; 22; 29; 20]; [28; 41; 14; 16; 1; 49; 8]; [15; 3; 42; 2; 37; 24; 36]; [47]], [90100; 99800; 100000; 100000; 99100; 99500; 99600; 11600], 850, 851, 0.015619277954101562
17, 8, 0.8475431250000001, [44; 4; 21; 14; 18; 20; 25; 31; 0; 23; 48; 7; 3; 29; 38; 45; 5; 26; 1; 11; 30; 36; 9; 10; 15; 28; 17; 40; 24; 8; 16; 34; 22; 12; 42; 41; 35; 19; 6; 13; 2; 47; 27; 46; 32; 33; 37; 39; 49; 43], [[44; 4; 21; 14; 18; 20; 25]; [31; 0; 23; 48; 7; 3]; [29; 38; 45; 5; 26; 1; 11]; [30; 36; 9; 10; 15; 28; 17]; [40; 24; 8; 16; 34; 22; 12]; [42; 41; 35; 19; 6; 13; 2]; [47; 27; 46; 32; 33; 37; 39; 49]; [43]], [100000; 88300; 100000; 99900; 99800; 99900; 99700; 12100], 900, 901, 0.015635251998901367
12, 8, 0.846515125, [13; 48; 30; 32; 41; 47; 44; 17; 28; 45; 19; 46; 2; 3; 38; 9; 0; 42; 21; 11; 36; 18; 34; 14; 15; 12; 22; 31; 7; 4; 33; 16; 27; 29; 39; 8; 24; 43; 26; 23; 5; 25; 35; 6; 1; 49; 20; 37; 10; 40], [[13; 48; 30; 32; 41; 47; 44]; [17; 28; 45; 19; 46; 2; 3]; [38; 9; 0; 42; 21; 11; 36]; [18; 34; 14; 15; 12; 22; 31]; [7; 4; 33; 16; 27; 29; 39]; [8; 24; 43; 26; 23; 5; 25]; [35; 6; 1; 49; 20; 37; 10]; [40]], [88900; 98700; 99800; 99900; 100000; 100000; 99900; 12500], 650, 651, 0.015615701675415039
10, 8, 0.8483946250000001, [44; 35; 24; 9; 2; 25; 16; 1; 41; 27; 21; 18; 13; 26; 42; 23; 12; 22; 40; 14; 0; 6; 47; 31; 20; 29; 19; 3; 30; 8; 5; 10; 36; 28; 37; 33; 43; 7; 17; 4; 39; 15; 49; 11; 38; 48; 32; 34; 45; 46], [[44; 35; 24; 9; 2; 25; 16]; [1; 41; 27; 21; 18; 13; 26]; [42; 23; 12; 22; 40; 14; 0]; [6; 47; 31; 20; 29; 19; 3]; [30; 8; 5; 10; 36; 28; 37]; [33; 43; 7; 17; 4; 39; 15]; [49; 11; 38; 48; 32; 34; 45]; [46]], [100000; 99900; 99900; 99700; 99900; 99500; 89200; 11600], 550, 551, 0.015619993209838867
19, 8, 0.827470875, [16; 44; 19; 24; 7; 30; 10; 6; 23; 11; 33; 40; 43; 1; 22; 13; 21; 37; 18; 36; 17; 47; 28; 0; 38; 20; 2; 5; 31; 15; 14; 39; 45; 3; 42; 34; 26; 8; 41; 35; 32; 25; 12; 29; 4; 9; 46; 27; 49; 48], [[16; 44; 19; 24; 7; 30; 10]; [6; 23; 11; 33; 40; 43]; [1; 22; 13; 21; 37; 18; 36]; [17; 47; 28; 0; 38; 20; 2]; [5; 31; 15; 14; 39; 45; 3]; [42; 34; 26; 8; 41; 35; 32]; [25; 12; 29; 4; 9; 46; 27]; [49; 48]], [100000; 83500; 99900; 99800; 100000; 93600; 100000; 22900], 1000, 1001, 0.015623807907104492
14, 8, 0.8484161250000001, [23; 33; 27; 35; 17; 5; 16; 30; 10; 29; 42; 40; 37; 48; 15; 31; 34; 8; 39; 20; 22; 0; 4; 46; 18; 28; 36; 19; 7; 9; 47; 13; 38; 32; 11; 3; 26; 12; 6; 41; 44; 21; 2; 24; 14; 45; 1; 25; 43; 49], [[23; 33; 27; 35; 17; 5; 16]; [30; 10; 29; 42; 40; 37; 48]; [15; 31; 34; 8; 39; 20; 22]; [0; 4; 46; 18; 28; 36; 19]; [7; 9; 47; 13; 38; 32; 11]; [3; 26; 12; 6; 41; 44; 21]; [2; 24; 14; 45; 1; 25; 43]; [49]], [99300; 91100; 98100; 99900; 99900; 100000; 100000; 11400], 750, 751, 0.015641450881958008
20, 8, 0.826894625, [12; 11; 44; 34; 24; 4; 25; 41; 27; 7; 0; 22; 32; 45; 46; 39; 28; 40; 6; 35; 43; 26; 1; 33; 10; 23; 20; 16; 29; 19; 5; 37; 30; 13; 38; 14; 8; 15; 36; 17; 18; 42; 47; 2; 21; 3; 9; 31; 49; 48], [[12; 11; 44; 34; 24; 4]; [25; 41; 27; 7; 0; 22; 32]; [45; 46; 39; 28; 40; 6; 35]; [43; 26; 1; 33; 10; 23; 20]; [16; 29; 19; 5; 37; 30; 13]; [38; 14; 8; 15; 36; 17; 18]; [42; 47; 2; 21; 3; 9; 31]; [49; 48]], [86300; 100000; 91100; 99500; 99900; 100000; 100000; 22900], 1050, 1051, 0.015773296356201172
9, 8, 0.848117875, [3; 40; 35; 13; 47; 41; 7; 31; 33; 8; 20; 5; 24; 34; 6; 1; 48; 27; 26; 36; 15; 21; 45; 14; 16; 46; 39; 32; 0; 17; 18; 29; 28; 10; 43; 23; 30; 12; 2; 11; 38; 42; 4; 22; 25; 9; 19; 37; 44; 49], [[3; 40; 35; 13; 47; 41; 7]; [31; 33; 8; 20; 5; 24; 34]; [6; 1; 48; 27; 26; 36; 15]; [21; 45; 14; 16; 46; 39; 32]; [0; 17; 18; 29; 28; 10; 43]; [23; 30; 12; 2; 11; 38; 42]; [4; 22; 25; 9; 19; 37; 44]; [49]], [97200; 100000; 99300; 92900; 100000; 99700; 99200; 11400], 500, 501, 0.015696287155151367
