Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
12, 6, 0.876674, [6; 0; 14; 36; 9; 32; 24; 30; 3; 1; 23; 31; 43; 29; 4; 13; 12; 2; 16; 42; 11; 15; 26; 5; 10; 38; 17; 37; 49; 21; 19; 8; 41; 20; 44; 28; 40; 27; 33; 25; 7; 35; 47; 34; 48; 18; 39; 22; 45; 46], [[6; 0; 14; 36; 9; 32; 24]; [30; 3; 1; 23; 31; 43; 29; 4]; [13; 12; 2; 16; 42; 11; 15]; [26; 5; 10; 38; 17; 37; 49; 21; 19]; [8; 41; 20; 44; 28; 40; 27; 33; 25; 7]; [35; 47; 34; 48; 18; 39; 22; 45; 46]], [97700; 99700; 99900; 99600; 100000; 56700], 650, 651, 0.01563858985900879
7, 6, 0.8785103333333333, [4; 16; 42; 38; 40; 44; 37; 3; 2; 39; 18; 23; 36; 32; 11; 34; 0; 21; 25; 26; 22; 6; 30; 19; 31; 15; 24; 1; 17; 28; 14; 33; 10; 47; 12; 13; 27; 46; 8; 41; 7; 5; 20; 49; 45; 29; 9; 35; 48; 43], [[4; 16; 42; 38; 40; 44; 37; 3; 2; 39]; [18; 23; 36; 32; 11; 34; 0; 21]; [25; 26; 22; 6; 30; 19; 31; 15]; [24; 1; 17; 28; 14; 33; 10; 47]; [12; 13; 27; 46; 8; 41; 7; 5]; [20; 49; 45; 29; 9; 35; 48; 43]], [99200; 100000; 99900; 99100; 100000; 55400], 400, 401, 0.015616416931152344
7, 6, 0.8796930000000001, [35; 40; 43; 5; 47; 25; 10; 11; 1; 16; 27; 44; 12; 7; 20; 24; 22; 6; 32; 17; 9; 31; 30; 2; 36; 19; 37; 39; 13; 28; 8; 45; 14; 29; 42; 38; 21; 3; 23; 26; 48; 49; 4; 15; 46; 34; 0; 18; 33; 41], [[35; 40; 43; 5; 47; 25; 10; 11; 1]; [16; 27; 44; 12; 7; 20; 24; 22]; [6; 32; 17; 9; 31; 30; 2; 36]; [19; 37; 39; 13; 28; 8; 45; 14; 29; 42]; [38; 21; 3; 23; 26; 48; 49; 4; 15; 46]; [34; 0; 18; 33; 41]], [99400; 99900; 99800; 99900; 100000; 54600], 400, 401, 0.0
6, 6, 0.877065, [39; 28; 29; 3; 0; 38; 6; 42; 48; 37; 16; 45; 26; 30; 32; 36; 8; 46; 22; 18; 9; 24; 33; 14; 7; 13; 17; 12; 2; 4; 20; 31; 35; 5; 11; 10; 47; 19; 43; 25; 34; 21; 27; 40; 44; 23; 49; 1; 15; 41], [[39; 28; 29; 3; 0; 38; 6; 42; 48; 37]; [16; 45; 26; 30; 32; 36; 8; 46; 22; 18]; [9; 24; 33; 14; 7; 13; 17]; [12; 2; 4; 20; 31; 35; 5]; [11; 10; 47; 19; 43; 25; 34; 21; 27; 40]; [44; 23; 49; 1; 15; 41]], [99900; 99900; 98800; 98800; 99800; 56400], 350, 351, 0.0
10, 6, 0.878657, [27; 26; 35; 42; 32; 21; 5; 19; 18; 15; 45; 34; 17; 36; 33; 3; 28; 8; 31; 4; 22; 29; 20; 11; 1; 0; 25; 6; 41; 48; 39; 7; 47; 24; 37; 2; 10; 43; 30; 23; 40; 49; 13; 44; 12; 14; 9; 46; 16; 38], [[27; 26; 35; 42; 32; 21; 5; 19; 18]; [15; 45; 34; 17; 36; 33; 3; 28; 8]; [31; 4; 22; 29; 20; 11; 1]; [0; 25; 6; 41; 48; 39; 7; 47; 24; 37]; [2; 10; 43; 30; 23; 40; 49; 13; 44; 12]; [14; 9; 46; 16; 38]], [99800; 100000; 98900; 99800; 99800; 55300], 550, 551, 0.0
8, 6, 0.8799976666666667, [6; 39; 18; 29; 3; 15; 1; 46; 20; 43; 9; 36; 30; 38; 28; 19; 13; 47; 2; 0; 26; 42; 10; 25; 7; 44; 35; 23; 12; 33; 5; 27; 31; 11; 8; 16; 17; 40; 24; 49; 45; 41; 34; 21; 48; 37; 32; 22; 4; 14], [[6; 39; 18; 29; 3; 15; 1]; [46; 20; 43; 9; 36; 30; 38; 28; 19; 13; 47]; [2; 0; 26; 42; 10; 25; 7]; [44; 35; 23; 12; 33; 5; 27; 31; 11]; [8; 16; 17; 40; 24; 49; 45; 41; 34; 21; 48; 37]; [32; 22; 4; 14]], [100000; 99300; 99900; 100000; 100000; 54400], 450, 451, 0.015598773956298828
13, 6, 0.8770926666666666, [5; 9; 15; 45; 17; 21; 35; 19; 3; 13; 41; 47; 16; 4; 31; 11; 48; 32; 6; 25; 40; 29; 49; 30; 26; 12; 43; 36; 24; 27; 1; 8; 10; 0; 20; 18; 23; 2; 39; 14; 44; 42; 33; 38; 37; 28; 34; 22; 46; 7], [[5; 9; 15; 45; 17; 21; 35; 19]; [3; 13; 41; 47; 16; 4; 31; 11; 48]; [32; 6; 25; 40; 29; 49; 30; 26; 12; 43; 36]; [24; 27; 1; 8; 10; 0]; [20; 18; 23; 2; 39; 14; 44; 42; 33; 38]; [37; 28; 34; 22; 46; 7]], [99600; 99900; 99900; 97900; 99900; 56400], 700, 701, 0.01566910743713379
6, 6, 0.8757423333333333, [33; 2; 27; 28; 40; 14; 35; 12; 31; 20; 47; 43; 38; 41; 11; 3; 0; 24; 37; 6; 22; 1; 10; 7; 49; 30; 16; 42; 32; 34; 36; 29; 4; 23; 46; 13; 39; 19; 18; 17; 44; 21; 8; 9; 45; 26; 25; 5; 48; 15], [[33; 2; 27; 28; 40; 14; 35; 12; 31]; [20; 47; 43; 38; 41; 11; 3; 0; 24]; [37; 6; 22; 1; 10; 7; 49; 30]; [16; 42; 32; 34; 36; 29; 4; 23; 46; 13]; [39; 19; 18; 17; 44; 21; 8; 9; 45]; [26; 25; 5; 48; 15]], [99800; 96900; 100000; 99800; 99700; 57400], 350, 351, 0.0
5, 6, 0.875952, [30; 34; 42; 18; 22; 24; 15; 9; 36; 6; 11; 37; 13; 39; 5; 2; 43; 41; 33; 3; 23; 40; 21; 29; 26; 7; 48; 0; 46; 10; 19; 35; 27; 28; 4; 31; 45; 47; 25; 16; 8; 17; 38; 1; 12; 14; 44; 32; 20; 49], [[30; 34; 42; 18; 22; 24; 15; 9; 36]; [6; 11; 37; 13; 39; 5; 2; 43]; [41; 33; 3; 23; 40; 21; 29; 26; 7; 48]; [0; 46; 10; 19; 35; 27; 28; 4]; [31; 45; 47; 25; 16; 8; 17; 38; 1]; [12; 14; 44; 32; 20; 49]], [98200; 99800; 100000; 99800; 98600; 57200], 300, 301, 0.0
4, 6, 0.8749123333333334, [43; 46; 31; 41; 8; 40; 47; 49; 29; 23; 14; 35; 26; 27; 45; 2; 0; 15; 5; 17; 28; 10; 6; 34; 42; 30; 13; 36; 20; 24; 11; 16; 33; 12; 9; 44; 22; 4; 37; 38; 19; 48; 39; 3; 21; 18; 1; 32; 7; 25], [[43; 46; 31; 41; 8; 40; 47; 49; 29; 23; 14; 35; 26]; [27; 45; 2; 0; 15; 5; 17]; [28; 10; 6; 34; 42; 30; 13; 36; 20]; [24; 11; 16; 33; 12; 9; 44; 22]; [4; 37; 38; 19; 48; 39; 3; 21; 18]; [1; 32; 7; 25]], [99600; 99500; 100000; 99700; 96800; 58000], 250, 251, 0.0
