Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
53, 42, 0.9194296296296296, [63; 2; 41; 38; 80; 34; 74; 59; 1; 98; 85; 5; 19; 78; 4; 57; 17; 71; 99; 15; 49; 14; 88; 16; 47; 62; 36; 89; 23; 35; 81; 12; 45; 18; 68; 6; 48; 60; 84; 77; 24; 90; 11; 52; 29; 27; 37; 33; 44; 21; 61; 0; 13; 51; 75; 50; 67; 93; 39; 97; 87; 66; 7; 42; 43; 56; 9; 79; 22; 91; 64; 3; 72; 92; 95; 69; 86; 73; 30; 26; 28; 25; 31; 46; 96; 53; 10; 83; 54; 8; 58; 32; 94; 82; 70; 40; 65; 55; 76; 20], [[63; 2]; [41; 38]; [80; 34; 74]; [59; 1]; [98; 85; 5]; [19; 78]; [4; 57]; [17; 71; 99]; [15; 49]; [14; 88]; [16; 47]; [62; 36; 89]; [23; 35]; [81; 12]; [45; 18]; [68; 6]; [48; 60; 84]; [77; 24; 90]; [11; 52]; [29; 27]; [37; 33]; [44; 21]; [61; 0]; [13; 51]; [75; 50; 67]; [93; 39; 97; 87]; [66; 7]; [42; 43]; [56; 9]; [79; 22; 91]; [64; 3]; [72; 92; 95; 69]; [86; 73; 30]; [26; 28]; [25; 31]; [46; 96; 53]; [10; 83]; [54; 8]; [58; 32; 94]; [82; 70; 40]; [65; 55; 76]; [20]], [14300; 13700; 14900; 14900; 15000; 12600; 15000; 14900; 15000; 11900; 14900; 14800; 15000; 12600; 15000; 13700; 15000; 15000; 14800; 14900; 14100; 14900; 15000; 14900; 15000; 15000; 13800; 13600; 14900; 14900; 14300; 13700; 14900; 14900; 14800; 14700; 12800; 15000; 15000; 14900; 14600; 8300], 5400, 5401, 0.40547990798950195
36, 43, 0.8847844961240313, [59; 5; 20; 52; 8; 75; 2; 61; 77; 40; 79; 83; 36; 72; 44; 24; 94; 87; 7; 0; 67; 15; 47; 51; 35; 93; 78; 23; 39; 42; 43; 22; 92; 30; 65; 28; 27; 97; 13; 88; 6; 56; 84; 82; 29; 11; 3; 74; 49; 18; 60; 81; 50; 86; 62; 70; 80; 37; 63; 95; 25; 32; 33; 4; 66; 14; 76; 91; 38; 58; 41; 99; 53; 68; 21; 26; 34; 98; 17; 71; 1; 69; 16; 48; 73; 96; 9; 55; 46; 89; 57; 45; 19; 64; 31; 90; 10; 54; 85; 12], [[59; 5]; [20; 52]; [8; 75]; [2; 61]; [77; 40; 79]; [83; 36; 72]; [44; 24]; [94; 87; 7]; [0; 67]; [15; 47]; [51; 35]; [93; 78; 23]; [39; 42]; [43; 22]; [92; 30; 65]; [28; 27]; [97; 13; 88]; [6; 56]; [84; 82; 29]; [11]; [3; 74]; [49; 18]; [60; 81]; [50; 86; 62]; [70; 80; 37]; [63; 95; 25]; [32; 33]; [4; 66]; [14; 76]; [91; 38; 58]; [41; 99; 53]; [68; 21]; [26; 34]; [98; 17; 71]; [1; 69]; [16; 48]; [73; 96]; [9; 55]; [46; 89; 57]; [45; 19]; [64; 31; 90]; [10; 54]; [85; 12]], [14600; 14200; 13400; 14500; 14800; 14800; 14600; 14900; 14500; 15000; 13000; 14900; 13700; 15000; 14700; 14900; 14100; 15000; 14900; 8900; 13700; 14800; 8800; 14600; 15000; 14700; 14400; 14000; 13000; 15000; 14800; 12700; 14400; 14900; 14000; 14900; 6600; 15000; 15000; 15000; 15000; 14900; 12300], 3700, 3701, 0.12496709823608398
47, 43, 0.889973126614987, [67; 40; 83; 24; 36; 19; 49; 73; 74; 97; 68; 10; 52; 71; 2; 96; 88; 3; 57; 20; 48; 15; 58; 38; 93; 11; 53; 12; 51; 87; 35; 64; 9; 54; 37; 23; 99; 13; 84; 30; 91; 62; 26; 29; 81; 34; 76; 33; 47; 6; 56; 8; 55; 69; 82; 43; 63; 70; 1; 66; 50; 17; 59; 90; 42; 39; 41; 18; 46; 98; 5; 89; 0; 60; 22; 44; 14; 75; 79; 86; 27; 32; 16; 85; 92; 94; 21; 77; 78; 65; 28; 31; 61; 7; 25; 45; 4; 72; 95; 80], [[67; 40; 83]; [24; 36]; [19; 49]; [73; 74; 97; 68]; [10; 52]; [71; 2]; [96; 88; 3]; [57; 20]; [48; 15]; [58; 38; 93]; [11; 53]; [12; 51]; [87; 35; 64]; [9; 54]; [37; 23]; [99; 13; 84]; [30; 91; 62]; [26; 29]; [81; 34; 76]; [33; 47]; [6; 56]; [8; 55]; [69; 82; 43]; [63; 70]; [1; 66]; [50; 17]; [59; 90; 42]; [39; 41]; [18; 46]; [98; 5; 89]; [0; 60]; [22; 44]; [14; 75]; [79; 86; 27]; [32]; [16; 85; 92]; [94; 21; 77]; [78; 65]; [28; 31]; [61; 7]; [25; 45]; [4; 72]; [95; 80]], [15000; 14900; 14800; 15000; 15000; 13700; 15000; 13900; 15000; 14900; 14800; 14900; 14900; 15000; 15000; 14600; 15000; 14900; 14900; 13500; 15000; 15000; 14900; 9100; 14300; 14900; 14900; 13700; 14900; 14500; 15000; 14800; 13000; 14800; 7200; 14900; 14900; 8700; 14700; 14200; 14000; 13600; 6200], 4800, 4801, 0.15727591514587402
49, 42, 0.9222253968253968, [79; 6; 65; 0; 41; 75; 81; 99; 76; 53; 91; 46; 16; 1; 60; 31; 33; 35; 24; 62; 87; 42; 11; 51; 50; 19; 89; 84; 20; 10; 54; 44; 21; 36; 23; 93; 98; 4; 57; 56; 83; 77; 69; 45; 8; 68; 52; 66; 71; 30; 73; 85; 17; 72; 32; 63; 90; 25; 27; 3; 58; 74; 43; 2; 59; 7; 64; 55; 9; 97; 12; 94; 78; 95; 15; 49; 22; 40; 37; 29; 18; 48; 26; 28; 80; 39; 70; 5; 67; 86; 92; 13; 47; 38; 34; 88; 61; 82; 14; 96], [[79; 6]; [65; 0]; [41; 75; 81]; [99; 76; 53; 91]; [46; 16]; [1; 60]; [31; 33]; [35; 24]; [62; 87; 42]; [11; 51]; [50; 19]; [89; 84; 20]; [10; 54]; [44; 21]; [36; 23]; [93; 98; 4]; [57; 56; 83]; [77; 69; 45]; [8; 68]; [52; 66; 71]; [30; 73; 85]; [17; 72]; [32; 63; 90]; [25; 27]; [3; 58]; [74; 43]; [2; 59]; [7; 64]; [55; 9]; [97; 12; 94]; [78; 95]; [15; 49]; [22; 40]; [37; 29]; [18; 48]; [26; 28]; [80; 39; 70]; [5; 67]; [86; 92; 13]; [47; 38]; [34; 88; 61]; [82; 14; 96]], [13200; 14600; 14800; 15000; 15000; 14700; 14500; 14900; 14900; 15000; 14800; 15000; 14900; 14900; 15000; 14200; 15000; 14900; 13600; 14700; 15000; 12800; 14900; 15000; 14800; 11000; 14700; 14000; 15000; 13500; 6500; 15000; 15000; 14300; 14800; 14900; 15000; 13900; 15000; 13200; 15000; 15000], 5000, 5001, 0.1719958782196045
28, 43, 0.8829012919896639, [67; 2; 45; 7; 56; 46; 20; 43; 29; 25; 35; 66; 5; 6; 80; 16; 51; 17; 85; 64; 59; 65; 83; 81; 87; 75; 61; 3; 22; 96; 73; 14; 88; 36; 74; 84; 78; 91; 23; 60; 0; 62; 4; 89; 10; 90; 9; 58; 98; 68; 19; 30; 86; 70; 1; 97; 34; 38; 82; 93; 76; 71; 21; 95; 69; 15; 13; 52; 57; 32; 11; 63; 12; 55; 41; 26; 77; 48; 72; 8; 54; 39; 28; 37; 31; 42; 40; 99; 44; 50; 33; 27; 18; 49; 47; 92; 53; 79; 24; 94], [[67; 2]; [45]; [7; 56]; [46; 20]; [43; 29]; [25; 35]; [66; 5]; [6; 80]; [16; 51]; [17; 85]; [64; 59; 65]; [83; 81; 87; 75]; [61; 3]; [22; 96; 73]; [14; 88]; [36; 74; 84]; [78; 91; 23]; [60; 0]; [62; 4]; [89; 10; 90]; [9; 58]; [98; 68; 19]; [30; 86; 70]; [1; 97]; [34; 38]; [82; 93; 76; 71]; [21; 95; 69]; [15]; [13; 52]; [57; 32]; [11; 63]; [12; 55]; [41; 26]; [77; 48; 72]; [8; 54]; [39; 28]; [37; 31]; [42; 40]; [99; 44; 50]; [33; 27]; [18; 49]; [47; 92; 53]; [79; 24; 94]], [14000; 6500; 14900; 14700; 14200; 14400; 14000; 13100; 14700; 12100; 14600; 14900; 14500; 14800; 11900; 14800; 15000; 15000; 14300; 15000; 14500; 15000; 15000; 11900; 13800; 14900; 15000; 8700; 14700; 12800; 13700; 14600; 14300; 14600; 15000; 14300; 14200; 13600; 15000; 14700; 14800; 15000; 14400], 2900, 2901, 0.10936927795410156
42, 43, 0.8835214470284237, [37; 24; 50; 11; 52; 81; 66; 46; 1; 58; 38; 56; 17; 49; 83; 15; 95; 63; 8; 5; 73; 12; 54; 3; 59; 22; 77; 93; 47; 19; 98; 6; 86; 18; 74; 94; 13; 75; 78; 30; 34; 35; 42; 62; 45; 87; 21; 70; 72; 85; 39; 0; 71; 68; 4; 28; 27; 31; 67; 89; 90; 76; 33; 9; 60; 25; 32; 64; 20; 2; 61; 41; 26; 99; 84; 65; 69; 97; 57; 43; 16; 48; 29; 40; 7; 55; 36; 82; 80; 92; 10; 88; 14; 51; 91; 23; 79; 96; 44; 53], [[37; 24]; [50]; [11; 52]; [81; 66; 46]; [1; 58]; [38; 56]; [17; 49]; [83; 15; 95]; [63; 8]; [5; 73]; [12; 54]; [3; 59]; [22; 77; 93]; [47; 19]; [98; 6; 86]; [18; 74]; [94; 13]; [75; 78]; [30; 34]; [35; 42]; [62; 45; 87]; [21; 70]; [72; 85; 39]; [0; 71]; [68; 4]; [28; 27]; [31; 67; 89]; [90; 76; 33]; [9; 60]; [25; 32]; [64; 20]; [2; 61]; [41; 26]; [99; 84; 65; 69]; [97; 57; 43]; [16; 48]; [29; 40]; [7; 55]; [36; 82; 80]; [92; 10; 88]; [14; 51]; [91; 23; 79]; [96; 44; 53]], [14900; 6300; 14800; 14800; 15000; 12600; 14900; 14800; 14000; 13600; 14600; 14700; 15000; 14800; 14800; 12700; 11300; 8300; 14200; 13700; 14600; 12600; 14600; 14200; 13800; 14900; 14800; 14300; 14200; 14700; 13100; 14500; 14300; 14700; 14600; 14900; 14200; 15000; 14500; 15000; 14900; 14800; 14900], 4300, 4301, 0.16630840301513672
46, 43, 0.8868496124031009, [88; 53; 93; 87; 85; 73; 41; 89; 64; 42; 4; 58; 47; 18; 52; 11; 27; 26; 31; 36; 46; 77; 67; 56; 6; 7; 99; 90; 72; 29; 16; 48; 10; 44; 75; 71; 17; 49; 69; 96; 20; 3; 62; 32; 43; 12; 86; 38; 97; 54; 68; 34; 84; 80; 82; 94; 0; 60; 1; 59; 83; 91; 19; 81; 51; 61; 8; 70; 25; 98; 74; 35; 79; 76; 45; 2; 66; 40; 22; 14; 57; 50; 15; 92; 63; 30; 33; 28; 65; 5; 39; 24; 23; 37; 55; 9; 78; 21; 95; 13], [[88; 53; 93; 87]; [85; 73; 41]; [89; 64; 42]; [4; 58]; [47; 18]; [52; 11]; [27; 26]; [31; 36]; [46; 77; 67]; [56; 6]; [7; 99; 90]; [72; 29]; [16; 48]; [10]; [44; 75; 71]; [17; 49]; [69; 96; 20]; [3; 62]; [32; 43]; [12; 86]; [38; 97; 54]; [68; 34; 84]; [80; 82; 94]; [0; 60]; [1; 59]; [83; 91; 19]; [81; 51; 61]; [8; 70]; [25; 98; 74]; [35; 79; 76]; [45]; [2; 66]; [40; 22]; [14; 57]; [50; 15]; [92; 63; 30]; [33; 28]; [65; 5]; [39; 24]; [23; 37]; [55; 9]; [78; 21; 95]; [13]], [14900; 14500; 14600; 14700; 14800; 14800; 15000; 14200; 15000; 15000; 14200; 11600; 14900; 9100; 15000; 14900; 15000; 14400; 14000; 12200; 14900; 15000; 10100; 15000; 14900; 15000; 14900; 13500; 13800; 15000; 6500; 14100; 15000; 14400; 15000; 14900; 14600; 14000; 14900; 15000; 15000; 14800; 8800], 4700, 4701, 0.15118646621704102
79, 42, 0.9211354497354495, [17; 5; 54; 8; 31; 68; 88; 6; 56; 46; 21; 32; 59; 95; 87; 64; 38; 50; 81; 63; 41; 34; 1; 58; 12; 51; 61; 89; 43; 72; 10; 99; 7; 84; 62; 4; 52; 11; 98; 55; 42; 92; 36; 65; 73; 86; 28; 0; 60; 94; 76; 66; 83; 19; 71; 97; 75; 3; 80; 70; 39; 9; 79; 30; 29; 14; 53; 35; 24; 45; 18; 15; 47; 82; 57; 90; 93; 91; 13; 23; 40; 49; 16; 48; 67; 74; 26; 25; 78; 2; 27; 37; 22; 44; 69; 33; 85; 96; 77; 20], [[17]; [5]; [54; 8]; [31; 68; 88]; [6; 56]; [46; 21]; [32; 59; 95]; [87; 64; 38]; [50; 81; 63]; [41; 34]; [1; 58]; [12; 51]; [61; 89; 43]; [72; 10]; [99; 7; 84]; [62; 4]; [52; 11]; [98; 55; 42]; [92; 36; 65]; [73; 86; 28]; [0; 60]; [94; 76; 66; 83]; [19; 71; 97]; [75; 3]; [80; 70; 39]; [9; 79]; [30; 29]; [14; 53]; [35; 24]; [45; 18]; [15; 47]; [82; 57; 90; 93]; [91; 13]; [23; 40]; [49; 16]; [48; 67; 74]; [26; 25]; [78; 2]; [27; 37]; [22; 44]; [69; 33; 85]; [96; 77; 20]], [8600; 9400; 15000; 14800; 15000; 14700; 14800; 14900; 14900; 13700; 15000; 14900; 14800; 13300; 15000; 14300; 14800; 14700; 14300; 15000; 15000; 15000; 14900; 13700; 15000; 13100; 14700; 14700; 14900; 15000; 15000; 15000; 11600; 14900; 14900; 15000; 15000; 13600; 14400; 14800; 15000; 14800], 8000, 8001, 0.26643824577331543
41, 42, 0.9182232804232802, [68; 75; 49; 7; 56; 55; 39; 1; 63; 22; 42; 72; 62; 53; 86; 83; 82; 80; 23; 43; 18; 45; 14; 35; 41; 5; 92; 91; 84; 96; 12; 3; 64; 57; 4; 20; 67; 37; 54; 36; 24; 66; 81; 44; 19; 97; 69; 46; 89; 60; 27; 30; 33; 88; 70; 76; 0; 58; 6; 32; 29; 50; 21; 9; 90; 93; 11; 52; 59; 2; 26; 31; 34; 38; 15; 77; 28; 25; 10; 71; 99; 78; 16; 40; 95; 73; 79; 47; 65; 13; 51; 74; 98; 17; 8; 94; 87; 85; 48; 61], [[68; 75; 49]; [7; 56]; [55; 39]; [1; 63]; [22; 42]; [72; 62; 53]; [86; 83; 82; 80]; [23; 43]; [18; 45]; [14]; [35; 41]; [5; 92; 91]; [84; 96; 12]; [3; 64]; [57; 4]; [20; 67]; [37; 54]; [36; 24]; [66; 81; 44]; [19; 97; 69]; [46; 89; 60]; [27; 30]; [33; 88; 70]; [76; 0]; [58; 6]; [32; 29]; [50; 21]; [9; 90; 93]; [11; 52]; [59; 2]; [26; 31]; [34; 38]; [15; 77]; [28; 25]; [10; 71]; [99; 78; 16]; [40; 95; 73]; [79; 47; 65]; [13; 51]; [74; 98; 17]; [8; 94; 87]; [85; 48; 61]], [14900; 14900; 12700; 14500; 15000; 15000; 14700; 14900; 15000; 8800; 13700; 15000; 14900; 14300; 15000; 12800; 12700; 14900; 15000; 15000; 14400; 14800; 14600; 14200; 14600; 14600; 14600; 14800; 14800; 14700; 14800; 13800; 12800; 14900; 13300; 14800; 13400; 14800; 14900; 14900; 14900; 14800], 4200, 4201, 0.15644478797912598
49, 43, 0.8938842377260982, [6; 57; 5; 58; 74; 50; 80; 24; 34; 1; 59; 46; 18; 38; 45; 76; 33; 85; 31; 27; 25; 29; 62; 0; 75; 54; 61; 88; 3; 95; 32; 28; 20; 96; 69; 83; 93; 19; 16; 48; 14; 26; 30; 41; 51; 67; 13; 97; 84; 10; 4; 98; 86; 92; 12; 87; 94; 64; 42; 8; 56; 71; 11; 21; 44; 35; 81; 73; 15; 66; 49; 65; 78; 72; 82; 40; 7; 55; 22; 43; 37; 36; 70; 90; 63; 89; 91; 77; 99; 52; 17; 47; 23; 39; 53; 9; 68; 60; 2; 79], [[6; 57]; [5; 58]; [74; 50; 80]; [24; 34]; [1; 59]; [46; 18]; [38; 45]; [76; 33; 85]; [31; 27]; [25; 29]; [62; 0]; [75; 54; 61]; [88; 3; 95]; [32; 28]; [20; 96; 69]; [83; 93; 19]; [16; 48]; [14]; [26; 30]; [41; 51]; [67; 13]; [97; 84; 10]; [4; 98; 86]; [92; 12; 87]; [94; 64; 42]; [8; 56]; [71; 11]; [21; 44]; [35; 81; 73]; [15; 66]; [49; 65; 78]; [72; 82; 40]; [7; 55]; [22; 43]; [37; 36]; [70; 90; 63; 89]; [91; 77; 99; 52]; [17; 47]; [23; 39]; [53]; [9; 68]; [60; 2]; [79]], [14900; 14700; 14300; 14900; 14900; 14900; 13400; 14900; 14800; 14900; 14900; 15000; 15000; 14600; 15000; 14900; 14900; 8800; 14800; 12900; 13300; 15000; 14900; 14800; 14100; 14900; 13100; 14900; 14900; 13300; 15000; 14800; 15000; 15000; 13800; 15000; 14900; 14900; 15000; 5900; 13600; 14500; 3900], 5000, 5001, 0.18784856796264648
