Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
39, 22, 0.9032014545454546, [87; 33; 41; 84; 95; 28; 19; 25; 6; 7; 76; 75; 88; 1; 5; 53; 65; 15; 64; 3; 52; 68; 96; 36; 13; 79; 38; 89; 35; 44; 66; 12; 29; 17; 58; 14; 59; 74; 10; 90; 70; 24; 16; 23; 22; 61; 77; 11; 4; 43; 9; 97; 85; 67; 60; 81; 26; 27; 51; 69; 18; 71; 31; 83; 32; 37; 48; 80; 56; 86; 73; 82; 78; 62; 47; 46; 42; 98; 63; 91; 99; 49; 0; 93; 92; 30; 39; 50; 8; 54; 40; 94; 55; 20; 21; 57; 2; 72; 45; 34], [[87; 33; 41; 84; 95; 28]; [19; 25]; [6; 7; 76; 75]; [88; 1; 5; 53]; [65; 15; 64]; [3; 52; 68; 96; 36]; [13; 79; 38; 89; 35]; [44; 66; 12; 29]; [17; 58; 14; 59]; [74; 10; 90; 70; 24]; [16; 23; 22]; [61; 77; 11; 4]; [43; 9; 97; 85; 67; 60]; [81; 26; 27; 51]; [69; 18; 71; 31; 83]; [32; 37; 48; 80; 56]; [86; 73; 82; 78; 62; 47; 46]; [42; 98; 63; 91; 99; 49]; [0; 93; 92; 30; 39]; [50; 8; 54; 40; 94]; [55; 20; 21; 57]; [2; 72; 45; 34]], [99400; 65100; 96900; 99800; 64000; 99500; 99800; 99900; 99900; 100000; 98700; 99500; 100000; 91500; 99000; 98600; 98900; 68100; 99200; 100000; 99300; 98300], 4000, 4001, 0.10936594009399414
35, 22, 0.9012593636363634, [51; 18; 78; 7; 10; 83; 90; 16; 68; 47; 9; 65; 29; 85; 95; 84; 59; 20; 43; 73; 56; 34; 41; 88; 14; 6; 63; 13; 8; 69; 21; 28; 5; 4; 52; 87; 2; 26; 25; 86; 0; 31; 39; 71; 61; 48; 55; 22; 15; 1; 30; 32; 23; 42; 54; 35; 36; 93; 99; 89; 19; 27; 82; 46; 62; 98; 50; 91; 70; 38; 45; 3; 11; 53; 17; 72; 57; 66; 33; 92; 74; 40; 24; 49; 37; 12; 97; 64; 60; 96; 58; 79; 44; 80; 76; 77; 75; 94; 67; 81], [[51; 18; 78; 7]; [10; 83; 90; 16; 68]; [47; 9; 65]; [29; 85; 95; 84; 59; 20]; [43; 73; 56; 34]; [41; 88; 14; 6]; [63; 13; 8; 69]; [21; 28; 5]; [4; 52; 87]; [2; 26; 25]; [86; 0; 31; 39]; [71; 61; 48; 55; 22]; [15; 1; 30]; [32; 23; 42; 54]; [35; 36; 93; 99; 89; 19]; [27; 82; 46; 62; 98; 50]; [91; 70; 38; 45; 3]; [11; 53; 17; 72]; [57; 66; 33; 92; 74; 40]; [24; 49; 37]; [12; 97; 64; 60; 96; 58; 79]; [44; 80; 76; 77; 75; 94; 67; 81]], [100000; 98500; 71600; 99800; 78800; 99400; 100000; 98200; 63800; 100000; 97600; 99600; 99600; 99300; 97500; 99500; 99600; 100000; 99700; 75400; 100000; 97500], 3600, 3601, 0.08318233489990234
39, 22, 0.9230961818181819, [49; 77; 66; 61; 63; 45; 3; 83; 47; 16; 26; 10; 19; 92; 44; 99; 33; 46; 97; 51; 30; 18; 9; 85; 14; 89; 58; 11; 37; 6; 36; 65; 22; 73; 54; 4; 69; 40; 27; 87; 96; 50; 29; 32; 2; 7; 90; 67; 62; 43; 13; 24; 15; 34; 48; 28; 94; 52; 72; 93; 53; 35; 5; 42; 56; 41; 38; 57; 64; 75; 17; 91; 20; 39; 84; 81; 74; 60; 68; 8; 78; 95; 0; 86; 70; 59; 21; 1; 71; 12; 82; 80; 25; 23; 31; 79; 88; 55; 98; 76], [[49; 77; 66; 61; 63; 45]; [3; 83; 47; 16]; [26; 10; 19]; [92; 44; 99; 33; 46; 97; 51]; [30; 18; 9]; [85; 14; 89; 58; 11]; [37; 6; 36; 65]; [22; 73; 54; 4]; [69; 40; 27; 87; 96; 50]; [29; 32; 2]; [7; 90; 67; 62; 43]; [13; 24; 15]; [34; 48; 28; 94; 52]; [72; 93; 53; 35; 5]; [42; 56; 41; 38; 57]; [64; 75; 17; 91; 20]; [39; 84; 81; 74; 60; 68]; [8; 78; 95; 0; 86]; [70; 59; 21; 1]; [71; 12; 82; 80; 25]; [23; 31; 79; 88; 55; 98]; [76]], [99900; 99900; 99800; 99800; 98000; 99700; 99500; 99800; 99300; 93700; 93600; 99800; 99900; 99500; 99900; 99500; 85400; 96800; 99800; 100000; 99500; 12300], 4000, 4001, 0.10188174247741699
30, 22, 0.900857727272727, [46; 42; 9; 49; 90; 18; 56; 41; 44; 67; 63; 30; 74; 33; 48; 81; 31; 85; 25; 43; 75; 19; 21; 4; 38; 11; 93; 55; 68; 10; 62; 6; 54; 60; 28; 65; 72; 32; 83; 15; 70; 7; 69; 3; 34; 2; 13; 36; 26; 50; 8; 89; 12; 22; 23; 0; 92; 45; 5; 86; 99; 64; 29; 71; 51; 87; 82; 96; 1; 52; 94; 84; 58; 78; 47; 53; 35; 88; 59; 16; 80; 40; 79; 37; 17; 98; 77; 95; 97; 73; 91; 61; 57; 66; 76; 24; 39; 14; 20; 27], [[46; 42; 9; 49]; [90; 18; 56; 41; 44]; [67; 63; 30; 74; 33]; [48; 81; 31; 85; 25]; [43; 75; 19; 21]; [4; 38; 11; 93]; [55; 68; 10; 62]; [6; 54; 60; 28]; [65; 72; 32; 83; 15]; [70; 7; 69]; [3; 34]; [2; 13; 36]; [26; 50; 8; 89]; [12; 22; 23]; [0; 92; 45; 5]; [86; 99; 64; 29; 71; 51; 87]; [82; 96; 1; 52; 94; 84; 58]; [78; 47; 53; 35; 88; 59]; [16; 80; 40; 79; 37]; [17; 98; 77; 95; 97; 73; 91; 61]; [57; 66; 76; 24; 39]; [14; 20; 27]], [98400; 99000; 99700; 99700; 99900; 98900; 82700; 98700; 99000; 63800; 63700; 96100; 93300; 99800; 99900; 96500; 100000; 99900; 99900; 90400; 98900; 97200], 3100, 3101, 0.07810139656066895
38, 22, 0.9020242727272726, [4; 65; 51; 39; 43; 27; 72; 47; 85; 12; 13; 66; 60; 32; 28; 31; 70; 9; 14; 89; 71; 79; 50; 40; 62; 93; 95; 20; 56; 57; 45; 76; 17; 23; 92; 54; 83; 41; 2; 53; 48; 80; 58; 8; 15; 99; 6; 73; 24; 61; 64; 7; 19; 63; 29; 11; 5; 46; 98; 38; 42; 55; 69; 33; 10; 0; 3; 87; 90; 94; 88; 16; 67; 22; 81; 84; 75; 35; 21; 30; 91; 44; 78; 18; 37; 25; 86; 59; 49; 36; 82; 97; 26; 77; 68; 96; 1; 74; 34; 52], [[4; 65; 51; 39]; [43; 27; 72; 47; 85]; [12; 13; 66; 60]; [32; 28; 31; 70]; [9; 14; 89; 71; 79]; [50; 40; 62; 93; 95; 20]; [56; 57; 45; 76]; [17; 23; 92; 54; 83]; [41; 2; 53; 48]; [80; 58; 8; 15; 99]; [6; 73; 24; 61]; [64; 7; 19; 63]; [29; 11; 5]; [46; 98; 38; 42; 55; 69]; [33; 10]; [0; 3; 87; 90; 94; 88]; [16; 67; 22; 81; 84]; [75; 35; 21]; [30; 91; 44; 78; 18]; [37; 25; 86; 59; 49]; [36; 82; 97; 26; 77; 68; 96]; [1; 74; 34; 52]], [94600; 94600; 99800; 99100; 99800; 99800; 66900; 97600; 97800; 98500; 97600; 100000; 100000; 99600; 63100; 99400; 99900; 71400; 99800; 99900; 99600; 96600], 3900, 3901, 0.09374356269836426
26, 22, 0.9006004545454545, [8; 99; 22; 84; 54; 10; 89; 21; 3; 26; 61; 62; 14; 77; 83; 53; 87; 72; 37; 45; 68; 96; 1; 50; 74; 12; 17; 29; 9; 43; 64; 65; 13; 71; 18; 24; 5; 2; 56; 38; 40; 67; 73; 57; 86; 55; 27; 23; 52; 11; 63; 41; 32; 59; 75; 0; 15; 60; 47; 93; 76; 58; 30; 7; 25; 33; 92; 31; 39; 28; 97; 78; 51; 95; 48; 85; 94; 46; 42; 90; 79; 49; 35; 6; 20; 19; 16; 4; 98; 88; 36; 70; 69; 91; 34; 44; 66; 81; 82; 80], [[8; 99; 22; 84; 54]; [10; 89; 21]; [3; 26; 61; 62]; [14; 77; 83; 53; 87; 72]; [37; 45; 68; 96; 1]; [50; 74; 12]; [17; 29; 9]; [43; 64; 65; 13; 71]; [18; 24]; [5; 2; 56]; [38; 40; 67; 73; 57; 86]; [55; 27; 23; 52]; [11; 63; 41; 32]; [59; 75; 0; 15]; [60; 47; 93; 76; 58; 30]; [7; 25; 33]; [92; 31; 39; 28; 97; 78]; [51; 95; 48; 85; 94; 46; 42]; [90; 79; 49; 35; 6]; [20; 19; 16]; [4; 98; 88; 36; 70; 69]; [91; 34; 44; 66; 81; 82; 80]], [97300; 74500; 99300; 95500; 99900; 67600; 98300; 99800; 65400; 90200; 98400; 99500; 99600; 99500; 99200; 95500; 99600; 99500; 98700; 99300; 99900; 98900], 2700, 2701, 0.06248044967651367
38, 22, 0.902114818181818, [87; 39; 60; 19; 49; 53; 50; 13; 34; 20; 11; 47; 44; 41; 21; 38; 27; 90; 56; 48; 35; 51; 42; 33; 46; 81; 23; 26; 7; 69; 31; 40; 12; 70; 97; 8; 76; 68; 16; 10; 58; 1; 74; 93; 96; 57; 37; 63; 78; 99; 32; 5; 88; 62; 71; 55; 89; 29; 59; 4; 91; 45; 43; 65; 2; 24; 54; 77; 9; 52; 72; 6; 25; 14; 17; 22; 61; 0; 92; 82; 73; 98; 64; 86; 3; 18; 67; 15; 75; 28; 36; 84; 95; 83; 30; 79; 85; 80; 94; 66], [[87; 39; 60; 19; 49]; [53; 50; 13; 34]; [20; 11; 47]; [44; 41; 21; 38]; [27; 90; 56; 48; 35]; [51; 42; 33; 46; 81]; [23; 26; 7]; [69; 31; 40]; [12; 70; 97; 8; 76]; [68; 16; 10; 58]; [1; 74; 93; 96; 57; 37]; [63; 78; 99; 32; 5; 88]; [62; 71; 55; 89; 29; 59]; [4; 91; 45; 43; 65]; [2; 24; 54; 77]; [9; 52; 72]; [6; 25]; [14; 17; 22]; [61; 0; 92; 82; 73; 98; 64]; [86; 3; 18; 67]; [15; 75; 28; 36]; [84; 95; 83; 30; 79; 85; 80; 94; 66]], [100000; 100000; 87900; 98700; 99800; 99800; 99700; 65600; 99300; 100000; 98900; 100000; 97400; 100000; 98700; 68600; 68200; 99900; 99900; 93200; 99900; 99900], 3900, 3901, 0.09371089935302734
34, 22, 0.9030185454545453, [83; 72; 50; 15; 43; 8; 79; 49; 19; 27; 12; 21; 42; 11; 97; 90; 36; 85; 1; 29; 18; 55; 73; 20; 4; 17; 69; 89; 40; 60; 88; 57; 68; 37; 24; 74; 38; 3; 87; 25; 39; 78; 93; 44; 7; 94; 53; 13; 92; 76; 33; 9; 65; 14; 67; 34; 54; 58; 81; 26; 30; 22; 61; 32; 91; 64; 10; 86; 63; 98; 0; 16; 52; 84; 5; 99; 59; 70; 31; 66; 41; 62; 46; 80; 95; 75; 96; 28; 35; 51; 47; 23; 45; 82; 6; 71; 48; 56; 77; 2], [[83; 72; 50; 15; 43]; [8; 79; 49; 19]; [27; 12; 21]; [42; 11; 97; 90; 36; 85]; [1; 29; 18]; [55; 73; 20; 4]; [17; 69; 89; 40; 60; 88]; [57; 68; 37; 24; 74]; [38; 3; 87; 25]; [39; 78; 93; 44; 7; 94]; [53; 13; 92; 76; 33]; [9; 65; 14; 67]; [34; 54; 58; 81]; [26; 30; 22]; [61; 32; 91; 64]; [10; 86; 63; 98]; [0; 16; 52; 84]; [5; 99; 59; 70; 31]; [66; 41; 62; 46; 80; 95; 75]; [96; 28; 35; 51; 47]; [23; 45; 82; 6]; [71; 48; 56; 77; 2]], [97800; 99700; 97800; 98600; 99600; 99700; 99800; 99400; 99400; 99900; 97800; 99800; 70700; 92700; 64700; 62600; 99300; 97000; 99800; 99800; 99500; 100000], 3500, 3501, 0.0908205509185791
42, 22, 0.9015682727272728, [20; 11; 14; 17; 23; 2; 48; 91; 6; 49; 95; 4; 92; 24; 55; 54; 41; 10; 87; 73; 30; 12; 16; 32; 88; 66; 64; 69; 76; 57; 94; 67; 77; 82; 62; 97; 22; 85; 74; 7; 90; 59; 75; 63; 15; 40; 46; 58; 8; 56; 84; 81; 42; 25; 70; 38; 39; 86; 26; 72; 37; 29; 60; 52; 3; 13; 31; 18; 61; 5; 68; 27; 21; 9; 19; 47; 34; 44; 33; 28; 45; 1; 96; 79; 80; 0; 35; 65; 43; 98; 99; 83; 51; 36; 53; 71; 50; 93; 78; 89], [[20; 11]; [14; 17; 23]; [2; 48; 91; 6]; [49; 95; 4; 92; 24]; [55; 54; 41; 10; 87]; [73; 30; 12]; [16; 32; 88; 66; 64]; [69; 76; 57; 94; 67; 77; 82; 62]; [97; 22; 85; 74; 7; 90]; [59; 75; 63; 15; 40]; [46; 58; 8; 56; 84]; [81; 42; 25; 70; 38]; [39; 86; 26; 72; 37]; [29; 60; 52]; [3; 13; 31]; [18; 61; 5; 68]; [27; 21; 9]; [19; 47; 34]; [44; 33; 28; 45]; [1; 96; 79; 80; 0]; [35; 65; 43; 98; 99; 83; 51]; [36; 53; 71; 50; 93; 78; 89]], [67400; 99800; 99100; 98000; 99700; 76600; 99000; 99600; 99000; 100000; 99300; 99900; 98900; 64500; 99700; 100000; 99200; 80600; 98900; 99700; 97500; 99000], 4300, 4301, 0.11670565605163574
37, 22, 0.9026721818181819, [2; 31; 4; 85; 1; 58; 34; 36; 30; 73; 91; 94; 53; 40; 57; 39; 65; 41; 66; 47; 29; 72; 51; 10; 15; 78; 18; 75; 67; 82; 80; 59; 98; 56; 68; 61; 63; 8; 17; 74; 7; 54; 99; 19; 44; 55; 35; 26; 86; 13; 42; 22; 33; 11; 0; 43; 93; 9; 24; 46; 45; 60; 81; 21; 25; 6; 70; 49; 77; 71; 32; 37; 69; 16; 5; 62; 84; 12; 95; 79; 27; 87; 52; 3; 50; 20; 88; 83; 97; 14; 28; 96; 48; 38; 23; 64; 89; 76; 90; 92], [[2; 31]; [4; 85; 1; 58]; [34; 36; 30; 73; 91]; [94; 53; 40; 57; 39; 65]; [41; 66; 47; 29; 72]; [51; 10; 15; 78]; [18; 75; 67; 82; 80; 59; 98]; [56; 68; 61; 63; 8]; [17; 74; 7; 54]; [99; 19; 44; 55; 35]; [26; 86; 13; 42]; [22; 33; 11]; [0; 43; 93; 9]; [24; 46; 45; 60; 81]; [21; 25]; [6; 70; 49; 77; 71]; [32; 37; 69; 16]; [5; 62; 84; 12; 95]; [79; 27; 87; 52]; [3; 50; 20; 88]; [83; 97; 14; 28; 96; 48]; [38; 23; 64; 89; 76; 90; 92]], [65700; 99000; 99700; 99900; 99800; 99800; 99700; 99000; 99600; 99900; 95500; 94800; 99900; 99900; 64800; 95500; 98500; 99400; 68200; 97100; 99700; 100000], 3800, 3801, 0.09374737739562988
