Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
18, 15, 0.893858, [62; 68; 27; 19; 17; 40; 30; 59; 76; 5; 81; 61; 83; 52; 11; 56; 47; 97; 34; 95; 4; 0; 31; 15; 73; 8; 2; 78; 71; 98; 14; 50; 38; 91; 58; 41; 1; 90; 77; 35; 88; 3; 49; 43; 54; 93; 82; 53; 39; 64; 21; 45; 6; 79; 96; 70; 42; 33; 10; 9; 28; 85; 69; 29; 55; 72; 51; 46; 37; 18; 24; 57; 25; 26; 74; 86; 13; 7; 75; 36; 89; 12; 16; 48; 94; 22; 32; 80; 65; 44; 20; 66; 84; 23; 67; 60; 92; 63; 99; 87], [[62; 68; 27; 19; 17; 40]; [30; 59; 76; 5; 81; 61; 83; 52]; [11; 56; 47; 97; 34; 95]; [4; 0; 31; 15]; [73; 8; 2; 78; 71; 98; 14]; [50; 38; 91; 58; 41; 1; 90; 77]; [35; 88; 3; 49; 43; 54; 93; 82]; [53; 39; 64; 21; 45; 6]; [79; 96; 70; 42; 33; 10]; [9; 28; 85; 69; 29; 55; 72]; [51; 46; 37; 18; 24; 57]; [25; 26; 74; 86; 13]; [7; 75; 36; 89; 12; 16]; [48; 94; 22; 32; 80; 65; 44]; [20; 66; 84; 23; 67; 60; 92; 63; 99; 87]], [99800; 100000; 75100; 95200; 99700; 98600; 99300; 99900; 77000; 99800; 99900; 78100; 100000; 89800; 99400], 1900, 1901, 0.17183494567871094
23, 15, 0.9231941333333332, [56; 88; 3; 34; 8; 51; 42; 58; 55; 46; 25; 5; 26; 20; 93; 75; 89; 16; 84; 99; 57; 27; 35; 1; 24; 48; 72; 6; 33; 95; 60; 9; 68; 30; 17; 13; 19; 59; 98; 15; 21; 31; 63; 87; 92; 70; 83; 44; 52; 0; 38; 91; 10; 76; 37; 61; 12; 39; 22; 43; 80; 50; 69; 71; 32; 96; 53; 79; 85; 11; 65; 49; 97; 74; 23; 28; 14; 7; 2; 4; 29; 18; 81; 45; 86; 54; 36; 40; 47; 67; 66; 64; 41; 90; 77; 62; 94; 78; 82; 73], [[56; 88; 3; 34; 8; 51]; [42; 58; 55; 46; 25; 5]; [26; 20; 93; 75; 89; 16; 84; 99; 57]; [27; 35; 1; 24; 48]; [72; 6; 33; 95; 60; 9; 68]; [30; 17; 13; 19; 59]; [98; 15; 21; 31; 63; 87; 92; 70; 83]; [44; 52; 0; 38; 91; 10]; [76; 37; 61; 12; 39; 22]; [43; 80; 50; 69; 71; 32; 96; 53; 79; 85]; [11; 65; 49; 97; 74; 23; 28]; [14; 7; 2; 4]; [29; 18; 81; 45; 86; 54; 36]; [40; 47; 67; 66; 64; 41; 90; 77; 62; 94]; [78; 82; 73]], [99600; 99700; 99600; 99100; 99900; 100000; 99800; 99300; 95100; 99900; 100000; 99600; 98500; 99800; 21700], 2400, 2401, 0.04687690734863281
18, 15, 0.9115386666666665, [7; 1; 68; 13; 95; 69; 90; 65; 2; 85; 4; 75; 28; 3; 14; 9; 8; 39; 46; 6; 54; 37; 45; 82; 0; 51; 89; 87; 71; 48; 34; 38; 23; 16; 15; 66; 77; 25; 35; 53; 63; 29; 32; 83; 26; 12; 17; 80; 31; 24; 42; 50; 5; 30; 88; 97; 41; 49; 86; 70; 22; 64; 57; 58; 92; 74; 43; 84; 21; 55; 19; 61; 72; 36; 73; 96; 18; 11; 79; 20; 33; 76; 40; 10; 60; 59; 47; 56; 93; 94; 67; 52; 44; 78; 62; 81; 91; 99; 27; 98], [[7; 1; 68; 13; 95; 69; 90]; [65; 2; 85; 4; 75; 28]; [3; 14; 9; 8]; [39; 46; 6; 54; 37; 45]; [82; 0; 51; 89; 87; 71; 48; 34]; [38; 23; 16; 15; 66; 77]; [25; 35; 53; 63; 29; 32]; [83; 26; 12; 17; 80; 31]; [24; 42; 50; 5; 30; 88]; [97; 41; 49; 86; 70; 22; 64; 57]; [58; 92; 74; 43; 84; 21; 55; 19]; [61; 72; 36; 73; 96; 18; 11; 79]; [20; 33; 76; 40; 10; 60]; [59; 47; 56; 93; 94; 67; 52; 44; 78; 62]; [81; 91; 99; 27; 98]], [100000; 94000; 98600; 99300; 98200; 99700; 100000; 100000; 100000; 88600; 99900; 99200; 99800; 99400; 34900], 1900, 1901, 0.04660534858703613
25, 15, 0.9233298666666665, [23; 42; 36; 17; 28; 95; 96; 54; 45; 75; 43; 84; 44; 1; 91; 80; 53; 26; 81; 27; 39; 63; 3; 78; 46; 56; 38; 13; 65; 52; 31; 58; 30; 4; 25; 48; 21; 67; 10; 68; 69; 11; 89; 29; 34; 55; 64; 12; 76; 49; 35; 2; 74; 99; 94; 14; 70; 92; 97; 51; 83; 47; 8; 37; 0; 32; 90; 72; 7; 50; 61; 86; 98; 59; 79; 40; 57; 18; 16; 5; 19; 24; 71; 33; 85; 87; 22; 9; 6; 62; 60; 15; 20; 82; 73; 93; 41; 77; 66; 88], [[23; 42; 36; 17; 28; 95]; [96; 54; 45; 75; 43; 84; 44; 1]; [91; 80; 53; 26; 81; 27; 39; 63]; [3; 78; 46; 56; 38; 13]; [65; 52; 31; 58; 30; 4]; [25; 48; 21; 67; 10; 68]; [69; 11; 89; 29; 34; 55; 64]; [12; 76; 49; 35; 2; 74; 99]; [94; 14; 70; 92; 97; 51; 83; 47; 8]; [37; 0; 32; 90; 72; 7]; [50; 61; 86; 98; 59; 79; 40; 57; 18]; [16; 5; 19; 24; 71]; [33; 85; 87; 22; 9; 6]; [62; 60; 15; 20; 82; 73; 93; 41]; [77; 66; 88]], [98800; 99900; 97000; 99100; 100000; 100000; 99000; 98000; 99800; 99800; 99500; 99200; 100000; 100000; 21500], 2600, 2601, 0.06254768371582031
11, 15, 0.9093142666666665, [64; 8; 26; 74; 45; 75; 33; 87; 37; 13; 17; 63; 96; 12; 76; 2; 30; 31; 86; 19; 95; 1; 18; 73; 53; 41; 10; 99; 35; 28; 48; 85; 16; 38; 42; 3; 39; 97; 98; 68; 52; 9; 61; 59; 23; 65; 55; 6; 54; 21; 50; 46; 78; 11; 36; 93; 29; 81; 20; 60; 84; 14; 5; 69; 15; 56; 89; 80; 92; 83; 44; 91; 27; 94; 49; 67; 7; 58; 40; 66; 24; 47; 43; 62; 71; 72; 77; 22; 4; 88; 25; 0; 51; 70; 82; 57; 90; 79; 34; 32], [[64; 8; 26; 74; 45; 75]; [33; 87; 37; 13; 17; 63; 96]; [12; 76; 2; 30; 31]; [86; 19; 95; 1; 18; 73; 53]; [41; 10; 99; 35; 28; 48; 85]; [16; 38; 42; 3; 39; 97; 98]; [68; 52; 9; 61; 59; 23; 65]; [55; 6; 54; 21; 50; 46]; [78; 11; 36; 93; 29; 81; 20]; [60; 84; 14; 5; 69; 15]; [56; 89; 80; 92; 83; 44; 91; 27; 94; 49; 67]; [7; 58; 40; 66; 24; 47]; [43; 62; 71; 72; 77; 22; 4; 88]; [25; 0; 51; 70; 82; 57; 90; 79]; [34; 32]], [85500; 99300; 97200; 99800; 99200; 99300; 99100; 100000; 100000; 97800; 99700; 97300; 100000; 99400; 38000], 1200, 1201, 0.0312345027923584
22, 15, 0.9214957333333331, [30; 0; 78; 22; 5; 42; 43; 29; 86; 40; 88; 51; 66; 2; 81; 95; 49; 15; 16; 89; 6; 47; 57; 53; 69; 10; 7; 54; 48; 52; 9; 61; 67; 36; 12; 45; 91; 65; 27; 37; 4; 17; 63; 8; 21; 46; 55; 74; 41; 1; 80; 96; 84; 3; 77; 73; 20; 79; 59; 90; 34; 31; 13; 71; 14; 39; 18; 62; 75; 87; 28; 35; 99; 24; 98; 23; 93; 70; 97; 68; 56; 25; 44; 50; 11; 32; 38; 60; 76; 26; 83; 58; 94; 19; 64; 33; 72; 92; 85; 82], [[30; 0; 78; 22; 5]; [42; 43; 29; 86; 40; 88; 51; 66]; [2; 81; 95; 49; 15; 16; 89]; [6; 47; 57; 53; 69; 10]; [7; 54; 48; 52; 9; 61]; [67; 36; 12; 45; 91; 65; 27]; [37; 4; 17; 63; 8]; [21; 46; 55; 74; 41; 1]; [80; 96; 84; 3; 77; 73; 20; 79; 59; 90]; [34; 31; 13; 71; 14]; [39; 18; 62; 75; 87; 28; 35; 99]; [24; 98; 23; 93; 70; 97; 68; 56; 25]; [44; 50; 11; 32; 38; 60]; [76; 26; 83; 58; 94; 19; 64; 33]; [72; 92; 85; 82]], [99900; 100000; 100000; 97300; 100000; 99300; 99200; 98200; 100000; 95000; 99800; 99800; 99900; 99800; 23400], 2300, 2301, 0.05379915237426758
21, 15, 0.9099406666666666, [60; 8; 83; 96; 76; 37; 95; 94; 7; 97; 92; 78; 88; 68; 11; 9; 12; 67; 47; 50; 32; 57; 74; 61; 13; 5; 21; 4; 46; 20; 98; 54; 82; 25; 69; 55; 79; 22; 77; 28; 34; 42; 63; 45; 91; 75; 1; 62; 70; 84; 17; 19; 29; 65; 85; 49; 73; 71; 59; 24; 38; 26; 36; 53; 52; 72; 6; 56; 0; 2; 58; 90; 30; 23; 41; 14; 93; 15; 48; 31; 33; 27; 99; 80; 16; 66; 40; 44; 51; 39; 18; 64; 86; 10; 89; 35; 43; 3; 87; 81], [[60; 8; 83; 96; 76; 37; 95; 94; 7]; [97; 92; 78; 88; 68; 11; 9; 12]; [67; 47; 50; 32; 57; 74; 61]; [13; 5; 21; 4]; [46; 20; 98; 54; 82; 25; 69; 55]; [79; 22; 77; 28; 34; 42; 63]; [45; 91; 75; 1; 62; 70; 84; 17]; [19; 29; 65; 85; 49; 73; 71; 59]; [24; 38; 26; 36; 53; 52]; [72; 6; 56; 0; 2]; [58; 90; 30; 23; 41; 14; 93]; [15; 48; 31; 33; 27; 99]; [80; 16; 66; 40; 44; 51; 39]; [18; 64; 86; 10; 89; 35; 43]; [3; 87; 81]], [99000; 98900; 87300; 95800; 99600; 99800; 99400; 99800; 99700; 97500; 99800; 99200; 99700; 99200; 36900], 2200, 2201, 0.046843767166137695
17, 15, 0.9180646666666666, [47; 78; 94; 57; 30; 35; 34; 76; 71; 75; 28; 43; 95; 53; 67; 16; 73; 58; 62; 96; 26; 79; 50; 0; 59; 66; 46; 5; 98; 61; 22; 38; 3; 63; 86; 1; 36; 52; 25; 81; 20; 32; 51; 88; 56; 54; 11; 97; 41; 91; 87; 12; 19; 77; 72; 84; 74; 55; 60; 4; 89; 68; 18; 37; 2; 85; 65; 82; 49; 64; 9; 8; 14; 99; 45; 29; 24; 15; 39; 48; 31; 6; 7; 42; 92; 44; 13; 21; 90; 33; 70; 93; 10; 40; 80; 69; 27; 17; 23; 83], [[47; 78; 94; 57; 30; 35; 34; 76]; [71; 75; 28; 43; 95; 53; 67; 16]; [73; 58; 62; 96; 26; 79; 50; 0]; [59; 66; 46; 5; 98; 61; 22]; [38; 3; 63; 86; 1; 36]; [52; 25; 81; 20; 32; 51; 88]; [56; 54; 11; 97; 41; 91; 87; 12]; [19; 77; 72; 84; 74; 55; 60; 4]; [89; 68; 18; 37; 2; 85; 65; 82]; [49; 64; 9; 8; 14; 99]; [45; 29; 24; 15; 39]; [48; 31; 6; 7; 42]; [92; 44; 13; 21; 90; 33; 70; 93]; [10; 40; 80; 69; 27; 17]; [23; 83]], [99700; 99500; 100000; 94400; 99600; 99900; 99400; 99800; 100000; 99400; 94900; 99900; 99400; 98700; 27000], 1800, 1801, 0.046918630599975586
22, 15, 0.9124627999999999, [13; 41; 85; 90; 96; 67; 35; 21; 82; 27; 88; 25; 73; 44; 64; 77; 86; 65; 17; 14; 10; 33; 80; 84; 36; 30; 62; 92; 42; 79; 46; 20; 60; 58; 89; 53; 39; 19; 66; 95; 34; 59; 94; 9; 68; 26; 48; 76; 32; 93; 0; 6; 23; 98; 31; 47; 61; 71; 18; 5; 15; 69; 75; 55; 78; 38; 3; 7; 54; 8; 29; 81; 4; 63; 91; 2; 74; 11; 72; 1; 49; 99; 12; 24; 45; 50; 37; 56; 52; 70; 22; 16; 40; 28; 57; 83; 97; 43; 87; 51], [[13; 41; 85; 90; 96; 67; 35; 21]; [82; 27; 88; 25; 73; 44; 64; 77; 86]; [65; 17; 14; 10; 33]; [80; 84; 36; 30; 62; 92; 42; 79; 46]; [20; 60; 58; 89; 53; 39; 19]; [66; 95; 34; 59; 94; 9; 68; 26]; [48; 76; 32; 93; 0; 6]; [23; 98; 31; 47; 61; 71; 18]; [5; 15; 69; 75; 55; 78; 38]; [3; 7; 54; 8]; [29; 81; 4; 63; 91; 2; 74]; [11; 72; 1; 49; 99; 12]; [24; 45; 50; 37; 56; 52; 70]; [22; 16; 40; 28; 57; 83; 97]; [43; 87; 51]], [99900; 97900; 99900; 99800; 99900; 99900; 95900; 99100; 100000; 87500; 99600; 98800; 100000; 99500; 33900], 2300, 2301, 0.04686903953552246
14, 15, 0.9090333333333334, [87; 73; 96; 66; 92; 16; 58; 50; 69; 67; 85; 60; 59; 75; 28; 79; 39; 3; 7; 33; 56; 54; 20; 9; 4; 10; 12; 82; 80; 17; 18; 45; 24; 84; 5; 32; 46; 68; 25; 63; 99; 11; 37; 2; 65; 51; 74; 14; 35; 15; 27; 43; 1; 0; 41; 48; 42; 23; 70; 52; 47; 93; 86; 89; 8; 44; 6; 30; 62; 36; 71; 26; 64; 40; 94; 77; 72; 57; 13; 55; 98; 34; 29; 88; 49; 90; 31; 95; 38; 22; 83; 21; 53; 19; 61; 78; 97; 76; 91; 81], [[87; 73; 96; 66; 92; 16; 58; 50; 69; 67; 85]; [60; 59; 75; 28; 79; 39; 3]; [7; 33; 56; 54; 20]; [9; 4; 10; 12]; [82; 80; 17; 18; 45; 24; 84]; [5; 32; 46; 68; 25; 63]; [99; 11; 37; 2; 65; 51; 74]; [14; 35; 15; 27; 43]; [1; 0; 41; 48; 42]; [23; 70; 52; 47; 93; 86; 89; 8]; [44; 6; 30; 62; 36; 71]; [26; 64; 40; 94; 77; 72; 57; 13]; [55; 98; 34; 29; 88; 49; 90; 31; 95]; [38; 22; 83; 21; 53; 19]; [61; 78; 97; 76; 91; 81]], [100000; 98400; 90700; 98500; 99900; 98600; 99800; 99900; 98200; 94900; 95700; 99700; 100000; 99700; 37600], 1500, 1501, 0.03130817413330078
