Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
33, 12, 0.9008210000000001, [46; 39; 21; 3; 54; 78; 95; 73; 83; 94; 7; 33; 24; 82; 6; 89; 66; 85; 44; 22; 1; 10; 5; 12; 19; 27; 8; 23; 0; 16; 48; 35; 14; 15; 65; 30; 51; 75; 55; 29; 70; 49; 57; 80; 64; 41; 47; 67; 71; 76; 9; 11; 36; 53; 37; 42; 62; 4; 72; 32; 28; 40; 69; 63; 99; 56; 25; 43; 96; 60; 13; 79; 58; 52; 20; 74; 2; 45; 92; 84; 68; 77; 61; 26; 31; 34; 17; 59; 93; 50; 38; 91; 18; 87; 98; 90; 88; 97; 86; 81], [[46; 39; 21; 3; 54; 78; 95; 73; 83]; [94; 7; 33; 24; 82; 6; 89; 66; 85]; [44; 22; 1; 10; 5; 12; 19; 27]; [8; 23; 0; 16; 48; 35; 14; 15]; [65; 30; 51; 75; 55; 29; 70; 49]; [57; 80; 64; 41; 47; 67; 71; 76]; [9; 11; 36; 53; 37; 42; 62; 4]; [72; 32; 28; 40; 69; 63; 99; 56; 25]; [43; 96; 60; 13; 79; 58; 52; 20; 74]; [2; 45; 92; 84; 68; 77; 61; 26; 31]; [34; 17; 59; 93; 50; 38; 91; 18; 87]; [98; 90; 88; 97; 86; 81]], [100000; 100000; 100000; 99600; 89700; 87200; 96000; 99900; 100000; 100000; 99900; 57900], 3400, 3401, 0.07812094688415527
29, 12, 0.9141271666666668, [29; 94; 25; 22; 10; 60; 93; 74; 70; 2; 26; 7; 19; 1; 69; 11; 9; 12; 47; 57; 62; 52; 21; 64; 24; 41; 13; 97; 88; 51; 68; 80; 16; 39; 0; 66; 3; 38; 18; 8; 14; 50; 5; 76; 33; 43; 92; 40; 75; 63; 72; 95; 6; 46; 15; 77; 81; 99; 27; 30; 35; 54; 45; 59; 42; 82; 71; 28; 90; 31; 84; 61; 53; 36; 79; 34; 44; 83; 32; 37; 96; 20; 86; 48; 67; 56; 55; 23; 85; 65; 17; 58; 49; 4; 98; 87; 73; 78; 91; 89], [[29; 94; 25; 22; 10; 60; 93; 74; 70]; [2; 26; 7; 19; 1; 69; 11; 9]; [12; 47; 57; 62; 52; 21; 64; 24]; [41; 13; 97; 88; 51; 68; 80; 16; 39]; [0; 66; 3; 38; 18; 8; 14; 50]; [5; 76; 33; 43; 92; 40; 75; 63; 72]; [95; 6; 46; 15; 77; 81; 99; 27; 30]; [35; 54; 45; 59; 42; 82; 71; 28; 90]; [31; 84; 61; 53; 36; 79; 34; 44; 83]; [32; 37; 96; 20; 86; 48; 67; 56; 55]; [23; 85; 65; 17; 58; 49; 4; 98; 87]; [73; 78; 91; 89]], [99800; 99700; 92800; 100000; 98200; 99800; 100000; 99900; 100000; 100000; 100000; 40000], 3000, 3001, 0.07805371284484863
25, 12, 0.9067596666666667, [76; 58; 60; 70; 35; 21; 82; 46; 67; 79; 83; 47; 63; 12; 53; 41; 81; 3; 2; 19; 37; 7; 15; 69; 13; 73; 36; 24; 93; 54; 66; 77; 44; 23; 27; 20; 31; 10; 5; 14; 4; 29; 65; 22; 18; 86; 72; 28; 84; 87; 30; 78; 16; 11; 61; 34; 1; 45; 64; 8; 62; 50; 74; 26; 55; 25; 88; 95; 96; 6; 56; 57; 33; 43; 51; 94; 49; 92; 98; 71; 80; 32; 0; 17; 38; 59; 39; 99; 48; 9; 52; 42; 40; 75; 89; 85; 90; 91; 68; 97], [[76; 58; 60; 70; 35; 21; 82; 46; 67]; [79; 83; 47; 63; 12; 53; 41; 81]; [3; 2; 19; 37; 7; 15; 69; 13]; [73; 36; 24; 93; 54; 66; 77; 44; 23]; [27; 20; 31; 10; 5; 14; 4; 29]; [65; 22; 18; 86; 72; 28; 84; 87; 30]; [78; 16; 11; 61; 34; 1; 45; 64]; [8; 62; 50; 74; 26; 55; 25; 88; 95]; [96; 6; 56; 57; 33; 43; 51; 94; 49]; [92; 98; 71; 80; 32; 0; 17; 38; 59]; [39; 99; 48; 9; 52; 42; 40; 75; 89]; [85; 90; 91; 68; 97]], [99900; 88500; 99200; 100000; 99900; 100000; 93900; 99800; 100000; 100000; 100000; 49000], 2600, 2601, 0.054780006408691406
27, 12, 0.9015318333333334, [19; 65; 97; 34; 59; 63; 73; 12; 62; 50; 51; 70; 49; 29; 84; 25; 80; 71; 72; 47; 43; 57; 14; 32; 68; 93; 89; 91; 13; 44; 77; 79; 36; 27; 30; 64; 52; 81; 11; 45; 88; 38; 85; 48; 7; 28; 20; 15; 9; 39; 0; 58; 18; 53; 96; 55; 17; 74; 86; 37; 23; 4; 22; 6; 16; 26; 31; 5; 42; 3; 83; 40; 2; 1; 10; 24; 82; 69; 21; 33; 35; 46; 76; 66; 78; 41; 61; 8; 60; 67; 54; 56; 75; 98; 94; 87; 92; 99; 90; 95], [[19; 65; 97; 34; 59; 63; 73; 12]; [62; 50; 51; 70; 49; 29; 84; 25; 80]; [71; 72; 47; 43; 57; 14; 32; 68; 93]; [89; 91; 13; 44; 77; 79; 36; 27]; [30; 64; 52; 81; 11; 45; 88; 38; 85]; [48; 7; 28; 20; 15; 9; 39; 0]; [58; 18; 53; 96; 55; 17; 74; 86; 37]; [23; 4; 22; 6; 16; 26; 31; 5]; [42; 3; 83; 40; 2; 1; 10; 24]; [82; 69; 21; 33; 35; 46; 76; 66; 78]; [41; 61; 8; 60; 67; 54; 56; 75; 98]; [94; 87; 92; 99; 90; 95]], [89400; 99900; 100000; 88100; 100000; 99300; 99900; 100000; 97700; 100000; 99300; 56600], 2800, 2801, 0.06244230270385742
28, 12, 0.9131438333333334, [72; 63; 89; 70; 47; 36; 53; 9; 88; 2; 4; 0; 10; 48; 16; 30; 31; 34; 20; 33; 92; 65; 97; 27; 28; 73; 91; 58; 43; 96; 7; 44; 45; 56; 51; 80; 71; 64; 22; 61; 78; 17; 40; 77; 82; 32; 60; 66; 86; 5; 81; 68; 23; 62; 55; 42; 6; 57; 76; 74; 35; 49; 79; 69; 59; 95; 37; 15; 84; 11; 50; 18; 14; 94; 29; 83; 67; 93; 38; 3; 13; 8; 21; 39; 12; 26; 19; 41; 46; 87; 25; 52; 99; 1; 24; 98; 85; 54; 90; 75], [[72; 63; 89; 70; 47; 36; 53; 9; 88]; [2; 4; 0; 10; 48; 16; 30; 31]; [34; 20; 33; 92; 65; 97; 27; 28; 73]; [91; 58; 43; 96; 7; 44; 45; 56; 51]; [80; 71; 64; 22; 61; 78; 17; 40; 77]; [82; 32; 60; 66; 86; 5; 81; 68; 23]; [62; 55; 42; 6; 57; 76; 74; 35]; [49; 79; 69; 59; 95; 37; 15; 84; 11]; [50; 18; 14; 94; 29; 83; 67; 93; 38]; [3; 13; 8; 21; 39; 12; 26; 19]; [41; 46; 87; 25; 52; 99; 1; 24; 98]; [85; 54; 90; 75]], [98900; 100000; 100000; 100000; 100000; 99900; 90500; 100000; 99900; 100000; 99700; 41300], 2900, 2901, 0.0625455379486084
23, 12, 0.8952638333333334, [76; 93; 14; 57; 72; 23; 62; 75; 10; 41; 59; 49; 52; 82; 13; 54; 27; 84; 95; 37; 88; 3; 42; 80; 31; 36; 81; 66; 11; 99; 78; 19; 21; 79; 55; 35; 26; 98; 67; 0; 68; 90; 47; 28; 1; 96; 65; 70; 63; 89; 5; 69; 39; 32; 87; 29; 43; 64; 83; 34; 25; 20; 24; 56; 51; 22; 53; 48; 7; 15; 4; 17; 18; 16; 12; 60; 58; 77; 61; 38; 44; 71; 46; 50; 74; 45; 2; 6; 8; 30; 9; 40; 33; 91; 92; 97; 73; 85; 86; 94], [[76; 93; 14; 57; 72; 23; 62; 75]; [10; 41; 59; 49; 52; 82; 13; 54]; [27; 84; 95; 37; 88; 3; 42; 80; 31]; [36; 81; 66; 11; 99; 78; 19; 21; 79]; [55; 35; 26; 98; 67; 0; 68; 90; 47]; [28; 1; 96; 65; 70; 63; 89; 5; 69]; [39; 32; 87; 29; 43; 64; 83; 34]; [25; 20; 24; 56; 51; 22; 53; 48]; [7; 15; 4; 17; 18; 16; 12; 60]; [58; 77; 61; 38; 44; 71; 46; 50; 74]; [45; 2; 6; 8; 30; 9; 40; 33]; [91; 92; 97; 73; 85; 86; 94]], [87600; 92300; 100000; 100000; 100000; 100000; 90100; 94000; 99900; 99700; 98900; 67700], 2400, 2401, 0.06242561340332031
28, 12, 0.9014566666666667, [72; 54; 20; 27; 65; 33; 78; 63; 79; 29; 58; 53; 41; 70; 67; 62; 43; 66; 89; 68; 0; 46; 42; 36; 99; 52; 56; 28; 47; 40; 92; 59; 97; 16; 87; 85; 51; 13; 22; 75; 24; 60; 82; 6; 23; 38; 39; 61; 49; 8; 2; 64; 37; 86; 18; 90; 73; 55; 57; 17; 10; 35; 4; 48; 11; 15; 19; 5; 45; 26; 25; 31; 83; 88; 91; 77; 14; 80; 30; 81; 7; 76; 71; 74; 32; 69; 9; 3; 50; 1; 12; 21; 34; 44; 84; 95; 96; 93; 98; 94], [[72; 54; 20; 27; 65; 33; 78; 63]; [79; 29; 58; 53; 41; 70; 67; 62]; [43; 66; 89; 68; 0; 46; 42; 36; 99]; [52; 56; 28; 47; 40; 92; 59; 97; 16]; [87; 85; 51; 13; 22; 75; 24; 60; 82]; [6; 23; 38; 39; 61; 49; 8; 2]; [64; 37; 86; 18; 90; 73; 55; 57; 17]; [10; 35; 4; 48; 11; 15; 19; 5]; [45; 26; 25; 31; 83; 88; 91; 77; 14]; [80; 30; 81; 7; 76; 71; 74; 32; 69]; [9; 3; 50; 1; 12; 21; 34; 44]; [84; 95; 96; 93; 98; 94]], [89900; 88600; 100000; 100000; 100000; 97000; 99900; 100000; 100000; 99400; 98900; 56500], 2900, 2901, 0.07905077934265137
25, 12, 0.8957241666666667, [14; 19; 7; 74; 26; 42; 31; 16; 49; 86; 75; 27; 84; 33; 48; 82; 8; 13; 15; 50; 10; 0; 24; 23; 77; 94; 88; 58; 5; 30; 80; 18; 45; 99; 79; 44; 39; 72; 76; 1; 36; 46; 2; 6; 28; 9; 3; 38; 53; 12; 52; 60; 51; 22; 61; 85; 57; 63; 40; 21; 69; 34; 90; 54; 67; 20; 70; 37; 93; 91; 4; 32; 83; 17; 59; 62; 55; 47; 41; 56; 68; 64; 73; 43; 11; 71; 29; 35; 81; 65; 25; 89; 87; 95; 66; 97; 92; 78; 96; 98], [[14; 19; 7; 74; 26; 42; 31; 16]; [49; 86; 75; 27; 84; 33; 48; 82]; [8; 13; 15; 50; 10; 0; 24; 23]; [77; 94; 88; 58; 5; 30; 80; 18; 45]; [99; 79; 44; 39; 72; 76; 1; 36; 46]; [2; 6; 28; 9; 3; 38; 53; 12]; [52; 60; 51; 22; 61; 85; 57; 63]; [40; 21; 69; 34; 90; 54; 67; 20]; [70; 37; 93; 91; 4; 32; 83; 17; 59]; [62; 55; 47; 41; 56; 68; 64; 73; 43]; [11; 71; 29; 35; 81; 65; 25; 89; 87]; [95; 66; 97; 92; 78; 96; 98]], [96800; 87300; 100000; 99900; 100000; 99500; 88700; 90800; 100000; 99900; 99900; 67400], 2600, 2601, 0.06243300437927246
22, 12, 0.9157456666666667, [51; 79; 16; 94; 82; 11; 59; 43; 62; 26; 97; 28; 53; 32; 95; 49; 21; 81; 64; 4; 75; 7; 36; 57; 19; 84; 90; 58; 60; 56; 69; 98; 25; 17; 14; 74; 52; 38; 91; 1; 72; 89; 13; 61; 35; 8; 34; 9; 5; 18; 31; 6; 44; 78; 65; 41; 55; 76; 24; 80; 45; 12; 68; 23; 2; 3; 20; 0; 15; 67; 33; 40; 85; 77; 50; 86; 39; 29; 22; 70; 30; 66; 10; 73; 63; 54; 99; 42; 37; 48; 27; 92; 71; 47; 46; 83; 87; 96; 93; 88], [[51; 79; 16; 94; 82; 11; 59; 43; 62]; [26; 97; 28; 53; 32; 95; 49; 21; 81]; [64; 4; 75; 7; 36; 57; 19; 84]; [90; 58; 60; 56; 69; 98; 25; 17; 14]; [74; 52; 38; 91; 1; 72; 89; 13; 61]; [35; 8; 34; 9; 5; 18; 31; 6]; [44; 78; 65; 41; 55; 76; 24; 80; 45]; [12; 68; 23; 2; 3; 20; 0; 15]; [67; 33; 40; 85; 77; 50; 86; 39; 29]; [22; 70; 30; 66; 10; 73; 63; 54; 99]; [42; 37; 48; 27; 92; 71; 47; 46; 83]; [87; 96; 93; 88]], [100000; 99700; 92600; 99900; 100000; 100000; 100000; 99800; 99900; 99900; 100000; 38400], 2300, 2301, 0.04682636260986328
34, 12, 0.9016799999999999, [93; 32; 95; 73; 42; 62; 40; 19; 35; 52; 36; 78; 65; 15; 84; 81; 59; 2; 0; 49; 11; 14; 27; 10; 24; 71; 34; 37; 85; 68; 47; 48; 79; 20; 4; 9; 29; 16; 41; 12; 21; 76; 61; 82; 13; 56; 22; 28; 89; 77; 53; 7; 25; 8; 46; 54; 3; 6; 50; 99; 67; 60; 64; 5; 38; 80; 30; 23; 51; 88; 31; 43; 83; 70; 44; 63; 55; 26; 69; 75; 39; 17; 86; 72; 58; 33; 1; 57; 45; 18; 66; 74; 97; 91; 96; 87; 98; 92; 90; 94], [[93; 32; 95; 73; 42; 62; 40; 19; 35]; [52; 36; 78; 65; 15; 84; 81; 59]; [2; 0; 49; 11; 14; 27; 10; 24]; [71; 34; 37; 85; 68; 47; 48; 79]; [20; 4; 9; 29; 16; 41; 12; 21]; [76; 61; 82; 13; 56; 22; 28; 89; 77]; [53; 7; 25; 8; 46; 54; 3; 6]; [50; 99; 67; 60; 64; 5; 38; 80; 30]; [23; 51; 88; 31; 43; 83; 70; 44; 63]; [55; 26; 69; 75; 39; 17; 86; 72; 58]; [33; 1; 57; 45; 18; 66; 74; 97; 91]; [96; 87; 98; 92; 90; 94]], [99900; 88200; 100000; 88100; 99700; 100000; 97600; 100000; 100000; 100000; 100000; 56700], 3500, 3501, 0.07817840576171875
