Instancia,Iteraciones Promedio,Iteraciones DE,Contenedores Promedio,Contenedores DE,FBPP Promedio,FBPP DE,Vecinos Visitados Promedio,Vecinos Visitados DE,Tiempo Promedio,Tiempo DE 
BPP_100,59.633,12.997,22.733,0.45,0.854,0.029,7276,1559.676,0.218,0.047
BPP_12,74.133,12.219,23.133,0.346,0.855,0.02,9016,1466.221,0.278,0.047
BPP_14,59.4,11.587,22.733,0.45,0.853,0.031,7248,1390.387,0.223,0.045
BPP_2,71.833,14.911,23.1,0.305,0.851,0.018,8740,1789.371,0.272,0.063
BPP_20,75.5,14.282,23.267,0.45,0.854,0.025,9180,1713.87,0.276,0.056
BPP_33,65.5,15.745,23.033,0.414,0.853,0.026,7972,1905.901,0.238,0.057
BPP_4,64.467,12.878,22.867,0.346,0.853,0.024,7856,1545.364,0.24,0.052
BPP_42,65.933,12.008,22.833,0.379,0.853,0.027,8032,1441.011,0.245,0.046
BPP_48,61.067,13.38,22.6,0.498,0.862,0.032,7448,1605.625,0.225,0.054
BPP_6,62.4,13.806,23.033,0.414,0.847,0.025,7600,1668.532,0.237,0.054
BPP14,53.767,11.506,19.167,0.379,0.841,0.024,5476.667,1150.617,0.147,0.04
BPP15,41.3,11.876,18.833,0.379,0.854,0.028,4213.333,1205.943,0.109,0.033
BPP16,49.233,13.446,18.967,0.414,0.853,0.032,5013.333,1353.089,0.142,0.067
BPP3,50.7,10.996,19.033,0.183,0.842,0.013,5170,1099.577,0.136,0.031
BPP4,53.867,13.477,19.033,0.183,0.857,0.014,5486.667,1347.727,0.143,0.036
BPP58,43.667,9.593,18.967,0.183,0.851,0.017,4463.333,964.717,0.118,0.042
BPP60,48.833,8.722,18.933,0.254,0.862,0.023,4976.667,875.602,0.131,0.027
BPP72,57.633,11.938,19,0,0.869,0.007,5863.333,1193.801,0.153,0.031
BPP8,55.733,12.1,19.133,0.346,0.861,0.023,5673.333,1209.997,0.145,0.032
BPP85,52.433,11.165,19.167,0.379,0.858,0.024,5343.333,1116.547,0.137,0.028
Hard2,149.867,26.249,60.8,0.847,0.852,0.021,30173.333,5249.823,1.583,0.4
hBPP419,119.533,23.715,84,0.983,0.919,0.017,24106.667,4742.975,1.449,0.288
hBPP814,123.867,24.499,85.467,0.819,0.908,0.014,24973.333,4899.749,1.589,0.441
hBPP900,113.9,19.533,79,0.983,0.915,0.018,22980,3906.617,1.388,0.398
N1c1w1_o,16.667,5.013,32.9,0.403,0.818,0.018,883.333,250.631,0.029,0.027
N1c1w1_p,18.7,5.578,26.467,0.73,0.827,0.036,985,278.899,0.022,0.009
N1c1w2_c,16.2,5.61,33.933,0.691,0.815,0.027,860,280.517,0.021,0.008
N1c1w2_d,17.633,3.891,31.933,0.365,0.807,0.015,931.667,194.53,0.022,0.008
N1c1w4_d,14.8,4.559,38.3,0.466,0.766,0.015,790,227.959,0.021,0.007
N1c1w4_i,16.367,3.296,36.067,0.365,0.756,0.012,868.333,164.78,0.022,0.01
N1c2w1_b,18.567,3.884,26.367,0.49,0.78,0.024,978.333,194.175,0.019,0.006
N1c2w1_q,16.2,5.281,24.933,0.521,0.76,0.028,860,264.053,0.016,0.009
N1c2w2_f,20.533,5.438,27,0.525,0.827,0.026,1076.667,271.881,0.023,0.008
N1c2w2_l,24.133,4.732,30.067,0.254,0.756,0.011,1256.667,236.619,0.029,0.009
N1c2w4_f,19.267,5.258,32.333,0.479,0.737,0.018,1013.333,262.919,0.025,0.009
N1c2w4_l,21.767,6.072,31.167,0.379,0.778,0.015,1138.333,303.623,0.025,0.008
N1c3w1_c,17.167,6.086,18.533,0.571,0.86,0.041,908.333,304.303,0.018,0.009
N1c3w1_f,17.8,5.261,21.467,0.681,0.845,0.041,940,263.072,0.016,0.007
N1c3w2_d,18.467,6.18,21.333,0.479,0.865,0.031,973.333,308.984,0.018,0.011
N1c3w2_h,22.233,5.835,23.7,0.466,0.871,0.027,1161.667,291.75,0.026,0.009
N1c3w4_b,22.033,6.083,23.267,0.521,0.872,0.031,1151.667,304.133,0.021,0.01
N1c3w4_c,22.833,7.316,25.5,0.572,0.832,0.029,1191.667,365.797,0.025,0.013
N1w1b1r7,24.233,7.001,18.2,0.407,0.853,0.03,1261.667,350.045,0.077,0.305
N1w1b2r1,21.567,5.905,17.967,0.49,0.848,0.039,1128.333,295.274,0.019,0.007
N1w1b3r3,17.3,6.238,17.3,0.466,0.87,0.034,915,311.877,0.017,0.013
N1w2b1r8,17.533,6.174,11,0,0.859,0.013,926.667,308.705,0.013,0.008
N1w2b2r0,15.367,4.545,10.333,0.479,0.922,0.052,818.333,227.233,0.014,0.005
N1w2b3r5,12.733,4.806,10.067,0.254,0.908,0.028,686.667,240.306,0.011,0.009
N1w3b1r2,13.367,4.597,8,0,0.841,0.01,718.333,229.874,0.013,0.007
N1w3b2r9,11.5,3.472,8,0,0.849,0.014,625,173.578,0.012,0.008
N1w3b3r4,10.167,3.733,8,0,0.869,0.009,558.333,186.66,0.01,0.008
N1w4b1r3,11.033,3.296,6,0,0.871,0.004,601.667,164.78,0.009,0.011
N1w4b2r1,8.633,3.899,6,0,0.818,0.009,481.667,194.973,0.007,0.008
N1w4b3r1,6.967,3.011,6,0,0.876,0.003,398.333,150.564,0.007,0.008
N2c1w1_d,44.167,8.702,51.867,0.571,0.874,0.017,4516.667,870.229,0.19,0.042
N2c1w1_s,40.5,8.513,46.867,0.571,0.9,0.017,4150,851.267,0.161,0.039
N2c1w2_h,40.7,9.735,70.367,0.556,0.785,0.01,4170,973.494,0.205,0.052
N2c1w2_o,39.833,9.388,66.033,0.669,0.837,0.014,4083.333,938.849,0.189,0.046
N2c1w4_h,27.167,6.33,75.867,0.507,0.752,0.009,2816.667,633.046,0.148,0.038
N2c1w4_q,28.9,8.252,75.933,0.785,0.768,0.013,2990,825.185,0.137,0.046
N2c2w1_d,47.333,9.664,44.3,0.535,0.894,0.017,4833.333,966.449,0.194,0.04
N2c2w1_e,43.5,10.5,42.667,0.661,0.878,0.024,4450,1050.041,0.177,0.045
N2c2w2_b,50.333,9.364,57.1,0.607,0.837,0.016,5133.333,936.366,0.236,0.054
N2c2w2_f,52.7,12.655,50.267,0.74,0.875,0.022,5370,1265.497,0.216,0.058
N2c2w4_k,47.267,8.57,60.1,0.662,0.813,0.016,4826.667,856.993,0.208,0.044
N2c2w4_r,46.033,10.956,58.5,0.682,0.828,0.017,4703.333,1095.597,0.204,0.05
N2c3w1_d,42.333,8.335,38.633,0.49,0.904,0.018,4333.333,833.494,0.166,0.038
N2c3w1_i,40.767,9.024,35.067,0.583,0.915,0.024,4176.667,902.366,0.143,0.034
N2c3w2_a,49.333,11.469,42.533,0.776,0.908,0.026,5033.333,1146.91,0.196,0.054
N2c3w2_q,50.567,12.497,42.667,0.479,0.899,0.016,5156.667,1249.74,0.197,0.064
N2c3w4_i,57.167,10.219,46.2,0.61,0.893,0.018,5816.667,1021.859,0.234,0.055
N2c3w4_m,57.9,11.336,46.2,0.761,0.879,0.023,5890,1133.609,0.233,0.048
N2w1b1r2,60.533,11.122,35.2,0.61,0.892,0.025,6153.333,1112.231,0.181,0.038
N2w1b2r0,53.033,10.769,38.4,0.855,0.844,0.031,5403.333,1076.868,0.159,0.032
N2w1b3r2,51.2,10.823,36.7,0.651,0.916,0.025,5220,1082.271,0.153,0.028
N2w2b1r0,36.733,9.032,21.133,0.346,0.896,0.02,3773.333,903.225,0.095,0.025
N2w2b2r9,38.4,8.361,21.067,0.254,0.91,0.017,3940,836.083,0.098,0.024
N2w2b3r2,34.633,8.373,22.033,0.183,0.904,0.015,3563.333,837.271,0.091,0.024
N2w3b1r5,29.8,7.694,15,0,0.9,0.012,3080,769.415,0.073,0.018
N2w3b2r7,25.8,8.829,15,0,0.933,0.004,2680,882.942,0.065,0.023
N2w3b3r0,20.933,5.285,15,0,0.912,0.01,2193.333,528.455,0.056,0.027
N2w4b1r2,28.8,6.343,12,0,0.904,0.007,2980,634.307,0.07,0.016
N2w4b2r9,19.433,5.07,11.167,0.379,0.955,0.036,2043.333,506.974,0.048,0.014
N2w4b3r6,17.3,5.127,11,0,0.938,0.002,1830,512.701,0.043,0.012
N3c1w1_c,101.467,18.526,102,1.083,0.909,0.017,20493.333,3705.256,2.515,0.767
N3c1w1_k,103.033,15.705,104.9,0.662,0.908,0.01,20806.667,3141.045,1.78,0.296
N3c1w2_d,84.933,11.721,139.367,0.49,0.822,0.005,17186.667,2344.139,2.977,0.473
N3c1w2_g,92.9,13.494,134.067,0.785,0.868,0.009,18780,2698.838,3.195,0.53
N3c1w4_a,66.2,8.552,150.867,0.73,0.8,0.006,13440,1710.334,2.409,0.491
N3c1w4_j,74.1,11.511,144,0.788,0.816,0.008,15020,2302.233,2.908,0.549
N3c2w1_n,103,11.603,94.3,0.794,0.864,0.012,20800,2320.523,3.353,0.519
N3c2w1_q,104.7,16.534,85.5,0.9,0.916,0.016,21140,3306.9,3.146,0.495
N3c2w2_g,121.333,17.418,105.8,0.887,0.895,0.012,24466.667,3483.689,4.353,0.712
N3c2w2_s,122.967,19.491,109.167,1.117,0.879,0.015,24793.333,3898.181,4.52,0.735
N3c2w4_a,110.267,16.436,115.4,1.133,0.855,0.014,22253.333,3287.147,4.044,0.66
N3c2w4_d,116.1,17.711,116.067,0.868,0.856,0.011,23420,3542.199,4.169,0.606
N3c3w1_d,81.5,15.677,65.333,0.758,0.937,0.017,16500,3135.448,2.431,0.55
N3c3w1_g,87.433,16.45,66.467,0.571,0.941,0.013,17686.667,3289.978,2.68,0.655
N3c3w2_b,113.267,20.411,84.367,0.765,0.931,0.013,22853.333,4082.235,3.737,0.667
N3c3w2_d,116.7,14.042,81.533,0.681,0.935,0.012,23540,2808.436,3.807,0.436
N3c3w4_j,136.467,18.922,91.067,0.944,0.922,0.015,27493.333,3784.445,5.228,1.248
N3c3w4_t,120.933,21.207,87.867,0.9,0.924,0.014,24386.667,4241.318,3.79,0.829
N3w1b1r7,139.733,18.417,69.6,0.724,0.889,0.015,28146.667,3683.302,1.476,0.187
N3w1b2r0,128.067,20.803,71.033,1.273,0.893,0.026,25813.333,4160.548,1.441,0.362
N3w1b3r5,103.433,20.024,66.367,0.765,0.94,0.017,20886.667,4004.716,1.143,0.271
N3w2b1r0,72.167,11.853,43.467,0.571,0.869,0.021,14633.333,2370.557,0.674,0.109
N3w2b2r6,75.9,16.281,42,0.643,0.907,0.026,15380,3256.124,0.713,0.15
N3w2b3r7,70.867,13.328,43.2,0.61,0.919,0.022,14373.333,2665.609,0.67,0.124
N3w3b1r3,58.1,11.865,29.6,0.498,0.916,0.026,11820,2373.038,0.517,0.105
N3w3b2r2,61.467,13.569,29.033,0.32,0.932,0.017,12493.333,2713.813,0.548,0.127
N3w3b3r1,50.7,9.914,27.033,0.183,0.951,0.012,10340,1982.788,0.444,0.088
N3w4b1r5,46.5,11.181,23.3,0.466,0.92,0.025,9500,2236.222,0.4,0.094
N3w4b2r9,43.367,10.384,22,0,0.94,0.007,8873.333,2076.79,0.375,0.083
N3w4b3r6,38.9,7.48,23,0,0.959,0.002,7980,1496.064,0.34,0.064
N4c1w1_e,302.733,29.151,273,0.947,0.906,0.005,151866.667,14575.566,25.092,2.376
N4c1w1_l,301.333,30.96,264.533,1.306,0.926,0.008,151166.667,15479.872,53.638,25.62
N4c1w2_k,274.967,26.431,314.633,1.326,0.894,0.006,137983.333,13215.38,24.259,2.42
N4c1w2_m,247.667,22.53,331.033,0.765,0.863,0.003,124333.333,11265.092,22.148,1.926
N4c1w4_b,209.767,21.49,351.8,0.887,0.837,0.004,105383.333,10745.234,21.967,4.438
N4c1w4_s,211.733,20.783,360.6,0.675,0.813,0.003,106366.667,10391.42,22.96,4.941
N4c2w1_c,318.333,28.216,219.667,1.295,0.943,0.009,159666.667,14108.162,24.621,2.078
N4c2w1_k,319.333,34.82,216.933,0.907,0.944,0.007,160166.667,17410.031,24.67,2.658
N4c2w2_a,344.633,32.606,262.6,1.329,0.92,0.008,172816.667,16302.889,28.167,2.654
N4c2w2_q,358.333,30.072,263.333,1.322,0.92,0.008,179666.667,15035.781,29.136,2.326
N4c2w4_b,313.433,29.412,284.467,1.137,0.878,0.006,157216.667,14706.135,26.413,2.39
N4c2w4_d,280.8,24.873,298.567,1.073,0.847,0.005,140900,12436.321,24.221,2.092
N4c3w1_b,256.6,24.476,167.767,0.679,0.963,0.006,128800,12238.013,18.342,1.736
N4c3w1_r,269.3,24.193,170.133,0.681,0.967,0.006,135150,12096.701,19.356,1.801
N4c3w2_i,336.367,25.95,202.133,0.86,0.96,0.006,168683.333,12975.098,25.28,1.999
N4c3w2_s,322,31.965,201.3,1.291,0.955,0.009,161500,15982.749,24.225,2.484
N4c3w4_c,367,26.521,223.7,1.208,0.947,0.008,184000,13260.65,26.939,2.642
N4c3w4_m,367.267,23.686,221.733,1.258,0.947,0.008,184133.333,11843.035,28.381,1.865
N4w1b1r0,375.467,35.45,174.633,1.691,0.9,0.014,188233.333,17724.78,25.288,2.373
N4w1b2r5,369.733,30.902,169.867,1.196,0.912,0.01,185366.667,15451.221,24.913,2.054
N4w1b3r1,363.3,39.311,173.733,0.64,0.966,0.006,182150,19655.284,24.986,2.729
N4w2b1r1,188.567,21.899,108.6,1.192,0.869,0.018,94783.333,10949.479,11.225,1.305
N4w2b2r0,210.6,32.838,106.367,1.033,0.897,0.016,105800,16418.871,12.592,2.011
N4w2b3r0,215.867,32.344,105.033,1.098,0.929,0.017,108433.333,16171.886,12.94,1.903
N4w3b1r3,140.067,17.817,73.633,0.556,0.914,0.013,70533.333,8908.475,7.753,0.988
N4w3b2r3,134,21.852,74.067,0.74,0.911,0.017,67500,10926.084,7.358,1.187
N4w3b3r9,145.5,22.814,73.3,0.702,0.929,0.016,73250,11406.857,8.042,1.228
N4w4b1r0,103.033,15.652,57.967,0.414,0.92,0.011,52016.667,7826.22,5.588,0.919
N4w4b2r9,116.167,20.026,57.167,0.531,0.937,0.015,58583.333,10012.994,6.25,1.156
N4w4b3r0,112.167,18.113,55.567,0.626,0.95,0.02,56583.333,9056.416,6.029,0.956
t120_06,77.967,14.545,43.2,0.761,0.88,0.026,9476,1745.373,0.318,0.057
t120_17,81.467,13.903,43.3,0.794,0.877,0.026,9896,1668.354,0.338,0.059
t249_05,178.233,25.885,89.267,1.388,0.887,0.023,44629.1,6445.432,2.956,0.439
t249_06,202.367,30.828,89,1.365,0.892,0.022,50638.3,7676.223,3.363,0.589
t501_02,430.167,41.451,178.833,1.783,0.894,0.015,216014.5,20767.116,29.628,2.911
t501_19,432.5,38.386,179.033,2.059,0.893,0.017,217183.5,19231.484,29.872,2.63
t60_07,30.5,8.283,21.9,0.481,0.859,0.031,1890,496.963,0.085,0.276
t60_19,34.433,8.756,22,0.743,0.854,0.047,2126,525.361,0.043,0.013
TEST0058,27.267,10.422,21.067,0.254,0.913,0.019,2572.267,948.393,0.066,0.027
TEST0084,24.2,8.499,17,0,0.906,0.01,2318.4,781.916,0.062,0.029
u1000_00,501,0,408.733,1.143,0.956,0.004,501000,0,159.82,25.099
u1000_13,501,0,405.6,1.303,0.956,0.005,501000,0,158.418,19.232
u120_00,58.867,9.313,50.2,0.61,0.899,0.017,7184,1117.613,0.302,0.291
u120_05,62.333,13.772,50.167,0.747,0.91,0.021,7600,1652.684,0.268,0.057
u250_01,151.1,22.227,102.867,0.681,0.937,0.01,38025,5556.663,2.674,0.396
u250_07,161.167,19.474,106.9,0.96,0.935,0.013,40541.667,4868.567,2.952,0.52
u500_06,363.367,31.975,212.1,0.96,0.958,0.006,182183.333,15987.324,27.673,2.53
u500_13,328.333,29.541,200.533,0.9,0.959,0.007,164666.667,14770.271,24.58,2.268
