Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
37, 21, 0.9149514776190476, [34; 33; 1; 37; 12; 28; 35; 21; 53; 39; 44; 55; 15; 16; 13; 42; 40; 41; 54; 45; 14; 36; 31; 24; 2; 29; 38; 7; 47; 30; 52; 51; 6; 32; 8; 20; 26; 43; 9; 23; 50; 11; 27; 46; 19; 49; 0; 17; 25; 56; 18; 48; 10; 22; 57; 59; 58; 4; 3; 5], [[34; 33; 1]; [37; 12; 28]; [35; 21; 53]; [39; 44; 55]; [15; 16; 13]; [42; 40; 41]; [54; 45]; [14; 36; 31]; [24; 2; 29]; [38; 7; 47]; [30; 52]; [51; 6]; [32; 8; 20]; [26; 43; 9]; [23; 50; 11]; [27; 46; 19]; [49; 0; 17]; [25; 56; 18]; [48; 10; 22]; [57; 59; 58]; [4; 3; 5]], [9950; 9850; 9789; 9970; 9980; 10000; 8460; 9980; 10000; 9690; 6430; 7780; 9980; 9690; 9980; 9059; 9970; 9490; 9950; 10000; 9999], 2280, 2281, 1.5430381298065186
18, 22, 0.8464539286363635, [52; 36; 4; 48; 58; 10; 33; 42; 14; 37; 18; 35; 12; 34; 19; 51; 45; 53; 31; 5; 1; 39; 54; 15; 56; 47; 41; 13; 32; 50; 30; 25; 38; 7; 8; 24; 20; 43; 9; 22; 3; 21; 57; 40; 55; 49; 0; 59; 11; 27; 28; 26; 23; 46; 29; 6; 16; 44; 17; 2], [[52; 36; 4]; [48; 58; 10]; [33; 42]; [14; 37; 18]; [35; 12; 34]; [19; 51]; [45; 53; 31]; [5; 1; 39]; [54; 15]; [56; 47; 41]; [13; 32; 50]; [30; 25; 38]; [7; 8; 24]; [20; 43; 9]; [22; 3; 21]; [57; 40; 55]; [49; 0]; [59; 11; 27]; [28; 26; 23]; [46; 29]; [6; 16; 44]; [17; 2]], [10000; 9960; 8970; 9690; 9450; 6340; 9959; 9960; 9540; 9580; 9260; 9590; 9950; 9810; 9929; 9910; 7300; 9789; 9870; 5890; 9940; 5310], 1140, 1141, 0.015668630599975586
23, 22, 0.846559683181818, [18; 58; 23; 5; 46; 28; 39; 50; 30; 31; 32; 37; 57; 13; 7; 36; 4; 16; 59; 38; 12; 0; 3; 10; 44; 11; 42; 2; 52; 9; 55; 8; 26; 41; 25; 51; 21; 20; 14; 56; 1; 33; 15; 34; 47; 27; 22; 54; 17; 43; 48; 19; 6; 49; 45; 53; 40; 35; 29; 24], [[18; 58]; [23; 5; 46]; [28; 39; 50]; [30; 31; 32]; [37; 57; 13]; [7; 36; 4]; [16; 59; 38]; [12; 0]; [3; 10; 44]; [11; 42; 2]; [52; 9; 55]; [8; 26; 41]; [25; 51]; [21; 20; 14]; [56; 1]; [33; 15]; [34; 47; 27]; [22; 54; 17]; [43; 48; 19]; [6; 49]; [45; 53; 40]; [35; 29; 24]], [6620; 9700; 9990; 10000; 9900; 10000; 8520; 9120; 9859; 9960; 9330; 9450; 6450; 9940; 5200; 9650; 9999; 9980; 9850; 6620; 9889; 9970], 1440, 1441, 0.031247377395629883
33, 22, 0.8518152831818182, [42; 46; 5; 55; 2; 15; 48; 37; 3; 51; 24; 49; 26; 8; 52; 6; 58; 11; 36; 31; 45; 53; 56; 12; 28; 17; 19; 57; 21; 43; 47; 27; 44; 59; 34; 25; 0; 33; 16; 7; 4; 40; 39; 41; 22; 54; 32; 50; 29; 10; 9; 38; 35; 18; 20; 30; 1; 23; 13; 14], [[42; 46; 5]; [55; 2]; [15; 48]; [37; 3; 51]; [24; 49; 26]; [8; 52; 6]; [58; 11; 36]; [31; 45; 53]; [56; 12; 28]; [17; 19; 57]; [21; 43; 47]; [27; 44; 59]; [34; 25]; [0; 33]; [16; 7; 4]; [40; 39; 41]; [22; 54]; [32; 50; 29]; [10; 9; 38]; [35; 18; 20]; [30; 1; 23]; [13; 14]], [10000; 5240; 9320; 9989; 9710; 10000; 10000; 9959; 9890; 10000; 9980; 9839; 5310; 9670; 8330; 10000; 7310; 9900; 9960; 9930; 9980; 5680], 2040, 2041, 0.03132295608520508
30, 22, 0.8617053559090909, [46; 3; 21; 54; 35; 43; 56; 7; 48; 42; 50; 28; 40; 44; 18; 41; 9; 52; 27; 16; 24; 26; 25; 37; 31; 15; 57; 33; 1; 58; 4; 29; 45; 23; 6; 0; 34; 49; 11; 10; 47; 30; 20; 14; 2; 38; 39; 55; 12; 19; 32; 51; 13; 8; 53; 5; 36; 59; 17; 22], [[46; 3; 21]; [54; 35; 43]; [56; 7; 48]; [42; 50; 28]; [40; 44; 18]; [41; 9; 52]; [27; 16]; [24; 26; 25]; [37; 31]; [15; 57]; [33; 1; 58]; [4; 29; 45]; [23; 6]; [0; 34; 49]; [11; 10; 47]; [30; 20; 14]; [2; 38; 39]; [55; 12; 19]; [32; 51; 13]; [8; 53; 5]; [36; 59; 17]; [22]], [9979; 10000; 9990; 9990; 9990; 9970; 6329; 10000; 5330; 9430; 9990; 9960; 7920; 9820; 9780; 9910; 9920; 9600; 9960; 9899; 9680; 2550], 1860, 1861, 0.04696512222290039
31, 22, 0.8473054104545454, [24; 10; 5; 2; 18; 17; 51; 26; 57; 1; 27; 50; 20; 37; 47; 36; 11; 16; 56; 7; 48; 22; 54; 40; 46; 42; 29; 30; 43; 3; 4; 19; 12; 41; 0; 25; 38; 9; 14; 6; 52; 34; 31; 33; 55; 53; 59; 32; 21; 44; 8; 35; 39; 28; 58; 15; 13; 49; 45; 23], [[24; 10]; [5; 2; 18]; [17; 51; 26]; [57; 1]; [27; 50; 20]; [37; 47]; [36; 11; 16]; [56; 7; 48]; [22; 54; 40]; [46; 42; 29]; [30; 43; 3]; [4; 19; 12]; [41; 0]; [25; 38; 9]; [14; 6; 52]; [34; 31]; [33; 55]; [53; 59; 32]; [21; 44; 8]; [35; 39; 28]; [58; 15; 13]; [49; 45; 23]], [6930; 10000; 9470; 7210; 9999; 6300; 9990; 9990; 9970; 9990; 9979; 9970; 8040; 9890; 9960; 5250; 7470; 9969; 9990; 9640; 9990; 10000], 1920, 1921, 0.034601688385009766
22, 22, 0.8576701104545456, [49; 58; 18; 35; 16; 15; 54; 33; 55; 48; 38; 42; 47; 52; 44; 51; 30; 19; 9; 8; 31; 50; 3; 11; 59; 36; 7; 10; 27; 41; 13; 24; 20; 53; 1; 39; 34; 29; 40; 12; 4; 25; 28; 6; 43; 21; 45; 0; 22; 56; 32; 14; 5; 23; 26; 17; 2; 37; 57; 46], [[49; 58; 18]; [35; 16; 15]; [54; 33]; [55; 48]; [38; 42]; [47; 52; 44]; [51; 30; 19]; [9; 8; 31]; [50; 3; 11]; [59; 36; 7]; [10; 27; 41]; [13; 24; 20]; [53; 1]; [39; 34; 29]; [40; 12; 4]; [25; 28; 6]; [43; 21; 45]; [0; 22; 56]; [32; 14; 5]; [23; 26; 17]; [2; 37; 57]; [46]], [9120; 9940; 9630; 7140; 7280; 9780; 9960; 9720; 9909; 9820; 9879; 9980; 6089; 9910; 9950; 9840; 9980; 9990; 9980; 9610; 9890; 2600], 1380, 1381, 0.03125286102294922
23, 21, 0.9170749633333334, [44; 24; 55; 13; 16; 54; 10; 12; 35; 2; 53; 21; 34; 15; 43; 27; 11; 28; 57; 19; 37; 18; 45; 8; 59; 33; 0; 48; 25; 46; 29; 42; 22; 38; 36; 58; 50; 26; 32; 30; 56; 51; 52; 17; 40; 47; 49; 23; 41; 3; 4; 9; 20; 31; 6; 1; 5; 7; 39; 14], [[44; 24; 55]; [13; 16; 54]; [10; 12; 35]; [2; 53; 21]; [34; 15; 43]; [27; 11; 28]; [57; 19; 37]; [18; 45]; [8; 59]; [33; 0]; [48; 25; 46]; [29; 42; 22]; [38; 36; 58]; [50; 26; 32]; [30; 56; 51]; [52; 17; 40]; [47; 49; 23]; [41; 3; 4]; [9; 20; 31]; [6; 1; 5]; [7; 39; 14]], [9940; 9960; 9790; 9819; 9930; 9929; 9930; 7760; 5860; 9670; 9930; 9940; 9960; 9750; 9920; 8140; 10000; 9939; 9910; 9980; 9940], 1440, 1441, 0.03124713897705078
23, 22, 0.8556585286363635, [44; 59; 32; 20; 3; 4; 52; 14; 7; 19; 30; 45; 16; 0; 58; 28; 50; 42; 18; 8; 10; 56; 22; 54; 11; 40; 39; 38; 55; 36; 26; 6; 5; 27; 34; 29; 24; 46; 51; 33; 9; 41; 2; 35; 12; 47; 31; 53; 57; 49; 25; 48; 17; 43; 23; 21; 15; 1; 13; 37], [[44; 59; 32]; [20; 3; 4]; [52; 14; 7]; [19; 30; 45]; [16; 0; 58]; [28; 50; 42]; [18; 8; 10]; [56; 22; 54]; [11; 40; 39]; [38; 55; 36]; [26; 6]; [5; 27; 34]; [29; 24; 46]; [51; 33]; [9; 41; 2]; [35; 12]; [47; 31; 53]; [57; 49; 25]; [48; 17; 43]; [23; 21]; [15; 1; 13]; [37]], [9710; 9959; 8650; 10000; 9910; 9990; 9990; 9950; 9980; 10000; 7260; 9599; 9960; 8530; 9800; 6930; 9959; 9940; 9840; 7450; 9990; 2600], 1440, 1441, 0.031243085861206055
34, 21, 0.919078868095238, [34; 15; 37; 33; 58; 22; 54; 57; 4; 25; 36; 44; 55; 6; 40; 30; 32; 59; 1; 0; 16; 50; 27; 11; 12; 35; 8; 48; 31; 56; 13; 42; 41; 49; 14; 3; 7; 21; 52; 5; 10; 45; 43; 29; 24; 39; 17; 38; 20; 18; 19; 23; 2; 53; 26; 9; 28; 46; 47; 51], [[34; 15; 37]; [33; 58; 22]; [54; 57]; [4; 25; 36]; [44; 55; 6]; [40; 30; 32]; [59; 1]; [0; 16]; [50; 27; 11]; [12; 35; 8]; [48; 31; 56]; [13; 42; 41]; [49; 14; 3]; [7; 21; 52]; [5; 10; 45]; [43; 29; 24]; [39; 17; 38]; [20; 18; 19]; [23; 2; 53]; [26; 9; 28]; [46; 47; 51]], [9900; 9980; 9410; 9980; 9990; 9930; 5350; 7350; 9959; 10000; 9910; 9990; 9259; 9270; 9860; 9990; 9950; 10000; 9969; 9990; 9960], 2100, 2101, 0.04488348960876465
