Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
501,19,0.8524093157894737,[10; 9; 3; 7; 6; 57; 70; 79; 72; 68; 46; 40; 45; 47; 44; 76; 61; 63; 51; 93; 48; 86; 83; 85; 62; 31; 37; 34; 41; 39; 59; 53; 49; 54; 52; 87; 71; 19; 43; 92; 84; 81; 74; 60; 55; 75; 50; 97; 58; 65; 78; 67; 32; 30; 33; 29; 35; 88; 66; 69; 95; 82; 2; 5; 4; 0; 1; 73; 77; 42; 94; 80; 28; 14; 99; 17; 89; 91; 90; 23; 18; 15; 22; 20; 26; 24; 25; 27; 21; 12; 16; 13; 11; 8; 96; 64; 36; 38; 98; 56],[[10; 9; 3; 7; 6]; [57; 70; 79; 72; 68]; [46; 40; 45; 47; 44]; [76; 61; 63; 51; 93]; [48; 86; 83; 85; 62]; [31; 37; 34; 41; 39]; [59; 53; 49; 54; 52]; [87; 71; 19; 43; 92; 84]; [81; 74; 60; 55; 75; 50]; [97; 58; 65; 78; 67]; [32; 30; 33; 29; 35]; [88; 66; 69; 95; 82]; [2; 5; 4; 0; 1]; [73; 77; 42; 94; 80; 28]; [14; 99; 17; 89; 91; 90]; [23; 18; 15; 22; 20]; [26; 24; 25; 27; 21]; [12; 16; 13; 11; 8]; [96; 64; 36; 38; 98; 56]],[99300; 82500; 88400; 82600; 81900; 89700; 86500; 100000; 100000; 82000; 90700; 80100; 99800; 100000; 100000; 94400; 92500; 98100; 100000],50100,50101,2.7174999713897705
501,20,0.79747605,[9; 15; 13; 14; 10; 87; 68; 77; 94; 71; 2; 5; 4; 1; 0; 79; 98; 69; 57; 92; 6; 7; 8; 11; 3; 96; 63; 67; 82; 85; 12; 19; 16; 18; 17; 33; 35; 34; 32; 42; 62; 55; 61; 60; 58; 66; 88; 56; 78; 70; 39; 43; 41; 40; 48; 97; 44; 86; 36; 76; 53; 54; 46; 51; 50; 49; 74; 93; 65; 38; 89; 27; 30; 28; 29; 31; 59; 83; 47; 81; 75; 52; 22; 21; 23; 20; 25; 24; 80; 73; 95; 90; 26; 72; 45; 91; 84; 37; 64; 99],[[9; 15; 13; 14; 10]; [87; 68; 77; 94; 71]; [2; 5; 4; 1; 0]; [79; 98; 69; 57; 92]; [6; 7; 8; 11; 3]; [96; 63; 67; 82; 85]; [12; 19; 16; 18; 17]; [33; 35; 34; 32; 42]; [62; 55; 61; 60; 58]; [66; 88; 56; 78; 70]; [39; 43; 41; 40; 48]; [97; 44; 86; 36; 76; 53]; [54; 46; 51; 50; 49]; [74; 93; 65; 38; 89]; [27; 30; 28; 29; 31]; [59; 83; 47; 81; 75; 52]; [22; 21; 23; 20; 25]; [24; 80; 73; 95; 90; 26]; [72; 45; 91; 84; 37; 64]; [99]],[97700; 80100; 99800; 80200; 99300; 80400; 96300; 89900; 85100; 82300; 88800; 100000; 87300; 81700; 91600; 100000; 93000; 100000; 100000; 15000],50100,50101,2.7326765060424805
501,19,0.8630177368421053,[21; 22; 24; 23; 25; 65; 82; 69; 83; 37; 59; 90; 76; 38; 64; 61; 66; 87; 57; 62; 86; 60; 49; 54; 51; 52; 56; 50; 73; 85; 84; 55; 78; 17; 8; 13; 14; 10; 63; 93; 58; 89; 92; 6; 1; 0; 5; 2; 3; 4; 7; 11; 9; 45; 47; 72; 91; 53; 88; 27; 31; 32; 26; 30; 70; 95; 29; 80; 77; 43; 79; 96; 12; 98; 46; 71; 75; 68; 67; 74; 81; 28; 36; 39; 33; 35; 34; 18; 16; 20; 19; 15; 48; 42; 44; 40; 41; 94; 97; 99],[[21; 22; 24; 23; 25]; [65; 82; 69; 83; 37; 59]; [90; 76; 38; 64; 61; 66]; [87; 57; 62; 86; 60; 49]; [54; 51; 52; 56; 50]; [73; 85; 84; 55; 78]; [17; 8; 13; 14; 10]; [63; 93; 58; 89; 92]; [6; 1; 0; 5; 2]; [3; 4; 7; 11; 9]; [45; 47; 72; 91; 53; 88]; [27; 31; 32; 26; 30]; [70; 95; 29; 80; 77; 43]; [79; 96; 12; 98; 46; 71]; [75; 68; 67; 74; 81; 28]; [36; 39; 33; 35; 34]; [18; 16; 20; 19; 15]; [48; 42; 44; 40; 41]; [94; 97; 99]],[92800; 100000; 100000; 100000; 86600; 81300; 97700; 80300; 99800; 99300; 100000; 91500; 100000; 100000; 100000; 89700; 95300; 88700; 45500],50100,50101,2.8300325870513916
501,19,0.8569093157894736,[4; 0; 2; 1; 7; 55; 49; 58; 60; 48; 82; 74; 88; 67; 72; 16; 18; 14; 19; 17; 38; 42; 40; 44; 43; 92; 70; 79; 86; 66; 12; 11; 9; 13; 15; 61; 73; 62; 71; 63; 10; 5; 8; 3; 6; 23; 20; 26; 24; 22; 21; 76; 34; 96; 68; 89; 37; 41; 36; 31; 32; 27; 25; 30; 28; 29; 59; 83; 46; 94; 33; 75; 69; 56; 47; 90; 84; 54; 87; 53; 85; 77; 45; 51; 57; 91; 80; 52; 78; 35; 65; 64; 98; 50; 39; 81; 97; 95; 93; 99],[[4; 0; 2; 1; 7]; [55; 49; 58; 60; 48]; [82; 74; 88; 67; 72]; [16; 18; 14; 19; 17]; [38; 42; 40; 44; 43]; [92; 70; 79; 86; 66]; [12; 11; 9; 13; 15]; [61; 73; 62; 71; 63]; [10; 5; 8; 3; 6]; [23; 20; 26; 24; 22]; [21; 76; 34; 96; 68; 89]; [37; 41; 36; 31; 32]; [27; 25; 30; 28; 29]; [59; 83; 46; 94; 33; 75]; [69; 56; 47; 90; 84; 54]; [87; 53; 85; 77; 45; 51]; [57; 91; 80; 52; 78; 35]; [65; 64; 98; 50; 39; 81]; [97; 95; 93; 99]],[99800; 86500; 80800; 95900; 88900; 80400; 98100; 83300; 99300; 92900; 100000; 89900; 91900; 100000; 100000; 100000; 100000; 100000; 60800],50100,50101,2.8065593242645264
501,19,0.8568583684210526,[49; 98; 72; 37; 84; 56; 25; 24; 27; 30; 28; 59; 57; 44; 58; 46; 82; 87; 64; 76; 88; 10; 13; 15; 8; 12; 68; 77; 90; 85; 65; 16; 14; 18; 19; 17; 9; 11; 5; 6; 7; 79; 71; 81; 63; 60; 34; 33; 31; 35; 36; 20; 21; 26; 22; 23; 40; 39; 43; 41; 38; 42; 67; 78; 50; 83; 80; 0; 2; 4; 1; 3; 47; 48; 74; 69; 97; 62; 51; 86; 54; 32; 75; 92; 95; 89; 55; 53; 29; 70; 52; 66; 99; 45; 73; 61; 96; 91; 94; 93],[[49; 98; 72; 37; 84; 56]; [25; 24; 27; 30; 28]; [59; 57; 44; 58; 46]; [82; 87; 64; 76; 88]; [10; 13; 15; 8; 12]; [68; 77; 90; 85; 65]; [16; 14; 18; 19; 17]; [9; 11; 5; 6; 7]; [79; 71; 81; 63; 60]; [34; 33; 31; 35; 36]; [20; 21; 26; 22; 23]; [40; 39; 43; 41; 38]; [42; 67; 78; 50; 83; 80]; [0; 2; 4; 1; 3]; [47; 48; 74; 69; 97; 62]; [51; 86; 54; 32; 75; 92]; [95; 89; 55; 53; 29; 70]; [52; 66; 99; 45; 73; 61]; [96; 91; 94; 93]],[100000; 92100; 86700; 80300; 98100; 80800; 95900; 99300; 82100; 90100; 93000; 89000; 100000; 99800; 100000; 100000; 100000; 100000; 61300],50100,50101,2.7686848640441895
501,19,0.8525716315789474,[84; 50; 65; 81; 73; 44; 92; 41; 89; 94; 29; 54; 62; 66; 46; 77; 95; 38; 48; 40; 49; 42; 70; 52; 64; 72; 71; 63; 82; 75; 90; 68; 18; 26; 24; 22; 23; 35; 36; 34; 43; 39; 67; 98; 55; 87; 78; 17; 20; 19; 21; 14; 97; 56; 69; 85; 91; 2; 16; 13; 15; 12; 37; 79; 88; 31; 80; 74; 96; 11; 99; 58; 60; 83; 6; 9; 10; 4; 8; 57; 51; 61; 47; 53; 32; 28; 30; 27; 25; 5; 3; 7; 0; 1; 93; 76; 59; 33; 45; 86],[[84; 50; 65; 81; 73]; [44; 92; 41; 89; 94; 29]; [54; 62; 66; 46; 77; 95]; [38; 48; 40; 49; 42]; [70; 52; 64; 72; 71]; [63; 82; 75; 90; 68]; [18; 26; 24; 22; 23]; [35; 36; 34; 43; 39]; [67; 98; 55; 87; 78]; [17; 20; 19; 21; 14]; [97; 56; 69; 85; 91]; [2; 16; 13; 15; 12]; [37; 79; 88; 31; 80; 74]; [96; 11; 99; 58; 60; 83]; [6; 9; 10; 4; 8]; [57; 51; 61; 47; 53]; [32; 28; 30; 27; 25]; [5; 3; 7; 0; 1]; [93; 76; 59; 33; 45; 86]],[82500; 100000; 100000; 88600; 83300; 80900; 93400; 89500; 80800; 94700; 80100; 97800; 100000; 100000; 99200; 86300; 91700; 99700; 100000],50100,50101,2.98954701423645
501,19,0.8716144736842105,[51; 53; 60; 63; 66; 27; 26; 25; 22; 23; 58; 56; 65; 90; 94; 35; 19; 18; 17; 20; 16; 96; 81; 77; 76; 67; 0; 3; 1; 2; 7; 74; 45; 73; 69; 79; 52; 41; 33; 39; 42; 36; 5; 10; 6; 4; 11; 55; 9; 89; 61; 95; 91; 8; 13; 12; 14; 15; 49; 72; 59; 68; 57; 92; 54; 47; 48; 44; 50; 31; 32; 29; 28; 30; 40; 87; 75; 46; 83; 64; 38; 80; 93; 84; 34; 62; 37; 78; 88; 21; 82; 85; 98; 70; 43; 24; 71; 86; 97; 99],[[51; 53; 60; 63; 66]; [27; 26; 25; 22; 23]; [58; 56; 65; 90; 94; 35]; [19; 18; 17; 20; 16]; [96; 81; 77; 76; 67]; [0; 3; 1; 2; 7]; [74; 45; 73; 69; 79; 52]; [41; 33; 39; 42; 36]; [5; 10; 6; 4; 11]; [55; 9; 89; 61; 95; 91]; [8; 13; 12; 14; 15]; [49; 72; 59; 68; 57; 92]; [54; 47; 48; 44; 50]; [31; 32; 29; 28; 30]; [40; 87; 75; 46; 83; 64]; [38; 80; 93; 84; 34; 62]; [37; 78; 88; 21; 82; 85]; [98; 70; 43; 24; 71; 86]; [97; 99]],[85100; 92600; 100000; 95300; 80300; 99800; 100000; 89300; 99300; 100000; 97600; 100000; 87700; 91300; 100000; 100000; 100000; 100000; 30200],50100,50101,2.550529718399048
501,19,0.8625068947368421,[71; 88; 64; 87; 74; 17; 16; 13; 14; 10; 24; 28; 25; 26; 22; 38; 40; 35; 34; 43; 63; 94; 89; 90; 57; 12; 19; 15; 18; 20; 21; 65; 54; 98; 67; 37; 76; 96; 80; 99; 53; 68; 0; 66; 51; 81; 84; 75; 39; 9; 4; 8; 11; 5; 58; 48; 52; 56; 46; 72; 86; 59; 49; 79; 50; 85; 70; 55; 78; 61; 44; 45; 42; 41; 47; 7; 3; 2; 1; 6; 36; 95; 77; 83; 69; 30; 23; 73; 60; 93; 62; 82; 27; 33; 32; 29; 31; 91; 92; 97],[[71; 88; 64; 87; 74]; [17; 16; 13; 14; 10]; [24; 28; 25; 26; 22]; [38; 40; 35; 34; 43]; [63; 94; 89; 90; 57; 12]; [19; 15; 18; 20; 21]; [65; 54; 98; 67; 37; 76]; [96; 80; 99; 53; 68; 0]; [66; 51; 81; 84; 75; 39]; [9; 4; 8; 11; 5]; [58; 48; 52; 56; 46]; [72; 86; 59; 49; 79]; [50; 85; 70; 55; 78; 61]; [44; 45; 42; 41; 47]; [7; 3; 2; 1; 6]; [36; 95; 77; 83; 69; 30]; [23; 73; 60; 93; 62; 82]; [27; 33; 32; 29; 31]; [91; 92; 97]],[80800; 97200; 92500; 89400; 100000; 94600; 100000; 100000; 100000; 99200; 86900; 82600; 100000; 88600; 99700; 100000; 100000; 91000; 46000],50100,50101,2.7803189754486084
501,19,0.8568403684210526,[21; 24; 22; 23; 20; 77; 84; 65; 57; 27; 90; 89; 50; 95; 83; 33; 36; 82; 85; 70; 80; 78; 9; 6; 8; 7; 5; 12; 16; 13; 11; 10; 81; 52; 97; 74; 25; 63; 54; 56; 69; 71; 60; 87; 49; 58; 46; 51; 53; 73; 62; 55; 72; 68; 42; 41; 39; 45; 44; 35; 37; 43; 34; 38; 76; 79; 88; 66; 75; 18; 14; 17; 15; 19; 40; 61; 59; 47; 94; 91; 32; 64; 86; 98; 48; 67; 29; 30; 26; 28; 31; 3; 2; 0; 4; 1; 99; 93; 96; 92],[[21; 24; 22; 23; 20]; [77; 84; 65; 57; 27; 90]; [89; 50; 95; 83; 33; 36]; [82; 85; 70; 80; 78]; [9; 6; 8; 7; 5]; [12; 16; 13; 11; 10]; [81; 52; 97; 74; 25; 63]; [54; 56; 69; 71; 60; 87]; [49; 58; 46; 51; 53]; [73; 62; 55; 72; 68]; [42; 41; 39; 45; 44]; [35; 37; 43; 34; 38]; [76; 79; 88; 66; 75]; [18; 14; 17; 15; 19]; [40; 61; 59; 47; 94; 91]; [32; 64; 86; 98; 48; 67]; [29; 30; 26; 28; 31]; [3; 2; 0; 4; 1]; [99; 93; 96; 92]],[93000; 100000; 100000; 80300; 99300; 98100; 100000; 100000; 87000; 83200; 88800; 89500; 80900; 95900; 100000; 100000; 91700; 99800; 61000],50100,50101,2.9103283882141113
501,19,0.8630636315789473,[57; 66; 58; 53; 64; 24; 21; 20; 23; 22; 6; 4; 7; 11; 9; 68; 70; 80; 87; 84; 13; 12; 10; 17; 8; 19; 14; 15; 18; 16; 85; 41; 62; 55; 60; 93; 67; 81; 56; 90; 74; 26; 30; 29; 31; 28; 36; 69; 43; 98; 92; 51; 40; 35; 79; 63; 89; 82; 52; 45; 44; 50; 48; 59; 88; 47; 77; 83; 49; 2; 1; 0; 3; 5; 32; 34; 37; 39; 33; 46; 76; 96; 73; 61; 42; 75; 27; 72; 97; 78; 38; 94; 65; 71; 54; 86; 25; 95; 91; 99],[[57; 66; 58; 53; 64]; [24; 21; 20; 23; 22]; [6; 4; 7; 11; 9]; [68; 70; 80; 87; 84]; [13; 12; 10; 17; 8]; [19; 14; 15; 18; 16]; [85; 41; 62; 55; 60; 93]; [67; 81; 56; 90; 74]; [26; 30; 29; 31; 28]; [36; 69; 43; 98; 92; 51]; [40; 35; 79; 63; 89; 82]; [52; 45; 44; 50; 48]; [59; 88; 47; 77; 83; 49]; [2; 1; 0; 3; 5]; [32; 34; 37; 39; 33]; [46; 76; 96; 73; 61; 42]; [75; 27; 72; 97; 78; 38]; [94; 65; 71; 54; 86; 25]; [95; 91; 99]],[85300; 93000; 99300; 80600; 98100; 95900; 100000; 81600; 91700; 100000; 100000; 87800; 100000; 99800; 89800; 100000; 100000; 100000; 45600],50100,50101,2.6510231494903564
