Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
8,26,0.8449615384615385,[35; 11; 34; 20; 47; 21; 27; 1; 16; 41; 42; 31; 14; 4; 40; 5; 13; 32; 10; 44; 15; 39; 46; 3; 22; 2; 6; 36; 18; 24; 43; 33; 19; 30; 8; 25; 49; 26; 9; 38; 7; 17; 28; 29; 23; 45; 48; 12; 37; 0],[[35; 11]; [34; 20; 47]; [21; 27]; [1]; [16; 41; 42]; [31; 14]; [4]; [40; 5]; [13; 32]; [10; 44]; [15; 39; 46]; [3]; [22]; [2]; [6]; [36; 18]; [24; 43; 33]; [19; 30]; [8]; [25; 49; 26]; [9; 38]; [7]; [17; 28]; [29; 23; 45]; [48; 12; 37]; [0]],[10000; 9400; 9400; 9400; 9900; 9700; 8200; 10000; 9800; 8500; 9600; 9000; 5700; 9100; 8000; 8700; 9800; 9200; 7600; 9700; 9900; 7700; 9900; 9800; 10000; 9600],400,401,0.016197681427001953
16,26,0.8471153846153848,[41; 5; 29; 21; 32; 12; 19; 27; 34; 14; 4; 38; 8; 24; 25; 7; 47; 33; 23; 44; 37; 10; 2; 46; 28; 17; 16; 30; 35; 11; 42; 15; 6; 20; 22; 48; 31; 3; 49; 1; 13; 36; 43; 39; 26; 45; 0; 40; 9; 18],[[41; 5]; [29; 21]; [32; 12]; [19; 27]; [34; 14]; [4]; [38; 8]; [24; 25]; [7; 47]; [33; 23; 44]; [37; 10]; [2; 46]; [28; 17]; [16; 30]; [35; 11]; [42; 15]; [6]; [20]; [22; 48; 31]; [3; 49]; [1]; [13; 36]; [43; 39; 26; 45]; [0]; [40; 9]; [18]],[10000; 9200; 10000; 9600; 9300; 8200; 10000; 9800; 8400; 9600; 10000; 10000; 9900; 9500; 10000; 8000; 8000; 5900; 9300; 9400; 9400; 9500; 9600; 9600; 9400; 6000],800,801,0.03131365776062012
19,26,0.8424769230769231,[10; 39; 4; 0; 27; 18; 37; 40; 24; 9; 38; 6; 3; 7; 23; 47; 29; 19; 41; 2; 30; 17; 42; 5; 26; 25; 21; 35; 32; 48; 22; 46; 34; 15; 49; 20; 28; 1; 33; 12; 13; 36; 31; 14; 43; 11; 16; 8; 45; 44],[[10; 39]; [4]; [0]; [27; 18]; [37; 40; 24]; [9; 38]; [6]; [3]; [7]; [23; 47; 29]; [19; 41]; [2]; [30; 17]; [42; 5]; [26; 25]; [21; 35]; [32; 48; 22; 46]; [34; 15; 49]; [20; 28]; [1]; [33; 12]; [13; 36]; [31; 14]; [43; 11]; [16]; [8; 45; 44]],[9800; 8200; 9600; 9600; 9600; 9900; 8000; 9000; 7700; 9600; 7900; 9100; 9500; 9800; 9300; 8600; 10000; 9500; 9500; 9400; 10000; 9500; 9700; 8900; 6300; 9600],950,951,0.03123164176940918
20,26,0.8513461538461538,[22; 35; 28; 15; 14; 33; 1; 31; 17; 38; 10; 39; 9; 5; 43; 18; 30; 27; 23; 6; 40; 44; 20; 47; 41; 37; 19; 7; 29; 16; 12; 32; 21; 8; 49; 42; 46; 3; 4; 0; 48; 36; 11; 2; 45; 24; 26; 25; 13; 34],[[22; 35]; [28; 15]; [14; 33]; [1]; [31; 17]; [38; 10]; [39; 9]; [5; 43]; [18; 30]; [27; 23]; [6; 40]; [44; 20; 47; 41]; [37; 19]; [7]; [29; 16]; [12; 32]; [21]; [8; 49; 42]; [46; 3]; [4]; [0; 48]; [36; 11]; [2; 45]; [24; 26]; [25]; [13; 34]],[8500; 9900; 9500; 9400; 9500; 9800; 9900; 9800; 9200; 9100; 9900; 9600; 8600; 7700; 9700; 10000; 5800; 9700; 9900; 8200; 10000; 9900; 10000; 9700; 4700; 9600],1000,1001,0.047043561935424805
26,26,0.8489076923076925,[2; 27; 16; 42; 8; 0; 33; 20; 44; 13; 35; 49; 36; 22; 41; 6; 14; 45; 19; 31; 7; 40; 43; 5; 26; 24; 15; 29; 17; 47; 32; 3; 28; 18; 12; 37; 34; 11; 25; 46; 9; 38; 4; 39; 10; 23; 30; 1; 48; 21],[[2]; [27; 16]; [42; 8]; [0]; [33; 20; 44]; [13; 35; 49]; [36; 22]; [41; 6]; [14; 45]; [19; 31]; [7; 40]; [43; 5]; [26; 24]; [15; 29]; [17; 47; 32]; [3]; [28; 18]; [12; 37]; [34; 11]; [25; 46]; [9; 38]; [4]; [39; 10]; [23; 30]; [1; 48]; [21]],[9100; 9900; 9300; 9600; 10000; 10000; 8400; 9900; 7400; 9200; 9600; 9800; 9700; 9700; 10000; 9000; 9600; 9600; 10000; 5600; 9900; 8200; 9800; 8700; 9800; 5800],1300,1301,0.047127723693847656
9,26,0.8416461538461537,[47; 7; 4; 0; 8; 39; 34; 14; 23; 29; 2; 17; 36; 9; 12; 33; 49; 22; 27; 3; 1; 26; 42; 18; 28; 43; 10; 44; 6; 11; 38; 24; 25; 35; 46; 19; 5; 40; 41; 45; 15; 30; 20; 21; 32; 37; 48; 13; 16; 31],[[47; 7]; [4]; [0]; [8; 39]; [34; 14]; [23; 29]; [2]; [17; 36]; [9]; [12; 33]; [49; 22; 27]; [3]; [1]; [26; 42]; [18; 28]; [43; 10]; [44; 6]; [11; 38]; [24; 25]; [35; 46; 19]; [5; 40]; [41; 45; 15]; [30; 20]; [21; 32]; [37; 48; 13]; [16; 31]],[8400; 8200; 9600; 10000; 9300; 8900; 9100; 9000; 7500; 10000; 9700; 9000; 9400; 6300; 9600; 9100; 9100; 9600; 9800; 9700; 10000; 9100; 9100; 8800; 9800; 9500],450,451,0.03125119209289551
15,26,0.845253846153846,[24; 21; 34; 14; 35; 0; 19; 32; 49; 48; 10; 37; 38; 17; 13; 31; 9; 41; 1; 27; 16; 18; 33; 47; 4; 44; 42; 12; 43; 5; 40; 7; 39; 23; 8; 15; 30; 3; 22; 28; 45; 2; 25; 26; 36; 11; 6; 46; 29; 20],[[24]; [21; 34]; [14; 35]; [0]; [19; 32; 49; 48]; [10; 37]; [38; 17]; [13; 31]; [9; 41]; [1]; [27; 16]; [18; 33; 47]; [4; 44]; [42; 12]; [43; 5]; [40; 7]; [39; 23]; [8]; [15; 30]; [3]; [22; 28]; [45; 2]; [25; 26]; [36; 11]; [6; 46]; [29; 20]],[5100; 8600; 9300; 9600; 9800; 10000; 8700; 10000; 9400; 9400; 9900; 9700; 9300; 8700; 9800; 9600; 7900; 7600; 9500; 9000; 9300; 10000; 9300; 9900; 8900; 9300],750,751,0.03122997283935547
22,26,0.8533000000000001,[43; 4; 7; 31; 17; 19; 36; 22; 3; 0; 11; 34; 40; 12; 44; 10; 37; 32; 21; 9; 29; 14; 26; 13; 30; 48; 18; 27; 39; 16; 5; 41; 20; 49; 28; 46; 15; 35; 1; 6; 42; 25; 24; 33; 47; 23; 8; 38; 2; 45],[[43; 4]; [7]; [31; 17]; [19; 36]; [22]; [3]; [0]; [11; 34]; [40; 12; 44]; [10; 37]; [32; 21]; [9]; [29; 14]; [26]; [13; 30]; [48; 18; 27]; [39; 16]; [5; 41]; [20; 49; 28]; [46; 15; 35]; [1]; [6; 42]; [25; 24]; [33; 47; 23]; [8; 38]; [2; 45]],[9900; 7700; 9500; 8700; 5700; 9000; 9600; 10000; 10000; 10000; 8800; 7500; 9900; 4600; 10000; 10000; 8700; 10000; 9900; 10000; 9400; 9700; 9800; 9200; 10000; 10000],1100,1101,0.03124380111694336
18,26,0.8461307692307691,[44; 10; 47; 37; 21; 15; 28; 17; 42; 49; 13; 31; 14; 30; 39; 9; 3; 6; 41; 25; 24; 48; 22; 36; 34; 26; 4; 43; 8; 38; 2; 0; 33; 12; 11; 1; 45; 27; 23; 7; 29; 16; 5; 40; 19; 35; 20; 18; 32; 46],[[44; 10; 47]; [37; 21]; [15; 28]; [17; 42; 49]; [13; 31]; [14; 30]; [39; 9]; [3]; [6; 41]; [25; 24]; [48; 22; 36]; [34; 26]; [4; 43]; [8; 38]; [2]; [0]; [33; 12]; [11]; [1]; [45; 27; 23]; [7]; [29; 16]; [5; 40]; [19; 35]; [20]; [18; 32; 46]],[9200; 8400; 9900; 8400; 10000; 9700; 9900; 9000; 9900; 9800; 8800; 7400; 9900; 10000; 9100; 9600; 10000; 7200; 9400; 10000; 7700; 9700; 10000; 8800; 5900; 9900],900,901,0.03125119209289551
13,26,0.8437846153846155,[40; 7; 2; 38; 11; 27; 17; 0; 9; 22; 34; 29; 20; 35; 14; 8; 39; 3; 5; 43; 46; 24; 30; 32; 47; 18; 48; 1; 45; 36; 15; 13; 33; 41; 44; 12; 49; 28; 19; 10; 16; 4; 42; 37; 21; 31; 23; 25; 26; 6],[[40; 7]; [2]; [38; 11]; [27; 17]; [0]; [9]; [22; 34]; [29; 20]; [35; 14]; [8; 39]; [3]; [5; 43]; [46; 24; 30]; [32; 47; 18]; [48; 1]; [45; 36; 15]; [13; 33]; [41; 44; 12]; [49; 28; 19]; [10]; [16]; [4; 42]; [37; 21]; [31; 23]; [25; 26]; [6]],[9600; 9100; 9600; 9900; 9600; 7500; 8500; 9300; 9300; 10000; 9000; 9800; 9200; 9700; 9800; 9900; 9800; 10000; 10000; 7400; 6300; 9900; 8400; 8700; 9300; 8000],650,651,0.015618562698364258
