Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
12,38,0.7719973684210525,[25; 5; 18; 42; 32; 2; 34; 39; 45; 33; 3; 26; 48; 20; 38; 36; 7; 11; 17; 15; 41; 29; 14; 30; 40; 24; 1; 21; 0; 4; 6; 9; 47; 28; 23; 31; 43; 10; 37; 35; 46; 44; 13; 16; 49; 22; 12; 8; 27; 19],[[25]; [5]; [18]; [42; 32]; [2]; [34; 39]; [45; 33]; [3]; [26; 48]; [20]; [38; 36]; [7]; [11]; [17]; [15]; [41; 29]; [14]; [30; 40]; [24]; [1]; [21]; [0]; [4]; [6]; [9]; [47; 28]; [23]; [31; 43]; [10]; [37; 35]; [46; 44]; [13]; [16]; [49; 22]; [12]; [8]; [27]; [19]],[6500; 9500; 7700; 9300; 9500; 9700; 9000; 9500; 9800; 7400; 9700; 9300; 8900; 7800; 7900; 9900; 8200; 9700; 6800; 9700; 7100; 10000; 9500; 9400; 9100; 9600; 6800; 9300; 9000; 10000; 7400; 8300; 7900; 10000; 8700; 9300; 6400; 7700],600,601,0.04688096046447754
11,38,0.7715447368421051,[22; 17; 7; 5; 15; 9; 2; 13; 3; 12; 32; 46; 14; 10; 20; 19; 1; 11; 37; 35; 43; 28; 21; 16; 44; 36; 18; 49; 24; 30; 39; 25; 4; 6; 34; 38; 0; 23; 27; 48; 42; 29; 33; 47; 8; 26; 45; 41; 40; 31],[[22]; [17]; [7]; [5]; [15]; [9]; [2]; [13]; [3]; [12]; [32; 46]; [14]; [10]; [20]; [19]; [1]; [11]; [37; 35]; [43; 28]; [21]; [16]; [44; 36]; [18]; [49; 24]; [30; 39]; [25]; [4]; [6]; [34; 38]; [0]; [23]; [27; 48]; [42; 29]; [33; 47]; [8]; [26]; [45; 41]; [40; 31]],[6900; 7800; 9300; 9500; 7900; 9100; 9500; 8300; 9500; 8700; 9100; 8200; 9000; 7400; 7700; 9700; 8900; 10000; 9900; 7100; 7900; 8800; 7700; 9900; 9900; 6500; 9500; 9400; 9900; 10000; 6800; 9700; 9700; 8800; 9300; 6500; 7800; 9700],550,551,0.04693460464477539
12,38,0.7711236842105262,[1; 6; 16; 22; 21; 18; 20; 25; 48; 36; 45; 43; 30; 19; 10; 4; 17; 3; 38; 32; 2; 41; 31; 33; 39; 15; 46; 37; 24; 49; 7; 9; 40; 34; 14; 42; 29; 0; 8; 13; 28; 44; 12; 11; 5; 23; 47; 35; 26; 27],[[1]; [6]; [16]; [22]; [21]; [18]; [20]; [25; 48]; [36; 45]; [43; 30]; [19]; [10]; [4]; [17]; [3]; [38; 32]; [2]; [41; 31]; [33; 39]; [15]; [46; 37]; [24; 49]; [7]; [9]; [40; 34]; [14]; [42; 29]; [0]; [8]; [13]; [28; 44]; [12]; [11]; [5]; [23]; [47; 35]; [26]; [27]],[9700; 9400; 7900; 6900; 7100; 7700; 7400; 9800; 8800; 9300; 7700; 9000; 9500; 7800; 9500; 10000; 9500; 9600; 9700; 7900; 8600; 9900; 9300; 9100; 9500; 8200; 9700; 10000; 9300; 8300; 9800; 8700; 8900; 9500; 6800; 8600; 6500; 6400],600,601,0.06242847442626953
13,38,0.7738868421052632,[6; 10; 39; 32; 7; 45; 37; 19; 30; 43; 31; 42; 12; 49; 22; 5; 34; 40; 20; 27; 14; 0; 18; 26; 47; 16; 8; 35; 46; 44; 28; 2; 29; 41; 4; 24; 9; 17; 23; 1; 33; 38; 21; 11; 15; 13; 48; 25; 3; 36],[[6]; [10]; [39; 32]; [7]; [45; 37]; [19]; [30; 43]; [31; 42]; [12]; [49; 22]; [5]; [34; 40]; [20]; [27]; [14]; [0]; [18]; [26; 47]; [16]; [8]; [35; 46]; [44; 28]; [2]; [29; 41]; [4]; [24]; [9]; [17]; [23]; [1]; [33; 38]; [21]; [11]; [15]; [13]; [48; 25]; [3]; [36]],[9400; 9000; 9800; 9300; 8600; 7700; 9300; 9400; 8700; 10000; 9500; 9500; 7400; 6400; 8200; 10000; 7700; 10000; 7900; 9300; 8800; 9800; 9500; 9900; 9500; 6800; 9100; 7800; 6800; 9700; 9900; 7100; 8900; 7900; 8300; 9800; 9500; 5100],650,651,0.04678535461425781
10,38,0.7720763157894737,[45; 34; 3; 18; 12; 4; 48; 25; 46; 29; 9; 5; 6; 43; 28; 10; 24; 17; 19; 23; 32; 38; 47; 26; 22; 37; 35; 44; 36; 1; 33; 40; 7; 2; 11; 20; 16; 14; 13; 41; 30; 15; 0; 42; 49; 21; 27; 31; 39; 8],[[45; 34]; [3]; [18]; [12]; [4]; [48; 25]; [46; 29]; [9]; [5]; [6]; [43; 28]; [10]; [24]; [17]; [19]; [23]; [32; 38]; [47; 26]; [22]; [37; 35]; [44; 36]; [1]; [33; 40]; [7]; [2]; [11]; [20]; [16]; [14]; [13]; [41; 30]; [15]; [0]; [42; 49]; [21]; [27]; [31; 39]; [8]],[9000; 9500; 7700; 8700; 9500; 9800; 9500; 9100; 9500; 9400; 9900; 9000; 6800; 7800; 7700; 6800; 10000; 10000; 6900; 10000; 8800; 9700; 9500; 9300; 9500; 8900; 7400; 7900; 8200; 8300; 9600; 7900; 10000; 7000; 7100; 6400; 9900; 9300],500,501,0.031850337982177734
21,38,0.774228947368421,[5; 16; 4; 2; 48; 27; 8; 9; 26; 6; 35; 37; 41; 29; 3; 49; 22; 18; 30; 43; 32; 40; 47; 25; 46; 44; 13; 1; 17; 19; 33; 38; 31; 39; 34; 0; 21; 7; 10; 24; 36; 42; 12; 11; 14; 20; 28; 45; 23; 15],[[5]; [16]; [4]; [2]; [48; 27]; [8]; [9]; [26]; [6]; [35; 37]; [41; 29]; [3]; [49; 22]; [18]; [30; 43]; [32; 40]; [47; 25]; [46; 44]; [13]; [1]; [17]; [19]; [33; 38]; [31; 39]; [34]; [0]; [21]; [7]; [10]; [24]; [36; 42]; [12]; [11]; [14]; [20]; [28; 45]; [23]; [15]],[9500; 7900; 9500; 9500; 9700; 9300; 9100; 6500; 9400; 10000; 9900; 9500; 10000; 7700; 9300; 9600; 10000; 7400; 8300; 9700; 7800; 7700; 9900; 9900; 5300; 10000; 7100; 9300; 9000; 6800; 9000; 8700; 8900; 8200; 7400; 9800; 6800; 7900],1050,1051,0.07869625091552734
13,38,0.7725973684210526,[10; 43; 44; 46; 34; 18; 15; 2; 37; 35; 30; 41; 16; 48; 26; 1; 20; 4; 24; 13; 3; 49; 23; 0; 6; 14; 8; 39; 33; 21; 12; 27; 25; 47; 28; 19; 38; 32; 5; 11; 36; 45; 42; 29; 17; 22; 9; 7; 31; 40],[[10]; [43; 44]; [46; 34]; [18]; [15]; [2]; [37; 35]; [30; 41]; [16]; [48; 26]; [1]; [20]; [4]; [24]; [13]; [3]; [49; 23]; [0]; [6]; [14]; [8]; [39; 33]; [21]; [12]; [27]; [25; 47]; [28]; [19]; [38; 32]; [5]; [11]; [36; 45]; [42; 29]; [17]; [22]; [9]; [7]; [31; 40]],[9000; 7500; 9000; 7700; 7900; 9500; 10000; 9600; 7900; 9800; 9700; 7400; 9500; 6800; 8300; 9500; 9900; 10000; 9400; 8200; 9300; 9700; 7100; 8700; 6400; 10000; 6100; 7700; 10000; 9500; 8900; 8800; 9700; 7800; 6900; 9100; 9300; 9700],650,651,0.04678750038146973
8,38,0.771528947368421,[12; 20; 16; 10; 30; 41; 2; 45; 40; 22; 15; 21; 13; 14; 31; 39; 34; 46; 37; 35; 44; 36; 4; 11; 8; 42; 32; 27; 7; 18; 17; 1; 9; 24; 49; 47; 29; 19; 5; 3; 43; 28; 0; 48; 25; 33; 38; 23; 26; 6],[[12]; [20]; [16]; [10]; [30; 41]; [2]; [45; 40]; [22]; [15]; [21]; [13]; [14]; [31; 39]; [34; 46]; [37; 35]; [44; 36]; [4]; [11]; [8]; [42; 32]; [27]; [7]; [18]; [17]; [1]; [9]; [24; 49]; [47; 29]; [19]; [5]; [3]; [43; 28]; [0]; [48; 25]; [33; 38]; [23]; [26]; [6]],[8700; 7400; 7900; 9000; 9600; 9500; 7900; 6900; 7900; 7100; 8300; 8200; 9900; 9000; 10000; 8800; 9500; 8900; 9300; 9300; 6400; 9300; 7700; 7800; 9700; 9100; 9900; 9300; 7700; 9500; 9500; 9900; 10000; 9800; 9900; 6800; 6500; 9400],400,401,0.03125
18,38,0.7772184210526315,[9; 11; 45; 22; 31; 46; 23; 26; 30; 42; 14; 40; 29; 7; 4; 28; 43; 38; 32; 6; 2; 49; 24; 13; 10; 44; 35; 20; 1; 8; 25; 48; 12; 37; 36; 39; 34; 15; 18; 21; 16; 19; 27; 47; 3; 17; 0; 41; 33; 5],[[9]; [11]; [45]; [22]; [31; 46]; [23]; [26]; [30; 42]; [14]; [40; 29]; [7]; [4]; [28; 43]; [38; 32]; [6]; [2]; [49; 24]; [13]; [10]; [44; 35]; [20]; [1]; [8]; [25; 48]; [12]; [37; 36]; [39; 34]; [15]; [18]; [21]; [16]; [19]; [27; 47]; [3]; [17]; [0]; [41; 33]; [5]],[9100; 8900; 3700; 6900; 9200; 6800; 6500; 9400; 8200; 10000; 9300; 9500; 9900; 10000; 9400; 9500; 9900; 8300; 9000; 8800; 7400; 9700; 9300; 9800; 8700; 10000; 9700; 7900; 7700; 7100; 7900; 7700; 9900; 9500; 7800; 10000; 9400; 9500],900,901,0.06319522857666016
15,38,0.7773236842105262,[3; 27; 31; 45; 4; 38; 33; 37; 35; 24; 49; 19; 14; 0; 30; 39; 13; 32; 43; 23; 46; 7; 22; 12; 18; 11; 5; 1; 2; 9; 29; 41; 10; 28; 44; 16; 34; 40; 21; 15; 20; 42; 36; 17; 26; 47; 6; 8; 25; 48],[[3]; [27]; [31; 45]; [4]; [38; 33]; [37; 35]; [24; 49]; [19]; [14]; [0]; [30; 39]; [13]; [32; 43]; [23]; [46]; [7]; [22]; [12]; [18]; [11]; [5]; [1]; [2]; [9]; [29; 41]; [10]; [28; 44]; [16]; [34; 40]; [21]; [15]; [20]; [42; 36]; [17]; [26; 47]; [6]; [8]; [25; 48]],[9500; 6400; 9200; 9500; 9900; 10000; 9900; 7700; 8200; 10000; 9900; 8300; 9200; 6800; 3700; 9300; 6900; 8700; 7700; 8900; 9500; 9700; 9500; 9100; 9900; 9000; 9800; 7900; 9500; 7100; 7900; 7400; 9000; 7800; 10000; 9400; 9300; 9800],750,751,0.07216835021972656
11,38,0.7706815789473684,[36; 44; 6; 15; 19; 10; 0; 39; 37; 26; 47; 20; 7; 1; 16; 28; 46; 5; 48; 35; 9; 21; 18; 17; 42; 30; 33; 41; 31; 45; 32; 38; 12; 29; 40; 22; 27; 23; 43; 34; 14; 13; 8; 11; 49; 25; 24; 2; 3; 4],[[36; 44]; [6]; [15]; [19]; [10]; [0]; [39; 37]; [26; 47]; [20]; [7]; [1]; [16]; [28; 46]; [5]; [48; 35]; [9]; [21]; [18]; [17]; [42; 30]; [33; 41]; [31; 45]; [32; 38]; [12]; [29; 40]; [22]; [27]; [23]; [43; 34]; [14]; [13]; [8]; [11]; [49; 25]; [24]; [2]; [3]; [4]],[8800; 9400; 7900; 7700; 9000; 10000; 9300; 10000; 7400; 9300; 9700; 7900; 9800; 9500; 8400; 9100; 7100; 7700; 7800; 9400; 9400; 9200; 10000; 8700; 10000; 6900; 6400; 6800; 9100; 8200; 8300; 9300; 8900; 9600; 6800; 9500; 9500; 9500],550,551,0.047327280044555664
