Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
21,24,0.8091869212962962,[18; 15; 45; 31; 33; 6; 1; 10; 38; 42; 47; 9; 0; 46; 28; 19; 12; 5; 30; 49; 16; 43; 4; 26; 20; 17; 21; 25; 36; 2; 29; 13; 24; 27; 8; 48; 32; 11; 39; 40; 3; 34; 23; 22; 37; 14; 35; 7; 44; 41],[[18]; [15; 45; 31]; [33; 6]; [1]; [10; 38; 42; 47]; [9]; [0; 46]; [28; 19]; [12]; [5]; [30; 49; 16]; [43; 4]; [26; 20]; [17]; [21; 25]; [36; 2]; [29; 13]; [24; 27]; [8; 48; 32]; [11; 39; 40]; [3; 34]; [23; 22]; [37; 14; 35]; [7; 44; 41]],[6600; 12000; 11900; 9600; 11700; 8300; 10600; 12000; 7300; 9000; 11700; 10500; 11900; 6700; 11700; 11900; 11700; 11300; 12000; 10600; 12000; 11700; 11900; 11100],1050,1051,0.06273317337036133
15,24,0.8048003472222223,[5; 0; 9; 34; 4; 12; 30; 23; 26; 41; 17; 32; 14; 37; 38; 46; 15; 22; 27; 33; 6; 11; 36; 40; 1; 8; 28; 18; 35; 13; 21; 24; 20; 25; 3; 42; 47; 16; 10; 31; 29; 19; 45; 49; 43; 7; 48; 2; 44; 39],[[5]; [0]; [9; 34]; [4]; [12; 30]; [23; 26]; [41; 17; 32]; [14; 37; 38; 46]; [15]; [22; 27]; [33; 6]; [11; 36; 40]; [1]; [8]; [28; 18]; [35; 13]; [21; 24]; [20; 25]; [3; 42; 47]; [16]; [10; 31]; [29; 19; 45]; [49; 43; 7; 48]; [2; 44; 39]],[9000; 9800; 11200; 9100; 11800; 11400; 11300; 11900; 7000; 11400; 11900; 11400; 9600; 8300; 12000; 9800; 11800; 12000; 11300; 7000; 11800; 12000; 10900; 12000],750,751,0.06238389015197754
28,24,0.8158998842592592,[25; 20; 33; 9; 48; 29; 11; 5; 45; 40; 17; 19; 15; 1; 36; 0; 42; 18; 28; 39; 8; 38; 41; 44; 2; 10; 43; 34; 13; 3; 35; 26; 27; 7; 46; 12; 31; 14; 30; 37; 4; 47; 23; 49; 22; 24; 21; 6; 32; 16],[[25; 20]; [33; 9; 48]; [29; 11]; [5; 45; 40]; [17]; [19]; [15]; [1; 36]; [0; 42]; [18; 28]; [39; 8; 38]; [41; 44; 2]; [10; 43; 34]; [13]; [3; 35]; [26; 27]; [7; 46]; [12; 31]; [14; 30]; [37; 4; 47]; [23; 49; 22]; [24; 21]; [6; 32]; [16]],[12000; 12000; 11900; 11500; 6700; 6600; 7000; 12000; 11200; 12000; 11700; 11900; 12000; 7200; 11700; 11100; 9500; 11400; 11700; 12000; 11900; 11800; 11900; 7000],1400,1401,0.09361958503723145
338,24,0.815882523148148,[33; 7; 41; 10; 29; 15; 18; 9; 35; 45; 19; 28; 21; 23; 49; 46; 43; 0; 30; 11; 12; 25; 20; 37; 40; 8; 4; 48; 47; 13; 31; 16; 2; 38; 6; 32; 14; 1; 36; 44; 26; 27; 3; 34; 24; 22; 17; 5; 39; 42],[[33; 7]; [41; 10]; [29; 15]; [18]; [9; 35; 45]; [19; 28]; [21; 23; 49]; [46; 43; 0]; [30; 11]; [12]; [25; 20]; [37; 40; 8]; [4; 48; 47]; [13; 31]; [16]; [2; 38]; [6; 32]; [14]; [1; 36]; [44; 26; 27]; [3; 34]; [24; 22]; [17]; [5; 39; 42]],[11800; 9200; 11500; 6600; 11800; 12000; 12000; 12000; 11900; 7300; 12000; 12000; 10500; 11300; 7000; 11300; 11900; 7200; 12000; 12000; 12000; 11700; 6700; 12000],16900,16901,1.2543349266052246
20,24,0.8106278935185185,[20; 27; 25; 26; 4; 34; 0; 40; 22; 24; 37; 45; 5; 19; 28; 10; 39; 18; 6; 23; 21; 30; 16; 3; 42; 47; 46; 14; 17; 2; 41; 9; 35; 49; 44; 31; 12; 43; 32; 11; 1; 48; 38; 15; 7; 33; 8; 36; 29; 13],[[20; 27]; [25; 26]; [4; 34]; [0; 40]; [22; 24]; [37; 45; 5]; [19; 28]; [10; 39]; [18]; [6]; [23; 21]; [30; 16]; [3; 42; 47]; [46; 14]; [17]; [2; 41]; [9; 35; 49; 44]; [31; 12]; [43; 32; 11]; [1; 48; 38]; [15]; [7; 33]; [8; 36]; [29; 13]],[11800; 11300; 12000; 11400; 11700; 12000; 12000; 9300; 6600; 8800; 11800; 11500; 11300; 8000; 6700; 11000; 12000; 11400; 11900; 12000; 7000; 11800; 10700; 11700],1000,1001,0.06412839889526367
113,24,0.817259837962963,[4; 34; 8; 37; 40; 5; 35; 26; 20; 9; 32; 44; 2; 39; 28; 18; 0; 45; 41; 42; 3; 27; 25; 47; 30; 11; 24; 23; 48; 19; 1; 36; 21; 22; 17; 29; 46; 10; 31; 49; 12; 7; 33; 43; 6; 38; 13; 15; 16; 14],[[4; 34]; [8; 37; 40]; [5; 35]; [26; 20]; [9; 32]; [44; 2; 39]; [28; 18]; [0; 45]; [41; 42; 3]; [27; 25; 47]; [30; 11]; [24; 23]; [48; 19]; [1; 36]; [21; 22]; [17; 29; 46]; [10; 31; 49]; [12]; [7; 33]; [43; 6; 38]; [13]; [15]; [16]; [14]],[12000; 12000; 11600; 11900; 11400; 12000; 12000; 10700; 12000; 12000; 11900; 11600; 7200; 12000; 11900; 12000; 12000; 7300; 11800; 12000; 7200; 7000; 7000; 7200],5650,5651,0.4230618476867676
30,24,0.8147482638888889,[42; 4; 45; 30; 12; 22; 21; 36; 5; 3; 39; 18; 28; 7; 32; 34; 16; 37; 13; 14; 19; 15; 17; 0; 41; 20; 26; 11; 29; 1; 38; 48; 8; 35; 31; 49; 10; 9; 46; 43; 2; 40; 44; 47; 25; 27; 33; 6; 24; 23],[[42; 4; 45]; [30; 12]; [22; 21]; [36; 5]; [3; 39]; [18; 28]; [7; 32]; [34; 16; 37]; [13]; [14]; [19]; [15]; [17]; [0; 41]; [20; 26]; [11; 29]; [1; 38; 48]; [8; 35]; [31; 49; 10]; [9; 46; 43]; [2; 40; 44]; [47; 25; 27]; [33; 6]; [24; 23]],[11400; 11800; 11900; 11400; 10700; 12000; 11800; 12000; 7200; 7200; 6600; 7000; 6700; 11300; 11900; 11900; 12000; 10900; 12000; 10500; 12000; 12000; 11900; 11600],1500,1501,0.09432363510131836
16,24,0.8096440972222222,[6; 32; 25; 27; 46; 40; 7; 18; 5; 36; 30; 12; 45; 49; 33; 15; 43; 3; 24; 21; 47; 39; 2; 38; 1; 41; 10; 31; 11; 8; 35; 44; 28; 19; 4; 29; 13; 37; 0; 17; 14; 9; 20; 26; 48; 42; 16; 34; 23; 22],[[6; 32]; [25; 27; 46]; [40; 7]; [18]; [5; 36]; [30; 12]; [45; 49; 33; 15]; [43; 3]; [24; 21]; [47; 39; 2]; [38; 1]; [41; 10]; [31; 11]; [8; 35; 44]; [28; 19]; [4]; [29; 13]; [37; 0]; [17]; [14]; [9]; [20; 26]; [48; 42; 16; 34]; [23; 22]],[11900; 12000; 10300; 6600; 11400; 11800; 11200; 10500; 11800; 11900; 11400; 9200; 11500; 11800; 12000; 9100; 11700; 11900; 6700; 7200; 8300; 11900; 11900; 11700],800,801,0.06237339973449707
51,24,0.8136429398148147,[19; 14; 44; 40; 45; 42; 9; 32; 21; 22; 27; 24; 28; 18; 8; 39; 38; 48; 4; 26; 23; 2; 49; 41; 47; 10; 31; 15; 17; 7; 20; 25; 43; 13; 46; 35; 5; 6; 33; 0; 37; 36; 1; 30; 11; 16; 29; 34; 3; 12],[[19]; [14; 44; 40; 45; 42]; [9; 32]; [21; 22]; [27; 24]; [28; 18]; [8; 39; 38]; [48; 4]; [26; 23]; [2; 49; 41; 47]; [10; 31]; [15]; [17]; [7]; [20; 25]; [43; 13; 46; 35]; [5]; [6; 33]; [0; 37]; [36; 1]; [30; 11]; [16; 29]; [34; 3]; [12]],[6600; 12000; 11400; 11900; 11300; 12000; 11700; 9700; 11400; 12000; 11800; 7000; 6700; 8700; 12000; 12000; 9000; 11900; 11900; 12000; 11900; 11500; 12000; 7300],2550,2551,0.19231057167053223
24,24,0.8128327546296297,[5; 34; 16; 29; 31; 46; 15; 10; 44; 13; 12; 3; 39; 45; 9; 38; 41; 23; 21; 7; 42; 20; 25; 14; 32; 40; 37; 2; 19; 17; 0; 47; 43; 27; 26; 22; 24; 1; 36; 30; 11; 6; 49; 18; 28; 35; 4; 8; 48; 33],[[5; 34]; [16; 29]; [31; 46; 15]; [10; 44]; [13]; [12]; [3; 39; 45]; [9; 38; 41]; [23; 21]; [7; 42]; [20; 25]; [14; 32; 40]; [37; 2]; [19]; [17]; [0; 47; 43]; [27; 26]; [22; 24]; [1; 36]; [30; 11]; [6; 49]; [18; 28]; [35; 4]; [8; 48; 33]],[11900; 11500; 11900; 8600; 7200; 7300; 11600; 11600; 11800; 10100; 12000; 11900; 11600; 6600; 6700; 12000; 11100; 11700; 12000; 11900; 9000; 12000; 11700; 12000],1200,1201,0.09363102912902832
43,24,0.8143373842592595,[2; 37; 49; 33; 9; 12; 29; 44; 16; 31; 14; 3; 34; 15; 0; 24; 48; 26; 45; 1; 41; 40; 6; 39; 38; 43; 10; 47; 21; 22; 19; 4; 8; 17; 13; 30; 36; 42; 46; 11; 5; 35; 28; 18; 7; 32; 25; 20; 23; 27],[[2; 37; 49]; [33; 9]; [12; 29]; [44; 16; 31]; [14]; [3; 34]; [15]; [0]; [24; 48; 26]; [45; 1; 41]; [40; 6; 39]; [38; 43; 10; 47]; [21; 22]; [19]; [4]; [8]; [17]; [13; 30]; [36; 42; 46; 11]; [5; 35]; [28; 18]; [7; 32]; [25; 20]; [23; 27]],[11800; 11400; 11800; 12000; 7200; 12000; 7000; 9800; 12000; 12000; 12000; 11700; 11900; 6600; 9100; 8300; 6700; 11700; 12000; 11600; 12000; 11800; 12000; 11300],2150,2151,0.15648722648620605
32,24,0.8120457175925927,[16; 4; 49; 44; 22; 21; 13; 30; 23; 27; 15; 5; 34; 0; 42; 46; 10; 7; 32; 18; 9; 45; 26; 24; 11; 29; 8; 3; 40; 33; 6; 28; 19; 12; 31; 48; 36; 43; 41; 17; 14; 35; 37; 47; 1; 39; 25; 20; 38; 2],[[16]; [4; 49; 44]; [22; 21]; [13; 30]; [23; 27]; [15]; [5; 34]; [0; 42; 46]; [10]; [7; 32]; [18]; [9; 45]; [26; 24]; [11; 29]; [8]; [3; 40]; [33; 6]; [28; 19]; [12; 31; 48]; [36; 43; 41; 17]; [14; 35; 37]; [47; 1; 39]; [25; 20]; [38; 2]],[7000; 10200; 11900; 11700; 11300; 7000; 11900; 12000; 7700; 11800; 6600; 9200; 11400; 11900; 8300; 10700; 11900; 12000; 12000; 12000; 11900; 12000; 12000; 11300],1600,1601,0.1099843978881836
40,24,0.8108015046296294,[14; 29; 6; 28; 19; 47; 0; 45; 40; 2; 44; 25; 20; 23; 27; 15; 4; 34; 5; 48; 36; 9; 26; 24; 35; 18; 8; 32; 21; 22; 11; 30; 3; 10; 31; 1; 46; 39; 42; 37; 12; 41; 38; 43; 13; 17; 7; 33; 49; 16],[[14; 29]; [6]; [28; 19]; [47; 0; 45]; [40; 2; 44]; [25; 20]; [23; 27]; [15]; [4; 34]; [5; 48; 36]; [9]; [26; 24]; [35; 18]; [8; 32]; [21; 22]; [11; 30]; [3]; [10; 31]; [1; 46; 39]; [42; 37; 12]; [41; 38; 43; 13]; [17]; [7; 33; 49]; [16]],[11700; 8800; 12000; 11500; 12000; 12000; 11300; 7000; 12000; 12000; 8300; 11400; 9200; 11400; 11900; 11900; 9100; 11800; 12000; 10800; 11900; 6700; 12000; 7000],2000,2001,0.14081048965454102
48,24,0.8122829861111112,[4; 41; 43; 8; 25; 20; 15; 44; 31; 7; 5; 17; 48; 30; 33; 46; 10; 38; 35; 12; 40; 2; 13; 18; 28; 47; 0; 42; 23; 26; 32; 6; 16; 9; 21; 22; 19; 11; 37; 45; 39; 36; 1; 24; 27; 29; 49; 14; 3; 34],[[4; 41; 43]; [8]; [25; 20]; [15; 44; 31]; [7]; [5]; [17; 48; 30]; [33; 46; 10]; [38; 35; 12]; [40; 2]; [13]; [18; 28]; [47; 0; 42]; [23; 26]; [32; 6]; [16]; [9]; [21; 22]; [19]; [11; 37; 45; 39]; [36; 1]; [24; 27]; [29; 49; 14]; [3; 34]],[12000; 8300; 12000; 12000; 8700; 9000; 11800; 11600; 11700; 11100; 7200; 12000; 12000; 11400; 11900; 7000; 8300; 11900; 6600; 12000; 12000; 11300; 11900; 12000],2400,2401,0.15713930130004883
145,24,0.8178211805555556,[33; 6; 16; 10; 31; 17; 8; 3; 43; 41; 5; 44; 37; 34; 9; 47; 18; 25; 20; 0; 38; 1; 36; 22; 48; 27; 30; 11; 15; 21; 49; 23; 32; 46; 14; 42; 39; 7; 19; 28; 26; 24; 29; 12; 35; 4; 13; 2; 40; 45],[[33; 6]; [16]; [10; 31]; [17]; [8]; [3; 43; 41]; [5; 44; 37]; [34; 9; 47]; [18]; [25; 20]; [0; 38]; [1; 36]; [22; 48; 27]; [30; 11]; [15]; [21; 49; 23]; [32; 46; 14]; [42; 39; 7]; [19; 28]; [26; 24]; [29; 12]; [35; 4]; [13]; [2; 40; 45]],[11900; 7000; 11800; 6700; 8300; 12000; 12000; 12000; 6600; 12000; 11600; 12000; 12000; 11900; 7000; 12000; 11100; 11700; 12000; 11400; 11800; 11700; 7200; 12000],7250,7251,0.533958911895752
14,24,0.8064380787037037,[23; 24; 6; 37; 44; 17; 19; 28; 1; 43; 12; 30; 46; 3; 13; 0; 38; 31; 14; 9; 22; 27; 18; 42; 25; 20; 5; 36; 48; 11; 34; 49; 10; 35; 41; 21; 26; 7; 33; 47; 45; 4; 29; 16; 8; 2; 39; 32; 15; 40],[[23; 24]; [6; 37; 44]; [17]; [19; 28]; [1; 43]; [12; 30]; [46; 3]; [13]; [0; 38]; [31; 14]; [9]; [22; 27]; [18; 42]; [25; 20]; [5; 36; 48]; [11; 34; 49]; [10; 35; 41]; [21; 26]; [7; 33]; [47; 45; 4]; [29; 16]; [8]; [2; 39]; [32; 15; 40]],[11600; 11800; 6700; 12000; 11000; 11800; 9900; 7200; 11600; 11300; 8300; 11400; 8000; 12000; 12000; 10500; 11800; 11600; 11800; 10800; 11500; 8300; 11100; 11700],700,701,0.062490224838256836
45,24,0.8149103009259258,[43; 13; 14; 29; 38; 9; 40; 3; 41; 42; 10; 49; 31; 33; 7; 46; 12; 48; 11; 30; 16; 15; 2; 39; 45; 27; 20; 25; 26; 0; 4; 34; 18; 21; 24; 32; 6; 19; 28; 36; 1; 17; 23; 22; 35; 8; 47; 37; 5; 44],[[43; 13]; [14; 29]; [38; 9; 40]; [3; 41; 42]; [10; 49; 31]; [33; 7]; [46; 12; 48]; [11; 30]; [16]; [15]; [2; 39; 45]; [27; 20]; [25; 26]; [0]; [4; 34]; [18]; [21; 24]; [32; 6]; [19; 28]; [36; 1]; [17]; [23; 22]; [35; 8; 47]; [37; 5; 44]],[8600; 11700; 11700; 12000; 12000; 11800; 8700; 11900; 7000; 7000; 12000; 11800; 11300; 9800; 12000; 6600; 11800; 11900; 12000; 12000; 6700; 11700; 11700; 12000],2250,2251,0.15665721893310547
43,24,0.813695023148148,[22; 23; 25; 20; 6; 33; 1; 42; 7; 41; 39; 15; 16; 47; 27; 26; 44; 9; 14; 32; 46; 45; 40; 5; 24; 21; 31; 12; 48; 4; 35; 11; 30; 28; 19; 10; 36; 38; 49; 13; 29; 0; 43; 37; 2; 17; 8; 18; 3; 34],[[22; 23]; [25; 20]; [6; 33]; [1; 42]; [7; 41; 39]; [15]; [16; 47]; [27; 26; 44]; [9]; [14; 32; 46; 45]; [40; 5]; [24; 21]; [31; 12; 48]; [4; 35]; [11; 30]; [28; 19]; [10; 36; 38]; [49; 13; 29]; [0; 43]; [37; 2]; [17]; [8]; [18]; [3; 34]],[11700; 12000; 11900; 11000; 11800; 7000; 7800; 12000; 8300; 12000; 10600; 11800; 12000; 11700; 11900; 12000; 11900; 11900; 11200; 11600; 6700; 8300; 6600; 12000],2150,2151,0.14219164848327637
30,24,0.8122424768518517,[30; 12; 0; 4; 42; 43; 27; 23; 25; 24; 19; 28; 44; 11; 13; 29; 3; 39; 7; 49; 33; 38; 9; 21; 22; 10; 6; 32; 46; 5; 37; 1; 45; 41; 34; 8; 47; 16; 17; 15; 36; 35; 31; 48; 14; 2; 40; 20; 26; 18],[[30; 12]; [0]; [4; 42; 43]; [27; 23]; [25; 24]; [19; 28]; [44; 11]; [13; 29]; [3; 39]; [7; 49; 33]; [38; 9]; [21; 22]; [10]; [6; 32]; [46; 5; 37]; [1; 45; 41]; [34; 8; 47]; [16]; [17]; [15; 36; 35]; [31; 48; 14]; [2; 40]; [20; 26]; [18]],[11800; 9800; 11900; 11300; 11500; 12000; 8300; 11700; 10700; 12000; 10100; 11900; 7700; 11900; 11900; 12000; 12000; 7000; 6700; 12000; 11900; 11100; 11900; 6600],1500,1501,0.09430623054504395
25,24,0.8125028935185185,[2; 18; 12; 30; 42; 13; 33; 6; 32; 24; 26; 15; 20; 25; 4; 34; 19; 28; 7; 29; 11; 46; 8; 17; 22; 27; 0; 40; 31; 45; 16; 41; 43; 3; 5; 47; 37; 36; 44; 9; 10; 39; 35; 1; 38; 14; 48; 21; 23; 49],[[2]; [18]; [12; 30]; [42; 13; 33]; [6; 32]; [24; 26]; [15]; [20; 25]; [4; 34]; [19; 28]; [7]; [29; 11]; [46; 8]; [17]; [22; 27]; [0; 40]; [31; 45; 16]; [41; 43; 3]; [5; 47; 37]; [36; 44; 9]; [10; 39; 35]; [1; 38]; [14; 48]; [21; 23; 49]],[9500; 6600; 11800; 11700; 11900; 11400; 7000; 12000; 12000; 12000; 8700; 11900; 9100; 6700; 11400; 11400; 12000; 12000; 11900; 11600; 11900; 11400; 7800; 12000],1250,1251,0.09433937072753906
64,24,0.8136950231481482,[15; 13; 29; 49; 34; 9; 26; 27; 17; 28; 18; 8; 44; 35; 7; 10; 31; 6; 40; 39; 33; 14; 48; 1; 36; 12; 46; 47; 32; 19; 25; 20; 2; 43; 37; 0; 30; 11; 23; 24; 21; 22; 45; 38; 3; 4; 41; 42; 16; 5],[[15]; [13; 29; 49]; [34; 9]; [26; 27]; [17]; [28; 18]; [8; 44; 35]; [7]; [10; 31]; [6; 40; 39]; [33; 14; 48]; [1; 36]; [12; 46; 47; 32]; [19]; [25; 20]; [2; 43]; [37; 0]; [30; 11]; [23; 24]; [21; 22]; [45; 38; 3]; [4; 41; 42]; [16]; [5]],[7000; 11900; 11200; 11100; 6700; 12000; 11800; 8700; 11800; 12000; 10900; 12000; 12000; 6600; 12000; 10900; 11900; 11900; 11600; 11900; 11800; 12000; 7000; 9000],3200,3201,0.2197132110595703
40,24,0.8109461805555557,[31; 16; 44; 37; 1; 26; 25; 20; 27; 8; 0; 43; 47; 24; 23; 33; 10; 45; 30; 13; 36; 34; 17; 35; 3; 32; 7; 42; 12; 38; 41; 39; 5; 4; 18; 2; 40; 48; 49; 21; 22; 29; 11; 15; 6; 46; 28; 19; 14; 9],[[31; 16; 44]; [37; 1]; [26; 25]; [20; 27]; [8]; [0; 43; 47]; [24; 23]; [33; 10; 45]; [30; 13]; [36; 34; 17]; [35; 3]; [32; 7]; [42; 12; 38; 41]; [39; 5]; [4]; [18]; [2; 40; 48; 49]; [21; 22]; [29; 11]; [15]; [6; 46]; [28; 19]; [14]; [9]],[12000; 11700; 11300; 11800; 8300; 12000; 11600; 11700; 11700; 12000; 11700; 11800; 12000; 10600; 9100; 6600; 11900; 11900; 11900; 7000; 9600; 12000; 7200; 8300],2000,2001,0.14111018180847168
25,24,0.8091001157407406,[16; 32; 25; 23; 45; 46; 7; 43; 12; 29; 1; 42; 35; 44; 9; 47; 5; 38; 34; 3; 19; 28; 14; 40; 37; 21; 26; 41; 13; 10; 31; 6; 36; 33; 8; 24; 22; 27; 49; 20; 15; 2; 4; 0; 39; 48; 17; 11; 30; 18],[[16; 32]; [25; 23]; [45; 46; 7; 43]; [12; 29]; [1; 42]; [35; 44; 9]; [47; 5; 38]; [34; 3]; [19; 28]; [14; 40; 37]; [21; 26]; [41; 13]; [10; 31]; [6; 36]; [33; 8]; [24; 22]; [27; 49; 20]; [15]; [2]; [4]; [0; 39; 48]; [17]; [11; 30]; [18]],[10100; 11500; 11800; 11800; 11000; 11800; 11600; 12000; 12000; 10900; 11600; 8700; 11800; 11200; 11400; 11700; 12000; 7000; 9500; 9100; 12000; 6700; 11900; 6600],1250,1251,0.09374022483825684
21,24,0.8115711805555555,[13; 47; 4; 35; 41; 7; 46; 44; 5; 34; 15; 25; 20; 33; 8; 3; 39; 22; 21; 49; 16; 10; 31; 11; 30; 0; 40; 9; 32; 28; 18; 17; 14; 48; 12; 29; 6; 1; 43; 45; 36; 2; 27; 26; 19; 38; 37; 42; 23; 24],[[13; 47]; [4; 35]; [41; 7; 46; 44]; [5; 34]; [15]; [25; 20]; [33; 8]; [3; 39]; [22; 21]; [49; 16]; [10; 31]; [11; 30]; [0; 40]; [9; 32]; [28; 18]; [17]; [14; 48]; [12; 29]; [6]; [1; 43; 45]; [36; 2]; [27; 26]; [19; 38; 37; 42]; [23; 24]],[8000; 11700; 11900; 11900; 7000; 12000; 11400; 10700; 11900; 7200; 11800; 11900; 11400; 11400; 12000; 6700; 7800; 11800; 8800; 11900; 11900; 11100; 11900; 11600],1050,1051,0.07808732986450195
64,24,0.8139091435185185,[18; 17; 7; 33; 15; 13; 38; 1; 39; 47; 0; 49; 48; 43; 25; 20; 4; 19; 28; 31; 10; 2; 36; 27; 26; 8; 40; 45; 30; 11; 6; 32; 34; 3; 42; 35; 46; 14; 23; 24; 37; 5; 44; 9; 41; 29; 12; 21; 22; 16],[[18]; [17]; [7; 33]; [15]; [13; 38]; [1; 39; 47]; [0; 49; 48; 43]; [25; 20]; [4]; [19; 28]; [31; 10]; [2; 36]; [27; 26]; [8; 40; 45]; [30; 11]; [6; 32]; [34; 3]; [42; 35; 46; 14]; [23; 24]; [37; 5; 44]; [9; 41]; [29; 12]; [21; 22]; [16]],[6600; 6700; 11800; 7000; 9000; 12000; 12000; 12000; 9100; 12000; 11800; 11900; 11100; 10800; 11900; 11900; 12000; 12000; 11600; 12000; 9800; 11800; 11900; 7000],3200,3201,0.21928668022155762
74,24,0.8137065972222223,[23; 21; 40; 5; 42; 9; 31; 10; 3; 47; 37; 18; 13; 7; 38; 26; 24; 48; 30; 11; 4; 34; 15; 35; 46; 41; 0; 14; 29; 33; 6; 12; 43; 32; 17; 16; 28; 19; 25; 20; 1; 36; 27; 22; 49; 45; 2; 44; 39; 8],[[23; 21]; [40; 5; 42]; [9]; [31; 10]; [3; 47; 37]; [18]; [13]; [7; 38]; [26; 24; 48]; [30; 11]; [4; 34]; [15; 35; 46; 41]; [0]; [14; 29]; [33; 6]; [12; 43; 32]; [17]; [16]; [28; 19]; [25; 20]; [1; 36]; [27; 22; 49]; [45; 2; 44]; [39; 8]],[11800; 12000; 8300; 11800; 12000; 6600; 7200; 10500; 12000; 11900; 12000; 11900; 9800; 11700; 11900; 11800; 6700; 7000; 12000; 12000; 12000; 11600; 11300; 9900],3700,3701,0.2514684200286865
