Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
501,26,0.8839823717948718,[37; 9; 6; 45; 22; 21; 3; 47; 1; 28; 31; 30; 18; 41; 40; 26; 29; 12; 33; 39; 14; 27; 24; 34; 13; 38; 8; 4; 16; 42; 2; 48; 32; 15; 5; 44; 23; 20; 0; 49; 43; 7; 19; 25; 35; 11; 46; 17; 10; 36],[[37; 9]; [6; 45]; [22; 21]; [3; 47]; [1]; [28; 31]; [30; 18]; [41; 40; 26]; [29]; [12; 33]; [39; 14]; [27; 24]; [34; 13]; [38; 8]; [4]; [16; 42]; [2; 48]; [32; 15]; [5; 44]; [23; 20]; [0; 49]; [43; 7]; [19; 25]; [35; 11]; [46; 17]; [10; 36]],[12000; 11600; 11700; 12000; 10000; 10200; 11900; 12000; 5100; 12000; 10900; 11000; 11800; 12000; 9800; 10200; 12000; 12000; 11700; 12000; 12000; 11500; 12000; 12000; 9500; 12000],25050,25051,1.8672192096710205
501,26,0.8827697649572651,[15; 43; 45; 6; 2; 47; 4; 30; 31; 0; 49; 29; 26; 36; 11; 13; 34; 24; 41; 42; 17; 5; 44; 33; 12; 39; 8; 18; 28; 1; 32; 14; 9; 37; 16; 10; 35; 7; 40; 20; 22; 25; 19; 3; 48; 23; 46; 38; 27; 21],[[15; 43]; [45; 6]; [2; 47]; [4]; [30; 31]; [0; 49]; [29; 26]; [36; 11]; [13; 34]; [24; 41; 42]; [17]; [5; 44]; [33; 12]; [39; 8]; [18; 28]; [1]; [32; 14]; [9; 37]; [16]; [10; 35]; [7; 40]; [20; 22]; [25; 19]; [3; 48]; [23; 46; 38]; [27; 21]],[10300; 11600; 12000; 9800; 10200; 12000; 10400; 12000; 11800; 12000; 7000; 11700; 12000; 12000; 11900; 10000; 12000; 12000; 7100; 12000; 11900; 12000; 12000; 12000; 12000; 11200],25050,25051,1.8774819374084473
501,26,0.8838541666666667,[16; 42; 9; 37; 28; 13; 34; 8; 38; 29; 30; 11; 35; 3; 47; 45; 39; 24; 4; 41; 14; 48; 2; 5; 44; 36; 10; 33; 12; 1; 7; 40; 27; 26; 32; 15; 46; 6; 21; 23; 0; 49; 20; 22; 43; 17; 25; 19; 31; 18],[[16; 42]; [9; 37]; [28]; [13; 34]; [8; 38]; [29; 30]; [11; 35]; [3; 47]; [45; 39; 24]; [4]; [41; 14]; [48; 2]; [5; 44]; [36; 10]; [33; 12]; [1]; [7; 40]; [27; 26]; [32; 15]; [46; 6]; [21; 23]; [0; 49]; [20; 22]; [43; 17]; [25; 19]; [31; 18]],[10200; 12000; 5100; 11800; 12000; 10200; 12000; 12000; 12000; 9800; 10400; 12000; 11700; 12000; 12000; 10000; 11900; 10600; 12000; 11500; 11700; 12000; 12000; 10100; 12000; 11900],25050,25051,1.8787524700164795
501,26,0.8841853632478632,[43; 16; 9; 37; 7; 40; 27; 30; 11; 36; 22; 20; 4; 10; 35; 28; 0; 34; 13; 3; 47; 45; 5; 12; 33; 41; 39; 31; 29; 18; 19; 25; 26; 24; 17; 46; 44; 6; 15; 42; 1; 49; 21; 23; 32; 14; 38; 8; 2; 48],[[43; 16]; [9; 37]; [7; 40]; [27; 30]; [11; 36]; [22; 20]; [4]; [10; 35]; [28]; [0]; [34; 13]; [3; 47]; [45; 5]; [12; 33]; [41; 39; 31]; [29; 18]; [19; 25]; [26; 24]; [17; 46]; [44; 6]; [15; 42]; [1; 49]; [21; 23]; [32; 14]; [38; 8]; [2; 48]],[10200; 12000; 11900; 10400; 12000; 12000; 9800; 12000; 5100; 10000; 11800; 12000; 11700; 12000; 12000; 11900; 12000; 11000; 9500; 11600; 10300; 12000; 11700; 12000; 12000; 12000],25050,25051,1.89021897315979
501,26,0.8841853632478632,[40; 7; 3; 47; 26; 29; 45; 6; 5; 44; 14; 42; 11; 36; 9; 37; 10; 35; 33; 13; 4; 21; 23; 17; 46; 0; 16; 43; 8; 38; 25; 19; 28; 15; 32; 31; 18; 41; 39; 30; 22; 20; 49; 1; 12; 34; 2; 48; 24; 27],[[40; 7]; [3; 47]; [26; 29]; [45; 6]; [5; 44]; [14; 42]; [11; 36]; [9; 37]; [10; 35]; [33; 13]; [4]; [21; 23]; [17; 46]; [0]; [16; 43]; [8; 38]; [25; 19]; [28]; [15; 32]; [31; 18]; [41; 39; 30]; [22; 20]; [49; 1]; [12; 34]; [2; 48]; [24; 27]],[11900; 12000; 10400; 11600; 11700; 10300; 12000; 12000; 12000; 11800; 9800; 11700; 9500; 10000; 10200; 12000; 12000; 5100; 12000; 11900; 12000; 12000; 12000; 12000; 12000; 11000],25050,25051,1.8605644702911377
501,26,0.8831009615384615,[4; 9; 37; 35; 10; 36; 11; 45; 5; 29; 26; 44; 6; 16; 31; 27; 34; 12; 23; 43; 42; 46; 15; 21; 24; 49; 1; 13; 33; 0; 30; 41; 39; 40; 7; 25; 19; 17; 22; 20; 2; 47; 14; 32; 28; 18; 3; 48; 8; 38],[[4]; [9; 37]; [35; 10]; [36; 11]; [45; 5]; [29; 26]; [44; 6]; [16]; [31; 27]; [34; 12]; [23; 43; 42]; [46; 15]; [21; 24]; [49; 1]; [13; 33]; [0]; [30; 41; 39]; [40; 7]; [25; 19]; [17]; [22; 20]; [2; 47]; [14; 32]; [28; 18]; [3; 48]; [8; 38]],[9800; 12000; 12000; 12000; 11700; 10400; 11600; 7100; 10400; 12000; 12000; 9700; 11600; 12000; 11800; 10000; 12000; 11900; 12000; 7000; 12000; 12000; 12000; 11900; 12000; 12000],25050,25051,1.875199317932129
501,26,0.8841853632478632,[48; 2; 47; 3; 38; 8; 9; 37; 20; 23; 35; 11; 7; 40; 44; 6; 13; 34; 4; 41; 29; 39; 18; 28; 36; 10; 33; 12; 22; 21; 45; 5; 14; 32; 46; 17; 19; 25; 42; 16; 27; 30; 26; 24; 43; 15; 1; 49; 0; 31],[[48; 2]; [47; 3]; [38; 8]; [9; 37]; [20; 23]; [35; 11]; [7; 40]; [44; 6]; [13; 34]; [4]; [41; 29; 39]; [18; 28]; [36; 10]; [33; 12]; [22; 21]; [45; 5]; [14; 32]; [46; 17]; [19; 25]; [42; 16]; [27; 30]; [26; 24]; [43; 15]; [1; 49]; [0]; [31]],[12000; 12000; 12000; 12000; 12000; 12000; 11900; 11600; 11800; 9800; 12000; 11900; 12000; 12000; 11700; 11700; 12000; 9500; 12000; 10200; 10400; 11000; 10300; 12000; 10000; 5100],25050,25051,1.8804161548614502
501,26,0.8838488247863249,[25; 19; 44; 5; 37; 9; 4; 33; 12; 23; 38; 46; 0; 35; 10; 29; 1; 49; 8; 39; 3; 48; 30; 18; 6; 45; 7; 40; 32; 14; 47; 2; 13; 34; 20; 22; 41; 15; 28; 31; 11; 36; 24; 21; 27; 26; 16; 42; 17; 43],[[25; 19]; [44; 5]; [37; 9]; [4]; [33; 12]; [23; 38; 46]; [0]; [35; 10]; [29]; [1; 49]; [8; 39]; [3; 48]; [30; 18]; [6; 45]; [7; 40]; [32; 14]; [47; 2]; [13; 34]; [20; 22]; [41; 15]; [28; 31]; [11; 36]; [24; 21]; [27; 26]; [16; 42]; [17; 43]],[12000; 11700; 12000; 9800; 12000; 12000; 10000; 12000; 5100; 12000; 12000; 12000; 11900; 11600; 11900; 12000; 12000; 11800; 12000; 10400; 10200; 12000; 11600; 10600; 10200; 10100],25050,25051,1.885948657989502
501,26,0.8839610042735041,[10; 35; 33; 12; 15; 39; 48; 3; 47; 2; 37; 9; 27; 24; 23; 21; 30; 16; 43; 41; 7; 11; 36; 26; 19; 20; 22; 44; 5; 38; 8; 34; 13; 0; 31; 18; 32; 14; 49; 1; 40; 42; 25; 4; 45; 6; 29; 28; 17; 46],[[10; 35]; [33; 12]; [15; 39]; [48; 3]; [47; 2]; [37; 9]; [27; 24]; [23; 21]; [30]; [16; 43]; [41; 7]; [11; 36]; [26; 19]; [20; 22]; [44; 5]; [38; 8]; [34; 13]; [0]; [31; 18]; [32; 14]; [49; 1]; [40; 42; 25]; [4]; [45; 6]; [29; 28]; [17; 46]],[12000; 12000; 10900; 12000; 12000; 12000; 11000; 11700; 5100; 10200; 11600; 12000; 11900; 12000; 11700; 12000; 11800; 10000; 11900; 12000; 12000; 12000; 9800; 11600; 10200; 9500],25050,25051,1.8711562156677246
501,26,0.8841853632478632,[10; 36; 18; 31; 3; 47; 29; 14; 43; 21; 23; 7; 40; 11; 35; 32; 15; 25; 19; 1; 49; 30; 39; 41; 4; 16; 42; 9; 37; 0; 45; 6; 33; 13; 44; 5; 22; 20; 46; 17; 28; 26; 2; 48; 24; 27; 8; 38; 12; 34],[[10; 36]; [18; 31]; [3; 47]; [29]; [14; 43]; [21; 23]; [7; 40]; [11; 35]; [32; 15]; [25; 19]; [1; 49]; [30; 39; 41]; [4]; [16; 42]; [9; 37]; [0]; [45; 6]; [33; 13]; [44; 5]; [22; 20]; [46; 17]; [28; 26]; [2; 48]; [24; 27]; [8; 38]; [12; 34]],[12000; 11900; 12000; 5100; 10300; 11700; 11900; 12000; 12000; 12000; 12000; 12000; 9800; 10200; 12000; 10000; 11600; 11800; 11700; 12000; 9500; 10400; 12000; 11000; 12000; 12000],25050,25051,1.9059522151947021
