Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
4,30,0.743949074074074,[28; 41; 22; 10; 46; 44; 6; 32; 16; 17; 42; 3; 49; 23; 36; 30; 29; 24; 45; 15; 35; 21; 7; 9; 20; 33; 19; 38; 0; 26; 25; 31; 12; 4; 11; 39; 18; 40; 8; 48; 13; 34; 27; 2; 47; 1; 14; 37; 5; 43],[[28; 41]; [22]; [10; 46]; [44; 6]; [32; 16]; [17; 42]; [3; 49]; [23; 36]; [30; 29]; [24; 45]; [15; 35]; [21]; [7]; [9]; [20; 33]; [19; 38]; [0]; [26]; [25; 31]; [12]; [4]; [11; 39]; [18; 40]; [8; 48]; [13]; [34; 27]; [2; 47]; [1]; [14; 37]; [5; 43]],[9400; 7200; 11100; 11600; 12000; 10800; 11500; 10900; 11700; 9700; 11600; 7200; 8600; 8600; 11800; 11000; 9600; 6500; 11900; 8300; 9000; 11800; 11000; 11000; 8200; 10500; 11800; 9500; 11400; 11600],200,201,0.015562772750854492
16,30,0.7515694444444443,[23; 43; 45; 9; 28; 19; 33; 40; 10; 48; 3; 24; 27; 0; 14; 35; 1; 49; 39; 18; 7; 6; 29; 30; 12; 11; 38; 13; 37; 44; 5; 16; 34; 8; 47; 21; 32; 26; 41; 22; 20; 25; 31; 36; 17; 42; 4; 2; 46; 15],[[23; 43]; [45; 9]; [28]; [19; 33]; [40; 10]; [48; 3]; [24]; [27]; [0]; [14; 35]; [1; 49]; [39; 18]; [7]; [6]; [29; 30]; [12]; [11; 38]; [13; 37]; [44; 5]; [16; 34]; [8; 47]; [21; 32]; [26; 41]; [22]; [20]; [25; 31]; [36; 17]; [42; 4]; [2; 46]; [15]],[10000; 11300; 6200; 11800; 11800; 11600; 7000; 6500; 9600; 11600; 11800; 11100; 8600; 8700; 11700; 8300; 11800; 11800; 11600; 11800; 11100; 11400; 9700; 7200; 7600; 11900; 11600; 12000; 11900; 7800],800,801,0.06294655799865723
8,30,0.746148148148148,[41; 20; 42; 6; 4; 26; 31; 11; 16; 44; 28; 30; 1; 9; 45; 10; 43; 24; 38; 29; 3; 46; 27; 35; 17; 15; 33; 34; 14; 25; 48; 2; 49; 13; 36; 7; 8; 47; 39; 19; 22; 18; 32; 21; 40; 23; 0; 5; 37; 12],[[41; 20]; [42; 6]; [4]; [26; 31]; [11]; [16; 44]; [28; 30]; [1]; [9; 45]; [10; 43]; [24; 38]; [29]; [3; 46]; [27; 35]; [17]; [15; 33]; [34; 14]; [25; 48]; [2; 49]; [13; 36]; [7]; [8; 47]; [39; 19]; [22]; [18; 32]; [21; 40]; [23]; [0]; [5]; [37; 12]],[10800; 11700; 9000; 11600; 8400; 10700; 12000; 9500; 11300; 11400; 10400; 5900; 11800; 10300; 7800; 12000; 11800; 9200; 11600; 12000; 8600; 11100; 11000; 7200; 11900; 10500; 7100; 9600; 8700; 11900],400,401,0.031133174896240234
9,30,0.7480833333333332,[46; 5; 49; 8; 12; 19; 45; 40; 13; 15; 35; 11; 26; 25; 10; 36; 20; 29; 31; 47; 2; 23; 18; 38; 44; 6; 21; 34; 24; 1; 4; 43; 3; 27; 33; 42; 7; 37; 14; 9; 39; 30; 28; 48; 0; 32; 22; 41; 16; 17],[[46; 5]; [49; 8]; [12]; [19; 45]; [40; 13]; [15; 35]; [11]; [26]; [25]; [10]; [36; 20]; [29; 31]; [47; 2]; [23]; [18; 38]; [44; 6]; [21; 34]; [24]; [1]; [4; 43]; [3]; [27; 33]; [42; 7]; [37; 14]; [9; 39]; [30; 28]; [48; 0]; [32; 22]; [41; 16]; [17]],[11300; 10900; 8300; 10300; 11500; 11600; 8400; 6500; 6800; 8500; 11400; 11000; 11800; 7100; 11100; 11600; 11200; 7000; 9500; 11900; 9200; 10700; 11600; 11400; 12000; 12000; 12000; 11400; 11000; 7800],450,451,0.031244754791259766
20,30,0.7529953703703703,[9; 44; 14; 6; 40; 5; 33; 18; 43; 25; 49; 20; 21; 24; 1; 19; 22; 30; 28; 26; 15; 34; 41; 11; 4; 7; 39; 36; 16; 42; 12; 45; 10; 37; 29; 48; 32; 23; 46; 2; 31; 27; 8; 38; 3; 47; 17; 0; 13; 35],[[9; 44]; [14]; [6; 40]; [5]; [33; 18]; [43; 25; 49]; [20]; [21]; [24]; [1]; [19]; [22]; [30; 28]; [26]; [15; 34]; [41; 11]; [4]; [7; 39]; [36; 16]; [42; 12]; [45; 10]; [37; 29; 48]; [32; 23]; [46; 2]; [31; 27]; [8; 38]; [3; 47]; [17]; [0]; [13; 35]],[11500; 7800; 12000; 8700; 11900; 12000; 7600; 7200; 7000; 9500; 7600; 7200; 12000; 6500; 11800; 11600; 9000; 12000; 11600; 11300; 11200; 11900; 11300; 11900; 11600; 12000; 11700; 7800; 9600; 12000],1000,1001,0.07811236381530762
13,30,0.7467314814814814,[44; 13; 4; 46; 37; 11; 23; 1; 48; 35; 19; 39; 24; 34; 20; 38; 9; 3; 2; 45; 16; 33; 18; 47; 8; 42; 12; 25; 36; 22; 26; 5; 40; 15; 6; 27; 32; 0; 31; 28; 49; 21; 14; 43; 29; 30; 7; 41; 17; 10],[[44; 13]; [4; 46]; [37; 11]; [23]; [1; 48]; [35; 19]; [39; 24]; [34; 20]; [38; 9]; [3]; [2; 45]; [16; 33]; [18; 47]; [8; 42]; [12]; [25; 36]; [22]; [26]; [5; 40]; [15]; [6]; [27; 32]; [0]; [31; 28]; [49; 21]; [14; 43]; [29; 30]; [7; 41]; [17]; [10]],[11100; 11600; 12000; 7100; 11900; 11400; 10400; 11600; 12000; 9200; 12000; 12000; 10200; 11600; 8300; 10600; 7200; 6500; 12000; 7800; 8700; 10700; 9600; 11300; 9500; 10700; 11700; 11800; 7800; 8500],650,651,0.04712533950805664
13,30,0.7488703703703704,[32; 17; 26; 24; 21; 35; 46; 15; 4; 36; 18; 27; 11; 13; 3; 38; 8; 0; 49; 1; 20; 41; 45; 7; 28; 30; 23; 2; 5; 10; 44; 40; 9; 39; 12; 16; 42; 48; 22; 43; 6; 29; 47; 37; 33; 14; 34; 19; 31; 25],[[32; 17]; [26]; [24]; [21; 35]; [46; 15]; [4]; [36; 18]; [27]; [11]; [13]; [3]; [38; 8]; [0; 49]; [1]; [20; 41]; [45; 7]; [28; 30]; [23]; [2]; [5]; [10; 44]; [40; 9]; [39; 12]; [16; 42]; [48; 22]; [43; 6]; [29; 47; 37]; [33; 14]; [34; 19]; [31; 25]],[12000; 6500; 7000; 11000; 10400; 9000; 11500; 6500; 8400; 8200; 9200; 12000; 11900; 9500; 10800; 11300; 12000; 7100; 9300; 8700; 11400; 11900; 11700; 10800; 9600; 11600; 12000; 12000; 11600; 11900],650,651,0.0624384880065918
4,30,0.7418888888888888,[47; 6; 23; 42; 4; 2; 10; 40; 28; 37; 22; 7; 0; 45; 5; 19; 36; 12; 44; 17; 25; 46; 49; 20; 32; 9; 30; 29; 38; 16; 11; 39; 24; 35; 1; 8; 31; 26; 15; 3; 48; 18; 41; 43; 13; 21; 27; 34; 14; 33],[[47; 6]; [23; 42]; [4]; [2]; [10; 40]; [28; 37]; [22]; [7]; [0]; [45; 5]; [19; 36]; [12; 44]; [17]; [25; 46; 49]; [20; 32]; [9]; [30; 29]; [38; 16]; [11; 39]; [24; 35]; [1]; [8]; [31; 26]; [15]; [3; 48]; [18; 41]; [43; 13]; [21]; [27; 34]; [14; 33]],[11200; 10100; 9000; 9300; 11800; 9800; 7200; 8600; 9600; 11400; 11400; 11200; 7800; 11700; 11800; 8600; 11700; 11200; 11800; 10800; 9500; 8600; 11600; 7800; 11600; 10900; 11100; 7200; 10500; 12000],200,201,0.015569210052490234
11,30,0.7476296296296296,[25; 36; 37; 15; 35; 16; 7; 41; 47; 1; 9; 27; 23; 43; 49; 4; 39; 8; 21; 17; 48; 32; 19; 22; 34; 29; 2; 10; 13; 6; 40; 11; 46; 3; 38; 24; 14; 45; 30; 28; 0; 12; 42; 44; 5; 33; 18; 20; 26; 31],[[25; 36]; [37; 15]; [35; 16]; [7; 41]; [47; 1]; [9]; [27]; [23; 43]; [49; 4]; [39; 8]; [21]; [17; 48]; [32; 19]; [22; 34]; [29]; [2]; [10]; [13]; [6; 40]; [11; 46]; [3]; [38; 24]; [14; 45]; [30; 28]; [0]; [12; 42]; [44; 5]; [33; 18]; [20]; [26; 31]],[10600; 11400; 11600; 11800; 12000; 8600; 6500; 10000; 11300; 12000; 7200; 10200; 11800; 11200; 5900; 9300; 8500; 8200; 12000; 11000; 9200; 10400; 10500; 12000; 9600; 11300; 11600; 11900; 7600; 11600],550,551,0.03128194808959961
8,30,0.7449305555555554,[23; 42; 45; 15; 0; 43; 8; 31; 28; 44; 5; 22; 6; 12; 3; 47; 46; 7; 41; 26; 18; 19; 16; 34; 24; 11; 40; 4; 1; 32; 27; 14; 36; 25; 33; 49; 2; 10; 39; 9; 38; 20; 48; 30; 29; 17; 37; 35; 13; 21],[[23; 42]; [45; 15]; [0]; [43; 8]; [31; 28]; [44; 5]; [22]; [6]; [12]; [3; 47]; [46; 7]; [41; 26]; [18]; [19]; [16; 34]; [24]; [11; 40]; [4]; [1]; [32; 27]; [14; 36]; [25; 33]; [49; 2]; [10; 39]; [9; 38]; [20; 48]; [30; 29]; [17; 37]; [35; 13]; [21]],[10100; 10500; 9600; 11500; 11300; 11600; 7200; 8700; 8300; 11700; 11200; 9700; 7700; 7600; 11800; 7000; 11700; 9000; 9500; 10700; 11600; 11000; 11600; 11900; 12000; 10000; 11700; 11400; 12000; 7200],400,401,0.0312502384185791
