Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
501,31,0.7900067204301077,[2; 22; 43; 8; 28; 29; 4; 0; 40; 15; 1; 49; 7; 34; 21; 5; 18; 38; 3; 16; 37; 12; 46; 31; 26; 36; 17; 13; 41; 19; 35; 39; 14; 48; 6; 23; 44; 27; 30; 45; 24; 9; 10; 25; 32; 11; 47; 33; 42; 20],[[2]; [22; 43]; [8]; [28; 29]; [4]; [0]; [40; 15]; [1]; [49; 7]; [34; 21]; [5]; [18; 38]; [3]; [16; 37]; [12; 46]; [31; 26]; [36; 17]; [13; 41]; [19; 35]; [39; 14]; [48]; [6]; [23; 44]; [27; 30]; [45; 24]; [9]; [10]; [25; 32]; [11]; [47; 33]; [42; 20]],[9800; 11000; 9000; 11700; 9400; 9900; 11800; 9900; 12000; 11900; 9300; 11900; 9800; 12000; 12000; 12000; 12000; 12000; 12000; 12000; 3400; 9200; 10700; 12000; 10600; 8900; 8900; 12000; 8800; 8700; 11300],25050,25051,1.911658525466919
501,31,0.7900067204301078,[0; 28; 30; 48; 6; 17; 38; 11; 3; 37; 18; 46; 12; 45; 24; 47; 33; 44; 23; 1; 13; 42; 14; 39; 25; 32; 36; 16; 35; 19; 22; 34; 2; 27; 29; 5; 4; 26; 31; 9; 15; 40; 43; 21; 10; 8; 49; 7; 20; 41],[[0]; [28; 30]; [48]; [6]; [17; 38]; [11]; [3]; [37; 18]; [46; 12]; [45; 24]; [47; 33]; [44; 23]; [1]; [13; 42]; [14; 39]; [25; 32]; [36; 16]; [35; 19]; [22; 34]; [2]; [27; 29]; [5]; [4]; [26; 31]; [9]; [15; 40]; [43; 21]; [10]; [8; 49]; [7]; [20; 41]],[9900; 11700; 3400; 9200; 12000; 8800; 9800; 11900; 12000; 10600; 8700; 10700; 9900; 12000; 12000; 12000; 12000; 12000; 11900; 9800; 12000; 9300; 9400; 12000; 8900; 11800; 11000; 8900; 12000; 9000; 11300],25050,25051,1.8880131244659424
501,31,0.7900067204301078,[26; 31; 33; 47; 37; 16; 27; 30; 43; 22; 1; 24; 45; 48; 6; 0; 14; 39; 36; 17; 11; 3; 8; 49; 29; 28; 2; 32; 25; 46; 12; 34; 21; 13; 41; 5; 23; 44; 35; 19; 4; 38; 18; 9; 10; 7; 15; 40; 42; 20],[[26; 31]; [33; 47]; [37; 16]; [27; 30]; [43; 22]; [1]; [24; 45]; [48]; [6]; [0]; [14; 39]; [36; 17]; [11]; [3]; [8; 49]; [29; 28]; [2]; [32; 25]; [46; 12]; [34; 21]; [13; 41]; [5]; [23; 44]; [35; 19]; [4]; [38; 18]; [9]; [10]; [7]; [15; 40]; [42; 20]],[12000; 8700; 12000; 12000; 11000; 9900; 10600; 3400; 9200; 9900; 12000; 12000; 8800; 9800; 12000; 11700; 9800; 12000; 12000; 11900; 12000; 9300; 10700; 12000; 9400; 11900; 8900; 8900; 9000; 11800; 11300],25050,25051,1.8963236808776855
501,31,0.7900067204301077,[14; 39; 46; 12; 15; 40; 6; 3; 19; 35; 38; 18; 28; 30; 8; 11; 26; 31; 24; 44; 34; 22; 0; 49; 7; 36; 16; 41; 20; 13; 42; 1; 47; 33; 45; 23; 48; 9; 17; 37; 10; 25; 32; 2; 5; 4; 29; 27; 21; 43],[[14; 39]; [46; 12]; [15; 40]; [6]; [3]; [19; 35]; [38; 18]; [28; 30]; [8]; [11]; [26; 31]; [24; 44]; [34; 22]; [0]; [49; 7]; [36; 16]; [41; 20]; [13; 42]; [1]; [47; 33]; [45; 23]; [48]; [9]; [17; 37]; [10]; [25; 32]; [2]; [5]; [4]; [29; 27]; [21; 43]],[12000; 12000; 11800; 9200; 9800; 12000; 11900; 11700; 9000; 8800; 12000; 10600; 11900; 9900; 12000; 12000; 11300; 12000; 9900; 8700; 10700; 3400; 8900; 12000; 8900; 12000; 9800; 9300; 9400; 12000; 11000],25050,25051,1.893831729888916
501,31,0.7900067204301078,[7; 17; 37; 34; 21; 19; 35; 30; 27; 23; 44; 39; 14; 2; 48; 1; 6; 3; 0; 12; 46; 32; 25; 11; 33; 47; 28; 29; 5; 4; 24; 45; 38; 16; 13; 42; 49; 8; 43; 22; 41; 20; 9; 18; 36; 26; 31; 10; 40; 15],[[7]; [17; 37]; [34; 21]; [19; 35]; [30; 27]; [23; 44]; [39; 14]; [2]; [48]; [1]; [6]; [3]; [0]; [12; 46]; [32; 25]; [11]; [33; 47]; [28; 29]; [5]; [4]; [24; 45]; [38; 16]; [13; 42]; [49; 8]; [43; 22]; [41; 20]; [9]; [18; 36]; [26; 31]; [10]; [40; 15]],[9000; 12000; 11900; 12000; 12000; 10700; 12000; 9800; 3400; 9900; 9200; 9800; 9900; 12000; 12000; 8800; 8700; 11700; 9300; 9400; 10600; 12000; 12000; 12000; 11000; 11300; 8900; 11900; 12000; 8900; 11800],25050,25051,1.8565833568572998
501,31,0.7900067204301078,[41; 13; 12; 46; 36; 17; 24; 44; 28; 30; 18; 38; 6; 15; 40; 42; 20; 49; 7; 3; 35; 19; 37; 16; 25; 32; 11; 2; 43; 22; 34; 21; 45; 23; 0; 1; 26; 31; 9; 8; 39; 14; 29; 27; 5; 10; 48; 4; 33; 47],[[41; 13]; [12; 46]; [36; 17]; [24; 44]; [28; 30]; [18; 38]; [6]; [15; 40]; [42; 20]; [49; 7]; [3]; [35; 19]; [37; 16]; [25; 32]; [11]; [2]; [43; 22]; [34; 21]; [45; 23]; [0]; [1]; [26; 31]; [9]; [8]; [39; 14]; [29; 27]; [5]; [10]; [48]; [4]; [33; 47]],[12000; 12000; 12000; 10600; 11700; 11900; 9200; 11800; 11300; 12000; 9800; 12000; 12000; 12000; 8800; 9800; 11000; 11900; 10700; 9900; 9900; 12000; 8900; 9000; 12000; 12000; 9300; 8900; 3400; 9400; 8700],25050,25051,1.895697832107544
501,31,0.7872737455197135,[0; 34; 22; 30; 28; 42; 43; 38; 44; 20; 21; 47; 12; 46; 16; 37; 39; 14; 2; 11; 6; 3; 15; 40; 29; 27; 36; 17; 26; 31; 7; 8; 49; 9; 24; 5; 19; 35; 33; 1; 18; 45; 10; 4; 13; 41; 48; 23; 32; 25],[[0]; [34; 22]; [30; 28]; [42; 43; 38]; [44; 20]; [21; 47]; [12; 46]; [16; 37]; [39; 14]; [2]; [11]; [6]; [3]; [15; 40]; [29; 27]; [36; 17]; [26; 31]; [7]; [8; 49]; [9]; [24]; [5]; [19; 35]; [33]; [1]; [18; 45]; [10]; [4]; [13; 41]; [48; 23]; [32; 25]],[9900; 11900; 11700; 12000; 11100; 10700; 12000; 12000; 12000; 9800; 8800; 9200; 9800; 11800; 12000; 12000; 12000; 9000; 12000; 8900; 6900; 9300; 12000; 5200; 9900; 11300; 8900; 9400; 12000; 10400; 12000],25050,25051,2.2067205905914307
501,31,0.7900067204301077,[6; 21; 34; 0; 17; 37; 1; 18; 36; 2; 33; 47; 10; 16; 38; 12; 46; 3; 11; 22; 43; 5; 48; 4; 7; 49; 24; 44; 40; 15; 45; 23; 8; 26; 31; 32; 25; 13; 41; 27; 29; 19; 35; 9; 14; 39; 30; 28; 42; 20],[[6]; [21; 34]; [0]; [17; 37]; [1]; [18; 36]; [2]; [33; 47]; [10]; [16; 38]; [12; 46]; [3]; [11]; [22; 43]; [5]; [48]; [4]; [7; 49]; [24; 44]; [40; 15]; [45; 23]; [8]; [26; 31]; [32; 25]; [13; 41]; [27; 29]; [19; 35]; [9]; [14; 39]; [30; 28]; [42; 20]],[9200; 11900; 9900; 12000; 9900; 11900; 9800; 8700; 8900; 12000; 12000; 9800; 8800; 11000; 9300; 3400; 9400; 12000; 10600; 11800; 10700; 9000; 12000; 12000; 12000; 12000; 12000; 8900; 12000; 11700; 11300],25050,25051,1.8709022998809814
501,31,0.7900067204301077,[39; 14; 0; 15; 40; 36; 18; 35; 19; 44; 23; 6; 12; 46; 28; 29; 37; 16; 48; 2; 20; 42; 1; 5; 30; 27; 49; 7; 3; 38; 17; 8; 11; 4; 31; 26; 34; 21; 41; 13; 32; 25; 24; 45; 9; 10; 22; 43; 33; 47],[[39; 14]; [0]; [15; 40]; [36; 18]; [35; 19]; [44; 23]; [6]; [12; 46]; [28; 29]; [37; 16]; [48]; [2]; [20; 42]; [1]; [5]; [30; 27]; [49; 7]; [3]; [38; 17]; [8]; [11]; [4]; [31; 26]; [34; 21]; [41; 13]; [32; 25]; [24; 45]; [9]; [10]; [22; 43]; [33; 47]],[12000; 9900; 11800; 11900; 12000; 10700; 9200; 12000; 11700; 12000; 3400; 9800; 11300; 9900; 9300; 12000; 12000; 9800; 12000; 9000; 8800; 9400; 12000; 11900; 12000; 12000; 10600; 8900; 8900; 11000; 8700],25050,25051,1.8732972145080566
501,31,0.7900067204301077,[34; 21; 7; 0; 38; 18; 27; 29; 19; 35; 17; 36; 49; 8; 12; 46; 4; 3; 30; 28; 16; 37; 26; 31; 14; 39; 1; 11; 5; 15; 40; 25; 32; 33; 47; 9; 23; 44; 42; 13; 45; 24; 2; 41; 20; 6; 10; 22; 43; 48],[[34; 21]; [7]; [0]; [38; 18]; [27; 29]; [19; 35]; [17; 36]; [49; 8]; [12; 46]; [4]; [3]; [30; 28]; [16; 37]; [26; 31]; [14; 39]; [1]; [11]; [5]; [15; 40]; [25; 32]; [33; 47]; [9]; [23; 44]; [42; 13]; [45; 24]; [2]; [41; 20]; [6]; [10]; [22; 43]; [48]],[11900; 9000; 9900; 11900; 12000; 12000; 12000; 12000; 12000; 9400; 9800; 11700; 12000; 12000; 12000; 9900; 8800; 9300; 11800; 12000; 8700; 8900; 10700; 12000; 10600; 9800; 11300; 9200; 8900; 11000; 3400],25050,25051,1.8822526931762695
501,31,0.7899798387096775,[6; 3; 18; 38; 17; 37; 46; 12; 22; 34; 2; 41; 19; 48; 8; 33; 47; 26; 31; 4; 23; 44; 45; 24; 32; 25; 28; 30; 43; 21; 11; 14; 39; 5; 35; 20; 9; 10; 13; 42; 16; 36; 29; 27; 1; 49; 7; 40; 15; 0],[[6]; [3]; [18; 38]; [17; 37]; [46; 12]; [22; 34]; [2]; [41; 19]; [48]; [8]; [33; 47]; [26; 31]; [4]; [23; 44]; [45; 24]; [32; 25]; [28; 30]; [43; 21]; [11]; [14; 39]; [5]; [35; 20]; [9]; [10]; [13; 42]; [16; 36]; [29; 27]; [1]; [49; 7]; [40; 15]; [0]],[9200; 9800; 11900; 12000; 12000; 11900; 9800; 11400; 3400; 9000; 8700; 12000; 9400; 10700; 10600; 12000; 11700; 11000; 8800; 12000; 9300; 11900; 8900; 8900; 12000; 12000; 12000; 9900; 12000; 11800; 9900],25050,25051,1.8840551376342773
