Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
76,20,0.9494377777777778,[43; 39; 1; 42; 10; 24; 2; 32; 44; 49; 4; 35; 37; 30; 27; 21; 12; 48; 31; 8; 14; 22; 11; 26; 9; 25; 19; 17; 7; 41; 36; 46; 33; 6; 20; 15; 29; 45; 13; 40; 3; 47; 38; 0; 28; 18; 16; 23; 5; 34],[[43; 39; 1; 42]; [10; 24]; [2; 32]; [44; 49; 4; 35]; [37; 30; 27]; [21; 12]; [48; 31; 8]; [14; 22]; [11; 26]; [9; 25]; [19; 17]; [7; 41; 36]; [46; 33; 6]; [20; 15]; [29; 45; 13]; [40; 3; 47; 38]; [0]; [28; 18]; [16; 23]; [5; 34]],[15000; 14900; 15000; 14800; 15000; 15000; 15000; 14700; 14600; 15000; 15000; 15000; 15000; 15000; 15000; 14900; 10000; 13800; 14400; 14400],3800,3801,0.2503526210784912
118,20,0.9513222222222222,[37; 46; 40; 5; 16; 19; 9; 25; 35; 17; 45; 39; 0; 36; 44; 42; 4; 43; 38; 13; 26; 27; 8; 22; 12; 28; 7; 24; 10; 6; 3; 33; 2; 32; 20; 18; 21; 48; 14; 49; 11; 30; 47; 34; 1; 31; 15; 29; 23; 41],[[37; 46; 40; 5]; [16; 19]; [9; 25]; [35; 17; 45; 39]; [0; 36; 44]; [42; 4; 43; 38]; [13; 26]; [27; 8]; [22; 12]; [28; 7]; [24; 10]; [6]; [3; 33]; [2; 32]; [20; 18]; [21; 48; 14]; [49; 11; 30; 47]; [34; 1]; [31; 15]; [29; 23; 41]],[15000; 15000; 15000; 15000; 15000; 15000; 14300; 15000; 14900; 15000; 14900; 9200; 14700; 15000; 14900; 15000; 15000; 14900; 13700; 15000],5900,5901,0.43923401832580566
47,20,0.9472733333333332,[46; 24; 17; 16; 19; 6; 38; 40; 12; 21; 10; 26; 43; 49; 39; 0; 48; 31; 41; 22; 30; 11; 18; 20; 25; 9; 42; 3; 7; 28; 35; 37; 13; 29; 14; 44; 5; 33; 8; 27; 15; 23; 45; 4; 36; 47; 1; 34; 2; 32],[[46; 24; 17]; [16; 19]; [6; 38; 40]; [12; 21]; [10; 26]; [43; 49; 39; 0; 48]; [31; 41; 22]; [30; 11]; [18; 20]; [25; 9]; [42; 3]; [7; 28]; [35; 37; 13]; [29; 14; 44]; [5; 33]; [8; 27]; [15; 23]; [45; 4; 36; 47]; [1; 34]; [2; 32]],[14800; 15000; 14000; 15000; 14700; 14000; 15000; 14300; 14900; 15000; 11200; 15000; 15000; 14800; 14400; 15000; 14500; 15000; 14900; 15000],2350,2351,0.1578686237335205
255,20,0.9511133333333331,[9; 26; 12; 21; 8; 27; 17; 22; 32; 2; 28; 7; 25; 10; 20; 15; 45; 36; 0; 23; 13; 48; 5; 31; 18; 34; 42; 11; 4; 43; 35; 41; 6; 47; 39; 44; 38; 3; 37; 46; 24; 14; 40; 30; 29; 49; 1; 33; 19; 16],[[9; 26]; [12; 21]; [8; 27]; [17; 22]; [32; 2]; [28; 7]; [25; 10]; [20; 15]; [45; 36; 0]; [23; 13; 48]; [5]; [31; 18]; [34; 42; 11]; [4; 43; 35]; [41; 6; 47; 39; 44]; [38; 3; 37]; [46; 24; 14]; [40; 30; 29; 49]; [1; 33]; [19; 16]],[14900; 15000; 15000; 14500; 15000; 15000; 14800; 15000; 15000; 15000; 9300; 13600; 15000; 15000; 15000; 15000; 15000; 14500; 14900; 15000],12750,12751,0.9266345500946045
94,20,0.9495177777777777,[35; 6; 47; 49; 44; 43; 5; 42; 37; 21; 12; 27; 7; 16; 29; 46; 17; 19; 13; 22; 0; 34; 3; 48; 4; 33; 30; 26; 39; 18; 31; 8; 28; 1; 41; 45; 40; 20; 15; 25; 9; 10; 24; 23; 14; 32; 2; 36; 11; 38],[[35; 6; 47; 49; 44]; [43; 5; 42; 37]; [21; 12]; [27; 7]; [16; 29; 46]; [17; 19]; [13; 22]; [0]; [34; 3; 48]; [4; 33]; [30; 26; 39]; [18; 31]; [8; 28]; [1; 41; 45; 40]; [20; 15]; [25; 9]; [10; 24]; [23; 14]; [32; 2]; [36; 11; 38]],[15000; 15000; 15000; 15000; 14400; 15000; 14900; 10000; 14900; 14600; 14600; 13600; 15000; 15000; 15000; 15000; 14900; 14600; 15000; 15000],4700,4701,0.29826879501342773
45,20,0.9484866666666667,[35; 6; 42; 29; 8; 49; 34; 5; 33; 17; 41; 18; 22; 47; 25; 9; 30; 12; 20; 15; 13; 21; 38; 39; 1; 43; 31; 48; 24; 46; 37; 40; 0; 2; 32; 28; 7; 10; 27; 45; 36; 3; 14; 23; 11; 26; 44; 4; 19; 16],[[35; 6; 42]; [29; 8]; [49; 34; 5]; [33; 17; 41]; [18; 22; 47]; [25; 9]; [30; 12]; [20; 15]; [13; 21]; [38; 39; 1]; [43; 31; 48; 24; 46]; [37; 40; 0]; [2; 32]; [28; 7]; [10; 27]; [45; 36; 3]; [14; 23]; [11; 26]; [44; 4]; [19; 16]],[15000; 14900; 14600; 14800; 15000; 15000; 14000; 15000; 15000; 14700; 14700; 15000; 15000; 15000; 14600; 14600; 14600; 14600; 10400; 15000],2250,2251,0.14186525344848633
66,20,0.9463444444444444,[46; 6; 33; 22; 14; 26; 9; 11; 42; 35; 18; 43; 29; 37; 5; 21; 13; 49; 2; 34; 23; 12; 31; 41; 25; 7; 28; 17; 45; 24; 1; 39; 38; 30; 48; 8; 36; 3; 27; 10; 15; 20; 19; 16; 32; 4; 0; 40; 47; 44],[[46; 6; 33]; [22; 14]; [26; 9]; [11; 42; 35]; [18; 43; 29]; [37; 5]; [21; 13]; [49; 2; 34]; [23; 12]; [31; 41; 25]; [7; 28]; [17; 45; 24]; [1; 39; 38]; [30; 48; 8]; [36; 3]; [27; 10]; [15; 20]; [19; 16]; [32; 4]; [0; 40; 47; 44]],[15000; 14700; 14900; 14100; 15000; 12100; 15000; 15000; 14800; 14500; 15000; 15000; 14700; 15000; 13700; 14600; 15000; 15000; 14800; 13600],3300,3301,0.21840739250183105
219,20,0.9510466666666668,[3; 33; 47; 34; 5; 9; 25; 40; 41; 0; 46; 18; 22; 49; 23; 12; 28; 7; 4; 44; 36; 39; 43; 42; 1; 2; 32; 13; 35; 37; 16; 45; 29; 48; 6; 19; 17; 10; 24; 27; 8; 15; 20; 26; 38; 31; 21; 14; 11; 30],[[3; 33]; [47; 34; 5]; [9; 25]; [40; 41; 0; 46]; [18; 22; 49]; [23; 12]; [28; 7]; [4; 44; 36]; [39; 43; 42; 1]; [2; 32]; [13; 35; 37]; [16; 45; 29; 48]; [6]; [19; 17]; [10; 24]; [27; 8]; [15; 20]; [26; 38; 31]; [21; 14]; [11; 30]],[14700; 14900; 15000; 15000; 14700; 14800; 15000; 14500; 15000; 15000; 15000; 14800; 9200; 15000; 14900; 15000; 15000; 14900; 14800; 14300],10950,10951,0.8095076084136963
206,20,0.9509222222222222,[46; 6; 34; 5; 14; 21; 48; 37; 39; 3; 36; 38; 11; 31; 7; 26; 9; 27; 15; 20; 17; 18; 19; 32; 2; 25; 10; 0; 35; 47; 42; 22; 24; 4; 33; 29; 43; 16; 23; 12; 49; 41; 40; 1; 44; 45; 13; 30; 8; 28],[[46; 6; 34]; [5]; [14; 21; 48]; [37; 39; 3]; [36; 38; 11]; [31; 7]; [26; 9]; [27; 15]; [20; 17]; [18; 19]; [32; 2]; [25; 10]; [0; 35; 47]; [42; 22; 24]; [4; 33]; [29; 43; 16]; [23; 12; 49]; [41; 40; 1; 44]; [45; 13; 30]; [8; 28]],[15000; 9300; 15000; 14700; 15000; 14800; 14900; 13900; 14900; 15000; 15000; 14800; 14700; 15000; 14600; 15000; 15000; 15000; 14900; 15000],10300,10301,0.7496418952941895
75,20,0.9468955555555556,[2; 34; 49; 48; 31; 8; 4; 32; 19; 18; 10; 26; 11; 29; 43; 17; 38; 30; 14; 45; 33; 3; 5; 46; 37; 40; 24; 47; 12; 44; 1; 35; 42; 25; 21; 15; 20; 27; 9; 22; 16; 0; 36; 13; 23; 7; 28; 41; 6; 39],[[2; 34; 49]; [48; 31; 8]; [4; 32]; [19; 18]; [10; 26]; [11; 29]; [43; 17; 38]; [30; 14; 45]; [33; 3]; [5; 46; 37; 40]; [24; 47; 12]; [44; 1; 35]; [42; 25; 21]; [15; 20]; [27; 9]; [22; 16]; [0; 36]; [13; 23]; [7; 28]; [41; 6; 39]],[15000; 15000; 14800; 15000; 14700; 14400; 11500; 14700; 14700; 15000; 15000; 14900; 15000; 15000; 14800; 14500; 14100; 14800; 15000; 13600],3750,3751,0.2515227794647217
