Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
501,11,0.875400181818182,[22; 40; 35; 9; 12; 39; 10; 26; 33; 0; 31; 48; 20; 17; 5; 28; 44; 11; 32; 29; 16; 3; 47; 24; 46; 1; 45; 8; 19; 25; 34; 37; 2; 18; 38; 14; 23; 49; 4; 13; 36; 30; 15; 21; 6; 43; 42; 7; 27; 41],[[22; 40; 35; 9; 12]; [39; 10; 26; 33]; [0; 31; 48; 20; 17]; [5; 28; 44; 11; 32]; [29; 16; 3; 47; 24]; [46; 1; 45; 8; 19]; [25; 34; 37; 2; 18]; [38; 14; 23; 49; 4]; [13; 36; 30; 15; 21]; [6; 43; 42; 7; 27]; [41]],[100000; 78300; 100000; 100000; 100000; 99900; 100000; 99400; 100000; 100000; 17400],25050,25051,0.6626148223876953
501,11,0.8754776363636364,[4; 36; 13; 38; 31; 5; 18; 15; 47; 35; 27; 40; 39; 6; 11; 2; 44; 48; 16; 29; 17; 8; 33; 30; 10; 24; 34; 28; 21; 3; 46; 20; 37; 12; 42; 23; 49; 9; 0; 19; 32; 22; 25; 14; 45; 43; 26; 7; 1; 41],[[4; 36; 13; 38; 31]; [5; 18; 15; 47; 35]; [27; 40; 39; 6]; [11; 2; 44; 48; 16]; [29; 17; 8; 33; 30]; [10; 24; 34; 28; 21]; [3; 46; 20; 37; 12]; [42; 23; 49; 9; 0]; [19; 32; 22; 25; 14]; [45; 43; 26; 7; 1]; [41]],[99600; 99900; 78100; 100000; 100000; 100000; 100000; 100000; 100000; 100000; 17400],25050,25051,1.0413274765014648
501,11,0.8571041818181818,[7; 42; 38; 3; 31; 5; 37; 25; 28; 24; 40; 21; 17; 35; 4; 36; 10; 13; 32; 33; 47; 9; 0; 11; 20; 18; 41; 26; 27; 15; 43; 1; 34; 6; 45; 16; 14; 39; 30; 2; 12; 29; 49; 23; 22; 44; 8; 19; 46; 48],[[7; 42; 38; 3; 31]; [5; 37; 25; 28; 24]; [40; 21; 17; 35]; [4; 36; 10; 13]; [32; 33; 47; 9; 0]; [11; 20; 18; 41; 26]; [27; 15; 43; 1; 34]; [6; 45; 16; 14; 39]; [30; 2; 12; 29; 49]; [23; 22; 44; 8; 19]; [46; 48]],[100000; 100000; 76300; 86200; 100000; 100000; 99800; 100000; 100000; 100000; 32700],25050,25051,0.6404826641082764
67,10,0.9901188000000001,[36; 0; 40; 14; 32; 19; 37; 34; 10; 15; 43; 47; 29; 3; 2; 9; 21; 45; 42; 5; 30; 24; 17; 18; 25; 33; 38; 41; 8; 6; 44; 4; 11; 26; 39; 22; 23; 1; 48; 28; 12; 27; 31; 20; 46; 16; 7; 13; 35; 49],[[36; 0; 40; 14; 32]; [19; 37; 34; 10; 15]; [43; 47; 29; 3; 2]; [9; 21; 45; 42; 5]; [30; 24; 17; 18; 25]; [33; 38; 41; 8; 6]; [44; 4; 11; 26; 39]; [22; 23; 1; 48; 28]; [12; 27; 31; 20; 46]; [16; 7; 13; 35; 49]],[99200; 100000; 100000; 100000; 100000; 100000; 99700; 99500; 96700; 99900],3350,3351,0.0938863754272461
501,11,0.8768649090909091,[20; 10; 21; 44; 23; 16; 42; 26; 31; 2; 24; 40; 13; 25; 9; 17; 46; 7; 43; 11; 41; 12; 27; 28; 8; 45; 3; 29; 36; 33; 15; 38; 30; 4; 47; 39; 14; 0; 18; 6; 35; 32; 48; 5; 1; 22; 19; 37; 34; 49],[[20; 10; 21; 44; 23]; [16; 42; 26; 31; 2]; [24; 40; 13; 25]; [9; 17; 46; 7; 43]; [11; 41; 12; 27; 28]; [8; 45; 3; 29; 36]; [33; 15; 38; 30; 4]; [47; 39; 14; 0; 18]; [6; 35; 32; 48; 5]; [1; 22; 19; 37; 34]; [49]],[100000; 100000; 78800; 100000; 100000; 99900; 100000; 100000; 100000; 100000; 16300],25050,25051,0.6888790130615234
501,11,0.8769034545454545,[1; 32; 23; 36; 26; 22; 28; 3; 20; 42; 5; 43; 2; 38; 35; 44; 40; 16; 6; 9; 47; 17; 19; 25; 37; 4; 18; 45; 14; 13; 10; 24; 39; 34; 27; 33; 30; 8; 21; 12; 15; 41; 7; 49; 31; 0; 29; 11; 46; 48],[[1; 32; 23; 36; 26]; [22; 28; 3; 20; 42]; [5; 43; 2; 38; 35]; [44; 40; 16; 6]; [9; 47; 17; 19; 25]; [37; 4; 18; 45; 14]; [13; 10; 24; 39; 34]; [27; 33; 30; 8; 21]; [12; 15; 41; 7; 49]; [31; 0; 29; 11; 46]; [48]],[100000; 100000; 100000; 78700; 100000; 100000; 100000; 100000; 100000; 100000; 16300],25050,25051,0.7382335662841797
501,11,0.8572338181818181,[10; 27; 37; 46; 3; 8; 45; 9; 20; 5; 32; 16; 44; 41; 17; 26; 11; 24; 38; 29; 23; 25; 6; 22; 4; 39; 43; 12; 21; 13; 36; 15; 30; 7; 1; 47; 33; 34; 18; 19; 14; 28; 31; 0; 42; 40; 35; 2; 49; 48],[[10; 27; 37; 46]; [3; 8; 45; 9]; [20; 5; 32; 16; 44]; [41; 17; 26; 11; 24]; [38; 29; 23; 25; 6]; [22; 4; 39; 43; 12]; [21; 13; 36; 15; 30]; [7; 1; 47; 33; 34]; [18; 19; 14; 28; 31]; [0; 42; 40; 35; 2]; [49; 48]],[76400; 86000; 100000; 100000; 100000; 100000; 100000; 100000; 100000; 100000; 32600],25050,25051,0.8880231380462646
501,11,0.8769034545454545,[14; 8; 48; 47; 9; 42; 19; 5; 46; 10; 3; 32; 27; 43; 12; 31; 7; 44; 25; 45; 29; 6; 17; 23; 34; 0; 37; 20; 22; 39; 11; 21; 18; 26; 24; 35; 16; 38; 4; 13; 40; 2; 36; 28; 41; 15; 30; 1; 33; 49],[[14; 8; 48; 47; 9]; [42; 19; 5; 46; 10]; [3; 32; 27; 43]; [12; 31; 7; 44; 25]; [45; 29; 6; 17; 23]; [34; 0; 37; 20; 22]; [39; 11; 21; 18; 26]; [24; 35; 16; 38; 4]; [13; 40; 2; 36; 28]; [41; 15; 30; 1; 33]; [49]],[100000; 100000; 78700; 100000; 100000; 100000; 100000; 100000; 100000; 100000; 16300],25050,25051,0.6697113513946533
501,11,0.8769034545454545,[41; 19; 9; 24; 26; 10; 47; 12; 38; 2; 28; 5; 43; 45; 31; 23; 18; 0; 44; 13; 15; 40; 7; 46; 27; 32; 29; 20; 8; 6; 30; 21; 49; 17; 35; 37; 16; 11; 14; 33; 25; 22; 36; 1; 42; 3; 39; 4; 34; 48],[[41; 19; 9; 24; 26]; [10; 47; 12; 38]; [2; 28; 5; 43; 45]; [31; 23; 18; 0; 44]; [13; 15; 40; 7; 46]; [27; 32; 29; 20; 8]; [6; 30; 21; 49; 17]; [35; 37; 16; 11; 14]; [33; 25; 22; 36; 1]; [42; 3; 39; 4; 34]; [48]],[100000; 78700; 100000; 100000; 100000; 100000; 100000; 100000; 100000; 100000; 16300],25050,25051,0.9072163105010986
501,11,0.8766401818181818,[42; 37; 24; 0; 14; 5; 26; 28; 23; 39; 29; 8; 36; 31; 13; 27; 4; 25; 49; 9; 18; 22; 30; 38; 34; 20; 43; 1; 16; 46; 10; 35; 17; 11; 21; 41; 40; 6; 15; 12; 32; 44; 2; 33; 45; 47; 19; 7; 3; 48],[[42; 37; 24; 0; 14]; [5; 26; 28; 23; 39]; [29; 8; 36; 31; 13]; [27; 4; 25; 49]; [9; 18; 22; 30; 38]; [34; 20; 43; 1; 16]; [46; 10; 35; 17; 11]; [21; 41; 40; 6; 15]; [12; 32; 44; 2; 33]; [45; 47; 19; 7; 3]; [48]],[99900; 100000; 100000; 79400; 100000; 100000; 100000; 100000; 99400; 100000; 16300],25050,25051,0.8360555171966553
