Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
3,10,0.9078877999999999,[17; 46; 45; 49; 43; 39; 6; 1; 9; 11; 38; 18; 0; 31; 44; 47; 35; 8; 36; 5; 27; 30; 22; 12; 3; 14; 13; 41; 25; 32; 37; 21; 40; 20; 2; 33; 19; 42; 10; 15; 7; 34; 28; 16; 29; 24; 4; 26; 23; 48],[[17; 46; 45; 49; 43; 39; 6]; [1; 9; 11]; [38; 18; 0; 31; 44; 47]; [35; 8; 36; 5; 27]; [30; 22; 12; 3]; [14; 13; 41; 25; 32]; [37; 21; 40; 20; 2]; [33; 19; 42; 10; 15]; [7; 34; 28; 16; 29]; [24; 4; 26; 23; 48]],[87100; 94000; 95900; 96400; 99600; 92800; 96700; 97900; 98700; 93100],150,151,0.0
10,10,0.9080373999999999,[21; 39; 1; 6; 5; 29; 47; 27; 11; 43; 30; 8; 38; 36; 18; 22; 3; 16; 31; 32; 13; 37; 35; 0; 25; 24; 19; 4; 46; 2; 12; 40; 26; 45; 44; 20; 41; 10; 49; 14; 17; 48; 33; 28; 42; 7; 34; 23; 15; 9],[[21; 39; 1; 6]; [5; 29; 47; 27; 11]; [43; 30; 8; 38; 36; 18]; [22; 3; 16; 31]; [32; 13; 37; 35; 0]; [25; 24; 19; 4; 46]; [2; 12; 40; 26; 45]; [44; 20; 41; 10; 49; 14]; [17; 48; 33; 28; 42; 7]; [34; 23; 15; 9]],[97200; 96700; 96500; 93900; 95700; 98400; 97600; 96300; 95100; 84800],500,501,0.01569652557373047
10,10,0.9106928000000002,[27; 5; 3; 25; 9; 13; 21; 35; 22; 34; 46; 42; 38; 6; 45; 31; 11; 16; 48; 18; 4; 1; 23; 40; 26; 20; 19; 2; 33; 0; 17; 36; 10; 15; 12; 39; 49; 47; 8; 29; 7; 43; 28; 30; 24; 14; 41; 32; 37; 44],[[27; 5; 3]; [25; 9; 13; 21]; [35; 22; 34; 46; 42; 38; 6; 45]; [31; 11; 16; 48; 18]; [4; 1; 23; 40]; [26; 20; 19; 2]; [33; 0; 17; 36]; [10; 15; 12; 39; 49; 47]; [8; 29; 7; 43; 28]; [30; 24; 14; 41; 32; 37; 44]],[82100; 96100; 99400; 97000; 97000; 99900; 83600; 99800; 99800; 97500],500,501,0.015610218048095703
4,10,0.9090864,[0; 19; 2; 42; 25; 14; 33; 13; 34; 17; 49; 18; 47; 11; 43; 9; 3; 16; 20; 15; 36; 32; 8; 41; 5; 39; 4; 24; 28; 21; 6; 44; 30; 45; 23; 31; 40; 27; 48; 12; 22; 38; 29; 10; 35; 1; 46; 37; 7; 26],[[0; 19; 2]; [42; 25; 14; 33; 13]; [34; 17; 49; 18; 47; 11]; [43; 9; 3; 16]; [20; 15; 36; 32; 8]; [41; 5; 39; 4; 24]; [28; 21; 6; 44; 30; 45]; [23; 31; 40; 27; 48; 12]; [22; 38; 29; 10; 35]; [1; 46; 37; 7; 26]],[97400; 91700; 97200; 96900; 99300; 99600; 98000; 89200; 84100; 98800],200,201,0.015618085861206055
6,10,0.9115673999999998,[48; 22; 2; 23; 38; 36; 21; 5; 1; 33; 9; 32; 8; 17; 3; 6; 11; 28; 7; 39; 44; 20; 49; 31; 45; 15; 24; 46; 30; 18; 37; 19; 25; 10; 29; 42; 27; 13; 34; 0; 14; 47; 41; 12; 26; 35; 4; 16; 43; 40],[[48; 22; 2; 23; 38; 36]; [21; 5; 1; 33]; [9; 32; 8; 17]; [3; 6; 11]; [28; 7; 39; 44; 20; 49; 31]; [45; 15; 24; 46; 30; 18]; [37; 19; 25; 10; 29]; [42; 27; 13; 34; 0]; [14; 47; 41; 12; 26; 35]; [4; 16; 43; 40]],[97900; 99900; 96300; 94300; 99900; 97800; 95800; 99600; 95700; 75000],300,301,0.0
5,10,0.9084362,[48; 15; 12; 6; 16; 28; 8; 47; 22; 30; 20; 36; 11; 46; 29; 37; 27; 35; 21; 31; 14; 7; 5; 2; 1; 13; 33; 34; 25; 24; 18; 17; 40; 4; 3; 19; 45; 0; 43; 38; 23; 39; 42; 41; 10; 44; 9; 49; 26; 32],[[48; 15; 12; 6]; [16; 28; 8; 47; 22]; [30; 20; 36; 11; 46; 29]; [37; 27; 35; 21; 31; 14]; [7; 5; 2]; [1; 13; 33; 34]; [25; 24; 18; 17; 40]; [4; 3; 19; 45]; [0; 43; 38; 23; 39; 42; 41]; [10; 44; 9; 49; 26; 32]],[90200; 97400; 96800; 95400; 97700; 84600; 96900; 96600; 98200; 98400],250,251,0.0
14,10,0.9081412,[15; 1; 2; 20; 22; 49; 29; 5; 23; 16; 3; 26; 25; 13; 41; 31; 17; 46; 10; 28; 9; 21; 8; 4; 14; 18; 30; 12; 11; 19; 7; 35; 27; 32; 0; 40; 24; 34; 39; 37; 44; 38; 6; 33; 45; 36; 42; 47; 43; 48],[[15; 1; 2]; [20; 22; 49; 29; 5]; [23; 16; 3; 26]; [25; 13; 41; 31; 17; 46]; [10; 28; 9; 21]; [8; 4; 14]; [18; 30; 12; 11]; [19; 7; 35; 27; 32]; [0; 40; 24; 34; 39; 37; 44]; [38; 6; 33; 45; 36; 42; 47; 43; 48]],[99000; 93400; 98400; 97500; 95300; 89400; 98800; 91500; 99500; 89400],700,701,0.015738964080810547
5,10,0.9080992,[9; 18; 22; 40; 28; 0; 7; 16; 39; 3; 25; 17; 15; 2; 12; 37; 45; 4; 34; 31; 41; 30; 44; 11; 38; 10; 20; 47; 14; 13; 26; 48; 35; 36; 29; 49; 6; 46; 23; 19; 5; 33; 43; 42; 24; 21; 8; 1; 32; 27],[[9; 18; 22; 40; 28]; [0; 7; 16]; [39; 3; 25; 17]; [15; 2; 12]; [37; 45; 4; 34; 31; 41; 30]; [44; 11; 38; 10; 20; 47]; [14; 13; 26; 48; 35; 36]; [29; 49; 6; 46; 23; 19]; [5; 33; 43; 42; 24; 21]; [8; 1; 32; 27]],[100000; 94400; 87100; 91200; 94500; 99700; 95100; 98200; 97600; 94400],250,251,0.0
4,10,0.9081805999999999,[33; 12; 27; 9; 39; 21; 7; 38; 1; 44; 6; 36; 5; 35; 47; 0; 17; 2; 22; 31; 37; 23; 18; 28; 26; 45; 11; 8; 3; 30; 46; 14; 29; 24; 13; 19; 16; 43; 15; 25; 34; 10; 4; 48; 42; 49; 20; 41; 40; 32],[[33; 12; 27; 9; 39]; [21; 7; 38; 1]; [44; 6; 36; 5; 35; 47]; [0; 17; 2]; [22; 31; 37; 23; 18]; [28; 26; 45; 11; 8]; [3; 30; 46; 14; 29]; [24; 13; 19; 16]; [43; 15; 25; 34; 10]; [4; 48; 42; 49; 20; 41; 40; 32]],[93300; 96400; 92600; 99700; 87100; 99500; 98000; 95700; 91400; 98500],200,201,0.01564478874206543
3,10,0.9113943999999998,[30; 3; 48; 45; 1; 16; 24; 36; 29; 22; 39; 31; 18; 2; 20; 5; 34; 13; 8; 27; 6; 15; 19; 23; 10; 7; 32; 14; 28; 11; 44; 40; 49; 37; 42; 21; 0; 4; 35; 47; 9; 26; 25; 43; 33; 38; 12; 17; 46; 41],[[30; 3; 48; 45; 1]; [16; 24; 36; 29; 22; 39]; [31; 18; 2; 20]; [5; 34; 13; 8]; [27; 6; 15; 19]; [23; 10; 7; 32]; [14; 28; 11; 44; 40; 49; 37]; [42; 21; 0; 4]; [35; 47; 9; 26; 25; 43; 33]; [38; 12; 17; 46; 41]],[96600; 99200; 96100; 98600; 97600; 90300; 99600; 99900; 98100; 76200],150,151,0.0
