Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
1,6,0.8563756666666666,[17; 19; 23; 47; 41; 0; 31; 46; 29; 42; 35; 15; 20; 40; 34; 32; 2; 45; 10; 44; 30; 9; 25; 13; 22; 6; 8; 26; 43; 24; 16; 3; 38; 12; 1; 33; 21; 49; 14; 18; 11; 28; 5; 36; 48; 39; 37; 7; 4; 27],[[17; 19; 23; 47; 41; 0; 31; 46; 29; 42; 35]; [15; 20; 40; 34; 32; 2; 45; 10; 44; 30]; [9; 25; 13; 22; 6; 8]; [26; 43; 24; 16; 3; 38; 12]; [1; 33; 21; 49; 14; 18; 11; 28]; [5; 36; 48; 39; 37; 7; 4; 27]],[99400; 98600; 90900; 82400; 98600; 83700],50,51,0.0
1,6,0.8581829999999999,[21; 2; 9; 22; 27; 18; 23; 24; 20; 45; 3; 46; 32; 28; 26; 11; 1; 48; 43; 25; 19; 31; 13; 6; 47; 44; 49; 0; 30; 4; 40; 7; 34; 16; 12; 37; 39; 33; 41; 14; 36; 42; 38; 17; 35; 29; 5; 10; 15; 8],[[21; 2; 9; 22; 27; 18; 23]; [24; 20; 45; 3; 46; 32; 28; 26; 11]; [1; 48; 43; 25; 19; 31; 13; 6; 47; 44; 49]; [0; 30; 4; 40; 7; 34; 16]; [12; 37; 39; 33; 41; 14; 36; 42; 38; 17; 35]; [29; 5; 10; 15; 8]],[98400; 96300; 98400; 91600; 94400; 74500],50,51,0.0
1,6,0.8594746666666667,[23; 20; 29; 1; 18; 13; 28; 42; 16; 8; 12; 5; 41; 15; 31; 27; 4; 9; 11; 37; 14; 45; 21; 3; 24; 36; 0; 19; 35; 32; 10; 48; 46; 40; 38; 43; 22; 7; 26; 44; 49; 17; 39; 2; 33; 34; 30; 25; 6; 47],[[23; 20; 29; 1; 18; 13; 28; 42]; [16; 8; 12; 5; 41; 15; 31]; [27; 4; 9; 11; 37; 14; 45; 21]; [3; 24; 36; 0; 19; 35; 32]; [10; 48; 46; 40; 38; 43; 22; 7; 26; 44; 49; 17; 39]; [2; 33; 34; 30; 25; 6; 47]],[99300; 92700; 99700; 88000; 99400; 74500],50,51,0.0
1,6,0.8584546666666665,[9; 5; 10; 31; 17; 20; 33; 4; 27; 42; 49; 16; 18; 24; 46; 45; 22; 43; 48; 6; 2; 34; 47; 15; 35; 30; 29; 32; 7; 1; 36; 14; 28; 11; 25; 3; 12; 40; 19; 0; 38; 13; 8; 41; 26; 21; 23; 44; 37; 39],[[9; 5; 10; 31; 17; 20; 33]; [4; 27; 42; 49; 16; 18; 24; 46; 45; 22; 43; 48]; [6; 2; 34; 47; 15; 35; 30; 29; 32]; [7; 1; 36; 14; 28; 11; 25]; [3; 12; 40; 19; 0; 38; 13]; [8; 41; 26; 21; 23; 44; 37; 39]],[94100; 97800; 94800; 98300; 94900; 73700],50,51,0.0
1,6,0.861777,[23; 40; 45; 7; 39; 32; 9; 14; 28; 42; 5; 12; 8; 1; 19; 30; 35; 38; 18; 2; 41; 22; 44; 26; 15; 24; 46; 49; 43; 27; 47; 34; 37; 11; 25; 20; 4; 16; 10; 21; 36; 48; 33; 3; 13; 6; 31; 0; 29; 17],[[23; 40; 45; 7; 39; 32; 9; 14; 28; 42]; [5; 12; 8; 1; 19; 30; 35]; [38; 18; 2; 41; 22; 44; 26; 15; 24; 46]; [49; 43; 27; 47; 34; 37; 11; 25; 20; 4]; [16; 10; 21; 36; 48; 33; 3; 13]; [6; 31; 0; 29; 17]],[97100; 100000; 100000; 91400; 94700; 70400],50,51,0.0
1,6,0.8635146666666667,[40; 34; 43; 23; 18; 38; 48; 28; 24; 25; 19; 20; 36; 45; 27; 13; 15; 12; 10; 6; 49; 9; 35; 1; 46; 39; 26; 7; 33; 2; 32; 37; 3; 16; 5; 31; 0; 4; 41; 22; 44; 8; 14; 17; 21; 30; 42; 11; 29; 47],[[40; 34; 43; 23; 18; 38; 48; 28; 24; 25; 19]; [20; 36; 45; 27; 13; 15; 12; 10]; [6; 49; 9; 35; 1; 46; 39; 26; 7]; [33; 2; 32; 37; 3; 16; 5]; [31; 0; 4; 41; 22; 44; 8; 14]; [17; 21; 30; 42; 11; 29; 47]],[97700; 97200; 99400; 91500; 99500; 68300],50,51,0.0
1,6,0.8548250000000001,[49; 9; 33; 1; 36; 21; 48; 26; 19; 10; 42; 34; 37; 39; 17; 38; 15; 14; 25; 18; 7; 3; 6; 41; 16; 12; 13; 5; 0; 24; 27; 44; 46; 43; 2; 47; 30; 8; 31; 28; 35; 20; 40; 32; 11; 23; 29; 4; 22; 45],[[49; 9; 33; 1; 36; 21; 48; 26; 19]; [10; 42; 34; 37; 39; 17; 38; 15; 14]; [25; 18; 7; 3; 6; 41; 16]; [12; 13; 5; 0; 24; 27; 44; 46]; [43; 2; 47; 30; 8; 31; 28; 35; 20; 40]; [32; 11; 23; 29; 4; 22; 45]],[92800; 90700; 97200; 98600; 93900; 80400],50,51,0.0
1,6,0.8548663333333333,[19; 21; 46; 25; 2; 6; 16; 45; 15; 9; 23; 1; 3; 4; 42; 34; 44; 7; 39; 33; 32; 43; 29; 12; 14; 24; 48; 20; 11; 22; 13; 10; 47; 35; 0; 38; 27; 36; 28; 8; 26; 31; 18; 41; 30; 37; 17; 49; 40; 5],[[19; 21; 46; 25; 2; 6; 16; 45]; [15; 9; 23; 1; 3]; [4; 42; 34; 44; 7; 39; 33; 32; 43; 29; 12]; [14; 24; 48; 20; 11; 22; 13]; [10; 47; 35; 0; 38; 27; 36; 28; 8]; [26; 31; 18; 41; 30; 37; 17; 49; 40; 5]],[94300; 82800; 99800; 87100; 98200; 91400],50,51,0.0
1,6,0.8592649999999998,[44; 29; 26; 31; 34; 4; 42; 27; 10; 32; 39; 24; 21; 8; 49; 22; 3; 15; 7; 2; 0; 11; 46; 1; 37; 12; 41; 23; 25; 30; 6; 43; 19; 16; 40; 17; 45; 18; 9; 47; 36; 38; 13; 14; 48; 28; 5; 20; 33; 35],[[44; 29; 26; 31; 34; 4; 42; 27; 10; 32]; [39; 24; 21; 8; 49; 22; 3; 15]; [7; 2; 0; 11; 46; 1]; [37; 12; 41; 23; 25; 30; 6; 43; 19]; [16; 40; 17; 45; 18; 9; 47; 36; 38; 13]; [14; 48; 28; 5; 20; 33; 35]],[98100; 95700; 95200; 94000; 98000; 72600],50,51,0.0
1,6,0.8582196666666667,[36; 0; 4; 30; 3; 12; 2; 31; 20; 33; 7; 6; 9; 40; 10; 27; 1; 37; 39; 14; 13; 29; 18; 5; 34; 16; 23; 48; 17; 32; 19; 43; 45; 41; 25; 22; 15; 11; 24; 44; 28; 47; 35; 49; 38; 21; 26; 8; 46; 42],[[36; 0; 4; 30; 3; 12]; [2; 31; 20; 33; 7; 6; 9]; [40; 10; 27; 1; 37; 39; 14; 13]; [29; 18; 5; 34; 16; 23; 48; 17; 32]; [19; 43; 45; 41; 25; 22; 15; 11; 24; 44]; [28; 47; 35; 49; 38; 21; 26; 8; 46; 42]],[89300; 98600; 95700; 99600; 95200; 75200],50,51,0.01568770408630371
1,6,0.8582363333333333,[1; 49; 38; 28; 21; 17; 43; 15; 33; 0; 45; 48; 23; 31; 30; 39; 9; 14; 36; 40; 13; 35; 4; 42; 3; 24; 26; 12; 29; 11; 10; 8; 6; 41; 19; 5; 27; 18; 22; 34; 47; 46; 25; 37; 44; 7; 2; 20; 16; 32],[[1; 49; 38; 28; 21; 17; 43; 15; 33]; [0; 45; 48; 23; 31; 30; 39; 9; 14]; [36; 40; 13; 35; 4; 42; 3; 24; 26]; [12; 29; 11; 10; 8; 6; 41]; [19; 5; 27; 18; 22; 34; 47; 46; 25; 37]; [44; 7; 2; 20; 16; 32]],[91600; 93700; 98600; 96000; 99100; 74600],50,51,0.0
1,6,0.8591966666666666,[23; 2; 18; 32; 34; 1; 16; 36; 22; 46; 31; 26; 0; 38; 24; 9; 43; 7; 40; 41; 10; 28; 8; 6; 37; 19; 49; 45; 42; 20; 13; 39; 25; 21; 15; 27; 5; 17; 33; 11; 29; 4; 30; 35; 47; 12; 14; 3; 48; 44],[[23; 2; 18; 32; 34; 1; 16]; [36; 22; 46; 31; 26; 0; 38; 24; 9]; [43; 7; 40; 41; 10; 28; 8; 6; 37]; [19; 49; 45; 42; 20; 13; 39; 25; 21; 15]; [27; 5; 17; 33; 11; 29; 4]; [30; 35; 47; 12; 14; 3; 48; 44]],[96200; 98900; 95300; 96600; 93900; 72700],50,51,0.0
1,6,0.8666936666666665,[43; 27; 10; 25; 31; 40; 8; 9; 30; 45; 2; 0; 46; 14; 17; 49; 29; 21; 35; 6; 20; 22; 5; 36; 19; 44; 33; 15; 39; 3; 32; 4; 34; 47; 1; 18; 11; 37; 38; 41; 28; 26; 48; 16; 24; 7; 13; 12; 42; 23],[[43; 27; 10; 25; 31; 40; 8; 9; 30]; [45; 2; 0; 46; 14; 17; 49; 29; 21]; [35; 6; 20; 22; 5; 36; 19; 44; 33]; [15; 39; 3; 32; 4; 34; 47; 1]; [18; 11; 37; 38; 41; 28; 26; 48; 16; 24]; [7; 13; 12; 42; 23]],[98600; 98100; 98300; 96000; 98000; 64600],50,51,0.0
