Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
140,45,0.9643800000000002,[32; 50; 0; 4; 25; 58; 68; 47; 72; 30; 52; 84; 87; 13; 27; 77; 80; 83; 69; 17; 40; 37; 95; 41; 42; 78; 64; 36; 94; 29; 57; 55; 28; 3; 96; 63; 26; 92; 98; 5; 20; 62; 14; 71; 6; 67; 21; 46; 49; 18; 73; 90; 19; 66; 54; 35; 44; 43; 88; 8; 39; 38; 65; 33; 79; 45; 53; 86; 99; 85; 10; 82; 11; 9; 89; 1; 81; 12; 15; 70; 2; 97; 60; 24; 51; 31; 48; 74; 61; 56; 34; 93; 7; 91; 22; 59; 23; 75; 76; 16],[[32; 50]; [0]; [4]; [25; 58]; [68; 47; 72]; [30; 52]; [84; 87; 13]; [27; 77; 80; 83]; [69; 17]; [40; 37]; [95; 41; 42]; [78; 64; 36]; [94; 29; 57]; [55; 28]; [3; 96]; [63; 26; 92; 98]; [5]; [20; 62]; [14; 71]; [6]; [67; 21]; [46; 49]; [18; 73; 90]; [19; 66]; [54; 35]; [44; 43]; [88; 8]; [39; 38]; [65; 33; 79]; [45; 53; 86; 99]; [85; 10]; [82; 11]; [9; 89]; [1]; [81; 12]; [15; 70]; [2; 97]; [60; 24]; [51; 31]; [48; 74; 61]; [56; 34; 93]; [7; 91]; [22; 59]; [23; 75; 76]; [16]],[10000; 10000; 9500; 10000; 9900; 10000; 10000; 10000; 10000; 10000; 10000; 9900; 10000; 9700; 10000; 10000; 9400; 10000; 10000; 9400; 9700; 9500; 10000; 9900; 9400; 9600; 9900; 9800; 10000; 10000; 9900; 10000; 9700; 9900; 9500; 9900; 9900; 9800; 10000; 10000; 10000; 10000; 10000; 10000; 7300],14000,14001,0.7369382381439209
258,45,0.9638333333333335,[15; 73; 68; 20; 6; 89; 71; 84; 33; 32; 80; 64; 11; 83; 31; 62; 66; 21; 98; 16; 76; 87; 74; 13; 51; 30; 27; 53; 42; 39; 97; 47; 49; 9; 85; 58; 34; 90; 25; 57; 19; 81; 78; 99; 2; 28; 52; 96; 3; 94; 18; 75; 93; 65; 54; 63; 43; 44; 14; 70; 1; 86; 10; 0; 88; 67; 23; 48; 95; 40; 37; 45; 12; 5; 26; 56; 82; 36; 61; 8; 92; 4; 35; 50; 29; 55; 91; 7; 72; 79; 24; 41; 46; 17; 69; 77; 38; 60; 59; 22],[[15; 73]; [68; 20]; [6]; [89; 71; 84; 33]; [32; 80; 64]; [11; 83]; [31; 62]; [66; 21; 98]; [16; 76; 87]; [74; 13]; [51; 30]; [27; 53]; [42; 39; 97]; [47; 49]; [9; 85]; [58; 34; 90]; [25; 57]; [19; 81; 78; 99]; [2]; [28; 52]; [96; 3]; [94; 18; 75; 93]; [65; 54; 63]; [43; 44]; [14; 70]; [1]; [86; 10]; [0]; [88; 67; 23]; [48; 95; 40]; [37; 45]; [12]; [5]; [26; 56]; [82; 36; 61]; [8; 92]; [4]; [35; 50]; [29; 55]; [91; 7]; [72; 79; 24]; [41; 46]; [17; 69]; [77; 38; 60]; [59; 22]],[9700; 9800; 9400; 10000; 10000; 10000; 8800; 10000; 10000; 10000; 10000; 9900; 10000; 9400; 9900; 10000; 10000; 10000; 9600; 10000; 10000; 10000; 10000; 9600; 10000; 9900; 9800; 10000; 10000; 10000; 9900; 8100; 9400; 10000; 9900; 9800; 9500; 9800; 9700; 10000; 10000; 9600; 10000; 10000; 10000],25800,25801,1.532890796661377
237,45,0.9641177777777779,[87; 8; 41; 93; 54; 20; 62; 71; 14; 91; 7; 66; 21; 79; 68; 32; 84; 9; 5; 69; 17; 80; 72; 23; 65; 61; 73; 0; 33; 50; 85; 59; 36; 16; 90; 76; 25; 57; 2; 47; 48; 29; 51; 4; 35; 58; 88; 63; 24; 92; 43; 49; 94; 96; 30; 56; 75; 12; 95; 3; 11; 83; 22; 60; 52; 28; 55; 27; 18; 67; 38; 97; 42; 31; 53; 99; 81; 15; 82; 1; 10; 86; 98; 37; 40; 6; 70; 34; 19; 64; 78; 77; 89; 26; 45; 44; 39; 46; 13; 74],[[87; 8]; [41; 93; 54]; [20; 62]; [71; 14]; [91; 7]; [66; 21]; [79; 68; 32]; [84; 9]; [5]; [69; 17]; [80; 72; 23]; [65; 61; 73]; [0]; [33; 50]; [85; 59; 36]; [16; 90; 76]; [25; 57]; [2]; [47; 48]; [29; 51]; [4]; [35; 58; 88]; [63; 24; 92]; [43; 49; 94]; [96; 30; 56]; [75; 12]; [95; 3]; [11; 83]; [22; 60]; [52; 28]; [55; 27]; [18; 67]; [38; 97; 42]; [31; 53; 99]; [81; 15; 82]; [1]; [10; 86; 98]; [37; 40]; [6]; [70; 34]; [19; 64]; [78; 77; 89; 26]; [45; 44]; [39; 46]; [13; 74]],[10000; 9500; 10000; 10000; 10000; 9800; 9900; 10000; 9400; 10000; 10000; 8600; 10000; 10000; 10000; 9900; 10000; 9600; 9400; 10000; 9500; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 9900; 10000; 9800; 9800; 10000; 10000; 10000; 9900; 10000; 10000; 9400; 7900; 9900; 10000; 9600; 9700; 10000],23700,23701,1.294999122619629
118,45,0.9635711111111112,[94; 85; 13; 15; 81; 82; 14; 71; 22; 59; 99; 21; 63; 92; 30; 67; 91; 89; 36; 58; 55; 33; 4; 64; 19; 25; 57; 84; 9; 48; 47; 38; 50; 93; 56; 32; 83; 11; 7; 20; 66; 18; 62; 17; 69; 35; 79; 65; 90; 10; 1; 44; 46; 53; 27; 5; 23; 60; 31; 52; 43; 41; 3; 6; 42; 45; 96; 26; 78; 77; 88; 0; 28; 51; 2; 97; 98; 87; 54; 40; 75; 12; 24; 80; 72; 37; 39; 95; 73; 16; 86; 8; 34; 68; 29; 70; 76; 49; 74; 61],[[94; 85; 13]; [15; 81; 82]; [14; 71]; [22; 59]; [99; 21; 63]; [92; 30; 67; 91]; [89; 36; 58]; [55; 33]; [4]; [64; 19]; [25; 57]; [84; 9]; [48; 47]; [38; 50; 93]; [56; 32]; [83; 11]; [7]; [20; 66]; [18; 62]; [17; 69]; [35; 79; 65]; [90; 10]; [1]; [44; 46]; [53; 27]; [5]; [23; 60]; [31; 52]; [43; 41]; [3]; [6]; [42; 45; 96]; [26; 78; 77; 88]; [0]; [28; 51]; [2; 97]; [98; 87; 54; 40]; [75; 12]; [24; 80; 72]; [37; 39]; [95; 73; 16]; [86; 8]; [34; 68]; [29; 70; 76]; [49; 74; 61]],[9500; 10000; 10000; 10000; 10000; 10000; 10000; 9600; 9500; 9900; 10000; 10000; 9400; 10000; 9500; 10000; 9300; 9900; 10000; 10000; 9800; 9700; 9900; 9600; 9900; 9400; 9800; 10000; 9600; 9600; 9400; 10000; 10000; 10000; 10000; 9900; 10000; 10000; 10000; 10000; 10000; 10000; 8300; 10000; 10000],11800,11801,0.6248347759246826
121,45,0.9634555555555557,[94; 4; 96; 48; 38; 20; 62; 9; 19; 65; 29; 52; 89; 81; 73; 46; 91; 12; 75; 45; 84; 57; 0; 11; 82; 85; 10; 14; 71; 70; 15; 23; 72; 79; 93; 7; 77; 16; 28; 51; 80; 31; 67; 58; 35; 34; 64; 78; 6; 1; 13; 74; 61; 36; 83; 87; 17; 76; 69; 18; 39; 37; 3; 55; 98; 99; 32; 53; 27; 49; 47; 22; 60; 25; 90; 63; 5; 30; 54; 68; 97; 21; 43; 40; 92; 66; 24; 44; 42; 2; 95; 86; 8; 59; 41; 88; 56; 26; 50; 33],[[94; 4]; [96; 48; 38]; [20; 62]; [9]; [19; 65]; [29; 52]; [89; 81; 73; 46; 91]; [12; 75]; [45; 84; 57]; [0]; [11; 82]; [85; 10]; [14; 71]; [70; 15]; [23; 72; 79]; [93; 7]; [77; 16]; [28; 51]; [80; 31; 67]; [58; 35]; [34; 64; 78]; [6]; [1]; [13; 74]; [61; 36; 83]; [87; 17; 76]; [69; 18]; [39; 37]; [3]; [55; 98; 99; 32]; [53; 27]; [49; 47]; [22; 60]; [25; 90; 63]; [5]; [30; 54]; [68; 97; 21]; [43; 40]; [92; 66; 24]; [44; 42]; [2; 95]; [86; 8]; [59; 41; 88]; [56; 26]; [50; 33]],[10000; 10000; 10000; 8900; 9900; 10000; 10000; 10000; 9700; 10000; 10000; 9900; 10000; 9900; 10000; 10000; 8900; 10000; 10000; 9200; 9900; 9400; 9900; 10000; 9900; 9900; 9700; 10000; 9600; 10000; 9900; 9400; 9900; 10000; 9400; 9700; 10000; 9700; 10000; 9600; 10000; 10000; 9200; 10000; 10000],12100,12101,0.6248738765716553
199,45,0.9641000000000002,[98; 20; 68; 35; 53; 69; 79; 27; 84; 9; 62; 19; 67; 21; 49; 58; 78; 72; 74; 28; 94; 66; 24; 51; 29; 0; 83; 11; 95; 44; 41; 5; 2; 13; 77; 88; 55; 47; 59; 22; 4; 18; 65; 10; 85; 80; 25; 37; 38; 7; 92; 6; 23; 61; 71; 97; 17; 14; 70; 16; 73; 54; 42; 82; 52; 30; 12; 76; 96; 46; 45; 39; 40; 99; 75; 15; 93; 64; 81; 32; 34; 87; 63; 91; 48; 43; 86; 8; 60; 90; 31; 89; 57; 36; 56; 26; 50; 33; 3; 1],[[98; 20; 68]; [35; 53]; [69; 79; 27]; [84; 9]; [62; 19]; [67; 21]; [49; 58; 78]; [72; 74; 28]; [94; 66; 24]; [51; 29]; [0]; [83; 11]; [95; 44; 41]; [5]; [2]; [13; 77]; [88; 55; 47]; [59; 22]; [4]; [18; 65]; [10; 85]; [80; 25]; [37; 38]; [7; 92]; [6]; [23; 61]; [71; 97; 17]; [14; 70]; [16; 73]; [54; 42; 82]; [52; 30]; [12; 76]; [96; 46; 45]; [39; 40; 99]; [75; 15; 93]; [64; 81; 32]; [34; 87; 63; 91]; [48; 43]; [86; 8]; [60; 90; 31]; [89; 57; 36]; [56; 26]; [50; 33]; [3]; [1]],[10000; 9500; 10000; 10000; 10000; 9700; 10000; 10000; 9800; 10000; 10000; 10000; 10000; 9400; 9600; 9600; 9500; 10000; 9500; 9900; 9900; 7600; 10000; 10000; 9400; 9600; 10000; 10000; 9600; 10000; 10000; 9900; 10000; 10000; 10000; 10000; 10000; 9500; 10000; 10000; 10000; 10000; 10000; 9600; 9900],19900,19901,1.0628530979156494
95,45,0.9630822222222222,[9; 85; 30; 73; 74; 40; 56; 82; 57; 26; 3; 24; 60; 54; 27; 39; 41; 12; 76; 6; 64; 23; 93; 33; 52; 31; 51; 89; 19; 72; 84; 32; 61; 75; 38; 63; 71; 16; 68; 29; 95; 66; 18; 5; 1; 87; 99; 10; 7; 92; 4; 48; 46; 49; 47; 53; 35; 20; 62; 67; 86; 25; 17; 69; 65; 21; 81; 77; 34; 78; 94; 15; 83; 88; 13; 96; 98; 80; 50; 36; 37; 44; 42; 58; 79; 45; 43; 90; 11; 2; 97; 28; 55; 0; 22; 59; 8; 91; 70; 14],[[9; 85]; [30; 73; 74]; [40; 56; 82]; [57; 26]; [3]; [24; 60]; [54; 27]; [39; 41]; [12; 76]; [6]; [64; 23; 93]; [33; 52]; [31; 51]; [89; 19; 72]; [84; 32; 61]; [75; 38; 63]; [71; 16]; [68; 29; 95]; [66; 18]; [5]; [1]; [87; 99; 10]; [7; 92]; [4]; [48; 46]; [49; 47]; [53; 35]; [20; 62]; [67; 86; 25]; [17; 69]; [65; 21]; [81; 77; 34; 78]; [94; 15; 83; 88]; [13; 96; 98; 80]; [50; 36]; [37; 44]; [42; 58; 79]; [45; 43]; [90; 11]; [2; 97]; [28; 55]; [0]; [22; 59]; [8; 91]; [70; 14]],[9900; 10000; 10000; 9900; 9600; 9800; 9800; 9700; 9900; 9400; 10000; 9900; 10000; 10000; 10000; 9800; 9800; 9000; 9900; 9400; 9900; 10000; 10000; 9500; 9500; 9400; 9500; 10000; 10000; 10000; 9800; 9900; 9900; 10000; 9800; 9900; 10000; 9600; 9600; 9900; 9700; 10000; 10000; 9800; 10000],9500,9501,0.5428338050842285
132,45,0.9633,[76; 38; 61; 18; 99; 68; 84; 9; 7; 63; 24; 92; 8; 86; 5; 90; 26; 62; 96; 44; 43; 11; 82; 29; 59; 2; 72; 17; 27; 55; 57; 41; 80; 47; 49; 85; 93; 35; 67; 0; 91; 56; 34; 3; 25; 97; 73; 33; 53; 22; 60; 30; 54; 32; 50; 51; 31; 71; 16; 1; 15; 77; 98; 89; 12; 75; 28; 52; 36; 74; 79; 83; 37; 39; 65; 19; 95; 45; 46; 66; 20; 6; 10; 88; 4; 21; 64; 23; 69; 87; 40; 42; 70; 14; 48; 58; 81; 13; 78; 94],[[76; 38; 61]; [18; 99; 68]; [84; 9]; [7]; [63; 24; 92]; [8; 86]; [5]; [90; 26; 62]; [96; 44; 43]; [11; 82]; [29; 59]; [2]; [72; 17]; [27; 55]; [57; 41; 80]; [47; 49]; [85; 93; 35; 67]; [0]; [91; 56; 34]; [3]; [25; 97; 73]; [33; 53]; [22; 60]; [30; 54]; [32; 50]; [51; 31]; [71; 16]; [1]; [15; 77; 98; 89]; [12; 75]; [28; 52]; [36; 74; 79; 83]; [37; 39]; [65; 19]; [95; 45; 46]; [66; 20]; [6]; [10; 88]; [4]; [21; 64]; [23; 69; 87]; [40; 42]; [70; 14]; [48; 58; 81]; [13; 78; 94]],[10000; 10000; 10000; 9300; 10000; 10000; 9400; 10000; 10000; 10000; 9300; 9600; 9500; 9800; 10000; 9400; 10000; 10000; 10000; 9600; 8800; 9700; 9900; 9700; 10000; 10000; 9800; 9900; 10000; 10000; 10000; 10000; 10000; 9900; 10000; 9900; 9400; 9700; 9500; 9800; 10000; 9700; 10000; 9900; 10000],13200,13201,0.7240457534790039
173,45,0.9632466666666668,[22; 61; 8; 87; 16; 72; 50; 49; 77; 79; 82; 27; 20; 66; 9; 84; 21; 63; 88; 86; 19; 80; 32; 54; 53; 31; 99; 93; 10; 40; 37; 59; 30; 92; 51; 28; 90; 60; 29; 0; 64; 18; 42; 38; 48; 47; 15; 70; 36; 98; 55; 73; 33; 81; 3; 1; 69; 17; 41; 97; 39; 43; 95; 46; 85; 35; 65; 23; 68; 76; 57; 52; 91; 7; 6; 83; 11; 58; 25; 5; 44; 45; 14; 71; 94; 4; 89; 24; 67; 2; 96; 56; 26; 78; 34; 62; 13; 74; 75; 12],[[22; 61]; [8; 87]; [16; 72]; [50; 49]; [77; 79; 82; 27]; [20; 66]; [9; 84]; [21; 63]; [88; 86; 19; 80]; [32; 54]; [53; 31; 99]; [93; 10]; [40; 37]; [59; 30; 92]; [51; 28]; [90; 60; 29]; [0]; [64; 18]; [42; 38]; [48; 47]; [15; 70]; [36; 98; 55]; [73; 33; 81]; [3]; [1]; [69; 17]; [41; 97; 39]; [43; 95; 46]; [85; 35; 65]; [23; 68]; [76; 57; 52]; [91; 7]; [6]; [83; 11]; [58; 25]; [5]; [44; 45]; [14; 71]; [94; 4]; [89; 24; 67]; [2; 96]; [56; 26]; [78; 34; 62]; [13; 74]; [75; 12]],[9700; 10000; 9600; 9100; 10000; 9900; 10000; 9800; 10000; 9600; 10000; 9600; 10000; 10000; 10000; 10000; 10000; 9900; 9700; 9400; 9900; 9600; 9300; 9600; 9900; 10000; 10000; 10000; 9400; 9200; 9900; 10000; 9400; 10000; 10000; 9400; 9600; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 10000],17300,17301,1.0258593559265137
112,45,0.9644066666666669,[33; 60; 90; 92; 7; 5; 2; 18; 64; 16; 21; 74; 82; 52; 28; 95; 3; 63; 78; 34; 47; 44; 12; 75; 73; 24; 80; 27; 54; 49; 48; 19; 62; 6; 94; 55; 42; 86; 8; 87; 69; 17; 35; 88; 57; 32; 56; 10; 84; 71; 79; 26; 40; 37; 0; 61; 23; 22; 59; 1; 96; 41; 46; 39; 43; 99; 31; 91; 68; 72; 15; 97; 38; 93; 50; 13; 76; 85; 45; 53; 51; 29; 65; 36; 77; 66; 20; 83; 11; 14; 70; 58; 25; 89; 9; 98; 4; 30; 81; 67],[[33; 60; 90]; [92; 7]; [5]; [2]; [18; 64]; [16]; [21; 74; 82]; [52; 28]; [95; 3]; [63; 78; 34]; [47; 44]; [12; 75]; [73; 24; 80]; [27; 54]; [49; 48]; [19; 62]; [6; 94]; [55; 42; 86]; [8; 87]; [69; 17]; [35; 88; 57]; [32; 56]; [10; 84]; [71; 79; 26]; [40; 37]; [0]; [61; 23]; [22; 59]; [1]; [96; 41; 46]; [39; 43; 99]; [31; 91; 68]; [72; 15; 97]; [38; 93; 50]; [13; 76]; [85; 45; 53]; [51; 29]; [65; 36; 77]; [66; 20]; [83; 11]; [14; 70]; [58; 25]; [89; 9; 98]; [4]; [30; 81; 67]],[9900; 10000; 9400; 9600; 9900; 7300; 10000; 10000; 10000; 9900; 9500; 10000; 10000; 9800; 9400; 10000; 9900; 9700; 10000; 10000; 10000; 9500; 10000; 10000; 10000; 10000; 9600; 10000; 9900; 10000; 9900; 9300; 10000; 10000; 9800; 9900; 10000; 10000; 9900; 10000; 10000; 10000; 9900; 9500; 10000],11200,11201,0.5950949192047119
