Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
22,70,0.7881600000000001,[23; 1; 52; 80; 17; 53; 79; 20; 74; 61; 22; 25; 9; 11; 8; 55; 85; 58; 46; 19; 43; 88; 89; 37; 66; 77; 26; 32; 2; 38; 95; 29; 45; 14; 10; 4; 60; 75; 0; 71; 68; 54; 81; 86; 51; 83; 47; 3; 31; 49; 13; 59; 64; 73; 15; 28; 57; 7; 16; 24; 87; 40; 12; 56; 27; 6; 72; 65; 30; 96; 41; 84; 39; 91; 82; 48; 92; 50; 5; 76; 63; 99; 97; 69; 34; 33; 94; 42; 98; 35; 93; 36; 78; 62; 21; 18; 90; 44; 70; 67],[[23]; [1]; [52; 80]; [17]; [53; 79]; [20]; [74; 61]; [22]; [25]; [9]; [11]; [8]; [55; 85]; [58]; [46]; [19]; [43; 88]; [89; 37]; [66; 77]; [26]; [32]; [2]; [38; 95]; [29]; [45]; [14]; [10]; [4]; [60; 75]; [0]; [71; 68]; [54; 81]; [86; 51]; [83; 47]; [3]; [31]; [49]; [13]; [59]; [64; 73]; [15]; [28]; [57]; [7]; [16]; [24]; [87; 40]; [12]; [56]; [27]; [6]; [72; 65]; [30; 96]; [41; 84]; [39; 91]; [82; 48]; [92; 50]; [5]; [76; 63]; [99; 97; 69]; [34]; [33]; [94; 42]; [98; 35]; [93; 36]; [78; 62]; [21]; [18]; [90; 44]; [70; 67]],[8300; 9900; 10000; 8500; 10000; 8400; 10000; 8400; 8100; 9200; 8800; 9300; 9000; 5900; 6500; 8500; 9500; 9900; 9600; 7900; 7600; 9500; 9600; 7600; 6500; 8600; 9100; 9400; 10000; 10000; 9600; 9700; 9100; 9700; 9500; 7600; 6400; 8600; 5900; 9800; 8600; 7700; 5900; 9300; 8600; 8200; 9700; 8700; 6000; 7800; 9300; 10000; 10000; 10000; 9600; 10000; 9100; 9400; 9800; 9100; 7500; 7500; 9500; 9500; 9800; 9800; 8400; 8500; 9400; 10000],2200,2201,0.1589217185974121
24,70,0.7876371428571425,[89; 50; 24; 13; 22; 0; 26; 63; 15; 68; 69; 57; 80; 40; 9; 2; 74; 67; 32; 65; 71; 29; 47; 90; 41; 84; 36; 95; 56; 12; 83; 44; 92; 46; 1; 55; 72; 70; 27; 38; 85; 59; 35; 99; 10; 11; 96; 42; 53; 39; 87; 28; 14; 54; 79; 16; 51; 94; 34; 5; 8; 52; 81; 61; 73; 48; 37; 91; 43; 93; 21; 3; 17; 64; 77; 18; 25; 60; 78; 49; 88; 23; 19; 6; 75; 66; 4; 33; 97; 98; 30; 7; 45; 86; 31; 82; 58; 20; 62; 76],[[89; 50]; [24]; [13]; [22]; [0]; [26]; [63]; [15]; [68; 69]; [57; 80]; [40]; [9]; [2]; [74; 67]; [32]; [65; 71]; [29]; [47; 90]; [41; 84]; [36; 95]; [56]; [12]; [83; 44]; [92; 46]; [1]; [55]; [72; 70]; [27]; [38; 85]; [59]; [35; 99]; [10]; [11]; [96; 42]; [53]; [39; 87]; [28]; [14]; [54; 79]; [16]; [51; 94]; [34]; [5]; [8]; [52; 81]; [61; 73]; [48]; [37; 91]; [43; 93]; [21]; [3]; [17]; [64; 77]; [18]; [25]; [60; 78]; [49; 88]; [23]; [19]; [6]; [75; 66]; [4]; [33; 97]; [98; 30]; [7]; [45; 86]; [31]; [82; 58]; [20]; [62; 76]],[9200; 8200; 8600; 8400; 10000; 7900; 5600; 8600; 10000; 9600; 6900; 9200; 9500; 9600; 7600; 10000; 7600; 9100; 10000; 9700; 6000; 8700; 10000; 9200; 9900; 6100; 9200; 7800; 10000; 5900; 9300; 9100; 8800; 9300; 6200; 9700; 7700; 8600; 9900; 8600; 8900; 7500; 9400; 9300; 9900; 10000; 6400; 9800; 9300; 8400; 9500; 8500; 9700; 8500; 8100; 9900; 9200; 8300; 8500; 9300; 9700; 9400; 9700; 9800; 9300; 9300; 7600; 9500; 8400; 9800],2400,2401,0.14668059349060059
35,70,0.7911171428571432,[86; 47; 84; 49; 52; 81; 23; 97; 28; 17; 11; 83; 43; 45; 89; 59; 14; 12; 29; 69; 77; 5; 87; 37; 26; 25; 79; 58; 21; 95; 34; 22; 7; 99; 31; 33; 96; 4; 10; 76; 60; 68; 15; 24; 61; 78; 3; 2; 98; 30; 8; 18; 53; 46; 67; 70; 32; 1; 16; 48; 82; 44; 9; 19; 36; 88; 51; 13; 39; 94; 6; 38; 92; 91; 50; 40; 85; 72; 65; 71; 66; 54; 74; 63; 20; 57; 64; 75; 42; 93; 41; 35; 90; 0; 56; 73; 62; 55; 80; 27],[[86; 47]; [84; 49]; [52; 81]; [23]; [97; 28]; [17]; [11]; [83; 43]; [45; 89]; [59]; [14]; [12]; [29]; [69; 77]; [5]; [87; 37]; [26]; [25]; [79; 58]; [21]; [95; 34]; [22]; [7]; [99; 31]; [33; 96]; [4]; [10]; [76; 60]; [68]; [15]; [24]; [61; 78]; [3]; [2]; [98; 30]; [8]; [18]; [53]; [46]; [67; 70]; [32]; [1]; [16]; [48; 82]; [44]; [9]; [19]; [36; 88]; [51]; [13]; [39; 94]; [6]; [38; 92]; [91; 50]; [40; 85]; [72; 65]; [71; 66]; [54]; [74; 63]; [20]; [57]; [64; 75]; [42; 93]; [41]; [35; 90]; [0]; [56]; [73; 62]; [55; 80]; [27]],[9200; 9500; 9900; 8300; 9900; 8500; 8800; 10000; 9300; 5900; 8600; 8700; 7600; 9100; 9400; 9900; 7900; 8100; 9700; 8400; 10000; 8400; 9300; 9600; 9900; 9400; 9100; 9900; 5100; 8600; 8200; 9900; 9500; 9500; 9800; 9300; 8500; 6200; 6500; 10000; 7600; 9900; 8600; 10000; 6700; 9200; 8500; 10000; 6300; 8600; 9500; 9300; 9800; 9100; 9800; 10000; 9900; 6100; 9900; 8400; 5900; 9800; 9500; 6900; 10000; 10000; 6000; 9900; 9800; 7800],3500,3501,0.2188124656677246
32,70,0.7885714285714284,[62; 8; 90; 59; 24; 0; 50; 81; 34; 82; 54; 11; 33; 95; 31; 45; 26; 52; 2; 49; 51; 80; 4; 19; 20; 89; 46; 78; 65; 36; 13; 41; 6; 61; 75; 1; 53; 16; 7; 43; 86; 14; 23; 3; 15; 5; 64; 76; 88; 44; 18; 93; 38; 55; 83; 74; 60; 29; 96; 21; 42; 85; 22; 25; 30; 97; 48; 87; 77; 68; 91; 39; 67; 70; 17; 56; 9; 27; 92; 35; 37; 94; 98; 32; 28; 99; 12; 57; 84; 73; 63; 69; 71; 47; 10; 66; 72; 40; 58; 79],[[62]; [8]; [90; 59]; [24]; [0]; [50; 81]; [34]; [82; 54]; [11]; [33; 95]; [31]; [45]; [26]; [52]; [2]; [49]; [51; 80]; [4]; [19]; [20]; [89; 46]; [78; 65]; [36]; [13]; [41]; [6]; [61; 75]; [1]; [53]; [16]; [7]; [43; 86]; [14]; [23]; [3]; [15]; [5]; [64; 76]; [88; 44]; [18]; [93; 38]; [55; 83]; [74; 60]; [29; 96]; [21]; [42; 85]; [22]; [25]; [30; 97]; [48; 87]; [77; 68]; [91; 39]; [67; 70]; [17]; [56]; [9]; [27]; [92; 35]; [37; 94]; [98; 32]; [28; 99]; [12]; [57; 84]; [73; 63]; [69; 71]; [47]; [10]; [66; 72]; [40]; [58; 79]],[5600; 9300; 8600; 8200; 10000; 10000; 7500; 9700; 8800; 10000; 7600; 6500; 7900; 6300; 9500; 6400; 10000; 9400; 8500; 8400; 9300; 9700; 7200; 8600; 6900; 9300; 10000; 9900; 6200; 8600; 9300; 9500; 8600; 8300; 9500; 8600; 9400; 9700; 9500; 8500; 9700; 9400; 10000; 10000; 8400; 9800; 8400; 8100; 9800; 9200; 9300; 9600; 10000; 8500; 6000; 9200; 7800; 10000; 9700; 9800; 9700; 8700; 9000; 9900; 9400; 6400; 9100; 9900; 6900; 9700],3200,3201,0.18746089935302734
33,70,0.789702857142857,[50; 74; 61; 24; 34; 87; 36; 19; 59; 90; 6; 28; 3; 49; 7; 12; 33; 29; 99; 0; 58; 82; 91; 45; 22; 18; 27; 97; 51; 70; 67; 2; 40; 95; 16; 32; 78; 69; 14; 13; 44; 84; 80; 56; 63; 73; 30; 15; 5; 47; 81; 46; 88; 26; 98; 31; 93; 42; 4; 75; 60; 17; 83; 43; 65; 72; 66; 71; 20; 9; 37; 94; 68; 41; 89; 8; 55; 57; 10; 52; 1; 85; 39; 96; 35; 23; 48; 92; 21; 11; 25; 54; 62; 76; 86; 38; 64; 77; 79; 53],[[50]; [74; 61]; [24]; [34]; [87; 36]; [19]; [59; 90]; [6]; [28]; [3]; [49]; [7]; [12]; [33]; [29; 99]; [0]; [58; 82]; [91; 45]; [22]; [18]; [27; 97]; [51]; [70; 67]; [2]; [40; 95]; [16]; [32]; [78; 69]; [14]; [13]; [44; 84]; [80; 56]; [63; 73]; [30]; [15]; [5]; [47; 81]; [46; 88]; [26]; [98; 31]; [93; 42]; [4]; [75; 60]; [17]; [83; 43]; [65; 72]; [66; 71]; [20]; [9]; [37; 94]; [68]; [41; 89]; [8]; [55]; [57]; [10]; [52]; [1]; [85; 39]; [96; 35]; [23]; [48; 92]; [21]; [11]; [25]; [54]; [62; 76]; [86; 38]; [64; 77]; [79; 53]],[6400; 10000; 8200; 7500; 10000; 8500; 8600; 9300; 7700; 9500; 6400; 9300; 8700; 7500; 9600; 10000; 9500; 9200; 8400; 8500; 10000; 6300; 10000; 9500; 9400; 8600; 7600; 9100; 8600; 8600; 9800; 9700; 9900; 7600; 8600; 9400; 10000; 9300; 7900; 9800; 9500; 9400; 10000; 8500; 10000; 10000; 9900; 8400; 9200; 9700; 5100; 9700; 9300; 6100; 5900; 9100; 6300; 9900; 9800; 9700; 8300; 9100; 8400; 8800; 8100; 6100; 9800; 9900; 9700; 10000],3300,3301,0.2225048542022705
33,70,0.7914428571428571,[97; 27; 15; 85; 49; 58; 80; 65; 78; 19; 26; 53; 48; 82; 13; 84; 40; 24; 2; 14; 62; 77; 52; 81; 79; 54; 35; 95; 42; 57; 11; 4; 3; 61; 76; 5; 83; 44; 30; 10; 93; 45; 1; 90; 37; 91; 39; 38; 86; 16; 23; 96; 32; 55; 20; 74; 66; 47; 88; 75; 60; 31; 50; 94; 6; 33; 98; 22; 8; 59; 28; 0; 89; 43; 34; 71; 25; 41; 92; 12; 46; 56; 7; 67; 70; 21; 72; 64; 36; 87; 73; 63; 17; 99; 29; 51; 9; 69; 68; 18],[[97; 27]; [15]; [85; 49]; [58; 80]; [65; 78]; [19]; [26]; [53]; [48; 82]; [13]; [84; 40]; [24]; [2]; [14]; [62; 77]; [52; 81]; [79; 54]; [35; 95]; [42]; [57]; [11]; [4]; [3]; [61; 76]; [5]; [83; 44]; [30]; [10]; [93; 45]; [1]; [90; 37]; [91; 39]; [38; 86]; [16]; [23]; [96; 32]; [55]; [20]; [74; 66]; [47; 88]; [75; 60]; [31]; [50; 94]; [6]; [33; 98]; [22]; [8]; [59]; [28]; [0]; [89; 43]; [34]; [71]; [25]; [41; 92]; [12]; [46]; [56]; [7]; [67; 70]; [21]; [72; 64]; [36; 87]; [73; 63]; [17]; [99; 29]; [51]; [9]; [69; 68]; [18]],[10000; 8600; 9300; 9600; 9700; 8500; 7900; 6200; 10000; 8600; 10000; 8200; 9500; 8600; 9800; 9900; 9900; 9800; 6900; 5900; 8800; 9400; 9500; 9900; 9400; 10000; 7600; 9100; 9100; 9900; 9800; 9600; 9900; 8600; 8300; 10000; 6100; 8400; 9700; 9200; 10000; 7600; 9000; 9300; 9700; 8400; 9300; 5900; 7700; 10000; 9500; 7500; 4500; 8100; 9600; 8700; 6500; 6000; 9300; 10000; 8400; 10000; 10000; 9900; 8500; 9600; 6300; 9200; 10000; 8500],3300,3301,0.20328998565673828
33,70,0.7914828571428573,[23; 84; 44; 34; 95; 73; 66; 27; 98; 53; 2; 37; 89; 46; 91; 22; 51; 80; 94; 35; 19; 8; 60; 76; 18; 25; 70; 68; 42; 65; 77; 15; 9; 47; 52; 86; 78; 62; 67; 71; 16; 48; 26; 21; 6; 90; 36; 75; 61; 33; 10; 45; 88; 81; 50; 63; 74; 0; 87; 57; 41; 85; 24; 13; 93; 39; 17; 30; 92; 38; 97; 32; 7; 55; 69; 28; 99; 4; 1; 59; 40; 3; 79; 54; 29; 43; 83; 12; 56; 58; 14; 72; 64; 11; 5; 31; 96; 20; 82; 49],[[23]; [84; 44]; [34; 95]; [73; 66]; [27; 98]; [53]; [2]; [37; 89]; [46; 91]; [22]; [51; 80]; [94; 35]; [19]; [8]; [60; 76]; [18]; [25]; [70; 68]; [42]; [65; 77]; [15]; [9]; [47]; [52; 86]; [78; 62]; [67; 71]; [16]; [48]; [26]; [21]; [6]; [90; 36]; [75; 61]; [33]; [10]; [45; 88]; [81; 50]; [63; 74]; [0]; [87; 57]; [41; 85]; [24]; [13]; [93; 39]; [17]; [30]; [92; 38]; [97; 32]; [7]; [55]; [69]; [28; 99]; [4]; [1]; [59]; [40]; [3]; [79; 54]; [29]; [43; 83]; [12]; [56]; [58]; [14]; [72; 64]; [11]; [5]; [31; 96]; [20]; [82; 49]],[8300; 9800; 10000; 9700; 10000; 6200; 9500; 9900; 9200; 8400; 10000; 9900; 8500; 9300; 9900; 8500; 8100; 9800; 6900; 9700; 8600; 9200; 6400; 9100; 9800; 9800; 8600; 6400; 7900; 8400; 9300; 9900; 10000; 7500; 9100; 9300; 10000; 9900; 10000; 8700; 9800; 8200; 8600; 9500; 8500; 7600; 9800; 9800; 9300; 6100; 4900; 9700; 9400; 9900; 5900; 6900; 9500; 9900; 7600; 10000; 8700; 6000; 5900; 8600; 10000; 8800; 9400; 10000; 8400; 10000],3300,3301,0.20306873321533203
29,70,0.7897514285714287,[89; 41; 40; 88; 20; 59; 82; 16; 55; 42; 97; 69; 68; 90; 47; 22; 36; 92; 10; 21; 71; 66; 53; 81; 78; 64; 93; 35; 14; 98; 27; 49; 83; 60; 75; 50; 48; 12; 3; 4; 70; 77; 17; 9; 99; 30; 85; 39; 45; 76; 67; 72; 65; 15; 5; 46; 79; 56; 0; 91; 37; 31; 61; 73; 13; 1; 62; 2; 18; 86; 38; 54; 80; 52; 57; 58; 6; 96; 32; 29; 7; 19; 25; 23; 63; 74; 87; 44; 28; 8; 34; 95; 26; 24; 51; 84; 11; 43; 94; 33],[[89; 41]; [40; 88]; [20]; [59; 82]; [16]; [55]; [42; 97]; [69; 68]; [90; 47]; [22]; [36; 92]; [10]; [21]; [71; 66]; [53; 81]; [78; 64]; [93; 35]; [14]; [98; 27]; [49; 83]; [60; 75]; [50]; [48]; [12]; [3]; [4]; [70; 77]; [17]; [9]; [99; 30]; [85; 39]; [45]; [76; 67]; [72; 65]; [15]; [5]; [46]; [79; 56]; [0]; [91; 37]; [31]; [61; 73]; [13]; [1]; [62]; [2]; [18]; [86; 38]; [54; 80]; [52]; [57]; [58]; [6]; [96; 32]; [29]; [7]; [19]; [25]; [23]; [63; 74]; [87; 44]; [28]; [8]; [34; 95]; [26]; [24]; [51; 84]; [11]; [43; 94]; [33]],[9700; 9700; 8400; 9500; 8600; 6100; 9100; 10000; 9100; 8400; 9900; 9100; 8400; 9900; 9800; 9700; 9900; 8600; 10000; 9700; 10000; 6400; 6400; 8700; 9500; 9400; 8900; 8500; 9200; 9600; 9800; 6500; 9500; 10000; 8600; 9400; 6500; 9800; 10000; 9800; 7600; 10000; 8600; 9900; 5600; 9500; 8500; 9900; 9800; 6300; 5900; 5900; 9300; 10000; 7600; 9300; 8500; 8100; 8300; 9900; 9500; 7700; 9300; 10000; 7900; 8200; 9400; 8800; 9300; 7500],2900,2901,0.18785762786865234
70,70,0.792711428571429,[8; 88; 46; 6; 14; 94; 41; 60; 75; 68; 54; 79; 21; 5; 61; 74; 17; 22; 23; 86; 37; 40; 85; 9; 70; 67; 97; 31; 20; 12; 27; 98; 69; 76; 52; 80; 59; 11; 0; 93; 42; 7; 43; 83; 62; 78; 96; 32; 29; 63; 73; 28; 50; 82; 47; 35; 90; 19; 87; 39; 13; 3; 66; 77; 24; 26; 99; 33; 95; 92; 38; 15; 64; 71; 89; 36; 16; 55; 53; 57; 1; 48; 34; 51; 45; 91; 4; 49; 81; 25; 44; 84; 72; 65; 56; 10; 18; 30; 2; 58],[[8]; [88; 46]; [6]; [14]; [94; 41]; [60; 75]; [68]; [54; 79]; [21]; [5]; [61; 74]; [17]; [22]; [23]; [86; 37]; [40; 85]; [9]; [70; 67]; [97; 31]; [20]; [12]; [27; 98]; [69; 76]; [52; 80]; [59]; [11]; [0]; [93; 42]; [7]; [43; 83]; [62; 78]; [96; 32]; [29]; [63; 73]; [28]; [50; 82]; [47]; [35; 90]; [19]; [87; 39]; [13]; [3]; [66; 77]; [24]; [26; 99]; [33; 95]; [92; 38]; [15]; [64; 71]; [89; 36]; [16]; [55]; [53]; [57]; [1]; [48]; [34]; [51]; [45; 91]; [4]; [49; 81]; [25]; [44; 84]; [72; 65]; [56]; [10]; [18]; [30]; [2]; [58]],[9300; 9300; 9300; 8600; 9500; 10000; 5100; 9900; 8400; 9400; 10000; 8500; 8400; 8300; 9900; 9800; 9200; 10000; 9800; 8400; 8700; 10000; 9100; 10000; 5900; 8800; 10000; 9500; 9300; 10000; 9800; 10000; 7600; 9900; 7700; 10000; 6400; 10000; 8500; 9700; 8600; 9500; 9600; 8200; 9900; 10000; 9800; 8600; 10000; 10000; 8600; 6100; 6200; 5900; 9900; 6400; 7500; 6300; 9200; 9400; 10000; 8100; 9800; 10000; 6000; 9100; 8500; 7600; 9500; 5900],7000,7001,0.42694902420043945
32,70,0.7914714285714288,[26; 66; 71; 6; 59; 60; 78; 9; 12; 50; 94; 1; 45; 87; 7; 91; 38; 23; 80; 53; 24; 22; 10; 51; 67; 70; 19; 52; 82; 56; 5; 79; 57; 58; 21; 37; 92; 32; 69; 68; 40; 88; 18; 62; 73; 0; 74; 64; 39; 84; 36; 86; 13; 48; 15; 85; 41; 89; 47; 30; 11; 28; 25; 34; 49; 81; 35; 95; 83; 44; 3; 16; 4; 2; 76; 63; 77; 65; 14; 54; 17; 55; 90; 72; 42; 93; 43; 8; 20; 98; 31; 29; 96; 46; 61; 75; 27; 97; 33; 99],[[26]; [66; 71]; [6]; [59]; [60; 78]; [9]; [12]; [50; 94]; [1]; [45; 87]; [7]; [91; 38]; [23]; [80; 53]; [24]; [22]; [10]; [51]; [67; 70]; [19]; [52; 82]; [56]; [5]; [79; 57]; [58]; [21]; [37; 92]; [32]; [69; 68]; [40; 88]; [18]; [62; 73]; [0]; [74; 64]; [39; 84]; [36; 86]; [13]; [48]; [15]; [85; 41]; [89; 47]; [30]; [11]; [28]; [25]; [34]; [49; 81]; [35; 95]; [83; 44]; [3]; [16]; [4]; [2]; [76; 63]; [77; 65]; [14]; [54]; [17]; [55; 90]; [72]; [42; 93]; [43]; [8]; [20]; [98; 31]; [29; 96]; [46]; [61; 75]; [27; 97]; [33; 99]],[7900; 9900; 9300; 5900; 9900; 9200; 8700; 9000; 9900; 9300; 9300; 9800; 8300; 9900; 8200; 8400; 9100; 6300; 10000; 8500; 9900; 6000; 9400; 9700; 5900; 8400; 9800; 7600; 10000; 9700; 8500; 9900; 10000; 9800; 10000; 10000; 8600; 6400; 8600; 9800; 9200; 7600; 8800; 7700; 8100; 7500; 10000; 9800; 10000; 9500; 8600; 9400; 9500; 9800; 9700; 8600; 6100; 8500; 8800; 4500; 9500; 6700; 9300; 8400; 9800; 10000; 6500; 10000; 10000; 9500],3200,3201,0.2186567783355713
