Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
44,75,0.7675960000000004,[19; 29; 27; 55; 94; 16; 45; 95; 67; 80; 35; 43; 98; 66; 21; 14; 12; 82; 65; 58; 4; 10; 15; 42; 99; 18; 5; 77; 71; 17; 38; 56; 33; 0; 47; 91; 34; 64; 7; 8; 22; 24; 61; 83; 30; 1; 69; 81; 2; 20; 37; 9; 41; 3; 11; 57; 87; 51; 96; 44; 48; 90; 36; 26; 13; 75; 79; 50; 97; 32; 23; 59; 74; 76; 85; 60; 46; 92; 63; 72; 73; 86; 54; 25; 31; 53; 93; 28; 40; 49; 89; 88; 52; 78; 70; 39; 62; 84; 6; 68],[[19]; [29]; [27]; [55; 94]; [16]; [45; 95]; [67; 80]; [35]; [43; 98]; [66]; [21]; [14]; [12]; [82; 65]; [58]; [4]; [10]; [15]; [42; 99]; [18]; [5]; [77; 71]; [17]; [38]; [56]; [33]; [0]; [47; 91]; [34]; [64]; [7]; [8]; [22]; [24]; [61; 83]; [30]; [1]; [69; 81]; [2]; [20]; [37]; [9]; [41]; [3]; [11]; [57; 87]; [51; 96]; [44]; [48; 90]; [36]; [26]; [13]; [75; 79]; [50; 97]; [32]; [23]; [59]; [74; 76]; [85; 60]; [46; 92]; [63]; [72; 73]; [86; 54]; [25]; [31]; [53; 93]; [28]; [40]; [49; 89]; [88; 52]; [78; 70]; [39]; [62; 84]; [6]; [68]],[8700; 7500; 7900; 9300; 8900; 10000; 10000; 7300; 10000; 5500; 8400; 9100; 9400; 10000; 6000; 9800; 9400; 9000; 9900; 8700; 9800; 9800; 8700; 7000; 6000; 7300; 10000; 10000; 7300; 5600; 9600; 9600; 8400; 8300; 10000; 7500; 10000; 10000; 9900; 8600; 7100; 9400; 6900; 9900; 9400; 10000; 9400; 6800; 9800; 7200; 8000; 9300; 9700; 9400; 7400; 8400; 5900; 9800; 10000; 9900; 5700; 9900; 10000; 8200; 7400; 9500; 7500; 6900; 10000; 9900; 9900; 6900; 9900; 9700; 5400],4400,4401,0.2812631130218506
38,75,0.7673239999999999,[11; 89; 52; 35; 4; 53; 95; 77; 72; 16; 19; 41; 99; 2; 54; 31; 9; 61; 37; 10; 29; 24; 36; 32; 56; 7; 17; 0; 96; 58; 40; 65; 1; 34; 63; 51; 88; 93; 50; 23; 13; 25; 28; 73; 79; 26; 80; 67; 33; 15; 44; 90; 46; 60; 48; 91; 18; 27; 47; 92; 86; 55; 66; 84; 12; 8; 30; 20; 6; 21; 42; 5; 22; 83; 62; 74; 75; 14; 68; 69; 81; 43; 98; 38; 57; 87; 3; 71; 78; 97; 49; 64; 82; 59; 85; 39; 45; 94; 76; 70],[[11]; [89; 52]; [35]; [4]; [53; 95]; [77; 72]; [16]; [19]; [41; 99]; [2]; [54]; [31]; [9]; [61]; [37]; [10]; [29]; [24]; [36]; [32]; [56]; [7]; [17]; [0]; [96; 58]; [40]; [65]; [1]; [34]; [63]; [51; 88]; [93; 50]; [23]; [13]; [25]; [28]; [73; 79]; [26]; [80; 67]; [33]; [15]; [44]; [90; 46]; [60]; [48; 91]; [18]; [27]; [47; 92]; [86; 55]; [66; 84]; [12]; [8]; [30]; [20]; [6]; [21]; [42]; [5]; [22]; [83; 62]; [74; 75]; [14]; [68]; [69; 81]; [43; 98]; [38]; [57; 87]; [3]; [71; 78]; [97; 49]; [64; 82]; [59; 85]; [39]; [45; 94]; [76; 70]],[9400; 9800; 7300; 9800; 9400; 9800; 8900; 8700; 10000; 9900; 6000; 7400; 9400; 5800; 7100; 9400; 7500; 8300; 7200; 7400; 6000; 9600; 8700; 10000; 9300; 6900; 5600; 10000; 7300; 5700; 9900; 9500; 8400; 9300; 8200; 7500; 9700; 8000; 10000; 7300; 9000; 6800; 10000; 5900; 9800; 8700; 7900; 9900; 10000; 9700; 9400; 9600; 7500; 8600; 9700; 8400; 6800; 9800; 8400; 9900; 9800; 9100; 5400; 10000; 10000; 7000; 10000; 9900; 9800; 9600; 10000; 10000; 6900; 10000; 10000],3800,3801,0.21872329711914062
48,75,0.7675773333333336,[37; 19; 2; 13; 29; 10; 22; 31; 34; 3; 62; 63; 24; 89; 49; 67; 80; 18; 74; 71; 4; 65; 83; 32; 82; 64; 11; 14; 23; 55; 16; 6; 76; 72; 38; 30; 54; 84; 61; 79; 77; 53; 88; 35; 52; 93; 68; 17; 97; 45; 99; 39; 8; 27; 20; 43; 98; 5; 60; 85; 1; 66; 40; 57; 86; 75; 78; 41; 50; 94; 44; 26; 91; 46; 12; 70; 73; 36; 9; 58; 87; 90; 48; 33; 15; 25; 21; 28; 0; 92; 47; 59; 69; 81; 95; 51; 96; 56; 7; 42],[[37]; [19]; [2]; [13]; [29]; [10]; [22]; [31]; [34]; [3]; [62]; [63]; [24]; [89; 49]; [67; 80]; [18]; [74; 71]; [4]; [65; 83]; [32]; [82; 64]; [11]; [14]; [23]; [55]; [16]; [6]; [76; 72]; [38]; [30]; [54]; [84; 61]; [79; 77]; [53; 88]; [35]; [52; 93]; [68]; [17]; [97; 45]; [99; 39]; [8]; [27]; [20]; [43; 98]; [5]; [60; 85]; [1]; [66]; [40]; [57; 86]; [75; 78]; [41]; [50; 94]; [44]; [26]; [91; 46]; [12]; [70; 73]; [36]; [9]; [58; 87]; [90; 48]; [33]; [15]; [25]; [21]; [28]; [0]; [92; 47]; [59]; [69; 81]; [95; 51]; [96; 56]; [7]; [42]],[7100; 8700; 9900; 9300; 7500; 9400; 8400; 7400; 7300; 9900; 5700; 5700; 8300; 10000; 10000; 8700; 9900; 9800; 9800; 7400; 10000; 9400; 9100; 8400; 6000; 8900; 9700; 9900; 7000; 7500; 6000; 10000; 9600; 9900; 7300; 9500; 5400; 8700; 10000; 10000; 9600; 7900; 8600; 10000; 9800; 10000; 10000; 5500; 6900; 10000; 9700; 6900; 9400; 6800; 8000; 10000; 9400; 10000; 7200; 9400; 10000; 9800; 7300; 9000; 8200; 8400; 7500; 10000; 9900; 5900; 10000; 9400; 9300; 9600; 6800],4800,4801,0.31240415573120117
23,75,0.7660093333333333,[19; 78; 74; 44; 99; 21; 24; 7; 12; 30; 5; 29; 9; 54; 92; 57; 87; 55; 96; 66; 47; 90; 3; 60; 17; 37; 84; 69; 82; 65; 27; 2; 56; 93; 11; 13; 31; 20; 64; 34; 95; 51; 16; 25; 32; 39; 46; 41; 42; 40; 70; 75; 6; 45; 97; 18; 38; 62; 83; 36; 72; 71; 15; 48; 91; 85; 61; 63; 86; 43; 98; 50; 26; 28; 79; 73; 8; 67; 81; 88; 52; 94; 59; 22; 53; 49; 89; 33; 14; 23; 76; 77; 0; 58; 80; 68; 4; 35; 10; 1],[[19]; [78; 74]; [44; 99]; [21]; [24]; [7]; [12]; [30]; [5]; [29]; [9]; [54; 92]; [57; 87]; [55; 96]; [66]; [47; 90]; [3]; [60]; [17]; [37]; [84; 69]; [82; 65]; [27]; [2]; [56; 93]; [11]; [13]; [31]; [20]; [64]; [34]; [95; 51]; [16]; [25]; [32]; [39]; [46]; [41]; [42]; [40]; [70; 75]; [6]; [45; 97]; [18]; [38]; [62; 83]; [36]; [72; 71]; [15]; [48; 91]; [85; 61]; [63; 86]; [43; 98]; [50]; [26]; [28]; [79; 73]; [8]; [67; 81]; [88; 52]; [94; 59]; [22]; [53]; [49; 89]; [33]; [14]; [23]; [76; 77]; [0]; [58]; [80; 68]; [4]; [35]; [10]; [1]],[8700; 9700; 9900; 8400; 8300; 9600; 9400; 7500; 9800; 7500; 9400; 9400; 10000; 9300; 5500; 10000; 9900; 5900; 8700; 7100; 9600; 10000; 7900; 9900; 9400; 9400; 9300; 7400; 8600; 5600; 7300; 9400; 8900; 8200; 7400; 6900; 6500; 6900; 6800; 6900; 10000; 9700; 10000; 8700; 7000; 9900; 7200; 10000; 9000; 9800; 9900; 9700; 10000; 6100; 8000; 7500; 9700; 9600; 10000; 9900; 9200; 8400; 6100; 10000; 7300; 9100; 8400; 9700; 10000; 6000; 10000; 9800; 7300; 9400; 10000],2300,2301,0.15733766555786133
43,75,0.7667160000000004,[15; 25; 63; 65; 62; 30; 43; 24; 85; 60; 92; 49; 34; 8; 23; 4; 59; 3; 45; 7; 72; 74; 29; 22; 50; 88; 26; 6; 97; 58; 1; 13; 11; 16; 21; 33; 17; 36; 89; 48; 19; 37; 70; 75; 69; 84; 95; 47; 91; 57; 40; 28; 9; 54; 87; 20; 35; 86; 55; 2; 44; 0; 32; 82; 64; 46; 90; 10; 73; 79; 38; 78; 77; 5; 99; 41; 18; 94; 51; 93; 53; 83; 61; 66; 81; 68; 27; 12; 71; 76; 39; 14; 56; 31; 98; 42; 96; 52; 80; 67],[[15]; [25]; [63]; [65]; [62]; [30]; [43]; [24]; [85; 60]; [92; 49]; [34]; [8]; [23]; [4]; [59]; [3]; [45]; [7]; [72; 74]; [29]; [22]; [50; 88]; [26]; [6]; [97; 58]; [1]; [13]; [11]; [16]; [21]; [33]; [17]; [36]; [89; 48]; [19]; [37]; [70; 75]; [69; 84]; [95; 47]; [91; 57]; [40]; [28]; [9]; [54; 87]; [20]; [35]; [86; 55]; [2]; [44]; [0]; [32]; [82; 64]; [46; 90]; [10]; [73; 79]; [38]; [78; 77]; [5]; [99; 41]; [18]; [94; 51]; [93; 53]; [83; 61]; [66]; [81; 68]; [27]; [12]; [71; 76]; [39]; [14]; [56]; [31]; [98; 42]; [96; 52]; [80; 67]],[9000; 8200; 5700; 5600; 5700; 7500; 6800; 8300; 10000; 9700; 7300; 9600; 8400; 9800; 5900; 9900; 6700; 9600; 9900; 7500; 8400; 9900; 8000; 9700; 9300; 10000; 9300; 9400; 8900; 8400; 7300; 8700; 7200; 10000; 8700; 7100; 10000; 9600; 9800; 9500; 6900; 7500; 9400; 10000; 8600; 7300; 10000; 9900; 6800; 10000; 7400; 10000; 10000; 9400; 9700; 7000; 9600; 9800; 10000; 8700; 9400; 9500; 10000; 5500; 10000; 7900; 9400; 9900; 6900; 9100; 6000; 7400; 10000; 9400; 10000],4300,4301,0.265592098236084
35,75,0.7671693333333335,[27; 44; 42; 78; 70; 69; 80; 30; 36; 65; 21; 22; 41; 71; 73; 82; 64; 0; 1; 83; 62; 29; 8; 87; 60; 28; 61; 84; 2; 38; 32; 3; 46; 91; 97; 49; 88; 56; 52; 79; 72; 10; 37; 76; 77; 35; 98; 43; 40; 39; 99; 31; 24; 13; 14; 48; 16; 81; 67; 95; 58; 4; 9; 53; 93; 11; 94; 50; 92; 47; 26; 85; 59; 66; 15; 19; 7; 34; 51; 89; 55; 90; 33; 54; 86; 96; 45; 23; 6; 74; 75; 57; 18; 25; 63; 17; 20; 12; 68; 5],[[27]; [44]; [42]; [78; 70]; [69; 80]; [30]; [36]; [65]; [21]; [22]; [41]; [71; 73]; [82; 64]; [0]; [1]; [83; 62]; [29]; [8]; [87; 60]; [28]; [61; 84]; [2]; [38]; [32]; [3]; [46; 91]; [97; 49]; [88; 56]; [52]; [79; 72]; [10]; [37]; [76; 77]; [35]; [98; 43]; [40]; [39; 99]; [31]; [24]; [13]; [14]; [48]; [16]; [81; 67]; [95; 58]; [4]; [9]; [53; 93]; [11]; [94; 50]; [92; 47]; [26]; [85; 59]; [66]; [15]; [19]; [7]; [34]; [51; 89]; [55; 90]; [33]; [54; 86]; [96; 45]; [23]; [6]; [74; 75]; [57]; [18]; [25]; [63]; [17]; [20]; [12]; [68]; [5]],[7900; 6800; 6800; 9900; 10000; 7500; 7200; 5600; 8400; 8400; 6900; 9900; 10000; 10000; 10000; 9900; 7500; 9600; 9900; 7500; 10000; 9900; 7000; 7400; 9900; 10000; 9600; 9800; 6100; 9800; 9400; 7100; 9700; 7300; 10000; 6900; 10000; 7400; 8300; 9300; 9100; 6300; 8900; 10000; 9300; 9800; 9400; 9500; 9400; 9400; 9900; 8000; 10000; 5500; 9000; 8700; 9600; 7300; 9800; 9500; 7300; 10000; 10000; 8400; 9700; 9800; 6000; 8700; 8200; 5700; 8700; 8600; 9400; 5400; 9800],3500,3501,0.21883249282836914
27,75,0.7648120000000002,[13; 2; 36; 66; 89; 20; 18; 59; 23; 0; 44; 37; 69; 98; 12; 10; 9; 53; 93; 47; 91; 3; 94; 58; 7; 40; 95; 49; 15; 39; 34; 82; 64; 76; 79; 22; 57; 87; 78; 70; 73; 71; 67; 80; 63; 11; 77; 75; 42; 46; 96; 72; 74; 48; 97; 5; 84; 62; 33; 19; 60; 16; 32; 14; 56; 29; 28; 35; 26; 45; 25; 27; 8; 17; 21; 30; 65; 85; 86; 55; 50; 24; 68; 81; 41; 88; 54; 51; 92; 90; 52; 99; 43; 38; 6; 4; 1; 61; 83; 31],[[13]; [2]; [36]; [66; 89]; [20]; [18]; [59]; [23]; [0]; [44]; [37]; [69; 98]; [12]; [10]; [9]; [53; 93]; [47; 91]; [3]; [94; 58]; [7]; [40]; [95; 49]; [15]; [39]; [34]; [82; 64]; [76; 79]; [22]; [57; 87]; [78; 70]; [73; 71]; [67; 80]; [63]; [11]; [77; 75]; [42]; [46; 96]; [72; 74]; [48; 97]; [5]; [84; 62]; [33]; [19]; [60]; [16]; [32]; [14]; [56]; [29]; [28]; [35]; [26]; [45]; [25]; [27]; [8]; [17]; [21]; [30]; [65; 85]; [86; 55]; [50]; [24]; [68; 81]; [41]; [88; 54]; [51; 92]; [90; 52]; [99; 43]; [38]; [6]; [4]; [1]; [61; 83]; [31]],[9300; 9900; 7200; 9200; 8600; 8700; 5900; 8400; 10000; 6800; 7100; 8600; 9400; 9400; 9400; 9500; 10000; 9900; 9300; 9600; 6900; 9600; 9000; 6900; 7300; 10000; 9700; 8400; 10000; 9900; 9900; 10000; 5700; 9400; 9700; 6800; 9800; 9900; 9600; 9800; 9900; 7300; 8700; 5900; 8900; 7400; 9100; 6000; 7500; 7500; 7300; 8000; 6700; 8200; 7900; 9600; 8700; 8400; 7500; 9700; 10000; 6100; 8300; 10000; 6900; 9800; 9500; 9600; 9900; 7000; 9700; 9800; 10000; 10000; 7400],2700,2701,0.1746845245361328
33,75,0.7675586666666669,[38; 57; 21; 41; 54; 96; 12; 9; 27; 66; 23; 36; 11; 37; 0; 82; 65; 35; 53; 93; 43; 98; 28; 19; 99; 40; 50; 17; 22; 49; 90; 6; 20; 10; 44; 79; 70; 7; 62; 55; 88; 52; 89; 8; 67; 81; 77; 75; 78; 73; 24; 34; 92; 46; 71; 76; 2; 31; 1; 39; 32; 18; 5; 25; 15; 16; 63; 84; 87; 56; 72; 74; 83; 61; 13; 30; 60; 14; 45; 97; 48; 95; 33; 68; 80; 26; 51; 94; 4; 3; 42; 59; 85; 47; 91; 69; 29; 86; 58; 64],[[38]; [57]; [21]; [41]; [54; 96]; [12]; [9]; [27]; [66]; [23]; [36]; [11]; [37]; [0]; [82; 65]; [35]; [53; 93]; [43; 98]; [28]; [19]; [99; 40]; [50]; [17]; [22]; [49; 90]; [6]; [20]; [10]; [44]; [79; 70]; [7]; [62]; [55; 88]; [52; 89]; [8]; [67; 81]; [77; 75]; [78; 73]; [24]; [34]; [92; 46]; [71; 76]; [2]; [31]; [1]; [39]; [32]; [18]; [5]; [25]; [15]; [16]; [63; 84]; [87; 56]; [72; 74]; [83; 61]; [13]; [30]; [60]; [14]; [45; 97]; [48; 95]; [33]; [68; 80]; [26]; [51; 94]; [4]; [3]; [42]; [59; 85]; [47; 91]; [69]; [29]; [86; 58]; [64]],[7000; 6000; 8400; 6900; 9300; 9400; 9400; 7900; 5500; 8400; 7200; 9400; 7100; 10000; 10000; 7300; 9500; 10000; 7500; 8700; 10000; 6100; 8700; 8400; 9800; 9700; 8600; 9400; 6800; 9900; 9600; 5700; 9800; 9800; 9600; 10000; 9700; 9700; 8300; 7300; 9900; 9900; 9900; 7400; 10000; 6900; 7400; 8700; 9800; 8200; 9000; 8900; 9900; 10000; 9900; 10000; 9300; 7500; 5900; 9100; 10000; 9600; 7300; 10000; 8000; 9400; 9800; 9900; 6800; 10000; 10000; 5400; 7500; 10000; 5600],3300,3301,0.20751738548278809
27,75,0.7668226666666671,[27; 61; 28; 89; 53; 3; 46; 91; 6; 26; 59; 35; 2; 0; 7; 9; 13; 66; 82; 92; 51; 45; 97; 31; 75; 74; 4; 22; 16; 36; 94; 47; 10; 43; 24; 20; 99; 42; 44; 98; 21; 88; 55; 84; 65; 96; 50; 33; 5; 12; 81; 69; 79; 71; 1; 8; 40; 83; 64; 67; 62; 52; 95; 57; 86; 18; 14; 25; 68; 80; 48; 85; 60; 56; 41; 49; 93; 58; 87; 63; 29; 11; 37; 30; 23; 15; 19; 38; 39; 90; 54; 78; 70; 17; 76; 72; 34; 32; 77; 73],[[27]; [61]; [28]; [89; 53]; [3]; [46; 91]; [6]; [26]; [59]; [35]; [2]; [0]; [7]; [9]; [13]; [66; 82]; [92; 51]; [45; 97]; [31]; [75; 74]; [4]; [22]; [16]; [36]; [94; 47]; [10]; [43]; [24]; [20]; [99; 42]; [44; 98]; [21]; [88; 55]; [84; 65]; [96; 50]; [33]; [5]; [12]; [81; 69]; [79; 71]; [1]; [8]; [40]; [83; 64]; [67]; [62]; [52; 95]; [57; 86]; [18]; [14]; [25]; [68; 80]; [48]; [85; 60]; [56]; [41]; [49; 93]; [58; 87]; [63]; [29]; [11]; [37]; [30]; [23]; [15]; [19]; [38]; [39]; [90; 54]; [78; 70]; [17]; [76; 72]; [34]; [32]; [77; 73]],[7900; 5800; 7500; 9800; 9900; 10000; 9700; 8000; 5900; 7300; 9900; 10000; 9600; 9400; 9300; 9900; 9500; 10000; 7400; 9800; 9800; 8400; 8900; 7200; 9800; 9400; 6800; 8300; 8600; 9900; 10000; 8400; 9800; 9800; 9400; 7300; 9800; 9400; 10000; 9800; 10000; 9600; 6900; 9800; 5400; 5700; 9400; 10000; 8700; 9100; 8200; 10000; 6300; 10000; 6000; 6900; 9700; 10000; 5700; 7500; 9400; 7100; 7500; 8400; 9000; 8700; 7000; 6900; 9500; 9900; 8700; 9900; 7300; 7400; 9700],2700,2701,0.17204785346984863
29,75,0.765774666666667,[14; 20; 26; 45; 97; 13; 54; 86; 3; 22; 6; 65; 71; 72; 27; 62; 84; 16; 21; 18; 8; 39; 24; 67; 81; 77; 75; 5; 17; 44; 69; 80; 34; 64; 85; 19; 83; 61; 46; 90; 32; 37; 91; 51; 33; 59; 55; 93; 1; 50; 12; 25; 56; 87; 0; 29; 7; 31; 41; 42; 95; 63; 53; 89; 28; 96; 47; 38; 11; 79; 78; 2; 70; 74; 23; 30; 66; 48; 92; 49; 58; 94; 4; 88; 57; 73; 76; 9; 36; 82; 68; 40; 99; 60; 15; 98; 52; 10; 43; 35],[[14]; [20]; [26]; [45; 97]; [13]; [54; 86]; [3]; [22]; [6]; [65]; [71; 72]; [27]; [62; 84]; [16]; [21]; [18]; [8]; [39]; [24]; [67; 81]; [77; 75]; [5]; [17]; [44]; [69; 80]; [34]; [64; 85]; [19]; [83; 61]; [46; 90]; [32]; [37]; [91; 51]; [33]; [59]; [55; 93]; [1]; [50]; [12]; [25]; [56; 87]; [0]; [29]; [7]; [31]; [41]; [42]; [95; 63]; [53; 89]; [28]; [96; 47]; [38]; [11]; [79; 78]; [2]; [70; 74]; [23]; [30]; [66]; [48; 92]; [49]; [58; 94]; [4]; [88; 57]; [73; 76]; [9]; [36]; [82; 68]; [40; 99]; [60]; [15]; [98; 52]; [10]; [43]; [35]],[9100; 8600; 8000; 10000; 9300; 10000; 9900; 8400; 9700; 5600; 10000; 7900; 9900; 8900; 8400; 8700; 9600; 6900; 8300; 10000; 9700; 9800; 8700; 6800; 10000; 7300; 9700; 8700; 10000; 10000; 7400; 7100; 9600; 7300; 5900; 9400; 10000; 6100; 9400; 8200; 10000; 10000; 7500; 9600; 7400; 6900; 6800; 9000; 9800; 7500; 9800; 7000; 9400; 9600; 9900; 10000; 8400; 7500; 5500; 9700; 6300; 9300; 9800; 9800; 9800; 9400; 7200; 9800; 10000; 5900; 9000; 9300; 9400; 6800; 7300],2900,2901,0.1874072551727295
