Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
501,56,0.8689707341269842,[24; 88; 10; 87; 23; 62; 47; 56; 45; 46; 57; 0; 97; 32; 77; 6; 1; 98; 79; 30; 74; 16; 90; 60; 42; 38; 67; 2; 96; 99; 4; 28; 80; 94; 9; 50; 53; 5; 51; 49; 12; 55; 48; 27; 82; 17; 20; 69; 37; 13; 66; 40; 3; 95; 93; 11; 70; 35; 59; 41; 7; 91; 15; 81; 29; 8; 63; 64; 76; 71; 43; 58; 44; 61; 14; 92; 33; 89; 18; 65; 39; 26; 83; 84; 25; 85; 21; 78; 31; 68; 36; 52; 54; 72; 34; 86; 22; 19; 75; 73],[[24; 88]; [10]; [87; 23]; [62; 47]; [56; 45]; [46; 57]; [0; 97]; [32; 77]; [6]; [1; 98]; [79; 30]; [74]; [16; 90]; [60; 42]; [38; 67]; [2; 96]; [99; 4]; [28; 80]; [94; 9]; [50; 53]; [5]; [51; 49]; [12]; [55; 48]; [27; 82]; [17]; [20]; [69; 37]; [13]; [66; 40]; [3; 95]; [93; 11]; [70; 35]; [59; 41]; [7]; [91; 15]; [81; 29]; [8]; [63; 64]; [76; 71]; [43; 58]; [44; 61]; [14; 92]; [33; 89]; [18]; [65; 39]; [26; 83]; [84; 25]; [85; 21]; [78; 31]; [68; 36]; [52; 54]; [72; 34]; [86; 22]; [19]; [75; 73]],[11600; 9100; 11700; 11600; 12000; 12000; 12000; 12000; 9300; 12000; 12000; 4700; 11900; 11800; 12000; 12000; 11600; 11900; 12000; 11900; 9400; 12000; 9100; 12000; 11900; 8700; 8500; 11900; 9100; 12000; 12000; 12000; 12000; 12000; 9300; 12000; 11900; 9300; 10400; 9500; 12000; 11800; 12000; 11000; 8500; 12000; 12000; 12000; 11900; 12000; 12000; 11700; 12000; 11900; 8500; 9400],50100,50101,2.9694736003875732
501,56,0.8689707341269844,[75; 76; 8; 1; 98; 16; 90; 55; 47; 28; 80; 11; 48; 60; 70; 38; 65; 39; 94; 9; 78; 30; 66; 40; 45; 56; 63; 64; 96; 2; 29; 81; 12; 89; 23; 5; 7; 32; 77; 68; 35; 13; 53; 51; 17; 37; 67; 79; 31; 42; 62; 97; 0; 59; 41; 95; 3; 26; 82; 24; 84; 33; 87; 6; 57; 46; 52; 54; 21; 85; 86; 22; 25; 88; 18; 20; 14; 92; 36; 69; 73; 19; 49; 50; 91; 15; 74; 72; 4; 99; 43; 58; 10; 93; 71; 34; 83; 27; 44; 61],[[75; 76]; [8]; [1; 98]; [16; 90]; [55; 47]; [28; 80]; [11]; [48; 60]; [70; 38]; [65; 39]; [94; 9]; [78; 30]; [66; 40]; [45; 56]; [63; 64]; [96; 2]; [29; 81]; [12]; [89; 23]; [5]; [7]; [32; 77]; [68; 35]; [13]; [53; 51]; [17]; [37; 67]; [79; 31]; [42; 62]; [97; 0]; [59; 41]; [95; 3]; [26; 82]; [24; 84]; [33; 87]; [6]; [57; 46]; [52; 54]; [21; 85]; [86; 22]; [25; 88]; [18]; [20]; [14; 92]; [36; 69]; [73]; [19]; [49; 50]; [91; 15]; [74; 72]; [4; 99]; [43; 58]; [10; 93]; [71; 34]; [83; 27]; [44; 61]],[9400; 9300; 12000; 11900; 12000; 11900; 9100; 11600; 11900; 12000; 12000; 12000; 12000; 12000; 10400; 12000; 11900; 9100; 11700; 9400; 9300; 12000; 12000; 9100; 11900; 8700; 12000; 12000; 11800; 12000; 12000; 12000; 12000; 12000; 11000; 9300; 12000; 11700; 11900; 11900; 11600; 8500; 8500; 12000; 12000; 4700; 8500; 12000; 12000; 9500; 11600; 12000; 12000; 12000; 11900; 11800],50100,50101,3.034425973892212
501,56,0.8691195436507939,[74; 64; 97; 25; 87; 17; 60; 44; 28; 81; 33; 89; 66; 39; 85; 21; 0; 45; 56; 52; 51; 5; 3; 95; 6; 59; 41; 54; 53; 13; 75; 1; 98; 83; 26; 93; 12; 88; 23; 50; 49; 84; 24; 63; 72; 99; 90; 15; 27; 82; 73; 76; 32; 77; 71; 34; 14; 92; 42; 61; 67; 38; 8; 58; 43; 96; 2; 16; 91; 69; 36; 9; 94; 19; 4; 79; 31; 86; 22; 55; 48; 62; 47; 18; 20; 10; 40; 65; 35; 68; 46; 57; 11; 70; 37; 29; 80; 78; 30; 7],[[74; 64; 97]; [25; 87]; [17]; [60; 44]; [28; 81]; [33; 89]; [66; 39]; [85; 21]; [0]; [45; 56]; [52; 51]; [5]; [3; 95]; [6]; [59; 41]; [54; 53]; [13]; [75]; [1; 98]; [83; 26]; [93; 12]; [88; 23]; [50; 49]; [84; 24]; [63; 72; 99]; [90; 15]; [27; 82]; [73; 76]; [32; 77]; [71; 34]; [14; 92]; [42; 61]; [67; 38]; [8]; [58; 43]; [96; 2]; [16; 91]; [69; 36]; [9; 94]; [19]; [4]; [79; 31]; [86; 22]; [55; 48]; [62; 47]; [18]; [20]; [10]; [40; 65]; [35; 68]; [46; 57]; [11]; [70; 37]; [29; 80]; [78; 30]; [7]],[12000; 11600; 8700; 11800; 11900; 11000; 12000; 11900; 9900; 12000; 11900; 9400; 12000; 9300; 12000; 11700; 9100; 4700; 12000; 12000; 12000; 11700; 12000; 12000; 12000; 12000; 11900; 9400; 12000; 12000; 12000; 11800; 12000; 9300; 12000; 12000; 11900; 12000; 12000; 8500; 9600; 12000; 11900; 12000; 11600; 8500; 8500; 9100; 12000; 12000; 12000; 9100; 11900; 11900; 12000; 9300],50100,50101,2.888066291809082
501,56,0.8689707341269843,[13; 8; 3; 95; 45; 57; 54; 53; 51; 49; 98; 0; 17; 29; 80; 44; 58; 12; 68; 35; 5; 76; 71; 75; 4; 99; 41; 59; 10; 93; 85; 22; 38; 70; 7; 69; 36; 24; 84; 50; 52; 66; 39; 48; 60; 27; 82; 46; 56; 77; 33; 32; 87; 79; 31; 37; 67; 96; 2; 64; 63; 21; 86; 6; 81; 28; 61; 42; 47; 55; 23; 88; 1; 97; 40; 65; 9; 94; 62; 43; 19; 26; 83; 74; 73; 90; 15; 16; 91; 18; 25; 89; 92; 14; 30; 78; 20; 72; 34; 11],[[13]; [8]; [3; 95]; [45; 57]; [54; 53]; [51; 49]; [98; 0]; [17]; [29; 80]; [44; 58]; [12]; [68; 35]; [5]; [76; 71]; [75]; [4; 99]; [41; 59]; [10; 93]; [85; 22]; [38; 70]; [7]; [69; 36]; [24; 84]; [50; 52]; [66; 39]; [48; 60]; [27; 82]; [46; 56]; [77; 33]; [32; 87]; [79; 31]; [37; 67]; [96; 2]; [64; 63]; [21; 86]; [6]; [81; 28]; [61; 42]; [47; 55]; [23; 88]; [1; 97]; [40; 65]; [9; 94]; [62; 43]; [19]; [26; 83]; [74; 73]; [90; 15]; [16; 91]; [18]; [25; 89]; [92; 14]; [30; 78]; [20]; [72; 34]; [11]],[9100; 9300; 12000; 12000; 11700; 12000; 12000; 8700; 11900; 12000; 9100; 12000; 9400; 9500; 4700; 11600; 12000; 12000; 11900; 11900; 9300; 12000; 12000; 11900; 12000; 11600; 11900; 12000; 12000; 11000; 12000; 12000; 12000; 10400; 11900; 9300; 11900; 11800; 12000; 11700; 12000; 12000; 12000; 11800; 8500; 12000; 9400; 12000; 11900; 8500; 11600; 12000; 12000; 8500; 12000; 9100],50100,50101,2.966752767562866
501,56,0.8690798611111114,[2; 96; 50; 53; 15; 90; 12; 45; 56; 11; 91; 16; 29; 81; 46; 57; 70; 36; 21; 85; 28; 80; 35; 69; 87; 32; 92; 14; 74; 18; 6; 5; 10; 58; 43; 8; 25; 84; 17; 86; 22; 3; 95; 7; 51; 49; 77; 33; 94; 9; 39; 65; 67; 38; 24; 88; 78; 31; 40; 66; 82; 27; 13; 93; 89; 23; 83; 26; 61; 99; 76; 68; 37; 48; 63; 4; 41; 59; 34; 71; 73; 75; 19; 1; 97; 64; 72; 0; 98; 60; 42; 47; 55; 54; 52; 30; 79; 20; 62; 44],[[2; 96]; [50; 53]; [15; 90]; [12]; [45; 56]; [11]; [91; 16]; [29; 81]; [46; 57]; [70; 36]; [21; 85]; [28; 80]; [35; 69]; [87; 32]; [92; 14]; [74]; [18]; [6]; [5]; [10]; [58; 43]; [8]; [25; 84]; [17]; [86; 22]; [3; 95]; [7]; [51; 49]; [77; 33]; [94; 9]; [39; 65]; [67; 38]; [24; 88]; [78; 31]; [40; 66]; [82; 27]; [13; 93]; [89; 23]; [83; 26]; [61; 99; 76]; [68; 37]; [48; 63]; [4]; [41; 59]; [34; 71]; [73; 75]; [19]; [1; 97]; [64; 72]; [0; 98]; [60; 42]; [47; 55]; [54; 52]; [30; 79]; [20]; [62; 44]],[12000; 11900; 12000; 9100; 12000; 9100; 11900; 11900; 12000; 12000; 11900; 11900; 12000; 11000; 12000; 4700; 8500; 9300; 9400; 9100; 12000; 9300; 12000; 8700; 11900; 12000; 9300; 12000; 12000; 12000; 12000; 12000; 11600; 12000; 12000; 11900; 12000; 11700; 12000; 12000; 11900; 11500; 9600; 12000; 12000; 9400; 8500; 12000; 10000; 12000; 11800; 12000; 11700; 12000; 8500; 11800],50100,50101,2.8602962493896484
501,56,0.8690798611111112,[8; 36; 70; 17; 57; 46; 41; 59; 72; 34; 75; 76; 90; 16; 99; 62; 74; 73; 19; 38; 68; 60; 43; 6; 53; 54; 23; 87; 81; 28; 13; 49; 50; 77; 33; 82; 27; 42; 61; 71; 64; 31; 78; 5; 14; 92; 10; 63; 47; 97; 0; 95; 3; 7; 29; 80; 85; 21; 40; 66; 4; 51; 52; 26; 83; 44; 58; 98; 1; 39; 65; 18; 32; 89; 69; 35; 88; 25; 2; 96; 37; 67; 91; 15; 93; 12; 11; 22; 86; 94; 9; 30; 79; 48; 55; 20; 45; 56; 84; 24],[[8]; [36; 70]; [17]; [57; 46]; [41; 59]; [72; 34]; [75; 76]; [90; 16]; [99; 62; 74]; [73]; [19]; [38; 68]; [60; 43]; [6]; [53; 54]; [23; 87]; [81; 28]; [13]; [49; 50]; [77; 33]; [82; 27]; [42; 61]; [71; 64]; [31; 78]; [5]; [14; 92]; [10]; [63; 47]; [97; 0]; [95; 3]; [7]; [29; 80]; [85; 21]; [40; 66]; [4]; [51; 52]; [26; 83]; [44; 58]; [98; 1]; [39; 65]; [18]; [32; 89]; [69; 35]; [88; 25]; [2; 96]; [37; 67]; [91; 15]; [93; 12]; [11]; [22; 86]; [94; 9]; [30; 79]; [48; 55]; [20]; [45; 56]; [84; 24]],[9300; 12000; 8700; 12000; 12000; 12000; 9400; 11900; 12000; 4700; 8500; 11900; 11800; 9300; 11700; 11700; 11900; 9100; 12000; 12000; 11900; 11800; 10000; 12000; 9400; 12000; 9100; 11500; 12000; 12000; 9300; 11900; 11900; 12000; 9600; 11900; 12000; 12000; 12000; 12000; 8500; 11000; 12000; 11600; 12000; 12000; 12000; 12000; 9100; 11900; 12000; 12000; 12000; 8500; 12000; 12000],50100,50101,2.773977279663086
501,56,0.8690674603174607,[30; 78; 0; 2; 96; 11; 85; 21; 41; 59; 14; 92; 15; 90; 91; 16; 28; 80; 50; 52; 5; 81; 29; 74; 7; 12; 53; 54; 94; 9; 26; 82; 47; 63; 37; 67; 25; 87; 4; 43; 60; 39; 65; 22; 86; 95; 3; 51; 49; 55; 48; 83; 27; 13; 93; 17; 8; 35; 70; 31; 79; 6; 44; 58; 75; 64; 98; 38; 68; 40; 66; 62; 42; 10; 84; 24; 33; 88; 18; 56; 46; 20; 34; 71; 73; 72; 69; 36; 57; 45; 19; 1; 97; 76; 99; 61; 89; 23; 77; 32],[[30; 78]; [0]; [2; 96]; [11]; [85; 21]; [41; 59]; [14; 92]; [15; 90]; [91; 16]; [28; 80]; [50; 52]; [5]; [81; 29]; [74]; [7]; [12]; [53; 54]; [94; 9]; [26; 82]; [47; 63]; [37; 67]; [25; 87]; [4]; [43; 60]; [39; 65]; [22; 86]; [95; 3]; [51; 49]; [55; 48]; [83; 27]; [13; 93]; [17]; [8]; [35; 70]; [31; 79]; [6]; [44; 58]; [75; 64; 98]; [38; 68]; [40; 66]; [62; 42]; [10]; [84; 24]; [33; 88]; [18]; [56; 46]; [20]; [34; 71]; [73; 72]; [69; 36]; [57; 45]; [19]; [1; 97]; [76; 99; 61]; [89; 23]; [77; 32]],[12000; 9900; 12000; 9100; 11900; 12000; 12000; 12000; 11900; 11900; 11900; 9400; 11900; 4700; 9300; 9100; 11700; 12000; 12000; 11500; 12000; 11600; 9600; 11800; 12000; 11900; 12000; 12000; 12000; 11900; 12000; 8700; 9300; 12000; 12000; 9300; 12000; 12000; 11900; 12000; 11800; 9100; 12000; 11000; 8500; 12000; 8500; 12000; 9500; 12000; 12000; 8500; 12000; 12000; 11700; 12000],50100,50101,3.0282883644104004
501,56,0.8691195436507939,[27; 82; 28; 81; 8; 25; 84; 1; 23; 88; 39; 65; 70; 38; 35; 69; 62; 47; 9; 94; 89; 33; 24; 87; 76; 4; 15; 90; 96; 2; 52; 54; 14; 92; 75; 74; 17; 72; 34; 50; 51; 68; 36; 86; 21; 5; 41; 59; 80; 29; 30; 78; 11; 93; 7; 79; 31; 49; 53; 63; 99; 71; 57; 45; 10; 67; 37; 44; 61; 20; 16; 91; 12; 26; 83; 3; 95; 56; 46; 77; 32; 0; 98; 18; 19; 42; 60; 64; 73; 97; 85; 22; 55; 48; 13; 43; 58; 6; 40; 66],[[27; 82]; [28; 81]; [8]; [25; 84]; [1]; [23; 88]; [39; 65]; [70; 38]; [35; 69]; [62; 47]; [9; 94]; [89; 33]; [24; 87]; [76]; [4]; [15; 90]; [96; 2]; [52; 54]; [14; 92]; [75; 74]; [17]; [72; 34]; [50; 51]; [68; 36]; [86; 21]; [5]; [41; 59]; [80; 29]; [30; 78]; [11; 93]; [7]; [79; 31]; [49; 53]; [63; 99; 71]; [57; 45]; [10]; [67; 37]; [44; 61]; [20]; [16; 91]; [12]; [26; 83]; [3; 95]; [56; 46]; [77; 32]; [0; 98]; [18]; [19]; [42; 60]; [64; 73; 97]; [85; 22]; [55; 48]; [13]; [43; 58]; [6]; [40; 66]],[11900; 11900; 9300; 12000; 9900; 11700; 12000; 11900; 12000; 11600; 12000; 11000; 11600; 4700; 9600; 12000; 12000; 11700; 12000; 9400; 8700; 12000; 12000; 12000; 11900; 9400; 12000; 11900; 12000; 12000; 9300; 12000; 11900; 12000; 12000; 9100; 12000; 11800; 8500; 11900; 9100; 12000; 12000; 12000; 12000; 12000; 8500; 8500; 11800; 12000; 11900; 12000; 9100; 12000; 9300; 12000],50100,50101,2.926497459411621
501,56,0.8690798611111112,[2; 96; 8; 18; 17; 1; 97; 76; 13; 77; 32; 22; 86; 66; 39; 69; 37; 42; 58; 99; 74; 60; 72; 63; 36; 68; 64; 47; 30; 79; 9; 94; 25; 87; 4; 29; 81; 45; 56; 92; 14; 5; 71; 34; 50; 49; 53; 54; 62; 43; 38; 67; 75; 73; 52; 51; 85; 21; 24; 84; 20; 6; 89; 33; 93; 11; 40; 65; 0; 98; 23; 88; 27; 82; 19; 12; 90; 15; 80; 28; 16; 91; 57; 46; 59; 41; 7; 31; 78; 3; 95; 35; 70; 55; 48; 83; 26; 44; 61; 10],[[2; 96]; [8]; [18]; [17]; [1; 97]; [76]; [13]; [77; 32]; [22; 86]; [66; 39]; [69; 37]; [42; 58]; [99; 74; 60]; [72; 63]; [36; 68]; [64; 47]; [30; 79]; [9; 94]; [25; 87]; [4]; [29; 81]; [45; 56]; [92; 14]; [5]; [71; 34]; [50; 49]; [53; 54]; [62; 43]; [38; 67]; [75; 73]; [52; 51]; [85; 21]; [24; 84]; [20]; [6]; [89; 33]; [93; 11]; [40; 65]; [0; 98]; [23; 88]; [27; 82]; [19]; [12]; [90; 15]; [80; 28]; [16; 91]; [57; 46]; [59; 41]; [7]; [31; 78]; [3; 95]; [35; 70]; [55; 48]; [83; 26]; [44; 61]; [10]],[12000; 9300; 8500; 8700; 12000; 4700; 9100; 12000; 11900; 12000; 11900; 12000; 12000; 10000; 12000; 11500; 12000; 12000; 11600; 9600; 11900; 12000; 12000; 9400; 12000; 12000; 11700; 11800; 12000; 9400; 11900; 11900; 12000; 8500; 9300; 11000; 12000; 12000; 12000; 11700; 11900; 8500; 9100; 12000; 11900; 11900; 12000; 12000; 9300; 12000; 12000; 12000; 12000; 12000; 11800; 9100],50100,50101,2.769364833831787
501,56,0.8691195436507938,[6; 81; 28; 44; 58; 38; 69; 20; 14; 92; 13; 7; 89; 23; 9; 94; 48; 55; 87; 24; 40; 65; 75; 8; 76; 74; 4; 50; 52; 47; 61; 91; 15; 27; 82; 72; 34; 43; 60; 51; 49; 57; 45; 26; 83; 54; 53; 22; 85; 36; 68; 11; 59; 41; 21; 86; 63; 73; 97; 1; 98; 0; 84; 25; 30; 78; 33; 88; 70; 35; 18; 79; 31; 95; 3; 67; 37; 32; 77; 19; 17; 39; 66; 99; 64; 71; 42; 62; 46; 56; 12; 80; 29; 90; 16; 96; 2; 5; 10; 93],[[6]; [81; 28]; [44; 58]; [38; 69]; [20]; [14; 92]; [13]; [7]; [89; 23]; [9; 94]; [48; 55]; [87; 24]; [40; 65]; [75]; [8]; [76; 74]; [4]; [50; 52]; [47; 61]; [91; 15]; [27; 82]; [72; 34]; [43; 60]; [51; 49]; [57; 45]; [26; 83]; [54; 53]; [22; 85]; [36; 68]; [11]; [59; 41]; [21; 86]; [63; 73; 97]; [1; 98]; [0]; [84; 25]; [30; 78]; [33; 88]; [70; 35]; [18]; [79; 31]; [95; 3]; [67; 37]; [32; 77]; [19]; [17]; [39; 66]; [99; 64; 71]; [42; 62]; [46; 56]; [12]; [80; 29]; [90; 16]; [96; 2]; [5]; [10; 93]],[9300; 11900; 12000; 11900; 8500; 12000; 9100; 9300; 11700; 12000; 12000; 11600; 12000; 4700; 9300; 9400; 9600; 11900; 11600; 12000; 11900; 12000; 11800; 12000; 12000; 12000; 11700; 11900; 12000; 9100; 12000; 11900; 12000; 12000; 9900; 12000; 12000; 11000; 12000; 8500; 12000; 12000; 12000; 12000; 8500; 8700; 12000; 12000; 11800; 12000; 9100; 11900; 11900; 12000; 9400; 12000],50100,50101,2.906519889831543
