Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
501,48,0.9449609374999999,[99; 10; 42; 44; 46; 48; 23; 63; 94; 98; 25; 0; 97; 33; 21; 64; 15; 72; 12; 79; 4; 86; 93; 8; 5; 85; 38; 54; 17; 74; 58; 29; 13; 78; 76; 14; 37; 52; 75; 51; 80; 20; 67; 6; 84; 11; 82; 1; 92; 70; 16; 35; 89; 91; 19; 68; 3; 87; 30; 73; 43; 41; 69; 65; 61; 2; 88; 18; 71; 7; 90; 24; 60; 66; 22; 77; 32; 47; 39; 34; 81; 56; 55; 27; 59; 40; 45; 49; 50; 26; 96; 95; 28; 62; 57; 31; 53; 36; 9; 83],[[99; 10]; [42; 44]; [46; 48]; [23; 63]; [94; 98; 25]; [0; 97]; [33]; [21; 64]; [15; 72]; [12; 79]; [4; 86]; [93; 8]; [5; 85]; [38; 54]; [17; 74]; [58; 29]; [13; 78]; [76; 14]; [37; 52]; [75; 51; 80]; [20; 67]; [6; 84]; [11; 82]; [1; 92]; [70; 16]; [35; 89; 91]; [19; 68]; [3; 87]; [30; 73]; [43; 41]; [69; 65; 61]; [2; 88]; [18; 71]; [7; 90]; [24; 60]; [66; 22]; [77; 32]; [47; 39]; [34; 81]; [56; 55]; [27; 59]; [40; 45]; [49; 50]; [26; 96; 95]; [28; 62]; [57; 31]; [53; 36]; [9; 83]],[10900; 11700; 10900; 11900; 12000; 12000; 7100; 12000; 11900; 12000; 11900; 11400; 11900; 11900; 11800; 12000; 11900; 12000; 12000; 12000; 11900; 12000; 12000; 12000; 12000; 12000; 12000; 12000; 10900; 12000; 12000; 12000; 12000; 11700; 12000; 11900; 10500; 12000; 10300; 10000; 12000; 11900; 10600; 12000; 11600; 12000; 12000; 12000],50100,50101,2.6623475551605225
501,49,0.915528628117914,[35; 37; 86; 90; 44; 94; 67; 82; 11; 79; 12; 45; 40; 58; 29; 0; 98; 74; 18; 95; 66; 42; 13; 77; 50; 49; 6; 88; 4; 92; 41; 43; 25; 60; 38; 53; 59; 28; 27; 62; 47; 46; 10; 99; 31; 57; 26; 63; 80; 32; 85; 7; 69; 19; 16; 71; 5; 84; 21; 68; 76; 14; 20; 64; 1; 91; 34; 52; 36; 93; 8; 70; 15; 48; 39; 97; 96; 24; 65; 22; 72; 78; 54; 17; 75; 51; 55; 9; 83; 73; 30; 56; 2; 89; 61; 23; 87; 3; 33; 81],[[35]; [37; 86; 90]; [44; 94; 67]; [82; 11]; [79; 12]; [45; 40]; [58; 29]; [0; 98]; [74; 18]; [95; 66; 42]; [13; 77]; [50; 49]; [6; 88]; [4; 92]; [41; 43]; [25; 60]; [38; 53]; [59; 28]; [27; 62]; [47; 46]; [10; 99]; [31; 57]; [26; 63]; [80; 32]; [85; 7]; [69; 19]; [16; 71]; [5; 84]; [21; 68]; [76; 14]; [20; 64]; [1; 91]; [34]; [52; 36]; [93; 8]; [70; 15]; [48; 39]; [97; 96; 24]; [65; 22]; [72; 78; 54]; [17; 75]; [51; 55]; [9; 83]; [73; 30]; [56]; [2; 89]; [61; 23]; [87; 3]; [33; 81]],[7100; 12000; 12000; 12000; 12000; 11900; 12000; 12000; 11800; 12000; 11900; 10600; 11700; 11600; 12000; 11900; 12000; 12000; 11600; 10900; 10900; 12000; 11700; 10400; 11900; 12000; 12000; 12000; 11800; 12000; 12000; 12000; 7100; 12000; 11400; 12000; 12000; 12000; 12000; 12000; 11800; 10300; 12000; 10900; 5000; 12000; 12000; 12000; 10300],50100,50101,2.732419013977051
501,49,0.9145507369614512,[46; 40; 16; 73; 76; 14; 56; 55; 99; 39; 47; 60; 24; 18; 74; 62; 63; 68; 78; 12; 61; 23; 79; 13; 34; 31; 57; 97; 0; 3; 87; 21; 65; 8; 91; 29; 58; 38; 53; 22; 66; 82; 30; 72; 42; 88; 83; 51; 70; 92; 1; 32; 9; 96; 7; 90; 89; 2; 77; 25; 20; 64; 35; 6; 84; 98; 93; 26; 81; 11; 15; 71; 80; 27; 43; 41; 75; 17; 95; 10; 49; 50; 48; 45; 28; 59; 52; 37; 94; 44; 67; 69; 19; 36; 54; 85; 4; 5; 86; 33],[[46; 40]; [16; 73]; [76; 14]; [56; 55; 99]; [39; 47]; [60; 24]; [18; 74]; [62; 63; 68]; [78; 12]; [61; 23]; [79; 13]; [34]; [31; 57]; [97; 0]; [3; 87]; [21; 65]; [8; 91]; [29; 58]; [38; 53]; [22; 66]; [82; 30]; [72; 42; 88]; [83; 51; 70]; [92; 1]; [32]; [9; 96]; [7; 90]; [89; 2]; [77; 25]; [20; 64]; [35]; [6; 84]; [98; 93; 26]; [81; 11]; [15; 71]; [80; 27]; [43; 41]; [75; 17]; [95; 10]; [49; 50]; [48; 45]; [28; 59]; [52; 37]; [94; 44; 67]; [69; 19]; [36; 54]; [85; 4]; [5; 86]; [33]],[11900; 11800; 12000; 12000; 12000; 12000; 11800; 12000; 12000; 12000; 11900; 7100; 12000; 12000; 12000; 12000; 11500; 12000; 12000; 11900; 10600; 12000; 12000; 12000; 7200; 11200; 11700; 12000; 10900; 12000; 7100; 12000; 12000; 12000; 12000; 10700; 12000; 11800; 11100; 10600; 10900; 12000; 12000; 12000; 12000; 11900; 11900; 11900; 7100],50100,50101,2.9264187812805176
501,49,0.9197859977324262,[27; 59; 5; 89; 69; 19; 30; 68; 85; 6; 44; 66; 94; 43; 41; 29; 58; 13; 79; 98; 0; 56; 55; 99; 77; 82; 46; 39; 48; 88; 31; 96; 25; 63; 72; 18; 76; 2; 90; 42; 47; 14; 75; 34; 50; 51; 93; 7; 4; 84; 17; 70; 81; 73; 49; 65; 21; 92; 1; 10; 61; 23; 60; 24; 8; 37; 52; 9; 83; 71; 16; 91; 97; 28; 12; 78; 3; 87; 95; 86; 35; 20; 64; 80; 11; 53; 36; 33; 45; 40; 62; 26; 74; 15; 38; 54; 57; 32; 22; 67],[[27; 59]; [5; 89]; [69; 19]; [30; 68]; [85; 6]; [44; 66; 94]; [43; 41]; [29; 58]; [13; 79]; [98; 0]; [56; 55; 99]; [77; 82; 46]; [39; 48]; [88; 31; 96]; [25; 63]; [72; 18]; [76]; [2; 90]; [42; 47]; [14; 75]; [34]; [50; 51]; [93; 7]; [4; 84]; [17; 70]; [81; 73; 49]; [65; 21]; [92; 1]; [10]; [61; 23]; [60; 24]; [8]; [37; 52]; [9; 83]; [71; 16]; [91; 97; 28]; [12; 78]; [3; 87]; [95; 86; 35]; [20; 64]; [80; 11]; [53; 36]; [33]; [45; 40]; [62; 26]; [74; 15]; [38; 54]; [57; 32]; [22; 67]],[12000; 11700; 12000; 11200; 11900; 12000; 12000; 12000; 11900; 12000; 12000; 12000; 12000; 12000; 11700; 11900; 3500; 12000; 11300; 12000; 7100; 10600; 11500; 12000; 12000; 12000; 12000; 12000; 8900; 12000; 12000; 9100; 12000; 12000; 12000; 12000; 12000; 12000; 12000; 12000; 12000; 12000; 7100; 11900; 11700; 11800; 11900; 11900; 11900],50100,50101,2.638909339904785
501,49,0.9169486961451246,[56; 23; 61; 60; 24; 15; 70; 9; 83; 26; 99; 94; 48; 39; 40; 46; 34; 8; 29; 95; 92; 69; 81; 55; 67; 20; 12; 79; 2; 88; 80; 11; 44; 62; 98; 78; 13; 42; 45; 22; 64; 7; 84; 19; 68; 3; 87; 63; 25; 86; 66; 47; 82; 76; 51; 53; 37; 74; 32; 50; 49; 35; 5; 85; 90; 6; 30; 58; 96; 27; 93; 77; 33; 18; 72; 89; 4; 97; 0; 65; 21; 17; 71; 14; 75; 91; 1; 28; 59; 73; 16; 52; 38; 54; 36; 57; 31; 10; 41; 43],[[56]; [23; 61]; [60; 24]; [15; 70]; [9; 83]; [26; 99; 94]; [48; 39]; [40; 46]; [34]; [8]; [29; 95; 92]; [69; 81; 55]; [67; 20]; [12; 79]; [2; 88]; [80; 11]; [44; 62; 98]; [78; 13]; [42; 45]; [22; 64]; [7; 84]; [19; 68]; [3; 87]; [63; 25]; [86; 66; 47]; [82; 76; 51]; [53; 37]; [74; 32]; [50; 49]; [35]; [5; 85]; [90; 6]; [30; 58]; [96; 27; 93]; [77; 33]; [18; 72]; [89; 4]; [97; 0]; [65; 21]; [17; 71]; [14; 75]; [91; 1]; [28; 59]; [73; 16]; [52; 38]; [54; 36]; [57; 31]; [10]; [41; 43]],[5000; 12000; 12000; 12000; 12000; 11900; 12000; 11900; 7100; 9100; 12000; 12000; 11900; 12000; 12000; 12000; 12000; 11900; 11400; 12000; 12000; 12000; 12000; 11700; 12000; 12000; 12000; 10700; 10600; 7100; 11900; 11700; 12000; 12000; 10400; 11900; 11700; 12000; 12000; 12000; 12000; 12000; 12000; 11800; 12000; 11900; 12000; 8900; 12000],50100,50101,2.698456287384033
501,49,0.9162429138321996,[79; 26; 69; 19; 38; 53; 11; 82; 6; 84; 85; 4; 27; 95; 93; 31; 57; 34; 81; 45; 40; 36; 52; 32; 88; 94; 51; 50; 24; 60; 48; 86; 66; 59; 28; 39; 47; 14; 74; 12; 78; 10; 7; 89; 25; 68; 18; 71; 46; 62; 91; 56; 76; 75; 29; 80; 65; 20; 54; 37; 73; 17; 55; 3; 87; 0; 98; 42; 63; 99; 43; 41; 9; 83; 13; 77; 15; 70; 72; 16; 92; 1; 67; 22; 35; 2; 90; 58; 30; 8; 97; 96; 5; 23; 61; 21; 64; 33; 44; 49],[[79; 26]; [69; 19]; [38; 53]; [11; 82]; [6; 84]; [85; 4]; [27; 95; 93]; [31; 57]; [34; 81]; [45; 40]; [36; 52]; [32; 88; 94]; [51; 50]; [24; 60]; [48; 86; 66]; [59; 28]; [39; 47]; [14; 74]; [12; 78]; [10]; [7; 89]; [25; 68]; [18; 71]; [46; 62; 91]; [56; 76; 75]; [29; 80]; [65; 20]; [54; 37]; [73; 17]; [55]; [3; 87]; [0; 98]; [42; 63; 99]; [43; 41]; [9; 83]; [13; 77]; [15; 70]; [72; 16]; [92; 1]; [67; 22]; [35]; [2; 90]; [58; 30]; [8; 97]; [96; 5]; [23; 61]; [21; 64]; [33]; [44; 49]],[10900; 12000; 12000; 12000; 12000; 11900; 12000; 12000; 10300; 11900; 12000; 12000; 10600; 12000; 12000; 12000; 12000; 12000; 12000; 8900; 11700; 11400; 12000; 12000; 12000; 10600; 12000; 11900; 11800; 5000; 12000; 12000; 12000; 12000; 12000; 11900; 12000; 11900; 12000; 11900; 7100; 12000; 12000; 11200; 11400; 12000; 12000; 7100; 11100],50100,50101,2.623075485229492
501,48,0.9455338541666666,[87; 3; 86; 7; 64; 22; 55; 69; 80; 67; 20; 23; 62; 26; 94; 97; 43; 41; 5; 85; 75; 17; 89; 34; 91; 31; 57; 59; 28; 72; 16; 56; 37; 29; 66; 84; 4; 25; 63; 58; 30; 10; 13; 79; 82; 11; 48; 49; 81; 33; 77; 12; 96; 8; 61; 93; 46; 9; 83; 99; 27; 88; 18; 70; 15; 71; 14; 76; 54; 38; 50; 51; 2; 90; 24; 60; 36; 53; 52; 78; 73; 92; 1; 65; 21; 68; 19; 45; 40; 74; 32; 95; 6; 0; 98; 44; 42; 47; 39; 35],[[87; 3]; [86; 7]; [64; 22]; [55; 69; 80]; [67; 20]; [23; 62]; [26; 94; 97]; [43; 41]; [5; 85]; [75; 17]; [89; 34; 91]; [31; 57]; [59; 28]; [72; 16]; [56; 37]; [29; 66]; [84; 4]; [25; 63]; [58; 30]; [10]; [13; 79]; [82; 11]; [48; 49]; [81; 33]; [77; 12]; [96; 8]; [61; 93; 46]; [9; 83]; [99; 27; 88]; [18; 70]; [15; 71]; [14; 76]; [54; 38]; [50; 51]; [2; 90]; [24; 60]; [36; 53]; [52; 78; 73]; [92; 1]; [65; 21]; [68; 19]; [45; 40]; [74; 32]; [95; 6]; [0; 98]; [44; 42]; [47; 39]; [35]],[12000; 11900; 12000; 12000; 11900; 11900; 12000; 12000; 11900; 11800; 12000; 12000; 12000; 11900; 11800; 11300; 12000; 11700; 12000; 8900; 11900; 12000; 10700; 10300; 12000; 11300; 12000; 12000; 12000; 12000; 12000; 12000; 11900; 10600; 12000; 12000; 12000; 12000; 12000; 12000; 12000; 11900; 10700; 11400; 12000; 11700; 12000; 7100],50100,50101,2.712519884109497
501,48,0.9478226273148147,[88; 2; 55; 10; 93; 12; 77; 67; 20; 40; 45; 36; 54; 14; 75; 44; 41; 38; 52; 0; 98; 1; 92; 37; 53; 26; 62; 16; 76; 61; 23; 17; 72; 8; 95; 6; 86; 64; 21; 33; 80; 5; 85; 3; 87; 15; 70; 84; 4; 27; 59; 32; 94; 90; 83; 9; 13; 79; 19; 68; 22; 66; 30; 58; 99; 28; 89; 43; 42; 46; 78; 81; 34; 63; 91; 7; 18; 71; 56; 73; 74; 57; 31; 51; 49; 82; 11; 60; 25; 29; 65; 47; 39; 35; 69; 48; 50; 97; 24; 96],[[88; 2]; [55]; [10; 93]; [12; 77]; [67; 20]; [40; 45]; [36; 54]; [14; 75]; [44; 41]; [38; 52]; [0; 98]; [1; 92]; [37; 53]; [26; 62]; [16; 76]; [61; 23]; [17; 72]; [8; 95]; [6; 86]; [64; 21]; [33; 80]; [5; 85]; [3; 87]; [15; 70]; [84; 4]; [27; 59]; [32; 94; 90]; [83; 9]; [13; 79]; [19; 68]; [22; 66]; [30; 58]; [99; 28; 89]; [43; 42]; [46; 78; 81]; [34; 63]; [91; 7]; [18; 71]; [56; 73; 74]; [57; 31]; [51; 49]; [82; 11]; [60; 25]; [29; 65]; [47; 39]; [35; 69]; [48; 50]; [97; 24; 96]],[12000; 5000; 11200; 12000; 11900; 11900; 11900; 12000; 12000; 12000; 12000; 12000; 12000; 11700; 11800; 12000; 11900; 11300; 11900; 12000; 10300; 11900; 12000; 12000; 12000; 12000; 12000; 12000; 11900; 12000; 11900; 12000; 12000; 11700; 12000; 11200; 11600; 12000; 12000; 12000; 10600; 12000; 11900; 11400; 12000; 10900; 10700; 12000],50100,50101,2.6590709686279297
501,49,0.9186493764172337,[43; 48; 91; 1; 12; 77; 82; 49; 75; 90; 29; 97; 13; 79; 22; 67; 42; 93; 68; 62; 45; 92; 47; 39; 99; 10; 54; 38; 61; 23; 19; 69; 55; 5; 85; 18; 72; 76; 14; 34; 78; 9; 83; 41; 44; 58; 30; 52; 36; 8; 96; 27; 59; 26; 66; 46; 40; 51; 50; 7; 86; 94; 95; 28; 98; 0; 63; 25; 65; 21; 56; 2; 88; 16; 73; 3; 87; 74; 32; 33; 81; 35; 53; 37; 17; 70; 4; 89; 20; 64; 11; 80; 84; 6; 60; 24; 71; 15; 31; 57],[[43; 48]; [91; 1]; [12; 77]; [82; 49; 75]; [90; 29; 97]; [13; 79]; [22; 67]; [42; 93; 68]; [62; 45; 92]; [47; 39]; [99; 10]; [54; 38]; [61; 23]; [19; 69]; [55]; [5; 85]; [18; 72]; [76; 14]; [34; 78]; [9; 83]; [41; 44]; [58; 30]; [52; 36]; [8; 96]; [27; 59]; [26; 66]; [46; 40]; [51; 50]; [7; 86]; [94; 95; 28]; [98; 0]; [63; 25]; [65; 21]; [56]; [2; 88]; [16; 73]; [3; 87]; [74; 32]; [33; 81]; [35]; [53; 37]; [17; 70]; [4; 89]; [20; 64]; [11; 80]; [84; 6]; [60; 24]; [71; 15]; [31; 57]],[11200; 12000; 12000; 12000; 12000; 11900; 11900; 12000; 12000; 12000; 10900; 11900; 12000; 12000; 5000; 11900; 11900; 12000; 10400; 12000; 12000; 12000; 12000; 11300; 12000; 11500; 11900; 10600; 11900; 12000; 12000; 11700; 12000; 5000; 12000; 11800; 12000; 10700; 10300; 7100; 12000; 12000; 11700; 12000; 12000; 12000; 12000; 12000; 12000],50100,50101,2.69549560546875
501,48,0.9433000578703704,[84; 4; 44; 41; 67; 87; 45; 38; 52; 16; 72; 0; 97; 20; 65; 10; 55; 56; 68; 22; 7; 86; 77; 79; 48; 42; 96; 66; 14; 74; 19; 69; 73; 28; 25; 62; 11; 82; 89; 5; 31; 57; 49; 51; 75; 15; 64; 21; 3; 88; 90; 2; 6; 93; 33; 76; 43; 50; 60; 24; 83; 9; 59; 27; 47; 39; 1; 92; 54; 37; 23; 61; 18; 70; 17; 71; 81; 35; 94; 8; 26; 63; 98; 85; 32; 53; 36; 12; 78; 58; 30; 40; 46; 91; 29; 95; 34; 80; 99; 13],[[84; 4]; [44; 41]; [67; 87; 45]; [38; 52]; [16; 72]; [0; 97]; [20; 65]; [10]; [55; 56]; [68; 22]; [7; 86]; [77; 79; 48]; [42; 96; 66]; [14; 74]; [19; 69]; [73; 28]; [25; 62]; [11; 82]; [89; 5]; [31; 57]; [49; 51]; [75; 15]; [64; 21]; [3; 88]; [90; 2]; [6; 93]; [33; 76]; [43; 50]; [60; 24]; [83; 9]; [59; 27]; [47; 39]; [1; 92]; [54; 37]; [23; 61]; [18; 70]; [17; 71]; [81; 35]; [94; 8]; [26; 63]; [98; 85; 32]; [53; 36]; [12; 78]; [58; 30]; [40; 46]; [91; 29; 95]; [34; 80]; [99; 13]],[12000; 12000; 12000; 12000; 11900; 12000; 12000; 8900; 10000; 11800; 11900; 12000; 12000; 12000; 12000; 11000; 11700; 12000; 11700; 12000; 10600; 11800; 12000; 11900; 12000; 11500; 10600; 11100; 12000; 12000; 12000; 12000; 12000; 11900; 12000; 12000; 12000; 10300; 11400; 11700; 12000; 12000; 12000; 12000; 11900; 12000; 10300; 10600],50100,50101,2.6184186935424805
