Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
137,37,0.9715015015015014,[65; 18; 81; 7; 87; 66; 68; 85; 11; 17; 92; 50; 28; 32; 13; 45; 12; 71; 84; 62; 90; 19; 21; 46; 89; 37; 25; 5; 51; 53; 82; 33; 30; 31; 23; 36; 35; 24; 98; 78; 77; 16; 86; 93; 20; 70; 40; 29; 75; 15; 73; 1; 64; 96; 99; 58; 34; 74; 94; 26; 42; 79; 61; 27; 47; 6; 52; 4; 95; 60; 67; 76; 80; 41; 22; 97; 14; 44; 69; 43; 54; 38; 39; 59; 49; 57; 55; 0; 10; 48; 56; 3; 63; 88; 9; 8; 72; 2; 91; 83],[[65; 18; 81]; [7; 87; 66]; [68; 85; 11]; [17; 92; 50]; [28; 32]; [13; 45]; [12; 71; 84]; [62; 90; 19]; [21; 46; 89]; [37; 25]; [5; 51]; [53; 82; 33]; [30; 31]; [23; 36]; [35; 24]; [98; 78; 77; 16]; [86; 93; 20; 70]; [40; 29]; [75; 15; 73]; [1; 64; 96; 99]; [58; 34; 74]; [94; 26; 42]; [79; 61; 27]; [47; 6]; [52; 4]; [95; 60; 67; 76; 80]; [41; 22; 97]; [14; 44]; [69; 43; 54]; [38; 39]; [59; 49; 57]; [55; 0]; [10; 48]; [56; 3]; [63; 88; 9]; [8; 72]; [2; 91; 83]],[15000; 14900; 15000; 15000; 15000; 15000; 15000; 14100; 15000; 14800; 15000; 15000; 15000; 14900; 15000; 14900; 15000; 14100; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 13800; 15000; 14900; 14800; 14500; 15000; 12600; 13400],13700,13701,0.7522821426391602
273,37,0.9718642642642644,[6; 47; 94; 15; 53; 36; 77; 99; 67; 92; 68; 2; 93; 56; 86; 38; 88; 84; 1; 81; 90; 10; 60; 37; 91; 69; 75; 7; 46; 41; 17; 51; 4; 5; 52; 71; 85; 89; 22; 61; 82; 21; 66; 62; 45; 72; 16; 27; 95; 42; 35; 24; 87; 23; 50; 73; 64; 96; 39; 28; 32; 19; 78; 70; 33; 26; 98; 20; 43; 48; 9; 8; 49; 14; 44; 79; 31; 59; 40; 18; 34; 25; 97; 3; 57; 29; 58; 80; 30; 83; 55; 54; 0; 11; 63; 65; 12; 13; 74; 76],[[6; 47]; [94; 15; 53]; [36; 77; 99; 67; 92]; [68; 2; 93]; [56; 86; 38; 88]; [84; 1; 81]; [90; 10; 60]; [37; 91; 69; 75]; [7; 46]; [41; 17]; [51; 4]; [5; 52]; [71; 85; 89; 22]; [61; 82; 21]; [66; 62; 45]; [72; 16]; [27; 95; 42]; [35; 24]; [87; 23; 50]; [73; 64; 96; 39]; [28; 32]; [19; 78; 70]; [33; 26]; [98; 20; 43]; [48; 9]; [8; 49]; [14; 44]; [79; 31; 59]; [40; 18]; [34; 25]; [97; 3; 57]; [29; 58; 80]; [30; 83; 55]; [54; 0]; [11; 63]; [65; 12]; [13; 74; 76]],[15000; 15000; 15000; 14500; 15000; 14900; 14900; 15000; 14900; 15000; 15000; 15000; 15000; 15000; 14500; 12200; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 14800; 14700; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 14900; 13500; 13000; 14900],27300,27301,1.7101502418518066
274,37,0.9716312312312314,[9; 80; 74; 56; 8; 93; 67; 69; 33; 16; 43; 1; 89; 70; 2; 96; 87; 79; 59; 29; 78; 13; 45; 95; 46; 20; 85; 68; 12; 41; 91; 47; 3; 99; 53; 30; 31; 62; 0; 86; 76; 94; 17; 63; 25; 75; 61; 90; 77; 42; 19; 48; 92; 72; 11; 82; 88; 58; 14; 23; 35; 40; 18; 24; 36; 4; 51; 32; 28; 83; 15; 71; 21; 39; 5; 60; 98; 97; 26; 34; 22; 38; 52; 10; 7; 81; 73; 50; 84; 37; 44; 57; 66; 6; 49; 65; 64; 55; 27; 54],[[9; 80; 74]; [56; 8; 93]; [67; 69; 33]; [16; 43]; [1; 89; 70]; [2; 96; 87; 79]; [59; 29; 78]; [13; 45]; [95; 46; 20]; [85; 68; 12]; [41; 91; 47]; [3; 99; 53]; [30; 31]; [62; 0]; [86; 76; 94; 17]; [63; 25; 75]; [61; 90; 77; 42]; [19; 48; 92]; [72; 11; 82]; [88; 58; 14]; [23; 35]; [40; 18]; [24; 36]; [4; 51]; [32; 28]; [83; 15; 71]; [21; 39]; [5; 60; 98; 97]; [26; 34]; [22; 38]; [52; 10]; [7; 81; 73]; [50; 84; 37]; [44; 57; 66]; [6; 49]; [65; 64; 55]; [27; 54]],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 14900; 13300; 15000; 15000; 14400; 14100; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 14900; 15000; 15000; 15000; 14800; 15000; 15000; 15000; 14600; 15000; 15000; 14900; 14900; 13200; 12700],27400,27401,1.3743062019348145
191,37,0.971676876876877,[20; 69; 78; 88; 58; 14; 77; 51; 99; 56; 86; 16; 43; 15; 44; 53; 68; 96; 64; 45; 12; 17; 63; 85; 62; 72; 36; 47; 9; 34; 26; 41; 92; 30; 52; 97; 11; 27; 33; 74; 13; 5; 83; 80; 1; 54; 61; 91; 10; 4; 81; 79; 37; 25; 40; 23; 39; 73; 55; 90; 18; 82; 76; 49; 8; 67; 2; 57; 93; 7; 48; 6; 42; 21; 98; 35; 24; 22; 38; 29; 31; 75; 32; 65; 84; 50; 87; 60; 95; 19; 94; 46; 89; 3; 66; 28; 71; 70; 0; 59],[[20; 69; 78]; [88; 58; 14]; [77; 51; 99; 56; 86]; [16; 43]; [15; 44]; [53; 68; 96; 64]; [45; 12]; [17; 63; 85]; [62; 72; 36]; [47; 9]; [34; 26]; [41; 92; 30]; [52; 97; 11]; [27; 33]; [74; 13]; [5; 83; 80]; [1; 54]; [61; 91; 10]; [4; 81; 79]; [37; 25]; [40; 23]; [39; 73; 55]; [90; 18; 82; 76]; [49; 8]; [67; 2]; [57; 93; 7]; [48; 6]; [42; 21; 98]; [35; 24]; [22; 38]; [29; 31]; [75; 32; 65]; [84; 50; 87; 60; 95]; [19; 94; 46]; [89; 3; 66]; [28; 71; 70]; [0; 59]],[15000; 15000; 15000; 15000; 15000; 14000; 15000; 15000; 15000; 14800; 15000; 15000; 15000; 15000; 12000; 14900; 14900; 14900; 15000; 14800; 14400; 15000; 15000; 14700; 13600; 15000; 15000; 14800; 15000; 15000; 15000; 14300; 15000; 15000; 15000; 15000; 14600],19100,19101,0.9815652370452881
105,37,0.9710210210210212,[37; 49; 84; 6; 47; 66; 61; 41; 90; 57; 12; 46; 62; 56; 20; 65; 83; 44; 14; 11; 53; 10; 58; 81; 78; 15; 55; 0; 77; 17; 71; 4; 70; 82; 21; 60; 34; 74; 86; 75; 73; 52; 42; 95; 67; 9; 30; 29; 24; 35; 89; 63; 7; 3; 87; 88; 85; 19; 91; 68; 93; 5; 51; 23; 36; 33; 26; 8; 50; 16; 43; 32; 28; 97; 39; 27; 64; 80; 22; 40; 18; 1; 59; 98; 2; 94; 72; 92; 13; 45; 79; 69; 25; 48; 96; 99; 31; 38; 54; 76],[[37; 49; 84]; [6; 47]; [66; 61; 41]; [90; 57; 12]; [46; 62; 56]; [20; 65; 83]; [44; 14]; [11; 53]; [10; 58]; [81; 78; 15]; [55; 0]; [77; 17; 71]; [4; 70]; [82; 21; 60]; [34; 74; 86; 75]; [73; 52; 42]; [95; 67; 9]; [30; 29]; [24; 35]; [89; 63; 7]; [3; 87; 88; 85]; [19; 91; 68; 93]; [5; 51]; [23; 36]; [33; 26]; [8; 50]; [16; 43]; [32; 28]; [97; 39; 27]; [64; 80; 22]; [40; 18]; [1; 59; 98]; [2; 94; 72; 92]; [13; 45]; [79; 69; 25]; [48; 96; 99; 31]; [38; 54; 76]],[15000; 15000; 15000; 15000; 15000; 14900; 15000; 14300; 13900; 14300; 14900; 15000; 13400; 15000; 15000; 15000; 14000; 15000; 15000; 14900; 14900; 14400; 15000; 14900; 15000; 14700; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 14300; 14000; 14900],10500,10501,0.5311853885650635
192,37,0.9725393393393391,[80; 83; 2; 99; 43; 66; 58; 34; 26; 22; 41; 95; 54; 11; 40; 20; 24; 78; 63; 18; 50; 97; 45; 60; 67; 23; 35; 87; 16; 62; 59; 1; 49; 15; 52; 4; 77; 10; 75; 7; 57; 92; 28; 61; 76; 89; 44; 90; 42; 30; 31; 0; 55; 74; 39; 93; 64; 36; 96; 47; 91; 9; 79; 98; 81; 85; 72; 13; 12; 84; 71; 6; 48; 94; 14; 53; 33; 25; 88; 3; 70; 19; 86; 56; 38; 21; 29; 73; 51; 5; 68; 69; 32; 46; 8; 37; 27; 82; 17; 65],[[80; 83; 2]; [99; 43; 66; 58]; [34; 26]; [22; 41]; [95; 54; 11]; [40; 20]; [24; 78; 63]; [18; 50; 97]; [45; 60; 67]; [23; 35]; [87; 16; 62]; [59; 1]; [49; 15]; [52; 4]; [77; 10; 75]; [7; 57; 92]; [28; 61; 76]; [89; 44; 90; 42]; [30; 31]; [0; 55]; [74; 39; 93; 64]; [36; 96; 47; 91]; [9; 79; 98; 81]; [85; 72; 13]; [12; 84; 71]; [6; 48]; [94; 14; 53]; [33; 25]; [88; 3; 70]; [19; 86; 56]; [38; 21]; [29; 73]; [51; 5]; [68; 69; 32]; [46; 8]; [37; 27]; [82; 17; 65]],[15000; 15000; 15000; 14500; 15000; 15000; 15000; 14400; 14400; 15000; 15000; 14600; 14400; 15000; 15000; 15000; 15000; 15000; 15000; 14900; 15000; 14700; 15000; 14500; 15000; 15000; 15000; 15000; 14900; 15000; 15000; 10700; 15000; 15000; 14900; 14800; 15000],19200,19201,0.9820709228515625
355,37,0.9712660660660664,[63; 2; 94; 33; 41; 91; 54; 30; 83; 97; 92; 60; 12; 6; 48; 59; 29; 80; 96; 98; 64; 7; 62; 95; 84; 37; 88; 86; 72; 19; 22; 38; 47; 87; 27; 61; 0; 13; 45; 36; 32; 57; 99; 31; 81; 39; 21; 8; 67; 3; 65; 28; 93; 42; 35; 24; 18; 50; 46; 49; 70; 4; 51; 78; 74; 10; 75; 77; 9; 23; 66; 73; 15; 44; 11; 53; 34; 26; 5; 52; 71; 17; 76; 43; 16; 40; 20; 90; 1; 68; 82; 58; 55; 79; 89; 14; 56; 25; 69; 85],[[63; 2; 94]; [33; 41; 91]; [54; 30; 83]; [97; 92; 60; 12]; [6; 48]; [59; 29; 80]; [96; 98; 64; 7]; [62; 95; 84; 37]; [88; 86; 72; 19]; [22; 38]; [47; 87; 27]; [61; 0]; [13; 45]; [36; 32]; [57; 99; 31; 81]; [39; 21]; [8; 67]; [3; 65]; [28; 93; 42]; [35; 24]; [18; 50]; [46; 49; 70]; [4; 51]; [78; 74; 10]; [75; 77; 9]; [23; 66; 73]; [15; 44]; [11; 53]; [34; 26]; [5; 52]; [71; 17; 76]; [43; 16]; [40; 20]; [90; 1; 68]; [82; 58; 55; 79]; [89; 14; 56]; [25; 69; 85]],[15000; 15000; 15000; 15000; 15000; 15000; 14600; 14900; 15000; 15000; 15000; 14400; 15000; 14500; 15000; 14800; 13100; 13700; 15000; 15000; 13900; 15000; 15000; 15000; 15000; 15000; 15000; 14300; 15000; 15000; 15000; 15000; 15000; 14900; 15000; 15000; 13600],35500,35501,2.38582706451416
177,37,0.9710474474474474,[56; 66; 44; 25; 34; 11; 51; 43; 16; 27; 33; 26; 36; 32; 30; 61; 2; 79; 86; 75; 92; 69; 87; 18; 88; 53; 19; 45; 9; 46; 57; 8; 95; 77; 21; 65; 24; 68; 99; 97; 80; 93; 55; 13; 23; 35; 96; 64; 4; 98; 47; 58; 59; 38; 22; 20; 40; 42; 39; 12; 50; 5; 52; 67; 94; 89; 15; 81; 7; 73; 31; 29; 49; 84; 37; 85; 76; 0; 62; 3; 63; 6; 91; 71; 82; 14; 1; 54; 90; 60; 83; 74; 70; 10; 48; 78; 72; 28; 17; 41],[[56; 66; 44]; [25; 34]; [11; 51]; [43; 16]; [27; 33]; [26; 36]; [32; 30]; [61; 2]; [79; 86; 75; 92; 69; 87]; [18; 88; 53]; [19; 45]; [9; 46]; [57; 8; 95]; [77; 21; 65]; [24; 68; 99; 97; 80]; [93; 55; 13]; [23; 35]; [96; 64; 4; 98]; [47; 58; 59]; [38; 22]; [20; 40]; [42; 39]; [12; 50]; [5; 52]; [67; 94; 89; 15]; [81; 7; 73]; [31; 29]; [49; 84; 37]; [85; 76; 0]; [62; 3]; [63; 6; 91]; [71; 82; 14]; [1; 54]; [90; 60; 83; 74; 70]; [10; 48]; [78; 72; 28]; [17; 41]],[14900; 15000; 14500; 15000; 15000; 14800; 14900; 14200; 14000; 15000; 14400; 14900; 14900; 14900; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 13200; 14500; 15000; 15000; 15000; 15000; 15000; 14900; 14200; 15000; 15000; 14900; 15000; 14800; 13800; 15000],17700,17701,1.4858686923980713
118,37,0.9719795795795795,[44; 57; 65; 49; 8; 10; 47; 41; 17; 36; 67; 66; 28; 32; 95; 84; 87; 78; 83; 58; 97; 55; 42; 80; 71; 5; 86; 6; 48; 56; 15; 93; 13; 45; 22; 60; 89; 91; 29; 61; 64; 20; 12; 96; 53; 23; 35; 11; 68; 85; 74; 39; 88; 69; 38; 21; 82; 81; 1; 27; 34; 59; 0; 99; 54; 2; 14; 75; 73; 7; 50; 3; 94; 70; 40; 18; 46; 9; 51; 4; 98; 37; 76; 62; 26; 33; 31; 30; 25; 63; 77; 52; 90; 19; 72; 79; 16; 43; 24; 92],[[44; 57; 65]; [49; 8]; [10; 47]; [41; 17]; [36; 67; 66]; [28; 32]; [95; 84; 87; 78; 83; 58]; [97; 55; 42; 80]; [71; 5; 86]; [6; 48]; [56; 15; 93]; [13; 45]; [22; 60; 89; 91]; [29; 61]; [64; 20]; [12; 96; 53]; [23; 35]; [11; 68; 85]; [74; 39; 88; 69]; [38; 21]; [82; 81; 1]; [27; 34]; [59; 0; 99]; [54; 2]; [14; 75; 73]; [7; 50]; [3; 94; 70]; [40; 18]; [46; 9]; [51; 4]; [98; 37; 76; 62]; [26; 33]; [31; 30]; [25; 63; 77]; [52; 90; 19]; [72; 79; 16]; [43; 24; 92]],[14900; 14700; 14800; 15000; 15000; 15000; 15000; 14700; 15000; 15000; 14700; 15000; 15000; 12000; 12600; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 14700; 14700; 15000; 14700; 14400; 15000; 14900; 15000; 14900; 15000; 15000; 15000; 15000; 15000; 15000],11800,11801,1.00492525100708
235,37,0.9716456456456455,[30; 37; 28; 32; 68; 47; 50; 41; 17; 76; 9; 58; 82; 26; 67; 90; 0; 92; 22; 55; 94; 75; 8; 78; 24; 35; 3; 57; 12; 45; 36; 62; 96; 84; 79; 6; 80; 39; 40; 10; 48; 43; 16; 51; 4; 64; 74; 70; 89; 87; 25; 33; 5; 53; 21; 38; 60; 19; 85; 34; 27; 97; 2; 59; 20; 91; 52; 88; 71; 11; 95; 61; 63; 83; 72; 81; 18; 66; 86; 77; 98; 1; 69; 42; 56; 31; 29; 99; 46; 7; 54; 13; 93; 65; 23; 73; 15; 44; 14; 49],[[30; 37]; [28; 32]; [68; 47; 50]; [41; 17]; [76; 9]; [58; 82; 26]; [67; 90; 0]; [92; 22; 55; 94]; [75; 8; 78]; [24; 35]; [3; 57]; [12; 45]; [36; 62; 96; 84]; [79; 6; 80]; [39; 40]; [10; 48]; [43; 16]; [51; 4]; [64; 74; 70; 89; 87]; [25; 33]; [5; 53]; [21; 38]; [60; 19; 85]; [34; 27]; [97; 2; 59]; [20; 91; 52]; [88; 71; 11; 95]; [61; 63; 83; 72]; [81; 18; 66]; [86; 77; 98; 1]; [69; 42; 56]; [31; 29]; [99; 46; 7]; [54; 13; 93]; [65; 23; 73]; [15; 44]; [14; 49]],[14600; 15000; 14900; 15000; 12100; 14900; 15000; 14900; 14900; 15000; 14500; 15000; 14800; 15000; 13400; 14800; 15000; 15000; 14000; 15000; 14800; 15000; 15000; 15000; 14900; 15000; 15000; 14800; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 14400],23500,23501,2.0492358207702637
