Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
87,34,0.9620836601307188,[5; 41; 68; 29; 48; 36; 95; 66; 10; 45; 20; 88; 43; 97; 58; 70; 93; 28; 99; 7; 46; 81; 52; 54; 64; 42; 3; 67; 80; 76; 92; 89; 49; 25; 24; 50; 17; 82; 21; 27; 9; 98; 53; 94; 38; 85; 23; 44; 2; 79; 6; 65; 61; 73; 34; 40; 4; 75; 33; 83; 51; 8; 37; 22; 26; 16; 96; 56; 11; 35; 13; 78; 59; 12; 31; 39; 19; 87; 0; 55; 1; 47; 90; 60; 86; 14; 71; 18; 69; 74; 57; 91; 32; 15; 30; 72; 62; 77; 63; 84],[[5; 41]; [68; 29; 48]; [36; 95; 66]; [10; 45]; [20; 88; 43; 97]; [58; 70; 93; 28]; [99; 7; 46]; [81; 52; 54; 64]; [42; 3]; [67; 80; 76; 92; 89; 49]; [25; 24]; [50; 17; 82]; [21; 27]; [9; 98; 53; 94]; [38; 85; 23]; [44; 2]; [79; 6; 65]; [61; 73; 34]; [40; 4]; [75; 33; 83; 51]; [8; 37]; [22; 26]; [16; 96; 56]; [11; 35]; [13; 78; 59]; [12; 31]; [39; 19; 87]; [0; 55]; [1; 47]; [90; 60; 86; 14]; [71; 18; 69]; [74; 57; 91; 32]; [15; 30]; [72; 62; 77; 63; 84]],[15000; 15000; 10300; 14400; 15000; 15000; 14500; 15000; 15000; 15000; 14800; 15000; 14800; 15000; 14700; 15000; 15000; 13300; 15000; 15000; 15000; 15000; 13800; 15000; 15000; 15000; 15000; 14700; 15000; 15000; 15000; 14200; 15000; 14900],8700,8701,0.4436929225921631
71,34,0.9612679738562091,[51; 65; 84; 47; 97; 75; 63; 91; 61; 71; 74; 6; 96; 99; 52; 83; 27; 7; 38; 5; 40; 77; 67; 9; 54; 78; 21; 85; 1; 69; 53; 8; 90; 22; 26; 4; 39; 70; 82; 0; 19; 28; 88; 62; 93; 11; 34; 20; 17; 41; 2; 46; 14; 60; 79; 13; 37; 56; 58; 35; 44; 98; 36; 68; 33; 15; 55; 43; 50; 10; 48; 94; 59; 95; 32; 64; 42; 3; 81; 18; 49; 92; 57; 87; 80; 29; 66; 73; 16; 76; 25; 45; 24; 89; 30; 72; 86; 23; 12; 31],[[51; 65; 84; 47]; [97; 75; 63; 91; 61]; [71; 74; 6]; [96; 99; 52; 83; 27]; [7; 38]; [5; 40]; [77; 67; 9]; [54; 78; 21]; [85; 1; 69]; [53; 8; 90]; [22; 26]; [4; 39]; [70; 82; 0]; [19; 28]; [88; 62; 93; 11]; [34; 20]; [17; 41]; [2; 46]; [14; 60; 79]; [13; 37]; [56; 58; 35]; [44; 98; 36; 68]; [33; 15]; [55; 43; 50]; [10; 48; 94]; [59; 95; 32; 64]; [42; 3]; [81; 18; 49]; [92; 57; 87; 80; 29]; [66; 73; 16]; [76; 25; 45]; [24; 89; 30]; [72; 86; 23]; [12; 31]],[15000; 12000; 15000; 14000; 15000; 15000; 15000; 14800; 14600; 15000; 15000; 15000; 14900; 14900; 15000; 14200; 14100; 14900; 14900; 14400; 15000; 15000; 14800; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 11900; 15000],7100,7101,0.36765074729919434
53,34,0.9604758169934638,[1; 50; 77; 97; 11; 71; 19; 66; 72; 70; 10; 88; 91; 23; 26; 24; 93; 29; 17; 35; 49; 15; 18; 89; 69; 79; 48; 80; 95; 61; 25; 82; 75; 65; 43; 5; 6; 99; 40; 86; 63; 67; 51; 85; 46; 62; 42; 28; 21; 4; 41; 47; 96; 59; 78; 84; 98; 94; 92; 7; 52; 33; 74; 34; 53; 57; 39; 73; 22; 58; 8; 37; 60; 64; 54; 76; 12; 32; 13; 30; 56; 0; 2; 45; 55; 16; 3; 68; 81; 31; 14; 9; 38; 36; 20; 90; 44; 87; 83; 27],[[1; 50]; [77; 97; 11; 71]; [19; 66; 72]; [70; 10; 88; 91]; [23; 26]; [24; 93; 29]; [17; 35]; [49; 15]; [18; 89; 69; 79]; [48; 80; 95; 61]; [25; 82; 75; 65]; [43; 5]; [6; 99; 40]; [86; 63; 67; 51; 85]; [46; 62; 42]; [28; 21]; [4; 41]; [47; 96; 59; 78; 84; 98; 94]; [92; 7; 52]; [33; 74; 34]; [53; 57; 39]; [73; 22; 58]; [8; 37]; [60; 64; 54; 76]; [12; 32]; [13; 30]; [56; 0]; [2; 45]; [55; 16]; [3; 68; 81]; [31; 14]; [9; 38]; [36; 20; 90]; [44; 87; 83; 27]],[14800; 15000; 15000; 14400; 14800; 14800; 14600; 13600; 14900; 12000; 15000; 14800; 14900; 15000; 14800; 14600; 15000; 14600; 15000; 14900; 14900; 15000; 15000; 15000; 15000; 15000; 14600; 15000; 13200; 14700; 14900; 14900; 15000; 14700],5300,5301,0.3108839988708496
235,34,0.9635163398692809,[32; 78; 29; 5; 82; 95; 71; 48; 24; 75; 12; 31; 51; 49; 58; 93; 72; 66; 80; 86; 47; 13; 30; 36; 15; 9; 11; 63; 79; 33; 88; 25; 8; 56; 2; 44; 37; 87; 20; 74; 98; 62; 22; 23; 85; 35; 40; 4; 19; 99; 28; 96; 46; 68; 83; 60; 45; 52; 53; 43; 3; 41; 73; 61; 77; 0; 50; 18; 76; 59; 70; 21; 67; 81; 89; 65; 17; 27; 90; 26; 42; 69; 34; 14; 94; 39; 84; 57; 6; 55; 10; 54; 16; 92; 64; 97; 91; 1; 7; 38],[[32; 78; 29]; [5; 82; 95; 71]; [48; 24; 75]; [12; 31]; [51; 49; 58; 93]; [72; 66; 80; 86; 47]; [13; 30]; [36; 15]; [9]; [11; 63; 79]; [33; 88; 25]; [8; 56]; [2; 44]; [37; 87; 20]; [74; 98; 62; 22]; [23; 85; 35]; [40; 4]; [19; 99; 28]; [96; 46; 68; 83; 60]; [45; 52; 53]; [43; 3]; [41; 73; 61; 77]; [0; 50]; [18; 76; 59]; [70; 21; 67]; [81; 89; 65; 17]; [27; 90; 26]; [42; 69; 34]; [14; 94; 39]; [84; 57; 6]; [55; 10]; [54; 16; 92]; [64; 97; 91; 1]; [7; 38]],[14900; 15000; 15000; 15000; 15000; 15000; 15000; 14600; 9100; 15000; 14600; 13800; 15000; 14900; 14800; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 14900; 15000; 14900; 15000; 15000; 15000; 15000; 15000; 13800; 14100; 15000; 15000],23500,23501,1.4570086002349854
153,34,0.9636287581699347,[39; 10; 43; 99; 83; 20; 92; 17; 41; 7; 1; 55; 5; 40; 69; 23; 63; 27; 21; 59; 93; 82; 19; 35; 75; 77; 60; 78; 58; 13; 18; 33; 89; 49; 11; 52; 4; 95; 81; 36; 26; 38; 6; 8; 37; 30; 14; 34; 76; 80; 67; 94; 32; 47; 71; 25; 65; 64; 42; 3; 22; 79; 48; 45; 2; 12; 31; 90; 84; 56; 57; 66; 46; 86; 15; 29; 16; 28; 44; 97; 98; 50; 72; 54; 91; 88; 24; 85; 70; 73; 68; 74; 9; 96; 53; 87; 62; 61; 51; 0],[[39; 10]; [43; 99; 83; 20]; [92; 17; 41]; [7]; [1; 55]; [5; 40]; [69; 23; 63]; [27; 21]; [59; 93; 82; 19]; [35; 75; 77; 60]; [78; 58; 13]; [18; 33]; [89; 49; 11]; [52; 4; 95]; [81; 36; 26]; [38; 6]; [8; 37]; [30; 14]; [34; 76; 80; 67; 94]; [32; 47; 71]; [25; 65; 64]; [42; 3]; [22; 79; 48]; [45; 2]; [12; 31]; [90; 84; 56; 57; 66]; [46; 86; 15]; [29; 16]; [28; 44; 97; 98]; [50; 72; 54; 91; 88]; [24; 85; 70; 73]; [68; 74; 9]; [96; 53; 87; 62; 61]; [51; 0]],[14700; 15000; 15000; 9200; 14600; 15000; 15000; 14800; 15000; 15000; 15000; 14500; 15000; 15000; 14900; 15000; 15000; 15000; 15000; 14700; 14700; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 12700; 14700; 15000; 15000; 15000; 14900],15300,15301,0.777148962020874
236,34,0.9653464052287584,[81; 17; 53; 21; 4; 42; 86; 44; 16; 3; 52; 97; 89; 19; 54; 92; 57; 95; 96; 10; 49; 0; 6; 63; 22; 75; 55; 35; 56; 93; 76; 88; 26; 85; 39; 98; 2; 87; 61; 58; 48; 41; 23; 65; 64; 33; 15; 27; 28; 82; 1; 47; 20; 68; 99; 69; 90; 60; 62; 46; 70; 43; 32; 8; 37; 12; 31; 79; 13; 59; 51; 91; 7; 24; 71; 84; 73; 11; 45; 94; 67; 77; 9; 18; 29; 72; 74; 66; 38; 25; 34; 83; 5; 40; 30; 14; 80; 36; 78; 50],[[81; 17; 53]; [21]; [4; 42]; [86; 44; 16]; [3; 52; 97]; [89; 19; 54; 92]; [57; 95; 96; 10]; [49; 0]; [6; 63]; [22; 75; 55]; [35; 56; 93; 76; 88]; [26; 85; 39; 98]; [2; 87; 61]; [58; 48; 41]; [23; 65; 64]; [33; 15]; [27; 28; 82]; [1; 47]; [20; 68; 99; 69]; [90; 60; 62; 46]; [70; 43; 32]; [8; 37]; [12; 31]; [79; 13; 59]; [51; 91; 7]; [24; 71; 84; 73]; [11; 45; 94]; [67; 77; 9]; [18; 29]; [72; 74; 66; 38]; [25; 34; 83]; [5; 40]; [30; 14]; [80; 36; 78; 50]],[15000; 8000; 14800; 15000; 15000; 15000; 15000; 15000; 13200; 14900; 15000; 14400; 15000; 15000; 15000; 14800; 15000; 15000; 14900; 14600; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 14800; 15000; 15000; 15000; 15000; 15000],23600,23601,1.1810903549194336
70,34,0.9603372549019605,[73; 90; 57; 83; 49; 41; 4; 67; 48; 54; 94; 88; 5; 70; 86; 13; 71; 72; 7; 51; 16; 30; 53; 1; 76; 56; 20; 6; 38; 64; 84; 75; 23; 32; 12; 22; 26; 36; 66; 42; 28; 40; 89; 81; 33; 47; 65; 68; 44; 31; 2; 99; 59; 92; 34; 15; 96; 91; 63; 8; 27; 55; 69; 52; 0; 93; 50; 97; 98; 25; 10; 58; 82; 78; 37; 60; 11; 39; 3; 43; 24; 35; 62; 80; 17; 19; 45; 85; 21; 29; 87; 77; 95; 18; 74; 79; 61; 14; 9; 46],[[73; 90; 57; 83; 49]; [41; 4]; [67; 48; 54; 94]; [88; 5; 70; 86]; [13; 71; 72]; [7; 51]; [16; 30]; [53; 1]; [76; 56; 20]; [6; 38]; [64; 84; 75; 23]; [32; 12]; [22; 26]; [36; 66; 42]; [28; 40; 89; 81]; [33; 47; 65]; [68; 44; 31]; [2; 99; 59; 92]; [34; 15]; [96; 91; 63; 8]; [27; 55; 69]; [52; 0]; [93; 50; 97; 98; 25]; [10; 58; 82]; [78; 37; 60]; [11; 39]; [3; 43]; [24; 35]; [62; 80; 17]; [19; 45; 85]; [21; 29]; [87; 77; 95; 18; 74]; [79; 61; 14]; [9; 46]],[14900; 15000; 14200; 15000; 15000; 14100; 14900; 14700; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 14800; 14800; 14900; 14900; 13800; 15000; 12100; 14500; 15000; 13600; 14700; 14900; 14500; 14900; 14900; 14300],7000,7001,0.38033413887023926
124,34,0.9610640522875816,[82; 66; 91; 14; 78; 87; 93; 49; 36; 60; 19; 2; 69; 73; 8; 99; 40; 97; 89; 23; 79; 64; 85; 88; 83; 50; 98; 22; 26; 0; 51; 70; 7; 74; 1; 48; 15; 30; 3; 42; 6; 37; 25; 67; 77; 81; 68; 18; 71; 11; 35; 92; 16; 52; 95; 32; 55; 63; 54; 21; 90; 84; 80; 59; 24; 4; 39; 46; 96; 9; 47; 10; 72; 94; 28; 57; 5; 41; 44; 65; 53; 86; 20; 75; 56; 33; 13; 43; 45; 58; 76; 27; 38; 17; 29; 34; 61; 62; 31; 12],[[82; 66; 91; 14]; [78; 87; 93; 49; 36]; [60; 19]; [2; 69]; [73; 8; 99]; [40; 97; 89; 23]; [79; 64; 85; 88; 83; 50; 98]; [22; 26]; [0; 51]; [70; 7; 74]; [1; 48]; [15; 30]; [3; 42]; [6; 37]; [25; 67; 77; 81]; [68; 18; 71]; [11; 35]; [92; 16; 52; 95]; [32; 55; 63]; [54; 21; 90; 84]; [80; 59; 24]; [4; 39]; [46; 96; 9]; [47; 10]; [72; 94; 28; 57]; [5; 41]; [44; 65; 53; 86]; [20; 75; 56]; [33; 13]; [43; 45; 58]; [76; 27; 38]; [17; 29]; [34; 61; 62]; [31; 12]],[14700; 15000; 12500; 13100; 12200; 14800; 14900; 15000; 14900; 15000; 15000; 15000; 15000; 15000; 14900; 15000; 15000; 15000; 15000; 15000; 13800; 15000; 15000; 14200; 15000; 15000; 15000; 15000; 14800; 15000; 15000; 15000; 14600; 15000],12400,12401,0.6105661392211914
101,34,0.9634196078431371,[17; 51; 83; 99; 56; 61; 34; 25; 23; 53; 84; 11; 7; 38; 91; 93; 60; 10; 49; 22; 79; 1; 48; 52; 37; 58; 96; 6; 71; 81; 62; 87; 2; 14; 35; 9; 88; 55; 36; 20; 90; 82; 47; 21; 32; 95; 27; 86; 3; 42; 73; 59; 70; 94; 64; 15; 30; 46; 24; 77; 78; 65; 8; 29; 19; 44; 98; 89; 54; 67; 74; 45; 26; 31; 12; 39; 66; 5; 41; 76; 97; 28; 57; 4; 40; 50; 13; 75; 16; 63; 43; 68; 33; 80; 18; 69; 85; 0; 72; 92],[[17; 51; 83; 99]; [56; 61; 34]; [25; 23]; [53; 84; 11]; [7; 38]; [91; 93; 60; 10]; [49; 22; 79]; [1; 48]; [52; 37; 58]; [96; 6; 71; 81]; [62; 87; 2]; [14; 35]; [9; 88; 55]; [36; 20; 90]; [82; 47; 21]; [32; 95; 27; 86]; [3; 42]; [73; 59; 70; 94; 64]; [15; 30]; [46; 24; 77]; [78; 65; 8]; [29; 19]; [44; 98; 89; 54; 67]; [74; 45; 26]; [31; 12]; [39; 66]; [5; 41]; [76; 97; 28; 57]; [4; 40]; [50; 13]; [75; 16; 63]; [43; 68; 33]; [80; 18; 69; 85]; [0; 72; 92]],[15000; 15000; 14900; 15000; 15000; 15000; 14900; 15000; 15000; 14900; 15000; 14700; 14900; 15000; 14700; 15000; 15000; 15000; 15000; 15000; 15000; 14800; 15000; 15000; 15000; 9200; 15000; 14000; 15000; 13500; 14900; 15000; 15000; 14000],10100,10101,0.5450999736785889
116,34,0.9619581699346405,[10; 68; 74; 56; 34; 60; 51; 1; 94; 35; 26; 92; 20; 79; 52; 67; 83; 97; 5; 4; 41; 58; 98; 48; 45; 49; 96; 7; 33; 93; 21; 28; 55; 64; 82; 69; 0; 99; 31; 13; 43; 16; 87; 84; 63; 18; 36; 15; 47; 71; 57; 78; 9; 39; 25; 23; 75; 73; 2; 91; 8; 50; 76; 59; 19; 42; 3; 80; 61; 14; 53; 29; 65; 11; 70; 17; 40; 37; 85; 22; 32; 12; 27; 62; 6; 38; 72; 54; 86; 66; 77; 89; 88; 24; 44; 30; 95; 46; 90; 81],[[10; 68; 74]; [56; 34; 60]; [51; 1]; [94; 35; 26; 92]; [20; 79; 52]; [67; 83; 97; 5]; [4; 41]; [58; 98; 48; 45]; [49; 96; 7]; [33; 93; 21]; [28; 55; 64]; [82; 69; 0]; [99; 31; 13]; [43; 16; 87]; [84; 63; 18]; [36; 15]; [47; 71; 57; 78]; [9; 39]; [25; 23]; [75; 73; 2]; [91; 8; 50]; [76; 59; 19]; [42; 3]; [80; 61; 14]; [53; 29; 65]; [11; 70]; [17; 40]; [37; 85; 22]; [32; 12]; [27; 62]; [6; 38]; [72; 54; 86; 66; 77]; [89; 88; 24; 44]; [30; 95; 46; 90; 81]],[15000; 15000; 14800; 15000; 15000; 15000; 15000; 15000; 14900; 15000; 15000; 15000; 15000; 15000; 13600; 14600; 15000; 14700; 14900; 15000; 15000; 15000; 15000; 14800; 15000; 12200; 14100; 14900; 15000; 11000; 15000; 14900; 15000; 15000],11600,11601,0.6261167526245117
