Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
384,44,0.9656131313131314,[91; 33; 88; 61; 7; 24; 43; 92; 72; 51; 21; 47; 90; 89; 32; 67; 2; 31; 93; 86; 70; 52; 95; 35; 38; 37; 83; 94; 6; 65; 50; 19; 81; 34; 99; 39; 77; 96; 55; 13; 11; 56; 42; 29; 80; 27; 40; 36; 16; 98; 97; 48; 20; 62; 15; 17; 54; 66; 4; 28; 84; 25; 49; 76; 23; 69; 1; 22; 44; 57; 10; 41; 30; 78; 79; 64; 0; 68; 8; 60; 14; 75; 26; 46; 82; 45; 87; 59; 73; 85; 12; 63; 5; 74; 53; 18; 3; 71; 58; 9],[[91; 33; 88]; [61; 7]; [24; 43]; [92; 72; 51]; [21; 47]; [90; 89; 32]; [67; 2]; [31; 93; 86]; [70; 52; 95]; [35; 38]; [37; 83; 94]; [6; 65]; [50; 19]; [81; 34; 99]; [39; 77; 96]; [55; 13]; [11; 56]; [42; 29]; [80; 27]; [40; 36]; [16; 98; 97]; [48; 20]; [62; 15]; [17; 54]; [66; 4]; [28; 84]; [25; 49]; [76; 23]; [69; 1]; [22; 44]; [57; 10]; [41; 30]; [78; 79; 64]; [0; 68]; [8; 60]; [14; 75]; [26; 46]; [82; 45; 87]; [59; 73; 85]; [12; 63]; [5; 74]; [53; 18]; [3; 71]; [58; 9]],[14900; 14900; 15000; 14900; 15000; 15000; 15000; 15000; 14800; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 12500; 14800; 14900; 15000; 14400; 15000; 15000; 12100; 14600; 12800; 15000; 15000; 15000; 15000; 14800; 15000; 15000; 13600; 14900; 15000; 15000; 14500; 14600; 15000; 14900; 15000],38400,38401,2.0855183601379395
501,45,0.9360562962962964,[55; 12; 14; 76; 71; 2; 19; 50; 10; 59; 9; 57; 11; 56; 34; 32; 89; 90; 26; 46; 42; 29; 70; 99; 92; 88; 7; 60; 6; 74; 64; 4; 72; 86; 31; 95; 49; 83; 85; 97; 36; 81; 27; 43; 80; 37; 98; 24; 45; 5; 65; 82; 58; 75; 54; 17; 3; 73; 62; 8; 13; 63; 66; 94; 52; 53; 18; 67; 0; 22; 44; 20; 48; 23; 51; 28; 91; 41; 30; 78; 16; 40; 96; 77; 47; 21; 68; 61; 84; 79; 15; 39; 33; 35; 38; 1; 69; 25; 93; 87],[[55; 12]; [14; 76]; [71; 2]; [19; 50]; [10; 59]; [9; 57]; [11; 56]; [34]; [32; 89; 90]; [26; 46]; [42; 29]; [70; 99; 92; 88]; [7; 60]; [6; 74]; [64]; [4; 72]; [86; 31; 95]; [49; 83; 85]; [97; 36; 81]; [27; 43]; [80; 37; 98]; [24; 45]; [5; 65]; [82; 58; 75]; [54; 17]; [3; 73]; [62; 8]; [13; 63]; [66; 94; 52]; [53; 18]; [67; 0]; [22; 44]; [20; 48]; [23; 51]; [28; 91]; [41; 30]; [78; 16]; [40; 96; 77]; [47; 21]; [68; 61; 84]; [79; 15]; [39; 33]; [35; 38]; [1; 69]; [25; 93; 87]],[15000; 13600; 14900; 15000; 15000; 15000; 15000; 7700; 15000; 14900; 15000; 15000; 15000; 14600; 5400; 14800; 15000; 15000; 15000; 15000; 15000; 14900; 15000; 15000; 15000; 14900; 14800; 14500; 15000; 15000; 15000; 15000; 15000; 14600; 11400; 15000; 13500; 15000; 15000; 15000; 13500; 14900; 15000; 15000; 15000],50100,50101,2.6873555183410645
192,44,0.9656878787878789,[49; 91; 79; 27; 52; 13; 64; 80; 63; 76; 37; 94; 83; 66; 4; 67; 2; 21; 48; 30; 41; 53; 78; 87; 1; 69; 46; 24; 29; 42; 89; 23; 95; 18; 86; 0; 71; 45; 96; 73; 26; 43; 28; 90; 16; 62; 5; 72; 56; 11; 8; 60; 32; 40; 61; 7; 88; 20; 98; 15; 75; 12; 77; 58; 10; 93; 33; 85; 57; 84; 74; 19; 50; 81; 36; 97; 82; 99; 31; 51; 25; 6; 65; 68; 3; 55; 14; 44; 22; 17; 54; 9; 59; 38; 35; 39; 34; 70; 47; 92],[[49; 91; 79]; [27; 52]; [13; 64]; [80; 63; 76]; [37; 94; 83]; [66; 4]; [67; 2]; [21; 48]; [30; 41]; [53; 78; 87]; [1; 69]; [46; 24]; [29; 42]; [89; 23; 95]; [18; 86]; [0; 71]; [45; 96; 73]; [26; 43]; [28; 90]; [16; 62]; [5; 72]; [56; 11]; [8; 60]; [32; 40]; [61; 7]; [88; 20; 98]; [15; 75]; [12; 77]; [58; 10]; [93; 33; 85]; [57; 84; 74]; [19; 50]; [81; 36; 97]; [82; 99; 31]; [51; 25]; [6; 65]; [68; 3]; [55; 14]; [44; 22]; [17; 54]; [9; 59]; [38; 35]; [39; 34]; [70; 47; 92]],[14800; 14600; 14300; 14900; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 14900; 15000; 14900; 12600; 14900; 15000; 15000; 11500; 14400; 14700; 15000; 15000; 14900; 14900; 15000; 13600; 13600; 15000; 15000; 15000; 15000; 15000; 15000; 14600; 15000; 15000; 14900; 15000; 15000; 15000; 15000; 14900; 15000],19200,19201,1.016261339187622
425,44,0.9681949494949493,[60; 8; 4; 66; 27; 44; 25; 46; 67; 3; 90; 91; 28; 12; 31; 93; 86; 53; 18; 29; 50; 65; 5; 40; 36; 20; 48; 70; 71; 73; 98; 37; 80; 88; 79; 51; 38; 35; 42; 77; 94; 17; 54; 62; 15; 43; 24; 55; 13; 76; 6; 0; 68; 41; 32; 75; 81; 57; 19; 49; 7; 61; 9; 59; 1; 72; 83; 33; 99; 63; 16; 52; 85; 82; 64; 78; 74; 23; 87; 95; 56; 11; 97; 34; 84; 47; 21; 2; 69; 22; 45; 14; 96; 10; 58; 30; 39; 92; 89; 26],[[60; 8]; [4; 66]; [27; 44]; [25; 46]; [67; 3]; [90; 91; 28]; [12]; [31; 93; 86]; [53; 18]; [29; 50]; [65; 5]; [40; 36]; [20; 48]; [70; 71; 73]; [98; 37; 80]; [88; 79; 51]; [38; 35]; [42; 77; 94]; [17; 54]; [62; 15]; [43; 24]; [55; 13]; [76; 6]; [0; 68]; [41; 32]; [75; 81; 57]; [19; 49]; [7; 61]; [9; 59]; [1; 72]; [83; 33; 99]; [63; 16]; [52; 85; 82]; [64; 78; 74]; [23; 87; 95]; [56; 11]; [97; 34; 84]; [47; 21]; [2; 69]; [22; 45]; [14; 96]; [10; 58]; [30; 39]; [92; 89; 26]],[15000; 15000; 14900; 14900; 15000; 15000; 8900; 15000; 15000; 14500; 15000; 14800; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 14400; 15000; 15000; 14500; 15000; 14900; 15000; 15000; 14900; 15000; 14900; 15000; 14400; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 11900; 15000; 15000; 15000],42500,42501,2.2979886531829834
501,45,0.9358488888888891,[90; 34; 89; 15; 76; 8; 60; 58; 9; 38; 36; 22; 45; 49; 19; 69; 3; 10; 57; 81; 84; 53; 32; 52; 7; 61; 28; 50; 78; 16; 74; 80; 62; 39; 91; 82; 95; 18; 97; 99; 75; 41; 0; 71; 59; 85; 72; 86; 94; 33; 20; 47; 77; 14; 6; 65; 64; 5; 70; 29; 42; 93; 87; 26; 40; 30; 13; 63; 46; 96; 73; 23; 43; 25; 51; 68; 1; 66; 4; 56; 11; 92; 27; 88; 12; 55; 98; 31; 83; 44; 24; 17; 54; 37; 21; 48; 2; 67; 79; 35],[[90; 34; 89]; [15; 76]; [8; 60]; [58; 9]; [38; 36]; [22; 45]; [49; 19]; [69; 3]; [10; 57]; [81; 84; 53]; [32; 52]; [7; 61]; [28; 50]; [78; 16]; [74; 80; 62]; [39; 91; 82]; [95; 18; 97]; [99; 75; 41]; [0; 71]; [59; 85; 72]; [86; 94; 33]; [20; 47]; [77; 14]; [6; 65]; [64]; [5; 70]; [29; 42]; [93; 87; 26]; [40; 30]; [13; 63]; [46; 96; 73]; [23; 43]; [25; 51]; [68; 1]; [66; 4]; [56; 11]; [92; 27; 88]; [12; 55]; [98; 31; 83]; [44; 24]; [17; 54]; [37]; [21; 48]; [2; 67]; [79; 35]],[15000; 13600; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 14300; 14900; 14500; 13500; 15000; 15000; 14800; 15000; 14900; 15000; 15000; 15000; 13500; 15000; 5400; 14700; 15000; 15000; 15000; 14500; 15000; 15000; 14600; 15000; 15000; 15000; 15000; 15000; 15000; 14900; 15000; 7500; 15000; 15000; 12300],50100,50101,2.689486503601074
501,45,0.9360681481481481,[2; 71; 83; 32; 27; 43; 92; 26; 88; 24; 45; 57; 9; 62; 0; 67; 21; 48; 86; 72; 58; 5; 65; 11; 56; 91; 50; 74; 37; 99; 80; 69; 1; 4; 66; 68; 3; 30; 39; 6; 73; 77; 13; 8; 60; 49; 25; 84; 90; 41; 51; 19; 18; 53; 82; 70; 61; 22; 44; 52; 89; 79; 54; 17; 85; 33; 94; 64; 76; 75; 40; 34; 46; 29; 28; 42; 93; 87; 23; 36; 31; 81; 96; 97; 15; 47; 20; 10; 59; 38; 35; 78; 14; 63; 7; 12; 55; 95; 16; 98],[[2; 71]; [83; 32]; [27; 43]; [92; 26; 88]; [24; 45]; [57; 9]; [62]; [0; 67]; [21; 48]; [86; 72; 58]; [5; 65]; [11; 56]; [91; 50; 74]; [37; 99; 80]; [69; 1]; [4; 66]; [68; 3]; [30; 39]; [6; 73]; [77; 13]; [8; 60]; [49; 25]; [84; 90; 41]; [51; 19]; [18; 53]; [82; 70; 61]; [22; 44]; [52; 89; 79]; [54; 17]; [85; 33; 94]; [64; 76; 75]; [40; 34]; [46; 29]; [28; 42]; [93; 87; 23]; [36]; [31; 81]; [96; 97; 15]; [47; 20]; [10; 59]; [38; 35]; [78; 14]; [63; 7]; [12; 55]; [95; 16; 98]],[14900; 12000; 15000; 15000; 14900; 15000; 5600; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 14700; 13600; 15000; 14600; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 14900; 14800; 15000; 15000; 7600; 12000; 15000; 15000; 15000; 15000; 13500; 14800; 15000; 15000],50100,50101,2.561521291732788
501,45,0.9374508641975312,[38; 35; 3; 68; 23; 50; 78; 16; 60; 8; 15; 96; 97; 36; 92; 85; 11; 56; 94; 81; 37; 74; 84; 59; 57; 9; 33; 40; 30; 39; 18; 53; 48; 21; 55; 13; 83; 98; 32; 70; 72; 73; 22; 45; 6; 65; 29; 42; 82; 49; 86; 34; 19; 52; 2; 67; 1; 69; 5; 79; 66; 4; 28; 91; 90; 88; 77; 51; 63; 14; 58; 10; 17; 93; 95; 20; 47; 43; 27; 61; 7; 46; 26; 54; 0; 71; 44; 24; 89; 99; 80; 87; 25; 31; 41; 76; 64; 75; 62; 12],[[38; 35]; [3; 68]; [23; 50]; [78; 16]; [60; 8]; [15; 96; 97]; [36; 92; 85]; [11; 56]; [94; 81; 37]; [74; 84; 59]; [57; 9]; [33; 40]; [30; 39]; [18; 53]; [48; 21]; [55; 13]; [83; 98; 32]; [70; 72; 73]; [22; 45]; [6; 65]; [29; 42]; [82; 49; 86]; [34]; [19; 52]; [2; 67]; [1; 69]; [5; 79]; [66; 4]; [28; 91; 90]; [88; 77; 51]; [63; 14]; [58; 10]; [17; 93; 95]; [20; 47]; [43; 27]; [61; 7]; [46; 26]; [54]; [0; 71]; [44; 24]; [89; 99; 80; 87]; [25]; [31; 41]; [76; 64; 75]; [62; 12]],[15000; 15000; 14600; 13500; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 14900; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 7700; 15000; 15000; 15000; 14400; 15000; 15000; 15000; 14400; 15000; 15000; 15000; 15000; 14900; 14900; 6400; 14900; 14900; 15000; 8000; 14900; 15000; 14500],50100,50101,2.6704790592193604
352,44,0.9652999999999999,[81; 15; 86; 40; 89; 83; 33; 99; 43; 27; 1; 70; 16; 72; 71; 5; 76; 36; 20; 96; 90; 61; 7; 35; 73; 28; 49; 60; 8; 38; 91; 85; 0; 69; 26; 44; 67; 3; 17; 54; 10; 58; 46; 97; 75; 62; 78; 79; 37; 80; 98; 6; 65; 32; 52; 21; 47; 68; 2; 29; 42; 66; 4; 30; 39; 11; 56; 31; 50; 41; 34; 63; 14; 18; 53; 19; 51; 95; 88; 22; 9; 57; 13; 59; 12; 55; 24; 87; 93; 45; 23; 82; 92; 84; 94; 48; 25; 64; 77; 74],[[81; 15]; [86; 40; 89]; [83; 33; 99]; [43; 27]; [1; 70]; [16; 72]; [71; 5]; [76; 36]; [20; 96; 90]; [61; 7]; [35; 73]; [28; 49]; [60; 8]; [38; 91; 85]; [0; 69]; [26; 44]; [67; 3]; [17; 54]; [10; 58]; [46; 97; 75]; [62; 78; 79]; [37; 80; 98]; [6; 65]; [32; 52]; [21; 47]; [68; 2]; [29; 42]; [66; 4]; [30; 39]; [11; 56]; [31; 50]; [41; 34]; [63; 14]; [18; 53]; [19; 51]; [95; 88; 22]; [9; 57]; [13; 59]; [12; 55]; [24; 87; 93]; [45; 23]; [82; 92; 84; 94]; [48; 25]; [64; 77; 74]],[13100; 15000; 15000; 15000; 14900; 13800; 14700; 12400; 15000; 14900; 12600; 14500; 15000; 15000; 15000; 14900; 15000; 15000; 15000; 14800; 15000; 15000; 15000; 14300; 15000; 15000; 15000; 15000; 15000; 15000; 14300; 14900; 14400; 15000; 15000; 15000; 15000; 14800; 15000; 15000; 14900; 15000; 14700; 15000],35200,35201,1.868520975112915
501,45,0.9334587654320988,[17; 54; 93; 89; 26; 0; 68; 24; 44; 32; 84; 80; 29; 42; 28; 63; 16; 81; 61; 70; 2; 73; 95; 14; 99; 72; 74; 69; 5; 65; 96; 90; 20; 48; 21; 52; 23; 35; 38; 1; 71; 59; 9; 43; 25; 36; 6; 77; 19; 51; 58; 13; 62; 8; 47; 75; 91; 7; 60; 46; 22; 86; 34; 11; 56; 37; 31; 83; 98; 64; 15; 45; 92; 76; 67; 3; 97; 78; 40; 53; 18; 87; 94; 27; 30; 39; 88; 49; 79; 10; 57; 12; 55; 41; 33; 85; 82; 50; 66; 4],[[17; 54]; [93; 89; 26]; [0; 68]; [24; 44]; [32; 84]; [80; 29]; [42; 28]; [63; 16]; [81; 61; 70]; [2; 73]; [95; 14; 99]; [72; 74; 69]; [5; 65]; [96; 90; 20]; [48; 21]; [52; 23]; [35; 38]; [1; 71]; [59; 9]; [43; 25]; [36]; [6; 77]; [19; 51]; [58; 13]; [62; 8]; [47; 75; 91]; [7; 60]; [46; 22]; [86; 34]; [11; 56]; [37]; [31; 83; 98]; [64; 15]; [45; 92; 76]; [67; 3]; [97; 78; 40]; [53; 18]; [87; 94; 27]; [30; 39]; [88; 49; 79]; [10; 57]; [12; 55]; [41; 33]; [85; 82; 50]; [66; 4]],[15000; 14900; 15000; 14900; 11900; 12400; 15000; 14400; 15000; 14900; 15000; 15000; 15000; 15000; 15000; 14600; 15000; 14900; 15000; 15000; 7600; 14400; 15000; 14800; 14800; 15000; 15000; 15000; 11800; 15000; 7500; 15000; 14200; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 14900; 15000; 15000],50100,50101,2.732081651687622
98,44,0.9649868686868687,[30; 39; 69; 83; 63; 16; 79; 13; 55; 48; 21; 7; 60; 45; 22; 93; 94; 74; 88; 14; 57; 56; 27; 44; 35; 12; 59; 23; 43; 62; 9; 78; 11; 32; 41; 0; 67; 66; 4; 29; 42; 20; 52; 15; 77; 26; 84; 31; 40; 47; 34; 36; 38; 5; 72; 54; 17; 76; 75; 64; 70; 2; 58; 10; 91; 89; 86; 90; 25; 46; 49; 19; 3; 68; 51; 96; 65; 37; 97; 85; 33; 82; 98; 50; 24; 71; 1; 99; 81; 95; 80; 61; 8; 53; 18; 6; 73; 92; 28; 87],[[30; 39]; [69; 83; 63]; [16; 79]; [13; 55]; [48; 21]; [7; 60]; [45; 22]; [93; 94; 74; 88]; [14; 57]; [56; 27]; [44; 35]; [12; 59]; [23; 43]; [62; 9]; [78; 11]; [32; 41]; [0; 67]; [66; 4]; [29; 42]; [20; 52]; [15; 77]; [26; 84]; [31; 40]; [47; 34]; [36; 38]; [5; 72]; [54; 17]; [76; 75; 64]; [70; 2]; [58; 10]; [91; 89; 86; 90]; [25; 46]; [49; 19]; [3; 68]; [51; 96; 65]; [37; 97; 85]; [33; 82; 98]; [50; 24]; [71; 1]; [99; 81; 95; 80]; [61; 8]; [53; 18]; [6; 73]; [92; 28; 87]],[15000; 15000; 13500; 15000; 15000; 15000; 15000; 15000; 14700; 14000; 14500; 14800; 15000; 14700; 13700; 14900; 15000; 15000; 15000; 14900; 13500; 12200; 14900; 14400; 15000; 14700; 15000; 15000; 14900; 15000; 14900; 14900; 15000; 15000; 15000; 14700; 15000; 14600; 14900; 15000; 14900; 15000; 14700; 15000],9800,9801,0.5155601501464844
