Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
1,15,0.878817333333333,[94; 35; 47; 44; 70; 78; 92; 36; 10; 16; 27; 75; 9; 4; 6; 50; 23; 76; 63; 90; 17; 60; 25; 71; 55; 37; 62; 98; 53; 15; 88; 84; 81; 97; 52; 66; 11; 83; 1; 82; 22; 72; 56; 80; 5; 34; 26; 38; 49; 14; 20; 42; 89; 31; 32; 64; 12; 46; 68; 33; 99; 65; 13; 18; 79; 21; 95; 61; 3; 54; 67; 48; 24; 51; 58; 93; 29; 74; 30; 86; 91; 2; 40; 59; 41; 85; 45; 7; 43; 96; 69; 73; 39; 8; 77; 0; 19; 87; 57; 28],[[94; 35; 47; 44; 70; 78; 92]; [36; 10; 16; 27; 75; 9]; [4; 6; 50; 23; 76; 63; 90]; [17; 60; 25; 71; 55; 37; 62]; [98; 53; 15; 88; 84; 81; 97]; [52; 66; 11; 83; 1; 82]; [22; 72; 56; 80; 5; 34]; [26; 38; 49; 14; 20; 42]; [89; 31; 32; 64; 12; 46; 68]; [33; 99; 65; 13; 18; 79; 21]; [95; 61; 3; 54; 67; 48; 24]; [51; 58; 93; 29; 74; 30; 86]; [91; 2; 40; 59; 41; 85; 45]; [7; 43; 96; 69; 73; 39; 8]; [77; 0; 19; 87; 57; 28]],[91700; 91600; 100000; 99400; 88900; 84400; 85800; 90300; 98500; 99800; 97800; 94000; 97000; 99000; 85600],100,101,0.0
1,15,0.8781731999999999,[24; 49; 46; 13; 69; 18; 36; 74; 4; 92; 8; 73; 75; 63; 31; 89; 57; 9; 66; 85; 78; 90; 42; 95; 93; 54; 44; 32; 53; 45; 83; 27; 86; 62; 56; 12; 97; 37; 58; 82; 47; 10; 21; 87; 30; 94; 80; 2; 68; 16; 11; 52; 41; 64; 99; 71; 38; 96; 7; 33; 65; 50; 29; 26; 81; 91; 25; 3; 23; 88; 48; 67; 39; 19; 20; 34; 1; 43; 55; 70; 15; 28; 35; 40; 84; 59; 76; 5; 98; 79; 17; 77; 72; 22; 60; 6; 14; 0; 61; 51],[[24; 49; 46; 13; 69; 18]; [36; 74; 4; 92; 8; 73; 75]; [63; 31; 89; 57; 9; 66; 85]; [78; 90; 42; 95; 93; 54; 44]; [32; 53; 45; 83; 27; 86; 62]; [56; 12; 97; 37; 58; 82; 47]; [10; 21; 87; 30; 94; 80; 2]; [68; 16; 11; 52; 41; 64; 99]; [71; 38; 96; 7; 33; 65; 50]; [29; 26; 81; 91; 25; 3]; [23; 88; 48; 67; 39; 19]; [20; 34; 1; 43; 55; 70]; [15; 28; 35; 40; 84; 59; 76]; [5; 98; 79; 17; 77; 72; 22]; [60; 6; 14; 0; 61; 51]],[88600; 97200; 95200; 89700; 95800; 96400; 99500; 98500; 97800; 86400; 84900; 88300; 98500; 97000; 90000],100,101,0.0
1,15,0.8784397333333335,[64; 22; 89; 21; 25; 83; 16; 38; 10; 35; 75; 76; 40; 50; 79; 42; 82; 93; 18; 9; 20; 61; 17; 26; 95; 11; 81; 27; 66; 2; 65; 28; 62; 41; 0; 46; 19; 60; 97; 53; 67; 24; 51; 4; 29; 15; 1; 57; 49; 7; 12; 71; 43; 45; 48; 13; 84; 14; 86; 69; 30; 34; 96; 59; 87; 85; 94; 8; 56; 72; 63; 54; 88; 80; 73; 91; 6; 55; 32; 36; 47; 39; 23; 77; 52; 58; 98; 99; 92; 68; 3; 74; 5; 44; 37; 90; 31; 33; 78; 70],[[64; 22; 89; 21; 25; 83; 16]; [38; 10; 35; 75; 76; 40; 50]; [79; 42; 82; 93; 18; 9; 20]; [61; 17; 26; 95; 11; 81]; [27; 66; 2; 65; 28; 62]; [41; 0; 46; 19; 60; 97]; [53; 67; 24; 51; 4; 29]; [15; 1; 57; 49; 7; 12]; [71; 43; 45; 48; 13; 84; 14]; [86; 69; 30; 34; 96; 59; 87]; [85; 94; 8; 56; 72; 63; 54]; [88; 80; 73; 91; 6; 55; 32]; [36; 47; 39; 23; 77; 52; 58]; [98; 99; 92; 68; 3; 74; 5]; [44; 37; 90; 31; 33; 78; 70]],[99700; 99500; 98600; 84800; 86700; 86200; 88000; 93100; 99500; 91800; 93500; 93600; 99600; 93100; 96100],100,101,0.015595674514770508
1,15,0.8781618666666666,[68; 10; 50; 24; 56; 33; 77; 20; 31; 40; 69; 87; 32; 71; 19; 21; 55; 54; 9; 67; 18; 99; 6; 16; 7; 90; 79; 72; 94; 82; 98; 57; 23; 49; 76; 44; 84; 91; 64; 5; 51; 17; 47; 22; 11; 96; 89; 0; 29; 92; 12; 43; 27; 60; 74; 86; 97; 28; 46; 53; 83; 45; 39; 13; 26; 70; 52; 63; 95; 8; 81; 78; 85; 1; 48; 35; 30; 42; 93; 4; 65; 66; 58; 41; 73; 62; 37; 59; 36; 75; 25; 2; 34; 14; 38; 3; 61; 15; 88; 80],[[68; 10; 50; 24; 56; 33; 77]; [20; 31; 40; 69; 87; 32; 71]; [19; 21; 55; 54; 9; 67]; [18; 99; 6; 16; 7; 90]; [79; 72; 94; 82; 98; 57; 23]; [49; 76; 44; 84; 91; 64; 5]; [51; 17; 47; 22; 11; 96; 89]; [0; 29; 92; 12; 43; 27]; [60; 74; 86; 97; 28; 46; 53]; [83; 45; 39; 13; 26; 70; 52]; [63; 95; 8; 81; 78; 85; 1]; [48; 35; 30; 42; 93; 4; 65]; [66; 58; 41; 73; 62; 37; 59]; [36; 75; 25; 2; 34; 14]; [38; 3; 61; 15; 88; 80]],[99900; 97900; 88400; 88100; 89600; 94000; 99600; 89400; 92700; 99100; 94400; 99900; 95500; 90500; 84800],100,101,0.0
1,15,0.8783671999999999,[26; 94; 80; 89; 61; 23; 8; 92; 22; 77; 21; 84; 36; 24; 35; 98; 28; 2; 14; 62; 73; 55; 48; 76; 6; 33; 70; 57; 41; 64; 17; 47; 65; 46; 19; 38; 85; 20; 66; 87; 1; 31; 54; 15; 68; 10; 82; 69; 5; 27; 4; 56; 49; 13; 71; 44; 40; 18; 42; 53; 29; 11; 43; 72; 0; 59; 78; 3; 52; 97; 74; 51; 81; 75; 7; 90; 60; 63; 9; 88; 95; 83; 86; 93; 16; 96; 39; 99; 67; 58; 50; 34; 30; 32; 45; 25; 37; 12; 79; 91],[[26; 94; 80; 89; 61; 23; 8]; [92; 22; 77; 21; 84; 36; 24]; [35; 98; 28; 2; 14; 62]; [73; 55; 48; 76; 6; 33; 70]; [57; 41; 64; 17; 47; 65; 46]; [19; 38; 85; 20; 66; 87; 1]; [31; 54; 15; 68; 10; 82; 69]; [5; 27; 4; 56; 49; 13]; [71; 44; 40; 18; 42; 53]; [29; 11; 43; 72; 0; 59]; [78; 3; 52; 97; 74; 51; 81]; [75; 7; 90; 60; 63; 9; 88]; [95; 83; 86; 93; 16; 96; 39]; [99; 67; 58; 50; 34; 30; 32]; [45; 25; 37; 12; 79; 91]],[96300; 97800; 87600; 96900; 99200; 100000; 99300; 92100; 85700; 88900; 93100; 95600; 89200; 97300; 84800],100,101,0.01988530158996582
1,15,0.8788277333333332,[16; 66; 53; 28; 93; 60; 8; 27; 34; 81; 12; 51; 55; 52; 46; 78; 75; 63; 3; 41; 1; 86; 9; 98; 49; 54; 76; 7; 21; 85; 58; 84; 15; 31; 14; 22; 99; 79; 40; 26; 6; 48; 29; 89; 39; 96; 62; 43; 95; 18; 67; 65; 30; 19; 11; 92; 38; 56; 72; 2; 47; 69; 50; 24; 4; 70; 23; 20; 97; 33; 90; 17; 45; 57; 74; 94; 77; 13; 0; 59; 73; 44; 42; 64; 80; 91; 68; 35; 71; 10; 37; 88; 36; 25; 83; 32; 82; 87; 61; 5],[[16; 66; 53; 28; 93; 60; 8]; [27; 34; 81; 12; 51; 55]; [52; 46; 78; 75; 63; 3; 41]; [1; 86; 9; 98; 49; 54; 76]; [7; 21; 85; 58; 84; 15]; [31; 14; 22; 99; 79; 40]; [26; 6; 48; 29; 89; 39; 96]; [62; 43; 95; 18; 67; 65; 30]; [19; 11; 92; 38; 56; 72]; [2; 47; 69; 50; 24; 4]; [70; 23; 20; 97; 33; 90; 17]; [45; 57; 74; 94; 77; 13; 0]; [59; 73; 44; 42; 64; 80; 91]; [68; 35; 71; 10; 37; 88; 36]; [25; 83; 32; 82; 87; 61; 5]],[99700; 86400; 97500; 96700; 85700; 85100; 98900; 96400; 85000; 89700; 98500; 97100; 91900; 98700; 96500],100,101,0.015680551528930664
1,15,0.8779543999999999,[70; 24; 47; 32; 86; 60; 12; 4; 2; 39; 41; 22; 49; 7; 97; 66; 40; 28; 23; 52; 48; 96; 25; 68; 58; 37; 29; 61; 15; 16; 0; 54; 93; 62; 95; 34; 3; 36; 14; 20; 43; 80; 87; 94; 76; 91; 81; 33; 73; 38; 65; 10; 5; 8; 88; 21; 1; 55; 31; 85; 69; 9; 64; 72; 56; 18; 30; 53; 71; 79; 45; 74; 83; 82; 17; 11; 78; 98; 13; 67; 92; 59; 84; 26; 75; 90; 77; 6; 27; 44; 63; 19; 89; 51; 46; 42; 50; 35; 57; 99],[[70; 24; 47; 32; 86; 60; 12]; [4; 2; 39; 41; 22; 49]; [7; 97; 66; 40; 28; 23]; [52; 48; 96; 25; 68; 58; 37]; [29; 61; 15; 16; 0; 54]; [93; 62; 95; 34; 3; 36; 14]; [20; 43; 80; 87; 94; 76; 91]; [81; 33; 73; 38; 65; 10]; [5; 8; 88; 21; 1; 55]; [31; 85; 69; 9; 64; 72; 56]; [18; 30; 53; 71; 79; 45; 74]; [83; 82; 17; 11; 78; 98; 13]; [67; 92; 59; 84; 26; 75; 90]; [77; 6; 27; 44; 63; 19; 89]; [51; 46; 42; 50; 35; 57; 99]],[99100; 92000; 86500; 96300; 91200; 99000; 89800; 84300; 90900; 95800; 96800; 96500; 89500; 99200; 96900],100,101,0.0
1,15,0.8809143999999999,[17; 81; 84; 4; 26; 54; 53; 28; 74; 95; 18; 24; 8; 73; 70; 78; 15; 96; 76; 0; 87; 90; 92; 3; 50; 97; 25; 40; 49; 68; 47; 36; 35; 58; 31; 93; 39; 12; 85; 86; 67; 91; 2; 19; 69; 41; 89; 77; 72; 45; 6; 29; 5; 16; 59; 46; 42; 52; 79; 75; 55; 21; 62; 64; 60; 14; 11; 37; 44; 98; 88; 20; 80; 9; 51; 32; 33; 10; 57; 43; 34; 94; 23; 27; 65; 61; 1; 83; 66; 99; 7; 13; 82; 56; 38; 71; 30; 48; 63; 22],[[17; 81; 84; 4; 26; 54; 53]; [28; 74; 95; 18; 24; 8; 73]; [70; 78; 15; 96; 76; 0; 87]; [90; 92; 3; 50; 97; 25; 40]; [49; 68; 47; 36; 35; 58; 31]; [93; 39; 12; 85; 86; 67; 91]; [2; 19; 69; 41; 89; 77; 72]; [45; 6; 29; 5; 16; 59]; [46; 42; 52; 79; 75; 55; 21]; [62; 64; 60; 14; 11; 37]; [44; 98; 88; 20; 80; 9; 51]; [32; 33; 10; 57; 43; 34]; [94; 23; 27; 65; 61; 1; 83]; [66; 99; 7; 13; 82; 56; 38]; [71; 30; 48; 63; 22]],[99800; 99700; 93400; 95300; 99900; 90900; 96400; 92000; 96900; 87200; 96000; 89700; 97800; 97900; 70900],100,101,0.0
8,15,0.8792690666666668,[91; 73; 8; 31; 44; 48; 6; 86; 36; 50; 24; 82; 54; 45; 52; 1; 88; 12; 92; 29; 94; 89; 41; 80; 62; 74; 84; 77; 23; 68; 72; 96; 13; 53; 63; 5; 69; 57; 0; 42; 60; 26; 47; 7; 79; 46; 40; 28; 70; 65; 56; 27; 9; 66; 85; 30; 19; 18; 81; 58; 61; 15; 59; 37; 78; 98; 3; 49; 25; 95; 17; 2; 64; 71; 20; 39; 38; 97; 90; 14; 67; 32; 87; 16; 10; 4; 51; 43; 76; 83; 34; 22; 99; 55; 33; 21; 75; 11; 35; 93],[[91; 73; 8; 31; 44; 48]; [6; 86; 36; 50; 24; 82; 54]; [45; 52; 1; 88; 12; 92; 29]; [94; 89; 41; 80; 62; 74; 84; 77]; [23; 68; 72; 96; 13; 53; 63]; [5; 69; 57; 0; 42; 60]; [26; 47; 7; 79; 46; 40]; [28; 70; 65; 56; 27; 9; 66]; [85; 30; 19; 18; 81; 58; 61]; [15; 59; 37; 78; 98; 3; 49]; [25; 95; 17; 2; 64; 71]; [20; 39; 38; 97; 90; 14; 67]; [32; 87; 16; 10; 4; 51]; [43; 76; 83; 34; 22; 99; 55]; [33; 21; 75; 11; 35; 93]],[84200; 99000; 99800; 100000; 96100; 87500; 87200; 99600; 98000; 98800; 85400; 97400; 89900; 94600; 86300],800,801,0.03127312660217285
1,15,0.8858824000000001,[76; 96; 70; 81; 23; 78; 60; 46; 51; 26; 85; 56; 62; 33; 32; 36; 45; 27; 82; 53; 90; 8; 93; 69; 88; 22; 28; 9; 86; 89; 91; 4; 38; 61; 54; 84; 37; 25; 5; 79; 71; 24; 11; 12; 13; 87; 66; 95; 59; 41; 19; 30; 75; 21; 14; 49; 6; 29; 80; 52; 43; 94; 18; 48; 0; 58; 98; 42; 57; 65; 39; 31; 64; 3; 55; 17; 92; 1; 67; 74; 15; 99; 10; 83; 40; 7; 97; 50; 73; 35; 72; 63; 20; 34; 68; 44; 47; 77; 2; 16],[[76; 96; 70; 81; 23; 78; 60]; [46; 51; 26; 85; 56; 62; 33]; [32; 36; 45; 27; 82; 53; 90]; [8; 93; 69; 88; 22; 28; 9]; [86; 89; 91; 4; 38; 61; 54]; [84; 37; 25; 5; 79; 71; 24]; [11; 12; 13; 87; 66; 95; 59]; [41; 19; 30; 75; 21; 14]; [49; 6; 29; 80; 52; 43; 94]; [18; 48; 0; 58; 98; 42; 57]; [65; 39; 31; 64; 3; 55]; [17; 92; 1; 67; 74; 15; 99]; [10; 83; 40; 7; 97; 50; 73]; [35; 72; 63; 20; 34; 68; 44]; [47; 77; 2; 16]],[90100; 97600; 97500; 100000; 93900; 99300; 98700; 89700; 97800; 99800; 86500; 97200; 97500; 99000; 59200],100,101,0.0
