Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
1,12,0.8907761666666666,[53; 69; 67; 7; 88; 85; 10; 94; 28; 19; 35; 55; 51; 72; 27; 14; 49; 97; 13; 44; 3; 46; 76; 11; 26; 29; 8; 68; 58; 78; 98; 95; 12; 17; 96; 42; 48; 38; 50; 66; 86; 64; 2; 57; 30; 0; 60; 91; 71; 93; 16; 54; 33; 75; 92; 32; 83; 99; 43; 63; 47; 24; 34; 25; 4; 79; 22; 18; 20; 40; 9; 6; 45; 15; 21; 61; 89; 74; 31; 80; 36; 59; 82; 23; 70; 37; 41; 39; 90; 62; 77; 52; 73; 56; 5; 87; 81; 84; 65; 1],[[53; 69; 67; 7; 88; 85; 10; 94; 28]; [19; 35; 55; 51; 72; 27; 14; 49]; [97; 13; 44; 3; 46; 76; 11; 26]; [29; 8; 68; 58; 78; 98; 95; 12]; [17; 96; 42; 48; 38; 50; 66; 86; 64]; [2; 57; 30; 0; 60; 91; 71; 93]; [16; 54; 33; 75; 92; 32; 83; 99; 43]; [63; 47; 24; 34; 25; 4; 79; 22]; [18; 20; 40; 9; 6; 45; 15; 21]; [61; 89; 74; 31; 80; 36; 59; 82; 23]; [70; 37; 41; 39; 90; 62; 77; 52; 73]; [56; 5; 87; 81; 84; 65; 1]],[99400; 93500; 93100; 88000; 99500; 89800; 98200; 94000; 99100; 98800; 98500; 78300],100,101,0.015618324279785156
1,12,0.8887835000000001,[51; 26; 55; 2; 98; 70; 49; 30; 93; 31; 78; 88; 81; 61; 69; 33; 73; 4; 50; 14; 63; 48; 23; 95; 25; 92; 62; 40; 86; 9; 24; 64; 68; 96; 7; 5; 18; 54; 15; 45; 22; 74; 91; 56; 27; 99; 44; 8; 72; 38; 21; 90; 65; 0; 47; 35; 76; 84; 59; 16; 3; 28; 42; 36; 37; 41; 83; 82; 66; 10; 57; 32; 89; 87; 58; 46; 6; 34; 60; 53; 97; 20; 71; 1; 94; 12; 17; 67; 11; 13; 85; 39; 77; 75; 80; 43; 29; 52; 19; 79],[[51; 26; 55; 2; 98; 70; 49; 30; 93]; [31; 78; 88; 81; 61; 69; 33; 73; 4]; [50; 14; 63; 48; 23; 95; 25; 92; 62]; [40; 86; 9; 24; 64; 68; 96; 7]; [5; 18; 54; 15; 45; 22; 74; 91]; [56; 27; 99; 44; 8; 72; 38; 21]; [90; 65; 0; 47; 35; 76; 84; 59]; [16; 3; 28; 42; 36; 37; 41; 83]; [82; 66; 10; 57; 32; 89; 87; 58; 46]; [6; 34; 60; 53; 97; 20; 71; 1]; [94; 12; 17; 67; 11; 13; 85; 39]; [77; 75; 80; 43; 29; 52; 19; 79]],[100000; 99200; 100000; 90400; 93100; 91400; 88700; 94700; 99200; 92300; 92500; 88700],100,101,0.0
1,12,0.8906066666666668,[25; 62; 97; 7; 96; 79; 34; 71; 43; 87; 74; 5; 55; 22; 3; 49; 60; 81; 75; 9; 98; 33; 57; 30; 1; 4; 15; 24; 17; 44; 84; 28; 41; 36; 11; 64; 82; 83; 68; 76; 78; 13; 53; 61; 90; 12; 99; 59; 29; 94; 0; 6; 86; 23; 2; 19; 26; 35; 18; 20; 73; 31; 85; 47; 21; 54; 40; 92; 42; 46; 67; 58; 80; 56; 88; 48; 37; 63; 10; 95; 39; 72; 91; 52; 51; 16; 32; 66; 14; 65; 93; 8; 70; 77; 89; 50; 69; 45; 27; 38],[[25; 62; 97; 7; 96; 79; 34; 71; 43]; [87; 74; 5; 55; 22; 3; 49; 60]; [81; 75; 9; 98; 33; 57; 30; 1]; [4; 15; 24; 17; 44; 84; 28; 41]; [36; 11; 64; 82; 83; 68; 76; 78; 13]; [53; 61; 90; 12; 99; 59; 29; 94; 0]; [6; 86; 23; 2; 19; 26; 35; 18]; [20; 73; 31; 85; 47; 21; 54; 40]; [92; 42; 46; 67; 58; 80; 56; 88; 48]; [37; 63; 10; 95; 39; 72; 91; 52; 51]; [16; 32; 66; 14; 65; 93; 8; 70]; [77; 89; 50; 69; 45; 27; 38]],[98700; 92200; 90700; 95800; 99600; 99200; 96900; 91700; 97200; 99000; 91800; 77400],100,101,0.015631437301635742
1,12,0.8894113333333333,[91; 39; 25; 83; 72; 28; 19; 36; 10; 5; 78; 73; 81; 38; 0; 22; 35; 89; 8; 92; 17; 11; 62; 95; 82; 49; 41; 3; 52; 55; 93; 9; 31; 63; 84; 51; 56; 30; 99; 50; 40; 18; 66; 20; 54; 48; 58; 59; 26; 7; 45; 68; 15; 2; 69; 76; 57; 37; 4; 88; 44; 86; 79; 71; 70; 14; 90; 24; 34; 61; 98; 32; 65; 96; 67; 12; 21; 87; 94; 13; 75; 77; 64; 85; 74; 97; 6; 27; 53; 80; 33; 23; 16; 60; 42; 1; 29; 43; 46; 47],[[91; 39; 25; 83; 72; 28; 19; 36]; [10; 5; 78; 73; 81; 38; 0; 22]; [35; 89; 8; 92; 17; 11; 62; 95; 82]; [49; 41; 3; 52; 55; 93; 9; 31]; [63; 84; 51; 56; 30; 99; 50; 40; 18]; [66; 20; 54; 48; 58; 59; 26; 7]; [45; 68; 15; 2; 69; 76; 57; 37]; [4; 88; 44; 86; 79; 71; 70; 14; 90]; [24; 34; 61; 98; 32; 65; 96; 67; 12]; [21; 87; 94; 13; 75; 77; 64; 85; 74]; [97; 6; 27; 53; 80; 33; 23; 16]; [60; 42; 1; 29; 43; 46; 47]],[90200; 94000; 99600; 92800; 100000; 92900; 91700; 98200; 99800; 96300; 92300; 82400],100,101,0.015587329864501953
1,12,0.8904269999999999,[25; 26; 77; 84; 93; 21; 51; 78; 35; 64; 31; 79; 36; 56; 9; 58; 37; 38; 98; 85; 40; 62; 3; 11; 33; 1; 23; 75; 49; 13; 16; 73; 69; 61; 67; 54; 32; 50; 96; 12; 46; 99; 28; 29; 82; 81; 94; 95; 70; 14; 41; 88; 34; 97; 47; 86; 83; 24; 55; 22; 18; 80; 7; 92; 87; 6; 68; 17; 39; 45; 0; 48; 4; 74; 20; 63; 5; 59; 42; 2; 30; 19; 66; 15; 60; 91; 8; 53; 90; 44; 52; 89; 27; 43; 76; 65; 71; 57; 72; 10],[[25; 26; 77; 84; 93; 21; 51; 78; 35]; [64; 31; 79; 36; 56; 9; 58; 37]; [38; 98; 85; 40; 62; 3; 11; 33]; [1; 23; 75; 49; 13; 16; 73; 69]; [61; 67; 54; 32; 50; 96; 12; 46; 99]; [28; 29; 82; 81; 94; 95; 70; 14; 41]; [88; 34; 97; 47; 86; 83; 24; 55; 22]; [18; 80; 7; 92; 87; 6; 68; 17]; [39; 45; 0; 48; 4; 74; 20; 63]; [5; 59; 42; 2; 30; 19; 66; 15]; [60; 91; 8; 53; 90; 44; 52; 89; 27]; [43; 76; 65; 71; 57; 72; 10]],[99800; 91900; 91200; 93400; 98800; 98000; 98100; 91000; 94500; 96800; 98900; 77800],100,101,0.015624284744262695
1,12,0.8949688333333333,[99; 49; 16; 71; 70; 32; 81; 57; 24; 80; 48; 64; 36; 65; 14; 61; 51; 90; 3; 66; 21; 87; 20; 67; 35; 6; 37; 9; 15; 54; 11; 2; 47; 4; 30; 85; 62; 89; 79; 92; 56; 1; 44; 22; 55; 91; 7; 72; 18; 77; 83; 95; 12; 0; 29; 43; 75; 17; 23; 53; 40; 26; 10; 98; 19; 50; 68; 94; 45; 93; 27; 96; 39; 76; 74; 86; 8; 84; 31; 38; 13; 52; 58; 63; 34; 73; 33; 97; 69; 88; 41; 25; 5; 59; 42; 60; 82; 28; 78; 46],[[99; 49; 16; 71; 70; 32; 81; 57; 24]; [80; 48; 64; 36; 65; 14; 61; 51; 90]; [3; 66; 21; 87; 20; 67; 35; 6]; [37; 9; 15; 54; 11; 2; 47; 4]; [30; 85; 62; 89; 79; 92; 56; 1; 44]; [22; 55; 91; 7; 72; 18; 77; 83; 95]; [12; 0; 29; 43; 75; 17; 23; 53]; [40; 26; 10; 98; 19; 50; 68; 94]; [45; 93; 27; 96; 39; 76; 74; 86; 8]; [84; 31; 38; 13; 52; 58; 63; 34]; [73; 33; 97; 69; 88; 41; 25; 5; 59]; [42; 60; 82; 28; 78; 46]],[99700; 99800; 94100; 98800; 98300; 98700; 95800; 89400; 97600; 91600; 99700; 66700],100,101,0.0
1,12,0.8887465000000002,[19; 76; 69; 9; 13; 27; 99; 31; 73; 28; 57; 46; 20; 23; 48; 85; 98; 95; 92; 82; 71; 78; 70; 53; 67; 97; 1; 56; 34; 22; 87; 40; 75; 90; 38; 3; 77; 79; 12; 32; 50; 47; 26; 72; 33; 6; 52; 43; 44; 84; 39; 64; 94; 42; 21; 74; 89; 63; 15; 68; 45; 96; 18; 93; 25; 24; 41; 91; 30; 58; 81; 62; 83; 55; 80; 7; 37; 61; 0; 60; 29; 17; 8; 4; 65; 59; 88; 86; 54; 10; 66; 36; 35; 51; 16; 49; 11; 5; 2; 14],[[19; 76; 69; 9; 13; 27; 99; 31]; [73; 28; 57; 46; 20; 23; 48; 85]; [98; 95; 92; 82; 71; 78; 70; 53; 67]; [97; 1; 56; 34; 22; 87; 40; 75; 90]; [38; 3; 77; 79; 12; 32; 50; 47]; [26; 72; 33; 6; 52; 43; 44; 84]; [39; 64; 94; 42; 21; 74; 89; 63; 15]; [68; 45; 96; 18; 93; 25; 24; 41; 91]; [30; 58; 81; 62; 83; 55; 80; 7]; [37; 61; 0; 60; 29; 17; 8; 4]; [65; 59; 88; 86; 54; 10; 66; 36]; [35; 51; 16; 49; 11; 5; 2; 14]],[92100; 91000; 91500; 99500; 93000; 91800; 99700; 98700; 88700; 97400; 88200; 98600],100,101,0.01563286781311035
1,12,0.8937161666666666,[74; 73; 85; 3; 33; 83; 79; 15; 54; 42; 48; 29; 34; 38; 44; 10; 1; 6; 65; 61; 21; 36; 87; 95; 17; 70; 39; 49; 80; 84; 66; 4; 56; 75; 14; 20; 89; 28; 68; 41; 81; 60; 91; 93; 50; 76; 30; 5; 52; 99; 18; 77; 22; 58; 90; 63; 31; 35; 8; 67; 11; 23; 16; 92; 32; 2; 51; 40; 45; 43; 24; 26; 0; 25; 82; 55; 46; 96; 62; 7; 37; 9; 88; 98; 78; 59; 86; 97; 47; 53; 27; 71; 72; 69; 12; 13; 57; 94; 64; 19],[[74; 73; 85; 3; 33; 83; 79; 15; 54]; [42; 48; 29; 34; 38; 44; 10; 1]; [6; 65; 61; 21; 36; 87; 95; 17]; [70; 39; 49; 80; 84; 66; 4; 56; 75]; [14; 20; 89; 28; 68; 41; 81; 60; 91]; [93; 50; 76; 30; 5; 52; 99; 18; 77]; [22; 58; 90; 63; 31; 35; 8; 67]; [11; 23; 16; 92; 32; 2; 51; 40]; [45; 43; 24; 26; 0; 25; 82; 55]; [46; 96; 62; 7; 37; 9; 88; 98; 78]; [59; 86; 97; 47; 53; 27; 71; 72; 69]; [12; 13; 57; 94; 64; 19]],[100000; 96300; 90600; 99600; 99900; 99200; 91500; 95000; 93900; 98500; 96600; 69100],100,101,0.0
1,12,0.8880094999999999,[43; 9; 51; 74; 94; 71; 21; 88; 44; 60; 8; 31; 47; 40; 32; 72; 84; 20; 55; 49; 87; 22; 37; 0; 85; 23; 97; 57; 59; 14; 34; 1; 11; 67; 61; 42; 82; 4; 39; 7; 48; 89; 10; 76; 17; 46; 25; 95; 29; 78; 27; 6; 79; 19; 41; 81; 65; 38; 99; 53; 35; 66; 15; 24; 30; 5; 52; 28; 98; 3; 36; 12; 16; 91; 86; 77; 13; 45; 58; 2; 75; 63; 73; 50; 18; 64; 56; 92; 70; 80; 69; 54; 62; 33; 93; 90; 96; 26; 83; 68],[[43; 9; 51; 74; 94; 71; 21; 88; 44]; [60; 8; 31; 47; 40; 32; 72; 84]; [20; 55; 49; 87; 22; 37; 0; 85]; [23; 97; 57; 59; 14; 34; 1; 11]; [67; 61; 42; 82; 4; 39; 7; 48]; [89; 10; 76; 17; 46; 25; 95; 29]; [78; 27; 6; 79; 19; 41; 81; 65]; [38; 99; 53; 35; 66; 15; 24; 30]; [5; 52; 28; 98; 3; 36; 12; 16]; [91; 86; 77; 13; 45; 58; 2; 75; 63]; [73; 50; 18; 64; 56; 92; 70; 80; 69]; [54; 62; 33; 93; 90; 96; 26; 83; 68]],[99900; 91800; 92200; 94000; 92800; 90300; 90700; 91600; 95400; 99300; 97100; 95100],100,101,0.0
1,12,0.888074,[94; 93; 72; 0; 32; 44; 76; 17; 67; 34; 20; 53; 51; 16; 45; 38; 73; 13; 15; 92; 54; 97; 36; 4; 2; 57; 43; 18; 90; 89; 71; 63; 42; 31; 5; 83; 19; 52; 41; 7; 80; 39; 68; 86; 6; 98; 96; 49; 56; 87; 88; 23; 70; 48; 81; 12; 27; 74; 58; 64; 61; 79; 24; 26; 8; 47; 25; 3; 33; 78; 11; 21; 91; 37; 82; 66; 55; 9; 22; 40; 30; 95; 85; 50; 84; 46; 35; 99; 1; 65; 77; 69; 60; 62; 28; 59; 14; 75; 29; 10],[[94; 93; 72; 0; 32; 44; 76; 17; 67]; [34; 20; 53; 51; 16; 45; 38; 73]; [13; 15; 92; 54; 97; 36; 4; 2]; [57; 43; 18; 90; 89; 71; 63; 42; 31]; [5; 83; 19; 52; 41; 7; 80; 39]; [68; 86; 6; 98; 96; 49; 56; 87; 88]; [23; 70; 48; 81; 12; 27; 74; 58]; [64; 61; 79; 24; 26; 8; 47; 25]; [3; 33; 78; 11; 21; 91; 37; 82]; [66; 55; 9; 22; 40; 30; 95; 85]; [50; 84; 46; 35; 99; 1; 65; 77; 69]; [60; 62; 28; 59; 14; 75; 29; 10]],[99700; 93100; 93000; 99800; 93500; 94100; 90600; 92700; 91800; 90300; 98700; 92900],100,101,0.015573263168334961
