Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución
4,11,0.9327794545454544,[43; 28; 64; 1; 34; 69; 37; 33; 7; 18; 12; 63; 17; 76; 40; 75; 20; 80; 82; 16; 41; 32; 49; 97; 42; 46; 2; 5; 94; 3; 6; 0; 78; 95; 54; 73; 52; 23; 25; 26; 47; 50; 38; 68; 71; 10; 9; 58; 93; 45; 70; 86; 30; 14; 13; 29; 53; 98; 35; 66; 24; 44; 51; 59; 81; 19; 74; 96; 57; 62; 65; 84; 8; 92; 88; 56; 85; 89; 15; 77; 31; 4; 79; 27; 55; 72; 61; 91; 22; 39; 11; 48; 60; 67; 87; 83; 90; 99; 36; 21],[[43; 28; 64; 1; 34; 69; 37; 33]; [7; 18; 12; 63; 17; 76; 40]; [75; 20; 80; 82; 16; 41; 32; 49; 97; 42]; [46; 2; 5; 94; 3; 6]; [0; 78; 95; 54; 73; 52; 23; 25]; [26; 47; 50; 38; 68; 71; 10; 9]; [58; 93; 45; 70; 86; 30; 14; 13; 29]; [53; 98; 35; 66; 24; 44; 51; 59; 81; 19]; [74; 96; 57; 62; 65; 84; 8; 92; 88; 56; 85; 89; 15; 77]; [31; 4; 79; 27; 55; 72; 61; 91; 22]; [39; 11; 48; 60; 67; 87; 83; 90; 99; 36; 21]],[99400; 98900; 99400; 93400; 86200; 99800; 95800; 97400; 97400; 96900; 97000],400,401,0.02088189125061035
1,11,0.9323061818181816,[2; 34; 9; 83; 50; 0; 73; 62; 36; 57; 40; 4; 19; 94; 86; 41; 96; 81; 74; 77; 35; 68; 31; 56; 16; 80; 48; 75; 97; 59; 38; 43; 5; 45; 39; 30; 55; 84; 53; 85; 22; 70; 8; 93; 15; 17; 90; 11; 88; 10; 91; 95; 61; 12; 49; 87; 44; 29; 54; 64; 58; 28; 14; 25; 46; 66; 67; 20; 63; 1; 32; 42; 27; 47; 72; 13; 71; 69; 7; 78; 92; 76; 33; 37; 6; 24; 79; 21; 60; 26; 89; 51; 98; 52; 99; 3; 18; 23; 82; 65],[[2; 34; 9; 83; 50; 0; 73]; [62; 36; 57; 40; 4; 19; 94; 86; 41; 96]; [81; 74; 77; 35; 68; 31; 56; 16; 80; 48; 75; 97]; [59; 38; 43; 5; 45; 39; 30; 55]; [84; 53; 85; 22; 70; 8; 93; 15; 17]; [90; 11; 88; 10; 91; 95; 61; 12; 49; 87; 44]; [29; 54; 64; 58; 28; 14; 25; 46]; [66; 67; 20; 63; 1; 32; 42; 27]; [47; 72; 13; 71; 69; 7; 78; 92; 76; 33]; [37; 6; 24; 79; 21; 60; 26; 89]; [51; 98; 52; 99; 3; 18; 23; 82; 65]],[94400; 96700; 98900; 97800; 97700; 98300; 97700; 99900; 94900; 97000; 88300],100,101,0.0
3,11,0.932722181818182,[37; 95; 38; 93; 86; 5; 57; 72; 66; 77; 74; 63; 19; 52; 35; 80; 98; 32; 83; 0; 41; 92; 9; 48; 85; 62; 71; 18; 67; 76; 6; 2; 53; 87; 60; 90; 3; 46; 94; 78; 45; 61; 40; 97; 21; 13; 34; 73; 29; 49; 20; 64; 12; 99; 51; 84; 54; 89; 17; 47; 82; 70; 68; 91; 7; 24; 43; 11; 31; 28; 39; 42; 75; 79; 44; 33; 27; 1; 69; 15; 8; 22; 14; 4; 50; 55; 65; 36; 30; 10; 16; 25; 56; 88; 96; 59; 58; 26; 23; 81],[[37; 95; 38; 93; 86; 5; 57; 72; 66; 77; 74; 63]; [19; 52; 35; 80; 98; 32; 83; 0; 41; 92]; [9; 48; 85; 62; 71; 18; 67; 76; 6]; [2; 53; 87; 60; 90; 3; 46; 94; 78; 45; 61]; [40; 97; 21; 13; 34; 73; 29; 49]; [20; 64; 12; 99; 51; 84; 54; 89; 17; 47]; [82; 70; 68; 91; 7; 24; 43; 11; 31]; [28; 39; 42; 75; 79; 44; 33; 27]; [1; 69; 15; 8; 22; 14]; [4; 50; 55; 65; 36; 30; 10]; [16; 25; 56; 88; 96; 59; 58; 26; 23; 81]],[93300; 99400; 97200; 99700; 92600; 97900; 99600; 89700; 100000; 92200; 100000],300,301,0.01567673683166504
4,11,0.9319919999999999,[26; 55; 70; 3; 12; 20; 73; 16; 75; 99; 65; 98; 22; 45; 97; 11; 95; 79; 63; 37; 69; 25; 96; 84; 64; 30; 42; 78; 13; 18; 92; 87; 82; 15; 4; 50; 62; 40; 66; 7; 47; 23; 36; 91; 41; 90; 39; 60; 54; 72; 68; 8; 34; 17; 44; 29; 53; 5; 71; 89; 6; 28; 43; 58; 76; 77; 61; 52; 46; 35; 24; 1; 21; 0; 9; 2; 14; 85; 57; 31; 83; 38; 27; 51; 19; 49; 67; 32; 33; 48; 74; 81; 80; 56; 59; 86; 94; 10; 88; 93],[[26; 55; 70; 3; 12; 20; 73]; [16; 75; 99; 65; 98; 22; 45; 97; 11; 95; 79; 63]; [37; 69; 25; 96; 84; 64; 30; 42; 78; 13]; [18; 92; 87; 82; 15; 4; 50; 62; 40]; [66; 7; 47; 23; 36; 91; 41; 90; 39]; [60; 54; 72; 68; 8; 34; 17; 44]; [29; 53; 5; 71; 89; 6; 28; 43]; [58; 76; 77; 61; 52; 46; 35; 24; 1]; [21; 0; 9; 2; 14; 85]; [57; 31; 83; 38; 27; 51; 19; 49; 67]; [32; 33; 48; 74; 81; 80; 56; 59; 86; 94; 10; 88; 93]],[92800; 96400; 98200; 95400; 95800; 91400; 97600; 97000; 99400; 98400; 99200],400,401,0.03220701217651367
4,11,0.9325116363636362,[81; 20; 14; 15; 4; 80; 77; 93; 57; 36; 12; 22; 59; 50; 91; 28; 75; 13; 73; 88; 70; 68; 58; 53; 2; 71; 43; 56; 66; 23; 44; 6; 63; 85; 8; 25; 42; 79; 11; 52; 49; 78; 98; 21; 65; 1; 5; 92; 82; 17; 51; 18; 34; 39; 27; 45; 35; 0; 47; 40; 3; 72; 99; 76; 37; 41; 7; 74; 83; 30; 9; 26; 86; 54; 55; 97; 87; 46; 29; 10; 16; 62; 84; 24; 31; 33; 96; 48; 94; 90; 64; 69; 38; 19; 61; 32; 60; 67; 89; 95],[[81; 20; 14; 15; 4; 80; 77; 93; 57]; [36; 12; 22; 59; 50; 91; 28; 75]; [13; 73; 88; 70; 68; 58; 53; 2; 71; 43]; [56; 66; 23; 44; 6; 63; 85; 8]; [25; 42; 79; 11; 52; 49; 78; 98; 21]; [65; 1; 5; 92; 82; 17; 51; 18]; [34; 39; 27; 45; 35; 0; 47]; [40; 3; 72; 99; 76; 37; 41; 7; 74; 83]; [30; 9; 26; 86; 54; 55; 97; 87; 46; 29]; [10; 16; 62; 84; 24; 31; 33; 96]; [48; 94; 90; 64; 69; 38; 19; 61; 32; 60; 67; 89; 95]],[99800; 89000; 95900; 93800; 95800; 99900; 95800; 99600; 99300; 93400; 99300],400,401,0.017891883850097656
1,11,0.9325743636363639,[49; 80; 1; 63; 25; 45; 51; 71; 74; 94; 85; 5; 95; 37; 79; 78; 98; 68; 62; 6; 59; 46; 87; 28; 15; 54; 20; 93; 38; 91; 50; 72; 43; 66; 12; 83; 52; 9; 33; 21; 0; 58; 41; 3; 89; 77; 55; 81; 97; 96; 82; 88; 13; 86; 99; 8; 23; 36; 65; 69; 47; 18; 16; 7; 29; 73; 39; 11; 64; 53; 56; 90; 10; 75; 24; 40; 92; 60; 2; 14; 31; 67; 27; 61; 70; 32; 42; 44; 22; 76; 17; 4; 30; 57; 26; 48; 35; 34; 84; 19],[[49; 80; 1; 63; 25; 45; 51; 71; 74; 94; 85]; [5; 95; 37; 79; 78; 98; 68; 62; 6; 59]; [46; 87; 28; 15; 54; 20; 93; 38; 91; 50]; [72; 43; 66; 12; 83; 52; 9; 33]; [21; 0; 58; 41; 3; 89; 77; 55; 81]; [97; 96; 82; 88; 13; 86; 99; 8; 23; 36; 65; 69]; [47; 18; 16; 7; 29; 73; 39]; [11; 64; 53; 56; 90; 10; 75; 24; 40]; [92; 60; 2; 14; 31; 67; 27; 61; 70]; [32; 42; 44; 22; 76; 17; 4]; [30; 57; 26; 48; 35; 34; 84; 19]],[97900; 89700; 99500; 89600; 99700; 96600; 98600; 98200; 99000; 96900; 95900],100,101,0.0
2,11,0.9327376363636364,[21; 97; 80; 26; 81; 50; 70; 79; 99; 94; 75; 74; 60; 61; 13; 66; 5; 88; 16; 18; 34; 91; 36; 17; 49; 33; 7; 85; 29; 65; 42; 6; 19; 23; 35; 92; 59; 63; 90; 8; 58; 3; 47; 77; 46; 96; 10; 67; 62; 56; 57; 93; 82; 86; 51; 78; 44; 87; 73; 52; 31; 4; 9; 20; 95; 32; 45; 54; 39; 55; 30; 24; 69; 15; 76; 22; 37; 53; 64; 89; 1; 25; 0; 12; 40; 11; 83; 84; 27; 41; 68; 98; 28; 72; 43; 48; 14; 38; 2; 71],[[21; 97; 80; 26; 81; 50; 70; 79; 99; 94; 75; 74; 60; 61]; [13; 66; 5; 88; 16; 18; 34; 91]; [36; 17; 49; 33; 7; 85; 29; 65]; [42; 6; 19; 23; 35; 92; 59; 63; 90]; [8; 58; 3; 47; 77; 46; 96; 10]; [67; 62; 56; 57; 93; 82; 86; 51; 78; 44; 87; 73; 52; 31]; [4; 9; 20; 95; 32; 45; 54]; [39; 55; 30; 24; 69; 15; 76; 22]; [37; 53; 64; 89; 1; 25; 0]; [12; 40; 11; 83; 84; 27; 41; 68; 98]; [28; 72; 43; 48; 14; 38; 2; 71]],[97100; 99700; 99100; 99000; 95100; 99700; 91600; 98700; 88800; 93000; 99800],200,201,0.015584468841552734
3,11,0.9336281818181816,[33; 17; 0; 28; 23; 76; 73; 52; 81; 57; 93; 6; 69; 10; 72; 71; 30; 74; 66; 97; 62; 12; 56; 77; 19; 5; 79; 20; 38; 47; 43; 2; 14; 58; 87; 44; 95; 13; 24; 50; 96; 67; 54; 21; 92; 48; 15; 53; 36; 35; 63; 98; 29; 83; 64; 49; 65; 99; 37; 11; 78; 16; 42; 32; 55; 26; 70; 34; 46; 4; 1; 88; 27; 25; 40; 86; 94; 18; 39; 51; 75; 80; 22; 7; 91; 9; 31; 59; 8; 45; 60; 84; 61; 3; 85; 68; 41; 89; 90; 82],[[33; 17; 0; 28; 23; 76; 73]; [52; 81; 57; 93; 6; 69; 10; 72; 71; 30]; [74; 66; 97; 62; 12; 56; 77; 19; 5; 79]; [20; 38; 47; 43; 2; 14; 58]; [87; 44; 95; 13; 24; 50; 96; 67; 54; 21; 92]; [48; 15; 53; 36; 35; 63; 98; 29; 83; 64]; [49; 65; 99; 37; 11; 78; 16; 42; 32]; [55; 26; 70; 34; 46; 4; 1; 88]; [27; 25; 40; 86; 94; 18; 39; 51; 75; 80]; [22; 7; 91; 9; 31; 59; 8]; [45; 60; 84; 61; 3; 85; 68; 41; 89; 90; 82]],[95300; 96700; 97700; 98500; 97900; 97800; 98800; 98300; 99400; 99200; 82000],300,301,0.01566314697265625
2,11,0.9318265454545454,[93; 99; 15; 8; 50; 33; 35; 6; 7; 59; 72; 28; 41; 86; 46; 58; 18; 5; 56; 26; 55; 70; 61; 34; 88; 62; 73; 21; 42; 57; 84; 83; 77; 38; 32; 96; 67; 53; 65; 31; 89; 36; 52; 94; 30; 68; 78; 39; 47; 11; 0; 10; 60; 19; 90; 44; 74; 54; 4; 25; 75; 20; 76; 14; 45; 17; 12; 85; 16; 3; 49; 97; 79; 13; 40; 23; 27; 91; 1; 63; 48; 80; 43; 22; 82; 87; 37; 2; 95; 9; 69; 98; 64; 81; 66; 51; 92; 24; 29; 71],[[93; 99; 15; 8; 50; 33; 35; 6]; [7; 59; 72; 28; 41; 86; 46; 58; 18]; [5; 56; 26; 55; 70; 61; 34; 88; 62; 73]; [21; 42; 57; 84; 83; 77; 38; 32; 96; 67; 53]; [65; 31; 89; 36; 52; 94; 30; 68; 78; 39; 47]; [11; 0; 10; 60; 19; 90; 44]; [74; 54; 4; 25; 75; 20; 76; 14]; [45; 17; 12; 85; 16; 3; 49]; [97; 79; 13; 40; 23; 27; 91; 1]; [63; 48; 80; 43; 22; 82; 87; 37; 2; 95]; [9; 69; 98; 64; 81; 66; 51; 92; 24; 29; 71]],[97400; 99900; 96500; 94800; 97100; 97500; 97900; 98900; 92800; 94300; 94500],200,201,0.01563572883605957
2,11,0.9336723636363634,[23; 4; 15; 83; 24; 63; 90; 42; 18; 12; 3; 35; 89; 52; 61; 50; 9; 7; 79; 59; 97; 19; 29; 54; 17; 76; 39; 93; 99; 47; 41; 70; 62; 84; 11; 56; 49; 28; 67; 85; 34; 40; 5; 45; 53; 25; 80; 44; 14; 64; 94; 55; 13; 16; 20; 38; 22; 2; 58; 73; 78; 43; 69; 10; 77; 71; 86; 6; 8; 88; 46; 32; 96; 21; 48; 65; 30; 1; 68; 31; 33; 60; 57; 27; 82; 36; 0; 66; 74; 95; 91; 81; 51; 98; 26; 75; 92; 87; 37; 72],[[23; 4; 15; 83; 24; 63; 90; 42]; [18; 12; 3; 35; 89; 52; 61; 50]; [9; 7; 79; 59; 97; 19; 29; 54]; [17; 76; 39; 93; 99; 47; 41; 70; 62; 84; 11]; [56; 49; 28; 67; 85; 34; 40; 5; 45]; [53; 25; 80; 44; 14; 64; 94; 55; 13]; [16; 20; 38; 22; 2; 58; 73]; [78; 43; 69; 10; 77; 71; 86; 6; 8; 88]; [46; 32; 96; 21; 48; 65; 30; 1]; [68; 31; 33; 60; 57; 27; 82; 36]; [0; 66; 74; 95; 91; 81; 51; 98; 26; 75; 92; 87; 37; 72]],[97000; 99300; 94700; 98400; 99100; 96500; 99500; 100000; 95100; 82500; 99500],200,201,0.01563096046447754
