Instancia,Mejor Puntaje Encontrado,Mejor Número Contenedores,Sólución Óptima,Porcentaje Soluciones Óptimas,Diferencia
BPP_100,0.909,22,22,0.366666667,0
BPP_12,0.936,22,22,0.033333333,0
BPP_14,0.905,22,22,0.4,0
BPP_2,0.926,22,22,0.033333333,0
BPP_20,0.881,23,22,0,1
BPP_33,0.921,22,22,0.033333333,0
BPP_4,0.914,22,22,0.3,0
BPP_42,0.912,22,22,0.366666667,0
BPP_48,0.926,22,22,0.466666667,0
BPP_6,0.917,22,22,0.066666667,0
BPP14,0.879,19,18,0,1
BPP15,0.914,18,18,0.6,0
BPP16,0.934,18,18,0.133333333,0
BPP3,0.93,18,18,0.133333333,0
BPP4,0.872,19,18,0,1
BPP58,0.926,18,18,0.2,0
BPP60,0.939,18,18,0.166666667,0
BPP72,0.884,19,18,0,1
BPP8,0.893,19,18,0,1
BPP85,0.885,19,18,0,1
Hard2,0.899,59,56,0,3
hBPP419,0.978,81,80,0,1
hBPP814,0.974,82,81,0,1
hBPP900,0.977,76,75,0,1
N1c1w1_o,0.86,32,32,1,0
N1c1w1_p,0.856,26,26,1,0
N1c1w2_c,0.853,33,33,1,0
N1c1w2_d,0.849,31,31,1,0
N1c1w4_d,0.777,38,38,1,0
N1c1w4_i,0.796,35,35,1,0
N1c2w1_b,0.802,26,26,1,0
N1c2w1_q,0.818,24,24,1,0
N1c2w2_f,0.884,26,26,1,0
N1c2w2_l,0.758,30,30,1,0
N1c2w4_f,0.753,32,32,1,0
N1c2w4_l,0.79,31,31,1,0
N1c3w1_c,0.993,17,17,0.233333333,0
N1c3w1_f,0.951,20,20,1,0
N1c3w2_d,0.964,20,20,0.933333333,0
N1c3w2_h,0.934,23,23,1,0
N1c3w4_b,0.957,22,22,0.9,0
N1c3w4_c,0.915,24,24,0.166666667,0
N1w1b1r7,0.958,17,17,0.5,0
N1w1b2r1,0.933,17,17,0.9,0
N1w1b3r3,0.993,16,16,0.166666667,0
N1w2b1r8,0.99,10,10,0.233333333,0
N1w2b2r0,0.959,10,10,1,0
N1w2b3r5,0.913,10,10,1,0
N1w3b1r2,0.999,7,7,0.5,0
N1w3b2r9,0.829,8,8,1,0
N1w3b3r4,0.861,8,8,1,0
N1w4b1r3,0.868,6,6,1,0
N1w4b2r1,0.816,6,6,1,0
N1w4b3r1,0.867,6,6,1,0
N2c1w1_d,0.939,50,50,1,0
N2c1w1_s,0.965,45,45,0.866666667,0
N2c1w2_h,0.793,70,70,1,0
N2c1w2_o,0.882,64,64,0.3,0
N2c1w4_h,0.768,75,75,1,0
N2c1w4_q,0.784,75,75,1,0
N2c2w1_d,0.98,42,42,0.366666667,0
N2c2w1_e,0.983,40,40,0.066666667,0
N2c2w2_b,0.869,56,56,1,0
N2c2w2_f,0.948,48,48,0.266666667,0
N2c2w4_k,0.842,59,59,1,0
N2c2w4_r,0.893,56,56,0.366666667,0
N2c3w1_d,0.973,37,37,1,0
N2c3w1_i,0.966,34,34,1,0
N2c3w2_a,0.967,41,41,0.6,0
N2c3w2_q,0.963,41,41,0.733333333,0
N2c3w4_i,0.968,44,44,0.4,0
N2c3w4_m,0.956,44,44,0.2,0
N2w1b1r2,0.951,34,34,0.333333333,0
N2w1b2r0,0.942,36,36,0.033333333,0
N2w1b3r2,0.993,35,35,0.033333333,0
N2w2b1r0,0.984,20,20,0.033333333,0
N2w2b2r9,0.992,20,20,0.233333333,0
N2w2b3r2,0.978,21,21,0.9,0
N2w3b1r5,0.888,15,15,1,0
N2w3b2r7,0.929,15,15,1,0
N2w3b3r0,0.895,15,15,1,0
N2w4b1r2,0.895,12,12,1,0
N2w4b2r9,0.971,11,11,1,0
N2w4b3r6,0.934,11,11,1,0
N3c1w1_c,0.958,99,99,0.366666667,0
N3c1w1_k,0.955,102,102,0.166666667,0
N3c1w2_d,0.827,139,139,1,0
N3c1w2_g,0.893,132,132,0.766666667,0
N3c1w4_a,0.817,149,149,1,0
N3c1w4_j,0.837,142,142,0.966666667,0
N3c2w1_n,0.921,91,91,0.2,0
N3c2w1_q,0.984,82,82,0.166666667,0
N3c2w2_g,0.939,103,102,0,1
N3c2w2_s,0.91,107,107,0.266666667,0
N3c2w4_a,0.887,113,113,0.833333333,0
N3c2w4_d,0.884,114,114,0.9,0
N3c3w1_d,0.997,63,63,0.1,0
N3c3w1_g,0.979,65,65,1,0
N3c3w2_b,0.979,82,81,0,1
N3c3w2_d,0.985,79,79,0.1,0
N3c3w4_j,0.975,88,88,0.033333333,0
N3c3w4_t,0.977,85,85,0.1,0
N3w1b1r7,0.927,68,67,0,1
N3w1b2r0,0.961,68,67,0,1
N3w1b3r5,0.974,65,65,0.833333333,0
N3w2b1r0,0.931,42,41,0,1
N3w2b2r6,0.959,41,40,0,1
N3w2b3r7,0.967,42,42,0.8,0
N3w3b1r3,0.946,29,29,0.366666667,0
N3w3b2r2,0.991,28,28,0.233333333,0
N3w3b3r1,0.95,27,27,0.966666667,0
N3w4b1r5,0.933,23,23,0.966666667,0
N3w4b2r9,0.932,22,22,1,0
N3w4b3r6,0.957,23,23,1,0
N4c1w1_e,0.915,272,272,0.7,0
N4c1w1_l,0.949,261,258,0,3
N4c1w2_k,0.908,312,311,0,1
N4c1w2_m,0.869,330,330,0.9,0
N4c1w4_b,0.848,349,349,0.4,0
N4c1w4_s,0.82,359,359,0.466666667,0
N4c2w1_c,0.971,216,213,0,3
N4c2w1_k,0.973,213,210,0,3
N4c2w2_a,0.948,258,253,0,5
N4c2w2_q,0.942,260,257,0,3
N4c2w4_b,0.891,282,281,0,1
N4c2w4_d,0.865,295,295,0.5,0
N4c3w1_b,0.991,165,165,0.1,0
N4c3w1_r,0.99,168,167,0,1
N4c3w2_i,0.986,199,198,0,1
N4c3w2_s,0.982,198,196,0,2
N4c3w4_c,0.972,220,218,0,2
N4c3w4_m,0.973,218,216,0,2
N4w1b1r0,0.923,172,167,0,5
N4w1b2r5,0.947,166,161,0,5
N4w1b3r1,0.992,171,171,0.033333333,0
N4w2b1r1,0.908,106,101,0,5
N4w2b2r0,0.934,104,101,0,3
N4w2b3r0,0.977,102,101,0,1
N4w3b1r3,0.952,72,71,0,1
N4w3b2r3,0.939,73,71,0,2
N4w3b3r9,0.983,71,71,0.1,0
N4w4b1r0,0.948,57,56,0,1
N4w4b2r9,0.972,56,56,0.166666667,0
N4w4b3r0,0.967,55,55,0.833333333,0
t120_06,0.96,41,40,0,1
t120_17,0.961,41,40,0,1
t249_05,0.928,87,83,0,4
t249_06,0.943,86,83,0,3
t501_02,0.943,173,167,0,6
t501_19,0.944,173,167,0,6
t60_07,0.934,21,20,0,1
t60_19,0.934,21,20,0,1
TEST0058,0.95,21,20,0,1
TEST0084,0.997,16,16,0.433333333,0
u1000_00,0.962,407,399,0,8
u1000_13,0.963,404,396,0,8
u120_00,0.969,48,48,0.366666667,0
u120_05,0.98,48,48,0.333333333,0
u250_01,0.982,100,100,0.033333333,0
u250_07,0.979,104,103,0,1
u500_06,0.974,210,207,0,3
u500_13,0.987,197,196,0,1
