Instancia,Iteraciones Promedio,Iteraciones DE,Contenedores Promedio,Contenedores DE,FBPP Promedio,FBPP DE,Vecinos Visitados Promedio,Vecinos Visitados DE,Tiempo Promedio,Tiempo DE 
BPP_100,501,0,22.633,0.49,0.863,0.03,60120,0,3.844,0.292
BPP_12,493.733,39.801,23,0.263,0.866,0.018,59248,4776.141,3.279,0.267
BPP_14,501,0,22.6,0.498,0.867,0.029,60120,0,3.33,0.079
BPP_2,487.867,71.934,23.1,0.403,0.852,0.025,58544,8632.108,3.235,0.489
BPP_20,501,0,23.1,0.305,0.864,0.016,60120,0,3.34,0.117
BPP_33,497.167,20.996,22.967,0.183,0.858,0.015,59660,2519.524,3.34,0.185
BPP_4,501,0,22.7,0.466,0.867,0.031,60120,0,3.338,0.099
BPP_42,501,0,22.633,0.49,0.871,0.032,60120,0,3.864,0.238
BPP_48,501,0,22.533,0.507,0.869,0.033,60120,0,3.384,0.309
BPP_6,485.5,69.299,22.933,0.254,0.857,0.019,58260,8315.919,3.211,0.465
BPP14,501,0,19.033,0.183,0.854,0.014,50100,0,3.155,0.228
BPP15,257.8,215.276,18.4,0.498,0.888,0.032,25780,21527.567,1.635,1.369
BPP16,458.567,115.756,18.9,0.403,0.867,0.031,45856.667,11575.649,2.745,0.73
BPP3,467.267,105.744,18.867,0.346,0.861,0.029,46726.667,10574.398,2.802,0.686
BPP4,501,0,19.067,0.254,0.855,0.017,50100,0,2.77,0.139
BPP58,427.9,155.921,18.8,0.407,0.869,0.03,42790,15592.137,2.678,1.006
BPP60,444.967,140.684,18.833,0.379,0.873,0.031,44496.667,14068.392,2.708,0.878
BPP72,501,0,19,0,0.872,0.007,50100,0,3.073,0.173
BPP8,501,0,19.067,0.254,0.868,0.019,50100,0,3.121,0.125
BPP85,501,0,19.1,0.305,0.864,0.022,50100,0,3.107,0.17
Hard2,501,0,60.933,0.868,0.849,0.022,100200,0,10.402,0.128
hBPP419,501,0,81.767,0.568,0.963,0.01,100200,0,12.751,1.5
hBPP814,501,0,83,0.643,0.956,0.011,100200,0,12.513,0.294
hBPP900,501,0,77.1,0.548,0.955,0.01,100200,0,12.508,0.312
N1c1w1_o,37.4,36.615,32,0,0.857,0.002,1870,1830.753,0.069,0.075
N1c1w1_p,18.533,8.191,26,0,0.847,0.004,926.667,409.527,0.037,0.022
N1c1w2_c,34.6,33.248,33,0,0.851,0.001,1730,1662.393,0.082,0.073
N1c1w2_d,56.967,73.675,31,0,0.847,0.001,2848.333,3683.736,0.152,0.19
N1c1w4_d,12.1,3.089,38,0,0.773,0.002,605,154.446,0.047,0.013
N1c1w4_i,29.533,11.193,35,0,0.795,0.001,1476.667,559.669,0.117,0.043
N1c2w1_b,16.7,7.307,26,0,0.795,0.004,835,365.341,0.061,0.027
N1c2w1_q,52.333,61.599,24,0,0.812,0.003,2616.667,3079.95,0.187,0.229
N1c2w2_f,501,0,26,0,0.884,0.001,25050,0,1.88,0.011
N1c2w2_l,14.067,9.688,30,0,0.749,0.004,703.333,484.4,0.053,0.033
N1c2w4_f,19.833,11.954,32,0,0.748,0.003,991.667,597.709,0.075,0.045
N1c2w4_l,501,0,31,0,0.79,0.001,25050,0,1.901,0.062
N1c3w1_c,438.067,124.2,17.767,0.43,0.938,0.032,21903.333,6210.016,1.637,0.475
N1c3w1_f,105.933,67.623,20,0,0.948,0.002,5296.667,3381.158,0.371,0.248
N1c3w2_d,166.667,132.108,20.067,0.254,0.958,0.016,8333.333,6605.41,0.605,0.499
N1c3w2_h,501,0,23,0,0.924,0.004,25050,0,0.768,0.192
N1c3w4_b,149.2,148.015,22.1,0.305,0.947,0.016,7460,7400.773,0.221,0.221
N1c3w4_c,435.4,153.47,24.833,0.379,0.873,0.019,21770,7673.494,0.66,0.238
N1w1b1r7,326.067,201.934,17.5,0.509,0.918,0.04,16303.333,10096.704,0.554,0.397
N1w1b2r1,124.033,156.162,17.1,0.305,0.92,0.021,6201.667,7808.124,0.204,0.271
N1w1b3r3,478.067,63.702,16.833,0.379,0.931,0.029,23903.333,3185.093,0.848,0.217
N1w2b1r8,413.933,170.234,10.767,0.43,0.899,0.052,20696.667,8511.705,0.641,0.291
N1w2b2r0,41.667,64.719,10,0,0.957,0.001,2083.333,3235.933,0.053,0.086
N1w2b3r5,4.667,2.845,10,0,0.909,0.001,233.333,142.232,0.007,0.009
N1w3b1r2,287.1,222.772,7.5,0.509,0.924,0.076,14355,11138.597,0.467,0.406
N1w3b2r9,1,0,8,0,0.808,0.01,50,0,0.003,0.006
N1w3b3r4,1,0,8,0,0.841,0.006,50,0,0.002,0.005
N1w4b1r3,1,0,6,0,0.858,0.005,50,0,0.002,0.005
N1w4b2r1,1,0,6,0,0.792,0.014,50,0,0.002,0.005
N1w4b3r1,1,0,6,0,0.86,0.003,50,0,0.001,0.004
N2c1w1_d,501,0,50,0,0.935,0.002,50100,0,2.77,0.096
N2c1w1_s,233.233,140.946,45.133,0.346,0.96,0.01,23323.333,14094.599,1.257,0.754
N2c1w2_h,36.533,12.136,70,0,0.79,0.002,3653.333,1213.639,0.224,0.072
N2c1w2_o,427.967,137.135,64.7,0.466,0.868,0.009,42796.667,13713.534,2.66,0.864
N2c1w4_h,34.967,7.591,75,0,0.767,0.001,3496.667,759.075,0.221,0.048
