Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
48,19,0.8376323157894738,[75; 78; 90; 28; 55; 35; 26; 24; 34; 21; 42; 54; 47; 57; 38; 89; 94; 17; 25; 72; 82; 16; 32; 23; 27; 19; 40; 87; 73; 92; 88; 0; 8; 10; 15; 3; 45; 86; 37; 84; 52; 76; 36; 44; 51; 43; 29; 65; 48; 46; 69; 59; 7; 31; 50; 81; 56; 9; 33; 39; 49; 41; 61; 58; 53; 66; 68; 22; 18; 13; 30; 20; 63; 74; 2; 95; 60; 97; 67; 70; 12; 80; 62; 99; 11; 14; 1; 4; 6; 93; 64; 77; 5; 83; 71; 91; 79; 98; 96; 85],[[75; 78; 90; 28; 55]; [35; 26; 24; 34; 21]; [42; 54; 47; 57; 38]; [89; 94; 17; 25; 72; 82]; [16; 32; 23; 27; 19]; [40; 87; 73; 92; 88]; [0; 8; 10; 15; 3]; [45; 86; 37; 84; 52; 76]; [36; 44; 51; 43; 29]; [65; 48; 46; 69; 59]; [7; 31; 50; 81; 56]; [9; 33; 39; 49; 41]; [61; 58; 53; 66; 68]; [22; 18; 13; 30; 20]; [63; 74; 2; 95; 60; 97]; [67; 70; 12; 80; 62; 99]; [11; 14; 1; 4; 6]; [93; 64; 77; 5; 83; 71]; [91; 79; 98; 96; 85]],[82800; 90800; 86900; 100000; 92300; 80300; 97200; 100000; 88400; 85200; 87700; 90000; 84200; 93200; 100000; 99900; 97400; 100000; 77300],3238,3239,0.16109824180603027
38,19,0.8452933684210527,[90; 87; 26; 84; 63; 24; 22; 32; 17; 19; 30; 40; 48; 49; 44; 53; 8; 11; 37; 21; 94; 97; 5; 98; 59; 38; 3; 7; 14; 16; 18; 55; 39; 58; 56; 13; 15; 6; 1; 0; 2; 75; 12; 64; 74; 79; 82; 78; 36; 34; 86; 81; 60; 54; 96; 62; 45; 65; 35; 51; 69; 72; 28; 20; 10; 9; 29; 23; 95; 41; 67; 4; 89; 92; 68; 76; 61; 70; 73; 31; 46; 91; 66; 47; 99; 43; 88; 52; 93; 27; 77; 80; 33; 85; 25; 83; 71; 42; 50; 57],[[90; 87; 26; 84; 63]; [24; 22; 32; 17; 19]; [30; 40; 48; 49; 44]; [53; 8; 11; 37; 21]; [94; 97; 5; 98; 59; 38]; [3; 7; 14; 16; 18]; [55; 39; 58; 56; 13]; [15; 6; 1; 0; 2]; [75; 12; 64; 74; 79; 82]; [78; 36; 34; 86; 81; 60]; [54; 96; 62; 45; 65]; [35; 51; 69; 72; 28]; [20; 10; 9; 29; 23]; [95; 41; 67; 4; 89; 92]; [68; 76; 61; 70; 73]; [31; 46; 91; 66; 47; 99]; [43; 88; 52; 93; 27; 77]; [80; 33; 85; 25; 83; 71]; [42; 50; 57]],[81800; 92500; 88100; 92000; 99600; 95800; 87900; 98400; 100000; 100000; 83300; 86300; 93800; 100000; 82200; 100000; 99900; 100000; 52000],2594,2595,0.12506842613220215
54,19,0.8419782105263158,[76; 69; 68; 80; 65; 22; 8; 34; 20; 16; 15; 4; 5; 3; 6; 36; 97; 18; 96; 88; 46; 38; 63; 50; 44; 39; 75; 62; 48; 74; 49; 78; 52; 17; 45; 41; 31; 25; 30; 32; 28; 13; 60; 82; 61; 64; 71; 35; 29; 27; 37; 47; 10; 14; 23; 19; 7; 72; 11; 81; 79; 56; 90; 54; 21; 33; 84; 94; 86; 53; 57; 55; 59; 42; 92; 70; 89; 43; 77; 1; 9; 0; 2; 12; 85; 26; 67; 58; 40; 99; 73; 51; 83; 66; 87; 24; 95; 98; 93; 91],[[76; 69; 68; 80; 65]; [22; 8; 34; 20; 16]; [15; 4; 5; 3; 6]; [36; 97; 18; 96; 88; 46]; [38; 63; 50; 44; 39]; [75; 62; 48; 74; 49; 78]; [52; 17; 45; 41; 31]; [25; 30; 32; 28; 13]; [60; 82; 61; 64; 71]; [35; 29; 27; 37; 47]; [10; 14; 23; 19; 7]; [72; 11; 81; 79; 56; 90]; [54; 21; 33; 84; 94; 86]; [53; 57; 55; 59; 42]; [92; 70; 89; 43; 77]; [1; 9; 0; 2; 12]; [85; 26; 67; 58; 40; 99]; [73; 51; 83; 66; 87; 24]; [95; 98; 93; 91]],[81900; 93300; 97600; 100000; 87100; 100000; 89500; 91500; 82700; 89300; 94800; 100000; 100000; 85900; 80900; 98200; 100000; 99900; 61000],3663,3664,0.15642666816711426
39,19,0.855841052631579,[18; 31; 10; 9; 8; 14; 63; 39; 55; 65; 16; 37; 49; 87; 98; 93; 86; 94; 77; 33; 66; 20; 15; 6; 5; 3; 4; 36; 24; 50; 47; 32; 30; 21; 51; 29; 35; 85; 64; 58; 88; 48; 42; 38; 84; 54; 46; 41; 90; 45; 56; 57; 97; 25; 13; 22; 23; 17; 73; 72; 43; 62; 40; 75; 80; 79; 60; 74; 19; 78; 44; 70; 53; 59; 83; 61; 96; 27; 91; 68; 34; 0; 12; 7; 2; 1; 28; 99; 92; 69; 89; 11; 67; 76; 81; 52; 26; 82; 71; 95],[[18; 31; 10; 9; 8]; [14; 63; 39; 55; 65]; [16; 37; 49; 87; 98; 93]; [86; 94; 77; 33; 66; 20]; [15; 6; 5; 3; 4]; [36; 24; 50; 47; 32]; [30; 21; 51; 29; 35]; [85; 64; 58; 88; 48; 42]; [38; 84; 54; 46; 41]; [90; 45; 56; 57; 97]; [25; 13; 22; 23; 17]; [73; 72; 43; 62; 40]; [75; 80; 79; 60; 74; 19]; [78; 44; 70; 53; 59; 83]; [61; 96; 27; 91; 68; 34]; [0; 12; 7; 2; 1]; [28; 99; 92; 69; 89; 11]; [67; 76; 81; 52; 26; 82]; [71; 95]],[94700; 87300; 100000; 100000; 97600; 89000; 89900; 99900; 85700; 82200; 93300; 84600; 99800; 100000; 100000; 98200; 99700; 100000; 31700],2664,2665,0.14053988456726074
47,19,0.8379395789473684,[48; 81; 63; 23; 60; 89; 72; 45; 78; 71; 22; 14; 37; 26; 19; 70; 79; 99; 42; 57; 24; 69; 53; 28; 40; 18; 3; 12; 15; 16; 83; 98; 51; 77; 61; 4; 8; 9; 10; 5; 62; 68; 52; 49; 66; 76; 35; 64; 27; 97; 55; 44; 59; 90; 43; 91; 74; 96; 34; 94; 82; 2; 0; 1; 7; 6; 39; 50; 88; 21; 95; 85; 17; 29; 13; 25; 20; 11; 75; 86; 84; 47; 80; 93; 67; 56; 30; 41; 92; 33; 36; 31; 38; 32; 65; 87; 58; 46; 73; 54],[[48; 81; 63; 23; 60]; [89; 72; 45; 78; 71]; [22; 14; 37; 26; 19]; [70; 79; 99; 42; 57]; [24; 69; 53; 28; 40]; [18; 3; 12; 15; 16]; [83; 98; 51; 77; 61]; [4; 8; 9; 10; 5]; [62; 68; 52; 49; 66]; [76; 35; 64; 27; 97]; [55; 44; 59; 90; 43; 91]; [74; 96; 34; 94; 82]; [2; 0; 1; 7; 6]; [39; 50; 88; 21; 95; 85]; [17; 29; 13; 25; 20]; [11; 75; 86; 84; 47; 80]; [93; 67; 56; 30; 41; 92]; [33; 36; 31; 38; 32]; [65; 87; 58; 46; 73; 54]],[85500; 81800; 92200; 82100; 88000; 95600; 81100; 97100; 84800; 84000; 100000; 80300; 98700; 99900; 93100; 100000; 100000; 89400; 100000],3205,3206,0.14066123962402344
37,19,0.8377332631578948,[67; 79; 17; 83; 37; 99; 57; 56; 46; 48; 41; 60; 35; 42; 47; 36; 58; 54; 75; 97; 85; 4; 0; 7; 13; 11; 88; 52; 93; 95; 19; 30; 44; 26; 38; 29; 66; 53; 62; 84; 73; 22; 14; 27; 18; 10; 74; 55; 81; 32; 70; 68; 89; 87; 77; 45; 16; 90; 64; 59; 82; 76; 78; 20; 61; 31; 98; 91; 23; 43; 86; 39; 94; 92; 96; 49; 51; 63; 50; 8; 1; 3; 5; 6; 25; 24; 40; 15; 34; 21; 28; 9; 2; 12; 69; 80; 33; 72; 71; 65],[[67; 79; 17; 83; 37; 99]; [57; 56; 46; 48; 41]; [60; 35; 42; 47; 36]; [58; 54; 75; 97; 85]; [4; 0; 7; 13; 11]; [88; 52; 93; 95; 19]; [30; 44; 26; 38; 29]; [66; 53; 62; 84; 73]; [22; 14; 27; 18; 10]; [74; 55; 81; 32; 70]; [68; 89; 87; 77; 45]; [16; 90; 64; 59; 82; 76]; [78; 20; 61; 31; 98; 91]; [23; 43; 86; 39; 94; 92]; [96; 49; 51; 63; 50]; [8; 1; 3; 5; 6]; [25; 24; 40; 15; 34]; [21; 28; 9; 2; 12]; [69; 80; 33; 72; 71; 65]],[100000; 86800; 87600; 80800; 97300; 82200; 89500; 82600; 93700; 83700; 81200; 100000; 100000; 99900; 84200; 98100; 91200; 94900; 99900],2558,2559,0.10935187339782715
22,19,0.837398,[76; 96; 57; 46; 71; 31; 39; 67; 70; 89; 75; 83; 87; 99; 43; 0; 8; 9; 5; 2; 41; 13; 34; 15; 16; 95; 50; 79; 64; 72; 23; 14; 1; 7; 10; 25; 47; 49; 20; 21; 66; 90; 82; 91; 12; 27; 56; 88; 52; 51; 65; 40; 81; 17; 85; 98; 80; 53; 55; 61; 77; 58; 18; 48; 45; 33; 11; 44; 92; 32; 68; 54; 97; 84; 93; 63; 78; 74; 6; 28; 38; 19; 42; 22; 3; 24; 35; 4; 30; 69; 62; 29; 94; 37; 86; 59; 26; 60; 73; 36],[[76; 96; 57; 46; 71]; [31; 39; 67; 70; 89]; [75; 83; 87; 99; 43]; [0; 8; 9; 5; 2]; [41; 13; 34; 15; 16]; [95; 50; 79; 64; 72]; [23; 14; 1; 7; 10]; [25; 47; 49; 20; 21]; [66; 90; 82; 91; 12]; [27; 56; 88; 52; 51]; [65; 40; 81; 17; 85; 98]; [80; 53; 55; 61; 77; 58]; [18; 48; 45; 33; 11]; [44; 92; 32; 68; 54; 97]; [84; 93; 63; 78; 74; 6]; [28; 38; 19; 42; 22]; [3; 24; 35; 4; 30]; [69; 62; 29; 94; 37; 86]; [59; 26; 60; 73; 36]],[82300; 84300; 80100; 98100; 92600; 81700; 95900; 90400; 82400; 85500; 99900; 100000; 91000; 99600; 99600; 90700; 93600; 100000; 85900],1589,1590,0.0623784065246582
25,19,0.8470706315789472,[24; 51; 66; 59; 97; 90; 14; 26; 76; 99; 84; 77; 3; 10; 13; 19; 8; 50; 58; 73; 63; 80; 43; 40; 27; 17; 9; 22; 1; 11; 0; 7; 87; 85; 52; 32; 33; 89; 12; 35; 48; 29; 2; 16; 6; 5; 18; 4; 38; 74; 39; 61; 36; 23; 65; 75; 92; 68; 60; 56; 62; 21; 95; 64; 20; 88; 79; 69; 96; 31; 42; 37; 72; 47; 45; 49; 81; 30; 44; 71; 67; 15; 70; 28; 54; 98; 46; 53; 93; 41; 55; 94; 91; 78; 25; 57; 34; 82; 86; 83],[[24; 51; 66; 59; 97; 90]; [14; 26; 76; 99; 84; 77]; [3; 10; 13; 19; 8]; [50; 58; 73; 63; 80]; [43; 40; 27; 17; 9]; [22; 1; 11; 0; 7]; [87; 85; 52; 32; 33; 89]; [12; 35; 48; 29; 2]; [16; 6; 5; 18; 4]; [38; 74; 39; 61; 36]; [23; 65; 75; 92; 68; 60]; [56; 62; 21; 95; 64]; [20; 88; 79; 69; 96; 31]; [42; 37; 72; 47; 45]; [49; 81; 30; 44; 71]; [67; 15; 70; 28; 54]; [98; 46; 53; 93; 41; 55]; [94; 91; 78; 25; 57; 34]; [82; 86; 83]],[99800; 100000; 96100; 83200; 91600; 96900; 100000; 92500; 96700; 86200; 100000; 84400; 100000; 86600; 85300; 87300; 100000; 99800; 47200],1787,1788,0.07799792289733887
29,19,0.8544845263157894,[91; 48; 46; 84; 71; 13; 16; 3; 7; 0; 23; 18; 33; 72; 31; 56; 78; 51; 27; 77; 76; 17; 21; 44; 36; 6; 2; 9; 1; 12; 81; 94; 4; 67; 90; 57; 35; 58; 74; 96; 42; 73; 63; 92; 26; 60; 98; 39; 97; 99; 47; 25; 32; 79; 64; 93; 80; 38; 45; 68; 37; 14; 29; 22; 8; 20; 5; 49; 15; 41; 65; 86; 43; 52; 83; 61; 66; 87; 85; 95; 40; 11; 89; 59; 34; 50; 75; 28; 82; 53; 70; 88; 62; 55; 10; 19; 24; 30; 54; 69],[[91; 48; 46; 84; 71]; [13; 16; 3; 7; 0]; [23; 18; 33; 72; 31]; [56; 78; 51; 27; 77]; [76; 17; 21; 44; 36]; [6; 2; 9; 1; 12]; [81; 94; 4; 67; 90; 57]; [35; 58; 74; 96; 42; 73]; [63; 92; 26; 60; 98; 39]; [97; 99; 47; 25; 32; 79]; [64; 93; 80; 38; 45; 68]; [37; 14; 29; 22; 8]; [20; 5; 49; 15; 41]; [65; 86; 43; 52; 83; 61]; [66; 87; 85; 95; 40; 11]; [89; 59; 34; 50; 75]; [28; 82; 53; 70; 88; 62]; [55; 10; 19; 24; 30]; [54; 69]],[82600; 97000; 89600; 84600; 88800; 97800; 99900; 100000; 99900; 99900; 99800; 92600; 92400; 99900; 99900; 83800; 100000; 91400; 33700],2056,2057,0.0938420295715332
36,19,0.8475564210526315,[10; 6; 5; 16; 4; 83; 97; 49; 31; 60; 56; 99; 53; 68; 50; 70; 43; 64; 65; 75; 52; 81; 48; 80; 36; 25; 26; 92; 72; 98; 54; 37; 20; 78; 96; 22; 74; 91; 58; 73; 35; 86; 13; 28; 12; 18; 39; 27; 67; 63; 44; 71; 85; 59; 3; 15; 17; 9; 8; 38; 30; 95; 89; 45; 76; 55; 47; 69; 93; 41; 77; 40; 82; 79; 57; 46; 19; 24; 29; 51; 32; 66; 23; 61; 62; 90; 87; 42; 33; 7; 14; 34; 1; 2; 0; 11; 21; 94; 88; 84],[[10; 6; 5; 16; 4]; [83; 97; 49; 31; 60]; [56; 99; 53; 68; 50; 70]; [43; 64; 65; 75; 52]; [81; 48; 80; 36; 25]; [26; 92; 72; 98; 54; 37]; [20; 78; 96; 22; 74; 91]; [58; 73; 35; 86; 13]; [28; 12; 18; 39; 27]; [67; 63; 44; 71; 85; 59]; [3; 15; 17; 9; 8]; [38; 30; 95; 89; 45; 76]; [55; 47; 69; 93; 41]; [77; 40; 82; 79; 57; 46]; [19; 24; 29; 51; 32]; [66; 23; 61; 62; 90; 87]; [42; 33; 7; 14; 34]; [1; 2; 0; 11; 21]; [94; 88; 84]],[97000; 83100; 99900; 84600; 85400; 99700; 100000; 85700; 91900; 99900; 96200; 100000; 84200; 100000; 90600; 99800; 91700; 97500; 46400],2473,2474,0.12486529350280762
