Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
37,19,0.8489925263157895,[67; 70; 76; 57; 63; 25; 73; 69; 77; 48; 87; 75; 80; 50; 88; 53; 34; 21; 32; 36; 26; 7; 61; 41; 60; 64; 46; 44; 17; 23; 49; 86; 81; 14; 92; 83; 9; 39; 33; 0; 6; 54; 91; 97; 47; 38; 56; 79; 84; 45; 42; 52; 65; 99; 71; 51; 85; 11; 93; 43; 90; 22; 58; 72; 15; 5; 12; 8; 2; 16; 29; 3; 1; 4; 68; 66; 89; 31; 74; 55; 78; 94; 27; 37; 59; 98; 20; 24; 18; 40; 35; 19; 10; 13; 30; 28; 62; 96; 82; 95],[[67; 70; 76; 57; 63]; [25; 73; 69; 77; 48; 87]; [75; 80; 50; 88; 53]; [34; 21; 32; 36; 26]; [7; 61; 41; 60; 64]; [46; 44; 17; 23; 49]; [86; 81; 14; 92; 83]; [9; 39; 33; 0; 6]; [54; 91; 97; 47; 38; 56]; [79; 84; 45; 42; 52]; [65; 99; 71; 51; 85; 11]; [93; 43; 90; 22; 58; 72]; [15; 5; 12; 8; 2]; [16; 29; 3; 1; 4]; [68; 66; 89; 31; 74; 55]; [78; 94; 27; 37; 59; 98]; [20; 24; 18; 40; 35]; [19; 10; 13; 30; 28]; [62; 96; 82; 95]],[82300; 99900; 81900; 92300; 87900; 90500; 81500; 95500; 100000; 84400; 100000; 100000; 98000; 97200; 100000; 99500; 93000; 94900; 62600],2534,2535,0.12510061264038086
37,19,0.8494762105263156,[76; 87; 85; 48; 68; 3; 13; 40; 11; 21; 23; 25; 9; 0; 10; 29; 88; 89; 83; 14; 39; 82; 73; 51; 70; 46; 7; 16; 33; 22; 27; 97; 56; 96; 77; 32; 86; 60; 99; 74; 37; 1; 26; 8; 6; 18; 41; 44; 43; 4; 36; 62; 58; 98; 63; 50; 59; 54; 75; 55; 52; 79; 69; 35; 57; 53; 66; 94; 81; 71; 84; 38; 78; 64; 45; 72; 90; 49; 95; 47; 31; 42; 30; 67; 61; 65; 5; 19; 24; 17; 2; 34; 12; 28; 20; 15; 80; 92; 93; 91],[[76; 87; 85; 48; 68]; [3; 13; 40; 11; 21]; [23; 25; 9; 0; 10]; [29; 88; 89; 83; 14]; [39; 82; 73; 51; 70]; [46; 7; 16; 33; 22]; [27; 97; 56; 96; 77; 32]; [86; 60; 99; 74; 37]; [1; 26; 8; 6; 18]; [41; 44; 43; 4; 36]; [62; 58; 98; 63; 50; 59]; [54; 75; 55; 52; 79; 69]; [35; 57; 53; 66; 94; 81]; [71; 84; 38; 78; 64; 45]; [72; 90; 49; 95; 47; 31]; [42; 30; 67; 61; 65]; [5; 19; 24; 17; 2]; [34; 12; 28; 20; 15]; [80; 92; 93; 91]],[81000; 95400; 96300; 84300; 83400; 93400; 100000; 81700; 97000; 91400; 99700; 99900; 99900; 100000; 99600; 86100; 96700; 94400; 61200],2559,2560,0.1247551441192627
38,19,0.8494521052631578,[3; 2; 11; 0; 1; 31; 40; 21; 35; 36; 50; 75; 93; 28; 81; 47; 59; 94; 57; 51; 78; 87; 53; 20; 77; 86; 63; 13; 12; 9; 10; 22; 32; 56; 42; 67; 80; 34; 39; 30; 26; 45; 95; 24; 71; 61; 41; 85; 99; 49; 55; 48; 29; 88; 89; 52; 66; 62; 82; 90; 96; 25; 60; 23; 33; 4; 7; 14; 15; 16; 19; 5; 8; 76; 58; 68; 74; 37; 64; 70; 65; 98; 18; 54; 79; 69; 43; 73; 72; 91; 27; 44; 38; 17; 6; 46; 84; 92; 83; 97],[[3; 2; 11; 0; 1]; [31; 40; 21; 35; 36]; [50; 75; 93; 28; 81]; [47; 59; 94; 57; 51; 78]; [87; 53; 20; 77; 86; 63]; [13; 12; 9; 10; 22]; [32; 56; 42; 67; 80]; [34; 39; 30; 26; 45]; [95; 24; 71; 61; 41]; [85; 99; 49; 55; 48]; [29; 88; 89; 52; 66; 62]; [82; 90; 96; 25; 60]; [23; 33; 4; 7; 14]; [15; 16; 19; 5; 8]; [76; 58; 68; 74; 37; 64]; [70; 65; 98; 18; 54; 79]; [69; 43; 73; 72; 91; 27]; [44; 38; 17; 6; 46]; [84; 92; 83; 97]],[99200; 91700; 82800; 99900; 99900; 96500; 85600; 91000; 84700; 82700; 100000; 81500; 95600; 96800; 100000; 100000; 99900; 92100; 61500],2603,2604,0.11815357208251953
37,19,0.8542129473684209,[85; 61; 32; 81; 43; 87; 75; 77; 36; 84; 83; 23; 47; 31; 39; 19; 60; 97; 54; 78; 72; 24; 8; 20; 3; 35; 37; 57; 76; 65; 73; 6; 59; 99; 49; 21; 16; 4; 0; 2; 1; 28; 48; 40; 34; 52; 56; 51; 63; 45; 70; 92; 71; 50; 17; 74; 88; 86; 89; 68; 98; 38; 80; 15; 22; 26; 11; 44; 13; 55; 62; 79; 96; 93; 5; 29; 30; 42; 12; 33; 18; 9; 7; 10; 14; 27; 53; 67; 82; 94; 58; 66; 41; 64; 90; 25; 91; 69; 95; 46],[[85; 61; 32; 81; 43; 87]; [75; 77; 36; 84; 83]; [23; 47; 31; 39; 19]; [60; 97; 54; 78; 72]; [24; 8; 20; 3; 35]; [37; 57; 76; 65; 73]; [6; 59; 99; 49; 21]; [16; 4; 0; 2; 1]; [28; 48; 40; 34; 52]; [56; 51; 63; 45; 70; 92]; [71; 50; 17; 74; 88; 86]; [89; 68; 98; 38; 80; 15]; [22; 26; 11; 44; 13]; [55; 62; 79; 96; 93; 5]; [29; 30; 42; 12; 33]; [18; 9; 7; 10; 14]; [27; 53; 67; 82; 94; 58]; [66; 41; 64; 90; 25; 91]; [69; 95; 46]],[100000; 81600; 91700; 81400; 95300; 83700; 88000; 98900; 89600; 100000; 99800; 99900; 93800; 99900; 92500; 96900; 99900; 99700; 48800],2570,2571,0.11407589912414551
44,19,0.8455501052631579,[13; 7; 26; 22; 10; 90; 53; 96; 58; 63; 15; 1; 6; 4; 19; 55; 35; 50; 40; 49; 16; 61; 75; 47; 97; 88; 94; 91; 29; 33; 37; 92; 44; 18; 41; 32; 12; 72; 65; 80; 76; 77; 3; 0; 5; 17; 2; 45; 64; 81; 51; 42; 66; 89; 84; 20; 71; 43; 46; 24; 36; 57; 60; 93; 23; 62; 74; 69; 56; 48; 78; 70; 98; 28; 27; 25; 54; 21; 52; 85; 86; 59; 87; 11; 34; 8; 30; 9; 83; 73; 95; 39; 79; 14; 82; 67; 99; 31; 38; 68],[[13; 7; 26; 22; 10]; [90; 53; 96; 58; 63]; [15; 1; 6; 4; 19]; [55; 35; 50; 40; 49]; [16; 61; 75; 47; 97; 88]; [94; 91; 29; 33; 37; 92]; [44; 18; 41; 32; 12]; [72; 65; 80; 76; 77]; [3; 0; 5; 17; 2]; [45; 64; 81; 51; 42]; [66; 89; 84; 20; 71]; [43; 46; 24; 36; 57]; [60; 93; 23; 62; 74; 69]; [56; 48; 78; 70; 98]; [28; 27; 25; 54; 21]; [52; 85; 86; 59; 87]; [11; 34; 8; 30; 9]; [83; 73; 95; 39; 79; 14]; [82; 67; 99; 31; 38; 68]],[95800; 80900; 97800; 88100; 100000; 100000; 92400; 80600; 98700; 85100; 82800; 89400; 99900; 81900; 91700; 81000; 95300; 100000; 100000],3010,3011,0.11767053604125977
59,19,0.8452954736842105,[85; 43; 41; 54; 59; 46; 69; 82; 35; 68; 74; 60; 93; 84; 70; 1; 11; 14; 23; 4; 52; 36; 42; 45; 34; 87; 95; 29; 26; 65; 81; 62; 61; 58; 48; 56; 91; 50; 39; 78; 57; 66; 94; 72; 67; 79; 17; 7; 0; 8; 10; 6; 88; 89; 98; 51; 32; 27; 40; 83; 53; 47; 75; 76; 71; 30; 49; 77; 80; 44; 64; 55; 37; 31; 3; 13; 38; 22; 20; 21; 24; 28; 33; 25; 90; 97; 63; 99; 12; 9; 2; 19; 5; 15; 86; 73; 18; 16; 92; 96],[[85; 43; 41; 54; 59]; [46; 69; 82; 35; 68]; [74; 60; 93; 84; 70]; [1; 11; 14; 23; 4]; [52; 36; 42; 45; 34]; [87; 95; 29; 26; 65; 81]; [62; 61; 58; 48; 56]; [91; 50; 39; 78; 57; 66]; [94; 72; 67; 79; 17]; [7; 0; 8; 10; 6]; [88; 89; 98; 51; 32; 27]; [40; 83; 53; 47; 75]; [76; 71; 30; 49; 77; 80]; [44; 64; 55; 37; 31]; [3; 13; 38; 22; 20]; [21; 24; 28; 33; 25]; [90; 97; 63; 99; 12]; [9; 2; 19; 5; 15]; [86; 73; 18; 16; 92; 96]],[85500; 84200; 80100; 97100; 89200; 100000; 85400; 100000; 82700; 98400; 100000; 84400; 100000; 87800; 94900; 93000; 81100; 97600; 100000],3957,3958,0.17632627487182617
60,19,0.8458133684210525,[89; 81; 73; 86; 55; 2; 15; 1; 8; 6; 67; 60; 75; 42; 64; 59; 96; 35; 37; 79; 71; 51; 82; 84; 85; 9; 3; 13; 18; 17; 99; 65; 78; 83; 56; 4; 10; 11; 7; 0; 23; 16; 28; 19; 14; 92; 93; 62; 47; 54; 26; 76; 44; 66; 69; 94; 27; 12; 24; 33; 21; 61; 57; 29; 68; 90; 77; 53; 50; 36; 38; 63; 40; 20; 30; 41; 31; 58; 48; 49; 87; 45; 97; 52; 39; 46; 34; 32; 98; 72; 22; 25; 80; 88; 74; 5; 43; 70; 91; 95],[[89; 81; 73; 86; 55]; [2; 15; 1; 8; 6]; [67; 60; 75; 42; 64]; [59; 96; 35; 37; 79]; [71; 51; 82; 84; 85]; [9; 3; 13; 18; 17]; [99; 65; 78; 83; 56]; [4; 10; 11; 7; 0]; [23; 16; 28; 19; 14]; [92; 93; 62; 47; 54]; [26; 76; 44; 66; 69; 94]; [27; 12; 24; 33; 21]; [61; 57; 29; 68; 90; 77]; [53; 50; 36; 38; 63]; [40; 20; 30; 41; 31]; [58; 48; 49; 87; 45; 97]; [52; 39; 46; 34; 32]; [98; 72; 22; 25; 80; 88]; [74; 5; 43; 70; 91; 95]],[80200; 98500; 83700; 84200; 80600; 96800; 80400; 98300; 94600; 81700; 100000; 93800; 100000; 87300; 91800; 100000; 89500; 100000; 100000],4015,4016,0.20315027236938477
50,19,0.8550077894736843,[91; 26; 30; 31; 23; 56; 55; 83; 53; 50; 45; 64; 99; 49; 34; 93; 18; 39; 92; 71; 67; 4; 10; 11; 2; 14; 60; 76; 1; 88; 66; 94; 79; 57; 85; 89; 41; 38; 58; 35; 69; 37; 33; 70; 84; 59; 68; 80; 16; 7; 5; 19; 0; 13; 44; 15; 48; 8; 6; 9; 22; 3; 25; 77; 43; 74; 86; 27; 75; 36; 28; 21; 20; 54; 12; 29; 17; 62; 61; 87; 47; 40; 24; 95; 90; 98; 32; 51; 72; 52; 82; 73; 46; 81; 42; 63; 78; 65; 97; 96],[[91; 26; 30; 31; 23]; [56; 55; 83; 53; 50]; [45; 64; 99; 49; 34; 93]; [18; 39; 92; 71; 67]; [4; 10; 11; 2; 14]; [60; 76; 1; 88; 66; 94]; [79; 57; 85; 89; 41; 38]; [58; 35; 69; 37; 33]; [70; 84; 59; 68; 80]; [16; 7; 5; 19; 0]; [13; 44; 15; 48; 8]; [6; 9; 22; 3; 25]; [77; 43; 74; 86; 27; 75]; [36; 28; 21; 20; 54]; [12; 29; 17; 62; 61]; [87; 47; 40; 24; 95; 90]; [98; 32; 51; 72; 52; 82]; [73; 46; 81; 42; 63; 78]; [65; 97; 96]],[89300; 84600; 99900; 84800; 97900; 100000; 100000; 87700; 81200; 97600; 93300; 96400; 100000; 91800; 90700; 99800; 99900; 100000; 46500],3375,3376,0.15626764297485352
50,19,0.8495125263157894,[53; 89; 74; 51; 56; 32; 18; 7; 37; 29; 36; 39; 41; 46; 21; 28; 17; 20; 22; 27; 55; 77; 97; 78; 66; 5; 19; 14; 16; 25; 67; 68; 70; 93; 13; 65; 2; 10; 4; 9; 0; 23; 58; 85; 96; 75; 48; 3; 54; 91; 80; 95; 60; 26; 52; 42; 38; 49; 64; 87; 82; 61; 73; 1; 6; 12; 15; 11; 62; 43; 69; 44; 71; 40; 30; 35; 33; 24; 72; 8; 88; 63; 59; 94; 92; 76; 34; 45; 81; 57; 50; 79; 31; 84; 99; 47; 86; 98; 90; 83],[[53; 89; 74; 51; 56]; [32; 18; 7; 37; 29]; [36; 39; 41; 46; 21]; [28; 17; 20; 22; 27]; [55; 77; 97; 78; 66]; [5; 19; 14; 16; 25]; [67; 68; 70; 93; 13; 65]; [2; 10; 4; 9; 0]; [23; 58; 85; 96; 75; 48]; [3; 54; 91; 80; 95; 60]; [26; 52; 42; 38; 49]; [64; 87; 82; 61; 73]; [1; 6; 12; 15; 11]; [62; 43; 69; 44; 71]; [40; 30; 35; 33; 24]; [72; 8; 88; 63; 59; 94]; [92; 76; 34; 45; 81; 57]; [50; 79; 31; 84; 99; 47]; [86; 98; 90; 83]],[83200; 93500; 90600; 93900; 80700; 95800; 99900; 98800; 99800; 100000; 89100; 80800; 97700; 84700; 91700; 99900; 100000; 99900; 61400],3408,3409,0.17189335823059082
60,19,0.850077894736842,[45; 39; 16; 41; 30; 19; 9; 22; 21; 17; 86; 90; 38; 78; 85; 2; 15; 8; 26; 18; 91; 29; 52; 40; 79; 93; 0; 6; 1; 10; 5; 13; 25; 33; 14; 27; 56; 84; 43; 58; 61; 32; 35; 47; 34; 42; 66; 68; 51; 57; 81; 63; 37; 59; 44; 54; 89; 71; 62; 46; 70; 36; 95; 55; 74; 53; 87; 99; 4; 7; 12; 3; 11; 83; 92; 23; 82; 69; 28; 50; 72; 60; 49; 24; 80; 48; 88; 73; 31; 65; 20; 67; 64; 77; 76; 75; 97; 98; 96; 94],[[45; 39; 16; 41; 30]; [19; 9; 22; 21; 17]; [86; 90; 38; 78; 85]; [2; 15; 8; 26; 18]; [91; 29; 52; 40; 79; 93]; [0; 6; 1; 10; 5]; [13; 25; 33; 14; 27]; [56; 84; 43; 58; 61]; [32; 35; 47; 34; 42]; [66; 68; 51; 57; 81; 63]; [37; 59; 44; 54; 89]; [71; 62; 46; 70; 36; 95]; [55; 74; 53; 87; 99]; [4; 7; 12; 3; 11]; [83; 92; 23; 82; 69; 28]; [50; 72; 60; 49; 24]; [80; 48; 88; 73; 31; 65]; [20; 67; 64; 77; 76; 75]; [97; 98; 96; 94]],[91100; 95400; 80300; 96500; 100000; 99000; 93900; 84600; 90100; 99800; 85300; 100000; 81000; 98000; 100000; 86600; 99900; 99900; 60000],4026,4027,0.17195415496826172
40,19,0.8548087368421052,[75; 68; 48; 64; 89; 18; 24; 27; 20; 34; 28; 40; 70; 43; 55; 31; 76; 72; 37; 52; 86; 80; 74; 49; 66; 30; 53; 58; 59; 38; 56; 22; 32; 12; 8; 13; 61; 63; 95; 81; 10; 78; 60; 44; 85; 94; 88; 15; 41; 87; 77; 50; 91; 29; 11; 25; 26; 17; 92; 67; 46; 65; 83; 23; 35; 45; 36; 21; 14; 0; 2; 7; 39; 4; 93; 73; 54; 33; 47; 84; 82; 71; 19; 57; 62; 99; 16; 3; 5; 9; 6; 69; 98; 42; 79; 1; 97; 96; 90; 51],[[75; 68; 48; 64; 89]; [18; 24; 27; 20; 34]; [28; 40; 70; 43; 55]; [31; 76; 72; 37; 52]; [86; 80; 74; 49; 66; 30]; [53; 58; 59; 38; 56]; [22; 32; 12; 8; 13]; [61; 63; 95; 81; 10; 78]; [60; 44; 85; 94; 88; 15]; [41; 87; 77; 50; 91]; [29; 11; 25; 26; 17]; [92; 67; 46; 65; 83; 23]; [35; 45; 36; 21; 14]; [0; 2; 7; 39; 4]; [93; 73; 54; 33; 47; 84]; [82; 71; 19; 57; 62; 99]; [16; 3; 5; 9; 6]; [69; 98; 42; 79; 1; 97]; [96; 90; 51]],[81800; 93600; 87700; 85900; 100000; 86400; 95400; 99900; 100000; 81800; 94200; 100000; 92100; 97400; 99900; 100000; 97900; 100000; 47400],2766,2767,0.14061927795410156
