Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
12,40,0.7163424999999999,[41; 20; 33; 45; 37; 36; 3; 12; 23; 16; 8; 18; 2; 27; 17; 6; 25; 47; 31; 39; 13; 49; 24; 19; 1; 10; 22; 5; 40; 30; 15; 14; 48; 7; 0; 43; 4; 29; 42; 26; 11; 38; 35; 44; 28; 34; 46; 21; 32; 9],[[41]; [20]; [33; 45]; [37; 36]; [3]; [12]; [23]; [16]; [8]; [18]; [2]; [27]; [17]; [6]; [25; 47]; [31; 39]; [13]; [49; 24]; [19]; [1]; [10]; [22]; [5]; [40; 30]; [15]; [14]; [48]; [7]; [0]; [43]; [4]; [29; 42]; [26]; [11]; [38; 35]; [44; 28]; [34; 46]; [21]; [32]; [9]],[4100; 7400; 9000; 10000; 9500; 8700; 6800; 7900; 9300; 7700; 9500; 6400; 7800; 9400; 10000; 9900; 8300; 9900; 7700; 9700; 9000; 6900; 9500; 9700; 7900; 8200; 3300; 9300; 10000; 3800; 9500; 9700; 6500; 8900; 9700; 9800; 9000; 7100; 5400; 9100],436,437,0.015622854232788086
7,39,0.7459051282051282,[11; 3; 20; 18; 22; 21; 37; 35; 31; 39; 42; 4; 47; 26; 32; 44; 23; 41; 29; 0; 2; 25; 38; 33; 8; 17; 7; 10; 12; 19; 5; 49; 24; 14; 28; 43; 1; 36; 46; 9; 27; 16; 45; 30; 15; 6; 48; 13; 34; 40],[[11]; [3]; [20]; [18]; [22]; [21]; [37; 35]; [31; 39]; [42]; [4]; [47; 26]; [32; 44]; [23]; [41; 29]; [0]; [2]; [25]; [38; 33]; [8]; [17]; [7]; [10]; [12]; [19]; [5]; [49; 24]; [14]; [28; 43]; [1]; [36; 46]; [9]; [27]; [16]; [45; 30]; [15]; [6]; [48]; [13]; [34; 40]],[8900; 9500; 7400; 7700; 6900; 7100; 10000; 9900; 3900; 9500; 10000; 9100; 6800; 9900; 10000; 9500; 6500; 9900; 9300; 7800; 9300; 9000; 8700; 7700; 9500; 9900; 8200; 9900; 9700; 8800; 9100; 6400; 7900; 9200; 7900; 9400; 3300; 8300; 9500],279,280,0.015820980072021484
7,40,0.7115474999999999,[16; 9; 10; 12; 43; 31; 24; 37; 39; 27; 3; 13; 18; 8; 40; 0; 41; 29; 35; 26; 33; 48; 15; 34; 45; 14; 11; 1; 19; 22; 17; 36; 38; 7; 2; 46; 5; 20; 21; 4; 44; 32; 47; 25; 42; 28; 23; 49; 6; 30],[[16]; [9]; [10]; [12]; [43; 31]; [24]; [37; 39]; [27]; [3]; [13]; [18]; [8]; [40]; [0]; [41; 29]; [35]; [26]; [33; 48]; [15]; [34; 45]; [14]; [11]; [1]; [19]; [22]; [17]; [36; 38]; [7]; [2]; [46]; [5]; [20]; [21]; [4]; [44; 32]; [47; 25]; [42; 28]; [23; 49]; [6]; [30]],[7900; 9100; 9000; 8700; 9300; 6800; 9300; 6400; 9500; 8300; 7700; 9300; 4200; 10000; 9900; 5100; 6500; 8600; 7900; 9000; 8200; 8900; 9700; 7700; 6900; 7800; 9700; 9300; 9500; 3700; 9500; 7400; 7100; 9500; 9100; 10000; 10000; 9900; 9400; 5500],281,282,0.01563858985900879
11,39,0.7429871794871795,[3; 46; 36; 14; 11; 4; 6; 33; 26; 7; 27; 22; 20; 0; 43; 32; 29; 41; 5; 17; 15; 31; 39; 40; 44; 48; 19; 28; 45; 16; 9; 47; 25; 10; 8; 18; 24; 23; 49; 1; 38; 34; 12; 13; 2; 30; 42; 37; 35; 21],[[3]; [46; 36]; [14]; [11]; [4]; [6]; [33]; [26]; [7]; [27]; [22]; [20]; [0]; [43; 32]; [29; 41]; [5]; [17]; [15]; [31; 39]; [40; 44]; [48]; [19]; [28; 45]; [16]; [9]; [47; 25]; [10]; [8]; [18]; [24]; [23; 49]; [1]; [38; 34]; [12]; [13]; [2]; [30; 42]; [37; 35]; [21]],[9500; 8800; 8200; 8900; 9500; 9400; 5300; 6500; 9300; 6400; 6900; 7400; 10000; 9200; 9900; 9500; 7800; 7900; 9900; 7900; 3300; 7700; 9800; 7900; 9100; 10000; 9000; 9300; 7700; 6800; 9900; 9700; 9900; 8700; 8300; 9500; 9400; 10000; 7100],401,402,0.015624046325683594
8,39,0.7432948717948719,[37; 36; 41; 0; 17; 10; 27; 47; 1; 9; 5; 4; 19; 24; 22; 35; 39; 23; 16; 30; 49; 40; 29; 20; 6; 8; 15; 18; 33; 44; 21; 32; 38; 13; 25; 48; 28; 45; 14; 43; 2; 42; 34; 7; 46; 31; 26; 3; 12; 11],[[37; 36]; [41]; [0]; [17]; [10]; [27; 47]; [1]; [9]; [5]; [4]; [19]; [24]; [22]; [35; 39]; [23]; [16]; [30; 49]; [40; 29]; [20]; [6]; [8]; [15]; [18]; [33; 44]; [21]; [32; 38]; [13]; [25; 48]; [28; 45]; [14]; [43]; [2]; [42; 34]; [7]; [46; 31]; [26]; [3]; [12]; [11]],[10000; 4100; 10000; 7800; 9000; 9900; 9700; 9100; 9500; 9500; 7700; 6800; 6900; 9500; 6800; 7900; 8600; 10000; 7400; 9400; 9300; 7900; 7700; 9000; 7100; 10000; 8300; 9800; 9800; 8200; 3800; 9500; 9200; 9300; 9200; 6500; 9500; 8700; 8900],306,307,0.015624284744262695
9,40,0.7098474999999999,[39; 32; 40; 21; 4; 23; 16; 12; 22; 20; 8; 18; 46; 6; 11; 48; 28; 41; 29; 7; 43; 34; 1; 19; 27; 14; 9; 35; 45; 10; 0; 2; 24; 26; 15; 36; 38; 31; 42; 17; 44; 33; 3; 47; 25; 13; 5; 30; 49; 37],[[39; 32]; [40]; [21]; [4]; [23]; [16]; [12]; [22]; [20]; [8]; [18]; [46]; [6]; [11]; [48; 28]; [41; 29]; [7]; [43; 34]; [1]; [19]; [27]; [14]; [9]; [35; 45]; [10]; [0]; [2]; [24]; [26]; [15]; [36; 38]; [31; 42]; [17]; [44; 33]; [3]; [47; 25]; [13]; [5]; [30; 49]; [37]],[9800; 4200; 7100; 9500; 6800; 7900; 8700; 6900; 7400; 9300; 7700; 3700; 9400; 8900; 9400; 9900; 9300; 9100; 9700; 7700; 6400; 8200; 9100; 8800; 9000; 10000; 9500; 6800; 6500; 7900; 9700; 9400; 7800; 9000; 9500; 10000; 8300; 9500; 8600; 4900],326,327,0.015622854232788086
6,39,0.744233333333333,[4; 3; 19; 38; 2; 12; 29; 43; 1; 46; 11; 13; 37; 35; 27; 48; 5; 44; 28; 32; 39; 17; 21; 0; 41; 31; 16; 20; 23; 49; 7; 10; 18; 40; 36; 15; 42; 34; 24; 8; 47; 25; 30; 6; 14; 33; 45; 9; 26; 22],[[4]; [3]; [19]; [38]; [2]; [12]; [29; 43]; [1]; [46]; [11]; [13]; [37; 35]; [27; 48]; [5]; [44; 28]; [32; 39]; [17]; [21]; [0]; [41; 31]; [16]; [20]; [23; 49]; [7]; [10]; [18]; [40; 36]; [15]; [42; 34]; [24]; [8]; [47; 25]; [30]; [6]; [14]; [33; 45]; [9]; [26]; [22]],[9500; 9500; 7700; 4600; 9500; 8700; 9600; 9700; 3700; 8900; 8300; 10000; 9700; 9500; 9800; 9800; 7800; 7100; 10000; 9600; 7900; 7400; 9900; 9300; 9000; 7700; 9300; 7900; 9200; 6800; 9300; 10000; 5500; 9400; 8200; 9000; 9100; 6500; 6900],244,245,0.015623331069946289
11,39,0.7459410256410255,[26; 17; 10; 5; 27; 36; 45; 0; 30; 43; 44; 18; 20; 19; 22; 49; 12; 29; 40; 14; 32; 39; 2; 41; 31; 21; 35; 37; 42; 33; 11; 46; 28; 6; 24; 9; 47; 15; 34; 38; 23; 8; 4; 16; 13; 7; 25; 48; 1; 3],[[26]; [17]; [10]; [5]; [27]; [36; 45]; [0]; [30; 43]; [44]; [18]; [20]; [19]; [22; 49]; [12]; [29; 40]; [14]; [32; 39]; [2]; [41; 31]; [21]; [35; 37]; [42; 33]; [11]; [46; 28]; [6]; [24]; [9]; [47]; [15]; [34; 38]; [23]; [8]; [4]; [16]; [13]; [7]; [25; 48]; [1]; [3]],[6500; 7800; 9000; 9500; 6400; 8800; 10000; 9300; 3700; 7700; 7400; 7700; 10000; 8700; 10000; 8200; 9800; 9500; 9600; 7100; 10000; 9200; 8900; 9800; 9400; 6800; 9100; 3500; 7900; 9900; 6800; 9300; 9500; 7900; 8300; 9300; 9800; 9700; 9500],416,417,0.015622615814208984
12,40,0.7143824999999999,[42; 20; 3; 24; 49; 19; 35; 37; 26; 47; 43; 18; 10; 0; 23; 16; 5; 27; 12; 38; 33; 44; 34; 30; 31; 46; 4; 14; 21; 7; 13; 17; 22; 28; 48; 41; 8; 9; 2; 6; 32; 45; 39; 36; 11; 1; 25; 29; 40; 15],[[42]; [20]; [3]; [24; 49]; [19]; [35; 37]; [26; 47]; [43]; [18]; [10]; [0]; [23]; [16]; [5]; [27]; [12]; [38; 33]; [44; 34]; [30]; [31; 46]; [4]; [14]; [21]; [7]; [13]; [17]; [22]; [28; 48]; [41]; [8]; [9]; [2]; [6]; [32; 45]; [39; 36]; [11]; [1]; [25]; [29; 40]; [15]],[3900; 7400; 9500; 9900; 7700; 10000; 10000; 3800; 7700; 9000; 10000; 6800; 7900; 9500; 6400; 8700; 9900; 9000; 5500; 9200; 9500; 8200; 7100; 9300; 8300; 7800; 6900; 9400; 4100; 9300; 9100; 9500; 9400; 9100; 9500; 8900; 9700; 6500; 10000; 7900],426,427,0.015744447708129883
14,39,0.7411256410256409,[23; 5; 18; 34; 39; 0; 20; 25; 40; 30; 13; 43; 45; 17; 7; 16; 21; 35; 37; 6; 38; 32; 4; 9; 2; 41; 29; 11; 3; 44; 46; 49; 24; 15; 19; 8; 48; 26; 14; 33; 12; 1; 10; 27; 47; 36; 31; 22; 42; 28],[[23]; [5]; [18]; [34; 39]; [0]; [20]; [25]; [40; 30]; [13]; [43; 45]; [17]; [7]; [16]; [21]; [35; 37]; [6]; [38; 32]; [4]; [9]; [2]; [41; 29]; [11]; [3]; [44; 46]; [49; 24]; [15]; [19]; [8]; [48; 26]; [14]; [33]; [12]; [1]; [10]; [27; 47]; [36]; [31]; [22]; [42; 28]],[6800; 9500; 7700; 9700; 10000; 7400; 6500; 9700; 8300; 7500; 7800; 9300; 7900; 7100; 10000; 9400; 10000; 9500; 9100; 9500; 9900; 8900; 9500; 7400; 9900; 7900; 7700; 9300; 9800; 8200; 5300; 8700; 9700; 9000; 9900; 5100; 5500; 6900; 10000],496,497,0.015622854232788086
