Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
13,31,0.7108646953405017,[7; 22; 19; 33; 37; 18; 30; 0; 23; 24; 20; 2; 46; 25; 26; 12; 35; 17; 34; 16; 21; 32; 47; 8; 6; 41; 43; 9; 31; 29; 4; 40; 10; 39; 15; 48; 1; 44; 11; 38; 49; 28; 13; 36; 3; 45; 27; 14; 42; 5],[[7]; [22]; [19; 33]; [37; 18]; [30]; [0]; [23]; [24]; [20]; [2; 46]; [25]; [26]; [12]; [35; 17]; [34; 16]; [21; 32]; [47; 8]; [6; 41]; [43; 9]; [31; 29]; [4]; [40; 10]; [39; 15]; [48; 1]; [44; 11]; [38; 49; 28]; [13; 36]; [3; 45]; [27]; [14; 42]; [5]],[8600; 7200; 11800; 11300; 5800; 9600; 7100; 7000; 7600; 11900; 6800; 6500; 8300; 11600; 11800; 11400; 11100; 11900; 11500; 11000; 9000; 11800; 11200; 11900; 11300; 11900; 12000; 11900; 6500; 10800; 8700],472,473,0.031244516372680664
11,30,0.7443425925925928,[46; 11; 35; 22; 34; 27; 32; 21; 17; 15; 36; 38; 13; 45; 3; 1; 47; 26; 42; 20; 41; 25; 2; 48; 4; 12; 37; 9; 31; 29; 6; 40; 8; 18; 23; 10; 0; 14; 39; 5; 19; 44; 43; 7; 28; 30; 49; 24; 16; 33],[[46; 11]; [35; 22]; [34; 27]; [32; 21]; [17]; [15; 36]; [38; 13]; [45; 3]; [1; 47]; [26; 42]; [20; 41]; [25]; [2; 48]; [4]; [12; 37]; [9]; [31; 29]; [6; 40]; [8]; [18]; [23]; [10]; [0]; [14; 39]; [5]; [19; 44]; [43; 7]; [28; 30]; [49; 24]; [16; 33]],[11000; 11000; 10500; 11400; 7800; 11600; 11600; 11900; 12000; 9500; 10800; 6800; 11700; 9000; 11900; 8600; 11000; 12000; 8600; 7700; 7100; 8500; 9600; 11200; 8700; 10500; 11500; 12000; 9300; 12000],404,405,0.015654802322387695
16,30,0.7506203703703703,[7; 43; 2; 38; 20; 19; 35; 45; 6; 10; 41; 15; 33; 46; 27; 44; 0; 42; 4; 26; 23; 21; 36; 18; 8; 14; 16; 34; 40; 13; 31; 25; 1; 5; 47; 30; 29; 22; 12; 28; 49; 17; 32; 9; 39; 37; 11; 48; 3; 24],[[7; 43]; [2]; [38; 20]; [19; 35]; [45; 6]; [10; 41]; [15; 33]; [46; 27; 44]; [0]; [42; 4]; [26]; [23]; [21; 36]; [18]; [8]; [14]; [16; 34]; [40; 13]; [31; 25]; [1]; [5; 47]; [30; 29]; [22]; [12]; [28; 49]; [17; 32]; [9; 39]; [37; 11]; [48; 3]; [24]],[11500; 9300; 11000; 11400; 11400; 11700; 12000; 12000; 9600; 12000; 6500; 7100; 11000; 7700; 8600; 7800; 11800; 11500; 11900; 9500; 11200; 11700; 7200; 8300; 8500; 12000; 12000; 12000; 11600; 7000],564,565,0.01562047004699707
11,30,0.7514259259259257,[24; 34; 12; 7; 22; 36; 18; 38; 28; 30; 44; 5; 13; 16; 35; 6; 41; 0; 48; 9; 39; 17; 10; 31; 26; 3; 1; 49; 11; 37; 14; 33; 46; 20; 27; 8; 40; 23; 4; 47; 21; 32; 29; 43; 42; 2; 45; 19; 25; 15],[[24; 34]; [12]; [7]; [22; 36]; [18; 38]; [28; 30]; [44; 5]; [13]; [16; 35]; [6; 41]; [0; 48]; [9; 39]; [17]; [10]; [31; 26]; [3]; [1; 49]; [11; 37]; [14; 33]; [46; 20]; [27]; [8; 40]; [23]; [4; 47]; [21; 32]; [29; 43; 42]; [2; 45]; [19]; [25]; [15]],[11000; 8300; 8600; 11000; 11100; 12000; 11600; 8200; 11600; 11900; 12000; 12000; 7800; 8500; 11600; 9200; 11800; 12000; 12000; 10200; 6500; 11900; 7100; 11500; 11400; 11800; 12000; 7600; 6800; 7800],397,398,0.01292109489440918
23,30,0.7546064814814815,[0; 8; 43; 28; 27; 10; 20; 14; 26; 30; 29; 18; 32; 34; 17; 16; 33; 7; 38; 5; 46; 2; 40; 9; 37; 12; 4; 44; 6; 41; 45; 3; 36; 22; 1; 48; 31; 25; 13; 49; 47; 19; 23; 15; 35; 11; 39; 21; 42; 24],[[0]; [8; 43]; [28]; [27]; [10]; [20]; [14]; [26]; [30; 29]; [18; 32]; [34; 17]; [16; 33]; [7; 38]; [5; 46]; [2]; [40; 9]; [37; 12]; [4; 44]; [6; 41]; [45; 3]; [36; 22]; [1; 48]; [31; 25]; [13; 49]; [47; 19]; [23]; [15; 35]; [11; 39]; [21; 42]; [24]],[9600; 11500; 6200; 6500; 8500; 7600; 7800; 6500; 11700; 11900; 11800; 12000; 12000; 11300; 9300; 11900; 11900; 11900; 11900; 11900; 11000; 11900; 11900; 10500; 10100; 7100; 11600; 11800; 10200; 7000],814,815,0.05335569381713867
20,30,0.7538750000000001,[10; 41; 22; 15; 35; 33; 14; 7; 31; 26; 45; 23; 17; 34; 28; 27; 3; 12; 39; 8; 42; 11; 21; 6; 40; 18; 36; 19; 2; 49; 38; 9; 29; 30; 0; 1; 47; 13; 16; 37; 46; 48; 25; 43; 5; 20; 32; 4; 44; 24],[[10; 41]; [22]; [15; 35]; [33; 14]; [7]; [31; 26]; [45; 23]; [17; 34]; [28]; [27]; [3]; [12; 39]; [8; 42]; [11]; [21]; [6; 40]; [18; 36]; [19]; [2; 49]; [38; 9]; [29; 30]; [0]; [1; 47]; [13]; [16; 37]; [46; 48; 25]; [43; 5]; [20; 32]; [4; 44]; [24]],[11700; 7200; 11600; 12000; 8600; 11600; 9800; 11800; 6200; 6500; 9200; 11700; 11600; 8400; 7200; 12000; 11500; 7600; 11600; 12000; 11700; 9600; 12000; 8200; 11400; 11800; 11600; 11800; 11900; 7000],697,698,0.06376218795776367
35,30,0.7569444444444445,[39; 7; 23; 13; 35; 24; 8; 0; 16; 33; 46; 2; 3; 10; 38; 18; 36; 28; 30; 45; 22; 19; 47; 25; 31; 14; 34; 9; 43; 41; 6; 37; 11; 44; 12; 29; 5; 40; 21; 26; 1; 49; 32; 15; 4; 42; 27; 20; 17; 48],[[39; 7]; [23]; [13; 35]; [24]; [8]; [0]; [16; 33]; [46; 2]; [3]; [10; 38]; [18; 36]; [28; 30]; [45; 22]; [19; 47]; [25; 31]; [14; 34]; [9; 43]; [41; 6]; [37; 11]; [44; 12]; [29]; [5; 40]; [21]; [26]; [1; 49]; [32; 15]; [4; 42]; [27]; [20]; [17; 48]],[12000; 7100; 12000; 7000; 8600; 9600; 12000; 11900; 9200; 11900; 11500; 12000; 9900; 10100; 11900; 11800; 11500; 11900; 12000; 11200; 5900; 12000; 7200; 6500; 11800; 12000; 12000; 6500; 7600; 10200],1188,1189,0.11153292655944824
20,30,0.7556249999999999,[20; 0; 32; 16; 24; 19; 12; 21; 34; 43; 27; 49; 36; 14; 38; 9; 15; 33; 4; 42; 44; 6; 17; 35; 26; 31; 40; 5; 2; 47; 1; 48; 29; 30; 8; 39; 13; 3; 46; 18; 45; 10; 41; 22; 23; 25; 7; 28; 11; 37],[[20]; [0]; [32; 16]; [24]; [19]; [12]; [21; 34]; [43; 27; 49]; [36; 14]; [38; 9]; [15; 33]; [4; 42]; [44; 6]; [17; 35]; [26; 31]; [40; 5]; [2; 47]; [1; 48]; [29; 30]; [8; 39]; [13]; [3; 46]; [18; 45]; [10; 41]; [22]; [23]; [25]; [7]; [28]; [11; 37]],[7600; 9600; 12000; 7000; 7600; 8300; 11200; 11700; 11600; 12000; 12000; 12000; 11600; 11600; 11600; 12000; 11800; 11900; 11700; 12000; 8200; 11800; 10400; 11700; 7200; 7100; 6800; 8600; 6200; 12000],700,701,0.046890974044799805
16,30,0.7547037037037038,[30; 29; 48; 0; 13; 37; 18; 27; 31; 7; 11; 40; 28; 42; 47; 21; 33; 36; 15; 3; 49; 1; 8; 38; 20; 34; 5; 43; 10; 2; 45; 23; 22; 16; 32; 41; 6; 17; 26; 24; 19; 9; 44; 46; 4; 25; 14; 35; 39; 12],[[30; 29]; [48; 0]; [13; 37]; [18]; [27; 31]; [7]; [11; 40]; [28; 42; 47]; [21; 33]; [36; 15]; [3; 49]; [1]; [8; 38]; [20; 34]; [5; 43]; [10]; [2; 45]; [23]; [22]; [16; 32]; [41; 6]; [17]; [26]; [24]; [19]; [9; 44]; [46; 4]; [25]; [14; 35]; [39; 12]],[11700; 12000; 11800; 7700; 11600; 8600; 11700; 11700; 11400; 11600; 11500; 9500; 12000; 11600; 11600; 8500; 12000; 7100; 7200; 12000; 11900; 7800; 6500; 7000; 7600; 11500; 11600; 6800; 11600; 11700],567,568,0.03153395652770996
30,30,0.7572962962962964,[11; 41; 27; 31; 2; 45; 21; 34; 38; 10; 30; 28; 6; 44; 19; 23; 24; 1; 47; 3; 49; 8; 40; 4; 42; 0; 33; 14; 18; 16; 36; 25; 20; 37; 29; 13; 35; 26; 22; 7; 32; 17; 12; 48; 15; 46; 39; 9; 43; 5],[[11; 41]; [27; 31]; [2; 45]; [21; 34]; [38; 10]; [30; 28]; [6; 44]; [19]; [23]; [24]; [1; 47]; [3; 49]; [8; 40]; [4; 42]; [0]; [33; 14]; [18]; [16; 36]; [25]; [20; 37]; [29]; [13; 35]; [26]; [22]; [7]; [32; 17]; [12; 48]; [15; 46]; [39; 9]; [43; 5]],[11600; 11600; 12000; 11200; 11900; 12000; 11600; 7600; 7100; 7000; 12000; 11500; 11900; 12000; 9600; 12000; 7700; 11600; 6800; 11200; 5900; 12000; 6500; 7200; 8600; 12000; 10700; 10400; 12000; 11600],1014,1015,0.07876086235046387
12,30,0.7469953703703703,[4; 44; 0; 49; 27; 31; 32; 15; 2; 13; 29; 36; 12; 37; 21; 45; 34; 22; 17; 40; 26; 20; 14; 18; 33; 5; 43; 9; 47; 16; 7; 46; 35; 25; 3; 11; 42; 41; 6; 10; 48; 30; 28; 24; 19; 8; 38; 1; 23; 39],[[4; 44]; [0; 49]; [27; 31]; [32; 15]; [2]; [13]; [29; 36]; [12; 37]; [21; 45]; [34; 22]; [17; 40]; [26]; [20]; [14]; [18; 33]; [5; 43]; [9; 47]; [16]; [7; 46]; [35; 25]; [3]; [11; 42]; [41; 6]; [10; 48]; [30; 28]; [24]; [19]; [8; 38]; [1]; [23; 39]],[11900; 11900; 11600; 12000; 9300; 8200; 9700; 11900; 9900; 11200; 11100; 6500; 7600; 7800; 11900; 11600; 11100; 7800; 11200; 10600; 9200; 11400; 11900; 10900; 12000; 7000; 7600; 12000; 9500; 10500],446,447,0.04716992378234863
21,30,0.7575972222222223,[20; 33; 26; 19; 30; 28; 14; 32; 15; 43; 17; 9; 38; 34; 18; 44; 4; 13; 39; 12; 23; 11; 37; 36; 21; 22; 5; 48; 1; 47; 46; 10; 40; 7; 0; 49; 6; 42; 27; 31; 29; 25; 3; 45; 8; 41; 16; 35; 2; 24],[[20; 33]; [26]; [19]; [30; 28]; [14; 32]; [15; 43]; [17]; [9; 38]; [34; 18]; [44; 4]; [13; 39]; [12]; [23]; [11; 37]; [36; 21]; [22]; [5; 48]; [1; 47]; [46; 10]; [40; 7]; [0; 49]; [6; 42]; [27; 31]; [29]; [25]; [3; 45]; [8; 41]; [16; 35]; [2]; [24]],[11800; 6500; 7600; 12000; 12000; 10700; 7800; 12000; 11700; 11900; 11600; 8300; 7100; 12000; 11000; 7200; 11100; 12000; 11100; 11900; 11900; 11700; 11600; 5900; 6800; 11900; 11800; 11600; 9300; 7000],723,724,0.06285715103149414
16,30,0.755638888888889,[37; 11; 41; 5; 15; 22; 13; 38; 34; 14; 19; 33; 25; 31; 20; 32; 26; 29; 17; 36; 49; 0; 47; 4; 10; 46; 43; 18; 16; 44; 40; 9; 28; 30; 27; 3; 45; 48; 7; 42; 6; 24; 12; 8; 39; 21; 2; 23; 35; 1],[[37; 11]; [41; 5]; [15]; [22]; [13; 38]; [34; 14]; [19; 33]; [25; 31]; [20; 32]; [26]; [29]; [17; 36]; [49; 0]; [47; 4]; [10; 46]; [43; 18]; [16; 44]; [40; 9]; [28; 30]; [27]; [3; 45]; [48; 7]; [42; 6]; [24]; [12]; [8; 39]; [21]; [2]; [23; 35]; [1]],[12000; 11900; 7800; 7200; 11600; 11800; 11800; 11900; 11800; 6500; 5900; 11600; 11900; 11500; 11100; 10600; 10700; 11900; 12000; 6500; 11900; 11000; 11700; 7000; 8300; 12000; 7200; 9300; 10900; 9500],554,555,0.04697394371032715
21,30,0.7575740740740742,[20; 17; 30; 28; 25; 13; 5; 41; 6; 43; 7; 47; 4; 44; 35; 21; 1; 0; 48; 2; 45; 14; 33; 40; 10; 49; 12; 39; 9; 23; 22; 31; 26; 46; 3; 42; 11; 32; 19; 38; 8; 36; 15; 16; 34; 29; 24; 18; 37; 27],[[20]; [17]; [30; 28]; [25]; [13]; [5; 41]; [6; 43]; [7; 47]; [4; 44]; [35; 21]; [1]; [0; 48]; [2; 45]; [14; 33]; [40; 10]; [49; 12]; [39; 9]; [23]; [22]; [31; 26]; [46; 3]; [42; 11]; [32; 19]; [38; 8]; [36; 15]; [16; 34]; [29]; [24]; [18; 37]; [27]],[7600; 7800; 12000; 6800; 8200; 11900; 11600; 11100; 11900; 11000; 9500; 12000; 12000; 12000; 11800; 10600; 12000; 7100; 7200; 11600; 11800; 11400; 11800; 12000; 11600; 11800; 5900; 7000; 11300; 6500],721,722,0.0658712387084961
