Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
14,33,0.7068287037037035,[33; 13; 43; 29; 22; 42; 10; 30; 31; 18; 40; 1; 14; 4; 7; 44; 12; 27; 15; 47; 0; 3; 5; 19; 39; 37; 28; 26; 35; 2; 25; 8; 41; 17; 20; 38; 11; 45; 49; 9; 46; 32; 23; 48; 6; 34; 24; 36; 21; 16],[[33]; [13; 43]; [29]; [22; 42]; [10]; [30; 31]; [18; 40]; [1]; [14]; [4]; [7]; [44; 12]; [27]; [15; 47]; [0]; [3]; [5]; [19; 39]; [37; 28]; [26; 35]; [2]; [25]; [8]; [41; 17]; [20; 38]; [11; 45]; [49; 9]; [46; 32]; [23; 48]; [6]; [34; 24]; [36; 21]; [16]],[5900; 11800; 6200; 10500; 8500; 11900; 11600; 9800; 7700; 9600; 8600; 11800; 6300; 11200; 9900; 9700; 9300; 11800; 11200; 11800; 9800; 6500; 8600; 11600; 11800; 11900; 11800; 9500; 10100; 8800; 12000; 12000; 7400],493,494,0.015743494033813477
13,33,0.7092739898989899,[49; 7; 14; 31; 4; 22; 40; 18; 26; 34; 21; 8; 46; 16; 32; 33; 47; 12; 1; 44; 13; 3; 28; 9; 48; 39; 19; 10; 17; 45; 11; 42; 30; 25; 38; 15; 43; 2; 36; 29; 27; 6; 35; 24; 5; 41; 23; 20; 37; 0],[[49; 7]; [14]; [31]; [4]; [22; 40]; [18]; [26; 34]; [21]; [8]; [46; 16]; [32; 33]; [47; 12]; [1]; [44; 13]; [3]; [28]; [9; 48]; [39; 19]; [10]; [17; 45]; [11; 42]; [30]; [25; 38]; [15; 43]; [2]; [36; 29]; [27]; [6]; [35; 24]; [5]; [41; 23]; [20; 37]; [0]],[11900; 7700; 5900; 9600; 11000; 7300; 11800; 6900; 8600; 11000; 11800; 11600; 9800; 11800; 9700; 6300; 12000; 11800; 8500; 11100; 11900; 6000; 11400; 11400; 9800; 11300; 6300; 8800; 12000; 9300; 10900; 11800; 9900],473,474,0.015624284744262695
20,34,0.676844362745098,[6; 47; 12; 28; 3; 1; 2; 5; 17; 25; 34; 18; 26; 4; 10; 24; 36; 0; 39; 19; 7; 11; 44; 15; 40; 45; 46; 42; 43; 13; 16; 33; 32; 14; 41; 9; 48; 29; 23; 35; 30; 22; 31; 21; 38; 37; 20; 8; 49; 27],[[6]; [47; 12]; [28]; [3]; [1]; [2]; [5]; [17]; [25; 34]; [18]; [26]; [4]; [10]; [24; 36]; [0]; [39; 19]; [7]; [11; 44]; [15; 40]; [45; 46; 42]; [43; 13]; [16]; [33; 32]; [14; 41]; [9; 48]; [29]; [23; 35]; [30]; [22]; [31]; [21; 38]; [37; 20]; [8; 49]; [27]],[8800; 11600; 6300; 9700; 9800; 9800; 9300; 7300; 11900; 7300; 6400; 9600; 8500; 11700; 9900; 11800; 8600; 11900; 11900; 11200; 11800; 7400; 11800; 12000; 12000; 6200; 12000; 6000; 6700; 5900; 11800; 11800; 11900; 6300],677,678,0.0313720703125
14,33,0.704324494949495,[33; 37; 35; 29; 7; 10; 16; 39; 26; 20; 32; 30; 18; 41; 38; 23; 4; 15; 48; 3; 6; 8; 28; 34; 42; 24; 27; 17; 21; 36; 45; 11; 2; 0; 12; 47; 1; 13; 46; 40; 14; 25; 49; 22; 44; 31; 5; 43; 19; 9],[[33; 37]; [35; 29]; [7]; [10]; [16; 39]; [26]; [20]; [32; 30]; [18; 41]; [38; 23]; [4]; [15; 48]; [3]; [6]; [8]; [28; 34]; [42; 24]; [27]; [17]; [21; 36]; [45; 11]; [2]; [0]; [12; 47]; [1]; [13; 46]; [40; 14]; [25; 49]; [22; 44]; [31]; [5]; [43; 19]; [9]],[10800; 11600; 8600; 8500; 12000; 6400; 6900; 11900; 11600; 11500; 9600; 11100; 9700; 8800; 8600; 11700; 10400; 6300; 7300; 12000; 11900; 9800; 9900; 11600; 9800; 11600; 12000; 9800; 10500; 5900; 9300; 11000; 8500],479,480,0.03138089179992676
18,33,0.7084995791245791,[11; 42; 46; 29; 19; 27; 30; 33; 17; 18; 39; 34; 23; 7; 35; 25; 37; 22; 9; 48; 13; 49; 3; 31; 1; 12; 43; 20; 38; 36; 24; 40; 21; 4; 0; 2; 10; 5; 32; 26; 6; 16; 45; 47; 28; 44; 15; 8; 14; 41],[[11; 42]; [46; 29]; [19]; [27]; [30; 33]; [17]; [18; 39]; [34; 23]; [7]; [35; 25]; [37; 22]; [9; 48]; [13; 49]; [3]; [31]; [1]; [12; 43]; [20; 38]; [36; 24]; [40; 21]; [4]; [0]; [2]; [10]; [5]; [32]; [26]; [6]; [16; 45]; [47; 28]; [44; 15]; [8]; [14; 41]],[11900; 9800; 7200; 6300; 11900; 7300; 11900; 12000; 8600; 11900; 11600; 12000; 11300; 9700; 5900; 9800; 11800; 11800; 11700; 11200; 9600; 9900; 9800; 8500; 9300; 5900; 6400; 8800; 11200; 9900; 11400; 8600; 12000],611,612,0.015704870223999023
14,33,0.7054819023569024,[16; 39; 24; 46; 20; 37; 9; 12; 43; 3; 19; 33; 30; 6; 44; 13; 4; 0; 41; 28; 2; 26; 31; 17; 42; 38; 22; 18; 47; 29; 34; 5; 25; 35; 11; 14; 45; 27; 7; 1; 8; 49; 10; 21; 32; 48; 36; 23; 40; 15],[[16; 39]; [24; 46]; [20; 37]; [9]; [12; 43]; [3]; [19]; [33; 30]; [6]; [44; 13]; [4]; [0]; [41; 28]; [2]; [26]; [31]; [17; 42]; [38; 22]; [18; 47]; [29; 34]; [5]; [25; 35]; [11]; [14; 45]; [27]; [7]; [1]; [8; 49]; [10]; [21]; [32; 48]; [36; 23]; [40; 15]],[12000; 10200; 11800; 8500; 11800; 9700; 7200; 11900; 8800; 11800; 9600; 9900; 10600; 9800; 6400; 5900; 11100; 11600; 10900; 11600; 9300; 11900; 8100; 11500; 6300; 8600; 9800; 11900; 8500; 6900; 9400; 11700; 11900],497,498,0.015619516372680664
6,35,0.6376805555555555,[20; 36; 22; 37; 31; 30; 13; 43; 35; 34; 10; 41; 17; 18; 3; 15; 40; 0; 5; 25; 1; 27; 8; 19; 16; 39; 24; 33; 26; 4; 2; 9; 47; 44; 46; 32; 14; 42; 29; 6; 12; 28; 48; 23; 11; 45; 7; 49; 21; 38],[[20; 36]; [22; 37]; [31; 30]; [13; 43]; [35; 34]; [10]; [41; 17]; [18]; [3]; [15; 40]; [0]; [5]; [25]; [1]; [27]; [8]; [19]; [16; 39]; [24]; [33]; [26]; [4]; [2]; [9]; [47; 44; 46]; [32]; [14; 42]; [29]; [6]; [12]; [28; 48]; [23]; [11; 45]; [7; 49]; [21; 38]],[12000; 11600; 11900; 11800; 10800; 8500; 11600; 7300; 9700; 11900; 9900; 9300; 6500; 9800; 6300; 8600; 7200; 12000; 6600; 5900; 6400; 9600; 9800; 8500; 11000; 5900; 11500; 6200; 8800; 8000; 9800; 6600; 11900; 11900; 11800],247,248,0.0
23,32,0.7474717881944444,[21; 37; 8; 49; 44; 16; 3; 47; 17; 38; 26; 32; 30; 42; 11; 25; 7; 39; 20; 1; 6; 22; 36; 12; 46; 45; 13; 0; 35; 23; 43; 18; 10; 31; 33; 19; 4; 9; 28; 5; 29; 15; 41; 2; 40; 14; 34; 24; 27; 48],[[21; 37]; [8; 49]; [44; 16]; [3]; [47; 17]; [38; 26]; [32; 30]; [42; 11]; [25]; [7]; [39; 20]; [1]; [6]; [22; 36]; [12; 46]; [45; 13]; [0]; [35; 23]; [43; 18]; [10]; [31; 33]; [19]; [4]; [9]; [28]; [5]; [29]; [15; 41]; [2]; [40; 14]; [34; 24]; [27; 48]],[11800; 11900; 11200; 9700; 10900; 11300; 11900; 11900; 6500; 8600; 11500; 9800; 8800; 11800; 11600; 11800; 9900; 12000; 11100; 8500; 11800; 7200; 9600; 8500; 6300; 9300; 6200; 11900; 9800; 12000; 12000; 9800],771,772,0.03130531311035156
7,33,0.7034448653198653,[8; 6; 35; 29; 33; 9; 27; 30; 31; 3; 13; 4; 11; 43; 12; 16; 18; 44; 0; 5; 39; 17; 2; 25; 37; 36; 22; 32; 42; 49; 10; 20; 41; 28; 7; 1; 26; 48; 46; 14; 45; 19; 34; 24; 40; 15; 47; 21; 23; 38],[[8]; [6]; [35; 29]; [33]; [9]; [27]; [30; 31]; [3]; [13]; [4]; [11; 43]; [12]; [16]; [18; 44]; [0]; [5]; [39; 17]; [2]; [25; 37]; [36; 22]; [32; 42]; [49; 10]; [20; 41]; [28]; [7]; [1]; [26; 48]; [46; 14]; [45; 19]; [34; 24]; [40; 15]; [47; 21]; [23; 38]],[8600; 8800; 11600; 5900; 8500; 6300; 11900; 9700; 8000; 9600; 11900; 8000; 7400; 11100; 9900; 9300; 11900; 9800; 11400; 11800; 9700; 11800; 11200; 6300; 8600; 9800; 9900; 11300; 11000; 12000; 11900; 10500; 11500],287,288,0.015618562698364258
10,33,0.7046948653198651,[45; 15; 12; 18; 46; 41; 23; 35; 28; 14; 40; 8; 27; 42; 39; 17; 4; 34; 26; 0; 13; 30; 31; 16; 43; 1; 11; 44; 48; 29; 10; 49; 3; 25; 2; 5; 33; 32; 24; 20; 38; 21; 47; 37; 22; 7; 19; 36; 9; 6],[[45; 15]; [12]; [18; 46]; [41; 23]; [35; 28]; [14; 40]; [8]; [27; 42]; [39; 17]; [4]; [34; 26]; [0]; [13]; [30; 31]; [16; 43]; [1]; [11; 44]; [48; 29]; [10; 49]; [3]; [25]; [2]; [5]; [33; 32]; [24]; [20; 38]; [21; 47]; [37; 22]; [7]; [19]; [36]; [9]; [6]],[11400; 8000; 10900; 10900; 11700; 12000; 8600; 10100; 11900; 9600; 11800; 9900; 8000; 11900; 11200; 9800; 11900; 9700; 11800; 9700; 6500; 9800; 9300; 11800; 6600; 11800; 10500; 11600; 8600; 7200; 5100; 8500; 8800],375,376,0.03130340576171875
