Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
10,19,0.8131719298245613,[12; 36; 25; 35; 27; 39; 41; 33; 22; 46; 13; 9; 17; 18; 49; 44; 15; 23; 2; 30; 47; 45; 37; 43; 0; 32; 8; 21; 7; 6; 42; 29; 31; 40; 3; 24; 11; 34; 16; 5; 20; 1; 26; 14; 19; 28; 38; 4; 10; 48],[[12; 36; 25]; [35; 27; 39; 41; 33]; [22; 46; 13]; [9]; [17; 18]; [49; 44; 15; 23]; [2; 30; 47]; [45; 37; 43; 0]; [32; 8]; [21; 7]; [6; 42; 29]; [31; 40; 3]; [24; 11]; [34; 16]; [5; 20]; [1; 26]; [14; 19]; [28; 38; 4]; [10; 48]],[14700; 14400; 13800; 8100; 14500; 14400; 14300; 15000; 11600; 14300; 13900; 14900; 12700; 10600; 14800; 14300; 14100; 14900; 8800],365,366,0.03133392333984375
20,19,0.8208678362573099,[8; 25; 40; 5; 28; 37; 11; 31; 7; 19; 10; 9; 30; 44; 47; 34; 21; 22; 15; 14; 24; 1; 36; 4; 33; 39; 42; 6; 48; 49; 43; 23; 46; 45; 17; 12; 16; 3; 26; 27; 18; 2; 38; 29; 13; 32; 41; 0; 35; 20],[[8; 25; 40]; [5; 28; 37]; [11; 31]; [7; 19]; [10]; [9; 30; 44; 47]; [34; 21; 22]; [15; 14]; [24; 1]; [36; 4; 33]; [39; 42; 6; 48; 49; 43]; [23; 46; 45; 17]; [12; 16]; [3; 26]; [27; 18]; [2; 38]; [29; 13; 32]; [41; 0; 35]; [20]],[14300; 14900; 11800; 14900; 8000; 14100; 14500; 14900; 14600; 14600; 15000; 14400; 15000; 13800; 11500; 11800; 15000; 14700; 6300],682,683,0.015627145767211914
14,20,0.7478199999999999,[33; 4; 9; 8; 23; 13; 49; 35; 14; 30; 48; 36; 3; 26; 12; 41; 46; 24; 31; 16; 32; 2; 1; 47; 40; 43; 37; 6; 28; 44; 38; 18; 29; 11; 20; 39; 45; 17; 25; 22; 27; 15; 5; 21; 7; 19; 42; 0; 34; 10],[[33; 4]; [9]; [8; 23]; [13; 49; 35]; [14; 30; 48; 36]; [3; 26]; [12; 41; 46; 24]; [31; 16; 32]; [2]; [1; 47; 40; 43]; [37; 6; 28]; [44; 38; 18; 29]; [11; 20]; [39; 45; 17; 25]; [22; 27]; [15]; [5; 21]; [7; 19]; [42; 0; 34]; [10]],[12100; 8100; 13100; 11600; 14600; 13800; 14900; 14600; 9500; 14000; 14900; 14600; 14300; 14900; 9500; 7400; 14500; 14900; 14800; 8000],502,503,0.01562809944152832
19,19,0.8211111111111112,[15; 8; 46; 33; 37; 42; 48; 26; 12; 0; 25; 16; 13; 22; 47; 9; 28; 3; 43; 29; 14; 32; 19; 39; 20; 10; 49; 44; 24; 4; 30; 23; 7; 41; 40; 34; 6; 36; 38; 1; 11; 5; 18; 17; 21; 35; 45; 27; 31; 2],[[15]; [8; 46; 33; 37]; [42; 48; 26; 12]; [0; 25]; [16; 13]; [22; 47; 9]; [28; 3; 43]; [29; 14; 32]; [19; 39; 20]; [10; 49; 44; 24]; [4; 30]; [23; 7; 41]; [40; 34; 6]; [36; 38; 1]; [11]; [5]; [18; 17]; [21; 35; 45; 27]; [31; 2]],[7400; 15000; 14400; 14500; 14900; 14300; 14700; 14900; 14900; 14700; 12500; 14800; 13500; 14700; 8000; 8500; 14500; 14600; 13300],661,662,0.015623331069946289
6,20,0.7425933333333333,[21; 49; 9; 7; 44; 23; 14; 26; 15; 19; 38; 29; 6; 3; 47; 20; 46; 27; 34; 39; 42; 5; 37; 33; 24; 25; 41; 43; 4; 28; 12; 22; 8; 36; 45; 40; 18; 10; 30; 13; 31; 32; 1; 17; 16; 0; 48; 35; 2; 11],[[21; 49; 9]; [7; 44; 23]; [14; 26]; [15; 19]; [38; 29; 6]; [3; 47]; [20; 46; 27; 34]; [39; 42; 5; 37]; [33; 24; 25; 41]; [43; 4; 28]; [12; 22]; [8; 36; 45; 40]; [18]; [10; 30]; [13; 31; 32]; [1]; [17; 16]; [0; 48; 35]; [2]; [11]],[14900; 14500; 11900; 14000; 14700; 10400; 14900; 14500; 14100; 14000; 12900; 13400; 7200; 11800; 14900; 9900; 14600; 14000; 9500; 8000],237,238,0.0
18,19,0.8219438596491229,[43; 45; 41; 2; 42; 24; 1; 12; 48; 28; 36; 23; 0; 32; 46; 19; 39; 9; 16; 13; 10; 30; 20; 27; 26; 5; 21; 3; 34; 38; 25; 17; 35; 11; 8; 22; 44; 15; 18; 14; 47; 29; 37; 7; 4; 40; 49; 31; 33; 6],[[43; 45; 41; 2; 42]; [24; 1]; [12; 48; 28; 36]; [23; 0]; [32; 46; 19; 39]; [9]; [16; 13]; [10; 30]; [20; 27; 26]; [5; 21]; [3; 34; 38]; [25; 17; 35]; [11]; [8; 22; 44]; [15; 18]; [14; 47; 29; 37]; [7]; [4; 40; 49; 31]; [33; 6]],[15000; 14600; 14900; 15000; 13100; 8100; 14900; 11800; 15000; 14500; 15000; 15000; 8000; 14500; 14600; 14900; 8300; 15000; 11900],621,622,0.015621662139892578
22,19,0.8252748538011697,[2; 35; 40; 15; 47; 19; 13; 20; 25; 10; 39; 8; 36; 14; 49; 38; 48; 32; 16; 31; 0; 23; 46; 22; 5; 11; 28; 17; 18; 26; 44; 9; 45; 43; 41; 37; 3; 24; 1; 4; 42; 30; 27; 12; 21; 6; 34; 7; 33; 29],[[2; 35; 40]; [15; 47; 19]; [13; 20]; [25; 10; 39]; [8; 36]; [14; 49; 38; 48; 32]; [16; 31]; [0; 23]; [46; 22; 5]; [11; 28]; [17; 18]; [26; 44; 9; 45]; [43; 41; 37; 3]; [24; 1]; [4; 42; 30]; [27; 12]; [21; 6]; [34; 7; 33]; [29]],[14400; 15000; 13900; 14500; 10600; 14900; 11100; 15000; 14700; 11900; 14500; 14800; 14800; 14600; 14000; 12000; 14500; 15000; 3900],758,759,0.03133749961853027
23,18,0.8931728395061727,[46; 44; 38; 8; 16; 18; 3; 22; 19; 27; 41; 37; 20; 5; 1; 24; 32; 6; 31; 33; 23; 48; 39; 10; 42; 26; 45; 43; 29; 49; 14; 0; 2; 25; 34; 35; 7; 17; 12; 4; 36; 30; 28; 11; 47; 40; 21; 9; 15; 13],[[46; 44; 38; 8]; [16; 18]; [3; 22]; [19; 27; 41; 37]; [20; 5]; [1; 24]; [32; 6]; [31; 33; 23; 48; 39]; [10; 42; 26; 45]; [43; 29; 49; 14]; [0]; [2; 25]; [34; 35; 7]; [17; 12]; [4; 36; 30]; [28; 11; 47; 40]; [21; 9]; [15; 13]],[12600; 14500; 14600; 14900; 14800; 14600; 12000; 15000; 15000; 13600; 10000; 14000; 14800; 15000; 15000; 14600; 14100; 15000],766,767,0.03147149085998535
27,18,0.895711111111111,[26; 35; 16; 0; 27; 19; 13; 49; 33; 37; 8; 47; 11; 22; 44; 32; 34; 9; 45; 36; 6; 25; 10; 38; 31; 5; 43; 46; 40; 42; 14; 1; 18; 12; 4; 20; 15; 17; 2; 48; 24; 7; 21; 39; 29; 23; 30; 41; 3; 28],[[26; 35; 16]; [0; 27]; [19; 13; 49]; [33; 37; 8; 47]; [11; 22; 44]; [32; 34; 9]; [45; 36; 6]; [25; 10; 38]; [31; 5; 43; 46]; [40; 42; 14]; [1]; [18; 12]; [4; 20]; [15; 17]; [2; 48; 24]; [7; 21]; [39; 29; 23; 30]; [41; 3; 28]],[14900; 14300; 15000; 15000; 14400; 14900; 12100; 14800; 14700; 10700; 9900; 14900; 15000; 14700; 15000; 14300; 14700; 14800],916,917,0.03124690055847168
27,18,0.896832098765432,[23; 0; 36; 31; 8; 15; 18; 10; 11; 43; 24; 7; 22; 46; 48; 16; 35; 41; 12; 33; 28; 30; 3; 49; 47; 38; 9; 32; 5; 21; 4; 20; 34; 17; 27; 1; 40; 45; 44; 37; 13; 26; 39; 25; 6; 19; 14; 2; 42; 29],[[23; 0]; [36; 31; 8]; [15; 18]; [10]; [11; 43; 24]; [7; 22; 46]; [48; 16; 35; 41]; [12; 33; 28]; [30; 3; 49; 47]; [38; 9; 32]; [5; 21]; [4; 20]; [34; 17; 27]; [1; 40; 45; 44]; [37; 13; 26]; [39; 25; 6]; [19; 14]; [2; 42; 29]],[15000; 14400; 14600; 8000; 14100; 14500; 12800; 15000; 15000; 13900; 14500; 15000; 14900; 13900; 14500; 15000; 14100; 14900],903,904,0.031247377395629883
