Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
17,10,0.9151033999999999,[25; 13; 39; 9; 27; 12; 14; 11; 29; 1; 16; 2; 17; 34; 28; 8; 42; 49; 43; 18; 44; 26; 40; 4; 23; 37; 5; 48; 46; 0; 15; 3; 10; 19; 31; 32; 47; 33; 41; 21; 45; 24; 6; 20; 7; 35; 22; 36; 30; 38],[[25; 13; 39; 9; 27]; [12; 14; 11; 29]; [1; 16; 2]; [17; 34; 28; 8; 42; 49]; [43; 18; 44; 26; 40; 4]; [23; 37; 5; 48; 46]; [0; 15; 3]; [10; 19; 31; 32; 47; 33; 41]; [21; 45; 24; 6; 20]; [7; 35; 22; 36; 30; 38]],[99800; 100000; 98700; 93000; 99800; 68600; 98800; 100000; 99100; 94400],606,607,0.025966882705688477
11,10,0.9137583999999999,[22; 35; 29; 34; 20; 33; 45; 0; 48; 12; 1; 16; 15; 36; 23; 28; 19; 5; 37; 25; 11; 17; 46; 24; 13; 49; 44; 14; 26; 27; 6; 3; 4; 38; 30; 2; 39; 7; 10; 41; 42; 8; 21; 31; 9; 40; 47; 43; 32; 18],[[22; 35; 29; 34; 20; 33; 45]; [0; 48; 12]; [1; 16; 15; 36]; [23; 28; 19; 5; 37]; [25; 11; 17; 46; 24]; [13; 49; 44; 14; 26; 27]; [6; 3; 4]; [38; 30; 2; 39; 7]; [10; 41; 42; 8; 21]; [31; 9; 40; 47; 43; 32; 18]],[95500; 70300; 98200; 99400; 96700; 99300; 98300; 99500; 96300; 98700],410,411,0.016871213912963867
10,10,0.9122706,[20; 24; 19; 43; 12; 42; 41; 48; 36; 9; 49; 6; 3; 0; 13; 40; 21; 29; 10; 4; 15; 1; 47; 34; 31; 8; 30; 5; 44; 18; 45; 35; 7; 22; 26; 27; 25; 17; 37; 33; 39; 2; 14; 46; 23; 16; 28; 11; 32; 38],[[20; 24; 19; 43; 12]; [42; 41; 48; 36; 9; 49; 6]; [3; 0; 13]; [40; 21; 29; 10]; [4; 15; 1; 47]; [34; 31; 8; 30; 5]; [44; 18; 45; 35; 7; 22]; [26; 27; 25; 17; 37; 33]; [39; 2; 14; 46; 23]; [16; 28; 11; 32; 38]],[99900; 92500; 99600; 74600; 99800; 99700; 99500; 99000; 95700; 91900],364,365,0.005049467086791992
7,10,0.9130392,[13; 12; 17; 33; 19; 0; 1; 5; 44; 18; 4; 27; 10; 14; 11; 29; 16; 34; 26; 20; 21; 39; 28; 15; 49; 7; 45; 3; 9; 36; 38; 30; 8; 32; 23; 48; 2; 35; 40; 24; 43; 25; 46; 37; 6; 47; 41; 22; 31; 42],[[13; 12; 17; 33]; [19; 0; 1]; [5; 44; 18; 4]; [27; 10; 14]; [11; 29; 16; 34; 26]; [20; 21; 39; 28; 15; 49]; [7; 45; 3; 9]; [36; 38; 30; 8; 32; 23; 48]; [2; 35; 40; 24; 43; 25]; [46; 37; 6; 47; 41; 22; 31; 42]],[92600; 97600; 96900; 72000; 99400; 97800; 99500; 98700; 98900; 98800],277,278,0.0
14,10,0.9154983999999999,[24; 0; 14; 36; 44; 10; 1; 42; 15; 18; 32; 13; 28; 34; 4; 43; 9; 12; 11; 22; 3; 29; 41; 38; 8; 20; 7; 26; 23; 33; 21; 48; 40; 27; 31; 5; 2; 49; 30; 47; 19; 17; 45; 6; 37; 16; 39; 25; 35; 46],[[24; 0; 14; 36; 44]; [10; 1; 42; 15]; [18; 32; 13; 28; 34]; [4; 43; 9; 12]; [11; 22; 3; 29]; [41; 38; 8; 20; 7]; [26; 23; 33; 21; 48; 40; 27]; [31; 5; 2; 49; 30]; [47; 19; 17; 45; 6; 37]; [16; 39; 25; 35; 46]],[99400; 99800; 90900; 97600; 99900; 99100; 98800; 99200; 99400; 68100],502,503,0.012849092483520508
15,10,0.9130975999999998,[47; 7; 14; 37; 9; 30; 18; 29; 5; 33; 31; 0; 28; 46; 26; 39; 13; 43; 36; 12; 20; 23; 1; 25; 21; 17; 4; 3; 32; 34; 10; 24; 49; 11; 40; 15; 2; 45; 35; 8; 16; 22; 44; 6; 42; 48; 38; 27; 19; 41],[[47; 7; 14; 37; 9]; [30; 18; 29; 5; 33]; [31; 0; 28; 46; 26; 39]; [13; 43; 36; 12; 20]; [23; 1; 25; 21]; [17; 4; 3]; [32; 34; 10; 24; 49]; [11; 40; 15; 2]; [45; 35; 8; 16; 22; 44]; [6; 42; 48; 38; 27; 19; 41]],[98800; 99900; 98600; 94300; 95500; 92800; 72400; 100000; 100000; 99900],536,537,0.012339115142822266
7,10,0.9107838000000001,[23; 3; 34; 42; 40; 14; 45; 11; 0; 31; 15; 43; 28; 8; 27; 21; 7; 5; 16; 17; 49; 13; 30; 39; 20; 4; 36; 32; 38; 44; 24; 26; 6; 22; 35; 10; 48; 2; 47; 46; 41; 33; 1; 29; 25; 12; 19; 37; 9; 18],[[23; 3; 34; 42; 40]; [14; 45; 11; 0]; [31; 15; 43; 28; 8]; [27; 21; 7; 5]; [16; 17; 49; 13; 30]; [39; 20; 4; 36; 32; 38; 44]; [24; 26; 6; 22; 35]; [10; 48; 2; 47; 46; 41; 33]; [1; 29; 25; 12]; [19; 37; 9; 18]],[80100; 99500; 92700; 99200; 98600; 100000; 98700; 97300; 99400; 86700],274,275,0.01572561264038086
14,10,0.9145588,[3; 9; 34; 15; 28; 32; 4; 0; 38; 5; 19; 2; 6; 49; 21; 17; 26; 29; 36; 23; 8; 18; 41; 39; 47; 35; 44; 20; 12; 42; 31; 40; 11; 48; 24; 14; 46; 7; 13; 16; 27; 1; 43; 33; 10; 37; 30; 45; 25; 22],[[3; 9; 34; 15]; [28; 32; 4; 0]; [38; 5; 19; 2]; [6; 49; 21; 17; 26]; [29; 36; 23; 8; 18]; [41; 39; 47; 35; 44; 20; 12; 42]; [31; 40; 11; 48; 24; 14]; [46; 7; 13; 16]; [27; 1; 43; 33; 10]; [37; 30; 45; 25; 22]],[99700; 98800; 99600; 99700; 99800; 96300; 99000; 88900; 100000; 70400],489,490,0.0
11,10,0.9172434,[48; 45; 4; 9; 28; 32; 1; 22; 41; 17; 40; 19; 21; 27; 36; 44; 20; 29; 10; 24; 16; 37; 13; 11; 0; 33; 46; 3; 23; 7; 25; 31; 34; 8; 15; 18; 49; 14; 30; 12; 6; 2; 5; 35; 43; 47; 42; 26; 38; 39],[[48; 45; 4; 9; 28; 32]; [1; 22; 41; 17; 40]; [19; 21; 27; 36; 44; 20]; [29; 10; 24; 16; 37]; [13; 11; 0]; [33; 46; 3; 23; 7]; [25; 31; 34; 8; 15]; [18; 49; 14; 30; 12]; [6; 2; 5]; [35; 43; 47; 42; 26; 38; 39]],[99800; 99600; 99200; 98700; 94100; 99900; 97500; 99900; 98700; 64800],402,403,0.0
10,10,0.9135112,[4; 26; 28; 41; 19; 16; 0; 35; 6; 49; 11; 46; 5; 25; 43; 23; 17; 12; 7; 37; 20; 34; 10; 47; 33; 42; 8; 36; 30; 22; 44; 1; 29; 32; 13; 39; 21; 15; 9; 18; 24; 2; 38; 40; 27; 14; 45; 31; 3; 48],[[4; 26; 28; 41; 19]; [16; 0; 35]; [6; 49; 11; 46; 5]; [25; 43; 23; 17; 12]; [7; 37; 20; 34; 10]; [47; 33; 42; 8; 36; 30; 22]; [44; 1; 29; 32; 13]; [39; 21; 15; 9]; [18; 24; 2; 38; 40]; [27; 14; 45; 31; 3; 48]],[99200; 73900; 99600; 99600; 99900; 98800; 98700; 85200; 97400; 99900],373,374,0.0
