Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
18,8,0.869040875,[11; 43; 47; 10; 3; 39; 28; 38; 23; 19; 20; 15; 1; 21; 45; 6; 46; 24; 33; 4; 36; 34; 48; 25; 7; 5; 22; 37; 18; 2; 35; 30; 12; 14; 16; 26; 0; 8; 29; 32; 27; 42; 17; 40; 13; 31; 44; 49; 41; 9],[[11; 43; 47; 10; 3; 39; 28]; [38; 23; 19; 20; 15; 1]; [21; 45; 6; 46; 24; 33; 4]; [36; 34; 48; 25; 7; 5; 22]; [37; 18; 2; 35; 30; 12]; [14; 16; 26; 0; 8]; [29; 32; 27; 42; 17; 40; 13; 31]; [44; 49; 41; 9]],[99800; 100000; 99600; 99600; 92000; 98900; 99900; 38700],622,623,0.03386187553405762
11,8,0.8694081250000001,[26; 32; 17; 3; 40; 16; 7; 42; 45; 25; 44; 34; 19; 15; 20; 22; 29; 6; 30; 12; 8; 24; 9; 37; 35; 21; 47; 5; 33; 2; 13; 49; 14; 43; 4; 18; 41; 38; 1; 36; 31; 10; 23; 27; 28; 11; 48; 0; 46; 39],[[26; 32; 17; 3; 40; 16]; [7; 42; 45; 25; 44; 34; 19; 15]; [20; 22; 29; 6; 30; 12]; [8; 24; 9; 37; 35; 21; 47]; [5; 33; 2; 13; 49; 14]; [43; 4; 18; 41; 38; 1; 36]; [31; 10; 23; 27; 28; 11; 48]; [0; 46; 39]],[93400; 99700; 99400; 98900; 99700; 99400; 99700; 38300],402,403,0.01569390296936035
9,8,0.8589313749999999,[48; 21; 46; 36; 13; 11; 25; 26; 34; 33; 31; 8; 22; 17; 37; 4; 12; 28; 35; 45; 24; 30; 18; 7; 15; 0; 23; 42; 9; 14; 16; 2; 39; 41; 5; 10; 27; 44; 19; 6; 3; 40; 43; 1; 38; 32; 49; 20; 47; 29],[[48; 21; 46; 36; 13; 11; 25; 26]; [34; 33; 31; 8; 22; 17; 37]; [4; 12; 28; 35; 45; 24; 30]; [18; 7; 15; 0; 23]; [42; 9; 14; 16; 2; 39]; [41; 5; 10; 27; 44; 19]; [6; 3; 40; 43; 1; 38]; [32; 49; 20; 47; 29]],[99600; 96800; 100000; 99100; 98900; 89800; 98100; 46200],342,343,0.0
8,8,0.8595838750000001,[18; 2; 25; 22; 17; 7; 4; 16; 46; 31; 12; 49; 40; 3; 45; 34; 33; 13; 47; 21; 28; 32; 30; 15; 5; 10; 42; 38; 48; 41; 11; 27; 14; 26; 6; 36; 8; 29; 20; 35; 44; 0; 37; 23; 39; 1; 24; 9; 43; 19],[[18; 2; 25; 22; 17]; [7; 4; 16; 46; 31; 12]; [49; 40; 3; 45; 34; 33; 13; 47; 21]; [28; 32; 30; 15; 5; 10]; [42; 38; 48; 41; 11; 27; 14; 26]; [6; 36; 8; 29; 20; 35; 44]; [0; 37; 23; 39; 1; 24]; [9; 43; 19]],[90200; 100000; 99700; 99600; 93400; 99800; 99900; 45900],306,307,0.01563882827758789
16,8,0.8789211250000001,[34; 25; 1; 42; 17; 4; 41; 16; 26; 43; 11; 5; 38; 9; 10; 28; 18; 6; 7; 19; 12; 14; 8; 3; 0; 35; 23; 30; 31; 29; 36; 39; 2; 27; 33; 13; 48; 22; 47; 20; 15; 46; 40; 24; 32; 44; 45; 37; 49; 21],[[34; 25; 1; 42; 17; 4]; [41; 16; 26; 43; 11; 5; 38]; [9; 10; 28; 18; 6]; [7; 19; 12; 14; 8]; [3; 0; 35; 23; 30; 31]; [29; 36; 39; 2; 27; 33; 13]; [48; 22; 47; 20; 15; 46; 40; 24; 32; 44]; [45; 37; 49; 21]],[99600; 99500; 98500; 100000; 99400; 99900; 99500; 32100],564,565,0.015613317489624023
12,8,0.8709286250000001,[23; 4; 28; 25; 9; 0; 12; 20; 7; 26; 19; 6; 47; 36; 8; 5; 14; 3; 33; 43; 24; 21; 42; 34; 13; 39; 31; 37; 1; 16; 45; 29; 40; 17; 41; 48; 18; 2; 46; 27; 35; 15; 44; 10; 11; 30; 49; 38; 22; 32],[[23; 4; 28; 25; 9]; [0; 12; 20; 7; 26]; [19; 6; 47; 36; 8; 5]; [14; 3; 33; 43; 24; 21; 42]; [34; 13; 39; 31; 37; 1; 16]; [45; 29; 40; 17; 41; 48; 18; 2; 46]; [27; 35; 15; 44; 10; 11; 30]; [49; 38; 22; 32]],[92600; 99500; 100000; 99300; 99900; 99900; 99900; 37400],445,446,0.015644311904907227
6,8,0.843627625,[41; 31; 3; 14; 49; 5; 34; 48; 32; 46; 1; 38; 23; 4; 40; 10; 24; 36; 7; 43; 16; 13; 17; 26; 8; 18; 27; 37; 22; 6; 0; 29; 21; 12; 35; 2; 44; 39; 19; 11; 47; 42; 28; 33; 30; 25; 20; 45; 9; 15],[[41; 31; 3; 14; 49; 5; 34]; [48; 32; 46; 1; 38; 23; 4]; [40; 10; 24; 36; 7; 43; 16]; [13; 17; 26; 8; 18]; [27; 37; 22; 6; 0]; [29; 21; 12; 35; 2; 44; 39]; [19; 11; 47; 42; 28; 33; 30; 25]; [20; 45; 9; 15]],[99600; 92400; 99500; 89700; 88900; 97900; 99200; 61300],238,239,0.015591621398925781
12,8,0.872940375,[28; 26; 8; 11; 2; 19; 25; 18; 42; 12; 7; 49; 17; 34; 29; 3; 23; 36; 40; 46; 1; 43; 15; 5; 13; 48; 6; 44; 27; 47; 0; 35; 39; 38; 14; 21; 20; 24; 10; 31; 22; 16; 30; 32; 9; 37; 45; 41; 4; 33],[[28; 26; 8; 11; 2]; [19; 25; 18; 42; 12; 7; 49]; [17; 34; 29; 3; 23; 36; 40]; [46; 1; 43; 15; 5; 13; 48]; [6; 44; 27; 47; 0; 35; 39; 38]; [14; 21; 20; 24; 10; 31]; [22; 16; 30; 32; 9; 37; 45; 41]; [4; 33]],[98500; 99900; 98200; 99200; 100000; 97300; 99600; 35800],440,441,0.015640974044799805
8,8,0.8578781249999999,[17; 19; 37; 1; 27; 18; 4; 14; 34; 46; 23; 44; 10; 40; 6; 8; 15; 45; 26; 39; 29; 38; 31; 33; 5; 28; 12; 3; 32; 48; 20; 35; 22; 13; 41; 11; 42; 0; 49; 16; 9; 25; 36; 2; 21; 30; 24; 7; 47; 43],[[17; 19; 37; 1; 27; 18]; [4; 14; 34; 46; 23; 44; 10]; [40; 6; 8; 15; 45; 26; 39]; [29; 38; 31; 33; 5; 28]; [12; 3; 32; 48; 20; 35; 22]; [13; 41; 11; 42; 0; 49; 16]; [9; 25; 36; 2; 21; 30]; [24; 7; 47; 43]],[99900; 99100; 99600; 82800; 99800; 98700; 99900; 48700],308,309,0.01562356948852539
9,8,0.870805125,[7; 41; 36; 8; 12; 26; 10; 11; 13; 16; 6; 29; 0; 28; 48; 1; 19; 22; 20; 23; 35; 37; 27; 33; 47; 45; 34; 40; 25; 49; 9; 42; 39; 5; 2; 31; 43; 4; 21; 24; 14; 32; 46; 17; 38; 44; 18; 15; 3; 30],[[7; 41; 36; 8; 12; 26]; [10; 11; 13; 16; 6]; [29; 0; 28; 48; 1; 19]; [22; 20; 23; 35; 37; 27; 33; 47; 45]; [34; 40; 25; 49; 9; 42; 39; 5]; [2; 31; 43; 4; 21; 24]; [14; 32; 46; 17; 38; 44; 18; 15]; [3; 30]],[96800; 100000; 98800; 99600; 97300; 100000; 98800; 37200],338,339,0.015766143798828125
