Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
19,6,0.8701481666666666,[8; 24; 5; 1; 15; 12; 46; 4; 11; 13; 9; 32; 37; 25; 36; 2; 40; 39; 18; 28; 21; 3; 29; 22; 17; 38; 31; 45; 20; 10; 27; 0; 23; 26; 35; 42; 6; 41; 16; 19; 33; 7; 14; 34; 30; 49; 47; 48; 44; 43],[[8; 24; 5; 1; 15; 12; 46; 4]; [11; 13; 9; 32; 37; 25; 36; 2; 40]; [39; 18; 28; 21; 3; 29; 22; 17; 38]; [31; 45; 20; 10; 27; 0; 23; 26; 35]; [42; 6; 41; 16; 19; 33; 7; 14; 34]; [30; 49; 47; 48; 44; 43]],[95600; 100000; 99800; 99300; 100000; 57000],648,649,0.032004356384277344
8,6,0.8689965000000001,[33; 42; 32; 7; 4; 15; 30; 21; 31; 14; 11; 18; 13; 41; 39; 35; 2; 45; 44; 1; 47; 24; 27; 25; 5; 26; 20; 6; 8; 0; 3; 23; 22; 12; 40; 36; 19; 10; 9; 17; 38; 16; 28; 37; 43; 48; 34; 29; 46; 49],[[33; 42; 32; 7; 4; 15; 30; 21; 31]; [14; 11; 18; 13; 41; 39; 35; 2; 45]; [44; 1; 47; 24; 27; 25; 5; 26; 20]; [6; 8; 0; 3; 23; 22; 12; 40]; [36; 19; 10; 9; 17; 38; 16; 28; 37]; [43; 48; 34; 29; 46; 49]],[99600; 99700; 99700; 94800; 100000; 57900],310,311,0.011641979217529297
12,6,0.8707231666666667,[18; 9; 43; 41; 19; 29; 36; 15; 11; 0; 42; 2; 3; 1; 17; 14; 28; 26; 33; 12; 37; 4; 35; 21; 40; 7; 24; 32; 13; 25; 34; 5; 10; 47; 22; 8; 16; 23; 44; 30; 6; 27; 20; 31; 48; 45; 49; 46; 39; 38],[[18; 9; 43; 41; 19; 29; 36; 15; 11]; [0; 42; 2; 3; 1; 17; 14; 28]; [26; 33; 12; 37; 4; 35; 21; 40; 7]; [24; 32; 13; 25; 34; 5; 10; 47; 22]; [8; 16; 23; 44; 30; 6; 27; 20; 31]; [48; 45; 49; 46; 39; 38]],[99300; 96800; 99500; 99600; 100000; 56500],439,440,0.013930320739746094
14,6,0.8699028333333333,[44; 22; 8; 14; 42; 38; 0; 35; 6; 24; 17; 26; 1; 5; 33; 3; 7; 11; 15; 28; 49; 12; 21; 34; 19; 30; 43; 10; 4; 37; 20; 13; 2; 48; 39; 31; 25; 16; 29; 18; 32; 27; 9; 23; 41; 36; 47; 45; 40; 46],[[44; 22; 8; 14; 42; 38; 0; 35; 6]; [24; 17; 26; 1; 5; 33; 3; 7]; [11; 15; 28; 49; 12; 21; 34; 19; 30]; [43; 10; 4; 37; 20; 13; 2; 48; 39]; [31; 25; 16; 29; 18; 32; 27; 9; 23]; [41; 36; 47; 45; 40; 46]],[100000; 95300; 99600; 99800; 99800; 57200],486,487,0.020055532455444336
6,6,0.8672618333333334,[22; 5; 20; 32; 14; 28; 47; 27; 24; 7; 15; 10; 19; 12; 48; 25; 37; 36; 49; 21; 35; 0; 18; 33; 42; 9; 13; 34; 26; 8; 2; 40; 1; 6; 11; 4; 17; 29; 46; 39; 44; 23; 3; 16; 41; 30; 38; 31; 45; 43],[[22; 5; 20; 32; 14; 28; 47; 27; 24]; [7; 15; 10; 19; 12; 48; 25; 37; 36]; [49; 21; 35; 0; 18; 33; 42; 9; 13]; [34; 26; 8; 2; 40; 1; 6; 11]; [4; 17; 29; 46; 39; 44; 23; 3; 16]; [41; 30; 38; 31; 45; 43]],[99300; 100000; 99500; 93800; 99800; 59300],256,257,0.01563429832458496
8,6,0.8750808333333334,[38; 3; 48; 7; 43; 27; 24; 23; 0; 21; 47; 14; 16; 29; 26; 10; 6; 36; 37; 40; 8; 41; 13; 33; 5; 1; 35; 9; 46; 2; 15; 22; 17; 49; 19; 39; 32; 44; 11; 42; 20; 4; 31; 18; 30; 12; 28; 45; 34; 25],[[38; 3; 48; 7; 43; 27; 24; 23; 0]; [21; 47; 14; 16; 29; 26; 10; 6; 36]; [37; 40; 8; 41; 13; 33; 5; 1; 35]; [9; 46; 2; 15; 22; 17; 49; 19; 39]; [32; 44; 11; 42; 20; 4; 31; 18; 30]; [12; 28; 45; 34; 25]],[100000; 100000; 99800; 100000; 98400; 53500],313,314,0.0
8,6,0.8636191666666667,[0; 42; 13; 24; 37; 34; 20; 15; 25; 4; 30; 35; 31; 41; 9; 21; 3; 8; 26; 16; 48; 33; 17; 12; 39; 19; 40; 1; 47; 22; 14; 7; 45; 43; 5; 36; 38; 23; 32; 18; 27; 2; 6; 28; 29; 44; 46; 11; 49; 10],[[0; 42; 13; 24; 37; 34; 20; 15; 25]; [4; 30; 35; 31; 41; 9; 21; 3]; [8; 26; 16; 48; 33; 17; 12; 39; 19]; [40; 1; 47; 22; 14; 7; 45; 43; 5]; [36; 38; 23; 32; 18; 27; 2; 6; 28]; [29; 44; 46; 11; 49; 10]],[100000; 90000; 99700; 99200; 99900; 62900],316,317,0.0
9,6,0.8741948333333335,[1; 21; 25; 19; 13; 37; 32; 42; 22; 44; 14; 7; 48; 40; 2; 12; 31; 18; 30; 34; 0; 26; 49; 33; 9; 46; 11; 3; 47; 29; 17; 24; 8; 36; 23; 20; 28; 39; 10; 27; 41; 15; 6; 5; 43; 45; 35; 38; 16; 4],[[1; 21; 25; 19; 13; 37; 32; 42; 22]; [44; 14; 7; 48; 40; 2; 12; 31; 18]; [30; 34; 0; 26; 49; 33; 9; 46; 11]; [3; 47; 29; 17; 24; 8; 36; 23; 20]; [28; 39; 10; 27; 41; 15; 6; 5; 43]; [45; 35; 38; 16; 4]],[100000; 99800; 97800; 100000; 100000; 54100],337,338,0.0
14,6,0.8674748333333334,[41; 45; 20; 8; 39; 19; 5; 34; 2; 17; 10; 4; 23; 24; 35; 18; 13; 43; 25; 9; 28; 22; 37; 11; 30; 6; 1; 33; 26; 15; 12; 7; 38; 49; 32; 31; 48; 0; 42; 16; 14; 21; 36; 3; 46; 44; 47; 27; 40; 29],[[41; 45; 20; 8; 39; 19; 5; 34; 2]; [17; 10; 4; 23; 24; 35; 18; 13]; [43; 25; 9; 28; 22; 37; 11; 30; 6]; [1; 33; 26; 15; 12; 7; 38; 49; 32]; [31; 48; 0; 42; 16; 14; 21; 36; 3]; [46; 44; 47; 27; 40; 29]],[100000; 92800; 99600; 100000; 100000; 59300],508,509,0.015607833862304688
7,6,0.8688421666666667,[40; 33; 4; 32; 49; 7; 26; 38; 46; 5; 47; 34; 22; 35; 13; 16; 6; 30; 19; 28; 9; 29; 42; 23; 39; 2; 25; 24; 21; 1; 44; 37; 20; 15; 36; 17; 3; 14; 18; 31; 41; 8; 11; 48; 45; 43; 12; 10; 27; 0],[[40; 33; 4; 32; 49; 7; 26; 38; 46]; [5; 47; 34; 22; 35; 13; 16; 6; 30]; [19; 28; 9; 29; 42; 23; 39; 2; 25]; [24; 21; 1; 44; 37; 20; 15; 36; 17]; [3; 14; 18; 31; 41; 8; 11; 48; 45]; [43; 12; 10; 27; 0]],[94900; 99900; 99900; 99500; 99500; 58000],276,277,0.0
