Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
17,77,0.7316766233766235,[56; 1; 27; 67; 29; 51; 50; 88; 6; 65; 5; 24; 69; 81; 79; 77; 11; 31; 74; 72; 43; 98; 83; 70; 36; 12; 78; 73; 2; 68; 89; 39; 64; 96; 26; 13; 80; 63; 10; 17; 44; 57; 87; 14; 37; 15; 34; 62; 84; 82; 66; 53; 97; 16; 91; 54; 48; 3; 18; 25; 23; 22; 90; 49; 9; 99; 55; 40; 47; 93; 76; 35; 28; 20; 0; 58; 60; 85; 86; 61; 75; 71; 21; 94; 45; 33; 32; 30; 59; 8; 19; 4; 92; 52; 46; 95; 41; 7; 38; 42],[[56]; [1]; [27]; [67]; [29]; [51]; [50; 88]; [6]; [65]; [5]; [24]; [69; 81]; [79; 77]; [11]; [31]; [74; 72]; [43; 98]; [83; 70]; [36]; [12]; [78; 73]; [2]; [68; 89]; [39]; [64; 96]; [26]; [13]; [80]; [63]; [10]; [17]; [44]; [57; 87]; [14]; [37]; [15]; [34]; [62; 84]; [82; 66]; [53; 97]; [16]; [91; 54]; [48]; [3]; [18]; [25]; [23]; [22]; [90; 49]; [9]; [99; 55]; [40]; [47; 93]; [76]; [35]; [28]; [20]; [0]; [58]; [60; 85]; [86; 61]; [75; 71]; [21]; [94; 45]; [33]; [32]; [30]; [59]; [8]; [19]; [4]; [92; 52]; [46; 95]; [41]; [7]; [38]; [42]],[6000; 10000; 7900; 5400; 7500; 6100; 9900; 9700; 5600; 9800; 8300; 10000; 9600; 9400; 7400; 9900; 10000; 9300; 7200; 9400; 9700; 9900; 9100; 6900; 8900; 8000; 9300; 4600; 5700; 9400; 8700; 6800; 10000; 9100; 7100; 9000; 7300; 9900; 9900; 9400; 8900; 9500; 6300; 9900; 8700; 8200; 8400; 8400; 9800; 9400; 9100; 6900; 9900; 4900; 7300; 7500; 8600; 10000; 6000; 10000; 9800; 9900; 8400; 10000; 7300; 7400; 7500; 5900; 9600; 8700; 9800; 9500; 9800; 6900; 9600; 7000; 6800],1277,1278,0.12070345878601074
20,77,0.7331779220779221,[45; 96; 25; 74; 70; 12; 50; 91; 59; 85; 4; 29; 43; 98; 15; 66; 8; 89; 48; 7; 6; 62; 83; 0; 21; 51; 17; 67; 34; 38; 39; 69; 80; 49; 93; 28; 41; 23; 42; 11; 90; 46; 71; 72; 79; 33; 55; 94; 27; 1; 26; 35; 31; 18; 95; 81; 5; 84; 65; 78; 19; 61; 47; 97; 9; 52; 88; 60; 2; 3; 37; 53; 20; 36; 54; 87; 30; 77; 73; 22; 68; 92; 24; 57; 32; 44; 13; 10; 82; 64; 86; 56; 14; 75; 76; 99; 40; 63; 58; 16],[[45; 96]; [25]; [74; 70]; [12]; [50; 91]; [59; 85]; [4]; [29]; [43; 98]; [15]; [66]; [8]; [89; 48]; [7]; [6]; [62; 83]; [0]; [21]; [51]; [17]; [67]; [34]; [38]; [39]; [69; 80]; [49; 93]; [28]; [41]; [23]; [42]; [11]; [90; 46]; [71; 72]; [79]; [33]; [55; 94]; [27]; [1]; [26]; [35]; [31]; [18]; [95; 81]; [5]; [84; 65]; [78]; [19]; [61]; [47; 97]; [9]; [52; 88]; [60]; [2]; [3]; [37]; [53]; [20]; [36]; [54; 87]; [30]; [77; 73]; [22]; [68; 92]; [24]; [57]; [32]; [44]; [13]; [10]; [82; 64]; [86; 56]; [14]; [75; 76]; [99; 40]; [63]; [58]; [16]],[10000; 8200; 10000; 9400; 9600; 10000; 9800; 7500; 10000; 9000; 5500; 9600; 10000; 9600; 9700; 9900; 10000; 8400; 6100; 8700; 5400; 7300; 7000; 6900; 10000; 9700; 7500; 6900; 8400; 6800; 9400; 10000; 10000; 4800; 7300; 9300; 7900; 10000; 8000; 7300; 7400; 8700; 7900; 9800; 9800; 4800; 8700; 5800; 9800; 9400; 9900; 5900; 9900; 9900; 7100; 6100; 8600; 7200; 10000; 7500; 9700; 8400; 8800; 8300; 6000; 7400; 6800; 9300; 9400; 10000; 10000; 9100; 9800; 10000; 5700; 6000; 8900],1451,1452,0.1349806785583496
15,77,0.7301935064935066,[23; 49; 41; 84; 66; 51; 92; 33; 82; 67; 39; 30; 35; 14; 38; 72; 78; 34; 95; 68; 8; 11; 79; 43; 98; 85; 59; 88; 56; 4; 12; 10; 1; 52; 27; 32; 0; 58; 55; 17; 99; 48; 42; 53; 91; 89; 50; 22; 31; 96; 60; 77; 71; 7; 36; 5; 9; 73; 45; 54; 94; 6; 63; 25; 24; 37; 3; 26; 29; 86; 64; 80; 76; 65; 87; 20; 18; 2; 46; 93; 16; 57; 97; 19; 90; 61; 28; 47; 69; 81; 44; 75; 74; 13; 15; 83; 62; 40; 70; 21],[[23]; [49]; [41]; [84; 66]; [51; 92]; [33]; [82; 67]; [39]; [30]; [35]; [14]; [38]; [72; 78]; [34]; [95; 68]; [8]; [11]; [79]; [43; 98]; [85; 59]; [88; 56]; [4]; [12]; [10]; [1]; [52]; [27]; [32]; [0]; [58]; [55]; [17]; [99; 48]; [42]; [53; 91]; [89; 50]; [22]; [31]; [96; 60]; [77; 71]; [7]; [36]; [5]; [9]; [73]; [45]; [54; 94]; [6]; [63]; [25]; [24]; [37]; [3]; [26]; [29]; [86; 64]; [80; 76]; [65; 87]; [20]; [18]; [2]; [46; 93]; [16]; [57; 97]; [19]; [90; 61]; [28]; [47]; [69; 81]; [44]; [75; 74]; [13]; [15]; [83; 62]; [40]; [70]; [21]],[8400; 6300; 6900; 9700; 9500; 7300; 9800; 6900; 7500; 7300; 9100; 7000; 9800; 7300; 8700; 9600; 9400; 4800; 10000; 10000; 9800; 9800; 9400; 9400; 10000; 6100; 7900; 7400; 10000; 6000; 6000; 8700; 9400; 6800; 9600; 9800; 8400; 7400; 9200; 9800; 9600; 7200; 9800; 9400; 4900; 6700; 9300; 9700; 5700; 8200; 8300; 7100; 9900; 8000; 7500; 9600; 9500; 9600; 8600; 8700; 9900; 9900; 8900; 9300; 8700; 9300; 7500; 6500; 10000; 6800; 9800; 9300; 9000; 9900; 6900; 5100; 8400],1161,1162,0.0955057144165039
30,77,0.7335571428571429,[11; 49; 93; 60; 88; 31; 32; 8; 54; 95; 10; 83; 64; 59; 3; 82; 68; 69; 7; 30; 33; 56; 86; 53; 41; 87; 57; 67; 80; 25; 1; 2; 17; 34; 38; 42; 19; 26; 16; 43; 98; 46; 90; 78; 73; 89; 58; 28; 35; 76; 75; 20; 5; 97; 12; 63; 23; 62; 85; 24; 66; 13; 52; 27; 94; 81; 9; 29; 36; 22; 14; 50; 91; 71; 79; 72; 77; 15; 44; 74; 70; 4; 92; 48; 37; 51; 18; 47; 40; 39; 99; 65; 21; 0; 45; 96; 84; 61; 55; 6],[[11]; [49; 93]; [60; 88]; [31]; [32]; [8]; [54; 95]; [10]; [83; 64]; [59]; [3]; [82; 68]; [69]; [7]; [30]; [33]; [56; 86]; [53]; [41]; [87; 57]; [67; 80]; [25]; [1]; [2]; [17]; [34]; [38]; [42]; [19]; [26]; [16]; [43; 98]; [46; 90]; [78; 73]; [89; 58]; [28]; [35]; [76; 75]; [20]; [5]; [97]; [12]; [63]; [23]; [62; 85]; [24]; [66]; [13]; [52]; [27]; [94; 81]; [9]; [29]; [36]; [22]; [14]; [50; 91]; [71; 79]; [72; 77]; [15]; [44]; [74; 70]; [4]; [92; 48]; [37]; [51]; [18]; [47]; [40]; [39; 99]; [65]; [21]; [0]; [45; 96]; [84; 61]; [55]; [6]],[9400; 9700; 9700; 7400; 7400; 9600; 9300; 9400; 9800; 5900; 9900; 9800; 5400; 9600; 7500; 7300; 10000; 6100; 6900; 10000; 10000; 8200; 10000; 9900; 8700; 7300; 7000; 6800; 8700; 8000; 8900; 10000; 10000; 9700; 9700; 7500; 7300; 9800; 8600; 9800; 3300; 9400; 5700; 8400; 9800; 8300; 5500; 9300; 6100; 7900; 7900; 9400; 7500; 7200; 8400; 9100; 9600; 9800; 9800; 9000; 6800; 10000; 9800; 9700; 7100; 6100; 8700; 6500; 6900; 10000; 5600; 8400; 10000; 10000; 10000; 6000; 9700],2110,2111,0.22339081764221191
25,77,0.7325207792207794,[16; 7; 24; 76; 70; 6; 28; 74; 80; 78; 12; 43; 84; 61; 73; 72; 26; 23; 0; 39; 3; 15; 42; 54; 87; 51; 4; 40; 1; 25; 19; 36; 94; 45; 21; 88; 57; 69; 60; 85; 75; 79; 98; 68; 71; 31; 77; 34; 38; 35; 46; 93; 95; 55; 33; 10; 32; 11; 50; 96; 9; 65; 83; 64; 8; 56; 86; 5; 37; 67; 81; 97; 62; 13; 18; 2; 59; 66; 82; 30; 17; 47; 20; 41; 14; 29; 63; 27; 89; 53; 44; 99; 58; 49; 91; 22; 48; 90; 92; 52],[[16]; [7]; [24]; [76; 70]; [6]; [28]; [74; 80]; [78]; [12]; [43]; [84; 61]; [73; 72]; [26]; [23]; [0]; [39]; [3]; [15]; [42]; [54; 87]; [51]; [4]; [40]; [1]; [25]; [19]; [36]; [94; 45]; [21]; [88; 57]; [69]; [60; 85]; [75; 79]; [98; 68]; [71]; [31]; [77]; [34]; [38]; [35]; [46; 93]; [95; 55]; [33]; [10]; [32]; [11]; [50; 96]; [9]; [65; 83]; [64]; [8]; [56; 86]; [5]; [37]; [67; 81]; [97; 62]; [13]; [18]; [2]; [59]; [66; 82]; [30]; [17]; [47]; [20]; [41]; [14]; [29]; [63]; [27]; [89; 53]; [44; 99]; [58]; [49; 91]; [22]; [48; 90]; [92; 52]],[8900; 9600; 8300; 10000; 9700; 7500; 9500; 4800; 9400; 6800; 10000; 9900; 8000; 8400; 10000; 6900; 9900; 9000; 6800; 10000; 6100; 9800; 6900; 10000; 8200; 8700; 7200; 10000; 8400; 9800; 5400; 10000; 9700; 8600; 5000; 7400; 4800; 7300; 7000; 7300; 9900; 9300; 7300; 9400; 7400; 9400; 9400; 9400; 9800; 5600; 9600; 10000; 9800; 7100; 10000; 9000; 9300; 8700; 9900; 5900; 9900; 7500; 8700; 6500; 8600; 6900; 9100; 7500; 5700; 7900; 9800; 9900; 6000; 9800; 8400; 9800; 9500],1818,1819,0.17220139503479004
35,75,0.7666280000000002,[13; 95; 58; 23; 66; 2; 96; 45; 60; 4; 33; 29; 25; 69; 81; 87; 55; 78; 71; 37; 72; 76; 63; 82; 65; 26; 75; 73; 8; 7; 62; 83; 21; 47; 92; 32; 18; 24; 30; 3; 6; 56; 86; 42; 16; 38; 54; 44; 90; 51; 68; 52; 91; 9; 46; 97; 39; 99; 53; 88; 22; 14; 41; 19; 27; 11; 49; 93; 17; 1; 10; 50; 89; 5; 94; 48; 20; 12; 67; 80; 36; 34; 61; 84; 28; 85; 64; 43; 35; 59; 31; 0; 79; 77; 40; 15; 70; 74; 57; 98],[[13]; [95; 58]; [23]; [66]; [2]; [96; 45]; [60]; [4]; [33]; [29]; [25]; [69; 81]; [87; 55]; [78; 71]; [37]; [72; 76]; [63]; [82; 65]; [26]; [75; 73]; [8]; [7]; [62; 83]; [21]; [47; 92]; [32]; [18]; [24]; [30]; [3]; [6]; [56; 86]; [42]; [16]; [38]; [54]; [44]; [90; 51]; [68]; [52; 91]; [9]; [46; 97]; [39; 99]; [53; 88]; [22]; [14]; [41]; [19]; [27]; [11]; [49; 93]; [17]; [1]; [10]; [50; 89]; [5]; [94; 48]; [20]; [12]; [67; 80]; [36]; [34]; [61; 84]; [28]; [85; 64]; [43]; [35]; [59]; [31]; [0]; [79; 77]; [40]; [15]; [70; 74]; [57; 98]],[9300; 9300; 8400; 5500; 9900; 10000; 5900; 9800; 7300; 7500; 8200; 10000; 10000; 9800; 7100; 9900; 5700; 10000; 8000; 9800; 9600; 9600; 9900; 8400; 9900; 7400; 8700; 8300; 7500; 9900; 9700; 10000; 6800; 8900; 7000; 6000; 6800; 9600; 5400; 9600; 9400; 9800; 10000; 9900; 8400; 9100; 6900; 8700; 7900; 9400; 9700; 8700; 10000; 9400; 9800; 9800; 9600; 8600; 9400; 10000; 7200; 7300; 10000; 7500; 9700; 6800; 7300; 5900; 7400; 10000; 9600; 6900; 9000; 10000; 9200],2434,2435,0.3972792625427246
23,77,0.7338584415584418,[13; 97; 49; 43; 79; 77; 30; 72; 74; 63; 11; 93; 59; 14; 73; 16; 20; 51; 81; 67; 17; 45; 27; 50; 88; 21; 76; 0; 94; 46; 56; 87; 64; 23; 7; 2; 33; 70; 75; 98; 44; 22; 84; 66; 6; 1; 4; 62; 25; 26; 3; 24; 65; 82; 29; 10; 28; 61; 85; 41; 83; 8; 89; 60; 15; 58; 35; 34; 40; 57; 86; 68; 31; 78; 71; 42; 99; 55; 96; 37; 12; 39; 48; 92; 36; 38; 53; 95; 69; 80; 18; 5; 54; 32; 19; 9; 47; 90; 91; 52],[[13]; [97; 49]; [43]; [79; 77]; [30]; [72; 74]; [63]; [11]; [93; 59]; [14]; [73]; [16]; [20]; [51]; [81; 67]; [17]; [45]; [27]; [50; 88]; [21]; [76]; [0]; [94; 46]; [56; 87]; [64]; [23]; [7]; [2]; [33]; [70; 75]; [98; 44]; [22]; [84; 66]; [6]; [1]; [4]; [62]; [25]; [26]; [3]; [24]; [65; 82]; [29]; [10]; [28]; [61; 85]; [41]; [83]; [8]; [89; 60]; [15]; [58]; [35]; [34]; [40]; [57; 86]; [68]; [31]; [78; 71]; [42; 99]; [55; 96]; [37]; [12]; [39]; [48; 92]; [36]; [38]; [53; 95]; [69; 80]; [18]; [5]; [54]; [32]; [19]; [9]; [47; 90]; [91; 52]],[9300; 9600; 6800; 9600; 7500; 9900; 5700; 9400; 9300; 9100; 4900; 8900; 8600; 6100; 10000; 8700; 6700; 7900; 9900; 8400; 4900; 10000; 9800; 10000; 5600; 8400; 9600; 9900; 7300; 10000; 10000; 8400; 9700; 9700; 10000; 9800; 5700; 8200; 8000; 9900; 8300; 10000; 7500; 9400; 7500; 9900; 6900; 4200; 9600; 9600; 9000; 6000; 7300; 7300; 6900; 10000; 5400; 7400; 9800; 9900; 9300; 7100; 9400; 6900; 9700; 7200; 7000; 9400; 10000; 8700; 9800; 6000; 7400; 8700; 9400; 10000; 9600],1651,1652,0.1494438648223877
33,76,0.7497802631578949,[10; 6; 52; 94; 50; 88; 69; 81; 11; 33; 43; 67; 37; 26; 7; 25; 54; 87; 71; 72; 39; 93; 59; 58; 95; 64; 45; 24; 89; 49; 20; 74; 73; 79; 75; 97; 46; 4; 0; 30; 13; 28; 36; 16; 15; 60; 34; 44; 1; 9; 83; 62; 84; 63; 91; 55; 29; 31; 12; 19; 68; 80; 85; 61; 41; 40; 99; 21; 53; 92; 65; 27; 70; 76; 48; 90; 96; 47; 18; 14; 2; 23; 86; 57; 98; 51; 56; 35; 8; 66; 82; 32; 78; 17; 5; 38; 77; 22; 3; 42],[[10]; [6]; [52; 94]; [50; 88]; [69; 81]; [11]; [33]; [43]; [67]; [37]; [26]; [7]; [25]; [54; 87]; [71; 72]; [39]; [93; 59]; [58; 95]; [64]; [45]; [24]; [89; 49]; [20]; [74; 73]; [79; 75]; [97; 46]; [4]; [0]; [30]; [13]; [28]; [36]; [16]; [15]; [60]; [34]; [44]; [1]; [9]; [83; 62]; [84; 63]; [91; 55]; [29]; [31]; [12]; [19]; [68; 80]; [85; 61]; [41]; [40; 99]; [21]; [53; 92]; [65]; [27]; [70; 76]; [48; 90]; [96; 47]; [18]; [14]; [2]; [23]; [86; 57]; [98; 51]; [56]; [35]; [8]; [66; 82]; [32]; [78]; [17]; [5]; [38]; [77]; [22]; [3]; [42]],[9400; 9700; 9400; 9900; 10000; 9400; 7300; 6800; 5400; 7100; 8000; 9600; 8200; 10000; 10000; 6900; 9300; 9300; 5600; 6700; 8300; 10000; 8600; 9800; 9700; 9800; 9800; 10000; 7500; 9300; 7500; 7200; 8900; 9000; 5900; 7300; 6800; 10000; 9400; 9900; 9900; 9500; 7500; 7400; 9400; 8700; 10000; 9900; 6900; 10000; 8400; 9500; 5600; 7900; 10000; 9800; 9800; 8700; 9100; 9900; 8400; 10000; 9300; 6000; 7300; 9600; 9900; 7400; 4800; 8700; 9800; 7000; 4800; 8400; 9900; 6800],2320,2321,0.26947641372680664
28,76,0.747709210526316,[65; 92; 26; 36; 7; 29; 35; 21; 1; 28; 8; 10; 95; 51; 72; 78; 5; 31; 16; 30; 53; 23; 63; 12; 38; 20; 34; 94; 45; 81; 67; 13; 33; 99; 41; 32; 79; 84; 85; 69; 80; 75; 27; 15; 49; 96; 9; 55; 77; 71; 22; 40; 11; 17; 76; 73; 2; 91; 54; 52; 64; 70; 74; 44; 18; 61; 56; 37; 97; 48; 19; 46; 93; 60; 57; 59; 88; 25; 14; 58; 87; 43; 90; 47; 24; 82; 66; 62; 83; 0; 98; 42; 3; 6; 50; 89; 4; 68; 86; 39],[[65; 92]; [26]; [36]; [7]; [29]; [35]; [21]; [1]; [28]; [8]; [10]; [95; 51]; [72; 78]; [5]; [31]; [16]; [30]; [53]; [23]; [63]; [12]; [38]; [20]; [34]; [94; 45]; [81; 67]; [13]; [33]; [99; 41]; [32]; [79; 84]; [85; 69]; [80; 75]; [27]; [15]; [49; 96]; [9]; [55]; [77; 71]; [22]; [40]; [11]; [17]; [76; 73]; [2]; [91; 54]; [52]; [64]; [70; 74]; [44]; [18]; [61]; [56]; [37]; [97; 48]; [19]; [46; 93]; [60]; [57]; [59; 88]; [25]; [14]; [58; 87]; [43]; [90; 47]; [24]; [82; 66]; [62; 83]; [0]; [98; 42]; [3]; [6]; [50; 89]; [4]; [68; 86]; [39]],[9000; 8000; 7200; 9600; 7500; 7300; 8400; 10000; 7500; 9600; 9400; 9400; 9800; 9800; 7400; 8900; 7500; 6100; 8400; 5700; 9400; 7000; 8600; 7300; 10000; 10000; 9300; 7300; 10000; 7400; 9000; 9500; 9500; 7900; 9000; 9600; 9400; 6000; 9800; 8400; 6900; 9400; 8700; 9800; 9900; 9500; 6100; 5600; 10000; 6800; 8700; 5800; 6000; 7100; 9600; 8700; 9900; 5900; 6000; 9700; 8200; 9100; 10000; 6800; 10000; 8300; 9900; 9900; 10000; 10000; 9900; 9700; 9800; 9800; 9400; 6900],1996,1997,0.17279386520385742
37,76,0.7510250000000003,[31; 30; 10; 2; 66; 82; 9; 69; 80; 0; 52; 77; 65; 26; 64; 84; 83; 61; 38; 6; 97; 49; 94; 46; 45; 96; 19; 85; 59; 3; 62; 44; 93; 50; 74; 76; 8; 23; 51; 95; 35; 21; 43; 98; 71; 75; 5; 24; 36; 14; 22; 1; 40; 99; 25; 73; 29; 89; 48; 33; 55; 37; 42; 72; 79; 88; 54; 7; 27; 58; 87; 4; 41; 90; 56; 11; 86; 57; 67; 34; 12; 63; 15; 32; 18; 91; 53; 13; 17; 47; 92; 39; 16; 28; 20; 78; 70; 81; 68; 60],[[31]; [30]; [10]; [2]; [66; 82]; [9]; [69; 80]; [0]; [52]; [77]; [65]; [26]; [64; 84]; [83; 61]; [38]; [6]; [97; 49]; [94; 46]; [45; 96]; [19]; [85; 59]; [3]; [62]; [44]; [93; 50]; [74; 76]; [8]; [23]; [51; 95]; [35]; [21]; [43; 98]; [71; 75]; [5]; [24]; [36]; [14]; [22]; [1]; [40; 99]; [25]; [73]; [29]; [89; 48]; [33]; [55]; [37]; [42]; [72; 79]; [88; 54]; [7]; [27]; [58; 87]; [4]; [41]; [90; 56]; [11]; [86; 57]; [67]; [34]; [12]; [63]; [15]; [32]; [18]; [91; 53]; [13]; [17]; [47; 92]; [39]; [16]; [28]; [20]; [78; 70]; [81; 68]; [60]],[7400; 7500; 9400; 9900; 9900; 9400; 10000; 10000; 6100; 4800; 5600; 8000; 9800; 10000; 7000; 9700; 9600; 9800; 10000; 8700; 10000; 9900; 5700; 6800; 9500; 9800; 9600; 8400; 9400; 7300; 8400; 10000; 9900; 9800; 8300; 7200; 9100; 8400; 10000; 10000; 8200; 4900; 7500; 10000; 7300; 6000; 7100; 6800; 9800; 9800; 9600; 7900; 10000; 9800; 6900; 9500; 9400; 10000; 5400; 7300; 9400; 5700; 9000; 7400; 8700; 9600; 9300; 8700; 9900; 6900; 8900; 7500; 8600; 9900; 10000; 5900],2494,2495,0.18925118446350098
