Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
21,36,0.8654246913580247,[68; 8; 37; 42; 76; 91; 99; 41; 65; 43; 93; 98; 22; 36; 56; 0; 7; 38; 24; 66; 47; 86; 84; 27; 48; 5; 71; 89; 77; 88; 26; 72; 96; 4; 21; 28; 85; 12; 59; 45; 13; 14; 57; 39; 17; 40; 54; 60; 44; 2; 3; 52; 46; 23; 11; 35; 87; 94; 90; 95; 34; 82; 69; 81; 29; 25; 62; 70; 79; 64; 6; 61; 30; 78; 80; 10; 58; 15; 55; 1; 83; 67; 63; 73; 74; 20; 32; 50; 19; 51; 18; 75; 33; 49; 97; 9; 92; 53; 16; 31],[[68; 8]; [37; 42; 76; 91; 99]; [41; 65; 43]; [93; 98; 22; 36]; [56; 0]; [7; 38]; [24; 66]; [47; 86; 84; 27]; [48; 5]; [71; 89; 77; 88; 26]; [72; 96; 4]; [21; 28]; [85; 12; 59]; [45; 13]; [14; 57]; [39; 17]; [40; 54; 60]; [44; 2]; [3; 52]; [46; 23]; [11; 35]; [87; 94; 90; 95; 34; 82; 69]; [81; 29]; [25; 62; 70]; [79; 64; 6]; [61; 30; 78; 80]; [10; 58]; [15; 55]; [1; 83; 67]; [63; 73; 74]; [20; 32]; [50; 19]; [51; 18]; [75; 33; 49; 97]; [9; 92; 53]; [16; 31]],[12600; 14600; 14700; 14900; 14600; 15000; 11100; 14400; 14500; 15000; 13200; 14600; 14300; 13900; 13100; 14100; 14500; 15000; 14500; 12800; 15000; 14800; 8200; 14800; 15000; 14700; 13400; 13300; 15000; 9400; 14300; 13200; 13200; 14100; 14800; 14800],1532,1533,0.0874788761138916
31,35,0.9148444444444445,[4; 45; 47; 56; 57; 11; 48; 93; 87; 54; 8; 21; 27; 3; 76; 92; 83; 67; 66; 23; 26; 17; 73; 69; 29; 18; 77; 32; 30; 85; 22; 41; 95; 80; 10; 82; 86; 31; 16; 55; 37; 59; 42; 52; 64; 58; 99; 7; 84; 79; 13; 63; 15; 36; 98; 43; 5; 40; 12; 39; 9; 88; 75; 89; 62; 34; 61; 71; 25; 1; 35; 14; 72; 94; 78; 20; 96; 28; 24; 6; 38; 50; 0; 53; 70; 33; 49; 74; 51; 97; 2; 46; 60; 81; 65; 90; 68; 19; 91; 44],[[4; 45]; [47; 56; 57]; [11; 48; 93]; [87; 54; 8]; [21; 27]; [3; 76; 92; 83]; [67; 66; 23]; [26]; [17; 73; 69]; [29; 18]; [77; 32; 30]; [85; 22; 41]; [95; 80; 10; 82; 86]; [31; 16]; [55; 37; 59]; [42; 52; 64]; [58; 99; 7; 84]; [79; 13; 63]; [15; 36; 98]; [43; 5]; [40; 12]; [39; 9]; [88; 75; 89; 62; 34]; [61; 71; 25]; [1]; [35; 14]; [72; 94; 78; 20; 96]; [28; 24]; [6; 38]; [50; 0]; [53; 70; 33]; [49; 74; 51; 97]; [2; 46]; [60; 81; 65; 90; 68]; [19; 91; 44]],[14700; 14200; 14800; 15000; 14800; 14400; 14800; 7200; 14800; 14800; 15000; 14700; 14600; 14800; 14800; 14000; 14900; 14700; 14900; 14800; 14300; 14700; 15000; 14800; 9900; 14700; 14700; 14100; 15000; 14900; 14300; 12900; 14900; 14000; 14500],2183,2184,0.11541295051574707
46,35,0.9159161904761904,[94; 40; 14; 46; 17; 99; 12; 84; 49; 13; 32; 5; 65; 41; 4; 10; 90; 62; 33; 72; 80; 66; 31; 15; 36; 0; 56; 98; 85; 88; 51; 26; 93; 54; 52; 83; 61; 22; 78; 95; 53; 82; 16; 70; 79; 11; 3; 64; 63; 91; 23; 75; 20; 77; 73; 55; 7; 87; 1; 89; 67; 38; 8; 2; 48; 25; 68; 58; 28; 18; 45; 27; 76; 43; 60; 42; 69; 50; 37; 92; 47; 9; 35; 59; 86; 71; 29; 24; 81; 19; 97; 57; 21; 30; 44; 6; 39; 34; 74; 96],[[94; 40; 14]; [46; 17; 99]; [12; 84; 49]; [13; 32]; [5; 65]; [41; 4]; [10; 90; 62]; [33; 72; 80; 66]; [31; 15]; [36]; [0; 56; 98]; [85; 88; 51; 26]; [93; 54; 52; 83]; [61; 22; 78; 95]; [53; 82; 16]; [70; 79; 11]; [3; 64]; [63; 91; 23; 75]; [20; 77; 73]; [55; 7; 87]; [1; 89; 67]; [38; 8]; [2; 48]; [25; 68; 58]; [28; 18]; [45; 27; 76]; [43; 60; 42]; [69; 50; 37; 92]; [47; 9]; [35; 59; 86; 71]; [29; 24]; [81; 19; 97; 57]; [21; 30]; [44; 6]; [39; 34; 74; 96]],[15000; 13800; 15000; 14900; 13100; 15000; 14300; 14900; 14900; 6000; 14900; 14500; 11900; 14800; 14900; 14300; 13300; 14900; 13200; 15000; 14600; 15000; 14800; 15000; 14900; 14500; 15000; 15000; 14200; 14900; 14000; 15000; 14400; 14500; 15000],3129,3130,0.15624046325683594
26,36,0.8737679012345678,[1; 58; 81; 59; 26; 77; 85; 76; 65; 92; 79; 3; 50; 69; 11; 80; 89; 9; 15; 30; 52; 53; 48; 70; 93; 86; 6; 14; 97; 45; 54; 0; 49; 8; 95; 19; 29; 34; 98; 20; 35; 5; 39; 17; 42; 7; 38; 61; 78; 12; 16; 36; 25; 24; 68; 56; 75; 62; 64; 94; 43; 51; 40; 90; 2; 66; 88; 72; 57; 63; 71; 22; 47; 84; 37; 18; 27; 28; 83; 73; 67; 99; 23; 44; 13; 87; 46; 41; 60; 31; 21; 33; 32; 4; 55; 74; 91; 82; 96; 10],[[1; 58]; [81; 59; 26]; [77; 85; 76; 65; 92; 79]; [3; 50]; [69; 11; 80]; [89; 9]; [15; 30]; [52; 53; 48]; [70; 93; 86; 6]; [14; 97; 45]; [54; 0]; [49; 8; 95]; [19; 29]; [34; 98; 20]; [35]; [5; 39]; [17; 42]; [7; 38]; [61; 78; 12]; [16; 36]; [25; 24]; [68; 56; 75; 62]; [64; 94; 43; 51]; [40; 90]; [2; 66; 88]; [72; 57; 63; 71]; [22; 47; 84]; [37; 18]; [27; 28; 83]; [73; 67; 99; 23]; [44; 13; 87]; [46; 41; 60]; [31; 21]; [33; 32]; [4; 55]; [74; 91; 82; 96; 10]],[14200; 13200; 12700; 14500; 14300; 10200; 15000; 14800; 14500; 14400; 14700; 14900; 14800; 14500; 6100; 15000; 13900; 15000; 15000; 14500; 14800; 14600; 14800; 6600; 14400; 14900; 14200; 14100; 14900; 14200; 15000; 15000; 14300; 12500; 14100; 14800],1855,1856,0.11555194854736328
27,36,0.8749851851851851,[48; 76; 27; 2; 69; 55; 91; 7; 71; 83; 79; 23; 11; 39; 4; 26; 21; 77; 62; 30; 13; 53; 17; 81; 24; 42; 84; 35; 5; 40; 34; 14; 29; 52; 66; 15; 31; 70; 47; 36; 54; 45; 50; 98; 37; 88; 22; 51; 28; 38; 59; 75; 74; 80; 93; 82; 0; 58; 10; 86; 12; 64; 41; 20; 90; 1; 89; 63; 32; 96; 73; 67; 95; 19; 49; 97; 92; 46; 87; 16; 33; 18; 57; 94; 3; 6; 72; 9; 85; 56; 8; 78; 65; 25; 68; 99; 61; 44; 60; 43],[[48; 76; 27]; [2; 69]; [55; 91; 7]; [71; 83; 79; 23]; [11; 39]; [4]; [26]; [21; 77; 62]; [30; 13]; [53; 17; 81]; [24; 42; 84]; [35]; [5; 40]; [34; 14]; [29; 52; 66]; [15; 31]; [70; 47; 36]; [54; 45; 50]; [98; 37; 88; 22]; [51; 28]; [38; 59; 75; 74]; [80; 93; 82; 0]; [58; 10; 86]; [12; 64]; [41; 20; 90]; [1; 89; 63]; [32; 96; 73; 67; 95]; [19; 49; 97; 92]; [46; 87; 16]; [33; 18]; [57; 94; 3]; [6; 72]; [9; 85; 56]; [8; 78; 65]; [25; 68; 99; 61]; [44; 60; 43]],[14300; 13100; 14800; 14500; 14500; 9400; 7200; 14500; 15000; 15000; 14200; 6100; 15000; 14800; 15000; 14900; 14400; 14900; 15000; 11500; 15000; 14400; 14600; 12400; 14600; 15000; 14200; 14700; 14800; 14500; 14900; 12300; 15000; 15000; 15000; 14900],1906,1907,0.09366941452026367
19,36,0.8681456790123456,[39; 84; 21; 3; 45; 19; 86; 55; 74; 79; 20; 18; 85; 91; 58; 62; 4; 89; 57; 1; 8; 36; 13; 26; 23; 2; 37; 12; 73; 16; 71; 15; 56; 25; 33; 64; 51; 10; 99; 66; 83; 52; 47; 30; 88; 96; 34; 78; 24; 49; 98; 17; 31; 5; 67; 42; 68; 61; 80; 40; 6; 90; 35; 76; 44; 53; 72; 28; 41; 93; 32; 77; 87; 54; 11; 22; 60; 81; 38; 9; 94; 63; 0; 7; 46; 70; 50; 27; 95; 82; 14; 69; 43; 75; 48; 92; 29; 65; 59; 97],[[39; 84; 21]; [3; 45]; [19; 86; 55]; [74; 79; 20]; [18; 85; 91; 58]; [62; 4; 89]; [57; 1]; [8]; [36; 13]; [26; 23]; [2]; [37; 12]; [73; 16; 71]; [15; 56]; [25; 33]; [64; 51]; [10; 99; 66; 83]; [52; 47]; [30; 88; 96; 34]; [78; 24; 49; 98]; [17; 31]; [5; 67]; [42; 68; 61; 80]; [40; 6]; [90; 35; 76; 44]; [53; 72; 28]; [41; 93; 32; 77]; [87; 54; 11]; [22; 60; 81]; [38; 9]; [94; 63; 0]; [7; 46]; [70; 50; 27]; [95; 82; 14; 69]; [43; 75; 48; 92]; [29; 65; 59; 97]],[14900; 14900; 14200; 12600; 14800; 14700; 14400; 9200; 14600; 14800; 9700; 14500; 14700; 13200; 13500; 8600; 14300; 10000; 14400; 14900; 14800; 13000; 15000; 14800; 14800; 14500; 15000; 14700; 13700; 14900; 14800; 14400; 15000; 14300; 13800; 15000],1412,1413,0.07808804512023926
35,35,0.9200863492063492,[92; 4; 54; 17; 33; 45; 32; 78; 85; 72; 53; 38; 89; 21; 29; 30; 14; 56; 5; 18; 28; 55; 10; 86; 35; 12; 37; 7; 66; 79; 76; 65; 50; 94; 95; 26; 84; 91; 22; 93; 44; 1; 69; 81; 70; 20; 71; 64; 74; 31; 80; 40; 9; 15; 42; 23; 25; 63; 59; 47; 82; 61; 88; 24; 6; 43; 68; 67; 41; 75; 96; 27; 58; 73; 13; 34; 0; 49; 97; 77; 36; 52; 87; 3; 48; 46; 16; 83; 11; 62; 19; 90; 39; 98; 2; 99; 51; 57; 8; 60],[[92; 4; 54]; [17; 33]; [45; 32; 78; 85]; [72; 53; 38; 89]; [21; 29]; [30; 14]; [56; 5]; [18; 28]; [55; 10; 86]; [35; 12]; [37; 7]; [66; 79; 76; 65]; [50; 94; 95; 26; 84]; [91; 22; 93; 44]; [1; 69; 81]; [70; 20; 71]; [64; 74; 31; 80]; [40; 9]; [15; 42]; [23; 25]; [63; 59; 47; 82]; [61; 88; 24]; [6; 43]; [68; 67; 41; 75]; [96; 27; 58; 73]; [13; 34]; [0; 49]; [97; 77; 36; 52; 87]; [3; 48]; [46; 16]; [83; 11; 62]; [19; 90; 39]; [98; 2; 99; 51]; [57; 8]; [60]],[15000; 14700; 15000; 14800; 14500; 15000; 14000; 14900; 15000; 14800; 15000; 11800; 14900; 14800; 15000; 14600; 14500; 14700; 14000; 14900; 15000; 12800; 14600; 15000; 14700; 14800; 15000; 14800; 14700; 13700; 14600; 14900; 15000; 13700; 4200],2436,2437,0.14058160781860352
46,35,0.9118400000000002,[41; 59; 54; 86; 99; 20; 65; 82; 18; 29; 7; 37; 39; 8; 84; 75; 80; 10; 27; 69; 58; 36; 73; 44; 72; 62; 24; 15; 76; 21; 83; 48; 93; 31; 22; 66; 64; 43; 0; 51; 90; 85; 70; 9; 34; 92; 26; 87; 68; 88; 4; 91; 12; 2; 45; 67; 55; 53; 94; 46; 25; 77; 35; 50; 63; 11; 95; 98; 79; 42; 17; 89; 19; 78; 56; 74; 81; 28; 60; 61; 38; 49; 13; 71; 47; 1; 16; 33; 96; 57; 3; 14; 30; 52; 6; 40; 5; 23; 32; 97],[[41; 59; 54]; [86; 99; 20; 65; 82]; [18; 29]; [7; 37]; [39; 8]; [84; 75; 80; 10]; [27; 69; 58]; [36; 73; 44]; [72; 62; 24]; [15; 76]; [21; 83; 48]; [93; 31; 22]; [66; 64; 43]; [0; 51]; [90; 85; 70; 9]; [34; 92; 26]; [87; 68; 88; 4]; [91; 12]; [2; 45]; [67; 55; 53; 94]; [46; 25; 77]; [35; 50; 63]; [11; 95; 98; 79]; [42; 17; 89]; [19; 78; 56]; [74; 81; 28; 60]; [61; 38; 49]; [13; 71]; [47; 1]; [16; 33]; [96; 57; 3]; [14; 30]; [52; 6]; [40; 5]; [23; 32; 97]],[14600; 14600; 14800; 15000; 14800; 14800; 14500; 14200; 14800; 11000; 14600; 14900; 12700; 14900; 14700; 14300; 15000; 9600; 15000; 13900; 14800; 15000; 12000; 15000; 15000; 15000; 15000; 11900; 15000; 14700; 14800; 15000; 14100; 15000; 14400],3137,3138,0.18831324577331543
36,36,0.8743481481481482,[80; 58; 19; 14; 86; 76; 75; 23; 25; 46; 93; 9; 87; 88; 69; 43; 27; 22; 38; 85; 0; 79; 73; 6; 40; 48; 3; 90; 59; 15; 98; 94; 13; 91; 49; 65; 61; 56; 77; 2; 47; 18; 7; 60; 89; 35; 17; 41; 97; 11; 92; 45; 34; 44; 72; 28; 32; 52; 84; 74; 24; 26; 53; 1; 57; 99; 33; 62; 50; 42; 37; 36; 29; 16; 31; 12; 30; 68; 83; 66; 63; 10; 67; 78; 8; 64; 71; 21; 20; 81; 51; 96; 70; 4; 82; 5; 95; 55; 39; 54],[[80; 58; 19]; [14; 86; 76; 75]; [23; 25]; [46; 93]; [9; 87; 88; 69]; [43; 27]; [22; 38; 85]; [0; 79; 73]; [6; 40]; [48; 3]; [90; 59; 15; 98; 94]; [13; 91; 49]; [65; 61; 56; 77]; [2; 47]; [18]; [7; 60; 89]; [35; 17]; [41; 97; 11]; [92; 45; 34]; [44; 72; 28]; [32; 52; 84; 74]; [24; 26]; [53; 1]; [57; 99; 33; 62]; [50; 42]; [37; 36]; [29; 16]; [31; 12]; [30; 68; 83; 66]; [63; 10]; [67; 78; 8]; [64; 71; 21]; [20; 81; 51]; [96; 70; 4; 82]; [5; 95; 55]; [39; 54]],[14600; 14600; 14900; 6000; 14700; 12200; 14900; 15000; 14800; 14700; 15000; 14500; 14800; 14800; 8300; 14500; 14600; 15000; 12400; 15000; 15000; 14700; 14700; 15000; 10300; 11800; 15000; 15000; 14900; 13100; 14900; 15000; 14600; 15000; 14800; 10300],2456,2457,0.12504959106445312
39,35,0.9105422222222221,[6; 54; 93; 42; 3; 29; 96; 24; 58; 70; 74; 64; 35; 69; 52; 53; 77; 22; 2; 46; 73; 89; 18; 99; 34; 75; 63; 76; 32; 17; 36; 81; 33; 11; 65; 28; 48; 51; 88; 21; 9; 40; 56; 5; 92; 98; 43; 10; 44; 71; 30; 79; 23; 8; 97; 45; 61; 68; 26; 60; 13; 95; 85; 66; 72; 19; 14; 39; 12; 55; 27; 82; 59; 78; 90; 16; 83; 67; 31; 84; 25; 80; 49; 20; 41; 4; 37; 7; 15; 91; 47; 57; 1; 50; 0; 38; 94; 87; 62; 86],[[6; 54; 93]; [42; 3]; [29; 96; 24]; [58; 70; 74; 64]; [35; 69; 52]; [53; 77; 22]; [2; 46]; [73; 89; 18; 99]; [34; 75; 63; 76]; [32; 17]; [36; 81; 33]; [11; 65]; [28; 48]; [51; 88; 21]; [9; 40]; [56; 5; 92]; [98; 43; 10]; [44; 71; 30]; [79; 23]; [8; 97; 45]; [61; 68; 26]; [60; 13; 95; 85]; [66; 72; 19]; [14; 39]; [12; 55]; [27; 82; 59; 78]; [90; 16; 83; 67]; [31; 84; 25]; [80; 49; 20]; [41; 4]; [37; 7]; [15; 91; 47]; [57; 1]; [50; 0]; [38; 94; 87; 62; 86]],[14700; 15000; 14700; 13800; 14400; 14900; 14900; 12400; 15000; 14800; 13900; 12600; 11700; 14000; 14700; 14900; 14800; 15000; 9700; 15000; 14800; 14800; 15000; 14200; 13400; 14800; 14600; 14900; 15000; 15000; 15000; 14600; 14400; 14900; 13100],2685,2686,0.14060282707214355
