Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
49,43,0.8861012919896637,[68; 3; 94; 93; 8; 62; 9; 6; 57; 1; 96; 90; 11; 52; 10; 86; 27; 29; 80; 5; 32; 28; 47; 16; 73; 38; 83; 33; 63; 89; 46; 19; 25; 26; 66; 2; 60; 0; 39; 78; 85; 42; 76; 82; 40; 35; 7; 56; 41; 22; 54; 14; 51; 12; 44; 20; 4; 59; 84; 72; 34; 75; 81; 36; 30; 64; 95; 17; 74; 97; 31; 91; 43; 92; 18; 48; 37; 23; 55; 61; 87; 77; 49; 65; 45; 15; 67; 58; 79; 88; 98; 69; 99; 24; 13; 53; 50; 70; 71; 21],[[68; 3]; [94; 93; 8]; [62; 9]; [6; 57]; [1; 96; 90]; [11; 52]; [10; 86]; [27; 29]; [80; 5]; [32; 28]; [47; 16]; [73; 38; 83]; [33; 63; 89]; [46; 19]; [25; 26]; [66; 2]; [60; 0]; [39; 78; 85]; [42; 76; 82]; [40; 35]; [7; 56]; [41; 22]; [54; 14]; [51; 12]; [44; 20]; [4; 59]; [84; 72; 34]; [75; 81; 36]; [30; 64; 95]; [17; 74; 97]; [31; 91]; [43; 92]; [18; 48]; [37; 23]; [55; 61; 87]; [77; 49; 65]; [45]; [15; 67]; [58; 79; 88; 98]; [69; 99; 24]; [13; 53]; [50; 70; 71]; [21]],[13900; 14400; 14100; 14900; 15000; 14800; 12500; 14900; 13200; 14600; 14900; 14800; 15000; 14900; 15000; 14100; 15000; 14500; 14800; 13700; 14900; 15000; 14600; 14900; 14900; 14600; 14800; 14900; 14500; 15000; 10100; 9600; 14800; 15000; 14000; 15000; 6500; 13200; 14400; 14400; 14700; 14800; 8300],3331,3332,0.18755435943603516
36,44,0.8536313131313132,[95; 87; 11; 6; 60; 34; 42; 19; 47; 46; 17; 20; 32; 78; 84; 65; 55; 69; 74; 31; 85; 62; 80; 48; 51; 8; 56; 7; 57; 44; 21; 58; 1; 29; 86; 97; 38; 33; 73; 81; 25; 90; 75; 92; 15; 91; 9; 71; 77; 4; 13; 54; 53; 10; 30; 43; 79; 82; 39; 2; 59; 37; 26; 36; 23; 5; 76; 66; 35; 68; 16; 28; 96; 61; 83; 94; 99; 45; 49; 12; 52; 18; 50; 3; 67; 88; 27; 72; 98; 63; 24; 14; 89; 41; 22; 64; 93; 40; 70; 0],[[95; 87; 11]; [6; 60]; [34; 42]; [19; 47]; [46; 17]; [20]; [32; 78; 84]; [65; 55; 69]; [74; 31; 85]; [62; 80; 48]; [51]; [8; 56]; [7; 57]; [44; 21]; [58; 1]; [29; 86; 97]; [38; 33]; [73; 81]; [25; 90; 75]; [92; 15; 91]; [9; 71]; [77; 4]; [13; 54]; [53; 10]; [30; 43]; [79; 82; 39]; [2; 59]; [37; 26]; [36; 23]; [5; 76]; [66; 35]; [68; 16]; [28; 96; 61]; [83; 94; 99; 45]; [49]; [12; 52]; [18; 50]; [3; 67]; [88; 27; 72]; [98; 63; 24]; [14; 89]; [41; 22]; [64; 93; 40]; [70; 0]],[14500; 14300; 13700; 14800; 15000; 8300; 15000; 14700; 15000; 15000; 6100; 14900; 14800; 14900; 15000; 13000; 14100; 8000; 14600; 14300; 13400; 13500; 14600; 15000; 14100; 14600; 14700; 14400; 15000; 13600; 11500; 13000; 14800; 14800; 6300; 14700; 14800; 14000; 14800; 14900; 11800; 15000; 14300; 14300],2474,2475,0.1405656337738037
55,43,0.886014470284238,[21; 90; 84; 1; 58; 5; 50; 42; 57; 6; 30; 32; 12; 91; 37; 29; 13; 92; 87; 79; 52; 62; 23; 43; 11; 51; 85; 34; 66; 22; 94; 74; 0; 61; 36; 24; 83; 41; 31; 28; 25; 27; 77; 19; 98; 20; 82; 26; 39; 16; 48; 38; 93; 69; 4; 59; 75; 73; 44; 71; 35; 89; 72; 2; 49; 15; 56; 9; 17; 46; 54; 7; 67; 76; 47; 78; 53; 60; 80; 63; 55; 68; 99; 10; 86; 95; 64; 3; 81; 14; 96; 8; 33; 88; 65; 70; 18; 97; 45; 40],[[21; 90; 84]; [1; 58]; [5]; [50; 42]; [57; 6]; [30; 32]; [12; 91]; [37; 29]; [13; 92; 87]; [79; 52; 62]; [23; 43]; [11; 51]; [85; 34; 66]; [22; 94; 74]; [0; 61]; [36; 24]; [83; 41]; [31; 28]; [25; 27]; [77; 19; 98]; [20; 82]; [26; 39]; [16; 48]; [38; 93; 69]; [4; 59]; [75; 73; 44]; [71; 35; 89]; [72; 2]; [49; 15]; [56; 9]; [17; 46]; [54; 7]; [67; 76; 47]; [78; 53; 60]; [80; 63; 55]; [68; 99]; [10; 86; 95]; [64; 3]; [81; 14; 96]; [8]; [33; 88; 65]; [70; 18; 97]; [45; 40]],[14900; 15000; 9400; 13100; 14900; 14500; 11600; 14300; 14800; 14700; 14900; 15000; 15000; 14900; 15000; 14900; 10500; 14700; 15000; 14700; 12100; 14400; 14900; 13900; 14600; 15000; 14100; 13700; 15000; 14900; 15000; 15000; 15000; 15000; 14400; 6500; 14900; 14300; 15000; 9200; 14900; 15000; 13300],3722,3723,0.18826651573181152
41,44,0.8502232323232325,[67; 3; 16; 59; 89; 23; 92; 66; 87; 42; 99; 83; 11; 75; 91; 90; 60; 61; 0; 5; 64; 45; 17; 47; 43; 93; 51; 31; 52; 69; 63; 36; 37; 7; 56; 19; 27; 25; 71; 41; 85; 53; 21; 32; 35; 58; 6; 13; 73; 79; 94; 28; 8; 74; 2; 62; 97; 65; 24; 14; 96; 82; 22; 88; 77; 1; 10; 30; 26; 44; 20; 80; 48; 72; 15; 49; 4; 57; 38; 39; 86; 78; 40; 95; 12; 81; 9; 55; 54; 18; 46; 76; 70; 98; 50; 29; 33; 84; 34; 68],[[67; 3]; [16; 59]; [89; 23; 92]; [66; 87; 42]; [99; 83; 11]; [75; 91; 90; 60]; [61; 0]; [5; 64]; [45]; [17; 47]; [43; 93]; [51; 31]; [52; 69; 63]; [36; 37]; [7; 56]; [19]; [27; 25]; [71; 41; 85]; [53; 21]; [32; 35]; [58; 6]; [13; 73]; [79; 94; 28]; [8; 74]; [2; 62]; [97; 65; 24]; [14; 96; 82]; [22; 88]; [77; 1]; [10]; [30; 26]; [44; 20]; [80; 48; 72]; [15; 49]; [4; 57]; [38; 39]; [86; 78; 40]; [95; 12; 81]; [9; 55]; [54; 18]; [46; 76; 70]; [98; 50]; [29; 33]; [84; 34; 68]],[14000; 13800; 13900; 14600; 14700; 14900; 15000; 14200; 6500; 14900; 9500; 13400; 15000; 13800; 14900; 8500; 15000; 14500; 14200; 14100; 14600; 13000; 13800; 13400; 14400; 14800; 15000; 11300; 13800; 9100; 14800; 14900; 14300; 15000; 15000; 13800; 14300; 15000; 15000; 14300; 14900; 8400; 14600; 15000],2811,2812,0.15617728233337402
50,43,0.8823927648578811,[24; 55; 20; 77; 0; 60; 16; 99; 69; 41; 71; 84; 62; 14; 40; 22; 25; 28; 3; 98; 86; 48; 42; 29; 27; 51; 19; 47; 59; 1; 61; 72; 82; 43; 45; 21; 88; 95; 4; 83; 87; 49; 58; 65; 64; 5; 66; 79; 75; 34; 56; 13; 12; 54; 23; 37; 11; 78; 8; 93; 92; 7; 89; 97; 44; 17; 80; 57; 6; 81; 2; 33; 30; 10; 53; 36; 39; 31; 67; 90; 94; 76; 96; 70; 18; 46; 73; 85; 32; 50; 15; 63; 52; 74; 35; 38; 68; 26; 91; 9],[[24; 55]; [20; 77]; [0; 60]; [16; 99; 69]; [41; 71; 84]; [62; 14]; [40; 22]; [25; 28]; [3; 98; 86]; [48; 42]; [29; 27]; [51; 19]; [47; 59]; [1; 61]; [72; 82; 43]; [45; 21]; [88; 95; 4]; [83; 87; 49]; [58; 65; 64]; [5; 66]; [79; 75; 34]; [56; 13]; [12; 54]; [23; 37]; [11; 78]; [8; 93; 92]; [7; 89; 97]; [44]; [17; 80]; [57; 6]; [81; 2]; [33; 30]; [10; 53]; [36; 39]; [31; 67; 90]; [94; 76; 96; 70]; [18; 46]; [73; 85; 32]; [50; 15]; [63; 52; 74]; [35; 38]; [68; 26; 91]; [9]],[13800; 12400; 15000; 15000; 14700; 13700; 15000; 14900; 15000; 13100; 14900; 14600; 11500; 14700; 14800; 14800; 14900; 13200; 14700; 14000; 15000; 14500; 14600; 15000; 13000; 14700; 14400; 6600; 12400; 14900; 13300; 14500; 15000; 13800; 14700; 13400; 14900; 14900; 15000; 14900; 13800; 14700; 9200],3341,3342,0.18752741813659668
15,46,0.7874367149758456,[94; 16; 82; 69; 41; 4; 63; 65; 78; 49; 81; 89; 20; 71; 38; 54; 26; 29; 51; 12; 59; 97; 39; 17; 61; 80; 50; 62; 23; 37; 73; 92; 96; 70; 85; 9; 0; 64; 8; 55; 88; 77; 31; 33; 6; 56; 32; 27; 2; 87; 36; 10; 67; 84; 3; 35; 72; 90; 47; 68; 75; 11; 21; 99; 86; 83; 91; 18; 79; 1; 19; 48; 28; 22; 45; 53; 40; 93; 52; 42; 24; 74; 98; 15; 76; 13; 46; 57; 60; 95; 25; 66; 5; 43; 30; 14; 44; 34; 7; 58],[[94; 16; 82]; [69; 41]; [4; 63]; [65; 78; 49]; [81; 89]; [20; 71]; [38; 54]; [26; 29]; [51; 12]; [59; 97; 39]; [17; 61]; [80; 50; 62]; [23; 37]; [73; 92; 96; 70]; [85; 9]; [0; 64]; [8; 55]; [88; 77; 31]; [33]; [6; 56]; [32; 27]; [2; 87]; [36]; [10; 67]; [84; 3]; [35; 72; 90]; [47; 68; 75]; [11]; [21; 99; 86]; [83; 91; 18]; [79; 1]; [19; 48]; [28]; [22; 45]; [53; 40]; [93; 52]; [42; 24]; [74; 98; 15]; [76; 13]; [46; 57]; [60; 95; 25]; [66; 5]; [43; 30]; [14]; [44; 34]; [7; 58]],[14900; 11100; 14200; 15000; 6800; 12500; 12700; 14900; 14900; 14300; 13600; 15000; 15000; 13700; 12700; 14800; 15000; 14500; 7200; 15000; 14700; 12700; 6900; 13600; 13200; 14000; 14900; 8900; 13800; 15000; 13600; 14800; 7400; 14700; 12700; 8600; 14800; 15000; 13000; 12000; 14900; 14000; 14100; 8800; 13500; 14500],1138,1139,0.06258320808410645
31,44,0.8546676767676765,[5; 77; 65; 0; 87; 7; 50; 24; 88; 61; 42; 10; 76; 36; 43; 97; 19; 89; 20; 94; 80; 60; 68; 85; 99; 54; 3; 67; 59; 9; 81; 79; 49; 72; 2; 53; 17; 51; 12; 44; 69; 78; 37; 13; 56; 39; 34; 82; 91; 23; 45; 18; 64; 38; 96; 1; 58; 26; 27; 16; 47; 90; 93; 63; 66; 29; 32; 92; 74; 83; 75; 31; 6; 71; 62; 84; 98; 70; 11; 33; 28; 48; 15; 4; 22; 41; 73; 35; 86; 25; 30; 21; 46; 40; 95; 55; 8; 57; 14; 52],[[5; 77]; [65; 0]; [87; 7]; [50; 24]; [88; 61; 42]; [10; 76]; [36; 43]; [97; 19; 89]; [20; 94; 80]; [60; 68; 85; 99]; [54]; [3; 67]; [59; 9]; [81; 79; 49]; [72; 2]; [53; 17]; [51; 12]; [44; 69; 78]; [37]; [13; 56]; [39; 34]; [82; 91; 23]; [45; 18]; [64; 38; 96]; [1; 58]; [26; 27]; [16; 47]; [90; 93; 63; 66]; [29; 32]; [92; 74; 83; 75]; [31]; [6; 71]; [62; 84; 98; 70]; [11]; [33; 28]; [48; 15]; [4]; [22; 41]; [73; 35; 86]; [25; 30]; [21; 46]; [40; 95; 55]; [8; 57]; [14; 52]],[13500; 14600; 12400; 14300; 14900; 13300; 13700; 13700; 14600; 15000; 5800; 14000; 14400; 14000; 13700; 14500; 14900; 15000; 6900; 14500; 13800; 14700; 15000; 14100; 15000; 15000; 14900; 15000; 14600; 14900; 7300; 13500; 15000; 8900; 14600; 15000; 9400; 15000; 14500; 14800; 14700; 15000; 14800; 14700],2192,2193,0.10929560661315918
52,43,0.8882160206718347,[28; 30; 32; 25; 3; 61; 57; 4; 93; 12; 85; 62; 71; 53; 76; 97; 21; 38; 81; 74; 67; 9; 14; 96; 16; 49; 50; 70; 68; 10; 64; 41; 6; 56; 95; 24; 73; 34; 23; 51; 13; 88; 1; 52; 11; 75; 83; 37; 22; 40; 77; 5; 15; 55; 35; 58; 92; 17; 46; 27; 29; 2; 65; 39; 31; 86; 91; 19; 82; 33; 84; 79; 48; 63; 18; 7; 59; 80; 36; 69; 42; 26; 60; 87; 66; 98; 45; 20; 99; 47; 90; 89; 94; 0; 8; 54; 44; 78; 72; 43],[[28; 30]; [32; 25]; [3; 61]; [57; 4]; [93; 12; 85]; [62; 71; 53]; [76; 97; 21]; [38; 81; 74]; [67; 9]; [14; 96]; [16; 49]; [50; 70; 68]; [10; 64]; [41]; [6; 56]; [95; 24; 73]; [34; 23]; [51; 13]; [88; 1]; [52; 11]; [75; 83; 37]; [22; 40]; [77; 5]; [15; 55]; [35; 58; 92]; [17; 46]; [27; 29]; [2; 65]; [39; 31]; [86; 91; 19]; [82; 33; 84]; [79; 48; 63]; [18]; [7; 59]; [80; 36; 69]; [42; 26]; [60; 87; 66; 98]; [45; 20]; [99; 47; 90; 89]; [94; 0]; [8; 54]; [44; 78; 72]; [43]],[14700; 14700; 14500; 15000; 15000; 15000; 14700; 14900; 13700; 11200; 14900; 15000; 13900; 6800; 15000; 14600; 15000; 14900; 12800; 14800; 14800; 15000; 13500; 14500; 15000; 15000; 14900; 14100; 14200; 14700; 14700; 15000; 8500; 14400; 15000; 14300; 14900; 14800; 14300; 12500; 15000; 14900; 6800],3539,3540,0.1873784065246582
24,44,0.8479545454545456,[71; 84; 38; 47; 91; 52; 8; 58; 13; 51; 66; 19; 83; 20; 50; 16; 90; 92; 12; 7; 62; 34; 81; 70; 6; 87; 94; 36; 37; 85; 78; 60; 99; 1; 77; 31; 3; 75; 15; 54; 56; 61; 88; 95; 46; 14; 5; 30; 25; 2; 64; 9; 93; 0; 98; 96; 44; 23; 22; 42; 68; 57; 63; 97; 89; 17; 79; 74; 39; 29; 28; 43; 82; 76; 86; 69; 49; 21; 48; 40; 26; 53; 10; 32; 72; 41; 80; 27; 33; 67; 65; 55; 73; 11; 24; 35; 59; 4; 18; 45],[[71; 84; 38]; [47; 91; 52]; [8; 58]; [13; 51]; [66; 19]; [83; 20]; [50; 16]; [90; 92; 12]; [7; 62]; [34; 81; 70]; [6; 87; 94]; [36; 37]; [85; 78; 60; 99]; [1; 77]; [31]; [3; 75]; [15; 54]; [56; 61; 88]; [95; 46]; [14]; [5]; [30; 25]; [2; 64]; [9; 93]; [0; 98; 96]; [44; 23]; [22; 42]; [68; 57; 63]; [97; 89; 17]; [79; 74; 39]; [29; 28]; [43; 82; 76]; [86; 69; 49]; [21; 48]; [40; 26]; [53; 10]; [32; 72]; [41; 80]; [27; 33]; [67; 65; 55]; [73; 11]; [24; 35]; [59; 4]; [18; 45]],[14800; 15000; 14500; 14900; 13100; 12000; 14900; 14500; 14100; 15000; 15000; 13800; 14700; 13800; 7300; 13700; 14500; 13800; 8800; 8800; 9400; 14800; 14300; 11900; 14500; 14700; 15000; 14800; 13800; 15000; 14800; 14800; 14000; 14600; 14300; 15000; 11400; 10600; 14700; 14900; 13100; 14900; 14600; 15000],1706,1707,0.10931396484375
40,43,0.8820227390180879,[45; 18; 14; 77; 90; 91; 12; 27; 29; 63; 65; 57; 89; 36; 80; 49; 82; 95; 96; 19; 46; 0; 62; 79; 94; 88; 70; 15; 59; 51; 38; 61; 13; 66; 3; 85; 41; 67; 8; 43; 32; 71; 16; 97; 37; 30; 99; 35; 93; 2; 75; 56; 6; 9; 55; 74; 60; 98; 83; 26; 69; 87; 28; 25; 10; 52; 50; 17; 40; 68; 81; 54; 7; 86; 76; 33; 31; 48; 78; 5; 72; 1; 58; 21; 39; 73; 84; 24; 22; 42; 44; 23; 34; 64; 92; 47; 20; 4; 11; 53],[[45; 18]; [14; 77]; [90; 91; 12]; [27; 29]; [63; 65; 57]; [89; 36; 80]; [49; 82; 95; 96]; [19; 46]; [0; 62]; [79; 94; 88; 70]; [15; 59]; [51; 38]; [61; 13]; [66; 3]; [85; 41; 67]; [8]; [43; 32]; [71; 16; 97]; [37; 30]; [99; 35; 93]; [2; 75]; [56; 6]; [9; 55]; [74; 60; 98; 83]; [26; 69; 87]; [28; 25]; [10; 52]; [50; 17]; [40; 68; 81]; [54; 7]; [86; 76; 33]; [31; 48]; [78; 5]; [72; 1]; [58; 21]; [39; 73; 84]; [24]; [22; 42]; [44; 23]; [34; 64; 92]; [47; 20]; [4]; [11; 53]],[15000; 12900; 14500; 14900; 15000; 13700; 14900; 14900; 14900; 13800; 13900; 13000; 13800; 14100; 14800; 9200; 14000; 15000; 14200; 11700; 13700; 15000; 15000; 15000; 15000; 14900; 15000; 14900; 15000; 15000; 14800; 13600; 13500; 13900; 13600; 14800; 8000; 15000; 14700; 14500; 14600; 9400; 14800],2733,2734,0.14833807945251465
