Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
24,15,0.8879914666666664,[23; 4; 40; 64; 79; 90; 15; 78; 36; 66; 3; 51; 75; 1; 70; 92; 39; 30; 35; 48; 53; 69; 6; 16; 65; 41; 52; 74; 24; 54; 59; 46; 22; 60; 11; 58; 43; 45; 68; 38; 97; 18; 62; 91; 33; 2; 9; 72; 85; 21; 13; 47; 73; 56; 86; 25; 5; 95; 49; 28; 89; 29; 8; 19; 99; 71; 10; 20; 44; 81; 26; 37; 50; 63; 32; 84; 55; 76; 80; 27; 57; 7; 42; 88; 0; 61; 83; 34; 77; 14; 17; 67; 31; 96; 12; 98; 93; 82; 94; 87],[[23; 4; 40; 64; 79; 90; 15]; [78; 36; 66; 3; 51; 75]; [1; 70; 92; 39; 30; 35; 48]; [53; 69; 6; 16; 65; 41]; [52; 74; 24; 54; 59; 46; 22]; [60; 11; 58; 43; 45; 68; 38]; [97; 18; 62; 91; 33; 2]; [9; 72; 85; 21; 13; 47; 73]; [56; 86; 25; 5; 95; 49; 28]; [89; 29; 8; 19; 99; 71; 10]; [20; 44; 81; 26; 37; 50; 63]; [32; 84; 55; 76; 80; 27; 57]; [7; 42; 88; 0; 61; 83; 34]; [77; 14; 17; 67; 31; 96; 12]; [98; 93; 82; 94; 87]],[99900; 83500; 99900; 86900; 99400; 99800; 84100; 99700; 98200; 99800; 99800; 94300; 99800; 100000; 58700],1711,1712,0.07855892181396484
16,15,0.88099,[30; 34; 57; 67; 38; 66; 25; 3; 36; 74; 46; 54; 76; 10; 4; 51; 75; 20; 92; 60; 84; 7; 40; 93; 5; 33; 82; 35; 42; 61; 22; 50; 24; 18; 37; 72; 94; 64; 11; 32; 6; 85; 39; 88; 45; 99; 43; 44; 62; 12; 91; 73; 68; 9; 23; 96; 65; 2; 1; 59; 28; 16; 86; 41; 80; 98; 89; 87; 26; 77; 90; 78; 63; 52; 97; 14; 17; 19; 49; 71; 69; 53; 13; 21; 70; 81; 0; 55; 95; 27; 83; 47; 8; 15; 58; 48; 31; 29; 56; 79],[[30; 34; 57; 67; 38; 66]; [25; 3; 36; 74; 46; 54; 76]; [10; 4; 51; 75; 20; 92]; [60; 84; 7; 40; 93; 5; 33]; [82; 35; 42; 61; 22; 50]; [24; 18; 37; 72; 94; 64]; [11; 32; 6; 85; 39; 88]; [45; 99; 43; 44; 62; 12; 91]; [73; 68; 9; 23; 96; 65; 2]; [1; 59; 28; 16; 86; 41; 80]; [98; 89; 87; 26; 77; 90; 78; 63]; [52; 97; 14; 17; 19; 49; 71]; [69; 53; 13; 21; 70; 81]; [0; 55; 95; 27; 83; 47; 8]; [15; 58; 48; 31; 29; 56; 79]],[84700; 100000; 86800; 99600; 84700; 83700; 86400; 95700; 98900; 100000; 100000; 100000; 83400; 100000; 99900],1208,1209,0.04680323600769043
19,15,0.9094362666666668,[94; 6; 2; 66; 78; 27; 43; 5; 9; 22; 35; 97; 93; 63; 23; 36; 39; 74; 85; 59; 83; 75; 50; 51; 47; 1; 84; 8; 10; 87; 80; 0; 61; 40; 37; 12; 71; 73; 38; 7; 26; 91; 54; 64; 72; 79; 89; 60; 99; 52; 16; 18; 57; 68; 32; 86; 21; 96; 29; 82; 14; 48; 28; 24; 33; 76; 69; 11; 13; 95; 3; 88; 46; 53; 41; 56; 31; 20; 65; 62; 30; 77; 19; 58; 34; 4; 25; 44; 92; 67; 45; 70; 15; 81; 55; 49; 17; 90; 98; 42],[[94; 6; 2; 66; 78; 27; 43]; [5; 9; 22; 35; 97; 93; 63]; [23; 36; 39; 74; 85; 59; 83]; [75; 50; 51; 47; 1; 84; 8]; [10; 87; 80; 0; 61; 40; 37]; [12; 71; 73; 38; 7; 26; 91]; [54; 64; 72; 79; 89; 60; 99]; [52; 16; 18; 57; 68; 32; 86]; [21; 96; 29; 82; 14; 48; 28]; [24; 33; 76; 69; 11; 13; 95]; [3; 88; 46; 53; 41; 56; 31]; [20; 65; 62; 30; 77; 19; 58]; [34; 4; 25; 44; 92; 67; 45]; [70; 15; 81; 55; 49; 17; 90]; [98; 42]],[99700; 100000; 95300; 100000; 100000; 99800; 88700; 99500; 99800; 99700; 99900; 99200; 100000; 96300; 25900],1410,1411,0.06245064735412598
35,15,0.8933275999999999,[56; 29; 14; 94; 27; 65; 33; 53; 70; 87; 16; 42; 2; 58; 85; 66; 79; 62; 88; 19; 67; 39; 17; 54; 57; 99; 45; 12; 24; 9; 20; 77; 80; 93; 78; 49; 8; 40; 36; 52; 55; 63; 74; 43; 31; 37; 48; 18; 73; 71; 26; 92; 32; 4; 35; 0; 97; 96; 21; 51; 30; 81; 98; 25; 28; 23; 5; 61; 64; 34; 44; 15; 82; 72; 3; 83; 91; 22; 38; 13; 69; 6; 11; 68; 89; 41; 47; 1; 59; 86; 95; 10; 7; 60; 50; 46; 76; 90; 75; 84],[[56; 29; 14; 94; 27; 65; 33]; [53; 70; 87; 16; 42; 2; 58]; [85; 66; 79; 62; 88; 19; 67]; [39; 17; 54; 57; 99; 45]; [12; 24; 9; 20; 77; 80; 93]; [78; 49; 8; 40; 36; 52; 55]; [63; 74; 43; 31; 37; 48]; [18; 73; 71; 26; 92; 32; 4]; [35; 0; 97; 96; 21; 51; 30]; [81; 98; 25; 28; 23; 5; 61]; [64; 34; 44; 15; 82; 72; 3]; [83; 91; 22; 38; 13; 69; 6]; [11; 68; 89; 41; 47; 1; 59]; [86; 95; 10; 7; 60; 50; 46]; [76; 90; 75; 84]],[100000; 99100; 91100; 84100; 100000; 100000; 84200; 99700; 99600; 99900; 100000; 99600; 100000; 98000; 48500],2420,2421,0.10936617851257324
33,15,0.9020602666666666,[62; 77; 93; 88; 69; 50; 70; 98; 40; 90; 47; 2; 29; 84; 27; 31; 22; 89; 32; 14; 57; 71; 0; 49; 33; 99; 46; 1; 96; 34; 67; 48; 24; 81; 3; 56; 76; 73; 12; 66; 60; 21; 7; 9; 59; 35; 58; 82; 68; 5; 6; 43; 64; 78; 10; 44; 42; 72; 20; 86; 63; 8; 94; 53; 37; 13; 15; 85; 54; 61; 36; 28; 25; 41; 65; 74; 39; 91; 18; 52; 97; 11; 19; 30; 26; 51; 75; 4; 45; 80; 38; 17; 16; 23; 55; 79; 95; 92; 87; 83],[[62; 77; 93; 88; 69; 50; 70; 98]; [40; 90; 47; 2; 29; 84; 27]; [31; 22; 89; 32; 14; 57; 71]; [0; 49; 33; 99; 46; 1; 96]; [34; 67; 48; 24; 81; 3; 56]; [76; 73; 12; 66; 60; 21; 7]; [9; 59; 35; 58; 82; 68]; [5; 6; 43; 64; 78; 10]; [44; 42; 72; 20; 86; 63; 8]; [94; 53; 37; 13; 15; 85; 54]; [61; 36; 28; 25; 41; 65; 74]; [39; 91; 18; 52; 97; 11; 19]; [30; 26; 51; 75; 4; 45; 80]; [38; 17; 16; 23; 55; 79; 95]; [92; 87; 83]],[100000; 99600; 100000; 99800; 99900; 99800; 83600; 89300; 98900; 98200; 99200; 100000; 100000; 100000; 35500],2296,2297,0.10931015014648438
22,15,0.8934268,[2; 59; 30; 55; 32; 79; 21; 27; 72; 24; 63; 25; 87; 75; 6; 53; 50; 80; 14; 22; 16; 29; 89; 71; 5; 88; 19; 34; 90; 35; 17; 82; 15; 66; 0; 37; 40; 78; 84; 54; 41; 68; 20; 69; 26; 38; 31; 47; 70; 46; 28; 83; 12; 94; 49; 8; 64; 4; 76; 18; 62; 96; 98; 39; 65; 95; 91; 74; 58; 51; 36; 48; 33; 73; 23; 93; 61; 81; 9; 13; 60; 1; 85; 7; 42; 43; 44; 10; 86; 11; 56; 45; 3; 57; 67; 77; 97; 92; 52; 99],[[2; 59; 30; 55; 32; 79]; [21; 27; 72; 24; 63; 25; 87]; [75; 6; 53; 50; 80; 14]; [22; 16; 29; 89; 71; 5; 88]; [19; 34; 90; 35; 17; 82]; [15; 66; 0; 37; 40; 78; 84]; [54; 41; 68; 20; 69; 26; 38]; [31; 47; 70; 46; 28; 83; 12]; [94; 49; 8; 64; 4; 76; 18]; [62; 96; 98; 39; 65; 95; 91; 74]; [58; 51; 36; 48; 33; 73; 23]; [93; 61; 81; 9; 13; 60; 1]; [85; 7; 42; 43; 44; 10; 86]; [11; 56; 45; 3; 57; 67; 77]; [97; 92; 52; 99]],[86400; 99800; 85100; 99600; 85700; 99500; 100000; 99800; 99900; 99900; 100000; 99800; 99800; 99900; 48600],1616,1617,0.07836508750915527
38,15,0.8926139999999999,[10; 13; 54; 99; 53; 73; 20; 28; 86; 55; 6; 82; 39; 95; 4; 24; 11; 56; 90; 45; 2; 89; 40; 27; 88; 50; 14; 92; 93; 35; 91; 78; 87; 98; 38; 51; 37; 66; 58; 52; 34; 7; 71; 43; 0; 84; 25; 80; 63; 72; 47; 5; 12; 48; 15; 16; 46; 70; 67; 68; 29; 32; 81; 31; 21; 83; 33; 59; 44; 8; 57; 74; 49; 26; 61; 23; 97; 9; 60; 19; 42; 69; 75; 65; 1; 18; 62; 17; 76; 3; 22; 41; 30; 79; 77; 64; 85; 36; 94; 96],[[10; 13; 54; 99; 53; 73]; [20; 28; 86; 55; 6; 82; 39]; [95; 4; 24; 11; 56; 90; 45]; [2; 89; 40; 27; 88; 50; 14]; [92; 93; 35; 91; 78; 87; 98]; [38; 51; 37; 66; 58; 52; 34]; [7; 71; 43; 0; 84; 25; 80]; [63; 72; 47; 5; 12; 48]; [15; 16; 46; 70; 67; 68; 29]; [32; 81; 31; 21; 83; 33; 59]; [44; 8; 57; 74; 49; 26; 61]; [23; 97; 9; 60; 19; 42; 69]; [75; 65; 1; 18; 62; 17; 76]; [3; 22; 41; 30; 79; 77; 64]; [85; 36; 94; 96]],[84400; 100000; 99600; 99900; 85600; 99400; 99900; 87000; 100000; 98700; 99700; 100000; 99900; 99800; 49900],2625,2626,0.1092987060546875
24,15,0.8883332,[11; 27; 66; 6; 69; 65; 72; 23; 17; 95; 12; 99; 57; 30; 79; 16; 40; 33; 59; 90; 51; 96; 4; 71; 39; 37; 64; 10; 80; 70; 29; 18; 75; 32; 5; 46; 83; 28; 13; 87; 44; 78; 21; 19; 55; 88; 1; 9; 45; 68; 97; 26; 67; 84; 82; 35; 61; 52; 15; 38; 2; 56; 47; 62; 43; 22; 85; 31; 48; 81; 14; 60; 25; 53; 42; 7; 73; 54; 34; 76; 50; 20; 74; 0; 36; 24; 91; 77; 41; 58; 3; 63; 8; 49; 98; 86; 92; 93; 94; 89],[[11; 27; 66; 6; 69; 65; 72]; [23; 17; 95; 12; 99; 57; 30]; [79; 16; 40; 33; 59; 90; 51]; [96; 4; 71; 39; 37; 64; 10]; [80; 70; 29; 18; 75; 32]; [5; 46; 83; 28; 13; 87]; [44; 78; 21; 19; 55; 88]; [1; 9; 45; 68; 97; 26; 67]; [84; 82; 35; 61; 52; 15; 38]; [2; 56; 47; 62; 43; 22; 85]; [31; 48; 81; 14; 60; 25; 53]; [42; 7; 73; 54; 34; 76; 50]; [20; 74; 0; 36; 24; 91; 77]; [41; 58; 3; 63; 8; 49; 98]; [86; 92; 93; 94; 89]],[100000; 99800; 97100; 99900; 83600; 86000; 83600; 100000; 97400; 99900; 100000; 98700; 99500; 100000; 58300],1723,1724,0.07799768447875977
14,15,0.8929235999999999,[35; 39; 11; 48; 73; 52; 63; 28; 23; 89; 82; 3; 29; 65; 22; 20; 80; 2; 75; 64; 54; 4; 47; 37; 5; 88; 68; 67; 36; 95; 76; 62; 24; 92; 66; 99; 57; 15; 31; 49; 78; 46; 32; 17; 55; 44; 93; 69; 9; 33; 71; 91; 51; 59; 10; 0; 61; 98; 40; 70; 45; 18; 90; 81; 34; 58; 26; 14; 8; 27; 96; 84; 13; 60; 30; 85; 19; 72; 42; 56; 38; 1; 6; 86; 83; 12; 7; 77; 41; 25; 21; 43; 53; 16; 74; 87; 97; 94; 79; 50],[[35; 39; 11; 48; 73; 52; 63]; [28; 23; 89; 82; 3; 29; 65]; [22; 20; 80; 2; 75; 64; 54]; [4; 47; 37; 5; 88; 68; 67]; [36; 95; 76; 62; 24; 92; 66]; [99; 57; 15; 31; 49; 78; 46]; [32; 17; 55; 44; 93; 69; 9]; [33; 71; 91; 51; 59; 10]; [0; 61; 98; 40; 70; 45; 18]; [90; 81; 34; 58; 26; 14]; [8; 27; 96; 84; 13; 60; 30]; [85; 19; 72; 42; 56; 38; 1]; [6; 86; 83; 12; 7; 77; 41]; [25; 21; 43; 53; 16; 74; 87]; [97; 94; 79; 50]],[100000; 99800; 99900; 99800; 92300; 96900; 99900; 83400; 99000; 83800; 100000; 100000; 99900; 99800; 49300],1067,1068,0.04680967330932617
34,15,0.8925999999999998,[84; 45; 72; 98; 96; 7; 8; 25; 99; 5; 4; 26; 20; 13; 75; 51; 16; 62; 57; 30; 10; 80; 91; 0; 88; 11; 61; 2; 46; 67; 54; 81; 22; 9; 59; 39; 94; 1; 97; 37; 38; 55; 65; 36; 53; 41; 95; 77; 66; 63; 70; 87; 82; 68; 44; 52; 32; 33; 93; 31; 40; 69; 15; 48; 49; 14; 24; 89; 71; 60; 6; 50; 74; 23; 35; 12; 83; 73; 56; 34; 47; 17; 27; 18; 3; 43; 79; 78; 64; 28; 90; 21; 29; 19; 86; 42; 76; 92; 58; 85],[[84; 45; 72; 98; 96; 7; 8]; [25; 99; 5; 4; 26; 20]; [13; 75; 51; 16; 62; 57]; [30; 10; 80; 91; 0; 88]; [11; 61; 2; 46; 67; 54; 81]; [22; 9; 59; 39; 94; 1; 97]; [37; 38; 55; 65; 36; 53; 41]; [95; 77; 66; 63; 70; 87; 82; 68]; [44; 52; 32; 33; 93; 31; 40]; [69; 15; 48; 49; 14; 24; 89]; [71; 60; 6; 50; 74; 23; 35]; [12; 83; 73; 56; 34; 47; 17]; [27; 18; 3; 43; 79; 78; 64]; [28; 90; 21; 29; 19; 86; 42]; [76; 92; 58; 85]],[95000; 91000; 85600; 84000; 99700; 100000; 100000; 99900; 99700; 100000; 99800; 99800; 100000; 99900; 49400],2378,2379,0.11411190032958984
