Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
24,12,0.9009033333333334,[88; 65; 35; 26; 96; 20; 17; 78; 66; 37; 0; 53; 5; 12; 31; 32; 6; 80; 83; 89; 67; 60; 36; 71; 15; 4; 23; 44; 52; 10; 3; 9; 7; 63; 76; 8; 85; 93; 95; 29; 33; 1; 55; 84; 13; 2; 64; 28; 39; 22; 77; 34; 87; 38; 41; 90; 49; 50; 56; 45; 21; 70; 72; 97; 18; 27; 68; 69; 75; 62; 42; 91; 14; 58; 57; 30; 79; 25; 61; 11; 59; 16; 19; 43; 40; 48; 47; 51; 24; 46; 81; 74; 54; 82; 99; 94; 86; 98; 92; 73],[[88; 65; 35; 26; 96; 20; 17; 78; 66]; [37; 0; 53; 5; 12; 31; 32; 6]; [80; 83; 89; 67; 60; 36; 71; 15]; [4; 23; 44; 52; 10; 3; 9; 7]; [63; 76; 8; 85; 93; 95; 29; 33; 1]; [55; 84; 13; 2; 64; 28; 39; 22]; [77; 34; 87; 38; 41; 90; 49; 50; 56]; [45; 21; 70; 72; 97; 18; 27; 68; 69]; [75; 62; 42; 91; 14; 58; 57; 30; 79]; [25; 61; 11; 59; 16; 19; 43; 40]; [48; 47; 51; 24; 46; 81; 74; 54; 82]; [99; 94; 86; 98; 92; 73]],[99800; 98800; 87100; 99600; 99800; 93900; 99300; 99900; 99700; 95300; 99900; 57100],1711,1712,0.07796597480773926
21,12,0.8958661666666666,[12; 16; 27; 21; 1; 30; 4; 34; 37; 58; 33; 20; 55; 56; 94; 74; 2; 3; 46; 25; 5; 14; 13; 49; 57; 72; 69; 28; 71; 19; 70; 45; 85; 22; 82; 26; 35; 50; 88; 86; 60; 43; 11; 17; 52; 0; 24; 6; 8; 18; 89; 78; 64; 48; 23; 63; 41; 84; 59; 31; 77; 76; 51; 65; 67; 62; 15; 42; 83; 10; 80; 99; 7; 90; 66; 61; 68; 29; 39; 38; 53; 73; 92; 40; 44; 9; 54; 75; 36; 32; 96; 47; 97; 98; 91; 95; 81; 79; 87; 93],[[12; 16; 27; 21; 1; 30; 4; 34]; [37; 58; 33; 20; 55; 56; 94; 74]; [2; 3; 46; 25; 5; 14; 13; 49]; [57; 72; 69; 28; 71; 19; 70; 45; 85]; [22; 82; 26; 35; 50; 88; 86; 60; 43]; [11; 17; 52; 0; 24; 6; 8]; [18; 89; 78; 64; 48; 23; 63; 41; 84]; [59; 31; 77; 76; 51; 65; 67; 62]; [15; 42; 83; 10; 80; 99; 7; 90; 66]; [61; 68; 29; 39; 38; 53; 73; 92; 40]; [44; 9; 54; 75; 36; 32; 96; 47; 97]; [98; 91; 95; 81; 79; 87; 93]],[99700; 89300; 99300; 99400; 100000; 87600; 99600; 87700; 100000; 100000; 99900; 67700],1557,1558,0.0623624324798584
23,12,0.8947425,[66; 53; 58; 19; 85; 54; 47; 27; 55; 0; 71; 80; 77; 91; 68; 33; 12; 63; 70; 78; 23; 57; 92; 48; 45; 79; 20; 67; 81; 97; 41; 49; 61; 2; 26; 36; 31; 62; 3; 30; 18; 39; 38; 43; 22; 6; 15; 1; 8; 10; 35; 40; 44; 7; 11; 13; 4; 14; 88; 34; 50; 74; 29; 84; 32; 90; 98; 37; 51; 17; 52; 64; 82; 83; 5; 96; 42; 93; 16; 24; 65; 73; 46; 25; 28; 75; 87; 94; 56; 69; 59; 9; 21; 89; 99; 86; 72; 76; 60; 95],[[66; 53; 58; 19; 85; 54; 47; 27]; [55; 0; 71; 80; 77; 91; 68; 33]; [12; 63; 70; 78; 23; 57; 92; 48; 45]; [79; 20; 67; 81; 97; 41; 49; 61; 2]; [26; 36; 31; 62; 3; 30; 18; 39]; [38; 43; 22; 6; 15; 1; 8]; [10; 35; 40; 44; 7; 11; 13; 4]; [14; 88; 34; 50; 74; 29; 84; 32; 90]; [98; 37; 51; 17; 52; 64; 82; 83; 5]; [96; 42; 93; 16; 24; 65; 73; 46; 25]; [28; 75; 87; 94; 56; 69; 59; 9; 21]; [89; 99; 86; 72; 76; 60; 95]],[90300; 87700; 100000; 100000; 96000; 87300; 99400; 99900; 100000; 99900; 99800; 69900],1646,1647,0.07811093330383301
22,12,0.8982996666666666,[97; 39; 82; 37; 46; 36; 28; 65; 34; 24; 50; 14; 35; 30; 22; 7; 53; 86; 9; 95; 93; 49; 27; 31; 19; 64; 80; 32; 77; 75; 59; 41; 63; 43; 33; 0; 8; 25; 3; 21; 20; 66; 91; 54; 61; 23; 40; 38; 60; 70; 18; 1; 72; 29; 17; 85; 2; 57; 48; 71; 88; 45; 81; 5; 56; 58; 52; 47; 79; 44; 67; 83; 12; 26; 62; 84; 78; 74; 42; 6; 15; 99; 69; 92; 4; 13; 96; 98; 11; 10; 87; 55; 16; 90; 51; 68; 89; 94; 73; 76],[[97; 39; 82; 37; 46; 36; 28; 65]; [34; 24; 50; 14; 35; 30; 22; 7]; [53; 86; 9; 95; 93; 49; 27; 31]; [19; 64; 80; 32; 77; 75; 59; 41; 63]; [43; 33; 0; 8; 25; 3; 21; 20]; [66; 91; 54; 61; 23; 40; 38; 60; 70]; [18; 1; 72; 29; 17; 85; 2; 57]; [48; 71; 88; 45; 81; 5; 56; 58; 52]; [47; 79; 44; 67; 83; 12; 26; 62; 84]; [78; 74; 42; 6; 15; 99; 69; 92; 4]; [13; 96; 98; 11; 10; 87; 55; 16; 90]; [51; 68; 89; 94; 73; 76]],[89100; 97200; 88100; 100000; 99400; 99900; 94700; 100000; 100000; 100000; 100000; 61800],1589,1590,0.07811498641967773
42,12,0.9072123333333334,[3; 24; 47; 0; 30; 11; 22; 8; 60; 89; 2; 73; 82; 12; 48; 75; 64; 17; 37; 86; 53; 84; 61; 70; 44; 54; 13; 19; 20; 27; 18; 67; 46; 21; 78; 62; 59; 65; 31; 36; 23; 90; 39; 41; 92; 16; 58; 77; 69; 34; 76; 98; 43; 80; 88; 55; 9; 38; 50; 32; 51; 29; 42; 81; 33; 97; 68; 57; 26; 49; 96; 66; 79; 4; 45; 72; 28; 56; 63; 52; 85; 71; 74; 6; 25; 99; 15; 10; 14; 5; 1; 7; 35; 40; 94; 87; 95; 93; 83; 91],[[3; 24; 47; 0; 30; 11; 22; 8]; [60; 89; 2; 73; 82; 12; 48; 75; 64]; [17; 37; 86; 53; 84; 61; 70; 44; 54]; [13; 19; 20; 27; 18; 67; 46; 21]; [78; 62; 59; 65; 31; 36; 23; 90]; [39; 41; 92; 16; 58; 77; 69; 34; 76]; [98; 43; 80; 88; 55; 9; 38; 50; 32]; [51; 29; 42; 81; 33; 97; 68; 57; 26]; [49; 96; 66; 79; 4; 45; 72; 28; 56]; [63; 52; 85; 71; 74; 6; 25; 99; 15]; [10; 14; 5; 1; 7; 35; 40; 94]; [87; 95; 93; 83; 91]],[99800; 99700; 99900; 96800; 88800; 99900; 100000; 100000; 100000; 99600; 97500; 48200],2878,2879,0.12487530708312988
29,12,0.9068299999999999,[78; 24; 71; 93; 23; 60; 72; 59; 18; 9; 17; 34; 36; 13; 7; 27; 0; 6; 61; 20; 32; 88; 14; 80; 11; 38; 8; 4; 2; 56; 19; 12; 10; 26; 86; 44; 70; 74; 49; 65; 75; 28; 43; 66; 15; 40; 58; 83; 76; 54; 84; 37; 42; 64; 55; 69; 50; 81; 47; 31; 21; 97; 87; 79; 33; 25; 68; 41; 16; 57; 77; 62; 63; 51; 67; 98; 5; 22; 1; 30; 92; 48; 35; 99; 90; 53; 73; 39; 52; 45; 29; 3; 46; 94; 95; 82; 96; 89; 85; 91],[[78; 24; 71; 93; 23; 60; 72; 59; 18]; [9; 17; 34; 36; 13; 7; 27; 0]; [6; 61; 20; 32; 88; 14; 80; 11]; [38; 8; 4; 2; 56; 19; 12; 10]; [26; 86; 44; 70; 74; 49; 65; 75; 28]; [43; 66; 15; 40; 58; 83; 76; 54; 84]; [37; 42; 64; 55; 69; 50; 81; 47]; [31; 21; 97; 87; 79; 33; 25; 68; 41]; [16; 57; 77; 62; 63; 51; 67; 98; 5]; [22; 1; 30; 92; 48; 35; 99; 90; 53]; [73; 39; 52; 45; 29; 3; 46; 94; 95]; [82; 96; 89; 85; 91]],[99800; 99900; 93800; 99900; 99100; 99800; 89100; 100000; 100000; 100000; 100000; 48800],2070,2071,0.09412312507629395
30,12,0.9002653333333334,[71; 13; 96; 73; 63; 59; 44; 39; 7; 18; 22; 0; 32; 1; 6; 58; 70; 15; 38; 5; 12; 3; 21; 10; 47; 46; 69; 24; 99; 79; 62; 27; 36; 53; 78; 64; 93; 28; 42; 61; 57; 11; 72; 26; 56; 66; 67; 74; 90; 40; 2; 4; 29; 50; 41; 23; 45; 20; 33; 75; 43; 31; 51; 37; 84; 48; 92; 77; 97; 86; 68; 65; 14; 19; 25; 35; 16; 95; 60; 52; 80; 55; 9; 81; 54; 76; 89; 17; 34; 98; 30; 87; 49; 8; 83; 82; 85; 91; 94; 88],[[71; 13; 96; 73; 63; 59; 44; 39]; [7; 18; 22; 0; 32; 1; 6; 58]; [70; 15; 38; 5; 12; 3; 21; 10]; [47; 46; 69; 24; 99; 79; 62; 27; 36]; [53; 78; 64; 93; 28; 42; 61; 57]; [11; 72; 26; 56; 66; 67; 74; 90; 40]; [2; 4; 29; 50; 41; 23; 45; 20]; [33; 75; 43; 31; 51; 37; 84; 48; 92]; [77; 97; 86; 68; 65; 14; 19; 25; 35]; [16; 95; 60; 52; 80; 55; 9; 81; 54]; [76; 89; 17; 34; 98; 30; 87; 49; 8]; [83; 82; 85; 91; 94; 88]],[88300; 100000; 99000; 99800; 87500; 99900; 97100; 99900; 100000; 99900; 99900; 58900],2119,2120,0.07854223251342773
36,12,0.8995189999999998,[19; 24; 0; 9; 4; 21; 46; 22; 69; 1; 87; 75; 66; 55; 52; 41; 59; 95; 30; 56; 48; 50; 12; 96; 40; 47; 98; 29; 77; 84; 16; 76; 25; 34; 62; 83; 81; 80; 10; 36; 39; 74; 13; 90; 73; 14; 43; 31; 18; 20; 58; 61; 57; 97; 67; 17; 26; 93; 8; 11; 28; 32; 2; 5; 27; 23; 7; 88; 54; 6; 72; 53; 82; 60; 35; 51; 44; 38; 42; 63; 37; 33; 99; 78; 64; 3; 65; 45; 70; 15; 49; 68; 91; 92; 86; 85; 94; 89; 71; 79],[[19; 24; 0; 9; 4; 21; 46; 22]; [69; 1; 87; 75; 66; 55; 52; 41; 59]; [95; 30; 56; 48; 50; 12; 96; 40]; [47; 98; 29; 77; 84; 16; 76; 25; 34]; [62; 83; 81; 80; 10; 36; 39; 74]; [13; 90; 73; 14; 43; 31; 18; 20]; [58; 61; 57; 97; 67; 17; 26; 93; 8]; [11; 28; 32; 2; 5; 27; 23; 7]; [88; 54; 6; 72; 53; 82; 60; 35; 51]; [44; 38; 42; 63; 37; 33; 99; 78; 64]; [3; 65; 45; 70; 15; 49; 68; 91; 92]; [86; 85; 94; 89; 71; 79]],[100000; 100000; 89000; 100000; 88300; 94000; 100000; 99800; 100000; 99700; 99500; 59900],2505,2506,0.11686849594116211
34,12,0.9010678333333333,[78; 69; 62; 93; 32; 0; 60; 85; 16; 47; 46; 64; 20; 74; 61; 10; 53; 66; 38; 49; 29; 51; 92; 43; 37; 96; 22; 90; 91; 59; 82; 50; 56; 26; 15; 63; 84; 42; 41; 54; 23; 52; 83; 13; 11; 33; 4; 14; 45; 18; 3; 98; 89; 12; 81; 6; 86; 7; 73; 27; 58; 72; 67; 57; 65; 24; 70; 5; 87; 25; 39; 1; 36; 44; 35; 75; 55; 21; 31; 80; 76; 68; 48; 71; 34; 77; 17; 40; 8; 19; 28; 2; 9; 30; 95; 94; 88; 97; 79; 99],[[78; 69; 62; 93; 32; 0; 60; 85; 16]; [47; 46; 64; 20; 74; 61; 10; 53]; [66; 38; 49; 29; 51; 92; 43; 37; 96]; [22; 90; 91; 59; 82; 50; 56; 26; 15]; [63; 84; 42; 41; 54; 23; 52; 83]; [13; 11; 33; 4; 14; 45; 18; 3]; [98; 89; 12; 81; 6; 86; 7; 73; 27]; [58; 72; 67; 57; 65; 24; 70; 5; 87]; [25; 39; 1; 36; 44; 35; 75; 55]; [21; 31; 80; 76; 68; 48; 71; 34; 77]; [17; 40; 8; 19; 28; 2; 9; 30]; [95; 94; 88; 97; 79; 99]],[100000; 91600; 99400; 100000; 89000; 100000; 99900; 100000; 93800; 100000; 99600; 56900],2380,2381,0.11428523063659668
34,12,0.900502,[10; 47; 22; 26; 42; 98; 56; 80; 99; 45; 71; 64; 43; 14; 53; 6; 84; 75; 54; 39; 85; 55; 48; 32; 49; 70; 50; 69; 93; 40; 67; 86; 9; 66; 15; 21; 13; 46; 17; 3; 24; 44; 18; 4; 1; 8; 2; 5; 79; 28; 81; 34; 11; 60; 25; 59; 88; 94; 29; 31; 58; 33; 68; 87; 23; 52; 83; 61; 37; 89; 51; 76; 35; 63; 77; 0; 74; 82; 16; 57; 7; 97; 72; 78; 73; 12; 19; 41; 36; 62; 30; 20; 27; 38; 96; 92; 90; 65; 91; 95],[[10; 47; 22; 26; 42; 98; 56; 80; 99]; [45; 71; 64; 43; 14; 53; 6; 84]; [75; 54; 39; 85; 55; 48; 32; 49; 70]; [50; 69; 93; 40; 67; 86; 9; 66]; [15; 21; 13; 46; 17; 3; 24; 44]; [18; 4; 1; 8; 2; 5; 79; 28]; [81; 34; 11; 60; 25; 59; 88; 94; 29]; [31; 58; 33; 68; 87; 23; 52; 83; 61]; [37; 89; 51; 76; 35; 63; 77; 0; 74]; [82; 16; 57; 7; 97; 72; 78; 73; 12]; [19; 41; 36; 62; 30; 20; 27; 38]; [96; 92; 90; 65; 91; 95]],[99900; 91400; 100000; 87500; 98600; 99800; 100000; 100000; 100000; 99900; 95100; 58000],2342,2343,0.11040830612182617
