Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
20,11,0.9380610909090908,[19; 7; 77; 99; 30; 58; 35; 78; 29; 15; 71; 68; 62; 8; 0; 60; 98; 82; 16; 51; 37; 22; 61; 79; 12; 45; 6; 85; 13; 89; 46; 27; 49; 10; 81; 66; 57; 5; 95; 43; 48; 91; 53; 96; 47; 36; 59; 80; 31; 97; 24; 72; 40; 28; 25; 65; 34; 18; 11; 69; 94; 21; 3; 84; 74; 39; 1; 9; 93; 41; 55; 26; 87; 67; 63; 64; 90; 33; 44; 56; 38; 32; 23; 92; 14; 4; 52; 2; 70; 86; 50; 54; 73; 42; 75; 17; 76; 83; 20; 88],[[19; 7; 77; 99; 30; 58; 35; 78; 29]; [15; 71; 68; 62; 8; 0; 60; 98; 82]; [16; 51; 37; 22; 61; 79; 12; 45]; [6; 85; 13; 89; 46; 27; 49; 10]; [81; 66; 57; 5; 95; 43; 48; 91; 53; 96; 47; 36]; [59; 80; 31; 97; 24; 72; 40; 28; 25; 65]; [34; 18; 11; 69; 94; 21; 3; 84]; [74; 39; 1; 9; 93; 41; 55; 26; 87]; [67; 63; 64; 90; 33; 44; 56; 38; 32; 23]; [92; 14; 4; 52; 2; 70; 86; 50; 54]; [73; 42; 75; 17; 76; 83; 20; 88]],[99500; 92700; 99700; 99800; 100000; 99800; 99900; 99300; 99900; 99500; 71500],1477,1478,0.07817864418029785
12,11,0.9368705454545453,[49; 98; 21; 87; 33; 55; 73; 60; 42; 5; 51; 95; 72; 64; 77; 92; 14; 19; 53; 52; 39; 86; 40; 24; 28; 58; 13; 20; 46; 2; 27; 69; 84; 63; 54; 88; 37; 50; 44; 26; 94; 85; 89; 30; 78; 76; 70; 10; 81; 4; 1; 59; 68; 57; 11; 3; 82; 38; 25; 90; 17; 74; 61; 12; 67; 35; 97; 7; 41; 22; 15; 8; 34; 83; 62; 18; 29; 65; 36; 71; 79; 45; 99; 96; 56; 91; 48; 16; 0; 23; 6; 31; 47; 80; 32; 75; 43; 66; 93; 9],[[49; 98; 21; 87; 33; 55; 73; 60; 42; 5]; [51; 95; 72; 64; 77; 92; 14; 19; 53; 52; 39]; [86; 40; 24; 28; 58; 13; 20; 46]; [2; 27; 69; 84; 63; 54; 88; 37; 50; 44]; [26; 94; 85; 89; 30; 78; 76; 70; 10; 81; 4]; [1; 59; 68; 57; 11; 3; 82; 38]; [25; 90; 17; 74; 61; 12; 67; 35; 97]; [7; 41; 22; 15; 8; 34]; [83; 62; 18; 29; 65; 36; 71; 79; 45; 99; 96; 56; 91]; [48; 16; 0; 23; 6; 31]; [47; 80; 32; 75; 43; 66; 93; 9]],[99400; 99400; 99900; 100000; 99700; 99700; 89800; 99200; 100000; 99600; 74900],958,959,0.04683971405029297
19,11,0.9361807272727273,[95; 47; 10; 41; 24; 61; 53; 72; 17; 58; 13; 54; 91; 39; 98; 26; 57; 81; 3; 62; 32; 22; 16; 59; 31; 74; 18; 33; 36; 93; 64; 40; 77; 79; 70; 27; 45; 12; 0; 71; 68; 21; 56; 44; 51; 8; 86; 28; 7; 85; 69; 89; 97; 82; 37; 94; 25; 23; 19; 6; 83; 76; 2; 63; 88; 46; 20; 92; 75; 11; 29; 49; 52; 87; 65; 42; 1; 43; 78; 90; 96; 60; 55; 4; 14; 48; 9; 38; 30; 99; 84; 5; 34; 73; 50; 66; 67; 15; 35; 80],[[95; 47; 10; 41; 24; 61; 53; 72; 17]; [58; 13; 54; 91; 39; 98; 26; 57; 81; 3]; [62; 32; 22; 16; 59; 31; 74]; [18; 33; 36; 93; 64; 40; 77; 79; 70; 27]; [45; 12; 0; 71; 68; 21; 56; 44]; [51; 8; 86; 28; 7; 85; 69; 89; 97; 82; 37; 94]; [25; 23; 19; 6; 83; 76]; [2; 63; 88; 46; 20; 92; 75; 11; 29]; [49; 52; 87; 65; 42; 1; 43; 78; 90; 96; 60; 55]; [4; 14; 48; 9; 38; 30; 99; 84]; [5; 34; 73; 50; 66; 67; 15; 35; 80]],[100000; 99900; 83600; 98400; 99500; 100000; 80300; 99900; 100000; 100000; 100000],1424,1425,0.06239461898803711
21,11,0.9391003636363636,[61; 31; 21; 40; 80; 11; 96; 71; 26; 95; 48; 25; 45; 23; 41; 79; 60; 8; 49; 7; 9; 35; 37; 29; 59; 14; 51; 62; 22; 77; 6; 89; 73; 66; 72; 56; 85; 78; 33; 15; 30; 39; 19; 64; 18; 84; 50; 44; 28; 92; 88; 16; 10; 1; 12; 67; 3; 0; 57; 87; 69; 17; 82; 2; 98; 90; 99; 46; 76; 83; 34; 55; 93; 24; 5; 36; 4; 32; 43; 81; 97; 38; 91; 13; 27; 65; 94; 63; 58; 53; 20; 42; 74; 68; 70; 47; 86; 52; 75; 54],[[61; 31; 21; 40; 80; 11; 96; 71; 26; 95]; [48; 25; 45; 23; 41; 79; 60; 8]; [49; 7; 9; 35; 37; 29; 59]; [14; 51; 62; 22; 77; 6; 89; 73; 66; 72]; [56; 85; 78; 33; 15; 30; 39; 19; 64]; [18; 84; 50; 44; 28; 92; 88; 16; 10]; [1; 12; 67; 3; 0; 57; 87]; [69; 17; 82; 2; 98; 90; 99; 46; 76; 83; 34; 55; 93]; [24; 5; 36; 4; 32; 43; 81; 97]; [38; 91; 13; 27; 65; 94; 63; 58; 53; 20]; [42; 74; 68; 70; 47; 86; 52; 75; 54]],[99800; 98400; 97100; 99900; 100000; 99800; 98400; 99600; 99900; 99800; 68900],1543,1544,0.062413692474365234
9,11,0.9360929090909091,[34; 55; 31; 38; 36; 21; 90; 9; 12; 58; 75; 88; 49; 10; 47; 62; 20; 33; 5; 57; 93; 98; 37; 22; 65; 41; 69; 24; 45; 32; 72; 3; 73; 25; 74; 1; 63; 61; 30; 56; 87; 8; 95; 23; 71; 39; 0; 42; 14; 7; 66; 40; 16; 81; 70; 96; 19; 86; 6; 85; 35; 2; 68; 26; 13; 97; 11; 17; 27; 59; 44; 50; 92; 82; 64; 94; 54; 84; 28; 80; 77; 51; 43; 99; 4; 48; 67; 79; 29; 18; 52; 60; 78; 15; 83; 46; 91; 53; 76; 89],[[34; 55; 31; 38; 36; 21; 90; 9]; [12; 58; 75; 88; 49; 10; 47; 62; 20]; [33; 5; 57; 93; 98; 37; 22; 65; 41; 69]; [24; 45; 32; 72; 3; 73; 25; 74]; [1; 63; 61; 30; 56; 87; 8; 95; 23]; [71; 39; 0; 42; 14; 7; 66]; [40; 16; 81; 70; 96; 19; 86; 6; 85; 35]; [2; 68; 26; 13; 97; 11; 17]; [27; 59; 44; 50; 92; 82; 64; 94; 54; 84; 28; 80; 77]; [51; 43; 99; 4; 48; 67; 79; 29; 18]; [52; 60; 78; 15; 83; 46; 91; 53; 76; 89]],[99600; 100000; 100000; 94400; 99700; 96000; 99800; 99400; 99700; 97400; 75600],760,761,0.031131505966186523
9,11,0.9348741818181818,[47; 23; 52; 35; 61; 12; 83; 62; 37; 57; 13; 4; 0; 9; 64; 29; 24; 7; 66; 8; 28; 53; 99; 68; 79; 31; 26; 65; 5; 88; 15; 36; 38; 18; 82; 32; 63; 11; 41; 56; 6; 77; 25; 27; 74; 81; 10; 95; 2; 43; 39; 20; 42; 48; 45; 72; 75; 14; 1; 55; 90; 94; 51; 40; 98; 3; 97; 78; 58; 50; 80; 54; 86; 19; 85; 96; 30; 46; 16; 67; 17; 92; 34; 93; 59; 33; 69; 49; 76; 44; 89; 87; 21; 22; 60; 71; 73; 70; 91; 84],[[47; 23; 52; 35; 61; 12; 83; 62]; [37; 57; 13; 4; 0; 9]; [64; 29; 24; 7; 66; 8; 28]; [53; 99; 68; 79; 31; 26; 65; 5; 88; 15]; [36; 38; 18; 82; 32; 63; 11; 41]; [56; 6; 77; 25; 27; 74; 81; 10; 95]; [2; 43; 39; 20; 42; 48; 45; 72]; [75; 14; 1; 55; 90; 94; 51; 40; 98]; [3; 97; 78; 58; 50; 80; 54; 86; 19; 85; 96; 30]; [46; 16; 67; 17; 92; 34; 93; 59; 33; 69]; [49; 76; 44; 89; 87; 21; 22; 60; 71; 73; 70; 91; 84]],[88300; 99300; 98200; 100000; 99200; 97000; 100000; 80900; 100000; 99000; 99700],769,770,0.03122544288635254
10,11,0.9349414545454544,[99; 7; 45; 62; 81; 94; 41; 18; 56; 61; 58; 59; 66; 65; 34; 2; 37; 75; 77; 6; 86; 19; 43; 67; 71; 10; 73; 91; 69; 0; 90; 1; 57; 96; 15; 51; 23; 40; 25; 12; 21; 63; 32; 98; 44; 87; 30; 50; 4; 26; 20; 11; 38; 46; 70; 88; 54; 76; 33; 24; 72; 53; 9; 74; 85; 49; 47; 68; 97; 13; 80; 35; 83; 79; 60; 29; 16; 8; 84; 78; 36; 39; 5; 27; 64; 42; 22; 55; 31; 92; 93; 28; 48; 52; 3; 14; 82; 95; 89; 17],[[99; 7; 45; 62; 81; 94; 41; 18; 56; 61; 58]; [59; 66; 65; 34; 2; 37; 75; 77; 6]; [86; 19; 43; 67; 71; 10; 73; 91; 69]; [0; 90; 1; 57; 96; 15; 51; 23]; [40; 25; 12; 21; 63; 32; 98; 44; 87]; [30; 50; 4; 26; 20; 11]; [38; 46; 70; 88; 54; 76; 33; 24; 72; 53]; [9; 74; 85; 49; 47; 68; 97; 13; 80; 35; 83]; [79; 60; 29; 16; 8; 84; 78; 36; 39]; [5; 27; 64; 42; 22; 55; 31; 92; 93]; [28; 48; 52; 3; 14; 82; 95; 89; 17]],[99800; 100000; 79200; 98500; 99700; 95900; 91800; 99000; 100000; 98200; 99500],834,835,0.03128409385681152
10,11,0.9365049090909092,[74; 89; 24; 28; 42; 2; 22; 81; 67; 57; 87; 85; 43; 58; 35; 44; 99; 76; 29; 8; 32; 27; 90; 72; 75; 53; 65; 70; 60; 18; 61; 46; 82; 16; 93; 33; 36; 20; 47; 30; 25; 71; 91; 17; 19; 80; 23; 88; 97; 83; 39; 14; 15; 31; 0; 55; 94; 73; 40; 68; 13; 45; 4; 95; 62; 84; 41; 7; 5; 78; 51; 26; 10; 49; 37; 50; 66; 77; 54; 38; 56; 79; 69; 86; 9; 3; 48; 11; 64; 96; 6; 1; 98; 52; 12; 21; 92; 59; 34; 63],[[74; 89; 24; 28; 42; 2; 22; 81; 67]; [57; 87; 85; 43; 58; 35; 44; 99; 76; 29; 8]; [32; 27; 90; 72; 75; 53; 65; 70; 60; 18; 61]; [46; 82; 16; 93; 33; 36; 20; 47]; [30; 25; 71; 91; 17; 19; 80; 23; 88]; [97; 83; 39; 14; 15; 31; 0; 55; 94]; [73; 40; 68; 13; 45; 4; 95; 62; 84; 41]; [7; 5; 78; 51; 26; 10; 49]; [37; 50; 66; 77; 54; 38; 56; 79; 69; 86; 9]; [3; 48; 11; 64; 96; 6; 1; 98]; [52; 12; 21; 92; 59; 34; 63]],[99900; 99000; 99100; 89200; 99100; 99900; 99500; 99900; 100000; 100000; 76000],824,825,0.031247377395629883
11,11,0.9363549090909092,[99; 53; 51; 45; 63; 30; 34; 81; 38; 27; 86; 80; 40; 71; 94; 76; 62; 67; 37; 25; 87; 9; 49; 57; 93; 8; 15; 44; 3; 46; 29; 69; 33; 18; 70; 92; 32; 50; 74; 5; 89; 72; 1; 11; 22; 61; 65; 68; 31; 82; 23; 6; 91; 17; 19; 7; 16; 36; 59; 47; 42; 73; 83; 55; 90; 48; 79; 41; 26; 85; 14; 95; 0; 54; 43; 28; 13; 35; 24; 64; 75; 84; 52; 21; 39; 58; 10; 77; 12; 88; 60; 78; 96; 20; 66; 2; 97; 98; 56; 4],[[99; 53; 51; 45; 63; 30; 34; 81; 38; 27]; [86; 80; 40; 71; 94; 76; 62; 67; 37; 25; 87; 9]; [49; 57; 93; 8; 15; 44; 3; 46]; [29; 69; 33; 18; 70; 92; 32; 50; 74]; [5; 89; 72; 1; 11; 22; 61; 65]; [68; 31; 82; 23; 6; 91; 17; 19]; [7; 16; 36; 59; 47; 42; 73; 83; 55]; [90; 48; 79; 41; 26; 85; 14; 95; 0; 54]; [43; 28; 13; 35; 24; 64; 75; 84; 52]; [21; 39; 58; 10; 77; 12; 88; 60; 78; 96]; [20; 66; 2; 97; 98; 56; 4]],[98100; 99800; 100000; 90400; 100000; 99400; 100000; 99400; 99900; 98700; 75900],903,904,0.03125905990600586
18,11,0.9397625454545454,[70; 48; 2; 18; 93; 50; 23; 78; 52; 59; 72; 99; 94; 53; 68; 46; 61; 9; 80; 87; 85; 90; 55; 77; 41; 21; 29; 45; 30; 1; 57; 86; 95; 83; 34; 89; 58; 13; 74; 10; 11; 67; 44; 31; 32; 42; 0; 35; 24; 69; 28; 39; 66; 4; 8; 27; 38; 7; 92; 60; 14; 84; 22; 16; 19; 40; 3; 54; 81; 5; 26; 97; 43; 6; 96; 17; 62; 88; 73; 63; 65; 15; 91; 56; 37; 82; 51; 79; 36; 20; 47; 49; 71; 98; 64; 33; 12; 76; 25; 75],[[70; 48; 2; 18; 93; 50; 23; 78; 52]; [59; 72; 99; 94; 53; 68; 46; 61; 9; 80; 87; 85; 90; 55; 77]; [41; 21; 29; 45; 30; 1; 57; 86]; [95; 83; 34; 89; 58; 13; 74; 10; 11; 67]; [44; 31; 32; 42; 0; 35; 24]; [69; 28; 39; 66; 4; 8; 27]; [38; 7; 92; 60; 14; 84; 22; 16]; [19; 40; 3; 54; 81; 5; 26; 97]; [43; 6; 96; 17; 62; 88; 73; 63; 65; 15]; [91; 56; 37; 82; 51; 79; 36; 20; 47; 49; 71]; [98; 64; 33; 12; 76; 25; 75]],[99600; 99900; 99900; 99600; 99800; 95200; 99800; 100000; 99900; 100000; 67900],1326,1327,0.06249594688415527
