Instancia,Iteraciones Promedio,Iteraciones DE,Contenedores Promedio,Contenedores DE,FBPP Promedio,FBPP DE,Vecinos Visitados Promedio,Vecinos Visitados DE,Tiempo Promedio,Tiempo DE 
BPP_100,50.3,15.792,22.833,0.461,0.848,0.03,4118.8,1210.615,0.233,0.071
BPP_12,67.133,11.085,23.167,0.379,0.854,0.021,5416.633,839.577,0.304,0.04
BPP_14,49.733,8.8,22.733,0.45,0.854,0.029,4084.367,677.218,0.23,0.04
BPP_2,61.7,16.877,23.133,0.346,0.847,0.018,4994.833,1294.234,0.279,0.069
BPP_20,60.8,14.537,23.2,0.407,0.856,0.019,4934.267,1120.551,0.282,0.064
BPP_33,59.4,14.724,23,0,0.855,0.008,4825.333,1132.447,0.275,0.075
BPP_4,57.2,11.862,23.033,0.32,0.845,0.021,4657.467,911.612,0.259,0.052
BPP_42,54.367,9.331,22.933,0.254,0.847,0.019,4453.967,722.703,0.255,0.044
BPP_48,51.633,15.977,22.633,0.49,0.861,0.031,4229.8,1222.71,0.233,0.07
BPP_6,55.3,11.018,23.033,0.183,0.845,0.011,4513.767,855.048,0.259,0.055
BPP14,45.567,12.145,19.167,0.379,0.84,0.023,3098.8,777.073,0.146,0.036
BPP15,35.633,10.797,18.833,0.379,0.851,0.03,2467.5,693.222,0.116,0.034
BPP16,41.467,11.045,19,0,0.849,0.008,2841.567,698.283,0.131,0.034
BPP3,39.733,10.422,19.067,0.254,0.841,0.018,2727.533,666.13,0.126,0.034
BPP4,40.4,14.906,19.067,0.254,0.852,0.016,2764.8,950.064,0.125,0.045
BPP58,38.533,10.621,19,0,0.849,0.01,2648.933,679.877,0.122,0.039
BPP60,44.433,12.133,19,0,0.851,0.006,3029.033,771.229,0.142,0.038
BPP72,52.6,14.459,19.167,0.379,0.858,0.023,3541.433,919.061,0.165,0.04
BPP8,44.067,11.835,19.1,0.305,0.86,0.022,3007.433,762.259,0.142,0.038
BPP85,48.033,10.5,19.2,0.407,0.856,0.026,3259.467,672.687,0.159,0.034
Hard2,119.267,21.517,61.233,0.817,0.84,0.021,15971.633,2744.418,1.564,0.273
hBPP419,101.467,21.253,85.867,1.042,0.883,0.018,13707.167,2726.717,1.454,0.307
hBPP814,92.933,15.587,87.533,1.106,0.87,0.018,12609.067,1997.91,1.33,0.222
hBPP900,94.967,23.45,80.8,1.064,0.879,0.019,12875.9,2997.933,1.324,0.315
N1c1w1_o,13.933,4.777,33.467,0.629,0.793,0.026,494.267,153.086,0.018,0.008
N1c1w1_p,16.2,5.346,26.8,0.407,0.807,0.021,569.033,170.506,0.02,0.008
N1c1w2_c,13.733,3.741,34.5,0.731,0.791,0.028,491.233,121.416,0.019,0.007
N1c1w2_d,16.267,4.258,32.6,0.724,0.779,0.029,569.1,135.523,0.021,0.01
N1c1w4_d,10.9,2.67,38.933,0.64,0.745,0.019,401.067,85.617,0.017,0.005
N1c1w4_i,13.1,3.872,36.633,0.669,0.734,0.023,469.067,124.839,0.02,0.011
N1c2w1_b,17,4.99,26.7,0.651,0.763,0.032,594.733,160.568,0.021,0.009
N1c2w1_q,15.267,4.712,25.3,0.535,0.741,0.027,539.567,148.709,0.023,0.01
N1c2w2_f,17.733,5.349,27.567,0.774,0.798,0.036,617.967,169.014,0.019,0.01
N1c2w2_l,20.033,6.228,30.167,0.379,0.747,0.016,693.267,201.724,0.039,0.022
N1c2w4_f,13.6,4.91,33.3,0.702,0.697,0.026,483.9,152.849,0.019,0.009
N1c2w4_l,17.6,5.276,31.967,0.765,0.745,0.031,612.633,168.821,0.023,0.01
N1c3w1_c,15.8,5.242,18.8,0.61,0.836,0.045,556.7,166.125,0.021,0.009
N1c3w1_f,15.8,5.169,22,0.643,0.809,0.038,554.333,166.471,0.021,0.01
N1c3w2_d,15.167,5.565,21.967,0.718,0.823,0.044,535.967,177.177,0.025,0.012
N1c3w2_h,19.667,5.235,24.4,0.675,0.828,0.036,680.567,167.118,0.024,0.009
N1c3w4_b,19.4,6.196,23.9,0.548,0.832,0.029,671.733,199.395,0.027,0.019
N1c3w4_c,22,6.858,25.767,0.626,0.816,0.031,753.967,220.968,0.03,0.019
N1w1b1r7,21.133,6.219,18.567,0.504,0.826,0.036,731.933,202.335,0.022,0.008
N1w1b2r1,18.467,5.469,18.167,0.379,0.829,0.028,639.967,173.559,0.022,0.009
N1w1b3r3,14.467,5.171,17.333,0.479,0.862,0.038,514.1,164.662,0.016,0.007
N1w2b1r8,14.567,4.083,10.967,0.183,0.86,0.028,519.967,136.133,0.016,0.007
N1w2b2r0,13.367,4.106,10.7,0.466,0.876,0.055,477.667,130.524,0.016,0.007
N1w2b3r5,10.767,3.308,10,0,0.913,0.002,395.833,105.862,0.011,0.007
N1w3b1r2,11.967,3.908,8,0,0.838,0.015,435.9,127.113,0.011,0.007
N1w3b2r9,9.267,3.172,8,0,0.845,0.011,349.767,103.803,0.011,0.008
N1w3b3r4,10.767,3.674,8,0,0.866,0.008,396.467,119.607,0.015,0.006
N1w4b1r3,9.9,3.397,6,0,0.869,0.004,367.8,106.787,0.011,0.01
N1w4b2r1,7.1,2.28,6,0,0.815,0.007,277.8,75.29,0.009,0.008
N1w4b3r1,7.467,2.36,6,0,0.874,0.003,289.867,75.443,0.009,0.008
N2c1w1_d,33.8,7.98,52.867,0.86,0.844,0.023,2344.3,507.995,0.154,0.042
N2c1w1_s,33.533,9.515,48.1,0.759,0.861,0.022,2333,602.04,0.143,0.037
N2c1w2_h,31.9,7.522,71.1,0.803,0.77,0.015,2230.8,474.33,0.17,0.044
N2c1w2_o,33.933,8.085,66.867,0.681,0.819,0.014,2363.967,522.444,0.162,0.044
N2c1w4_h,26.1,6.994,76.567,0.817,0.74,0.014,1859.033,444.903,0.155,0.067
N2c1w4_q,22.733,5.445,77.367,0.718,0.743,0.011,1647.367,351.395,0.209,0.076
N2c2w1_d,35.933,8.816,45.567,0.817,0.85,0.027,2491.333,567.645,0.291,0.103
N2c2w1_e,32,8.734,43.733,0.785,0.84,0.026,2237.2,559.303,0.123,0.032
N2c2w2_b,41.933,9.917,58.433,0.935,0.804,0.022,2868.3,627.489,0.17,0.038
N2c2w2_f,44.033,10.098,51.367,0.809,0.842,0.023,2999.533,636.919,0.168,0.043
N2c2w4_k,41.133,10.667,61.567,1.04,0.779,0.023,2815.9,686.418,0.165,0.039
N2c2w4_r,37.733,9.944,59.9,1.062,0.793,0.024,2604.467,635.197,0.156,0.043
N2c3w1_d,33.2,9.091,39.6,0.621,0.867,0.022,2308.267,580.439,0.126,0.03
N2c3w1_i,33,9.322,35.7,0.596,0.886,0.024,2305.567,593.347,0.123,0.033
N2c3w2_a,38.967,9.821,43.867,0.776,0.861,0.025,2680.667,629.216,0.148,0.041
N2c3w2_q,39.733,10.096,43.767,0.817,0.86,0.026,2732.167,652.228,0.149,0.035
N2c3w4_i,43.767,8.744,46.833,0.699,0.87,0.021,2985.867,560.181,0.168,0.03
N2c3w4_m,41.267,8.769,47.1,0.885,0.848,0.026,2834.167,563.825,0.158,0.034
N2w1b1r2,49,11.847,35.5,0.682,0.877,0.029,3329.633,763.871,0.168,0.041
N2w1b2r0,45.233,11.927,38.567,0.626,0.835,0.024,3078.567,768.002,0.166,0.042
N2w1b3r2,35.9,11.511,37.767,0.626,0.871,0.024,2485.6,740.88,0.132,0.042
N2w2b1r0,32,7.211,21.2,0.407,0.891,0.025,2231.467,455.887,0.106,0.024
N2w2b2r9,29,8.913,21.3,0.466,0.891,0.029,2043.633,569.846,0.096,0.031
N2w2b3r2,24.067,7.071,22.133,0.346,0.894,0.023,1727.6,451.903,0.082,0.02
N2w3b1r5,26.1,6.451,15,0,0.898,0.008,1860.567,415.913,0.085,0.022
N2w3b2r7,22.5,8.283,15.033,0.183,0.928,0.013,1631.433,530.36,0.079,0.028
N2w3b3r0,17.6,6.207,15,0,0.905,0.008,1312.2,393.895,0.063,0.017
N2w4b1r2,26.3,7.33,12,0,0.9,0.005,1874.733,471.999,0.085,0.025
N2w4b2r9,18.667,6.166,11.433,0.504,0.927,0.051,1383.267,400.565,0.066,0.026
N2w4b3r6,14.7,4.625,11,0,0.937,0.002,1129.467,295.948,0.052,0.016
N3c1w1_c,80.733,19.884,104.333,1.093,0.873,0.016,11044.833,2549.758,1.207,0.285
N3c1w1_k,86.1,15.004,107.167,1.02,0.875,0.014,11735.633,1898.756,1.286,0.225
N3c1w2_d,75.167,14.298,141.167,1.117,0.804,0.011,10333.1,1809.124,1.197,0.208
N3c1w2_g,61.1,14.452,137.1,1.155,0.835,0.012,8538.3,1838.032,0.982,0.212
N3c1w4_a,54.3,10.202,153.033,0.964,0.78,0.008,7671.533,1300.826,0.915,0.153
N3c1w4_j,61.2,10.784,146.767,1.223,0.79,0.011,8561.933,1376.707,1.006,0.17
N3c2w1_n,82.5,13.918,96.467,1.306,0.83,0.019,11290.267,1776.73,1.223,0.189
N3c2w1_q,84.4,13.927,87.767,1.006,0.875,0.017,11522.533,1779.617,1.216,0.202
N3c2w2_g,96.333,15.716,108.7,1.179,0.853,0.016,13053.967,2012.154,1.438,0.234
N3c2w2_s,97.733,15.989,111.7,1.208,0.845,0.015,13214.267,2036.729,1.47,0.226
N3c2w4_a,95.067,14.902,118,1.083,0.822,0.013,12887.667,1919.957,1.458,0.227
N3c2w4_d,93.4,15.014,118.567,1.194,0.825,0.014,12670.4,1923.516,1.432,0.218
N3c3w1_d,71.3,13.649,66.5,0.682,0.908,0.015,9863.633,1735.071,0.986,0.202
N3c3w1_g,73.6,13.833,67.633,0.89,0.912,0.019,10138.367,1765.053,1.015,0.178
N3c3w2_b,98.6,17.917,85.933,0.944,0.902,0.016,13350.3,2300.67,1.41,0.269
N3c3w2_d,87.9,13.981,83.267,0.944,0.901,0.016,11963.933,1796.913,1.247,0.205
N3c3w4_j,101.167,19.064,92.867,0.9,0.89,0.014,13681.667,2434.639,1.464,0.267
N3c3w4_t,108.167,20.281,89.367,0.928,0.897,0.015,14559.8,2594.563,1.523,0.282
N3w1b1r7,112.1,15.519,69.533,0.819,0.889,0.017,15053.567,1974.968,1.509,0.209
N3w1b2r0,103.867,19.312,71.8,0.925,0.875,0.019,14012.8,2474.199,1.416,0.255
N3w1b3r5,87.8,18.858,67.4,0.675,0.913,0.015,11946.167,2414.987,1.179,0.247
N3w2b1r0,63.333,12.341,43.4,0.675,0.871,0.024,8825.733,1589.607,0.832,0.169
N3w2b2r6,70.533,17.898,42.2,0.664,0.898,0.025,9742.767,2286.096,0.893,0.226
N3w2b3r7,63.733,15.346,43.4,0.563,0.911,0.02,8877.667,1968.921,0.836,0.188
N3w3b1r3,53.5,8.637,29.733,0.45,0.911,0.022,7569.333,1107.957,0.691,0.107
N3w3b2r2,49.067,11.31,29.1,0.305,0.927,0.016,6998.933,1448.616,0.637,0.145
N3w3b3r1,43.6,11.343,27.167,0.379,0.943,0.02,6295.967,1451.548,0.56,0.135
N3w4b1r5,39.5,9.028,23.133,0.346,0.929,0.019,5788.533,1157.949,0.507,0.106
N3w4b2r9,37.533,9.779,22.033,0.183,0.935,0.012,5539.733,1258.64,0.489,0.119
N3w4b3r6,38.233,9.438,23.2,0.407,0.948,0.021,5619.7,1210.689,0.488,0.107
N4c1w1_e,251.9,31.977,277.2,1.349,0.882,0.008,84996.2,10247.076,22.998,2.838
N4c1w1_l,254.267,34.318,269.6,1.886,0.896,0.011,85739.267,10969.516,22.978,2.903
N4c1w2_k,231.7,28.267,319.767,1.524,0.869,0.007,78536.267,9039.02,21.766,2.466
N4c1w2_m,223.567,22.972,334.233,1.04,0.849,0.004,75950.967,7339.503,21.301,2.037
