Iteraciones,Numero Contenedores,FBPP,Solución,Representación,Pesos,Total Vecinos Visitados,Evaluaciones,Tiempo Ejecución 
18,22,0.8405729104545455,[2; 0; 1; 37; 30; 34; 44; 46; 20; 8; 26; 23; 16; 29; 45; 51; 55; 25; 42; 4; 59; 53; 21; 57; 43; 35; 56; 15; 32; 24; 10; 39; 14; 3; 7; 12; 36; 19; 58; 54; 33; 13; 52; 5; 27; 41; 49; 9; 28; 50; 18; 22; 31; 48; 40; 38; 6; 17; 11; 47],[[2; 0; 1]; [37; 30; 34]; [44; 46; 20]; [8; 26]; [23; 16; 29]; [45; 51; 55]; [25; 42; 4]; [59; 53; 21]; [57; 43; 35]; [56; 15]; [32; 24]; [10; 39; 14]; [3; 7]; [12; 36]; [19; 58; 54]; [33; 13]; [52; 5; 27]; [41; 49; 9]; [28; 50; 18]; [22; 31; 48]; [40; 38; 6]; [17; 11; 47]],[10000; 8740; 9130; 6210; 9640; 9960; 9860; 9969; 9890; 7420; 7720; 9990; 6539; 8540; 10000; 7520; 9889; 9660; 9950; 9820; 9960; 9590],746,747,0.0156404972076416
34,22,0.8580195922727273,[21; 51; 2; 28; 20; 3; 10; 36; 35; 18; 38; 43; 47; 53; 40; 34; 57; 7; 39; 11; 13; 42; 48; 37; 5; 24; 9; 17; 31; 32; 58; 45; 0; 54; 26; 14; 23; 6; 4; 25; 46; 12; 8; 29; 55; 30; 27; 44; 59; 22; 52; 33; 56; 41; 50; 1; 15; 19; 49; 16],[[21; 51; 2]; [28; 20; 3]; [10; 36; 35]; [18; 38; 43]; [47; 53; 40]; [34; 57; 7]; [39; 11; 13]; [42; 48]; [37; 5; 24]; [9; 17; 31]; [32; 58; 45]; [0; 54]; [26; 14; 23]; [6; 4; 25]; [46; 12; 8]; [29; 55; 30]; [27; 44; 59]; [22; 52]; [33; 56]; [41; 50; 1]; [15; 19; 49]; [16]],[9950; 9919; 9690; 9870; 9889; 9980; 9970; 8640; 9970; 9320; 9910; 9560; 9970; 9880; 9990; 9510; 9839; 5360; 7510; 8760; 9960; 2550],1369,1370,0.031246423721313477
30,22,0.8442642840909091,[47; 49; 32; 48; 25; 13; 33; 57; 6; 19; 26; 17; 11; 22; 40; 54; 16; 44; 46; 9; 36; 10; 4; 14; 24; 1; 31; 5; 18; 2; 58; 21; 45; 23; 41; 52; 42; 37; 20; 51; 30; 8; 34; 0; 15; 50; 35; 7; 59; 43; 12; 39; 55; 29; 28; 38; 27; 56; 3; 53],[[47; 49; 32]; [48; 25; 13]; [33; 57]; [6; 19; 26]; [17; 11; 22]; [40; 54; 16]; [44; 46; 9]; [36; 10]; [4; 14]; [24; 1; 31]; [5; 18; 2]; [58; 21; 45]; [23; 41; 52]; [42; 37; 20]; [51; 30]; [8; 34]; [0; 15]; [50; 35; 7]; [59; 43; 12]; [39; 55; 29]; [28; 38; 27]; [56; 3; 53]],[9850; 9980; 9520; 9940; 8440; 9970; 9790; 7080; 6000; 9360; 10000; 9910; 9850; 9960; 7280; 5590; 9580; 8380; 9740; 9990; 9889; 9898],1228,1229,0.0465695858001709
22,22,0.8463013831818181,[23; 28; 11; 58; 20; 36; 17; 8; 19; 57; 43; 21; 35; 9; 34; 44; 12; 16; 10; 0; 53; 41; 46; 5; 55; 40; 33; 15; 13; 59; 39; 22; 27; 30; 6; 18; 37; 42; 4; 52; 45; 25; 54; 31; 49; 56; 24; 29; 50; 38; 47; 3; 26; 14; 32; 51; 1; 2; 48; 7],[[23; 28; 11]; [58; 20]; [36; 17; 8]; [19; 57; 43]; [21; 35]; [9; 34; 44]; [12; 16; 10]; [0; 53]; [41; 46; 5]; [55; 40]; [33; 15]; [13; 59; 39]; [22; 27; 30]; [6; 18]; [37; 42; 4]; [52; 45; 25]; [54; 31; 49]; [56; 24; 29]; [50; 38; 47]; [3; 26; 14]; [32; 51; 1]; [2; 48; 7]],[9950; 5820; 9960; 9960; 6260; 9710; 9730; 8329; 9140; 5260; 9650; 9540; 9949; 8180; 9670; 9300; 9990; 10000; 9840; 9899; 9870; 9990],940,941,0.03129863739013672
22,23,0.7891580360869566,[10; 23; 41; 51; 32; 44; 5; 54; 40; 22; 16; 37; 0; 35; 48; 52; 27; 20; 50; 12; 34; 39; 9; 42; 17; 4; 45; 7; 11; 19; 36; 8; 33; 49; 46; 3; 56; 30; 38; 26; 57; 25; 29; 53; 13; 28; 31; 24; 55; 15; 43; 18; 1; 58; 47; 21; 59; 6; 14; 2],[[10; 23; 41]; [51; 32]; [44; 5]; [54; 40; 22]; [16; 37; 0]; [35; 48; 52]; [27; 20; 50]; [12; 34]; [39; 9]; [42; 17; 4]; [45; 7; 11]; [19; 36; 8]; [33; 49; 46]; [3; 56; 30]; [38; 26]; [57; 25]; [29; 53; 13]; [28; 31; 24]; [55; 15]; [43; 18; 1]; [58; 47; 21]; [59; 6; 14]; [2]],[9900; 7310; 6570; 9970; 9950; 9960; 9999; 6840; 8020; 9740; 9730; 9970; 9970; 9989; 6320; 7440; 9469; 9730; 7380; 9250; 9910; 9940; 2640],912,913,0.015621662139892578
14,22,0.8439581477272725,[26; 13; 24; 56; 45; 30; 42; 22; 10; 38; 27; 50; 3; 53; 46; 48; 31; 58; 5; 37; 39; 21; 52; 29; 15; 40; 17; 23; 20; 49; 11; 32; 57; 0; 47; 14; 44; 18; 19; 34; 16; 51; 12; 4; 55; 28; 8; 2; 25; 35; 54; 33; 41; 6; 43; 9; 59; 36; 1; 7],[[26; 13; 24]; [56; 45; 30]; [42; 22; 10]; [38; 27; 50]; [3; 53; 46]; [48; 31; 58]; [5; 37; 39]; [21; 52; 29]; [15; 40]; [17; 23; 20]; [49; 11; 32]; [57; 0]; [47; 14; 44]; [18; 19; 34]; [16; 51]; [12; 4; 55]; [28; 8; 2]; [25; 35]; [54; 33]; [41; 6; 43]; [9; 59]; [36; 1; 7]],[9860; 9960; 9510; 9919; 9858; 9830; 10000; 9750; 7440; 9730; 9370; 9450; 10000; 9260; 6210; 9890; 8640; 5400; 9630; 9990; 6710; 9590],595,596,0.03149843215942383
14,23,0.7826715317391304,[31; 59; 39; 16; 51; 0; 9; 53; 57; 40; 20; 27; 1; 55; 33; 45; 6; 25; 10; 47; 21; 37; 44; 29; 41; 48; 34; 8; 12; 58; 14; 54; 24; 4; 19; 23; 26; 50; 28; 13; 15; 49; 17; 38; 56; 42; 52; 36; 2; 35; 3; 30; 32; 46; 11; 18; 43; 5; 22; 7],[[31; 59; 39]; [16; 51]; [0; 9]; [53; 57]; [40; 20; 27]; [1; 55]; [33; 45]; [6; 25; 10]; [47; 21; 37]; [44; 29; 41]; [48; 34]; [8; 12; 58]; [14; 54]; [24; 4; 19]; [23; 26; 50]; [28; 13]; [15; 49; 17]; [38; 56; 42]; [52; 36; 2]; [35; 3; 30]; [32; 46; 11]; [18; 43; 5]; [22; 7]],[9620; 6210; 8720; 8179; 9699; 5160; 8570; 9770; 9950; 9800; 7060; 9950; 7790; 9720; 9900; 5580; 9950; 9920; 9670; 9959; 9470; 9990; 5360],612,613,0.015622138977050781
32,22,0.8457129022727272,[57; 16; 31; 49; 5; 6; 59; 39; 26; 56; 0; 37; 8; 38; 32; 47; 44; 10; 24; 7; 28; 23; 33; 55; 53; 27; 3; 51; 46; 40; 41; 42; 19; 12; 52; 58; 50; 48; 21; 9; 25; 34; 45; 30; 17; 1; 11; 36; 29; 18; 13; 2; 15; 22; 14; 4; 20; 54; 43; 35],[[57; 16; 31]; [49; 5; 6]; [59; 39]; [26; 56]; [0; 37]; [8; 38; 32]; [47; 44; 10]; [24; 7; 28]; [23; 33]; [55; 53; 27]; [3; 51; 46]; [40; 41; 42]; [19; 12; 52]; [58; 50]; [48; 21]; [9; 25; 34]; [45; 30; 17]; [1; 11; 36]; [29; 18; 13]; [2; 15; 22]; [14; 4; 20]; [54; 43; 35]],[9930; 9920; 6890; 5780; 7400; 9900; 9830; 9810; 8670; 9908; 9989; 10000; 9810; 5520; 8190; 9230; 9990; 10000; 10000; 9970; 9260; 10000],1312,1313,0.046857595443725586
27,23,0.7928791578260871,[44; 28; 3; 29; 47; 17; 26; 45; 46; 21; 35; 24; 10; 4; 38; 42; 2; 43; 36; 56; 54; 22; 25; 18; 8; 31; 58; 15; 0; 39; 14; 52; 57; 33; 59; 23; 41; 20; 30; 50; 12; 55; 37; 6; 34; 27; 40; 51; 19; 32; 7; 48; 49; 1; 11; 5; 16; 53; 9; 13],[[44; 28; 3]; [29; 47; 17]; [26; 45; 46]; [21; 35]; [24; 10; 4]; [38; 42; 2]; [43; 36; 56]; [54; 22]; [25; 18; 8]; [31; 58]; [15; 0]; [39; 14; 52]; [57; 33]; [59; 23; 41]; [20; 30; 50]; [12; 55; 37]; [6; 34]; [27; 40]; [51; 19; 32]; [7; 48; 49]; [1; 11; 5]; [16; 53; 9]; [13]],[9929; 9660; 9440; 6260; 9900; 9920; 9490; 7310; 9920; 5290; 9580; 9940; 9520; 9830; 9840; 9520; 6640; 6439; 9990; 9850; 9080; 9999; 2650],1094,1095,0.05272865295410156
28,22,0.8457803377272726,[27; 51; 19; 29; 9; 37; 31; 54; 25; 45; 11; 14; 46; 26; 36; 50; 24; 4; 49; 43; 33; 39; 34; 56; 52; 48; 55; 0; 15; 17; 53; 21; 20; 3; 13; 12; 1; 5; 42; 58; 10; 59; 6; 7; 28; 41; 23; 32; 22; 16; 30; 18; 44; 40; 2; 57; 35; 47; 8; 38],[[27; 51]; [19; 29; 9]; [37; 31]; [54; 25]; [45; 11; 14]; [46; 26; 36]; [50; 24; 4]; [49; 43; 33]; [39; 34; 56]; [52; 48; 55]; [0; 15]; [17; 53; 21]; [20; 3; 13]; [12; 1]; [5; 42; 58]; [10; 59; 6]; [7; 28; 41]; [23; 32; 22]; [16; 30]; [18; 44; 40]; [2; 57; 35]; [47; 8; 38]],[7439; 9890; 5330; 7550; 9950; 9960; 10000; 10000; 9260; 9950; 9580; 9849; 9639; 6880; 9960; 9770; 8980; 10000; 6170; 9990; 9900; 9950],1144,1145,0.04692888259887695
